Campbell,213,Penn State,2097
3:22,213,Tony Carr missed Three Point Jumper.,24,30
3:22,213,Julian Moore Offensive Rebound.,24,30
3:17,213,Shep Garner missed Three Point Jumper.,24,30
3:17,2097,Andrew Eudy Defensive Rebound.,24,30
3:09,2097,Campbell  Timeout,24,30
3:09,213,Official TV Timeout,24,30
3:08,2097,Marcus Burk Turnover.,24,30
3:06,213,Josh Reaves Steal.,24,30
3:06,213,Josh Reaves missed Layup.,24,30
3:06,2097,Chris Clemons Defensive Rebound.,24,30
2:59,2097,Chris Clemons missed Layup.,24,30
2:59,213,Penn State Defensive Rebound.,24,30
2:36,213,Josh Reaves missed Three Point Jumper.,24,30
2:36,2097,Campbell Deadball Team Rebound.,24,30
2:33,213,Foul on John Harrar.,24,30
2:11,2097,Andrew Eudy missed Layup.,24,30
2:11,2097,Andrew Eudy Offensive Rebound.,24,30
2:08,2097,Andrew Eudy missed Jumper.,24,30
2:08,2097,Andrew Eudy Offensive Rebound.,24,30
2:05,2097,Andrew Eudy made Two Point Tip Shot.,26,30
1:48,2097,Foul on Andrew Eudy.,26,30
1:48,213,Lamar Stevens made Free Throw.,26,31
1:48,213,Lamar Stevens made Free Throw.,26,32
1:40,2097,Chris Clemons missed Three Point Jumper.,26,32
1:40,213,Lamar Stevens Defensive Rebound.,26,32
1:18,2097,Foul on Damontez Oliver.,26,32
1:18,213,Julian Moore made Free Throw.,26,33
1:18,213,Julian Moore made Free Throw.,26,34
1:01,213,Foul on Julian Moore.,26,34
1:01,2097,Chris Clemons made Free Throw.,27,34
1:01,2097,Chris Clemons made Free Throw.,28,34
0:39,213,Lamar Stevens missed Jumper.,28,34
0:39,2097,Brooks Cluxton Block.,28,34
0:38,2097,Brooks Cluxton Defensive Rebound.,28,34
0:19,2097,Marcus Burk missed Layup.,28,34
0:19,213,Lamar Stevens Defensive Rebound.,28,34
0:03,213,Tony Carr made Jumper.,28,36
0:00,213,End of 1st half,28,36
19:47,2097,Foul on Andrew Eudy.,28,36
19:47,213,Julian Moore made Free Throw.,28,37
19:47,213,Julian Moore made Free Throw.,28,38
19:28,2097,Andrew Eudy Turnover.,28,38
19:18,213,Josh Reaves made Dunk. Assisted by Tony Carr.,28,40
19:05,2097,Andrew Eudy Turnover.,28,40
19:04,213,Shep Garner Steal.,28,40
18:54,213,Josh Reaves Turnover.,28,40
18:53,2097,Andrew Eudy Steal.,28,40
18:38,2097,Cory Gensler missed Three Point Jumper.,28,40
18:38,2097,Andrew Eudy Offensive Rebound.,28,40
18:33,2097,Marcus Burk missed Three Point Jumper.,28,40
18:33,213,Tony Carr Defensive Rebound.,28,40
18:21,213,Tony Carr missed Jumper.,28,40
18:21,2097,Marcus Burk Defensive Rebound.,28,40
18:14,2097,Foul on Chris Clemons.,28,40
18:14,2097,Chris Clemons Turnover.,28,40
18:03,213,Tony Carr missed Three Point Jumper.,28,40
18:03,213,Penn State Deadball Team Rebound.,28,40
18:01,2097,Foul on Marcus Burk.,28,40
17:54,213,Tony Carr missed Jumper.,28,40
17:54,213,Penn State Deadball Team Rebound.,28,40
17:54,2097,Foul on Marcus Burk.,28,40
17:49,213,Shep Garner missed Three Point Jumper.,28,40
17:49,2097,Shane Whitfield Defensive Rebound.,28,40
17:46,213,Foul on Lamar Stevens.,28,40
17:33,2097,Damontez Oliver made Three Point Jumper. Assisted by Chris Clemons.,31,40
17:23,213,Shep Garner made Three Point Jumper. Assisted by Tony Carr.,31,43
16:49,2097,Chris Clemons missed Three Point Jumper.,31,43
16:49,213,Shep Garner Defensive Rebound.,31,43
16:40,213,Shep Garner missed Layup.,31,43
16:40,2097,Damontez Oliver Block.,31,43
16:40,213,Penn State Offensive Rebound.,31,43
16:40,213,Foul on Tony Carr.,31,43
16:40,213,Tony Carr Turnover.,31,43
16:29,2097,Andrew Eudy missed Jumper.,31,43
16:29,213,Josh Reaves Defensive Rebound.,31,43
16:19,213,Tony Carr made Layup.,31,45
16:19,2097,Foul on Damontez Oliver.,31,45
16:19,213,Tony Carr made Free Throw.,31,46
16:01,2097,Andrew Eudy made Layup.,33,46
15:48,213,Lamar Stevens Turnover.,33,46
15:47,2097,Mogga Lado Steal.,33,46
15:43,2097,Chris Clemons made Layup.,35,46
15:38,2097,Foul on Cory Gensler.,35,46
15:38,213,Official TV Timeout,35,46
15:38,213,Josh Reaves made Free Throw.,35,47
15:38,213,Josh Reaves made Free Throw.,35,48
15:22,2097,Chris Clemons missed Three Point Jumper.,35,48
15:22,213,Satchel Pierce Defensive Rebound.,35,48
15:13,213,Tony Carr made Layup.,35,50
15:04,2097,Chris Clemons missed Three Point Jumper.,35,50
15:04,213,Tony Carr Defensive Rebound.,35,50
14:56,213,Tony Carr missed Jumper.,35,50
14:56,2097,Chris Clemons Defensive Rebound.,35,50
14:48,2097,Chris Clemons Turnover.,35,50
14:36,213,Foul on Nazeer Bostick.,35,50
14:36,213,Nazeer Bostick Turnover.,35,50
14:22,213,Foul on Tony Carr.,35,50
14:22,2097,Shane Whitfield made Free Throw.,36,50
14:22,2097,Shane Whitfield missed Free Throw.,36,50
14:22,213,Nazeer Bostick Defensive Rebound.,36,50
14:10,213,Julian Moore made Layup. Assisted by Tony Carr.,36,52
13:49,2097,Chris Clemons Turnover.,36,52
13:48,213,Nazeer Bostick Steal.,36,52
13:32,213,Lamar Stevens Turnover.,36,52
13:13,2097,Shane Whitfield Turnover.,36,52
12:53,213,Nazeer Bostick missed Layup.,36,52
12:53,2097,Cory Gensler Defensive Rebound.,36,52
12:28,2097,Shane Whitfield Turnover.,36,52
12:13,2097,Foul on Andrew Eudy.,36,52
12:13,213,Tony Carr missed Free Throw.,36,52
12:13,213,Penn State Deadball Team Rebound.,36,52
12:13,213,Tony Carr made Free Throw.,36,53
11:52,2097,Cory Gensler missed Jumper.,36,53
11:52,213,Lamar Stevens Defensive Rebound.,36,53
11:41,213,Tony Carr missed Jumper.,36,53
11:41,213,Julian Moore Offensive Rebound.,36,53
11:38,213,Julian Moore missed Layup.,36,53
11:38,2097,Mogga Lado Defensive Rebound.,36,53
11:34,2097,Mogga Lado Turnover.,36,53
11:33,213,Tony Carr Steal.,36,53
11:11,213,Nazeer Bostick missed Jumper.,36,53
11:11,2097,Shane Whitfield Defensive Rebound.,36,53
11:05,213,Official TV Timeout,38,53
11:05,2097,Shane Whitfield made Layup.,38,53
11:05,213,Official TV Timeout,38,53
11:05,2097,Shane Whitfield made Free Throw.,39,53
11:05,213,Foul on Tony Carr.,38,53
10:54,213,Foul on Lamar Stevens.,39,53
10:54,213,Lamar Stevens Turnover.,39,53
10:37,2097,Shane Whitfield Turnover.,39,53
10:36,213,Nazeer Bostick Steal.,39,53
10:32,213,Nazeer Bostick made Layup.,39,55
10:12,213,Foul on Satchel Pierce.,39,55
10:12,2097,Chris Clemons made Free Throw.,40,55
10:12,2097,Chris Clemons made Free Throw.,41,55
10:07,2097,Foul on Cory Gensler.,41,55
10:07,213,Satchel Pierce made Free Throw.,41,56
10:07,213,Satchel Pierce made Free Throw.,41,57
9:52,2097,Mogga Lado missed Dunk.,41,57
9:52,213,Lamar Stevens Defensive Rebound.,41,57
9:45,213,Foul on Lamar Stevens.,41,57
9:45,213,Lamar Stevens Turnover.,41,57
9:38,2097,Chris Clemons made Three Point Jumper.,44,57
9:16,213,Nazeer Bostick missed Jumper.,44,57
9:16,213,Deividas Zemgulis Offensive Rebound.,44,57
9:15,213,Deividas Zemgulis made Two Point Tip Shot.,44,59
9:13,2097,Technical Foul on Campbell.,44,59
9:13,2097,Foul on Campbell.,44,59
9:13,213,Shep Garner made Free Throw.,44,60
9:13,213,Shep Garner made Free Throw.,44,61
8:56,2097,Cory Gensler missed Three Point Jumper.,44,61
8:56,213,Penn State Defensive Rebound.,44,61
8:26,213,Foul on Nazeer Bostick.,44,61
8:26,213,Nazeer Bostick Turnover.,44,61
8:13,213,Foul on Jamari Wheeler.,44,61
8:13,2097,Mogga Lado made Free Throw.,45,61
8:13,2097,Mogga Lado missed Free Throw.,45,61
8:13,213,Satchel Pierce Defensive Rebound.,45,61
7:59,213,Josh Reaves Turnover.,45,61
7:59,213,Official TV Timeout,45,61
7:48,2097,Chris Clemons made Layup. Assisted by Andrew Eudy.,47,61
7:48,213,Foul on Jamari Wheeler.,47,61
7:48,2097,Chris Clemons made Free Throw.,48,61
7:37,213,Josh Reaves missed Layup.,48,61
7:37,2097,Cory Gensler Defensive Rebound.,48,61
7:13,2097,Chris Clemons made Jumper.,50,61
7:02,213,Shep Garner missed Three Point Jumper.,50,61
7:02,213,Lamar Stevens Offensive Rebound.,50,61
6:51,213,Lamar Stevens missed Jumper.,50,61
6:51,2097,Chris Clemons Defensive Rebound.,50,61
6:43,2097,Shane Whitfield made Layup. Assisted by Chris Clemons.,52,61
6:43,213,Foul on Lamar Stevens.,52,61
6:43,2097,Shane Whitfield made Free Throw.,53,61
6:34,213,Tony Carr missed Jumper.,53,61
6:34,2097,Chris Clemons Defensive Rebound.,53,61
6:22,2097,Mogga Lado made Dunk. Assisted by Chris Clemons.,55,61
6:00,213,Julian Moore missed Layup.,55,61
6:00,2097,Shane Whitfield Block.,55,61
6:00,213,Penn State Offensive Rebound.,55,61
5:53,213,Tony Carr made Three Point Jumper. Assisted by Shep Garner.,55,64
5:15,2097,Chris Clemons missed Layup.,55,64
5:15,2097,Mogga Lado Offensive Rebound.,55,64
5:15,2097,Mogga Lado missed Two Point Tip Shot.,55,64
5:15,213,Josh Reaves Defensive Rebound.,55,64
5:15,213,Tony Carr made Layup.,55,66
5:15,2097,Foul on Chris Clemons.,55,66
5:15,213,Tony Carr made Free Throw.,55,67
5:00,2097,Damontez Oliver made Three Point Jumper. Assisted by Andrew Eudy.,58,67
4:47,2097,Foul on Shane Whitfield.,58,67
4:47,213,Tony Carr made Free Throw.,58,68
4:47,213,Tony Carr missed Free Throw.,58,68
4:47,213,Josh Reaves Offensive Rebound.,58,68
4:46,2097,Foul on Shane Whitfield.,58,68
4:46,213,Josh Reaves made Free Throw.,58,69
4:46,213,Josh Reaves missed Free Throw.,58,69
4:46,2097,Cory Gensler Defensive Rebound.,58,69
4:31,2097,Chris Clemons Turnover.,58,69
4:29,213,Josh Reaves Steal.,58,69
4:25,213,Josh Reaves made Layup. Assisted by Shep Garner.,58,71
4:17,2097,Campbell  Timeout,58,71
4:17,213,Official TV Timeout,58,71
4:10,213,Foul on Jamari Wheeler.,58,71
4:10,2097,Chris Clemons missed Free Throw.,58,71
4:10,2097,Campbell Deadball Team Rebound.,58,71
4:10,2097,Chris Clemons made Free Throw.,59,71
3:42,213,Tony Carr missed Layup.,59,71
3:42,2097,Andrew Eudy Defensive Rebound.,59,71
3:33,2097,Damontez Oliver missed Three Point Jumper.,59,71
3:33,213,Julian Moore Defensive Rebound.,59,71
3:07,213,Jamari Wheeler made Layup.,59,73
2:59,213,Foul on Jamari Wheeler.,59,73
2:59,213,Official TV Timeout,59,73
2:59,2097,Chris Clemons made Free Throw.,60,73
2:59,2097,Chris Clemons made Free Throw.,61,73
2:55,213,Josh Reaves Turnover.,61,73
2:55,2097,Cory Gensler Steal.,61,73
2:48,2097,Chris Clemons missed Layup.,61,73
2:48,213,Julian Moore Block.,61,73
2:48,2097,Campbell Offensive Rebound.,61,73
2:44,213,Foul on Jamari Wheeler.,61,73
2:44,2097,Chris Clemons made Free Throw.,62,73
2:44,2097,Chris Clemons made Free Throw.,63,73
2:22,2097,Foul on Ja'Cor Nelson.,63,73
2:22,213,Julian Moore missed Free Throw.,63,73
2:22,213,Penn State Deadball Team Rebound.,63,73
2:22,213,Julian Moore missed Free Throw.,63,73
2:22,2097,Cory Gensler Defensive Rebound.,63,73
2:11,2097,Chris Clemons missed Three Point Jumper.,63,73
2:11,2097,Cory Gensler Offensive Rebound.,63,73
2:05,2097,Cory Gensler made Layup.,65,73
2:04,2097,Campbell  Timeout,65,73
1:42,213,Tony Carr made Jumper.,65,75
1:28,2097,Damontez Oliver made Three Point Jumper. Assisted by Andrew Eudy.,68,75
1:25,2097,Campbell  Timeout,68,75
1:08,213,Julian Moore Turnover.,68,75
1:06,2097,Chris Clemons Steal.,68,75
0:59,2097,Chris Clemons made Layup.,70,75
0:39,213,Tony Carr made Layup.,70,77
0:39,2097,Foul on Shane Whitfield.,70,77
0:39,213,Tony Carr made Free Throw.,70,78
0:32,2097,Chris Clemons missed Layup.,70,78
0:32,213,Josh Reaves Block.,70,78
0:31,213,Nazeer Bostick Defensive Rebound.,70,78
0:25,2097,Foul on Marcus Burk.,70,78
0:25,213,Tony Carr made Free Throw.,70,79
0:25,213,Tony Carr made Free Throw.,70,80
0:21,2097,Chris Clemons made Layup.,72,80
0:21,213,Foul on Josh Reaves.,72,80
0:21,2097,Chris Clemons made Free Throw.,73,80
0:21,213,Penn State  Timeout,73,80
0:20,2097,Foul on Ja'Cor Nelson.,73,80
0:20,213,Tony Carr made Free Throw.,73,81
0:20,213,Tony Carr made Free Throw.,73,82
0:17,213,Foul on Josh Reaves.,73,82
0:17,2097,Chris Clemons made Free Throw.,74,82
0:17,2097,Chris Clemons made Free Throw.,75,82
0:16,2097,Foul on Ja'Cor Nelson.,75,82
0:16,213,Tony Carr made Free Throw.,75,83
0:16,213,Tony Carr made Free Throw.,75,84
0:09,2097,Marcus Burk missed Three Point Jumper.,75,84
0:09,213,Josh Reaves Defensive Rebound.,75,84
0:07,2097,Foul on Marcus Burk.,75,84
0:07,213,Josh Reaves made Free Throw.,75,85
0:07,213,Josh Reaves made Free Throw.,75,86
0:01,2097,Chris Clemons missed Layup.,75,86
0:01,213,Josh Reaves Defensive Rebound.,75,86
0:00,213,End of Game,75,86
