Lamar,202,Tulsa,2320
11:30,2320,Nick Garth missed Jumper.,10,9
11:30,202,Curran Scott Defensive Rebound.,10,9
11:28,2320,Foul on Nick Garth.,10,9
11:18,2320,Foul on James Harrison.,10,9
11:14,2320,Foul on Zjori Bosha.,10,9
11:14,202,Martins Igbanu made Free Throw.,10,10
11:14,202,Martins Igbanu made Free Throw.,10,11
11:03,2320,Colton Weisbrod Turnover.,10,11
10:56,202,Curran Scott missed Three Point Jumper.,10,11
10:56,2320,Zjori Bosha Defensive Rebound.,10,11
10:48,2320,Torey Noel made Jumper.,12,11
10:48,202,Foul on Sterling Taplin.,12,11
10:48,2320,Torey Noel made Free Throw.,13,11
10:41,202,Sterling Taplin Turnover.,13,11
10:40,2320,Josh Nzeakor Steal.,13,11
10:19,202,Foul on DaQuan Jeffries.,13,11
10:19,2320,Avery Sullivan made Free Throw.,14,11
10:19,2320,Avery Sullivan made Free Throw.,15,11
10:02,202,Sterling Taplin missed Jumper.,15,11
10:02,202,Martins Igbanu Offensive Rebound.,15,11
10:01,2320,Foul on Josh Nzeakor.,15,11
10:00,202,Corey Henderson Jr. missed Three Point Jumper.,15,11
10:00,202,Geno Artison Offensive Rebound.,15,11
9:55,202,Geno Artison missed Jumper.,15,11
9:55,2320,Josh Nzeakor Defensive Rebound.,15,11
9:45,2320,Zjori Bosha made Layup. Assisted by Torey Noel.,17,11
9:45,202,Foul on Corey Henderson Jr..,17,11
9:45,2320,Zjori Bosha made Free Throw.,18,11
9:29,202,Martins Igbanu made Jumper. Assisted by Elijah Joiner.,18,13
8:59,2320,Zjori Bosha made Jumper.,20,13
8:36,202,Martins Igbanu made Layup.,20,15
8:10,2320,James Harrison made Jumper.,22,15
7:42,202,Geno Artison made Dunk. Assisted by Corey Henderson Jr..,22,17
7:19,2320,Torey Noel missed Three Point Jumper.,22,17
7:19,202,Martins Igbanu Defensive Rebound.,22,17
7:19,2320,Foul on Josh Nzeakor.,22,17
7:19,202,Official TV Timeout,22,17
6:53,202,Elijah Joiner made Three Point Jumper.,22,20
6:32,2320,James Harrison made Jumper.,24,20
6:15,202,Geno Artison missed Jumper.,24,20
6:15,2320,Colton Weisbrod Defensive Rebound.,24,20
6:00,2320,Nick Garth missed Three Point Jumper.,24,20
6:00,202,Tulsa Defensive Rebound.,24,20
5:58,2320,Foul on Avery Sullivan.,24,20
5:58,202,Geno Artison missed Free Throw.,24,20
5:58,2320,Colton Weisbrod Defensive Rebound.,24,20
5:35,2320,Nick Garth made Three Point Jumper. Assisted by Colton Weisbrod.,27,20
5:20,202,Elijah Joiner Turnover.,27,20
5:19,2320,Zjori Bosha Steal.,27,20
5:17,2320,Zjori Bosha made Layup.,29,20
5:17,202,Tulsa  Timeout,29,20
4:58,202,Sterling Taplin made Jumper.,29,22
4:42,2320,Colton Weisbrod made Jumper.,31,22
4:34,202,Jaleel Wheeler made Layup.,31,24
4:11,2320,Nick Garth missed Jumper.,31,24
4:11,2320,Colton Weisbrod Offensive Rebound.,31,24
4:05,2320,Avery Sullivan made Layup. Assisted by Colton Weisbrod.,33,24
3:54,202,Sterling Taplin made Layup.,33,26
3:36,2320,Torey Noel Turnover.,33,26
3:35,202,Official TV Timeout,33,26
3:23,202,Elijah Joiner missed Jumper.,33,26
3:23,2320,Zjori Bosha Defensive Rebound.,33,26
3:03,2320,Torey Noel missed Jumper.,33,26
3:03,202,Geno Artison Defensive Rebound.,33,26
2:48,202,Martins Igbanu missed Jumper.,33,26
2:48,2320,Jordan Foster Defensive Rebound.,33,26
2:42,202,Foul on Elijah Joiner.,33,26
2:42,2320,Colton Weisbrod made Free Throw.,34,26
2:42,2320,Colton Weisbrod missed Free Throw.,34,26
2:42,202,Martins Igbanu Defensive Rebound.,34,26
2:30,202,Sterling Taplin missed Layup.,34,26
2:30,2320,Nick Garth Defensive Rebound.,34,26
2:08,2320,Nick Garth made Jumper.,36,26
1:51,2320,Foul on Jordan Foster.,36,26
1:51,202,Martins Igbanu missed Free Throw.,36,26
1:51,2320,Torey Noel Defensive Rebound.,36,26
1:38,2320,Nick Garth missed Three Point Jumper.,36,26
1:38,2320,Zjori Bosha Offensive Rebound.,36,26
1:35,202,Foul on Corey Henderson Jr..,36,26
1:35,2320,Zjori Bosha made Free Throw.,37,26
1:35,2320,Zjori Bosha missed Free Throw.,37,26
1:35,202,Curran Scott Defensive Rebound.,37,26
1:23,202,Curran Scott made Jumper.,37,28
0:57,2320,Nick Garth missed Three Point Jumper.,37,28
0:57,2320,Lamar Offensive Rebound.,37,28
0:25,2320,Zjori Bosha Turnover.,37,28
0:04,202,Sterling Taplin missed Layup.,37,28
0:04,202,Tulsa Offensive Rebound.,37,28
0:01,202,Martins Igbanu missed Jumper.,37,28
0:01,2320,Zjori Bosha Defensive Rebound.,37,28
0:00,202,End of 1st half,37,28
19:51,2320,Foul on Colton Weisbrod.,37,28
19:51,202,Junior Etou missed Free Throw.,37,28
19:51,202,Tulsa Deadball Team Rebound.,37,28
19:51,202,Junior Etou made Free Throw.,37,29
19:20,2320,Lamar  Turnover.,37,29
19:08,202,Junior Etou Turnover.,37,29
19:08,2320,Torey Noel Steal.,37,29
19:04,2320,Nick Garth made Three Point Jumper. Assisted by Torey Noel.,40,29
18:47,2320,Foul on Nick Garth.,40,29
18:47,202,Curran Scott made Free Throw.,40,30
18:47,202,Curran Scott made Free Throw.,40,31
18:21,2320,Nick Garth missed Three Point Jumper.,40,31
18:21,202,Sterling Taplin Defensive Rebound.,40,31
18:18,2320,Foul on Josh Nzeakor.,40,31
18:05,202,DaQuan Jeffries made Layup.,40,33
17:57,2320,Torey Noel Turnover.,40,33
17:56,202,Sterling Taplin Steal.,40,33
17:50,202,Sterling Taplin missed Three Point Jumper.,40,33
17:50,2320,Avery Sullivan Defensive Rebound.,40,33
17:41,2320,Torey Noel made Layup. Assisted by Avery Sullivan.,42,33
17:28,202,Jaleel Wheeler missed Jumper.,42,33
17:28,2320,Torey Noel Defensive Rebound.,42,33
17:00,2320,Colton Weisbrod made Jumper. Assisted by Zjori Bosha.,44,33
16:43,202,Foul on Junior Etou.,44,33
16:43,202,Junior Etou Turnover.,44,33
16:25,2320,Foul on Colton Weisbrod.,44,33
16:25,2320,Colton Weisbrod Turnover.,44,33
16:07,202,Curran Scott missed Three Point Jumper.,44,33
16:07,2320,Zjori Bosha Defensive Rebound.,44,33
15:47,2320,Nick Garth made Three Point Jumper. Assisted by Torey Noel.,47,33
15:30,202,Junior Etou Turnover.,47,33
15:28,2320,Zjori Bosha Steal.,47,33
15:26,2320,Nick Garth missed Three Point Jumper.,47,33
15:26,202,Tulsa Defensive Rebound.,47,33
15:23,202,Official TV Timeout,47,33
15:12,202,Elijah Joiner Turnover.,47,33
15:11,2320,Colton Weisbrod Steal.,47,33
15:09,2320,Nick Garth missed Jumper.,47,33
15:09,2320,Zjori Bosha Offensive Rebound.,47,33
15:06,202,Foul on DaQuan Jeffries.,47,33
15:06,2320,Zjori Bosha made Free Throw.,48,33
15:06,2320,Zjori Bosha made Free Throw.,49,33
14:46,202,Sterling Taplin made Three Point Jumper. Assisted by Junior Etou.,49,36
14:12,2320,Colton Weisbrod missed Jumper.,49,36
14:12,202,Martins Igbanu Defensive Rebound.,49,36
14:05,2320,Foul on Avery Sullivan.,49,36
14:05,202,Sterling Taplin made Free Throw.,49,37
14:05,202,Sterling Taplin made Free Throw.,49,38
13:45,202,Foul on Corey Henderson Jr..,49,38
13:26,2320,Torey Noel made Three Point Jumper.,52,38
13:13,2320,Foul on Avery Sullivan.,52,38
13:13,202,Jaleel Wheeler missed Free Throw.,52,38
13:13,202,Tulsa Deadball Team Rebound.,52,38
13:13,202,Jaleel Wheeler made Free Throw.,52,39
12:59,2320,Avery Sullivan missed Layup.,52,39
12:59,2320,Colton Weisbrod Offensive Rebound.,52,39
12:52,2320,Colton Weisbrod missed Layup.,52,39
12:52,2320,Colton Weisbrod Offensive Rebound.,52,39
12:51,2320,Colton Weisbrod made Layup.,54,39
12:45,2320,Foul on Avery Sullivan.,54,39
12:45,202,Junior Etou made Free Throw.,54,40
12:45,202,Junior Etou missed Free Throw.,54,40
12:45,2320,Nick Garth Defensive Rebound.,54,40
12:41,2320,Nick Garth Turnover.,54,40
12:38,2320,Foul on Josh Nzeakor.,54,40
12:38,202,Martins Igbanu made Free Throw.,54,41
12:38,202,Martins Igbanu made Free Throw.,54,42
12:26,2320,Colton Weisbrod missed Jumper.,54,42
12:26,202,Sterling Taplin Defensive Rebound.,54,42
12:19,202,Martins Igbanu Turnover.,54,42
12:18,2320,Nick Garth Steal.,54,42
12:14,2320,Nick Garth missed Jumper.,54,42
12:14,202,Jaleel Wheeler Defensive Rebound.,54,42
12:07,202,Sterling Taplin made Layup.,54,44
12:07,2320,Foul on Jordan Foster.,54,44
12:07,202,Sterling Taplin made Free Throw.,54,45
11:49,202,Foul on Curran Scott.,54,45
11:49,202,Official TV Timeout,54,45
11:49,2320,Zjori Bosha made Free Throw.,55,45
11:49,2320,Zjori Bosha missed Free Throw.,55,45
11:49,202,Martins Igbanu Defensive Rebound.,55,45
11:34,202,Sterling Taplin missed Jumper.,55,45
11:34,2320,Nick Garth Defensive Rebound.,55,45
11:14,2320,Zjori Bosha missed Three Point Jumper.,55,45
11:14,202,Jaleel Wheeler Defensive Rebound.,55,45
11:02,202,Martins Igbanu made Layup. Assisted by DaQuan Jeffries.,55,47
10:37,2320,Jordan Foster Turnover.,55,47
10:25,2320,Foul on Jordan Foster.,55,47
10:25,202,Martins Igbanu made Free Throw.,55,48
10:25,202,Martins Igbanu made Free Throw.,55,49
10:06,202,Foul on Sterling Taplin.,55,49
9:59,2320,Torey Noel missed Three Point Jumper.,55,49
9:59,2320,Colton Weisbrod Offensive Rebound.,55,49
9:43,2320,Zjori Bosha made Layup. Assisted by Torey Noel.,57,49
9:30,202,Foul on Curran Scott.,57,49
9:30,202,Curran Scott Turnover.,57,49
9:06,2320,Colton Weisbrod missed Jumper.,57,49
9:06,202,DaQuan Jeffries Block.,57,49
9:04,2320,Colton Weisbrod Offensive Rebound.,57,49
9:02,2320,Colton Weisbrod made Layup.,59,49
8:47,202,Martins Igbanu Turnover.,59,49
8:45,2320,Torey Noel Steal.,59,49
8:25,2320,Torey Noel made Three Point Jumper. Assisted by Nick Garth.,62,49
8:04,202,Elijah Joiner made Three Point Jumper.,62,52
7:46,2320,Torey Noel Turnover.,62,52
7:44,202,DaQuan Jeffries Steal.,62,52
7:43,202,DaQuan Jeffries made Layup.,62,54
7:34,2320,Lamar  Timeout,62,54
7:34,202,Official TV Timeout,62,54
7:29,2320,James Harrison missed Three Point Jumper.,62,54
7:29,202,Junior Etou Defensive Rebound.,62,54
7:19,2320,Foul on Avery Sullivan.,62,54
7:19,202,Official TV Timeout,62,54
7:19,202,Junior Etou missed Free Throw.,62,54
7:19,202,Tulsa Deadball Team Rebound.,62,54
7:19,202,Junior Etou missed Free Throw.,62,54
7:19,202,DaQuan Jeffries Offensive Rebound.,62,54
7:17,2320,Foul on Jordan Foster.,62,54
7:17,202,DaQuan Jeffries made Free Throw.,62,55
7:17,202,DaQuan Jeffries made Free Throw.,62,56
7:10,2320,Nick Garth Turnover.,62,56
7:09,202,DaQuan Jeffries Steal.,62,56
7:00,202,Corey Henderson Jr. made Three Point Jumper.,62,59
6:52,2320,Colton Weisbrod missed Jumper.,62,59
6:51,2320,Nick Garth Offensive Rebound.,62,59
6:45,2320,Torey Noel missed Three Point Jumper.,62,59
6:44,2320,James Harrison Offensive Rebound.,62,59
6:41,2320,Lamar Offensive Rebound.,62,59
6:40,2320,Torey Noel missed Three Point Jumper.,62,59
5:39,202,DaQuan Jeffries made Dunk. Assisted by Sterling Taplin.,62,61
5:23,2320,Lamar  Timeout,62,61
5:08,202,Foul on DaQuan Jeffries.,62,61
5:08,2320,Colton Weisbrod made Free Throw.,63,61
5:08,2320,Colton Weisbrod made Free Throw.,64,61
4:57,202,Sterling Taplin made Layup.,64,63
4:27,2320,Nick Garth missed Three Point Jumper.,64,63
4:27,202,Corey Henderson Jr. Defensive Rebound.,64,63
4:10,202,Junior Etou missed Three Point Jumper.,64,63
4:10,2320,Colton Weisbrod Defensive Rebound.,64,63
3:50,2320,Colton Weisbrod missed Layup.,64,63
3:50,202,Junior Etou Defensive Rebound.,64,63
3:46,202,Official TV Timeout,64,63
3:35,202,Sterling Taplin missed Layup.,64,63
3:35,2320,Colton Weisbrod Defensive Rebound.,64,63
3:13,202,Foul on Martins Igbanu.,64,63
3:13,2320,Colton Weisbrod made Free Throw.,65,63
3:13,2320,Colton Weisbrod made Free Throw.,66,63
2:51,202,Corey Henderson Jr. missed Three Point Jumper.,66,63
2:51,2320,Torey Noel Defensive Rebound.,66,63
2:33,2320,Colton Weisbrod made Layup.,68,63
2:17,202,DaQuan Jeffries made Dunk. Assisted by Junior Etou.,68,65
2:16,202,Tulsa  Timeout,68,65
1:54,2320,Josh Nzeakor made Layup. Assisted by Zjori Bosha.,70,65
1:43,202,Sterling Taplin missed Three Point Jumper.,70,65
1:43,2320,Nick Garth Defensive Rebound.,70,65
1:29,202,Foul on Sterling Taplin.,70,65
1:29,2320,Torey Noel missed Free Throw.,70,65
1:29,202,Elijah Joiner Defensive Rebound.,70,65
1:20,202,Elijah Joiner missed Three Point Jumper.,70,65
1:20,2320,Nick Garth Defensive Rebound.,70,65
0:52,2320,Colton Weisbrod missed Jumper.,70,65
0:52,2320,Josh Nzeakor Offensive Rebound.,70,65
0:28,2320,Foul on Torey Noel.,70,65
0:28,2320,Torey Noel Turnover.,70,65
0:21,202,Sterling Taplin made Layup.,70,67
0:21,202,Tulsa  Timeout,70,67
0:20,202,Foul on DaQuan Jeffries.,70,67
0:20,2320,Nick Garth made Free Throw.,71,67
0:20,2320,Nick Garth made Free Throw.,72,67
0:12,202,Curran Scott missed Three Point Jumper.,72,67
0:12,2320,Josh Nzeakor Defensive Rebound.,72,67
0:05,202,Foul on Jaleel Wheeler.,72,67
0:05,2320,Nick Garth made Free Throw.,73,67
0:05,2320,Nick Garth made Free Throw.,74,67
0:01,202,Sterling Taplin missed Three Point Jumper.,74,67
0:01,2320,Colton Weisbrod Defensive Rebound.,74,67
0:00,202,End of Game,74,67
