Johnson Univ (FL),Error,Bethune-Cookman,2065
7:49,-1,Nick Byrd Steal.,19,31
7:47,2065,Official TV Timeout,19,31
7:34,-1,Josh Grover missed Jumper.,19,31
7:34,2065,Armani Collins Block.,19,31
7:30,2065,Jeffrey Altidort Defensive Rebound.,19,31
7:17,2065,Jeffrey Altidort missed Layup.,19,31
7:17,2065,Ulmer Manzie Offensive Rebound.,19,31
7:15,-1,Foul on Josh Grover.,19,31
7:15,2065,Ulmer Manzie made Free Throw.,19,32
7:15,2065,Ulmer Manzie missed Free Throw.,19,32
7:15,-1,Kendall Oliver Defensive Rebound.,19,32
6:58,-1,Johnson University Florida  Timeout,19,32
6:49,-1,Nick Byrd missed Jumper.,19,32
6:49,-1,Jon Baker Offensive Rebound.,19,32
6:47,-1,Jon Baker made Two Point Tip Shot.,21,32
6:41,2065,Brandon Tabb missed Three Point Jumper.,21,32
6:41,-1,Josh Grover Defensive Rebound.,21,32
6:27,-1,Josh Grover missed Three Point Jumper.,21,32
6:27,2065,Soufiyane Diakite Defensive Rebound.,21,32
6:17,2065,Isaiah Bailey made Three Point Jumper. Assisted by Soufiyane Diakite.,21,35
5:55,-1,Josh Grover made Layup.,23,35
5:44,2065,Ulmer Manzie missed Jumper.,23,35
5:44,-1,Jon Baker Defensive Rebound.,23,35
5:33,-1,Josh Grover made Layup.,25,35
5:17,2065,Malik Maitland made Three Point Jumper.,25,38
5:15,2065,Foul on Armani Collins.,25,38
5:15,-1,Josh Grover made Free Throw.,26,38
5:15,-1,Josh Grover made Free Throw.,27,38
4:55,2065,Shawntrez Davis missed Jumper.,27,38
4:55,2065,Isaiah Bailey Offensive Rebound.,27,38
4:50,2065,Isaiah Bailey missed Jumper.,27,38
4:50,2065,Armani Collins Offensive Rebound.,27,38
4:43,2065,Malik Maitland made Three Point Jumper. Assisted by Armani Collins.,27,41
4:31,-1,Jon Baker missed Three Point Jumper.,27,41
4:31,2065,Malik Maitland Defensive Rebound.,27,41
4:26,2065,Shawntrez Davis made Dunk. Assisted by Malik Maitland.,27,43
4:12,-1,Josh Grover missed Layup.,27,43
4:12,2065,Shawntrez Davis Block.,27,43
4:11,2065,Armani Collins Defensive Rebound.,27,43
4:02,2065,Shawntrez Davis Turnover.,27,43
4:01,-1,Josh Grover Steal.,27,43
3:58,-1,Josh Grover made Layup.,29,43
3:49,2065,Bethune-Cookman  Timeout,29,43
3:49,2065,Official TV Timeout,29,43
3:38,2065,David Francis made Layup. Assisted by Brandon Tabb.,29,45
3:24,-1,Kendall Oliver missed Three Point Jumper.,29,45
3:24,2065,David Francis Defensive Rebound.,29,45
3:10,2065,Shawntrez Davis Turnover.,29,45
2:49,-1,Jaymeke Smith made Three Point Jumper. Assisted by Nick Byrd.,32,45
2:47,2065,Foul on David Francis.,32,45
2:47,-1,Jaymeke Smith missed Free Throw.,32,45
2:47,2065,Shawntrez Davis Defensive Rebound.,32,45
2:36,2065,Isaiah Bailey missed Layup.,32,45
2:36,2065,Shawntrez Davis Offensive Rebound.,32,45
2:34,2065,Shawntrez Davis made Two Point Tip Shot.,32,47
2:16,-1,Jaymeke Smith made Jumper. Assisted by Nick Byrd.,34,47
2:00,2065,Armani Collins missed Three Point Jumper.,34,47
2:00,-1,Jon Baker Defensive Rebound.,34,47
1:35,2065,Foul on Isaiah Bailey.,34,47
1:35,-1,Josh Grover made Free Throw.,35,47
1:35,-1,Josh Grover made Free Throw.,36,47
1:24,2065,Brandon Tabb missed Three Point Jumper.,36,47
1:24,-1,Marquis Smith Defensive Rebound.,36,47
0:54,-1,Josh Grover missed Jumper.,36,47
0:54,-1,Nick Byrd Offensive Rebound.,36,47
0:51,-1,Nick Byrd made Two Point Tip Shot.,38,47
0:39,2065,Isaiah Bailey missed Jumper.,38,47
0:39,-1,Nick Byrd Block.,38,47
0:37,2065,Soufiyane Diakite Offensive Rebound.,38,47
0:34,-1,Foul on Oscar Duzanson.,38,47
0:34,2065,Soufiyane Diakite made Free Throw.,38,48
0:34,2065,Soufiyane Diakite made Free Throw.,38,49
0:30,-1,Josh Grover Turnover.,38,49
0:29,2065,Jeffrey Altidort Steal.,38,49
0:26,-1,Foul on Oscar Duzanson.,38,49
0:26,2065,Brandon Tabb made Free Throw.,38,50
0:26,2065,Brandon Tabb made Free Throw.,38,51
0:13,-1,Marquis Smith Turnover.,38,51
0:13,-1,Foul on Marquis Smith.,38,51
0:02,2065,Brandon Tabb made Jumper. Assisted by Malik Maitland.,38,53
0:00,2065,End of 1st half,38,53
19:53,-1,Jaymeke Smith Turnover.,38,53
19:51,2065,Brandon Tabb Steal.,38,53
19:50,-1,Foul on Kendall Oliver.,38,53
19:50,2065,Brandon Tabb made Free Throw.,38,54
19:50,2065,Brandon Tabb made Free Throw.,38,55
19:18,-1,Johnson University Florida  Turnover.,38,55
19:08,2065,Shawntrez Davis made Layup. Assisted by Isaiah Bailey.,38,57
18:48,-1,Marquis Smith Turnover.,38,57
18:48,2065,Jeffrey Altidort Steal.,38,57
18:46,2065,Jeffrey Altidort made Layup.,38,59
18:21,-1,Kendall Oliver made Layup.,40,59
18:12,-1,Foul on Jon Baker.,40,59
18:12,2065,Jeffrey Altidort missed Free Throw.,40,59
18:12,2065,Bethune-Cookman Deadball Team Rebound.,40,59
18:12,2065,Jeffrey Altidort made Free Throw.,40,60
17:56,-1,Nick Byrd made Jumper.,42,60
17:49,2065,Brandon Tabb Turnover.,42,60
17:24,-1,Jaymeke Smith made Jumper.,44,60
17:11,2065,Malik Maitland missed Three Point Jumper.,44,60
17:11,2065,Shawntrez Davis Offensive Rebound.,44,60
17:06,2065,Shawntrez Davis made Jumper.,44,62
16:57,-1,Kendall Oliver made Layup.,46,62
16:49,2065,Shawntrez Davis made Three Point Jumper. Assisted by Malik Maitland.,46,65
16:27,-1,Jon Baker missed Jumper.,46,65
16:27,2065,Shawntrez Davis Defensive Rebound.,46,65
16:20,2065,Isaiah Bailey made Layup. Assisted by Shawntrez Davis.,46,67
15:56,-1,Josh Grover missed Jumper.,46,67
15:56,2065,Brandon Tabb Block.,46,67
15:54,2065,Isaiah Bailey Defensive Rebound.,46,67
15:50,2065,Jeffrey Altidort made Layup. Assisted by Isaiah Bailey.,46,69
15:25,-1,Jon Baker made Jumper. Assisted by Kendall Oliver.,48,69
15:12,2065,Malik Maitland made Layup.,48,71
15:10,2065,Bethune-Cookman  Timeout,48,71
15:10,2065,Official TV Timeout,48,71
14:45,2065,Foul on Armani Collins.,48,71
14:41,-1,Jon Baker Turnover.,48,71
14:41,-1,Foul on Jon Baker.,48,71
14:38,2065,Armani Collins made Three Point Jumper. Assisted by Malik Maitland.,48,74
14:08,2065,Foul on Armani Collins.,48,74
14:02,-1,Josh Grover missed Three Point Jumper.,48,74
14:02,2065,Armani Collins Defensive Rebound.,48,74
13:44,2065,Armani Collins made Three Point Jumper. Assisted by Malik Maitland.,48,77
13:28,-1,Nick Byrd missed Jumper.,48,77
13:28,2065,Malik Maitland Defensive Rebound.,48,77
13:23,2065,Malik Maitland Turnover.,48,77
13:07,-1,Jon Baker missed Jumper.,48,77
13:07,2065,Jeffrey Altidort Defensive Rebound.,48,77
13:01,2065,Isaiah Bailey Turnover.,48,77
13:01,-1,Kendall Oliver Steal.,48,77
12:49,-1,Kendall Oliver missed Layup.,48,77
12:49,2065,Ulmer Manzie Block.,48,77
12:47,-1,Mikhail Lobatos Offensive Rebound.,48,77
12:44,-1,Mikhail Lobatos missed Layup.,48,77
12:44,2065,Houston Smith Defensive Rebound.,48,77
12:41,2065,Jeffrey Altidort made Layup. Assisted by Houston Smith.,48,79
12:36,2065,Foul on Jeffrey Altidort.,48,79
12:29,2065,Foul on Armani Collins.,48,79
12:06,-1,Johnson University Florida  Turnover.,48,79
11:52,2065,Ulmer Manzie missed Layup.,48,79
11:52,2065,Shawntrez Davis Offensive Rebound.,48,79
11:50,2065,Shawntrez Davis made Jumper.,48,81
11:39,-1,Josh Grover missed Layup.,48,81
11:39,2065,Isaiah Bailey Defensive Rebound.,48,81
11:33,2065,Isaiah Bailey Turnover.,48,81
11:32,-1,Josh Grover Steal.,48,81
11:27,2065,Foul on Ulmer Manzie.,48,81
11:27,2065,Official TV Timeout,48,81
11:27,-1,Jaymeke Smith made Free Throw.,49,81
11:27,-1,Jaymeke Smith made Free Throw.,50,81
11:16,2065,Isaiah Bailey missed Jumper.,50,81
11:16,-1,Mikhail Lobatos Defensive Rebound.,50,81
11:06,-1,Kendall Oliver missed Layup.,50,81
11:06,2065,Ulmer Manzie Defensive Rebound.,50,81
10:52,2065,Ulmer Manzie made Layup.,50,83
10:42,-1,Kendall Oliver missed Three Point Jumper.,50,83
10:42,2065,Houston Smith Defensive Rebound.,50,83
10:27,2065,Jeffrey Altidort missed Three Point Jumper.,50,83
10:27,2065,Shawntrez Davis Offensive Rebound.,50,83
10:22,2065,Shawntrez Davis made Layup.,50,85
10:09,-1,Josh Cotton missed Jumper.,50,85
10:09,2065,Shawntrez Davis Defensive Rebound.,50,85
10:03,2065,Isaiah Bailey Turnover.,50,85
10:01,-1,Josh Cotton Steal.,50,85
9:58,-1,Josh Cotton Turnover.,50,85
9:46,2065,Malik Maitland made Layup.,50,87
9:31,-1,Jon Baker missed Jumper.,50,87
9:31,-1,Mikhail Lobatos Offensive Rebound.,50,87
9:26,-1,Mikhail Lobatos missed Jumper.,50,87
9:26,-1,Jon Baker Offensive Rebound.,50,87
9:23,2065,Foul on Shawntrez Davis.,50,87
9:23,-1,Jon Baker missed Free Throw.,50,87
9:23,-1,Johnson University Florida Deadball Team Rebound.,50,87
9:23,-1,Jon Baker missed Free Throw.,50,87
9:23,2065,Bethune-Cookman Defensive Rebound.,50,87
9:06,-1,Foul on Jon Baker.,50,87
9:06,2065,Soufiyane Diakite made Free Throw.,50,88
9:06,2065,Soufiyane Diakite made Free Throw.,50,89
8:49,2065,Armani Collins missed Layup.,50,89
8:49,-1,Josh Cotton Block.,50,89
8:47,-1,Marquis Smith Defensive Rebound.,50,89
8:47,-1,Foul on Nick Byrd.,50,89
8:28,2065,Malik Maitland made Jumper. Assisted by Shawntrez Davis.,50,91
8:16,-1,Mikhail Lobatos missed Three Point Jumper.,50,91
8:16,-1,Oscar Duzanson Offensive Rebound.,50,91
8:08,-1,Jon Baker made Layup. Assisted by Oscar Duzanson.,52,91
8:01,2065,Brandon Tabb Turnover.,52,91
8:00,-1,Darious Birdsong Steal.,52,91
7:57,-1,Darious Birdsong Turnover.,52,91
7:57,2065,Malik Maitland Steal.,52,91
7:37,2065,Brandon Tabb made Three Point Jumper. Assisted by Malik Maitland.,52,94
7:31,2065,Bethune-Cookman  Timeout,52,94
7:17,-1,Oscar Duzanson made Jumper. Assisted by Garriott Jones.,54,94
7:00,2065,Shawntrez Davis missed Jumper.,54,94
7:00,2065,Shawntrez Davis Offensive Rebound.,54,94
6:57,2065,Shawntrez Davis missed Two Point Tip Shot.,54,94
6:57,2065,Shawntrez Davis Offensive Rebound.,54,94
6:54,2065,Shawntrez Davis made Two Point Tip Shot.,54,96
6:41,-1,Nick Byrd Turnover.,54,96
6:31,2065,Isaiah Bailey Turnover.,54,96
6:13,2065,Foul on Isaiah Bailey.,54,96
6:13,-1,Nick Byrd missed Free Throw.,54,96
6:13,2065,Ulmer Manzie Defensive Rebound.,54,96
6:13,-1,Foul on Marquis Smith.,54,96
6:00,2065,Ulmer Manzie Turnover.,54,96
6:00,2065,Foul on Ulmer Manzie.,54,96
5:40,-1,Oscar Duzanson missed Jumper.,54,96
5:40,2065,Jeffrey Altidort Block.,54,96
5:39,-1,Marquis Smith Offensive Rebound.,54,96
5:35,-1,Garriott Jones missed Layup.,54,96
5:35,2065,Ulmer Manzie Defensive Rebound.,54,96
5:35,-1,Foul on Marquis Smith.,54,96
5:35,2065,Ulmer Manzie missed Free Throw.,54,96
5:35,2065,Ulmer Manzie Offensive Rebound.,54,96
5:31,2065,Ulmer Manzie missed Jumper.,54,96
5:31,-1,Nick Byrd Defensive Rebound.,54,96
5:16,2065,Foul on Jeffrey Altidort.,54,96
5:16,-1,Oscar Duzanson missed Free Throw.,54,96
5:16,2065,David Francis Defensive Rebound.,54,96
5:10,2065,Armani Collins missed Three Point Jumper.,54,96
5:10,-1,Nick Byrd Defensive Rebound.,54,96
4:46,-1,Darious Birdsong made Jumper.,56,96
4:28,2065,Jeffrey Altidort made Layup.,56,98
4:12,-1,Nick Byrd made Three Point Jumper.,59,98
3:56,-1,Foul on Oscar Duzanson.,59,98
3:56,2065,Official TV Timeout,59,98
3:56,2065,Armani Collins made Free Throw.,59,99
3:56,2065,Armani Collins made Free Throw.,59,100
3:40,-1,Oscar Duzanson missed Jumper.,59,100
3:40,2065,Soufiyane Diakite Defensive Rebound.,59,100
3:30,-1,Foul on Oscar Duzanson.,59,100
3:30,2065,Soufiyane Diakite made Free Throw.,59,101
3:30,2065,Soufiyane Diakite missed Free Throw.,59,101
3:30,-1,Oscar Duzanson Defensive Rebound.,59,101
3:30,2065,Foul on Ulmer Manzie.,59,101
3:30,-1,Oscar Duzanson missed Free Throw.,59,101
3:30,-1,Johnson University Florida Deadball Team Rebound.,59,101
3:30,-1,Oscar Duzanson made Free Throw.,60,101
3:16,2065,Houston Smith made Three Point Jumper. Assisted by David Francis.,60,104
2:56,-1,Jaymeke Smith made Jumper.,62,104
2:42,2065,Armani Collins Turnover.,62,104
2:29,-1,Mikhail Lobatos Turnover.,62,104
2:28,2065,Soufiyane Diakite Steal.,62,104
2:24,2065,Ulmer Manzie Turnover.,62,104
2:11,-1,Darious Birdsong made Layup.,64,104
2:00,2065,Soufiyane Diakite made Layup.,64,106
1:41,-1,Mikhail Lobatos missed Jumper.,64,106
1:41,2065,Ulmer Manzie Defensive Rebound.,64,106
1:28,2065,Houston Smith Turnover.,64,106
1:28,2065,Foul on Houston Smith.,64,106
1:00,-1,Mikhail Lobatos missed Jumper.,64,106
1:00,2065,Soufiyane Diakite Defensive Rebound.,64,106
0:55,2065,Soufiyane Diakite Turnover.,64,106
0:38,2065,Foul on Houston Smith.,64,106
0:38,-1,Tyler Brigham missed Free Throw.,64,106
0:38,-1,Johnson University Florida Deadball Team Rebound.,64,106
0:38,-1,Tyler Brigham missed Free Throw.,64,106
0:38,2065,Soufiyane Diakite Defensive Rebound.,64,106
0:12,2065,Armani Collins missed Three Point Jumper.,64,106
0:12,2065,Houston Smith Offensive Rebound.,64,106
0:09,2065,Houston Smith made Two Point Tip Shot.,64,108
0:02,-1,Kendall Oliver missed Jumper.,64,108
0:02,2065,Houston Smith Block.,64,108
0:02,-1,Johnson University Florida Offensive Rebound.,64,108
0:00,-1,Oscar Duzanson made Jumper.,66,108
0:00,2065,End of Game,66,108
