Southern Utah,204,Oregon State,253
1:14,253,Jamil Jackson missed Jumper.,27,46
1:14,204,Kendal Manuel Defensive Rebound.,27,46
1:03,204,Stephen Thompson Jr. missed Layup.,27,46
1:03,253,Joel Swallow Defensive Rebound.,27,46
0:54,204,Foul on Kendal Manuel.,27,46
0:54,253,Jadon Cohee missed Free Throw.,27,46
0:54,253,Southern Utah Deadball Team Rebound.,27,46
0:54,253,Jadon Cohee made Free Throw.,28,46
0:44,204,Foul on Tres Tinkle.,28,46
0:44,204,Tres Tinkle Turnover.,28,46
0:44,253,Southern Utah  Timeout,28,46
0:20,253,Jadon Cohee missed Layup.,28,46
0:20,204,Stephen Thompson Jr. Block.,28,46
0:19,204,Tres Tinkle Defensive Rebound.,28,46
0:14,204,Alfred Hollins made Layup. Assisted by Ethan Thompson.,28,48
0:05,253,James McGee missed Three Point Jumper.,28,48
0:05,204,Tres Tinkle Defensive Rebound.,28,48
0:01,204,Tres Tinkle made Three Point Jumper.,28,51
0:00,204,End of 1st half,28,51
19:53,253,Jadon Cohee missed Three Point Jumper.,28,51
19:53,204,Kendal Manuel Defensive Rebound.,28,51
19:46,204,Stephen Thompson Jr. Turnover.,28,51
19:17,253,Jadon Cohee missed Jumper.,28,51
19:17,204,Kendal Manuel Defensive Rebound.,28,51
19:04,204,Foul on Drew Eubanks.,28,51
19:04,204,Drew Eubanks Turnover.,28,51
18:53,253,Dre Marin Turnover.,28,51
18:40,204,Ethan Thompson missed Jumper.,28,51
18:40,204,Oregon State Offensive Rebound.,28,51
18:39,253,Foul on Jamal Aytes.,28,51
18:33,253,Foul on Brandon Better.,28,51
18:33,204,Drew Eubanks made Free Throw.,28,52
18:33,204,Drew Eubanks made Free Throw.,28,53
18:21,204,Foul on Stephen Thompson Jr..,28,53
18:21,253,James McGee missed Free Throw.,28,53
18:21,253,Southern Utah Deadball Team Rebound.,28,53
18:21,253,James McGee made Free Throw.,29,53
18:09,204,Tres Tinkle made Layup.,29,55
18:09,253,Foul on Christian Musoko.,29,55
18:09,204,Tres Tinkle made Free Throw.,29,56
17:55,253,Jadon Cohee made Layup.,31,56
17:29,204,Drew Eubanks made Dunk. Assisted by Ethan Thompson.,31,58
17:11,204,Foul on Drew Eubanks.,31,58
17:11,253,Jacob Calloway missed Free Throw.,31,58
17:11,253,Southern Utah Deadball Team Rebound.,31,58
17:11,253,Jacob Calloway made Free Throw.,32,58
16:56,253,Foul on Brandon Better.,32,58
16:56,204,Kendal Manuel missed Free Throw.,32,58
16:56,204,Oregon State Deadball Team Rebound.,32,58
16:56,204,Kendal Manuel missed Free Throw.,32,58
16:56,253,Jacob Calloway Defensive Rebound.,32,58
16:40,253,Jacob Calloway missed Layup.,32,58
16:40,204,Tres Tinkle Defensive Rebound.,32,58
16:39,253,Foul on Brandon Better.,32,58
16:36,204,Seth Berger missed Layup.,32,58
16:36,253,Jacob Calloway Defensive Rebound.,32,58
16:12,253,Jacob Calloway made Three Point Jumper. Assisted by Jadon Cohee.,35,58
15:58,204,Stephen Thompson Jr. Turnover.,35,58
15:56,253,James McGee Steal.,35,58
15:51,253,Jamil Jackson missed Layup.,35,58
15:51,204,Seth Berger Block.,35,58
15:49,204,Jaquori McLaughlin Defensive Rebound.,35,58
15:42,204,Seth Berger made Layup. Assisted by Tres Tinkle.,35,60
15:26,253,Jacob Calloway made Layup.,37,60
15:26,204,Foul on Seth Berger.,37,60
15:26,204,Official TV Timeout,37,60
15:26,253,Jacob Calloway made Free Throw.,38,60
15:10,204,Jaquori McLaughlin missed Layup.,38,60
15:10,204,Alfred Hollins Offensive Rebound.,38,60
15:07,204,Alfred Hollins missed Two Point Tip Shot.,38,60
15:07,253,Dre Marin Defensive Rebound.,38,60
14:59,253,Jacob Calloway made Layup.,40,60
14:43,204,Stephen Thompson Jr. made Layup.,40,62
14:28,253,Jacob Calloway missed Three Point Jumper.,40,62
14:28,253,Dre Marin Offensive Rebound.,40,62
14:22,253,Dre Marin missed Layup.,40,62
14:22,204,Ethan Thompson Defensive Rebound.,40,62
14:14,253,Foul on Jadon Cohee.,40,62
14:14,204,Tres Tinkle made Free Throw.,40,63
14:14,204,Tres Tinkle made Free Throw.,40,64
14:02,253,James McGee Turnover.,40,64
14:01,204,Ethan Thompson Steal.,40,64
13:59,204,Stephen Thompson Jr. missed Three Point Jumper.,40,64
13:59,204,Oregon State Offensive Rebound.,40,64
13:42,204,Jaquori McLaughlin Turnover.,40,64
13:20,253,James McGee made Three Point Jumper. Assisted by Dre Marin.,43,64
12:58,204,Stephen Thompson Jr. made Layup.,43,66
12:39,204,Foul on Tres Tinkle.,43,66
12:39,253,James McGee made Free Throw.,44,66
12:39,253,James McGee made Free Throw.,45,66
12:39,253,James McGee missed Free Throw.,45,66
12:39,253,Jamil Jackson Offensive Rebound.,45,66
12:38,204,Foul on Ethan Thompson.,45,66
12:35,204,Foul on Jaquori McLaughlin.,45,66
12:35,253,Jadon Cohee made Free Throw.,46,66
12:35,253,Jadon Cohee made Free Throw.,47,66
12:21,204,Foul on Alfred Hollins.,47,66
12:21,204,Alfred Hollins Turnover.,47,66
12:04,253,Jadon Cohee missed Three Point Jumper.,47,66
12:04,204,Kendal Manuel Defensive Rebound.,47,66
11:55,204,Ethan Thompson missed Three Point Jumper.,47,66
11:55,204,Alfred Hollins Offensive Rebound.,47,66
11:42,204,Tres Tinkle made Layup.,47,68
11:42,253,Foul on Jamil Jackson.,47,68
11:42,204,Official TV Timeout,47,68
11:42,204,Tres Tinkle made Free Throw.,47,69
11:32,253,Dre Marin Turnover.,47,69
11:29,204,Kendal Manuel Steal.,47,69
11:26,204,Tres Tinkle made Dunk.,47,71
11:11,253,Jamal Aytes missed Layup.,47,71
11:11,204,Stephen Thompson Jr. Defensive Rebound.,47,71
10:59,253,Foul on Jamal Aytes.,47,71
10:59,204,Stephen Thompson Jr. made Free Throw.,47,72
10:59,204,Stephen Thompson Jr. missed Free Throw.,47,72
10:59,253,Dre Marin Defensive Rebound.,47,72
10:49,204,Foul on Tres Tinkle.,47,72
10:49,253,Dre Marin missed Free Throw.,47,72
10:49,253,Southern Utah Deadball Team Rebound.,47,72
10:49,253,Dre Marin made Free Throw.,48,72
10:41,204,Kendal Manuel missed Three Point Jumper.,48,72
10:41,253,Christian Musoko Defensive Rebound.,48,72
10:30,204,Foul on Tres Tinkle.,48,72
10:30,253,Jacob Calloway missed Free Throw.,48,72
10:30,253,Southern Utah Deadball Team Rebound.,48,72
10:30,253,Jacob Calloway made Free Throw.,49,72
10:17,204,Zach Reichle missed Three Point Jumper.,49,72
10:17,253,Christian Musoko Defensive Rebound.,49,72
10:04,253,Brandon Better made Three Point Jumper.,52,72
9:34,204,Ethan Thompson missed Layup.,52,72
9:34,253,Christian Musoko Defensive Rebound.,52,72
9:21,253,Brandon Better made Layup.,54,72
9:14,253,Foul on Dre Marin.,54,72
9:14,204,Stephen Thompson Jr. missed Free Throw.,54,72
9:14,253,Christian Musoko Defensive Rebound.,54,72
9:00,253,Brandon Better missed Layup.,54,72
9:00,204,Ethan Thompson Defensive Rebound.,54,72
8:38,204,Zach Reichle missed Three Point Jumper.,54,72
8:38,204,Stephen Thompson Jr. Offensive Rebound.,54,72
8:35,204,Stephen Thompson Jr. made Layup.,54,74
8:35,204,Oregon State  Timeout,54,74
8:35,204,Official TV Timeout,54,74
8:34,204,Official TV Timeout,54,74
8:26,253,Foul on Jadon Cohee.,54,74
8:26,253,Jadon Cohee Turnover.,54,74
8:10,204,Ethan Thompson missed Layup.,54,74
8:10,204,Stephen Thompson Jr. Offensive Rebound.,54,74
8:08,204,Stephen Thompson Jr. made Layup.,54,76
8:01,253,Jacob Calloway missed Three Point Jumper.,54,76
8:01,204,Jaquori McLaughlin Defensive Rebound.,54,76
7:53,204,Stephen Thompson Jr. missed Three Point Jumper.,54,76
7:53,204,Ethan Thompson Offensive Rebound.,54,76
7:51,253,Foul on Jacob Calloway.,54,76
7:51,204,Official TV Timeout,54,76
7:51,204,Ethan Thompson made Free Throw.,54,77
7:51,204,Ethan Thompson made Free Throw.,54,78
7:38,253,Christian Musoko made Layup.,56,78
7:25,253,Foul on Jamil Jackson.,56,78
7:25,204,Stephen Thompson Jr. made Free Throw.,56,79
7:25,204,Stephen Thompson Jr. missed Free Throw.,56,79
7:25,253,Christian Musoko Defensive Rebound.,56,79
7:04,253,Christian Musoko missed Layup.,56,79
7:04,204,Stephen Thompson Jr. Defensive Rebound.,56,79
6:43,204,Zach Reichle missed Layup.,56,79
6:43,253,Christian Musoko Defensive Rebound.,56,79
6:31,253,Dre Marin missed Three Point Jumper.,56,79
6:31,253,Southern Utah Offensive Rebound.,56,79
6:30,204,Foul on Zach Reichle.,56,79
6:30,253,Jamil Jackson made Free Throw.,57,79
6:30,253,Jamil Jackson made Free Throw.,58,79
6:23,204,Zach Reichle made Layup. Assisted by Stephen Thompson Jr..,58,81
5:57,204,Foul on Zach Reichle.,58,81
5:57,253,Jadon Cohee made Free Throw.,59,81
5:57,253,Jadon Cohee missed Free Throw.,59,81
5:57,204,Ethan Thompson Defensive Rebound.,59,81
5:48,204,Zach Reichle missed Three Point Jumper.,59,81
5:48,204,Oregon State Offensive Rebound.,59,81
5:45,253,Foul on Jadon Cohee.,59,81
5:45,204,Drew Eubanks missed Free Throw.,59,81
5:45,204,Oregon State Deadball Team Rebound.,59,81
5:45,204,Drew Eubanks made Free Throw.,59,82
5:27,253,Christian Musoko missed Layup.,59,82
5:27,204,Stephen Thompson Jr. Defensive Rebound.,59,82
5:25,253,Foul on Jamil Jackson.,59,82
5:25,204,Stephen Thompson Jr. made Free Throw.,59,83
5:25,204,Stephen Thompson Jr. made Free Throw.,59,84
5:11,204,Foul on Ethan Thompson.,59,84
5:11,253,Jadon Cohee made Free Throw.,60,84
5:11,253,Jadon Cohee missed Free Throw.,60,84
5:11,253,Christian Musoko Offensive Rebound.,60,84
5:07,253,Brandon Better made Three Point Jumper. Assisted by Christian Musoko.,63,84
4:53,204,Ethan Thompson made Three Point Jumper. Assisted by Jaquori McLaughlin.,63,87
4:36,253,Jacob Calloway missed Layup.,63,87
4:36,204,Drew Eubanks Defensive Rebound.,63,87
4:36,253,Foul on Christian Musoko.,63,87
4:36,204,Drew Eubanks made Free Throw.,63,88
4:36,204,Drew Eubanks made Free Throw.,63,89
4:27,253,Jacob Calloway Turnover.,63,89
4:25,204,Stephen Thompson Jr. Steal.,63,89
4:22,204,Ethan Thompson made Layup. Assisted by Stephen Thompson Jr..,63,91
4:13,253,Brandon Better made Layup.,65,91
4:13,204,Foul on Drew Eubanks.,65,91
4:13,253,Brandon Better made Free Throw.,66,91
3:51,204,Alfred Hollins made Layup. Assisted by Zach Reichle.,66,93
3:43,253,Jadon Cohee made Layup.,68,93
3:20,204,Ethan Thompson missed Three Point Jumper.,68,93
3:20,253,Southern Utah Defensive Rebound.,68,93
3:16,204,Foul on Alfred Hollins.,68,93
3:16,204,Official TV Timeout,68,93
3:16,253,James McGee made Free Throw.,69,93
3:16,253,James McGee made Free Throw.,70,93
3:02,204,Jaquori McLaughlin Turnover.,70,93
3:01,253,Brandon Better missed Three Point Jumper.,70,93
3:01,204,Ethan Thompson Defensive Rebound.,70,93
2:56,204,Stephen Thompson Jr. made Layup. Assisted by Ethan Thompson.,70,95
2:23,253,Brandon Better made Layup.,72,95
2:23,204,Foul on Alfred Hollins.,72,95
2:23,253,Brandon Better missed Free Throw.,72,95
2:23,204,Ethan Thompson Defensive Rebound.,72,95
2:08,204,Jaquori McLaughlin Turnover.,72,95
2:07,253,Brandon Better Steal.,72,95
2:05,253,Brandon Better made Layup.,74,95
1:44,204,Ethan Thompson made Jumper.,74,97
1:30,204,Foul on Seth Berger.,74,97
1:30,253,Jadon Cohee made Free Throw.,75,97
1:30,253,Jadon Cohee made Free Throw.,76,97
1:28,204,Jaquori McLaughlin Turnover.,76,97
1:27,253,Dre Marin Steal.,76,97
1:25,204,Foul on Jaquori McLaughlin.,76,97
1:25,204,Oregon State  Timeout,76,97
1:25,253,Dre Marin missed Free Throw.,76,97
1:25,253,Southern Utah Deadball Team Rebound.,76,97
1:25,253,Dre Marin made Free Throw.,77,97
1:07,204,Alfred Hollins made Layup. Assisted by Ethan Thompson.,77,99
1:00,204,Foul on Alfred Hollins.,77,99
1:00,253,Elijah Graves made Free Throw.,78,99
1:00,253,Elijah Graves missed Free Throw.,78,99
1:00,204,Ethan Thompson Defensive Rebound.,78,99
0:36,204,Ethan Thompson missed Jumper.,78,99
0:36,253,Jacob Calloway Defensive Rebound.,78,99
0:29,253,Elijah Graves made Layup.,80,99
0:23,204,Zach Reichle Turnover.,80,99
0:12,204,Foul on Tanner Sanders.,80,99
0:12,253,Jadon Cohee made Free Throw.,81,99
0:12,253,Jadon Cohee made Free Throw.,82,99
0:00,204,End of Game,82,99
