Mt. St. Mary's,269,Marquette,116
13:46,269,Foul on Theo John.,9,19
13:32,116,Jonah Antonio made Three Point Jumper. Assisted by Junior Robinson.,12,19
13:05,269,Markus Howard missed Three Point Jumper.,12,19
13:05,116,Junior Robinson Defensive Rebound.,12,19
12:45,116,Bobby Planutis Turnover.,12,19
12:25,269,Andrew Rowsey missed Jumper.,12,19
12:25,116,Bobby Planutis Defensive Rebound.,12,19
12:14,116,Foul on Ryan Gomes.,12,19
12:14,116,Ryan Gomes Turnover.,12,19
12:02,269,Markus Howard made Three Point Jumper. Assisted by Andrew Rowsey.,12,22
11:34,116,Bobby Planutis Turnover.,12,22
11:34,269,Markus Howard Steal.,12,22
11:34,269,Official TV Timeout,12,22
11:16,269,Sam Hauser missed Jumper.,12,22
11:16,116,Jonah Antonio Defensive Rebound.,12,22
10:54,116,Junior Robinson Turnover.,12,22
10:53,269,Andrew Rowsey Steal.,12,22
10:50,269,Andrew Rowsey made Layup.,12,24
10:25,116,Bobby Planutis made Layup. Assisted by Donald Carey.,14,24
10:01,269,Matt Heldt made Layup. Assisted by Andrew Rowsey.,14,26
9:39,116,Donald Carey made Three Point Jumper. Assisted by Greg Alexander.,17,26
9:14,269,Foul on Sam Hauser.,17,26
9:14,269,Sam Hauser Turnover.,17,26
8:46,116,Jonah Antonio made Three Point Jumper. Assisted by Junior Robinson.,20,26
8:26,116,Foul on Donald Carey.,20,26
8:26,269,Matt Heldt made Free Throw.,20,27
8:26,269,Matt Heldt made Free Throw.,20,28
8:05,116,Omar Habwe missed Three Point Jumper.,20,28
8:05,269,Sam Hauser Defensive Rebound.,20,28
7:47,269,Andrew Rowsey made Jumper.,20,30
7:30,116,Bobby Planutis Turnover.,20,30
7:30,269,Official TV Timeout,20,30
6:50,269,Sam Hauser missed Three Point Jumper.,20,30
6:50,269,Sam Hauser Offensive Rebound.,20,30
6:37,269,Andrew Rowsey missed Layup.,20,30
6:37,116,Bobby Planutis Block.,20,30
6:34,269,Andrew Rowsey Offensive Rebound.,20,30
6:32,269,Sam Hauser missed Three Point Jumper.,20,30
6:32,116,Junior Robinson Defensive Rebound.,20,30
6:22,116,Junior Robinson made Layup.,22,30
6:11,116,Foul on Greg Alexander.,22,30
6:11,269,Sacar Anim made Free Throw.,22,31
6:11,269,Sacar Anim made Free Throw.,22,32
5:56,116,Jonah Antonio Turnover.,22,32
5:55,269,Andrew Rowsey Steal.,22,32
5:46,269,Markus Howard made Jumper.,22,34
5:09,116,Junior Robinson missed Layup.,22,34
5:09,269,Andrew Rowsey Defensive Rebound.,22,34
5:09,116,Foul on Omar Habwe.,22,34
5:09,269,Andrew Rowsey made Free Throw.,22,35
5:09,269,Andrew Rowsey made Free Throw.,22,36
4:57,116,Junior Robinson missed Jumper.,22,36
4:57,269,Theo John Defensive Rebound.,22,36
4:47,269,Andrew Rowsey missed Three Point Jumper.,22,36
4:47,269,Theo John Offensive Rebound.,22,36
4:45,116,Foul on Bobby Planutis.,22,36
4:45,269,Theo John missed Free Throw.,22,36
4:45,269,Marquette Deadball Team Rebound.,22,36
4:45,269,Theo John missed Free Throw.,22,36
4:45,116,Bobby Planutis Defensive Rebound.,22,36
4:25,116,Jonah Antonio missed Three Point Jumper.,22,36
4:25,269,Sacar Anim Defensive Rebound.,22,36
4:16,116,Foul on Omar Habwe.,22,36
4:16,269,Andrew Rowsey made Free Throw.,22,37
4:16,269,Andrew Rowsey missed Free Throw.,22,37
4:16,269,Marquette Deadball Team Rebound.,22,37
4:16,269,Andrew Rowsey made Free Throw.,22,38
4:04,116,Bobby Planutis made Three Point Jumper. Assisted by Junior Robinson.,25,38
4:04,116,Mt. St. Mary's  Timeout,25,38
4:02,269,Marquette  Timeout,25,38
3:37,269,Andrew Rowsey made Three Point Jumper. Assisted by Sacar Anim.,25,41
3:15,116,Junior Robinson Turnover.,25,41
3:13,269,Sacar Anim Steal.,25,41
2:59,269,Matt Heldt made Jumper. Assisted by Andrew Rowsey.,25,43
2:26,116,Mt. St. Mary's  Turnover.,25,43
2:09,269,Markus Howard missed Jumper.,25,43
2:09,116,Mt. St. Mary's Defensive Rebound.,25,43
1:54,269,Foul on Sacar Anim.,25,43
1:54,116,Junior Robinson made Free Throw.,26,43
1:54,116,Junior Robinson made Free Throw.,27,43
1:37,116,Foul on Junior Robinson.,27,43
1:37,269,Markus Howard made Free Throw.,27,44
1:37,269,Markus Howard made Free Throw.,27,45
1:37,269,Markus Howard made Free Throw.,27,46
1:25,116,Junior Robinson missed Layup.,27,46
1:25,269,Matt Heldt Defensive Rebound.,27,46
1:18,269,Andrew Rowsey missed Three Point Jumper.,27,46
1:18,269,Matt Heldt Offensive Rebound.,27,46
1:15,269,Matt Heldt made Two Point Tip Shot.,27,48
0:56,116,Bobby Planutis Turnover.,27,48
0:56,269,Andrew Rowsey Steal.,27,48
0:46,269,Markus Howard missed Three Point Jumper.,27,48
0:46,116,Jonah Antonio Defensive Rebound.,27,48
0:29,116,Bobby Planutis missed Jumper.,27,48
0:29,116,Greg Alexander Offensive Rebound.,27,48
0:01,116,Junior Robinson missed Three Point Jumper.,27,48
0:01,269,Matt Heldt Defensive Rebound.,27,48
0:00,269,End of 1st half,27,48
19:45,116,Bobby Planutis Turnover.,27,48
19:30,269,Sam Hauser missed Three Point Jumper.,27,48
19:30,269,Sacar Anim Offensive Rebound.,27,48
19:26,116,Foul on Ryan Gomes.,27,48
19:22,116,Foul on Junior Robinson.,27,48
19:22,269,Andrew Rowsey made Free Throw.,27,49
19:22,269,Andrew Rowsey made Free Throw.,27,50
19:05,116,Bobby Planutis missed Three Point Jumper.,27,50
19:05,269,Haanif Cheatham Defensive Rebound.,27,50
18:52,269,Sacar Anim missed Three Point Jumper.,27,50
18:52,116,Junior Robinson Defensive Rebound.,27,50
18:46,116,Donald Carey missed Three Point Jumper.,27,50
18:46,116,Bobby Planutis Offensive Rebound.,27,50
18:43,116,Bobby Planutis missed Two Point Tip Shot.,27,50
18:43,269,Matt Heldt Defensive Rebound.,27,50
18:38,269,Andrew Rowsey missed Three Point Jumper.,27,50
18:38,269,Sam Hauser Offensive Rebound.,27,50
18:14,269,Andrew Rowsey made Three Point Jumper. Assisted by Sam Hauser.,27,53
17:52,116,Junior Robinson Turnover.,27,53
17:51,269,Matt Heldt Steal.,27,53
17:49,269,Foul on Andrew Rowsey.,27,53
17:49,269,Andrew Rowsey Turnover.,27,53
17:34,116,Greg Alexander missed Three Point Jumper.,27,53
17:34,269,Markus Howard Defensive Rebound.,27,53
17:20,269,Haanif Cheatham made Three Point Jumper. Assisted by Sacar Anim.,27,56
17:19,269,Marquette  Timeout,27,56
17:10,116,Ryan Gomes made Layup. Assisted by Junior Robinson.,29,56
16:50,269,Andrew Rowsey missed Layup.,29,56
16:50,116,Ryan Gomes Defensive Rebound.,29,56
16:43,116,Jonah Antonio missed Three Point Jumper.,29,56
16:43,269,Markus Howard Defensive Rebound.,29,56
16:30,269,Haanif Cheatham made Jumper.,29,58
16:14,116,Junior Robinson missed Three Point Jumper.,29,58
16:14,269,Markus Howard Defensive Rebound.,29,58
16:03,269,Sacar Anim made Jumper.,29,60
15:47,116,Greg Alexander made Layup. Assisted by Ryan Gomes.,31,60
15:33,269,Andrew Rowsey made Layup.,31,62
15:03,116,Donald Carey Turnover.,31,62
15:01,269,Markus Howard Steal.,31,62
14:57,269,Haanif Cheatham Turnover.,31,62
14:56,116,Jonah Antonio Steal.,31,62
14:53,116,Jonah Antonio missed Three Point Jumper.,31,62
14:53,269,Haanif Cheatham Defensive Rebound.,31,62
14:32,269,Markus Howard missed Three Point Jumper.,31,62
14:32,116,Donald Carey Defensive Rebound.,31,62
14:10,116,Junior Robinson made Layup.,33,62
14:01,269,Andrew Rowsey made Jumper.,33,64
13:47,116,Junior Robinson made Jumper.,35,64
13:32,269,Haanif Cheatham made Jumper.,35,66
13:12,116,Junior Robinson made Jumper.,37,66
13:03,269,Andrew Rowsey missed Three Point Jumper.,37,66
13:03,116,Donald Carey Defensive Rebound.,37,66
12:48,116,Jonah Antonio missed Three Point Jumper.,37,66
12:48,269,Markus Howard Block.,37,66
12:45,269,Haanif Cheatham Defensive Rebound.,37,66
12:43,269,Sacar Anim made Layup. Assisted by Haanif Cheatham.,37,68
12:29,269,Foul on Matt Heldt.,37,68
12:29,269,Official TV Timeout,37,68
12:08,116,Junior Robinson missed Three Point Jumper.,37,68
12:08,116,Ace Stallings Offensive Rebound.,37,68
12:05,116,Jonah Antonio missed Three Point Jumper.,37,68
12:05,269,Marquette Deadball Team Rebound.,37,68
12:05,116,Foul on Ace Stallings.,37,68
11:51,269,Theo John made Layup. Assisted by Sam Hauser.,37,70
11:24,269,Official TV Timeout,37,70
11:24,269,Foul on Theo John.,37,70
11:24,116,Ace Stallings missed Free Throw.,37,70
11:24,116,Mt. St. Mary's Deadball Team Rebound.,37,70
11:24,116,Ace Stallings missed Free Throw.,37,70
11:24,269,Theo John Defensive Rebound.,37,70
11:03,269,Jamal Cain missed Three Point Jumper.,37,70
11:03,269,Greg Elliott Offensive Rebound.,37,70
11:02,116,Foul on Ace Stallings.,37,70
11:02,269,Jamal Cain made Free Throw.,37,71
11:02,269,Jamal Cain missed Free Throw.,37,71
11:02,116,Omar Habwe Defensive Rebound.,37,71
10:53,116,Greg Alexander missed Three Point Jumper.,37,71
10:53,269,Jamal Cain Defensive Rebound.,37,71
10:41,269,Theo John missed Jumper.,37,71
10:41,116,Ace Stallings Block.,37,71
10:41,269,Marquette Offensive Rebound.,37,71
10:20,269,Markus Howard made Three Point Jumper. Assisted by Theo John.,37,74
9:46,116,Junior Robinson made Jumper.,39,74
9:33,269,Markus Howard missed Jumper.,39,74
9:33,116,Greg Alexander Defensive Rebound.,39,74
9:22,269,Foul on Jamal Cain.,39,74
9:22,116,Greg Alexander missed Free Throw.,39,74
9:22,116,Mt. St. Mary's Deadball Team Rebound.,39,74
9:22,116,Greg Alexander made Free Throw.,40,74
9:06,269,Sacar Anim missed Jumper.,40,74
9:06,116,Ace Stallings Defensive Rebound.,40,74
8:58,116,Junior Robinson missed Three Point Jumper.,40,74
8:58,269,Greg Elliott Defensive Rebound.,40,74
8:54,269,Jamal Cain made Dunk. Assisted by Greg Elliott.,40,76
8:32,116,Greg Alexander made Three Point Jumper. Assisted by Donald Carey.,43,76
8:09,269,Haanif Cheatham missed Three Point Jumper.,43,76
8:09,269,Theo John Offensive Rebound.,43,76
7:54,269,Foul on Theo John.,43,76
7:54,269,Theo John Turnover.,43,76
7:54,269,Official TV Timeout,43,76
7:35,116,Jonah Antonio made Jumper.,45,76
7:23,116,Foul on Jonah Antonio.,45,76
7:18,269,Haanif Cheatham made Layup.,45,78
7:06,269,Foul on Jamal Cain.,45,78
7:06,116,Ryan Gomes missed Free Throw.,45,78
7:06,116,Mt. St. Mary's Deadball Team Rebound.,45,78
7:06,116,Ryan Gomes missed Free Throw.,45,78
7:06,269,Theo John Defensive Rebound.,45,78
6:44,269,Theo John Turnover.,45,78
6:43,116,Jonah Antonio Steal.,45,78
6:39,116,Junior Robinson made Layup. Assisted by Jonah Antonio.,47,78
6:05,269,Greg Elliott missed Three Point Jumper.,47,78
6:05,116,Jonah Antonio Defensive Rebound.,47,78
5:55,116,Ryan Gomes made Layup. Assisted by Junior Robinson.,49,78
5:36,269,Haanif Cheatham missed Jumper.,49,78
5:36,116,Greg Alexander Defensive Rebound.,49,78
5:26,116,Donald Carey made Three Point Jumper.,52,78
4:55,269,Haanif Cheatham Turnover.,52,78
4:54,116,Jonah Antonio Steal.,52,78
4:49,116,Junior Robinson missed Three Point Jumper.,52,78
4:49,269,Haanif Cheatham Defensive Rebound.,52,78
4:10,269,Marquette  Turnover.,52,78
3:55,116,Ryan Gomes made Layup. Assisted by Donald Carey.,54,78
3:36,269,Theo John missed Layup.,54,78
3:36,116,Ryan Gomes Block.,54,78
3:33,269,Theo John Offensive Rebound.,54,78
3:31,269,Jamal Cain missed Jumper.,54,78
3:31,116,Jonah Antonio Defensive Rebound.,54,78
3:22,116,Donald Carey made Layup.,56,78
3:22,269,Foul on Theo John.,56,78
3:22,269,Official TV Timeout,56,78
3:22,116,Donald Carey made Free Throw.,57,78
2:58,269,Andrew Rowsey missed Jumper.,57,78
2:58,116,Greg Alexander Defensive Rebound.,57,78
2:46,116,Donald Carey missed Three Point Jumper.,57,78
2:46,269,Sam Hauser Defensive Rebound.,57,78
2:20,116,Foul on Ryan Gomes.,57,78
2:02,269,Matt Heldt made Jumper. Assisted by Sacar Anim.,57,80
1:42,116,Junior Robinson made Layup.,59,80
1:19,269,Matt Heldt missed Jumper.,59,80
1:19,116,Jonah Antonio Defensive Rebound.,59,80
0:46,116,Greg Alexander missed Three Point Jumper.,59,80
0:46,269,Marquette Defensive Rebound.,59,80
0:34,269,Greg Elliott Turnover.,59,80
0:21,116,Brandon Leftwich Turnover.,59,80
0:19,269,Greg Elliott Steal.,59,80
0:00,269,End of Game,59,80
