Central Arkansas,239,Baylor,2110
4:48,2110,Tanner Schmit Defensive Rebound.,23,42
4:31,2110,Otas Iyekekpolor made Jumper. Assisted by Darraja Parnell.,25,42
4:13,239,King McClure made Three Point Jumper. Assisted by Nuni Omot.,25,45
3:56,2110,Tanner Schmit missed Jumper.,25,45
3:56,239,Jake Lindsey Defensive Rebound.,25,45
3:50,2110,Foul on Tanner Schmit.,25,45
3:50,239,Official TV Timeout,25,45
3:50,239,Nuni Omot made Free Throw.,25,46
3:50,239,Nuni Omot made Free Throw.,25,47
3:43,2110,Ethan Lee made Dunk. Assisted by Matthew Mondesir.,27,47
3:38,2110,Foul on Darraja Parnell.,27,47
3:38,239,King McClure made Free Throw.,27,48
3:38,239,King McClure made Free Throw.,27,49
3:23,2110,Ethan Lee missed Jumper.,27,49
3:23,2110,Otas Iyekekpolor Offensive Rebound.,27,49
3:14,2110,Darraja Parnell made Three Point Jumper. Assisted by Deandre Jones.,30,49
2:54,239,Jo Lual-Acuil Jr. missed Jumper.,30,49
2:54,2110,Darraja Parnell Defensive Rebound.,30,49
2:25,2110,Otas Iyekekpolor made Jumper.,32,49
2:05,239,Tristan Clark missed Jumper.,32,49
2:05,2110,Otas Iyekekpolor Defensive Rebound.,32,49
1:59,239,Foul on Manu Lecomte.,32,49
1:59,239,Baylor  Timeout,32,49
1:59,2110,Jordan Howard made Free Throw.,33,49
1:59,2110,Jordan Howard made Free Throw.,34,49
1:40,239,Jo Lual-Acuil Jr. made Layup. Assisted by Tristan Clark.,34,51
1:22,2110,Jordan Howard made Three Point Jumper. Assisted by Matthew Mondesir.,37,51
0:55,239,Tristan Clark made Jumper.,37,53
0:27,2110,Otas Iyekekpolor missed Jumper.,37,53
0:27,239,Jo Lual-Acuil Jr. Block.,37,53
0:26,239,Baylor Defensive Rebound.,37,53
0:04,239,Manu Lecomte missed Jumper.,37,53
0:03,2110,Mathieu Kamba Block.,37,53
0:02,2110,Mathieu Kamba Defensive Rebound.,37,53
0:00,239,End of 1st half,37,53
19:40,239,Tristan Clark made Jumper. Assisted by Jo Lual-Acuil Jr..,37,55
19:27,2110,Thatch Unruh Turnover.,37,55
19:01,239,King McClure missed Jumper.,37,55
19:01,239,Jo Lual-Acuil Jr. Offensive Rebound.,37,55
18:58,239,Jo Lual-Acuil Jr. missed Jumper.,37,55
18:58,2110,Ethan Lee Defensive Rebound.,37,55
18:50,2110,Mathieu Kamba missed Jumper.,37,55
18:50,239,Jo Lual-Acuil Jr. Defensive Rebound.,37,55
18:49,2110,Foul on Hayden Koval.,37,55
18:34,239,King McClure made Jumper.,37,57
18:08,2110,Mathieu Kamba made Jumper. Assisted by Ethan Lee.,39,57
17:42,239,Manu Lecomte missed Jumper.,39,57
17:42,239,Jo Lual-Acuil Jr. Offensive Rebound.,39,57
17:41,239,Jo Lual-Acuil Jr. missed Jumper.,39,57
17:40,239,Jo Lual-Acuil Jr. Offensive Rebound.,39,57
17:39,239,Jo Lual-Acuil Jr. made Jumper.,39,59
17:22,2110,Mathieu Kamba missed Jumper.,39,59
17:22,239,Nuni Omot Defensive Rebound.,39,59
17:15,239,Manu Lecomte made Three Point Jumper. Assisted by Nuni Omot.,39,62
16:53,2110,Thatch Unruh Turnover.,39,62
16:51,239,King McClure Steal.,39,62
16:49,239,Tristan Clark made Dunk. Assisted by Nuni Omot.,39,64
16:49,2110,Central Arkansas  Timeout,39,64
16:25,2110,Mathieu Kamba made Jumper.,41,64
15:57,239,Jo Lual-Acuil Jr. made Dunk. Assisted by Tristan Clark.,41,66
15:42,2110,Otas Iyekekpolor missed Jumper.,41,66
15:42,239,Tristan Clark Defensive Rebound.,41,66
15:34,239,Tristan Clark made Jumper. Assisted by Nuni Omot.,41,68
15:13,2110,Jordan Howard missed Three Point Jumper.,41,68
15:13,239,Nuni Omot Defensive Rebound.,41,68
15:07,239,Nuni Omot Turnover.,41,68
15:06,2110,Mathieu Kamba Steal.,41,68
15:04,2110,Jordan Howard missed Jumper.,41,68
15:04,2110,Mathieu Kamba Offensive Rebound.,41,68
15:02,2110,Mathieu Kamba made Jumper.,43,68
14:41,239,Jo Lual-Acuil Jr. made Dunk. Assisted by King McClure.,43,70
14:17,2110,Mathieu Kamba made Jumper.,45,70
13:59,239,Jo Lual-Acuil Jr. made Jumper. Assisted by Nuni Omot.,45,72
13:59,2110,Foul on Hayden Koval.,45,72
13:59,239,Official TV Timeout,45,72
13:59,239,Jo Lual-Acuil Jr. made Free Throw.,45,73
13:57,239,Official TV Timeout,45,72
13:42,2110,Jordan Howard missed Jumper.,45,73
13:42,239,Nuni Omot Defensive Rebound.,45,73
13:35,2110,Foul on Aaron Weidenaar.,45,73
13:23,239,King McClure made Three Point Jumper.,45,76
13:11,239,Foul on Jo Lual-Acuil Jr..,45,76
13:06,2110,Jordan Howard made Three Point Jumper. Assisted by Aaron Weidenaar.,48,76
13:06,239,Foul on King McClure.,48,76
13:06,2110,Jordan Howard missed Free Throw.,48,76
13:05,239,Jo Lual-Acuil Jr. Defensive Rebound.,48,76
12:42,239,Terry Maston made Jumper. Assisted by Mark Vital.,48,78
12:34,2110,Aaron Weidenaar made Three Point Jumper. Assisted by Deandre Jones.,51,78
12:20,239,Terry Maston Turnover.,51,78
12:04,2110,Matthew Mondesir missed Jumper.,51,78
12:04,239,Terry Maston Defensive Rebound.,51,78
11:59,239,Manu Lecomte missed Three Point Jumper.,51,78
11:59,239,Terry Maston Offensive Rebound.,51,78
11:56,239,Official TV Timeout,51,80
11:56,239,Official TV Timeout,51,80
11:56,239,Foul on Tristan Clark.,51,78
11:56,2110,Aaron Weidenaar Turnover.,51,78
11:56,239,Terry Maston made Jumper.,51,80
11:56,2110,Foul on Tanner Schmit.,51,80
11:56,239,Official TV Timeout,51,80
11:56,239,Terry Maston missed Free Throw.,51,80
11:56,2110,Tanner Schmit Defensive Rebound.,51,80
11:55,2110,Aaron Weidenaar Turnover.,51,80
11:55,239,Official TV Timeout,51,80
11:29,239,Terry Maston made Jumper. Assisted by Tristan Clark.,51,82
11:04,2110,Tanner Schmit missed Jumper.,51,82
11:04,239,Terry Maston Defensive Rebound.,51,82
10:54,239,Manu Lecomte missed Three Point Jumper.,51,82
10:54,2110,Central Arkansas Defensive Rebound.,51,82
10:38,2110,Tanner Schmit Turnover.,51,82
10:37,239,Mark Vital Steal.,51,82
10:26,239,Mark Vital Turnover.,51,82
10:21,2110,Darraja Parnell missed Three Point Jumper.,51,82
10:21,239,Jake Lindsey Defensive Rebound.,51,82
10:04,239,Terry Maston made Jumper.,51,84
9:48,2110,Jordan Howard made Jumper.,53,84
9:28,239,Manu Lecomte Turnover.,53,84
9:11,2110,Hayden Koval missed Three Point Jumper.,53,84
9:11,239,King McClure Defensive Rebound.,53,84
8:56,239,Terry Maston made Jumper.,53,86
8:39,2110,Jared Chatham made Jumper. Assisted by Deandre Jones.,55,86
8:17,239,Terry Maston missed Jumper.,55,86
8:17,2110,Jared Chatham Defensive Rebound.,55,86
8:08,2110,Thatch Unruh missed Three Point Jumper.,55,86
8:08,239,Tristan Clark Defensive Rebound.,55,86
8:01,239,King McClure made Three Point Jumper. Assisted by Manu Lecomte.,55,89
7:37,2110,Deandre Jones Turnover.,55,89
7:36,239,Mark Vital Steal.,55,89
7:28,239,King McClure missed Jumper.,55,89
7:28,2110,Hayden Koval Block.,55,89
7:24,2110,Hayden Koval Defensive Rebound.,55,89
7:21,239,Foul on Mark Vital.,55,89
7:21,239,Official TV Timeout,55,89
7:21,2110,Jared Chatham missed Free Throw.,55,89
7:21,2110,Central Arkansas Deadball Team Rebound.,55,89
7:21,2110,Jared Chatham made Free Throw.,56,89
7:14,239,Foul on King McClure.,56,89
7:14,239,King McClure Turnover.,56,89
7:02,2110,Darraja Parnell made Dunk. Assisted by Thatch Unruh.,58,89
6:51,2110,Foul on Deandre Jones.,58,89
6:36,239,Jo Lual-Acuil Jr. Turnover.,58,89
6:33,2110,Thatch Unruh Steal.,58,89
6:25,239,Foul on Manu Lecomte.,58,89
6:25,2110,Deandre Jones made Free Throw.,59,89
6:25,2110,Deandre Jones made Free Throw.,60,89
6:08,239,Manu Lecomte made Three Point Jumper. Assisted by Terry Maston.,60,92
5:43,2110,Darraja Parnell missed Jumper.,60,92
5:43,239,Terry Maston Defensive Rebound.,60,92
5:33,239,Terry Maston missed Jumper.,60,92
5:33,2110,Mathieu Kamba Block.,60,92
5:28,2110,Jordan Howard Defensive Rebound.,60,92
5:22,2110,Jordan Howard made Layup.,62,92
5:05,239,Nuni Omot made Three Point Jumper. Assisted by Jake Lindsey.,62,95
4:54,2110,Jordan Howard missed Three Point Jumper.,62,95
4:54,239,Baylor Defensive Rebound.,62,95
4:36,2110,Foul on Aaron Weidenaar.,62,95
4:36,239,Mark Vital made Free Throw.,62,96
4:36,239,Mark Vital missed Free Throw.,62,96
4:36,2110,Matthew Mondesir Defensive Rebound.,62,96
4:22,2110,Mathieu Kamba missed Jumper.,62,96
4:22,239,Terry Maston Defensive Rebound.,62,96
4:17,239,Foul on Mark Vital.,62,96
4:17,239,Mark Vital Turnover.,62,96
3:52,2110,Jordan Howard made Jumper.,64,96
3:30,239,Mark Vital missed Three Point Jumper.,64,96
3:30,239,Jo Lual-Acuil Jr. Offensive Rebound.,64,96
3:25,239,Jo Lual-Acuil Jr. made Jumper.,64,98
3:25,239,Baylor  Timeout,64,98
3:05,2110,Hayden Koval missed Jumper.,64,98
3:05,239,Mark Vital Defensive Rebound.,64,98
2:58,239,Mark Vital made Jumper. Assisted by Jonathan Davis.,64,100
2:44,2110,Aaron Weidenaar missed Three Point Jumper.,64,100
2:44,2110,Central Arkansas Offensive Rebound.,64,100
2:35,2110,Deandre Jones missed Jumper.,64,100
2:35,239,Nuni Omot Defensive Rebound.,64,100
2:24,2110,Foul on Otas Iyekekpolor.,64,100
2:24,239,Nuni Omot made Free Throw.,64,101
2:24,239,Nuni Omot made Free Throw.,64,102
1:54,2110,Deandre Jones Turnover.,64,102
1:52,239,Jake Lindsey Steal.,64,102
1:38,239,Foul on Nuni Omot.,64,102
1:38,239,Nuni Omot Turnover.,64,102
1:12,2110,Tanner Schmit made Jumper.,66,102
0:51,2110,Foul on Tanner Schmit.,66,102
0:51,239,Jonathan Davis made Free Throw.,66,103
0:50,239,Jonathan Davis made Jumper.,66,105
0:40,2110,Deandre Jones Turnover.,66,105
0:33,239,Terry Maston made Layup. Assisted by Nuni Omot.,66,107
0:26,2110,Tyler Simmons missed Three Point Jumper.,66,107
0:26,239,Mark Vital Defensive Rebound.,66,107
0:00,239,End of Game,66,107
