Drexel,2352,Loyola (MD),2182
14:38,2182,Drexel Deadball Team Rebound.,39,46
14:38,2182,Kurk Lee missed Free Throw.,39,46
14:38,2352,KaVaughn Scott Defensive Rebound.,39,46
14:20,2352,KaVaughn Scott Turnover.,39,46
14:04,2182,Austin Williams missed Jumper.,39,46
14:04,2182,Tyshawn Myles Offensive Rebound.,39,46
14:00,2182,Tyshawn Myles missed Layup.,39,46
14:00,2352,Chuck Champion Defensive Rebound.,39,46
13:32,2352,Andrew Kostecka Turnover.,39,46
13:10,2182,Kurk Lee Turnover.,39,46
13:09,2352,Andrew Kostecka Steal.,39,46
13:06,2352,Chuck Champion missed Layup.,39,46
13:06,2182,Austin Williams Block.,39,46
13:05,2352,Cam Gregory Offensive Rebound.,39,46
13:02,2352,Andrew Kostecka missed Layup.,39,46
13:02,2182,Austin Williams Block.,39,46
13:01,2182,Sammy Mojica Defensive Rebound.,39,46
12:57,2182,Sammy Mojica made Three Point Jumper. Assisted by Kurk Lee.,42,46
12:53,2352,Loyola (MD)  Timeout,42,46
12:29,2352,Chuck Champion Turnover.,42,46
12:28,2182,Tyshawn Myles Steal.,42,46
12:24,2182,Alihan Demir missed Layup.,42,46
12:24,2352,KaVaughn Scott Defensive Rebound.,42,46
12:02,2352,Andre Walker Turnover.,42,46
11:51,2182,Alihan Demir missed Layup.,42,46
11:51,2352,KaVaughn Scott Defensive Rebound.,42,46
11:39,2182,Foul on Tyshawn Myles.,42,46
11:39,2352,Official TV Timeout,42,46
11:24,2352,Isaiah Hart missed Layup.,42,46
11:24,2182,Sammy Mojica Defensive Rebound.,42,46
11:08,2182,Sammy Mojica missed Layup.,42,46
11:08,2352,Andrew Kostecka Block.,42,46
11:08,2182,Drexel Offensive Rebound.,42,46
11:07,2182,Kurk Lee missed Jumper.,42,46
11:07,2182,Austin Williams Offensive Rebound.,42,46
10:52,2182,Kurk Lee made Layup.,44,46
10:30,2352,Chuck Champion missed Jumper.,44,46
10:30,2182,Austin Williams Defensive Rebound.,44,46
10:22,2182,Kurk Lee missed Layup.,44,46
10:22,2352,KaVaughn Scott Block.,44,46
10:21,2182,Alihan Demir Offensive Rebound.,44,46
10:20,2182,Alihan Demir missed Layup.,44,46
10:20,2182,Austin Williams Offensive Rebound.,44,46
10:18,2182,Austin Williams missed Layup.,44,46
10:18,2182,Austin Williams Offensive Rebound.,44,46
10:16,2182,Austin Williams Turnover.,44,46
10:15,2352,Isaiah Hart Steal.,44,46
10:12,2352,Andrew Kostecka missed Layup.,44,46
10:12,2182,Drexel Defensive Rebound.,44,46
9:59,2182,Kurk Lee missed Three Point Jumper.,44,46
9:59,2352,Isaiah Hart Defensive Rebound.,44,46
9:52,2182,Foul on Austin Williams.,44,46
9:52,2352,Chuck Champion made Free Throw.,44,47
9:52,2352,Chuck Champion missed Free Throw.,44,47
9:52,2182,Sammy Mojica Defensive Rebound.,44,47
9:36,2182,Austin Williams missed Layup.,44,47
9:36,2352,Isaiah Hart Defensive Rebound.,44,47
9:28,2352,Andre Walker missed Jumper.,44,47
9:28,2352,KaVaughn Scott Offensive Rebound.,44,47
9:25,2352,KaVaughn Scott missed Layup.,44,47
9:25,2182,Austin Williams Defensive Rebound.,44,47
8:59,2182,Alihan Demir missed Layup.,44,47
8:59,2182,Kurk Lee Offensive Rebound.,44,47
8:50,2182,Tadas Kararinas made Three Point Jumper. Assisted by Kurk Lee.,47,47
8:19,2352,Andre Walker missed Three Point Jumper.,47,47
8:19,2352,Cam Gregory Offensive Rebound.,47,47
8:01,2352,Chuck Champion made Three Point Jumper. Assisted by Cam Gregory.,47,50
7:42,2182,Austin Williams made Layup.,49,50
7:38,2352,KaVaughn Scott Turnover.,49,50
7:37,2182,Kurk Lee Steal.,49,50
7:37,2182,Kurk Lee Turnover.,49,50
7:37,2352,Official TV Timeout,49,50
7:27,2352,Foul on Isaiah Hart.,49,50
7:27,2352,Isaiah Hart Turnover.,49,50
7:07,2182,Kurk Lee made Three Point Jumper.,52,50
6:41,2352,River Reed missed Layup.,52,50
6:41,2182,Austin Williams Defensive Rebound.,52,50
6:33,2182,Kurk Lee missed Layup.,52,50
6:33,2352,KaVaughn Scott Defensive Rebound.,52,50
6:26,2352,Chuck Champion made Layup. Assisted by KaVaughn Scott.,52,52
6:01,2182,Kurk Lee made Three Point Jumper.,55,52
5:29,2352,Chuck Champion missed Jumper.,55,52
5:29,2182,Kurk Lee Defensive Rebound.,55,52
5:22,2182,Tadas Kararinas missed Three Point Jumper.,55,52
5:22,2352,KaVaughn Scott Defensive Rebound.,55,52
5:11,2352,River Reed made Layup. Assisted by Andre Walker.,55,54
5:11,2352,Loyola (MD)  Timeout,55,54
5:03,2182,Sammy Mojica missed Three Point Jumper.,55,54
5:03,2182,Austin Williams Offensive Rebound.,55,54
4:59,2182,Austin Williams missed Layup.,55,54
4:59,2182,Drexel Offensive Rebound.,55,54
4:45,2182,Tadas Kararinas missed Three Point Jumper.,55,54
4:45,2352,Andrew Kostecka Defensive Rebound.,55,54
4:32,2352,Chuck Champion missed Layup.,55,54
4:32,2182,Austin Williams Block.,55,54
4:31,2182,Alihan Demir Defensive Rebound.,55,54
4:21,2182,Kurk Lee made Layup.,57,54
3:56,2352,Chuck Champion made Three Point Jumper. Assisted by Andre Walker.,57,57
3:38,2352,Foul on Chuck Champion.,57,57
3:38,2352,Official TV Timeout,57,57
3:38,2182,Kurk Lee made Free Throw.,58,57
3:38,2182,Kurk Lee missed Free Throw.,58,57
3:38,2352,Andre Walker Defensive Rebound.,58,57
3:21,2182,Foul on Austin Williams.,58,57
3:21,2352,Cam Gregory made Dunk. Assisted by River Reed.,58,59
3:20,2352,Cam Gregory made Free Throw.,58,60
2:59,2182,Kurk Lee missed Three Point Jumper.,58,60
2:59,2352,River Reed Defensive Rebound.,58,60
2:35,2352,River Reed made Layup. Assisted by Andre Walker.,58,62
2:24,2182,Drexel  Timeout,58,62
2:17,2182,Tadas Kararinas Turnover.,58,62
2:15,2352,Cam Gregory Steal.,58,62
1:48,2352,Andre Walker missed Jumper.,58,62
1:48,2182,Alihan Demir Defensive Rebound.,58,62
1:41,2182,Alihan Demir missed Layup.,58,62
1:41,2352,Andrew Kostecka Block.,58,62
1:40,2182,Sammy Mojica Offensive Rebound.,58,62
1:35,2182,Kurk Lee missed Jumper.,58,62
1:35,2352,Cam Gregory Defensive Rebound.,58,62
1:08,2352,Chuck Champion made Jumper.,58,64
0:54,2352,Foul on Cam Gregory.,58,64
0:54,2182,Kurk Lee made Free Throw.,59,64
0:54,2182,Kurk Lee made Free Throw.,60,64
0:54,2182,Kurk Lee missed Free Throw.,60,64
0:54,2352,River Reed Defensive Rebound.,60,64
0:39,2182,Foul on Kurk Lee.,60,64
0:39,2352,Andre Walker missed Free Throw.,60,64
0:39,2182,Austin Williams Defensive Rebound.,60,64
0:25,2182,Kurk Lee made Layup.,62,64
0:25,2182,Drexel  Timeout,62,64
0:23,2352,Chuck Champion made Layup. Assisted by Andrew Kostecka.,62,66
0:23,2182,Drexel  Timeout,62,66
0:08,2182,Austin Williams missed Layup.,62,66
0:08,2352,Cam Gregory Defensive Rebound.,62,66
0:04,2182,Foul on Sammy Mojica.,62,66
0:04,2352,Andrew Kostecka missed Free Throw.,62,66
0:04,2182,Tadas Kararinas Defensive Rebound.,62,66
0:00,2182,Sammy Mojica missed Three Point Jumper.,62,66
0:00,2352,Loyola (MD) Deadball Team Rebound.,62,66
0:00,2352,End of Game,62,66
