South Carolina State,2116,UCF,2569
12:22,2569,Ian Kinard Turnover.,45,57
12:22,2569,Foul on Ian Kinard.,45,57
12:09,2116,Dayon Griffin made Layup.,45,59
12:00,2569,Dwayne Banks Turnover.,45,59
11:59,2116,Terrell Allen Steal.,45,59
11:57,2116,Ceasar DeJesus made Layup. Assisted by Terrell Allen.,45,61
11:56,2569,South Carolina State  Timeout,45,61
11:34,2569,Damani Applewhite missed Jumper.,45,61
11:34,2116,Ceasar DeJesus Defensive Rebound.,45,61
11:18,2116,Chad Brown made Layup. Assisted by A.J. Davis.,45,63
11:02,2569,Justin Jones made Jumper.,47,63
10:40,2116,Chad Brown made Layup. Assisted by Dayon Griffin.,47,65
10:22,2569,Dwayne Banks Turnover.,47,65
10:22,2569,Foul on Dwayne Banks.,47,65
10:22,2116,Official TV Timeout,47,65
10:04,2116,Tacko Fall missed Jumper.,47,65
10:04,2116,Ceasar DeJesus Offensive Rebound.,47,65
10:00,2116,Chance McSpadden made Layup.,47,67
10:00,2569,Foul on Ian Kinard.,47,67
9:59,2116,Chance McSpadden missed Free Throw.,47,67
9:59,2569,Ian Kinard Defensive Rebound.,47,67
9:33,2569,Justin Jones missed Three Point Jumper.,47,67
9:33,2569,David Bottenberg Offensive Rebound.,47,67
9:28,2569,David Bottenberg missed Two Point Tip Shot.,47,67
9:28,2569,David Bottenberg Offensive Rebound.,47,67
9:26,2569,David Bottenberg missed Layup.,47,67
9:26,2116,Tacko Fall Block.,47,67
9:26,2116,Tacko Fall Defensive Rebound.,47,67
9:26,2569,Foul on David Bottenberg.,47,67
9:26,2116,Tacko Fall missed Free Throw.,47,67
9:26,2569,Justin Jones Defensive Rebound.,47,67
9:13,2569,Donte Wright missed Jumper.,47,67
9:13,2116,Dayon Griffin Block.,47,67
9:12,2116,Ceasar DeJesus Defensive Rebound.,47,67
9:05,2116,Ceasar DeJesus made Layup.,47,69
8:52,2569,Rayshawn Neal made Jumper.,49,69
8:22,2569,Foul on Justin Jones.,49,69
8:22,2116,Tacko Fall made Free Throw.,49,70
8:22,2116,Tacko Fall made Free Throw.,49,71
8:04,2569,Justin Jones missed Jumper.,49,71
8:04,2116,Tacko Fall Defensive Rebound.,49,71
7:53,2116,Dayon Griffin missed Three Point Jumper.,49,71
7:53,2569,Donte Wright Defensive Rebound.,49,71
7:51,2116,Foul on Myles Douglas.,49,71
7:51,2116,Official TV Timeout,49,71
7:51,2569,Donte Wright made Free Throw.,50,71
7:51,2569,Donte Wright missed Free Throw.,50,71
7:51,2569,South Carolina State Offensive Rebound.,50,71
7:39,2116,Foul on Ceasar DeJesus.,50,71
7:39,2569,Justin Jones made Free Throw.,51,71
7:39,2569,Justin Jones made Free Throw.,52,71
7:19,2569,Foul on Donte Wright.,52,71
7:19,2116,Myles Douglas made Free Throw.,52,72
7:19,2116,Myles Douglas missed Free Throw.,52,72
7:19,2569,Donte Wright Defensive Rebound.,52,72
6:54,2569,Ozante Fields made Layup. Assisted by Rayshawn Neal.,54,72
6:37,2569,Foul on Ozante Fields.,54,72
6:37,2116,Chad Brown made Free Throw.,54,73
6:37,2116,Chad Brown missed Free Throw.,54,73
6:37,2569,Ozante Fields Defensive Rebound.,54,73
6:36,2116,Foul on Myles Douglas.,54,73
6:36,2569,Ozante Fields made Free Throw.,55,73
6:36,2569,Ozante Fields made Free Throw.,56,73
6:13,2116,Terrell Allen made Layup.,56,75
5:55,2569,Justin Jones made Layup. Assisted by Rayshawn Neal.,58,75
5:35,2116,Myles Douglas made Layup. Assisted by Chance McSpadden.,58,77
5:16,2569,Justin Jones missed Three Point Jumper.,58,77
5:16,2116,UCF Defensive Rebound.,58,77
4:54,2116,Chance McSpadden missed Three Point Jumper.,58,77
4:54,2116,Chad Brown Offensive Rebound.,58,77
4:50,2116,Chad Brown made Layup.,58,79
4:49,2569,Foul on Ozante Fields.,58,79
4:49,2116,Chad Brown missed Free Throw.,58,79
4:49,2569,Ozante Fields Defensive Rebound.,58,79
4:35,2569,Donte Wright missed Three Point Jumper.,58,79
4:35,2116,Chad Brown Defensive Rebound.,58,79
4:17,2116,Ceasar DeJesus missed Layup.,58,79
4:17,2569,Ozante Fields Defensive Rebound.,58,79
4:03,2569,Donte Wright missed Three Point Jumper.,58,79
4:03,2116,Chance McSpadden Defensive Rebound.,58,79
3:32,2116,Official TV Timeout,58,79
3:29,2116,Rokas Ulvydas missed Layup.,58,79
3:29,2569,Ian Kinard Defensive Rebound.,58,79
3:04,2569,Janai Raynor Powell missed Jumper.,58,79
3:04,2116,Myles Douglas Defensive Rebound.,58,79
2:40,2116,Djordjije Mumin made Three Point Jumper. Assisted by Myles Douglas.,58,82
2:25,2569,James Richardson made Jumper.,60,82
2:14,2116,UCF  Timeout,60,82
1:56,2116,Myles Douglas made Three Point Jumper. Assisted by Djordjije Mumin.,60,85
1:41,2116,Foul on Nathan Laing.,60,85
1:41,2569,Janai Raynor Powell made Free Throw.,61,85
1:41,2569,Janai Raynor Powell made Free Throw.,62,85
1:20,2569,Foul on Tariq Clement.,62,85
1:20,2116,Ceasar DeJesus made Free Throw.,62,86
1:20,2116,Ceasar DeJesus made Free Throw.,62,87
1:07,2569,Janai Raynor Powell missed Jumper.,62,87
1:07,2116,Rokas Ulvydas Defensive Rebound.,62,87
0:37,2116,Rokas Ulvydas made Dunk. Assisted by Ceasar DeJesus.,62,89
0:21,2569,Janai Raynor Powell missed Layup.,62,89
0:21,2569,David Bottenberg Offensive Rebound.,62,89
0:17,2569,David Bottenberg made Layup.,64,89
