SE Louisiana,87,Notre Dame,2545
7:54,2545,Moses Greenwood made Jumper. Assisted by Brandon Gonzalez.,44,69
7:35,2545,Foul on Brandon Gonzalez.,44,69
7:35,87,Official TV Timeout,44,69
7:35,87,Martinas Geben made Free Throw.,44,70
7:35,87,Martinas Geben made Free Throw.,44,71
7:22,2545,James Currington missed Layup.,44,71
7:22,87,Elijah Burns Block.,44,71
7:21,87,D.J. Harvey Defensive Rebound.,44,71
7:09,87,TJ Gibbs missed Three Point Jumper.,44,71
7:09,2545,Brandon Gonzalez Defensive Rebound.,44,71
6:55,2545,Quinton Thomas Turnover.,44,71
6:54,87,TJ Gibbs Steal.,44,71
6:51,87,TJ Gibbs made Layup.,44,73
6:36,2545,James Currington missed Jumper.,44,73
6:36,87,Bonzie Colson Defensive Rebound.,44,73
6:21,2545,Foul on Brandon Gonzalez.,44,73
6:21,87,D.J. Harvey made Free Throw.,44,74
6:21,87,D.J. Harvey missed Free Throw.,44,74
6:21,2545,Marlain Veal Defensive Rebound.,44,74
6:09,2545,James Currington missed Layup.,44,74
6:09,87,Elijah Burns Defensive Rebound.,44,74
5:56,87,Rex Pflueger missed Jumper.,44,74
5:56,87,TJ Gibbs Offensive Rebound.,44,74
5:51,87,Bonzie Colson made Layup. Assisted by TJ Gibbs.,44,76
5:31,2545,Jordan Capps made Three Point Jumper. Assisted by Marlain Veal.,47,76
5:21,87,TJ Gibbs missed Layup.,47,76
5:21,2545,James Currington Defensive Rebound.,47,76
5:11,2545,Jordan Capps missed Jumper.,47,76
5:11,87,Rex Pflueger Defensive Rebound.,47,76
5:00,87,Bonzie Colson missed Three Point Jumper.,47,76
5:00,2545,Brandon Gonzalez Defensive Rebound.,47,76
4:56,87,Foul on Rex Pflueger.,47,76
4:56,2545,Jordan Capps missed Free Throw.,47,76
4:56,2545,SE Louisiana Deadball Team Rebound.,47,76
4:56,2545,Jordan Capps made Free Throw.,48,76
4:35,87,D.J. Harvey missed Jumper.,48,76
4:35,2545,Marlain Veal Defensive Rebound.,48,76
4:25,2545,Eddy Polanco missed Three Point Jumper.,48,76
4:25,87,Austin Torres Defensive Rebound.,48,76
4:14,87,TJ Gibbs made Jumper.,48,78
4:02,2545,Moses Greenwood Turnover.,48,78
3:55,87,TJ Gibbs Steal.,48,78
3:54,87,Austin Torres made Layup. Assisted by Rex Pflueger.,48,80
3:31,2545,Moses Greenwood missed Jumper.,48,80
3:31,87,D.J. Harvey Block.,48,80
3:29,87,Rex Pflueger Defensive Rebound.,48,80
3:25,87,D.J. Harvey missed Three Point Jumper.,48,80
3:25,2545,Marlain Veal Defensive Rebound.,48,80
3:09,2545,Keith Charleston missed Jumper.,48,80
3:09,87,TJ Gibbs Defensive Rebound.,48,80
3:02,87,TJ Gibbs made Layup.,48,82
2:50,2545,SE Louisiana  Timeout,48,82
2:35,2545,Keith Charleston missed Three Point Jumper.,48,82
2:35,87,Elijah Burns Defensive Rebound.,48,82
2:21,87,Austin Torres missed Jumper.,48,82
2:21,87,Liam Nelligan Offensive Rebound.,48,82
2:17,87,Liam Nelligan made Jumper.,48,84
2:00,2545,Joshua Filmore missed Three Point Jumper.,48,84
2:00,87,Liam Nelligan Defensive Rebound.,48,84
1:46,87,D.J. Harvey made Layup.,48,86
1:32,2545,Moses Greenwood made Layup. Assisted by Marlain Veal.,50,86
1:06,87,D.J. Harvey missed Jumper.,50,86
1:06,2545,Jordan Capps Defensive Rebound.,50,86
0:58,2545,Jordan Capps missed Three Point Jumper.,50,86
0:58,2545,Quinton Thomas Offensive Rebound.,50,86
0:52,2545,Quinton Thomas missed Dunk.,50,86
0:52,87,Elijah Burns Defensive Rebound.,50,86
0:36,87,Matt Gregory missed Jumper.,50,86
0:36,2545,Moses Greenwood Defensive Rebound.,50,86
0:22,2545,Jordan Capps missed Layup.,50,86
0:22,87,Austin Torres Defensive Rebound.,50,86
0:00,87,End of Game,50,86
