Portland St,25,California,2502
13:09,2502,Michael Mayhew made Three Point Jumper. Assisted by Holland Woods.,19,10
12:38,25,Don Coleman missed Three Point Jumper.,19,10
12:38,2502,Deontae North Defensive Rebound.,19,10
12:28,2502,Brandon Hollins made Layup. Assisted by Deontae North.,21,10
12:06,25,Darius McNeill missed Jumper.,21,10
12:06,2502,Brandon Hollins Defensive Rebound.,21,10
12:04,2502,Brandon Hollins Turnover.,21,10
12:04,25,Don Coleman Steal.,21,10
11:59,2502,Foul on Ryan Edwards.,21,10
11:59,25,Official TV Timeout,21,10
11:59,25,Don Coleman missed Free Throw.,21,10
11:59,25,California Deadball Team Rebound.,21,10
11:59,25,Don Coleman missed Free Throw.,21,10
11:59,2502,Portland State Deadball Team Rebound.,21,10
11:58,25,Foul on Justice Sueing.,21,10
11:52,2502,Deontae North made Jumper.,23,10
11:40,25,Don Coleman Turnover.,23,10
11:36,2502,Michael Mayhew made Three Point Jumper. Assisted by Holland Woods.,26,10
11:07,25,Darius McNeill missed Three Point Jumper.,26,10
11:07,2502,Deontae North Defensive Rebound.,26,10
10:55,2502,Braxton Tucker missed Jumper.,26,10
10:55,25,Kingsley Okoroh Block.,26,10
10:53,25,Marcus Lee Defensive Rebound.,26,10
10:34,25,Juhwan Harris-Dyson made Layup.,26,12
10:10,2502,Deontae North made Jumper.,28,12
9:56,25,California  Turnover.,28,12
9:49,2502,Jamie Orme missed Three Point Jumper.,28,12
9:49,25,Darius McNeill Defensive Rebound.,28,12
9:35,25,Juhwan Harris-Dyson Turnover.,28,12
9:33,2502,Jamie Orme Steal.,28,12
9:27,2502,Bryce Canda missed Three Point Jumper.,28,12
9:27,2502,Deontae North Offensive Rebound.,28,12
9:22,2502,Deontae North missed Jumper.,28,12
9:22,25,Kingsley Okoroh Block.,28,12
9:20,25,Juhwan Harris-Dyson Defensive Rebound.,28,12
9:19,2502,Foul on Jamie Orme.,28,12
9:08,25,Darius McNeill missed Jumper.,28,12
9:08,2502,Michael Mayhew Defensive Rebound.,28,12
9:01,25,Foul on Marcus Lee.,28,12
9:01,2502,Jamie Orme made Free Throw.,29,12
9:01,2502,Jamie Orme made Free Throw.,30,12
8:44,25,Don Coleman made Jumper. Assisted by Nick Hamilton.,30,14
8:26,2502,Deontae North Turnover.,30,14
8:25,25,Nick Hamilton Steal.,30,14
8:21,25,Don Coleman missed Layup.,30,14
8:21,25,Don Coleman Offensive Rebound.,30,14
8:18,25,Don Coleman made Layup.,30,16
8:12,2502,Holland Woods made Three Point Jumper. Assisted by Jamie Orme.,33,16
7:57,25,Juhwan Harris-Dyson Turnover.,33,16
7:55,2502,Deontae North Steal.,33,16
7:53,2502,Deontae North made Three Point Jumper.,36,16
7:50,25,California  Timeout,36,16
7:34,25,Deschon Winston Turnover.,36,16
7:23,2502,Michael Mayhew made Three Point Jumper. Assisted by Bryce Canda.,39,16
6:57,2502,Foul on Holland Woods.,39,16
6:57,25,Don Coleman made Free Throw.,39,17
6:57,25,Don Coleman made Free Throw.,39,18
6:48,2502,Deontae North missed Three Point Jumper.,39,18
6:48,25,Marcus Lee Defensive Rebound.,39,18
6:35,25,Darius McNeill made Layup.,39,20
6:27,25,Foul on Nick Hamilton.,39,20
6:20,2502,Michael Mayhew missed Three Point Jumper.,39,20
6:20,2502,Brandon Hollins Offensive Rebound.,39,20
6:14,2502,Holland Woods missed Jumper.,39,20
6:14,25,Marcus Lee Defensive Rebound.,39,20
6:06,25,Deschon Winston made Layup.,39,22
5:58,2502,Deontae North missed Layup.,39,22
5:58,25,Nick Hamilton Defensive Rebound.,39,22
5:32,25,Marcus Lee made Jumper. Assisted by Darius McNeill.,39,24
5:15,2502,Michael Mayhew missed Three Point Jumper.,39,24
5:15,2502,Bryce Canda Offensive Rebound.,39,24
5:11,2502,Bryce Canda made Dunk.,41,24
5:10,2502,Portland State  Timeout,41,24
5:07,25,Deschon Winston Turnover.,41,24
4:51,2502,Jamie Orme made Dunk. Assisted by Bryce Canda.,43,24
4:34,2502,Foul on Brandon Hollins.,43,24
4:22,25,Kingsley Okoroh missed Jumper.,43,24
4:22,25,Nick Hamilton Offensive Rebound.,43,24
4:14,25,Foul on Kingsley Okoroh.,43,24
4:14,25,Kingsley Okoroh Turnover.,43,24
4:14,25,Technical Foul on Nick Hamilton.,43,24
4:14,25,Foul on Nick Hamilton.,43,24
4:14,2502,Holland Woods made Free Throw.,44,24
4:14,2502,Holland Woods made Free Throw.,45,24
3:59,2502,Deontae North made Three Point Jumper. Assisted by Holland Woods.,48,24
3:40,25,California  Timeout,48,24
3:35,25,Kingsley Okoroh Turnover.,48,24
3:19,2502,Jamie Orme missed Three Point Jumper.,48,24
3:19,2502,Bryce Canda Offensive Rebound.,48,24
3:13,25,Foul on Marcus Lee.,48,24
3:13,2502,Deontae North made Free Throw.,49,24
3:13,2502,Deontae North made Free Throw.,50,24
3:10,25,Darius McNeill Turnover.,50,24
3:09,2502,Brandon Hollins Steal.,50,24
3:07,2502,Bryce Canda made Layup. Assisted by Brandon Hollins.,52,24
3:00,2502,Foul on Brandon Hollins.,52,24
3:00,25,Kingsley Okoroh made Free Throw.,52,25
3:00,25,Kingsley Okoroh missed Free Throw.,52,25
3:00,25,Grant Anticevich Offensive Rebound.,52,25
2:50,25,Kingsley Okoroh made Jumper.,52,27
2:40,2502,Michael Mayhew missed Three Point Jumper.,52,27
2:40,25,Kingsley Okoroh Defensive Rebound.,52,27
2:29,2502,Foul on Braxton Tucker.,52,27
2:29,25,Grant Anticevich made Free Throw.,52,28
2:29,25,Grant Anticevich missed Free Throw.,52,28
2:29,2502,Bryce Canda Defensive Rebound.,52,28
2:14,25,Foul on Juhwan Harris-Dyson.,52,28
2:14,2502,Holland Woods missed Free Throw.,52,28
2:14,25,Grant Anticevich Defensive Rebound.,52,28
2:02,2502,Foul on Michael Mayhew.,52,28
2:02,25,Darius McNeill made Free Throw.,52,29
2:02,25,Darius McNeill made Free Throw.,52,30
1:55,25,Foul on Grant Anticevich.,52,30
1:55,2502,Bryce Canda made Free Throw.,53,30
1:55,2502,Bryce Canda made Free Throw.,54,30
1:48,25,Don Coleman missed Jumper.,54,30
1:48,25,Don Coleman Offensive Rebound.,54,30
1:46,2502,Foul on Michael Mayhew.,54,30
1:46,25,Don Coleman missed Free Throw.,54,30
1:46,25,California Deadball Team Rebound.,54,30
1:46,25,Don Coleman made Free Throw.,54,31
1:35,2502,Bryce Canda Turnover.,54,31
1:34,25,Darius McNeill Steal.,54,31
1:30,2502,Foul on Holland Woods.,54,31
1:30,25,Darius McNeill missed Free Throw.,54,31
1:30,25,California Deadball Team Rebound.,54,31
1:30,25,Darius McNeill made Free Throw.,54,32
1:13,2502,Derek Brown Turnover.,54,32
1:12,2502,Foul on Derek Brown.,54,32
1:12,25,Juhwan Harris-Dyson missed Free Throw.,54,32
1:12,25,California Deadball Team Rebound.,54,32
1:12,25,Juhwan Harris-Dyson missed Free Throw.,54,32
1:12,25,Nick Hamilton Offensive Rebound.,54,32
1:08,25,Nick Hamilton made Two Point Tip Shot.,54,34
0:43,2502,Bryce Canda made Jumper.,56,34
0:38,25,Nick Hamilton Turnover.,56,34
0:38,2502,Derek Brown Steal.,56,34
0:36,2502,Jamie Orme missed Jumper.,56,34
0:36,25,Kingsley Okoroh Block.,56,34
0:35,25,Kingsley Okoroh Defensive Rebound.,56,34
0:31,25,Don Coleman made Layup.,56,36
0:31,2502,Foul on Derek Brown.,56,36
0:31,25,Don Coleman made Free Throw.,56,37
0:02,2502,Deontae North missed Three Point Jumper.,56,37
0:02,2502,Jamie Orme Offensive Rebound.,56,37
0:00,25,End of 1st half,56,37
19:36,2502,Deontae North missed Jumper.,56,37
19:36,25,Justice Sueing Block.,56,37
19:36,2502,Portland State Offensive Rebound.,56,37
19:33,2502,Holland Woods made Jumper.,58,37
19:04,2502,Foul on Holland Woods.,58,37
19:04,25,Justice Sueing made Free Throw.,58,38
19:04,25,Justice Sueing made Free Throw.,58,39
18:43,25,Foul on Nick Hamilton.,58,39
18:43,2502,Deontae North made Free Throw.,59,39
18:43,2502,Deontae North missed Free Throw.,59,39
18:43,25,Justice Sueing Defensive Rebound.,59,39
18:33,25,Juhwan Harris-Dyson missed Layup.,59,39
18:33,2502,Holland Woods Defensive Rebound.,59,39
18:26,2502,Bryce Canda made Three Point Jumper. Assisted by Holland Woods.,62,39
17:59,25,Marcus Lee missed Jumper.,62,39
17:59,2502,Ryan Edwards Block.,62,39
17:57,2502,Brandon Hollins Defensive Rebound.,62,39
17:56,25,Foul on Don Coleman.,62,39
17:51,2502,Deontae North Turnover.,62,39
17:51,25,Darius McNeill Steal.,62,39
17:41,2502,Foul on Ryan Edwards.,62,39
17:41,25,Juhwan Harris-Dyson made Free Throw.,62,40
17:41,25,Juhwan Harris-Dyson made Free Throw.,62,41
17:23,2502,Ryan Edwards missed Three Point Jumper.,62,41
17:23,25,Darius McNeill Defensive Rebound.,62,41
17:01,25,Justice Sueing missed Jumper.,62,41
17:01,2502,Ryan Edwards Block.,62,41
17:00,25,California Offensive Rebound.,62,41
16:56,25,Marcus Lee made Jumper.,62,43
16:44,2502,Michael Mayhew made Three Point Jumper. Assisted by Holland Woods.,65,43
16:22,25,Foul on Justice Sueing.,65,43
16:22,25,Justice Sueing Turnover.,65,43
16:04,2502,Braxton Tucker missed Jumper.,65,43
16:04,25,Darius McNeill Defensive Rebound.,65,43
15:53,25,Juhwan Harris-Dyson made Layup.,65,45
15:53,25,Official TV Timeout,65,45
15:35,2502,Holland Woods made Jumper.,67,45
15:23,25,Darius McNeill Turnover.,67,45
15:21,2502,Brandon Hollins Steal.,67,45
15:20,2502,Brandon Hollins made Layup.,69,45
15:18,25,Foul on Don Coleman.,69,45
15:18,25,Don Coleman Turnover.,69,45
15:01,2502,Bryce Canda missed Layup.,69,45
15:01,2502,Portland State Offensive Rebound.,69,45
14:55,2502,Holland Woods missed Jumper.,69,45
14:55,25,Justice Sueing Defensive Rebound.,69,45
14:42,2502,Foul on Braxton Tucker.,69,45
14:31,2502,Foul on Brandon Hollins.,69,45
14:28,25,Juhwan Harris-Dyson missed Layup.,69,45
14:28,25,Marcus Lee Offensive Rebound.,69,45
14:24,25,Marcus Lee missed Layup.,69,45
14:24,2502,Brandon Hollins Defensive Rebound.,69,45
14:17,2502,Michael Mayhew made Three Point Jumper. Assisted by Bryce Canda.,72,45
14:09,2502,Foul on Michael Mayhew.,72,45
14:09,25,Darius McNeill missed Free Throw.,72,45
14:09,25,California Deadball Team Rebound.,72,45
14:09,25,Darius McNeill made Free Throw.,72,46
14:00,2502,Ryan Edwards missed Jumper.,72,46
14:00,25,Kingsley Okoroh Block.,72,46
13:58,2502,Michael Mayhew Offensive Rebound.,72,46
13:54,2502,Michael Mayhew Turnover.,72,46
13:53,25,Don Coleman Steal.,72,46
13:52,25,Don Coleman Turnover.,72,46
13:50,2502,Bryce Canda Steal.,72,46
13:47,2502,Bryce Canda missed Three Point Jumper.,72,46
13:47,25,Justice Sueing Defensive Rebound.,72,46
13:38,25,Don Coleman made Layup.,72,48
13:08,2502,Holland Woods missed Three Point Jumper.,72,48
13:08,25,California Deadball Team Rebound.,72,48
13:05,2502,Foul on Jamie Orme.,72,48
13:00,25,Juhwan Harris-Dyson made Layup.,72,50
12:52,2502,Deontae North missed Jumper.,72,50
12:52,25,Justice Sueing Defensive Rebound.,72,50
12:42,2502,Foul on Jamie Orme.,72,50
12:42,25,Darius McNeill made Free Throw.,72,51
12:42,25,Darius McNeill made Free Throw.,72,52
12:24,25,Foul on Kingsley Okoroh.,72,52
12:24,2502,Deontae North made Free Throw.,73,52
12:24,2502,Deontae North made Free Throw.,74,52
12:12,25,Darius McNeill missed Jumper.,74,52
12:12,2502,Brandon Hollins Defensive Rebound.,74,52
12:06,2502,Brandon Hollins made Dunk. Assisted by Holland Woods.,76,52
11:54,25,Nick Hamilton missed Jumper.,76,52
11:54,2502,Ryan Edwards Block.,76,52
11:53,25,Cole Welle Offensive Rebound.,76,52
11:50,25,Cole Welle missed Jumper.,76,52
11:50,2502,Bryce Canda Defensive Rebound.,76,52
11:46,2502,Bryce Canda missed Layup.,76,52
11:46,2502,Ryan Edwards Offensive Rebound.,76,52
11:45,25,Foul on Cole Welle.,76,52
11:45,25,Official TV Timeout,76,52
11:45,2502,Ryan Edwards missed Free Throw.,76,52
11:45,2502,Portland State Deadball Team Rebound.,76,52
11:45,2502,Ryan Edwards made Free Throw.,77,52
11:44,25,Official TV Timeout,76,52
11:40,25,Don Coleman missed Layup.,77,52
11:40,2502,Ryan Edwards Block.,77,52
11:40,25,California Offensive Rebound.,77,52
11:39,25,Deschon Winston Turnover.,77,52
11:32,2502,Deontae North missed Layup.,77,52
11:32,25,Deschon Winston Defensive Rebound.,77,52
11:31,2502,Foul on Brandon Hollins.,77,52
11:31,25,Deschon Winston missed Free Throw.,77,52
11:31,2502,Ryan Edwards Defensive Rebound.,77,52
11:20,2502,Jamie Orme made Layup. Assisted by Bryce Canda.,79,52
10:55,2502,Foul on Ryan Edwards.,79,52
10:55,25,Justice Sueing made Free Throw.,79,53
10:55,25,Justice Sueing made Free Throw.,79,54
10:33,25,Foul on Cole Welle.,79,54
10:33,2502,Jamie Orme made Free Throw.,80,54
10:33,2502,Jamie Orme made Free Throw.,81,54
10:18,2502,Foul on Deontae North.,81,54
10:18,25,Marcus Lee made Free Throw.,81,55
10:18,25,Marcus Lee made Free Throw.,81,56
10:11,2502,Michael Mayhew missed Three Point Jumper.,81,56
10:11,2502,Deontae North Offensive Rebound.,81,56
10:06,25,Foul on Marcus Lee.,81,56
10:06,2502,Deontae North made Free Throw.,82,56
10:06,2502,Deontae North made Free Throw.,83,56
9:56,25,Marcus Lee made Dunk.,83,58
9:34,25,Foul on Deschon Winston.,83,58
9:34,2502,Deontae North made Free Throw.,84,58
9:34,2502,Deontae North missed Free Throw.,84,58
9:34,25,Justice Sueing Defensive Rebound.,84,58
9:26,25,Don Coleman Turnover.,84,58
9:24,2502,Michael Mayhew Steal.,84,58
9:21,2502,Deontae North made Layup. Assisted by Michael Mayhew.,86,58
9:13,25,Juhwan Harris-Dyson missed Layup.,86,58
9:13,25,Marcus Lee Offensive Rebound.,86,58
9:08,25,Marcus Lee made Dunk.,86,60
9:05,2502,Holland Woods Turnover.,86,60
8:56,25,Don Coleman made Layup.,86,62
8:49,2502,Deontae North missed Three Point Jumper.,86,62
8:49,25,Marcus Lee Defensive Rebound.,86,62
8:33,2502,Foul on Deontae North.,86,62
8:33,25,Marcus Lee missed Free Throw.,86,62
8:33,25,California Deadball Team Rebound.,86,62
8:33,25,Marcus Lee made Free Throw.,86,63
8:28,2502,Deontae North missed Three Point Jumper.,86,63
8:28,25,Marcus Lee Defensive Rebound.,86,63
8:15,25,Deschon Winston made Jumper.,86,65
8:04,2502,Deontae North Turnover.,86,65
8:03,25,Justice Sueing Steal.,86,65
8:01,2502,Foul on Deontae North.,86,65
8:01,25,Justice Sueing made Free Throw.,86,66
8:01,25,Justice Sueing made Free Throw.,86,67
7:36,2502,Bryce Canda made Jumper. Assisted by Michael Mayhew.,88,67
7:26,25,Deschon Winston Turnover.,88,67
7:25,2502,Holland Woods Steal.,88,67
7:21,2502,Brandon Hollins made Dunk. Assisted by Holland Woods.,90,67
7:20,2502,Technical Foul on Brandon Hollins.,90,67
7:20,25,Official TV Timeout,90,67
7:20,25,Justice Sueing made Free Throw.,90,68
7:11,25,Juhwan Harris-Dyson Turnover.,90,68
7:11,2502,Bryce Canda Steal.,90,68
7:05,2502,Michael Mayhew missed Three Point Jumper.,90,68
7:05,2502,Ryan Edwards Offensive Rebound.,90,68
7:02,2502,Ryan Edwards made Dunk.,92,68
6:50,2502,Foul on Ryan Edwards.,92,68
6:50,25,Marcus Lee made Free Throw.,92,69
6:50,25,Marcus Lee made Free Throw.,92,70
6:41,2502,Braxton Tucker missed Layup.,92,70
6:37,25,Kingsley Okoroh Block.,92,70
6:35,25,Nick Hamilton Defensive Rebound.,92,70
6:31,25,Deschon Winston made Layup. Assisted by Nick Hamilton.,92,72
6:10,25,Foul on Deschon Winston.,92,72
6:10,2502,Holland Woods made Free Throw.,93,72
6:10,2502,Holland Woods made Free Throw.,94,72
6:10,2502,Portland State  Timeout,94,72
6:03,25,Deschon Winston missed Three Point Jumper.,94,72
6:03,25,Kingsley Okoroh Offensive Rebound.,94,72
5:58,25,Kingsley Okoroh made Two Point Tip Shot.,94,74
5:29,2502,Bryce Canda missed Three Point Jumper.,94,74
5:29,25,Austin McCullough Defensive Rebound.,94,74
5:14,25,Justice Sueing missed Three Point Jumper.,94,74
5:14,2502,Holland Woods Defensive Rebound.,94,74
5:06,2502,Deontae North missed Jumper.,94,74
5:06,25,Austin McCullough Defensive Rebound.,94,74
4:54,25,Nick Hamilton Turnover.,94,74
4:36,2502,Bryce Canda missed Three Point Jumper.,94,74
4:36,2502,Braxton Tucker Offensive Rebound.,94,74
4:30,25,Foul on Kingsley Okoroh.,94,74
4:30,2502,Braxton Tucker missed Free Throw.,94,74
4:30,2502,Portland State Deadball Team Rebound.,94,74
4:30,2502,Braxton Tucker made Free Throw.,95,74
4:14,25,Justice Sueing missed Jumper.,95,74
4:14,2502,Jamie Orme Defensive Rebound.,95,74
4:09,2502,Bryce Canda made Layup. Assisted by Michael Mayhew.,97,74
3:47,25,Deschon Winston missed Three Point Jumper.,97,74
3:47,2502,Jamie Orme Defensive Rebound.,97,74
3:39,2502,Bryce Canda made Three Point Jumper. Assisted by Holland Woods.,100,74
3:31,2502,Foul on Braxton Tucker.,100,74
3:31,25,Official TV Timeout,100,74
3:31,25,Don Coleman missed Free Throw.,100,74
3:31,25,California Deadball Team Rebound.,100,74
3:31,25,Don Coleman made Free Throw.,100,75
3:04,2502,Devyn Wilson made Jumper.,102,75
2:57,2502,Foul on Devyn Wilson.,102,75
2:57,25,Deschon Winston made Free Throw.,102,76
2:57,25,Deschon Winston made Free Throw.,102,77
2:32,2502,Devyn Wilson missed Three Point Jumper.,102,77
2:32,2502,Bryce Canda Offensive Rebound.,102,77
2:29,2502,Bryce Canda made Layup.,104,77
2:16,25,Deschon Winston Turnover.,104,77
2:14,2502,Jamie Orme Steal.,104,77
1:51,2502,Jamie Orme missed Jumper.,104,77
1:51,25,Kingsley Okoroh Block.,104,77
1:51,2502,Portland State Offensive Rebound.,104,77
1:48,2502,Bryce Canda missed Three Point Jumper.,104,77
1:48,25,California Defensive Rebound.,104,77
1:36,25,Don Coleman made Layup.,104,79
1:26,2502,Portland State  Timeout,104,79
1:08,2502,Derek Brown missed Layup.,104,79
1:08,25,Grant Anticevich Defensive Rebound.,104,79
0:59,25,Deschon Winston made Layup.,104,81
0:32,2502,Jamie Orme made Dunk. Assisted by Derek Brown.,106,81
0:22,25,Grant Anticevich missed Three Point Jumper.,106,81
0:22,25,Don Coleman Offensive Rebound.,106,81
0:18,25,Don Coleman missed Jumper.,106,81
0:18,2502,Jamie Orme Block.,106,81
0:16,2502,Michael Mayhew Defensive Rebound.,106,81
0:00,25,End of Game,106,81
