Boston University,108,Harvard,104
12:26,108,Rio Haskett Steal.,8,15
12:14,108,Corey Johnson made Three Point Jumper.,8,18
12:07,104,Boston University  Timeout,8,18
12:07,108,Official TV Timeout,8,18
11:48,104,Sukhmail Mathon missed Jumper.,8,18
11:48,108,Corey Johnson Defensive Rebound.,8,18
11:37,108,Foul on Seth Towns.,8,18
11:37,108,Seth Towns Turnover.,8,18
11:23,108,Foul on Chris Lewis.,8,18
11:23,104,Tyler Scanlon made Free Throw.,9,18
11:23,104,Tyler Scanlon missed Free Throw.,9,18
11:22,104,Sukhmail Mathon Offensive Rebound.,9,18
11:19,104,Tyler Scanlon made Three Point Jumper. Assisted by Will Goff.,12,18
10:57,108,Henry Welsh made Jumper.,12,20
10:34,104,Walter Whyte missed Jumper.,12,20
10:34,108,Christian Juzang Defensive Rebound.,12,20
10:20,108,Danilo Djuricic Turnover.,12,20
10:03,104,Javante McCoy missed Three Point Jumper.,12,20
10:03,108,Danilo Djuricic Defensive Rebound.,12,20
9:47,108,Corey Johnson missed Three Point Jumper.,12,20
9:47,104,Javante McCoy Defensive Rebound.,12,20
9:34,104,Max Mahoney made Jumper. Assisted by Tyler Scanlon.,14,20
9:21,104,Foul on Javante McCoy.,14,20
8:59,108,Harvard  Turnover.,14,20
8:41,104,Cedric Hankerson missed Three Point Jumper.,14,20
8:41,108,Seth Towns Defensive Rebound.,14,20
8:20,108,Seth Towns made Three Point Jumper. Assisted by Corey Johnson.,14,23
7:59,104,Tyler Scanlon missed Jumper.,14,23
7:59,108,Chris Egi Defensive Rebound.,14,23
7:41,108,Christian Juzang made Three Point Jumper. Assisted by Corey Johnson.,14,26
7:20,104,Cedric Hankerson missed Three Point Jumper.,14,26
7:20,108,Seth Towns Defensive Rebound.,14,26
7:08,108,Corey Johnson missed Three Point Jumper.,14,26
7:08,104,Max Mahoney Defensive Rebound.,14,26
6:57,104,Max Mahoney made Layup. Assisted by Eric Johnson.,16,26
6:39,108,Seth Towns Turnover.,16,26
6:38,104,Cedric Hankerson Steal.,16,26
6:32,104,Cedric Hankerson missed Three Point Jumper.,16,26
6:32,108,Justin Bassey Defensive Rebound.,16,26
6:20,108,Seth Towns missed Jumper.,16,26
6:20,104,Max Mahoney Defensive Rebound.,16,26
6:01,104,Will Goff made Layup. Assisted by Max Mahoney.,18,26
5:44,108,Justin Bassey made Three Point Jumper. Assisted by Christian Juzang.,18,29
5:31,104,Cedric Hankerson Turnover.,18,29
5:31,104,Foul on Cedric Hankerson.,18,29
5:31,108,Official TV Timeout,18,29
5:01,108,Rio Haskett missed Jumper.,18,29
5:01,104,Tyler Scanlon Defensive Rebound.,18,29
4:42,104,Will Goff made Three Point Jumper. Assisted by Tyler Scanlon.,21,29
4:17,108,Weisner Perez made Layup.,21,31
3:58,104,Will Goff made Layup. Assisted by Tyler Scanlon.,23,31
3:35,108,Danilo Djuricic Turnover.,23,31
3:34,104,Javante McCoy Steal.,23,31
3:25,108,Foul on Justin Bassey.,23,31
3:25,108,Official TV Timeout,23,31
3:25,104,Cedric Hankerson missed Free Throw.,23,31
3:25,104,Boston University Deadball Team Rebound.,23,31
3:25,104,Cedric Hankerson made Free Throw.,24,31
3:06,108,Rio Haskett made Layup.,24,33
2:48,104,Javante McCoy made Layup.,26,33
2:29,108,Danilo Djuricic made Three Point Jumper. Assisted by Rio Haskett.,26,36
2:15,104,Max Mahoney missed Layup.,26,36
2:15,108,Corey Johnson Defensive Rebound.,26,36
2:02,108,Weisner Perez Turnover.,26,36
2:02,104,Max Mahoney Steal.,26,36
1:47,108,Foul on Weisner Perez.,26,36
1:47,104,Walter Whyte made Free Throw.,27,36
1:47,104,Walter Whyte missed Free Throw.,27,36
1:47,108,Danilo Djuricic Defensive Rebound.,27,36
1:27,108,Justin Bassey Turnover.,27,36
1:12,104,Cedric Hankerson missed Three Point Jumper.,27,36
1:12,104,Tyler Scanlon Offensive Rebound.,27,36
1:09,104,Tyler Scanlon made Layup.,29,36
0:56,108,Corey Johnson Turnover.,29,36
0:47,104,Javante McCoy made Layup.,31,36
0:45,108,Harvard  Timeout,31,36
0:33,104,Foul on Tyler Scanlon.,31,36
0:23,108,Christian Juzang Turnover.,31,36
0:22,104,Tyler Scanlon Steal.,31,36
0:05,104,Tyler Scanlon made Three Point Jumper. Assisted by Javante McCoy.,34,36
0:00,108,End of 1st half,34,36
19:55,104,Foul on Max Mahoney.,34,36
19:34,108,Chris Egi missed Jumper.,34,36
19:34,108,Weisner Perez Offensive Rebound.,34,36
19:30,108,Weisner Perez Turnover.,34,36
19:29,104,Javante McCoy Steal.,34,36
19:09,104,Tyler Scanlon Turnover.,34,36
19:08,108,Chris Egi Steal.,34,36
19:08,104,Foul on Sukhmail Mathon.,34,36
18:38,108,Andre Chatfield missed Three Point Jumper.,34,36
18:38,104,Tyler Scanlon Defensive Rebound.,34,36
18:18,104,Will Goff missed Three Point Jumper.,34,36
18:18,108,Weisner Perez Defensive Rebound.,34,36
17:49,108,Robbie Feinberg made Three Point Jumper. Assisted by Andre Chatfield.,34,39
17:33,104,Tyler Scanlon missed Three Point Jumper.,34,39
17:33,104,Boston University Offensive Rebound.,34,39
17:17,108,Foul on Zach Yoshor.,34,39
17:17,104,Max Mahoney made Free Throw.,35,39
17:17,104,Max Mahoney missed Free Throw.,35,39
17:17,104,Javante McCoy Offensive Rebound.,35,39
17:11,104,Walter Whyte Turnover.,35,39
17:10,108,Chris Egi Steal.,35,39
17:01,108,Weisner Perez missed Layup.,35,39
17:01,104,Walter Whyte Block.,35,39
17:00,108,Harvard Offensive Rebound.,35,39
16:47,108,Rio Haskett made Jumper.,35,41
16:47,104,Foul on Walter Whyte.,35,41
16:47,108,Rio Haskett missed Free Throw.,35,41
16:47,104,Walter Whyte Defensive Rebound.,35,41
16:34,104,Walter Whyte Turnover.,35,41
16:33,108,Rio Haskett Steal.,35,41
16:33,104,Foul on Tyler Scanlon.,35,41
16:33,108,Rio Haskett missed Free Throw.,35,41
16:33,108,Harvard Deadball Team Rebound.,35,41
16:33,108,Rio Haskett made Free Throw.,35,42
16:05,108,Justin Bassey made Layup.,35,44
16:05,104,Foul on Cedric Hankerson.,35,44
16:05,108,Justin Bassey made Free Throw.,35,45
15:47,104,Max Mahoney missed Jumper.,35,45
15:47,108,Weisner Perez Defensive Rebound.,35,45
15:22,108,Rio Haskett missed Three Point Jumper.,35,45
15:22,104,Eric Johnson Defensive Rebound.,35,45
15:09,108,Foul on Robbie Feinberg.,35,45
15:09,108,Official TV Timeout,35,45
15:09,104,Max Mahoney made Free Throw.,36,45
15:09,104,Max Mahoney missed Free Throw.,36,45
15:09,108,Justin Bassey Defensive Rebound.,36,45
14:50,108,Weisner Perez missed Jumper.,36,45
14:50,104,Tyler Scanlon Defensive Rebound.,36,45
14:25,104,Javante McCoy made Three Point Jumper. Assisted by Eric Johnson.,39,45
14:17,108,Chris Egi Turnover.,39,45
14:05,104,Javante McCoy missed Three Point Jumper.,39,45
14:05,108,Rio Haskett Defensive Rebound.,39,45
13:55,108,Justin Bassey missed Three Point Jumper.,39,45
13:55,108,Chris Egi Offensive Rebound.,39,45
13:37,108,Chris Egi made Layup.,39,47
13:19,104,Eric Johnson made Three Point Jumper. Assisted by Cedric Hankerson.,42,47
13:05,108,Chris Egi made Layup. Assisted by Justin Bassey.,42,49
13:05,104,Foul on Max Mahoney.,42,49
13:05,108,Chris Egi missed Free Throw.,42,49
13:05,104,Tyler Scanlon Defensive Rebound.,42,49
12:55,108,Foul on Corey Johnson.,42,49
12:34,104,Boston University  Turnover.,42,49
12:12,108,Corey Johnson missed Three Point Jumper.,42,49
12:12,104,Eric Johnson Defensive Rebound.,42,49
11:48,104,Sukhmail Mathon missed Jumper.,42,49
11:48,108,Corey Johnson Defensive Rebound.,42,49
11:39,108,Christian Juzang Turnover.,42,49
11:38,104,Eric Johnson Steal.,42,49
11:38,108,Foul on Corey Johnson.,42,49
11:37,108,Official TV Timeout,42,49
11:22,104,Cedric Hankerson Turnover.,42,49
10:55,108,Christian Juzang made Three Point Jumper. Assisted by Seth Towns.,42,52
10:34,104,Sukhmail Mathon Turnover.,42,52
10:16,108,Chris Lewis made Layup. Assisted by Corey Johnson.,42,54
9:53,108,Foul on Justin Bassey.,42,54
9:53,104,Max Mahoney made Free Throw.,43,54
9:53,104,Max Mahoney missed Free Throw.,43,54
9:53,108,Seth Towns Defensive Rebound.,43,54
9:42,104,Foul on Will Goff.,43,54
9:42,108,Chris Lewis made Free Throw.,43,55
9:42,108,Chris Lewis made Free Throw.,43,56
9:28,104,Cedric Hankerson made Three Point Jumper. Assisted by Kamali Chambers.,46,56
9:02,108,Seth Towns made Jumper.,46,58
8:33,104,Kamali Chambers Turnover.,46,58
8:15,104,Foul on Tyler Scanlon.,46,58
8:15,108,Chris Lewis missed Free Throw.,46,58
8:15,108,Harvard Deadball Team Rebound.,46,58
8:15,108,Chris Lewis missed Free Throw.,46,58
8:15,104,Cedric Hankerson Defensive Rebound.,46,58
7:57,104,Foul on Tyler Scanlon.,46,58
7:57,104,Tyler Scanlon Turnover.,46,58
7:57,108,Official TV Timeout,46,58
7:35,108,Chris Lewis Turnover.,46,58
7:35,104,Cedric Hankerson Steal.,46,58
7:14,104,Max Mahoney missed Jumper.,46,58
7:14,104,Walter Whyte Offensive Rebound.,46,58
7:13,108,Foul on Corey Johnson.,46,58
7:06,104,Cedric Hankerson missed Three Point Jumper.,46,58
7:06,104,Boston University Offensive Rebound.,46,58
7:04,108,Foul on Weisner Perez.,46,58
7:04,104,Max Mahoney made Free Throw.,47,58
7:04,104,Max Mahoney missed Free Throw.,47,58
7:04,108,Weisner Perez Defensive Rebound.,47,58
6:47,108,Justin Bassey missed Layup.,47,58
6:47,108,Chris Egi Offensive Rebound.,47,58
6:44,108,Chris Egi made Dunk.,47,60
6:44,104,Technical Foul on Boston University.,47,60
6:44,108,Justin Bassey made Free Throw.,47,61
6:44,108,Justin Bassey made Free Throw.,47,62
6:31,108,Foul on Chris Egi.,47,62
6:31,104,Max Mahoney made Free Throw.,48,62
6:31,104,Max Mahoney made Free Throw.,49,62
6:21,104,Foul on Cedric Hankerson.,49,62
6:21,108,Rio Haskett made Free Throw.,49,63
6:21,108,Rio Haskett made Free Throw.,49,64
6:11,104,Tyler Scanlon missed Three Point Jumper.,49,64
6:11,108,Justin Bassey Defensive Rebound.,49,64
5:43,108,Rio Haskett Turnover.,49,64
5:32,104,Tyler Scanlon missed Three Point Jumper.,49,64
5:32,104,Max Mahoney Offensive Rebound.,49,64
5:30,108,Foul on Chris Egi.,49,64
5:30,104,Max Mahoney made Free Throw.,50,64
5:30,104,Max Mahoney made Free Throw.,51,64
5:01,108,Seth Towns made Jumper.,51,66
4:41,104,Walter Whyte missed Layup.,51,66
4:41,108,Justin Bassey Defensive Rebound.,51,66
4:16,108,Corey Johnson missed Three Point Jumper.,51,66
4:16,104,Cedric Hankerson Defensive Rebound.,51,66
4:06,104,Tyler Scanlon Turnover.,51,66
4:06,108,Christian Juzang Steal.,51,66
3:55,104,Foul on Javante McCoy.,51,66
3:55,108,Official TV Timeout,51,66
3:55,108,Christian Juzang missed Free Throw.,51,66
3:55,108,Harvard Deadball Team Rebound.,51,66
3:55,108,Christian Juzang made Free Throw.,51,67
3:44,104,Javante McCoy made Layup.,53,67
3:16,108,Christian Juzang Turnover.,53,67
3:09,108,Foul on Christian Juzang.,53,67
3:09,104,Javante McCoy made Free Throw.,54,67
3:09,104,Javante McCoy missed Free Throw.,54,67
3:09,108,Justin Bassey Defensive Rebound.,54,67
2:42,108,Justin Bassey made Three Point Jumper. Assisted by Christian Juzang.,54,70
2:29,104,Cedric Hankerson Turnover.,54,70
2:29,104,Foul on Cedric Hankerson.,54,70
2:20,108,Corey Johnson missed Three Point Jumper.,54,70
2:20,104,Max Mahoney Defensive Rebound.,54,70
2:02,104,Tyler Scanlon missed Three Point Jumper.,54,70
2:02,104,Max Mahoney Offensive Rebound.,54,70
1:55,104,Max Mahoney made Layup.,56,70
1:53,104,Boston University  Timeout,56,70
1:53,108,Official TV Timeout,56,70
1:27,108,Christian Juzang missed Layup.,56,70
1:27,108,Seth Towns Offensive Rebound.,56,70
1:24,108,Seth Towns Turnover.,56,70
1:23,104,Will Goff Steal.,56,70
1:09,104,Javante McCoy missed Layup.,56,70
1:09,108,Rio Haskett Block.,56,70
1:09,104,Boston University Offensive Rebound.,56,70
1:06,104,Cedric Hankerson missed Three Point Jumper.,56,70
1:06,108,Weisner Perez Defensive Rebound.,56,70
0:52,108,Harvard  Turnover.,56,70
0:44,104,Javante McCoy made Three Point Jumper. Assisted by Cedric Hankerson.,59,70
0:42,104,Boston University  Timeout,59,70
0:28,104,Foul on Javante McCoy.,59,70
0:28,108,Christian Juzang made Free Throw.,59,71
0:28,108,Christian Juzang made Free Throw.,59,72
0:20,104,Tyler Scanlon made Layup.,61,72
0:20,104,Boston University  Timeout,61,72
0:10,104,Foul on Javante McCoy.,61,72
0:10,108,Weisner Perez made Free Throw.,61,73
0:10,108,Weisner Perez made Free Throw.,61,74
0:06,104,Javante McCoy made Layup.,63,74
0:00,108,End of Game,63,74
