Long Beach State,127,Michigan State,299
1:01,299,Jordan Griffin made Three Point Jumper. Assisted by Deishuan Booker.,32,45
0:45,127,Miles Bridges made Three Point Jumper. Assisted by Ben Carter.,32,48
0:15,299,Gabe Levin missed Jumper.,32,48
0:15,127,Nick Ward Defensive Rebound.,32,48
0:02,127,Nick Ward missed Jumper.,32,48
0:02,299,Jordan Griffin Defensive Rebound.,32,48
0:00,127,End of 1st half,32,48
19:48,127,Miles Bridges missed Three Point Jumper.,32,48
19:48,299,KJ Byers Defensive Rebound.,32,48
19:32,299,Gabe Levin made Jumper.,34,48
19:20,299,Foul on Temidayo Yussuf.,34,48
19:12,127,Cassius Winston made Layup.,34,50
18:49,299,Temidayo Yussuf Turnover.,34,50
18:48,127,Jaren Jackson Jr. Steal.,34,50
18:42,127,Nick Ward Turnover.,34,50
18:32,299,Gabe Levin missed Layup.,34,50
18:32,127,Jaren Jackson Jr. Block.,34,50
18:30,127,Joshua Langford Defensive Rebound.,34,50
18:28,127,Cassius Winston made Layup. Assisted by Joshua Langford.,34,52
18:28,299,Foul on Deishuan Booker.,34,52
18:28,127,Cassius Winston made Free Throw.,34,53
18:11,299,Deishuan Booker Turnover.,34,53
18:03,127,Nick Ward made Dunk. Assisted by Jaren Jackson Jr..,34,55
18:01,299,Long Beach State  Timeout,34,55
18:01,127,Official TV Timeout,34,55
17:38,127,Foul on Jaren Jackson Jr..,34,55
17:35,299,Gabe Levin made Layup.,36,55
17:11,127,Miles Bridges made Dunk. Assisted by Cassius Winston.,36,57
16:54,299,Gabe Levin missed Layup.,36,57
16:54,127,Jaren Jackson Jr. Defensive Rebound.,36,57
16:43,127,Jaren Jackson Jr. made Three Point Jumper. Assisted by Cassius Winston.,36,60
16:36,127,Foul on Cassius Winston.,36,60
16:33,127,Foul on Cassius Winston.,36,60
16:22,299,Temidayo Yussuf missed Layup.,36,60
16:22,127,Jaren Jackson Jr. Block.,36,60
16:21,127,Gavin Schilling Defensive Rebound.,36,60
16:20,299,Foul on Temidayo Yussuf.,36,60
16:09,127,Miles Bridges missed Three Point Jumper.,36,60
16:09,299,Deishuan Booker Defensive Rebound.,36,60
16:01,299,KJ Byers made Dunk. Assisted by Gabe Levin.,38,60
15:42,127,Matt McQuaid missed Jumper.,38,60
15:42,299,Gabe Levin Defensive Rebound.,38,60
15:34,299,KJ Byers missed Layup.,38,60
15:34,127,Gavin Schilling Block.,38,60
15:33,299,Gabe Levin Offensive Rebound.,38,60
15:32,299,Gabe Levin missed Two Point Tip Shot.,38,60
15:28,299,Gabe Levin Offensive Rebound.,38,60
15:27,299,Gabe Levin Turnover.,38,60
15:27,127,Official TV Timeout,38,60
15:14,299,Foul on Mason Riggins.,38,60
14:56,127,Miles Bridges missed Jumper.,38,60
14:56,299,KJ Byers Block.,38,60
14:55,127,Matt McQuaid Offensive Rebound.,38,60
14:52,127,Matt McQuaid missed Jumper.,38,60
14:52,127,Michigan State Deadball Team Rebound.,38,60
14:52,127,Michigan State  Turnover.,38,60
14:36,299,Gabe Levin missed Jumper.,38,60
14:36,127,Gavin Schilling Defensive Rebound.,38,60
14:27,127,Miles Bridges made Layup. Assisted by Lourawls Nairn Jr..,38,62
14:06,299,Gabe Levin Turnover.,38,62
14:06,127,Lourawls Nairn Jr. Steal.,38,62
14:03,127,Lourawls Nairn Jr. made Layup.,38,64
13:39,299,Deishuan Booker made Three Point Jumper. Assisted by Mason Riggins.,41,64
13:25,127,Gavin Schilling made Jumper. Assisted by Matt McQuaid.,41,66
12:57,299,Deishuan Booker missed Three Point Jumper.,41,66
12:57,299,Long Beach State Offensive Rebound.,41,66
12:42,299,LaRond Williams made Jumper. Assisted by Gabe Levin.,43,66
12:27,127,Joshua Langford made Three Point Jumper. Assisted by Kenny Goins.,43,69
12:15,299,LaRond Williams missed Jumper.,43,69
12:15,299,LaRond Williams Offensive Rebound.,43,69
12:11,299,LaRond Williams made Layup.,45,69
12:00,127,Nick Ward made Jumper. Assisted by Kenny Goins.,45,71
11:27,127,Foul on Kenny Goins.,45,71
11:27,127,Official TV Timeout,45,71
11:26,299,LaRond Williams Turnover.,45,71
11:04,127,Cassius Winston missed Three Point Jumper.,45,71
11:04,299,Deishuan Booker Defensive Rebound.,45,71
10:56,299,Edon Maxhuni missed Three Point Jumper.,45,71
10:56,127,Nick Ward Defensive Rebound.,45,71
10:45,127,Joshua Langford Turnover.,45,71
10:45,299,Barry Ogalue Steal.,45,71
10:37,299,Foul on LaRond Williams.,45,71
10:37,299,LaRond Williams Turnover.,45,71
10:24,127,Miles Bridges made Jumper. Assisted by Cassius Winston.,45,73
9:50,299,Edon Maxhuni missed Jumper.,45,73
9:50,127,Miles Bridges Defensive Rebound.,45,73
9:35,127,Joshua Langford made Three Point Jumper. Assisted by Kenny Goins.,45,76
9:23,299,Barry Ogalue Turnover.,45,76
9:23,127,Joshua Langford Steal.,45,76
9:12,127,Miles Bridges missed Three Point Jumper.,45,76
9:12,299,Mason Riggins Defensive Rebound.,45,76
8:56,127,Foul on Cassius Winston.,45,76
8:41,299,Gabe Levin missed Jumper.,45,76
8:41,127,Miles Bridges Defensive Rebound.,45,76
8:33,127,Jaren Jackson Jr. missed Three Point Jumper.,45,76
8:33,299,Gabe Levin Defensive Rebound.,45,76
8:22,299,Edon Maxhuni missed Three Point Jumper.,45,76
8:22,299,Mason Riggins Offensive Rebound.,45,76
8:07,299,Gabe Levin made Layup. Assisted by Jordan Griffin.,47,76
7:49,127,Official TV Timeout,47,76
7:37,127,Joshua Langford missed Jumper.,47,76
7:37,127,Jaren Jackson Jr. Offensive Rebound.,47,76
7:33,127,Jaren Jackson Jr. missed Jumper.,47,76
7:33,299,Gabe Levin Defensive Rebound.,47,76
7:24,299,Jordan Griffin missed Three Point Jumper.,47,76
7:24,299,Mason Riggins Offensive Rebound.,47,76
7:19,299,Gabe Levin missed Three Point Jumper.,47,76
7:19,127,Jaren Jackson Jr. Defensive Rebound.,47,76
7:05,127,Xavier Tillman made Layup. Assisted by Miles Bridges.,47,78
6:48,299,Gabe Levin Turnover.,47,78
6:47,127,Xavier Tillman Steal.,47,78
6:41,127,Joshua Langford missed Three Point Jumper.,47,78
6:41,127,Miles Bridges Offensive Rebound.,47,78
6:37,127,Miles Bridges made Two Point Tip Shot.,47,80
6:36,299,Long Beach State  Timeout,47,80
6:15,127,Foul on Cassius Winston.,47,80
6:13,127,Foul on Xavier Tillman.,47,80
6:13,299,Temidayo Yussuf missed Free Throw.,47,80
6:13,299,Long Beach State Deadball Team Rebound.,47,80
6:13,299,Temidayo Yussuf made Free Throw.,48,80
6:00,127,Cassius Winston made Three Point Jumper. Assisted by Lourawls Nairn Jr..,48,83
5:30,299,Temidayo Yussuf made Jumper.,50,83
5:21,299,Foul on Deishuan Booker.,50,83
5:07,299,Foul on Gabe Levin.,50,83
5:07,127,Jaren Jackson Jr. made Free Throw.,50,84
5:07,127,Jaren Jackson Jr. made Free Throw.,50,85
4:46,299,Temidayo Yussuf made Jumper.,52,85
4:36,127,Jaren Jackson Jr. missed Three Point Jumper.,52,85
4:36,127,Gavin Schilling Offensive Rebound.,52,85
4:27,127,Matt McQuaid made Three Point Jumper. Assisted by Lourawls Nairn Jr..,52,88
4:17,299,Temidayo Yussuf Turnover.,52,88
4:17,299,Foul on Temidayo Yussuf.,52,88
4:07,127,Miles Bridges missed Layup.,52,88
4:07,127,Gavin Schilling Offensive Rebound.,52,88
4:04,127,Gavin Schilling made Two Point Tip Shot.,52,90
4:00,299,Gabe Levin made Layup. Assisted by Deishuan Booker.,54,90
3:52,127,Gavin Schilling made Layup. Assisted by Matt McQuaid.,54,92
3:45,299,LaRond Williams missed Layup.,54,92
3:45,127,Gavin Schilling Block.,54,92
3:43,127,Jaren Jackson Jr. Defensive Rebound.,54,92
3:38,127,Miles Bridges made Layup. Assisted by Lourawls Nairn Jr..,54,94
3:35,299,Long Beach State  Timeout,54,94
3:35,127,Official TV Timeout,54,94
3:09,299,KJ Byers Turnover.,54,94
3:08,127,Xavier Tillman Steal.,54,94
2:54,127,Matt McQuaid made Three Point Jumper. Assisted by Xavier Tillman.,54,97
2:37,299,Edon Maxhuni made Jumper. Assisted by Jordan Roberts.,56,97
2:21,127,Matt McQuaid missed Three Point Jumper.,56,97
2:21,299,Jordan Roberts Defensive Rebound.,56,97
2:18,127,Foul on Conner George.,56,97
2:18,299,Jordan Roberts made Free Throw.,57,97
2:18,299,Jordan Roberts made Free Throw.,58,97
1:57,299,Foul on Quentin Shropshire.,58,97
1:57,127,Gavin Schilling made Free Throw.,58,98
1:57,127,Gavin Schilling missed Free Throw.,58,98
1:57,299,LaRond Williams Defensive Rebound.,58,98
1:45,127,Foul on Gavin Schilling.,58,98
1:45,299,Jordan Roberts made Free Throw.,59,98
1:45,299,Jordan Roberts missed Free Throw.,59,98
1:45,127,Gavin Schilling Defensive Rebound.,59,98
1:30,127,Xavier Tillman made Layup.,59,100
1:06,299,KJ Byers missed Jumper.,59,100
1:06,299,Jordan Roberts Offensive Rebound.,59,100
1:05,127,Foul on Matt McQuaid.,59,100
1:05,299,Jordan Roberts missed Free Throw.,59,100
1:05,299,Long Beach State Deadball Team Rebound.,59,100
1:05,299,Jordan Roberts made Free Throw.,60,100
0:55,127,Conner George missed Three Point Jumper.,60,100
0:55,299,LaRond Williams Defensive Rebound.,60,100
0:36,299,Jordan Roberts Turnover.,60,100
0:34,127,Xavier Tillman Steal.,60,100
0:30,127,Conner George made Layup. Assisted by Gavin Schilling.,60,102
0:03,299,Edon Maxhuni missed Three Point Jumper.,60,102
0:03,127,Gavin Schilling Defensive Rebound.,60,102
0:00,127,End of Game,60,102
