Florida A&amp;M,2230,Fordham,50
18:44,2230,Tre Evans made Three Point Jumper. Assisted by Joseph Chartouny.,38,43
18:30,50,Justin Ravenel missed Jumper.,38,43
18:30,2230,Ivan Raut Defensive Rebound.,38,43
18:18,2230,Prokop Slanina missed Three Point Jumper.,38,43
18:18,50,Nasir Core Defensive Rebound.,38,43
17:44,50,Nasir Core missed Layup.,38,43
17:44,2230,Joseph Chartouny Defensive Rebound.,38,43
17:35,50,Foul on Elijah Mayes.,38,43
17:33,50,Foul on Nick Severado.,38,43
17:33,2230,Joseph Chartouny made Free Throw.,38,44
17:33,2230,Joseph Chartouny made Free Throw.,38,45
16:55,50,Desmond Williams missed Jumper.,38,45
16:55,2230,Will Tavares Defensive Rebound.,38,45
16:52,2230,Foul on Joseph Chartouny.,38,45
16:52,50,Nasir Core missed Free Throw.,38,45
16:52,50,Florida A&M Deadball Team Rebound.,38,45
16:52,50,Nasir Core missed Free Throw.,38,45
16:52,2230,Joseph Chartouny Defensive Rebound.,38,45
16:47,2230,Will Tavares missed Layup.,38,45
16:47,50,Isaiah Martin Defensive Rebound.,38,45
16:27,2230,Prokop Slanina missed Layup.,38,45
16:27,50,Desmond Williams Defensive Rebound.,38,45
16:09,50,Desmond Williams Turnover.,38,45
16:08,2230,Will Tavares Steal.,38,45
16:06,2230,Will Tavares Turnover.,38,45
16:05,50,Elijah Mayes Steal.,38,45
16:00,50,Justin Ravenel made Three Point Jumper.,41,45
15:29,2230,Prokop Slanina made Layup. Assisted by Joseph Chartouny.,41,47
15:19,50,Nasir Core made Layup. Assisted by Elijah Mayes.,43,47
15:05,2230,Joseph Chartouny made Three Point Jumper. Assisted by Ivan Raut.,43,50
14:51,50,Elijah Mayes made Jumper.,45,50
14:28,50,Foul on Nasir Core.,45,50
14:28,2230,Official TV Timeout,45,50
14:23,2230,Will Tavares missed Layup.,45,50
14:23,50,Justin Ravenel Defensive Rebound.,45,50
14:15,50,Isaiah Martin missed Jumper.,45,50
14:15,2230,Prokop Slanina Defensive Rebound.,45,50
14:13,2230,Prokop Slanina Turnover.,45,50
13:57,50,Isaiah Martin made Dunk. Assisted by Nasir Core.,47,50
13:39,50,Foul on Desmond Williams.,47,50
13:37,2230,Tre Evans missed Jumper.,47,50
13:37,50,Isaiah Martin Block.,47,50
13:35,50,Nasir Core Defensive Rebound.,47,50
13:31,50,Desmond Williams missed Jumper.,47,50
13:31,2230,Tre Evans Defensive Rebound.,47,50
13:22,2230,Prokop Slanina made Three Point Jumper. Assisted by Tre Evans.,47,53
12:54,50,Elijah Mayes made Jumper.,49,53
12:22,2230,Perris Hicks made Three Point Jumper. Assisted by Prokop Slanina.,49,56
11:55,2230,Foul on Prokop Slanina.,49,56
11:55,2230,Official TV Timeout,49,56
11:55,50,Desmond Williams made Free Throw.,50,56
11:55,50,Desmond Williams made Free Throw.,51,56
11:34,2230,Perris Hicks missed Three Point Jumper.,51,56
11:34,2230,Will Tavares Offensive Rebound.,51,56
11:26,2230,Perris Hicks missed Three Point Jumper.,51,56
11:26,50,Nasir Core Defensive Rebound.,51,56
11:19,2230,Foul on Joseph Chartouny.,51,56
11:19,50,Desmond Williams missed Free Throw.,51,56
11:19,50,Florida A&M Deadball Team Rebound.,51,56
11:19,50,Desmond Williams missed Free Throw.,51,56
11:19,2230,Will Tavares Defensive Rebound.,51,56
10:46,2230,Perris Hicks missed Layup.,51,56
10:46,50,Nasir Core Block.,51,56
10:44,50,Florida A&M Defensive Rebound.,51,56
10:28,50,Nasir Core made Three Point Jumper. Assisted by Desmond Williams.,54,56
9:59,2230,Prokop Slanina missed Layup.,54,56
9:59,2230,Prokop Slanina Offensive Rebound.,54,56
9:56,2230,Prokop Slanina made Layup.,54,58
9:26,50,Craig Bowman Turnover.,54,58
9:25,2230,Prokop Slanina Steal.,54,58
9:14,2230,Joseph Chartouny Turnover.,54,58
9:14,50,Craig Bowman Steal.,54,58
9:11,50,Desmond Williams missed Jumper.,54,58
9:11,2230,Will Tavares Defensive Rebound.,54,58
9:03,2230,Will Tavares made Layup.,54,60
8:41,50,Isaiah Martin Turnover.,54,60
8:41,2230,Joseph Chartouny Steal.,54,60
8:23,2230,Will Tavares missed Three Point Jumper.,54,60
8:23,50,Florida A&M Defensive Rebound.,54,60
8:06,50,Elijah Mayes missed Jumper.,54,60
8:06,2230,Joseph Chartouny Defensive Rebound.,54,60
7:56,2230,Will Tavares missed Three Point Jumper.,54,60
7:56,50,Nasir Core Defensive Rebound.,54,60
7:50,50,Nasir Core Turnover.,54,60
7:49,2230,Cavit Havsa Steal.,54,60
7:47,2230,Will Tavares made Dunk. Assisted by Cavit Havsa.,54,62
7:12,50,Desmond Williams missed Three Point Jumper.,54,62
7:12,2230,Tre Evans Defensive Rebound.,54,62
7:05,2230,Tre Evans made Layup.,54,64
7:05,50,Foul on Elijah Mayes.,54,64
7:05,2230,Official TV Timeout,54,64
7:05,2230,Tre Evans made Free Throw.,54,65
6:35,2230,Foul on Cavit Havsa.,54,65
6:20,50,Elijah Mayes made Layup.,56,65
6:03,50,Foul on Nick Severado.,56,65
5:57,2230,Will Tavares missed Jumper.,56,65
5:57,50,Nick Severado Block.,56,65
5:57,2230,Fordham Offensive Rebound.,56,65
5:54,2230,Joseph Chartouny missed Three Point Jumper.,56,65
5:54,50,Nasir Core Defensive Rebound.,56,65
5:45,50,Florida A&M  Timeout,56,65
5:45,2230,Official TV Timeout,56,65
5:42,50,Nasir Core Turnover.,56,65
5:39,2230,Prokop Slanina Steal.,56,65
5:34,2230,Tre Evans Turnover.,56,65
5:33,50,Desmond Williams Steal.,56,65
5:33,50,Desmond Williams Turnover.,56,65
5:33,2230,Cavit Havsa Steal.,56,65
5:15,2230,Joseph Chartouny Turnover.,56,65
5:15,50,Nasir Core Steal.,56,65
5:13,50,Desmond Williams made Layup.,58,65
5:13,2230,Foul on Will Tavares.,58,65
5:13,50,Desmond Williams made Free Throw.,59,65
4:46,2230,Joseph Chartouny made Three Point Jumper. Assisted by Tre Evans.,59,68
4:26,50,Elijah Mayes made Jumper.,61,68
4:05,2230,Prokop Slanina missed Layup.,61,68
4:05,50,Nick Severado Defensive Rebound.,61,68
3:58,50,Justin Ravenel missed Three Point Jumper.,61,68
3:58,2230,Cavit Havsa Defensive Rebound.,61,68
3:30,50,Foul on Justin Ravenel.,61,68
3:30,2230,Official TV Timeout,61,68
3:30,2230,Tre Evans missed Free Throw.,61,68
3:30,2230,Fordham Deadball Team Rebound.,61,68
3:30,2230,Tre Evans made Free Throw.,61,69
2:59,50,Elijah Mayes Turnover.,61,69
2:58,2230,Perris Hicks Steal.,61,69
2:55,2230,Will Tavares Turnover.,61,69
2:53,50,Craig Bowman Steal.,61,69
2:48,50,Craig Bowman missed Jumper.,61,69
2:48,50,Nick Severado Offensive Rebound.,61,69
2:42,50,Nick Severado made Layup.,63,69
2:15,50,Desmond Williams made Jumper. Assisted by Craig Bowman.,65,69
2:15,2230,Foul on Joseph Chartouny.,65,69
2:15,50,Desmond Williams made Free Throw.,66,69
1:50,2230,Tre Evans made Three Point Jumper. Assisted by Joseph Chartouny.,66,72
1:40,50,Craig Bowman missed Three Point Jumper.,66,72
1:40,2230,Fordham Defensive Rebound.,66,72
1:17,50,Foul on Nick Severado.,66,72
1:17,2230,Joseph Chartouny made Free Throw.,66,73
1:17,2230,Joseph Chartouny missed Free Throw.,66,73
1:17,50,Elijah Mayes Defensive Rebound.,66,73
1:01,50,Justin Ravenel missed Jumper.,66,73
1:01,2230,Tre Evans Defensive Rebound.,66,73
0:57,50,Foul on Nasir Core.,66,73
0:57,2230,Tre Evans made Free Throw.,66,74
0:57,2230,Tre Evans made Free Throw.,66,75
0:57,2230,Fordham  Timeout,66,75
0:43,50,Desmond Williams Turnover.,66,75
0:42,2230,Joseph Chartouny Steal.,66,75
0:40,2230,Will Tavares made Layup. Assisted by Joseph Chartouny.,66,77
0:31,2230,Foul on Will Tavares.,66,77
0:31,50,Desmond Williams missed Free Throw.,66,77
0:31,50,Florida A&M Deadball Team Rebound.,66,77
0:31,50,Desmond Williams made Free Throw.,67,77
0:30,2230,Will Tavares made Free Throw.,67,79
0:30,2230,Will Tavares made Free Throw.,67,78
0:30,50,Foul on Craig Bowman.,67,78
0:22,50,Elijah Mayes made Jumper.,69,79
0:22,50,Florida A&M  Timeout,69,79
0:22,2230,Fordham  Timeout,69,79
0:00,2230,End of Game,69,79
