Fairleigh Dickinson,120,Maryland,161
8:03,161,Kaleb Bishop missed Free Throw.,19,25
8:03,161,Fairleigh Dickinson Deadball Team Rebound.,19,25
8:03,161,Kaleb Bishop missed Free Throw.,19,25
8:03,161,Fairleigh Dickinson Offensive Rebound.,19,25
7:50,161,Darian Anderson missed Three Point Jumper.,19,25
7:50,120,Bruno Fernando Defensive Rebound.,19,25
7:25,120,Kevin Huerter made Three Point Jumper. Assisted by Anthony Cowan.,19,28
7:04,161,Noah Morgan Turnover.,19,28
7:04,120,Official TV Timeout,19,28
6:56,120,Jared Nickens made Three Point Jumper. Assisted by Kevin Huerter.,19,31
6:29,161,Darian Anderson Turnover.,19,31
6:14,120,Kevin Huerter Turnover.,19,31
6:14,161,Darian Anderson Steal.,19,31
6:09,120,Foul on Kevin Huerter.,19,31
6:09,161,Noah Morgan missed Free Throw.,19,31
6:09,120,Kevin Huerter Defensive Rebound.,19,31
5:44,120,Anthony Cowan missed Three Point Jumper.,19,31
5:44,161,Darnell Edge Defensive Rebound.,19,31
5:34,161,Foul on Darian Anderson.,19,31
5:34,161,Darian Anderson Turnover.,19,31
5:22,120,Bruno Fernando made Jumper. Assisted by Kevin Huerter.,19,33
5:01,161,Noah Morgan missed Three Point Jumper.,19,33
5:01,120,Jared Nickens Defensive Rebound.,19,33
4:52,161,Foul on Mike Holloway Jr..,19,33
4:52,120,Bruno Fernando made Free Throw.,19,34
4:52,120,Bruno Fernando made Free Throw.,19,35
4:34,161,Jahlil Jenkins missed Jumper.,19,35
4:34,120,Kevin Huerter Block.,19,35
4:34,161,Noah Morgan Offensive Rebound.,19,35
4:27,161,Noah Morgan missed Layup.,19,35
4:27,120,Bruno Fernando Block.,19,35
4:27,120,Bruno Fernando Defensive Rebound.,19,35
4:21,120,Anthony Cowan made Three Point Jumper. Assisted by Kevin Huerter.,19,38
4:21,161,Fairleigh Dickinson  Timeout,19,38
4:21,120,Official TV Timeout,19,38
3:51,161,Fairleigh Dickinson  Turnover.,19,38
3:36,120,Kevin Huerter made Three Point Jumper. Assisted by Anthony Cowan.,19,41
3:20,161,Darnell Edge missed Three Point Jumper.,19,41
3:20,120,Kevin Huerter Defensive Rebound.,19,41
3:05,161,Foul on Noah Morgan.,19,41
3:05,120,Bruno Fernando missed Free Throw.,19,41
3:05,120,Maryland Deadball Team Rebound.,19,41
3:05,120,Bruno Fernando made Free Throw.,19,42
2:40,161,Darian Anderson missed Jumper.,19,42
2:40,120,Darryl Morsell Defensive Rebound.,19,42
2:27,120,Bruno Fernando made Jumper.,19,44
2:13,161,Jahlil Jenkins missed Three Point Jumper.,19,44
2:13,161,Darian Anderson Offensive Rebound.,19,44
1:43,161,Darian Anderson missed Jumper.,19,44
1:43,161,Noah Morgan Offensive Rebound.,19,44
1:38,161,Noah Morgan made Layup.,21,44
1:19,120,Darryl Morsell Turnover.,21,44
1:19,161,Darnell Edge Steal.,21,44
1:12,161,Darnell Edge made Layup.,23,44
1:03,120,Kevin Huerter made Dunk. Assisted by Darryl Morsell.,23,46
0:33,161,Mike Holloway Jr. missed Layup.,23,46
0:33,120,Bruno Fernando Defensive Rebound.,23,46
0:06,120,Darryl Morsell Turnover.,23,46
0:06,161,Darnell Edge Steal.,23,46
0:01,161,Darnell Edge missed Three Point Jumper.,23,46
0:01,120,Maryland Deadball Team Rebound.,23,46
0:00,120,End of 1st half,23,46
20:00,161,Jump Ball won by Fairleigh Dickinson,23,46
19:44,161,Noah Morgan missed Jumper.,23,46
19:44,120,Anthony Cowan Defensive Rebound.,23,46
19:28,120,Ivan Bender made Jumper.,23,48
19:06,161,Darnell Edge missed Three Point Jumper.,23,48
19:06,120,Kevin Huerter Block.,23,48
19:06,120,Bruno Fernando Defensive Rebound.,23,48
18:56,120,Bruno Fernando missed Jumper.,23,48
18:56,161,Darian Anderson Defensive Rebound.,23,48
18:50,161,Darian Anderson missed Jumper.,23,48
18:50,161,Mike Holloway Jr. Offensive Rebound.,23,48
18:44,161,Darian Anderson missed Jumper.,23,48
18:44,120,Bruno Fernando Defensive Rebound.,23,48
18:22,120,Foul on Darryl Morsell.,23,48
18:22,120,Darryl Morsell Turnover.,23,48
18:10,161,Jahlil Jenkins missed Jumper.,23,48
18:10,161,Mike Holloway Jr. Offensive Rebound.,23,48
18:02,161,Darian Anderson missed Jumper.,23,48
18:02,120,Bruno Fernando Defensive Rebound.,23,48
17:38,161,Foul on Mike Holloway Jr..,23,48
17:33,120,Anthony Cowan Turnover.,23,48
17:33,161,Jahlil Jenkins Steal.,23,48
17:31,161,Darnell Edge missed Jumper.,23,48
17:31,120,Kevin Huerter Defensive Rebound.,23,48
17:26,120,Darryl Morsell made Layup.,23,50
17:26,161,Foul on Darnell Edge.,23,50
17:26,120,Darryl Morsell made Free Throw.,23,51
17:04,161,Noah Morgan missed Three Point Jumper.,23,51
17:04,161,Mike Holloway Jr. Offensive Rebound.,23,51
17:00,161,Mike Holloway Jr. made Layup.,25,51
16:51,161,Foul on Mike Holloway Jr..,25,51
16:51,120,Darryl Morsell missed Free Throw.,25,51
16:51,120,Maryland Deadball Team Rebound.,25,51
16:51,120,Darryl Morsell made Free Throw.,25,52
16:39,161,Darian Anderson made Jumper.,27,52
16:19,120,Anthony Cowan missed Three Point Jumper.,27,52
16:19,161,Noah Morgan Defensive Rebound.,27,52
16:19,120,Foul on Bruno Fernando.,27,52
15:53,161,Jahlil Jenkins missed Three Point Jumper.,27,52
15:53,161,Darnell Edge Offensive Rebound.,27,52
15:47,161,Darian Anderson made Three Point Jumper.,30,52
15:22,120,Kevin Huerter missed Jumper.,30,52
15:22,161,Darian Anderson Defensive Rebound.,30,52
15:15,161,Darian Anderson missed Three Point Jumper.,30,52
15:15,120,Kevin Huerter Defensive Rebound.,30,52
15:00,120,Jared Nickens missed Three Point Jumper.,30,52
15:00,120,Anthony Cowan Offensive Rebound.,30,52
15:00,161,Foul on Noah Morgan.,30,52
15:00,120,Official TV Timeout,30,52
14:57,120,Ivan Bender Turnover.,30,52
14:45,161,Darnell Edge Turnover.,30,52
14:45,120,Darryl Morsell Steal.,30,52
14:41,120,Darryl Morsell made Dunk.,30,54
14:19,161,Darian Anderson missed Jumper.,30,54
14:19,120,Kevin Huerter Defensive Rebound.,30,54
14:13,120,Jared Nickens missed Jumper.,30,54
14:13,161,Jahlil Jenkins Defensive Rebound.,30,54
14:04,161,Jahlil Jenkins missed Layup.,30,54
14:04,120,Darryl Morsell Block.,30,54
14:04,161,Fairleigh Dickinson Offensive Rebound.,30,54
13:45,161,Darnell Edge missed Three Point Jumper.,30,54
13:45,120,Kevin Huerter Defensive Rebound.,30,54
13:26,161,Foul on Jahlil Jenkins.,30,54
13:22,120,Ivan Bender Turnover.,30,54
13:22,161,Tyler Jones Steal.,30,54
13:18,161,Kaleb Bishop made Dunk. Assisted by Tyler Jones.,32,54
12:50,120,Anthony Cowan missed Three Point Jumper.,32,54
12:50,120,Ivan Bender Offensive Rebound.,32,54
12:46,120,Ivan Bender made Layup.,32,56
12:32,161,Noah Morgan missed Three Point Jumper.,32,56
12:32,120,Kevin Huerter Defensive Rebound.,32,56
12:21,120,Jared Nickens missed Three Point Jumper.,32,56
12:21,120,Ivan Bender Offensive Rebound.,32,56
12:21,161,Foul on Kaleb Bishop.,32,56
12:17,120,Darryl Morsell missed Three Point Jumper.,32,56
12:17,161,Tyler Jones Defensive Rebound.,32,56
12:08,161,Darnell Edge Turnover.,32,56
11:54,120,Joshua Tomaic Turnover.,32,56
11:54,120,Official TV Timeout,32,56
11:43,161,Tyler Jones missed Three Point Jumper.,32,56
11:43,120,Kevin Huerter Defensive Rebound.,32,56
11:13,120,Bruno Fernando missed Layup.,32,56
11:13,161,Mike Holloway Jr. Defensive Rebound.,32,56
10:59,120,Foul on Joshua Tomaic.,32,56
10:59,161,Kaleb Bishop made Free Throw.,33,56
10:59,161,Kaleb Bishop made Free Throw.,34,56
10:48,120,Bruno Fernando made Dunk. Assisted by Kevin Huerter.,34,58
10:21,161,Jahlil Jenkins missed Jumper.,34,58
10:21,161,Kaleb Bishop Offensive Rebound.,34,58
10:21,120,Foul on Bruno Fernando.,34,58
10:21,161,Kaleb Bishop made Free Throw.,35,58
10:21,161,Kaleb Bishop missed Free Throw.,35,58
10:21,120,Sean Obi Defensive Rebound.,35,58
10:09,120,Kevin Huerter missed Three Point Jumper.,35,58
10:09,161,Darian Anderson Defensive Rebound.,35,58
9:59,161,Kaleb Bishop missed Three Point Jumper.,35,58
9:59,120,Darryl Morsell Defensive Rebound.,35,58
9:48,120,Anthony Cowan Turnover.,35,58
9:48,161,Tyler Jones Steal.,35,58
9:39,120,Foul on Joshua Tomaic.,35,58
9:39,161,Mike Holloway Jr. made Free Throw.,36,58
9:39,161,Mike Holloway Jr. made Free Throw.,37,58
9:23,120,Joshua Tomaic missed Three Point Jumper.,37,58
9:23,161,Tyler Jones Defensive Rebound.,37,58
8:56,161,Tyler Jones missed Three Point Jumper.,37,58
8:56,120,Sean Obi Defensive Rebound.,37,58
8:49,120,Maryland  Timeout,37,58
8:33,161,Foul on Pat McNamara.,37,58
8:33,120,Sean Obi made Free Throw.,37,59
8:33,120,Sean Obi made Free Throw.,37,60
8:16,161,Nadi Beciri missed Three Point Jumper.,37,60
8:16,120,Darryl Morsell Defensive Rebound.,37,60
8:07,120,Kevin Huerter missed Jumper.,37,60
8:07,120,Kevin Huerter Offensive Rebound.,37,60
8:04,120,Kevin Huerter missed Jumper.,37,60
8:04,120,Sean Obi Offensive Rebound.,37,60
8:00,120,Sean Obi missed Layup.,37,60
8:00,161,Pat McNamara Defensive Rebound.,37,60
7:55,161,Darian Anderson missed Jumper.,37,60
7:55,120,Jared Nickens Defensive Rebound.,37,60
7:45,161,Foul on Nadi Beciri.,37,60
7:45,120,Official TV Timeout,37,60
7:45,120,Darryl Morsell made Free Throw.,37,61
7:45,120,Darryl Morsell made Free Throw.,37,62
7:29,161,Darian Anderson made Three Point Jumper.,40,62
7:02,120,Jared Nickens made Three Point Jumper. Assisted by Kevin Huerter.,40,65
6:36,161,Darian Anderson made Three Point Jumper. Assisted by Noah Morgan.,43,65
6:20,120,Kevin Huerter missed Three Point Jumper.,43,65
6:20,161,Mike Holloway Jr. Defensive Rebound.,43,65
5:54,161,Noah Morgan missed Jumper.,43,65
5:54,120,Bruno Fernando Defensive Rebound.,43,65
5:36,120,Anthony Cowan Turnover.,43,65
5:36,161,Darian Anderson Steal.,43,65
5:31,161,Darian Anderson missed Layup.,43,65
5:31,120,Anthony Cowan Defensive Rebound.,43,65
5:25,120,Darryl Morsell made Dunk. Assisted by Anthony Cowan.,43,67
5:13,120,Foul on Kevin Huerter.,43,67
5:07,161,Pat McNamara made Three Point Jumper. Assisted by Nadi Beciri.,46,67
4:49,120,Kevin Huerter missed Three Point Jumper.,46,67
4:49,161,Darnell Edge Defensive Rebound.,46,67
4:39,161,Darian Anderson missed Three Point Jumper.,46,67
4:39,161,Mike Holloway Jr. Offensive Rebound.,46,67
4:36,120,Foul on Bruno Fernando.,46,67
4:36,161,Mike Holloway Jr. made Free Throw.,47,67
4:36,161,Mike Holloway Jr. made Free Throw.,48,67
4:26,120,Jared Nickens missed Three Point Jumper.,48,67
4:26,161,Nadi Beciri Defensive Rebound.,48,67
4:12,161,Mike Holloway Jr. Turnover.,48,67
4:01,161,Foul on Nadi Beciri.,48,67
4:01,120,Anthony Cowan made Free Throw.,48,68
4:01,120,Anthony Cowan made Free Throw.,48,69
3:42,161,Darnell Edge missed Three Point Jumper.,48,69
3:42,120,Jared Nickens Defensive Rebound.,48,69
3:34,120,Kevin Huerter missed Layup.,48,69
3:34,120,Kevin Huerter Offensive Rebound.,48,69
3:31,120,Kevin Huerter made Layup.,48,71
3:16,161,Pat McNamara missed Layup.,48,71
3:16,120,Kevin Huerter Block.,48,71
3:16,161,Nadi Beciri Offensive Rebound.,48,71
2:58,161,Darian Anderson missed Jumper.,48,71
2:58,161,Fairleigh Dickinson Offensive Rebound.,48,71
2:58,120,Official TV Timeout,48,71
2:52,161,Jahlil Jenkins missed Jumper.,48,71
2:52,120,Kevin Huerter Offensive Rebound.,48,71
2:28,120,Jared Nickens Turnover.,48,71
2:28,161,Darian Anderson Steal.,48,71
2:24,161,Darian Anderson made Layup.,50,71
2:03,120,Darryl Morsell missed Layup.,50,71
2:03,161,Mike Holloway Jr. Block.,50,71
2:03,161,Mike Holloway Jr. Defensive Rebound.,50,71
1:52,120,Foul on Kevin Huerter.,50,71
1:52,161,Darian Anderson missed Free Throw.,50,71
1:52,120,Kevin Huerter Defensive Rebound.,50,71
1:48,120,Anthony Cowan made Layup.,50,73
1:31,161,Darnell Edge missed Three Point Jumper.,50,73
1:31,120,Kevin Huerter Defensive Rebound.,50,73
1:18,161,Foul on Jahlil Jenkins.,50,73
1:18,120,Anthony Cowan made Free Throw.,50,74
1:18,120,Anthony Cowan made Free Throw.,50,75
1:06,161,Jahlil Jenkins Turnover.,50,75
0:41,120,Jared Nickens missed Three Point Jumper.,50,75
0:41,161,Jahlil Jenkins Defensive Rebound.,50,75
0:34,161,Jahlil Jenkins missed Three Point Jumper.,50,75
0:34,120,Travis Valmon Defensive Rebound.,50,75
0:00,120,End of Game,50,75
