Tennessee Tech,84,Indiana,2635
11:19,84,De'Ron Davis Defensive Rebound.,43,59
11:11,84,Josh Newkirk made Layup.,43,61
10:46,2635,Aleksa Jugovic Turnover.,43,61
10:45,84,Josh Newkirk Steal.,43,61
10:44,84,Josh Newkirk made Layup.,43,63
10:43,2635,Foul on Aleksa Jugovic.,43,63
10:43,84,Josh Newkirk missed Free Throw.,43,63
10:43,84,De'Ron Davis Offensive Rebound.,43,63
10:27,84,Juwan Morgan missed Jumper.,43,63
10:27,2635,Courtney Alexander II Defensive Rebound.,43,63
10:08,2635,Mason Ramsey Turnover.,43,63
10:07,84,Juwan Morgan Steal.,43,63
9:58,2635,Foul on Mason Ramsey.,43,63
9:58,84,Josh Newkirk made Free Throw.,43,64
9:58,84,Josh Newkirk made Free Throw.,43,65
9:35,2635,Shaq Calhoun missed Three Point Jumper.,43,65
9:35,84,Aljami Durham Defensive Rebound.,43,65
9:30,84,Aljami Durham made Layup.,43,67
9:08,84,Foul on Aljami Durham.,43,67
8:59,2635,Shaq Calhoun made Layup. Assisted by Kajon Mack.,45,67
8:49,84,Josh Newkirk made Three Point Jumper.,45,70
8:29,2635,Mason Ramsey made Layup.,47,70
8:18,84,Robert Johnson Turnover.,47,70
8:17,2635,Courtney Alexander II Steal.,47,70
8:13,84,Foul on Josh Newkirk.,47,70
8:07,2635,Shaq Calhoun Turnover.,47,70
7:55,84,Freddie McSwain Jr. made Layup. Assisted by Aljami Durham.,47,72
7:42,84,Foul on Justin Smith.,47,72
7:42,84,Official TV Timeout,47,72
7:42,2635,Mason Ramsey made Free Throw.,48,72
7:42,2635,Mason Ramsey made Free Throw.,49,72
7:20,84,Devonte Green missed Three Point Jumper.,49,72
7:20,84,Freddie McSwain Jr. Offensive Rebound.,49,72
7:18,2635,Foul on Micaiah Henry.,49,72
7:18,84,Freddie McSwain Jr. made Free Throw.,49,73
7:18,84,Freddie McSwain Jr. made Free Throw.,49,74
7:07,2635,Kajon Mack made Layup.,51,74
6:43,84,Freddie McSwain Jr. missed Layup.,51,74
6:43,2635,Mason Ramsey Defensive Rebound.,51,74
6:25,84,Foul on Freddie McSwain Jr..,51,74
6:25,2635,Mason Ramsey missed Free Throw.,51,74
6:25,84,Aljami Durham Defensive Rebound.,51,74
6:17,84,Justin Smith made Jumper. Assisted by Devonte Green.,51,76
5:59,2635,Kajon Mack missed Layup.,51,76
5:59,84,Justin Smith Block.,51,76
5:59,2635,Mason Ramsey Offensive Rebound.,51,76
5:58,2635,Mason Ramsey missed Layup.,51,76
5:58,84,Justin Smith Block.,51,76
5:58,2635,Tennessee Tech Offensive Rebound.,51,76
5:48,2635,Aleksa Jugovic Turnover.,51,76
5:47,84,Devonte Green Steal.,51,76
5:44,84,Robert Johnson made Jumper.,51,78
5:10,2635,Kajon Mack missed Three Point Jumper.,51,78
5:10,84,Justin Smith Defensive Rebound.,51,78
5:10,2635,Foul on Cade Crosland.,51,78
5:10,84,Justin Smith made Free Throw.,51,79
5:10,84,Justin Smith made Free Throw.,51,80
4:59,2635,Micaiah Henry missed Layup.,51,80
4:59,84,Juwan Morgan Block.,51,80
4:57,84,Josh Newkirk Defensive Rebound.,51,80
4:28,84,Collin Hartman Turnover.,51,80
4:28,84,Foul on Collin Hartman.,51,80
4:14,2635,Aleksa Jugovic Turnover.,51,80
4:13,84,Collin Hartman Steal.,51,80
4:07,84,Devonte Green missed Three Point Jumper.,51,80
4:07,84,Devonte Green Offensive Rebound.,51,80
3:46,84,Juwan Morgan missed Layup.,51,80
3:46,84,Indiana Offensive Rebound.,51,80
3:43,84,Juwan Morgan missed Jumper.,51,80
3:43,84,Indiana Offensive Rebound.,51,80
3:42,84,Official TV Timeout,51,80
3:29,2635,Foul on Cade Crosland.,51,80
3:29,84,Devonte Green made Free Throw.,51,81
3:29,84,Devonte Green made Free Throw.,51,82
3:06,2635,Cade Crosland missed Three Point Jumper.,51,82
3:06,2635,Cade Crosland Offensive Rebound.,51,82
3:01,2635,Courtney Alexander II missed Jumper.,51,82
3:01,84,Zach McRoberts Defensive Rebound.,51,82
2:49,84,Devonte Green missed Three Point Jumper.,51,82
2:49,2635,Shaq Calhoun Defensive Rebound.,51,82
2:39,2635,Shaq Calhoun missed Three Point Jumper.,51,82
2:39,84,Justin Smith Defensive Rebound.,51,82
2:28,84,Clifton Moore missed Three Point Jumper.,51,82
2:28,2635,Kajon Mack Defensive Rebound.,51,82
2:22,2635,Kajon Mack made Three Point Jumper.,54,82
2:10,84,Josh Newkirk made Three Point Jumper.,54,85
1:51,2635,Shaq Calhoun Turnover.,54,85
1:51,2635,Foul on Shaq Calhoun.,54,85
1:43,84,Clifton Moore missed Three Point Jumper.,54,85
1:43,2635,Tennessee Tech Defensive Rebound.,54,85
1:16,2635,Micaiah Henry made Layup. Assisted by Joan Duran.,56,85
1:15,2635,Tennessee Tech  Timeout,56,85
0:53,84,Aljami Durham missed Layup.,56,85
0:53,84,Clifton Moore Offensive Rebound.,56,85
0:49,84,Clifton Moore missed Jumper.,56,85
0:49,84,Justin Smith Offensive Rebound.,56,85
0:45,84,Clifton Moore made Layup. Assisted by Justin Smith.,56,87
0:39,2635,Cade Crosland made Three Point Jumper. Assisted by Courtney Alexander II.,59,87
0:13,84,Justin Smith missed Layup.,59,87
0:13,2635,Courtney Alexander II Defensive Rebound.,59,87
0:02,2635,Joan Duran missed Three Point Jumper.,59,87
0:02,84,Clifton Moore Defensive Rebound.,59,87
0:00,84,End of Game,59,87
