Portland,16,Sacramento State,2501
3:45,16,Izayah Mauriohoohoo-Le'Afa made Three Point Jumper. Assisted by Bryce Fowler.,41,31
3:22,2501,Franklin Porter missed Three Point Jumper.,41,31
3:22,16,Jeff Wu Defensive Rebound.,41,31
2:58,16,Jeff Wu missed Three Point Jumper.,41,31
2:58,16,Joshua Patton Offensive Rebound.,41,31
2:49,16,Jeff Wu made Layup.,41,33
2:30,16,Foul on Izayah Mauriohoohoo-Le'Afa.,41,33
2:13,2501,Josh McSwiggan missed Three Point Jumper.,41,33
2:13,16,Justin Strings Defensive Rebound.,41,33
2:03,16,Izayah Mauriohoohoo-Le'Afa made Three Point Jumper. Assisted by Justin Strings.,41,36
1:37,2501,Marcus Shaver Jr. Turnover.,41,36
1:28,16,Jordan Tolbert made Jumper.,41,38
1:09,2501,Franklin Porter Turnover.,41,38
1:09,2501,Foul on Franklin Porter.,41,38
1:08,16,Joshua Patton missed Jumper.,41,38
1:08,16,Justin Strings Offensive Rebound.,41,38
0:55,16,Justin Strings missed Jumper.,41,38
0:55,2501,Philipp Hartwich Block.,41,38
0:55,16,Justin Strings Offensive Rebound.,41,38
0:52,16,Justin Strings made Layup.,41,40
0:36,2501,Marcus Shaver Jr. made Jumper. Assisted by JoJo Walker.,43,40
0:23,16,Justin Strings missed Layup.,43,40
0:23,2501,Philipp Hartwich Block.,43,40
0:21,2501,JoJo Walker Defensive Rebound.,43,40
0:15,2501,Marcus Shaver Jr. missed Layup.,43,40
0:15,2501,Josh McSwiggan Offensive Rebound.,43,40
0:02,2501,Franklin Porter Turnover.,43,40
0:01,16,Joshua Patton Steal.,43,40
0:00,16,End of 1st half,43,40
19:42,16,Jeff Wu missed Layup.,43,40
19:42,2501,Josh McSwiggan Defensive Rebound.,43,40
19:16,2501,Philipp Hartwich Turnover.,43,40
18:50,16,Justin Strings made Layup. Assisted by Bryce Fowler.,43,42
18:24,2501,Josh McSwiggan made Layup.,45,42
18:01,2501,Foul on Philipp Hartwich.,45,42
18:00,16,Joshua Patton missed Free Throw.,45,42
18:00,16,Sacramento State Deadball Team Rebound.,45,42
18:00,16,Joshua Patton missed Free Throw.,45,42
18:00,2501,Philipp Hartwich Defensive Rebound.,45,42
17:32,2501,Marcus Shaver Jr. missed Three Point Jumper.,45,42
17:32,16,Joshua Patton Defensive Rebound.,45,42
17:17,16,Joshua Patton Turnover.,45,42
17:16,2501,Franklin Porter Steal.,45,42
17:03,16,Justin Strings made Layup. Assisted by Bryce Fowler.,45,44
16:47,16,Foul on Jeff Wu.,45,44
16:42,2501,JoJo Walker missed Layup.,45,44
16:42,16,Justin Strings Defensive Rebound.,45,44
16:36,16,Bryce Fowler made Dunk. Assisted by Justin Strings.,45,46
16:25,2501,Portland  Timeout,45,46
16:14,2501,Philipp Hartwich Turnover.,45,46
16:07,16,Justin Strings missed Jumper.,45,46
16:07,2501,JoJo Walker Defensive Rebound.,45,46
16:05,16,Foul on Joshua Patton.,45,46
15:47,2501,Marcus Shaver Jr. made Jumper.,47,46
15:35,16,Jeff Wu Turnover.,47,46
15:34,2501,Marcus Shaver Jr. Steal.,47,46
15:33,2501,Marcus Shaver Jr. made Layup.,49,46
15:18,2501,Foul on Philipp Hartwich.,49,46
15:18,16,Official TV Timeout,49,46
15:09,16,Bryce Fowler missed Three Point Jumper.,49,46
15:09,2501,JoJo Walker Defensive Rebound.,49,46
14:46,2501,Marcus Shaver Jr. missed Three Point Jumper.,49,46
14:46,16,Jordan Tolbert Defensive Rebound.,49,46
14:36,16,Izayah Mauriohoohoo-Le'Afa missed Jumper.,49,46
14:36,2501,Josh McSwiggan Defensive Rebound.,49,46
14:26,16,Foul on Jordan Tolbert.,49,46
14:26,2501,Philipp Hartwich missed Free Throw.,49,46
14:26,2501,Portland Deadball Team Rebound.,49,46
14:26,2501,Philipp Hartwich made Free Throw.,50,46
13:58,16,Jordan Tolbert made Three Point Jumper. Assisted by Justin Strings.,50,49
13:32,2501,JoJo Walker made Jumper.,52,49
13:18,16,Jordan Tolbert Turnover.,52,49
13:00,2501,Philipp Hartwich missed Layup.,52,49
13:00,16,Jiday Ugbaja Defensive Rebound.,52,49
12:55,16,Kevin Hicks missed Three Point Jumper.,52,49
12:55,2501,Marcus Shaver Jr. Defensive Rebound.,52,49
12:50,2501,Marcus Shaver Jr. made Layup.,54,49
12:50,16,Foul on Jiday Ugbaja.,54,49
12:50,2501,Marcus Shaver Jr. made Free Throw.,55,49
12:42,16,Joshua Patton made Layup. Assisted by Jiday Ugbaja.,55,51
12:42,2501,Foul on Philipp Hartwich.,55,51
12:42,16,Joshua Patton made Free Throw.,55,52
12:18,2501,Franklin Porter missed Layup.,55,52
12:18,16,Joshua Patton Defensive Rebound.,55,52
12:05,16,Jordan Tolbert made Three Point Jumper. Assisted by Kevin Hicks.,55,55
11:38,2501,JoJo Walker made Three Point Jumper. Assisted by Marcus Shaver Jr..,58,55
11:23,16,Official TV Timeout,58,55
11:21,16,Jiday Ugbaja Turnover.,58,55
11:05,2501,Tahirou Diabate missed Jumper.,58,55
11:05,2501,Franklin Porter Offensive Rebound.,58,55
11:02,2501,Franklin Porter missed Two Point Tip Shot.,58,55
11:02,16,Justin Strings Defensive Rebound.,58,55
10:57,2501,Foul on Franklin Porter.,58,55
10:50,16,Joshua Patton missed Layup.,58,55
10:50,2501,Josh McSwiggan Defensive Rebound.,58,55
10:33,2501,Josh McSwiggan missed Three Point Jumper.,58,55
10:33,16,Justin Strings Block.,58,55
10:32,2501,Portland Offensive Rebound.,58,55
10:23,16,Foul on Joshua Patton.,58,55
10:23,2501,Tahirou Diabate missed Free Throw.,58,55
10:23,2501,Portland Deadball Team Rebound.,58,55
10:23,2501,Tahirou Diabate made Free Throw.,59,55
10:13,16,Justin Strings made Layup. Assisted by Jordan Tolbert.,59,57
10:12,2501,Foul on Tahirou Diabate.,59,57
10:12,16,Justin Strings missed Free Throw.,59,57
10:12,16,Izayah Mauriohoohoo-Le'Afa Offensive Rebound.,59,57
9:45,16,Jeff Wu missed Jumper.,59,57
9:45,2501,Franklin Porter Defensive Rebound.,59,57
9:31,2501,D'Marques Tyson missed Three Point Jumper.,59,57
9:31,16,Izayah Mauriohoohoo-Le'Afa Defensive Rebound.,59,57
9:23,16,Izayah Mauriohoohoo-Le'Afa Turnover.,59,57
9:02,2501,JoJo Walker made Jumper. Assisted by Josh McSwiggan.,61,57
8:33,2501,Foul on Tahirou Diabate.,61,57
8:33,16,Justin Strings made Free Throw.,61,58
8:33,16,Justin Strings made Free Throw.,61,59
8:04,2501,Malcolm Porter missed Jumper.,61,59
8:04,2501,D'Marques Tyson Offensive Rebound.,61,59
7:54,2501,Malcolm Porter made Layup.,63,59
7:29,16,Joshua Patton Turnover.,63,59
7:28,2501,Malcolm Porter Steal.,63,59
7:26,2501,Malcolm Porter missed Layup.,63,59
7:26,2501,Josh McSwiggan Offensive Rebound.,63,59
7:24,2501,Josh McSwiggan made Layup.,65,59
7:17,2501,Foul on Marcus Shaver Jr..,65,59
7:17,16,Official TV Timeout,65,59
7:17,16,Izayah Mauriohoohoo-Le'Afa made Free Throw.,65,60
7:17,16,Izayah Mauriohoohoo-Le'Afa made Free Throw.,65,61
6:50,16,Foul on Jordan Tolbert.,65,61
6:30,2501,Malcolm Porter missed Three Point Jumper.,65,61
6:30,16,Jeff Wu Defensive Rebound.,65,61
6:02,16,Joshua Patton missed Layup.,65,61
6:02,16,Bryce Fowler Offensive Rebound.,65,61
5:59,16,Bryce Fowler made Two Point Tip Shot.,65,63
5:41,2501,Josh McSwiggan made Three Point Jumper. Assisted by Malcolm Porter.,68,63
5:32,2501,Foul on Marcus Shaver Jr..,68,63
5:32,16,Jordan Tolbert missed Free Throw.,68,63
5:32,2501,Josh McSwiggan Defensive Rebound.,68,63
5:20,2501,D'Marques Tyson made Three Point Jumper. Assisted by Malcolm Porter.,71,63
5:12,16,Sacramento State  Timeout,71,63
4:55,16,Justin Strings missed Jumper.,71,63
4:55,2501,Malcolm Porter Defensive Rebound.,71,63
4:41,16,Foul on Joshua Patton.,71,63
4:41,2501,Philipp Hartwich made Free Throw.,72,63
4:41,2501,Philipp Hartwich missed Free Throw.,72,63
4:41,16,Joshua Patton Defensive Rebound.,72,63
4:27,16,Bryce Fowler missed Layup.,72,63
4:27,16,Izayah Mauriohoohoo-Le'Afa Offensive Rebound.,72,63
4:24,2501,Foul on Marcus Shaver Jr..,72,63
4:24,16,Justin Strings made Free Throw.,72,64
4:24,16,Justin Strings made Free Throw.,72,65
4:05,2501,D'Marques Tyson missed Three Point Jumper.,72,65
4:05,16,Justin Strings Defensive Rebound.,72,65
3:58,2501,Foul on D'Marques Tyson.,72,65
3:58,16,Official TV Timeout,72,65
3:58,16,Joshua Patton missed Free Throw.,72,65
3:58,16,Sacramento State Deadball Team Rebound.,72,65
3:58,16,Joshua Patton missed Free Throw.,72,65
3:58,2501,D'Marques Tyson Defensive Rebound.,72,65
3:41,2501,JoJo Walker made Layup.,74,65
3:33,16,Justin Strings missed Three Point Jumper.,74,65
3:33,2501,Philipp Hartwich Defensive Rebound.,74,65
3:05,2501,JoJo Walker Turnover.,74,65
3:04,16,Izayah Mauriohoohoo-Le'Afa Steal.,74,65
3:02,16,Jordan Tolbert made Layup. Assisted by Izayah Mauriohoohoo-Le'Afa.,74,67
3:02,2501,Foul on JoJo Walker.,74,67
3:02,16,Jordan Tolbert made Free Throw.,74,68
2:53,2501,D'Marques Tyson missed Three Point Jumper.,74,68
2:53,16,Joshua Patton Defensive Rebound.,74,68
2:45,16,Izayah Mauriohoohoo-Le'Afa made Three Point Jumper. Assisted by Jordan Tolbert.,74,71
2:14,16,Foul on Jordan Tolbert.,74,71
2:14,2501,Marcus Shaver Jr. made Free Throw.,75,71
2:14,2501,Marcus Shaver Jr. made Free Throw.,76,71
1:55,16,Kevin Hicks missed Three Point Jumper.,76,71
1:55,2501,Franklin Porter Defensive Rebound.,76,71
1:39,16,Foul on Kevin Hicks.,76,71
1:39,2501,JoJo Walker made Free Throw.,77,71
1:39,2501,JoJo Walker missed Free Throw.,77,71
1:39,16,Joshua Patton Defensive Rebound.,77,71
1:29,16,Justin Strings made Layup.,77,73
0:58,2501,Foul on JoJo Walker.,77,73
0:58,2501,JoJo Walker Turnover.,77,73
0:53,16,Justin Strings missed Three Point Jumper.,77,73
0:53,2501,Josh McSwiggan Defensive Rebound.,77,73
0:29,2501,Josh McSwiggan made Jumper.,79,73
0:17,16,Justin Strings made Jumper. Assisted by Izayah Mauriohoohoo-Le'Afa.,79,75
0:16,16,Sacramento State  Timeout,79,75
0:16,16,Foul on Justin Strings.,79,75
0:16,2501,Marcus Shaver Jr. missed Free Throw.,79,75
0:16,2501,Portland Deadball Team Rebound.,79,75
0:16,2501,Marcus Shaver Jr. made Free Throw.,80,75
0:06,16,Justin Strings missed Jumper.,80,75
0:06,2501,JoJo Walker Defensive Rebound.,80,75
0:00,16,End of Game,80,75
