Cleveland State,2132,Cincinnati,325
13:10,2132,Jacob Evans made Layup. Assisted by Justin Jenifer.,49,55
12:54,325,Kenny Carpenter missed Three Point Jumper.,49,55
12:54,2132,Gary Clark Defensive Rebound.,49,55
12:45,2132,Foul on Jacob Evans.,49,55
12:45,2132,Jacob Evans Turnover.,49,55
12:25,325,Kasheem Thomas missed Three Point Jumper.,49,55
12:25,2132,Kyle Washington Defensive Rebound.,49,55
11:59,2132,Keith Williams missed Jumper.,49,55
11:59,2132,Keith Williams Offensive Rebound.,49,55
11:54,2132,Keith Williams missed Layup.,49,55
11:54,325,Stefan Kenic Defensive Rebound.,49,55
11:53,2132,Foul on Kyle Washington.,49,55
11:50,2132,Official TV Timeout,49,55
11:32,325,Dontel Highsmith missed Three Point Jumper.,49,55
11:32,2132,Kyle Washington Defensive Rebound.,49,55
11:03,325,Foul on Jamarcus Hairston.,49,55
11:00,2132,Jacob Evans made Jumper. Assisted by Justin Jenifer.,49,57
10:41,325,Kasheem Thomas missed Layup.,49,57
10:41,2132,Kyle Washington Defensive Rebound.,49,57
10:26,2132,Justin Jenifer missed Jumper.,49,57
10:26,325,Jamarcus Hairston Defensive Rebound.,49,57
10:18,325,Dontel Highsmith Turnover.,49,57
10:18,2132,Jacob Evans Steal.,49,57
9:52,2132,Justin Jenifer made Three Point Jumper. Assisted by Jacob Evans.,49,60
9:26,325,Stefan Kenic made Three Point Jumper. Assisted by Dontel Highsmith.,52,60
9:04,2132,Justin Jenifer Turnover.,52,60
8:58,325,Tyree Appleby made Layup.,54,60
8:47,2132,Cincinnati  Timeout,54,60
8:47,2132,Official TV Timeout,54,60
8:35,2132,Jarron Cumberland missed Layup.,54,60
8:35,325,Jamarcus Hairston Defensive Rebound.,54,60
8:16,325,Kenny Carpenter missed Three Point Jumper.,54,60
8:16,2132,Cane Broome Defensive Rebound.,54,60
7:59,2132,Jarron Cumberland missed Layup.,54,60
7:59,2132,Kyle Washington Offensive Rebound.,54,60
7:59,325,Foul on Jamarcus Hairston.,54,60
7:59,2132,Official TV Timeout,54,60
7:59,2132,Kyle Washington missed Free Throw.,54,60
7:59,2132,Cincinnati Deadball Team Rebound.,54,60
7:59,2132,Kyle Washington missed Free Throw.,54,60
7:59,325,Jamarcus Hairston Defensive Rebound.,54,60
7:49,325,Tyree Appleby missed Layup.,54,60
7:49,2132,Gary Clark Defensive Rebound.,54,60
7:27,2132,Kyle Washington made Jumper. Assisted by Cane Broome.,54,62
6:58,325,Stefan Kenic missed Jumper.,54,62
6:58,2132,Gary Clark Defensive Rebound.,54,62
6:37,325,Foul on Kenny Carpenter.,54,62
6:34,2132,Gary Clark missed Jumper.,54,62
6:34,2132,Kyle Washington Offensive Rebound.,54,62
6:30,2132,Kyle Washington made Jumper.,54,64
6:30,325,Foul on Stefan Kenic.,54,64
6:30,325,Cleveland State  Timeout,54,64
6:30,2132,Kyle Washington missed Free Throw.,54,64
6:30,325,Stefan Kenic Defensive Rebound.,54,64
6:07,325,Tyree Appleby made Jumper.,56,64
5:32,2132,Jarron Cumberland missed Jumper.,56,64
5:32,2132,Kyle Washington Offensive Rebound.,56,64
5:27,2132,Kyle Washington made Layup.,56,66
5:15,325,Stefan Kenic missed Jumper.,56,66
5:15,2132,Kyle Washington Defensive Rebound.,56,66
4:45,325,Foul on Dontel Highsmith.,56,66
4:45,2132,Jarron Cumberland made Free Throw.,56,67
4:45,2132,Jarron Cumberland made Free Throw.,56,68
4:37,325,Kenny Carpenter missed Three Point Jumper.,56,68
4:37,2132,Gary Clark Block.,56,68
4:37,2132,Cincinnati Defensive Rebound.,56,68
4:16,2132,Gary Clark made Jumper.,56,70
3:57,325,Anthony Wright Turnover.,56,70
3:57,2132,Jarron Cumberland Steal.,56,70
3:49,2132,Gary Clark made Dunk. Assisted by Jarron Cumberland.,56,72
3:48,2132,Official TV Timeout,56,72
3:48,325,Cleveland State  Timeout,56,72
3:31,325,Anthony Wright Turnover.,56,72
3:31,2132,Jarron Cumberland Steal.,56,72
3:25,2132,Jarron Cumberland made Dunk. Assisted by Jacob Evans.,56,74
3:00,325,Tyree Appleby made Layup.,58,74
2:31,2132,Jacob Evans missed Jumper.,58,74
2:31,2132,Cincinnati Offensive Rebound.,58,74
2:14,2132,Cane Broome made Three Point Jumper. Assisted by Jarron Cumberland.,58,77
1:59,325,Stefan Kenic missed Jumper.,58,77
1:59,2132,Gary Clark Block.,58,77
1:59,325,Stefan Kenic Offensive Rebound.,58,77
1:51,325,Tyree Appleby made Layup.,60,77
1:36,325,Foul on Tyree Appleby.,60,77
1:36,2132,Cane Broome made Free Throw.,60,78
1:36,2132,Cane Broome made Free Throw.,60,79
1:25,325,Tyree Appleby missed Layup.,60,79
1:25,2132,Tre Scott Block.,60,79
1:25,2132,Keith Williams Defensive Rebound.,60,79
1:11,2132,Keith Williams made Dunk. Assisted by Justin Jenifer.,60,81
0:56,2132,Foul on Keith Williams.,60,81
0:56,325,Dontel Highsmith made Free Throw.,61,81
0:56,325,Dontel Highsmith made Free Throw.,62,81
0:31,2132,Trevor Moore missed Three Point Jumper.,62,81
0:31,325,Cleveland State Defensive Rebound.,62,81
0:18,325,Kasheem Thomas missed Layup.,62,81
0:18,325,Stefan Kenic Offensive Rebound.,62,81
0:15,325,Stefan Kenic missed Layup.,62,81
0:15,2132,Jacob Evans Defensive Rebound.,62,81
0:00,2132,End of Game,62,81
