Quinnipiac,261,Vermont,2514
18:23,261,Ernie Duncan missed Three Point Jumper.,26,40
18:23,2514,Rich Kelly Defensive Rebound.,26,40
18:10,2514,Cameron Young made Three Point Jumper. Assisted by Rich Kelly.,29,40
17:49,261,Drew Urquhart made Layup. Assisted by Trae Bell-Haynes.,29,42
17:37,2514,Cameron Young missed Three Point Jumper.,29,42
17:37,2514,Abdulai Bundu Offensive Rebound.,29,42
17:29,2514,Isaiah Washington made Three Point Jumper. Assisted by Rich Kelly.,32,42
17:10,261,Drew Urquhart made Layup. Assisted by Trae Bell-Haynes.,32,44
16:38,2514,Isaiah Washington missed Three Point Jumper.,32,44
16:38,2514,Cameron Young Offensive Rebound.,32,44
16:28,2514,Jacob Rigoni missed Layup.,32,44
16:28,2514,Quinnipiac Offensive Rebound.,32,44
16:18,2514,Alain Chigha made Layup.,34,44
15:48,261,Official TV Timeout,34,44
15:46,261,Ernie Duncan made Three Point Jumper. Assisted by Trae Bell-Haynes.,34,47
15:19,2514,Rich Kelly missed Three Point Jumper.,34,47
15:19,261,Vermont Defensive Rebound.,34,47
15:05,261,Trae Bell-Haynes Turnover.,34,47
15:05,2514,Isaiah Washington Steal.,34,47
14:59,2514,Cameron Young missed Three Point Jumper.,34,47
14:59,261,Trae Bell-Haynes Defensive Rebound.,34,47
14:59,2514,Foul on Cameron Young.,34,47
14:39,261,Trae Bell-Haynes Turnover.,34,47
14:28,2514,Rich Kelly Turnover.,34,47
14:18,261,Drew Urquhart missed Jumper.,34,47
14:18,2514,Rich Kelly Defensive Rebound.,34,47
14:09,2514,Jacob Rigoni made Three Point Jumper. Assisted by Rich Kelly.,37,47
13:36,261,Ernie Duncan made Layup. Assisted by Drew Urquhart.,37,49
13:14,2514,Rich Kelly missed Jumper.,37,49
13:14,261,Stef Smith Defensive Rebound.,37,49
12:49,2514,Foul on Alain Chigha.,37,49
12:41,261,Anthony Lamb made Layup. Assisted by Stef Smith.,37,51
12:19,2514,Abdulai Bundu made Dunk. Assisted by Cameron Young.,39,51
11:55,2514,Foul on Abdulai Bundu.,39,51
11:55,261,Official TV Timeout,39,51
11:47,261,Nate Rohrer made Layup.,39,53
11:32,2514,Isaiah Washington made Three Point Jumper. Assisted by Cameron Young.,42,53
11:19,261,Trae Bell-Haynes Turnover.,42,53
11:19,2514,Isaiah Washington Steal.,42,53
11:00,2514,Isaiah Washington missed Three Point Jumper.,42,53
11:00,261,Trae Bell-Haynes Defensive Rebound.,42,53
10:40,261,Cam Ward made Layup.,42,55
10:28,2514,Jacob Rigoni missed Layup.,42,55
10:28,261,Samuel Dingba Defensive Rebound.,42,55
10:23,261,Everett Duncan missed Three Point Jumper.,42,55
10:23,2514,Andrew Robinson Defensive Rebound.,42,55
9:50,2514,Cameron Young made Layup.,44,55
9:13,261,Trae Bell-Haynes made Jumper.,44,57
8:56,2514,Abdulai Bundu made Layup.,46,57
8:56,261,Foul on Samuel Dingba.,46,57
8:56,2514,Abdulai Bundu missed Free Throw.,46,57
8:56,261,Trae Bell-Haynes Defensive Rebound.,46,57
8:49,261,Anthony Lamb made Three Point Jumper. Assisted by Trae Bell-Haynes.,46,60
8:14,2514,Rich Kelly made Layup.,48,60
7:49,261,Cam Ward Turnover.,48,60
7:49,261,Official TV Timeout,48,60
7:33,261,Foul on Drew Urquhart.,48,60
7:20,2514,Jacob Rigoni made Three Point Jumper.,51,60
6:58,261,Ernie Duncan missed Jumper.,51,60
6:58,261,Drew Urquhart Offensive Rebound.,51,60
6:56,261,Drew Urquhart made Layup.,51,62
6:44,2514,Rich Kelly made Layup.,53,62
6:44,261,Foul on Drew Urquhart.,53,62
6:44,2514,Rich Kelly missed Free Throw.,53,62
6:44,261,Anthony Lamb Defensive Rebound.,53,62
6:17,261,Cam Ward missed Layup.,53,62
6:17,2514,Jacob Rigoni Defensive Rebound.,53,62
6:06,2514,Alain Chigha made Layup. Assisted by Rich Kelly.,55,62
5:36,261,Cam Ward made Three Point Jumper.,55,65
5:13,261,Foul on Trae Bell-Haynes.,55,65
5:01,2514,Cameron Young made Layup.,57,65
