Grambling,151,East Carolina,2755
5:36,2755,Shirmane Thomas Defensive Rebound.,23,17
5:29,2755,Anthony Gaston made Three Point Jumper. Assisted by Shirmane Thomas.,26,17
5:13,151,Shawn Williams missed Three Point Jumper.,26,17
5:13,2755,Grambling Deadball Team Rebound.,26,17
5:10,151,Foul on Jabari Craig.,26,17
4:45,2755,Foul on Shirmane Thomas.,26,17
4:45,2755,Shirmane Thomas Turnover.,26,17
4:36,151,Isaac Fleming made Jumper.,26,19
4:25,2755,Anthony Gaston made Three Point Jumper. Assisted by Ivy Smith Jr..,29,19
4:02,151,Isaac Fleming missed Jumper.,29,19
4:02,2755,Jason Perry-Murray Defensive Rebound.,29,19
3:51,2755,Ivy Smith Jr. made Jumper.,31,19
3:29,151,B.J. Tyson made Layup.,31,21
3:13,2755,Grambling  Timeout,31,21
3:01,2755,Devante Jackson missed Layup.,31,21
3:01,151,Usman Haruna Block.,31,21
3:00,2755,Devante Jackson Offensive Rebound.,31,21
2:58,2755,Devante Jackson Turnover.,31,21
2:55,151,Shawn Williams missed Three Point Jumper.,31,21
2:55,2755,Grambling Deadball Team Rebound.,31,21
2:38,2755,Ivy Smith Jr. missed Three Point Jumper.,31,21
2:38,151,Usman Haruna Defensive Rebound.,31,21
2:20,151,B.J. Tyson made Three Point Jumper. Assisted by Isaac Fleming.,31,24
1:59,2755,Axel Mpoyo missed Layup.,31,24
1:59,151,Usman Haruna Defensive Rebound.,31,24
1:53,151,Aaron Jackson missed Layup.,31,24
1:53,2755,Axel Mpoyo Block.,31,24
1:51,2755,Anthony Gaston Defensive Rebound.,31,24
1:43,2755,Devante Jackson missed Jumper.,31,24
1:43,151,East Carolina Defensive Rebound.,31,24
1:25,151,Shawn Williams missed Jumper.,31,24
1:25,2755,Ivy Smith Jr. Defensive Rebound.,31,24
1:13,2755,Anthony Gaston missed Three Point Jumper.,31,24
1:13,151,B.J. Tyson Defensive Rebound.,31,24
1:05,151,B.J. Tyson made Layup.,31,26
0:47,2755,Axel Mpoyo missed Three Point Jumper.,31,26
0:47,151,East Carolina Deadball Team Rebound.,31,26
0:43,2755,Foul on Bobby Jackson.,31,26
0:43,151,B.J. Tyson made Free Throw.,31,27
0:43,151,B.J. Tyson made Free Throw.,31,28
0:29,2755,Shirmane Thomas Turnover.,31,28
0:28,151,Aaron Jackson Steal.,31,28
0:02,151,Foul on B.J. Tyson.,31,28
0:02,151,B.J. Tyson Turnover.,31,28
0:00,151,End of 1st half,31,28
19:42,2755,Shirmane Thomas made Layup.,33,28
19:42,151,Foul on B.J. Tyson.,33,28
19:42,2755,Shirmane Thomas missed Free Throw.,33,28
19:42,2755,Ivy Smith Jr. Offensive Rebound.,33,28
19:32,2755,Foul on Anthony Gaston.,33,28
19:32,2755,Anthony Gaston Turnover.,33,28
19:23,151,Aaron Jackson Turnover.,33,28
19:07,151,Foul on Usman Haruna.,33,28
19:07,2755,Devante Jackson made Free Throw.,34,28
19:07,2755,Devante Jackson made Free Throw.,35,28
18:49,151,Shawn Williams made Layup. Assisted by Usman Haruna.,35,30
18:25,2755,Shirmane Thomas missed Layup.,35,30
18:25,151,Usman Haruna Defensive Rebound.,35,30
18:11,151,Usman Haruna made Layup. Assisted by Isaac Fleming.,35,32
17:46,2755,Devante Jackson missed Layup.,35,32
17:46,151,Aaron Jackson Defensive Rebound.,35,32
17:42,2755,Foul on Axel Mpoyo.,35,32
17:16,151,B.J. Tyson missed Three Point Jumper.,35,32
17:16,2755,Anthony Gaston Defensive Rebound.,35,32
17:11,151,Foul on Aaron Jackson.,35,32
16:58,151,Foul on Aaron Jackson.,35,32
16:58,2755,Devante Jackson made Three Point Jumper. Assisted by Ivy Smith Jr..,38,32
16:42,151,B.J. Tyson made Layup. Assisted by Aaron Jackson.,38,34
16:21,2755,Ivy Smith Jr. Turnover.,38,34
16:15,2755,Foul on Devante Jackson.,38,34
16:15,151,Isaac Fleming made Free Throw.,38,35
16:15,151,Isaac Fleming made Free Throw.,38,36
16:02,2755,Devante Jackson made Jumper. Assisted by Anthony Gaston.,40,36
15:46,151,Shawn Williams made Three Point Jumper. Assisted by Aaron Jackson.,40,39
15:24,2755,Shirmane Thomas missed Layup.,40,39
15:24,151,B.J. Tyson Defensive Rebound.,40,39
15:17,151,B.J. Tyson Turnover.,40,39
15:17,151,Official TV Timeout,40,39
15:06,151,Foul on Aaron Jackson.,40,39
15:05,2755,Anthony Gaston missed Jumper.,40,39
15:05,151,Usman Haruna Defensive Rebound.,40,39
14:51,151,Dimitri Spasojevic made Layup. Assisted by Shawn Williams.,40,41
14:34,2755,Devante Jackson made Jumper. Assisted by Ivy Smith Jr..,42,41
14:24,151,B.J. Tyson missed Jumper.,42,41
14:24,151,Dimitri Spasojevic Offensive Rebound.,42,41
14:21,2755,Foul on Devante Jackson.,42,41
14:21,151,Dimitri Spasojevic missed Free Throw.,42,41
14:21,151,East Carolina Deadball Team Rebound.,42,41
14:21,151,Dimitri Spasojevic missed Free Throw.,42,41
14:21,151,B.J. Tyson Offensive Rebound.,42,41
14:19,151,Isaac Fleming Turnover.,42,41
14:17,2755,Ivy Smith Jr. Steal.,42,41
14:15,2755,Shirmane Thomas made Dunk. Assisted by Ivy Smith Jr..,44,41
14:05,151,Isaac Fleming made Layup.,44,43
13:46,2755,Ivy Smith Jr. Turnover.,44,43
13:45,151,Shawn Williams Steal.,44,43
13:39,2755,Foul on Ivy Smith Jr..,44,43
13:39,151,Shawn Williams made Free Throw.,44,44
13:39,151,Shawn Williams made Free Throw.,44,45
13:17,2755,Anthony Gaston missed Layup.,44,45
13:17,151,Jabari Craig Defensive Rebound.,44,45
12:51,151,Dimitri Spasojevic made Layup.,44,47
12:51,2755,Foul on Shirmane Thomas.,44,47
12:51,151,Dimitri Spasojevic missed Free Throw.,44,47
12:51,2755,Shirmane Thomas Defensive Rebound.,44,47
12:45,2755,Ivy Smith Jr. made Three Point Jumper.,47,47
12:26,151,Dimitri Spasojevic Turnover.,47,47
12:25,2755,Shirmane Thomas Steal.,47,47
12:03,2755,Shirmane Thomas made Layup.,49,47
11:40,151,Jabari Craig missed Jumper.,49,47
11:40,151,Jabari Craig Offensive Rebound.,49,47
11:27,151,Isaac Fleming missed Layup.,49,47
11:27,2755,Axel Mpoyo Defensive Rebound.,49,47
11:24,151,Official TV Timeout,49,47
11:12,151,Foul on Isaac Fleming.,49,47
10:59,151,Foul on Shawn Williams.,49,47
10:59,2755,Ivy Smith Jr. made Free Throw.,50,47
10:59,2755,Ivy Smith Jr. made Free Throw.,51,47
10:46,151,K.J. Davis missed Three Point Jumper.,51,47
10:46,2755,Ivy Smith Jr. Defensive Rebound.,51,47
10:24,2755,Foul on Jason Perry-Murray.,51,47
10:24,2755,Jason Perry-Murray Turnover.,51,47
10:24,151,Dimitri Spasojevic made Free Throw.,51,48
10:24,151,Dimitri Spasojevic missed Free Throw.,51,48
10:24,151,K.J. Davis Offensive Rebound.,51,48
10:22,151,K.J. Davis made Layup.,51,50
10:02,2755,Ivy Smith Jr. missed Jumper.,51,50
10:02,2755,Jason Perry-Murray Offensive Rebound.,51,50
9:54,2755,Drake Wilks missed Three Point Jumper.,51,50
9:54,151,East Carolina Defensive Rebound.,51,50
9:32,2755,Foul on Shirmane Thomas.,51,50
9:32,151,Dimitri Spasojevic made Free Throw.,51,51
9:32,151,Dimitri Spasojevic made Free Throw.,51,52
9:07,2755,Devante Jackson missed Layup.,51,52
9:07,151,Dimitri Spasojevic Block.,51,52
9:06,151,B.J. Tyson Defensive Rebound.,51,52
9:03,151,Shawn Williams missed Three Point Jumper.,51,52
9:03,2755,Devante Jackson Defensive Rebound.,51,52
8:56,2755,Ivy Smith Jr. made Layup. Assisted by Devante Jackson.,53,52
8:28,151,Shawn Williams made Jumper.,53,54
8:02,2755,Foul on Axel Mpoyo.,53,54
8:02,2755,Axel Mpoyo Turnover.,53,54
7:50,151,Dimitri Spasojevic made Layup. Assisted by B.J. Tyson.,53,56
7:36,2755,Grambling  Timeout,53,56
7:31,2755,Drake Wilks missed Three Point Jumper.,53,56
7:31,2755,Devante Jackson Offensive Rebound.,53,56
7:26,2755,Devante Jackson Turnover.,53,56
7:25,151,Dimitri Spasojevic Steal.,53,56
7:15,151,Dimitri Spasojevic Offensive Rebound.,53,56
7:15,151,B.J. Tyson missed Jumper.,53,56
7:15,2755,Devante Jackson Block.,53,56
7:02,2755,Anthony Gaston missed Jumper.,53,56
7:02,151,K.J. Davis Defensive Rebound.,53,56
6:58,151,K.J. Davis missed Layup.,53,56
6:58,151,Dimitri Spasojevic Offensive Rebound.,53,56
6:54,151,Dimitri Spasojevic made Layup.,53,58
6:29,2755,Anthony Gaston missed Three Point Jumper.,53,58
6:29,151,Dimitri Spasojevic Defensive Rebound.,53,58
6:29,2755,Foul on Drake Wilks.,53,58
6:29,151,Official TV Timeout,53,58
6:29,151,Dimitri Spasojevic made Free Throw.,53,59
6:29,151,Dimitri Spasojevic missed Free Throw.,53,59
6:29,2755,Axel Mpoyo Defensive Rebound.,53,59
6:06,2755,Axel Mpoyo Turnover.,53,59
6:05,151,K.J. Davis Steal.,53,59
5:51,151,K.J. Davis missed Three Point Jumper.,53,59
5:51,2755,Ivy Smith Jr. Defensive Rebound.,53,59
5:38,151,Foul on Isaac Fleming.,53,59
5:38,2755,Ivy Smith Jr. made Free Throw.,54,59
5:38,2755,Ivy Smith Jr. made Free Throw.,55,59
5:15,151,Isaac Fleming missed Layup.,55,59
5:15,2755,Anthony Gaston Block.,55,59
5:15,151,East Carolina Offensive Rebound.,55,59
5:15,151,B.J. Tyson missed Jumper.,55,59
5:15,2755,Axel Mpoyo Defensive Rebound.,55,59
5:00,151,Foul on Dimitri Spasojevic.,55,59
5:00,2755,Devante Jackson made Free Throw.,56,59
5:00,2755,Devante Jackson missed Free Throw.,56,59
5:00,151,Dimitri Spasojevic Defensive Rebound.,56,59
4:50,2755,Foul on Devante Jackson.,56,59
4:50,151,Isaac Fleming made Free Throw.,56,60
4:50,151,Isaac Fleming missed Free Throw.,56,60
4:50,151,Isaac Fleming Offensive Rebound.,56,60
4:42,151,Dimitri Spasojevic Turnover.,56,60
4:41,2755,Axel Mpoyo Steal.,56,60
4:35,2755,Ivy Smith Jr. made Jumper.,58,60
4:26,2755,Foul on Ivy Smith Jr..,58,60
4:26,151,Dimitri Spasojevic made Free Throw.,58,61
4:26,151,Dimitri Spasojevic made Free Throw.,58,62
4:19,2755,Axel Mpoyo missed Layup.,58,62
4:19,151,K.J. Davis Defensive Rebound.,58,62
3:51,151,K.J. Davis missed Three Point Jumper.,58,62
3:51,151,B.J. Tyson Offensive Rebound.,58,62
3:45,151,B.J. Tyson made Layup.,58,64
3:27,2755,Ivy Smith Jr. Turnover.,58,64
3:26,151,B.J. Tyson Steal.,58,64
3:22,151,Isaac Fleming made Layup.,58,66
3:13,2755,Grambling  Timeout,58,66
3:08,151,Foul on K.J. Davis.,58,66
3:08,2755,Shirmane Thomas missed Free Throw.,58,66
3:08,2755,Grambling Deadball Team Rebound.,58,66
3:08,2755,Shirmane Thomas missed Free Throw.,58,66
3:08,151,Dimitri Spasojevic Defensive Rebound.,58,66
2:56,151,K.J. Davis made Layup. Assisted by B.J. Tyson.,58,68
2:49,2755,Ivy Smith Jr. Turnover.,58,68
2:48,151,Isaac Fleming Steal.,58,68
2:44,151,K.J. Davis Turnover.,58,68
2:43,2755,Anthony Gaston Steal.,58,68
2:40,2755,Drake Wilks made Layup. Assisted by Shirmane Thomas.,60,68
2:10,2755,Foul on Axel Mpoyo.,60,68
2:10,151,B.J. Tyson made Free Throw.,60,69
2:10,151,B.J. Tyson missed Free Throw.,60,69
2:10,151,K.J. Davis Offensive Rebound.,60,69
1:56,151,Isaac Fleming missed Layup.,60,69
1:56,151,K.J. Davis Offensive Rebound.,60,69
1:51,2755,Foul on Drake Wilks.,60,69
1:51,151,K.J. Davis missed Free Throw.,60,69
1:51,151,East Carolina Deadball Team Rebound.,60,69
1:51,151,K.J. Davis missed Free Throw.,60,69
1:51,2755,Shirmane Thomas Defensive Rebound.,60,69
1:44,2755,Ivy Smith Jr. made Jumper.,62,69
1:44,151,Foul on Isaac Fleming.,62,69
1:44,2755,Ivy Smith Jr. made Free Throw.,63,69
1:41,151,Isaac Fleming Turnover.,63,69
1:41,2755,Anthony Gaston Steal.,63,69
1:40,2755,Devante Jackson made Layup. Assisted by Ivy Smith Jr..,65,69
1:34,2755,Foul on Axel Mpoyo.,65,69
1:34,151,Isaac Fleming made Free Throw.,65,70
1:34,151,Isaac Fleming made Free Throw.,65,71
1:34,151,East Carolina  Timeout,65,71
1:27,2755,Ivy Smith Jr. made Layup.,67,71
1:11,151,East Carolina  Timeout,67,71
1:06,2755,Foul on Devante Jackson.,67,71
1:06,151,Isaac Fleming missed Free Throw.,67,71
1:06,151,East Carolina Deadball Team Rebound.,67,71
1:06,151,Isaac Fleming made Free Throw.,67,72
0:53,2755,Ivy Smith Jr. missed Layup.,67,72
0:53,151,K.J. Davis Block.,67,72
0:51,151,Dimitri Spasojevic Defensive Rebound.,67,72
0:50,2755,Foul on Shirmane Thomas.,67,72
0:50,151,K.J. Davis missed Free Throw.,67,72
0:50,151,East Carolina Deadball Team Rebound.,67,72
0:50,151,K.J. Davis missed Free Throw.,67,72
0:50,2755,Drake Wilks Defensive Rebound.,67,72
0:43,2755,Ivy Smith Jr. Turnover.,67,72
0:42,151,Isaac Fleming Steal.,67,72
0:35,2755,Foul on Anthony Gaston.,67,72
0:35,151,Isaac Fleming missed Free Throw.,67,72
0:35,151,East Carolina Deadball Team Rebound.,67,72
0:35,151,Isaac Fleming made Free Throw.,67,73
0:30,2755,Ivy Smith Jr. missed Layup.,67,73
0:30,2755,Axel Mpoyo Offensive Rebound.,67,73
0:26,2755,Axel Mpoyo missed Layup.,67,73
0:26,2755,Drake Wilks Offensive Rebound.,67,73
0:25,2755,Drake Wilks missed Layup.,67,73
0:25,151,K.J. Davis Defensive Rebound.,67,73
0:25,2755,Foul on Drake Wilks.,67,73
0:25,151,K.J. Davis missed Free Throw.,67,73
0:25,151,East Carolina Deadball Team Rebound.,67,73
0:25,151,K.J. Davis made Free Throw.,67,74
0:18,151,Foul on Dimitri Spasojevic.,67,74
0:18,2755,Axel Mpoyo made Free Throw.,68,74
0:17,2755,Axel Mpoyo Turnover.,68,74
0:14,151,Isaac Fleming Turnover.,68,74
0:14,2755,Anthony Gaston Steal.,68,74
0:14,2755,Anthony Gaston missed Three Point Jumper.,68,74
0:14,151,K.J. Davis Defensive Rebound.,68,74
0:10,2755,Foul on Drake Wilks.,68,74
0:10,151,K.J. Davis made Free Throw.,68,75
0:10,151,K.J. Davis made Free Throw.,68,76
0:05,2755,Axel Mpoyo missed Three Point Jumper.,68,76
0:05,151,Isaac Fleming Defensive Rebound.,68,76
0:00,151,End of Game,68,76
