Northland College,Error,South Dakota,233
3:08,-1,Northland Deadball Team Rebound.,19,40
3:08,-1,Ben Arqueros Jr missed Free Throw.,19,40
3:08,233,Trey Burch-Manning Defensive Rebound.,19,40
2:46,233,Matt Mooney missed Three Point Jumper.,19,40
2:46,-1,Ben Arqueros Jr Defensive Rebound.,19,40
2:14,233,Foul on Trey Burch-Manning.,19,40
2:14,-1,Kyler Hagen missed Free Throw.,19,40
2:14,-1,Northland Deadball Team Rebound.,19,40
2:14,-1,Kyler Hagen missed Free Throw.,19,40
2:14,233,Tyler Peterson Defensive Rebound.,19,40
2:02,233,Tyler Peterson made Jumper.,19,42
1:27,-1,Northland  Turnover.,19,42
1:10,233,Brandon Armstrong made Layup.,19,44
0:47,-1,Matt Zorn Turnover.,19,44
0:34,233,Tyler Peterson made Layup.,19,46
0:04,-1,Danon Briggs missed Layup.,19,46
0:04,233,Nick Fuller Block.,19,46
0:04,-1,Northland Offensive Rebound.,19,46
0:02,-1,Kyle Szilagyi missed Three Point Jumper.,19,46
0:02,233,Brandon Armstrong Defensive Rebound.,19,46
0:00,233,End of 1st half,19,46
19:40,-1,Nathan Nicholls Turnover.,19,46
19:36,-1,Foul on Harrison Lucas.,19,46
19:36,233,Carlton Hurst made Free Throw.,19,47
19:36,233,Carlton Hurst made Free Throw.,19,48
19:09,-1,Brandon Galland missed Three Point Jumper.,19,48
19:09,233,Matt Mooney Defensive Rebound.,19,48
19:01,233,Matt Mooney missed Layup.,19,48
19:01,233,Nick Fuller Offensive Rebound.,19,48
18:57,233,Nick Fuller made Two Point Tip Shot.,19,50
18:42,-1,Brandon Galland Turnover.,19,50
18:23,233,Nick Fuller missed Three Point Jumper.,19,50
18:23,-1,Brandon Galland Defensive Rebound.,19,50
18:15,-1,Benny Larry Jr. missed Three Point Jumper.,19,50
18:15,233,Matt Mooney Defensive Rebound.,19,50
18:04,233,Matt Mooney missed Jumper.,19,50
18:04,-1,Benny Larry Jr. Defensive Rebound.,19,50
17:45,-1,Brandon Galland Turnover.,19,50
17:44,233,Matt Mooney Steal.,19,50
17:41,-1,Foul on Matt Zorn.,19,50
17:41,233,Carlton Hurst made Free Throw.,19,51
17:41,233,Carlton Hurst made Free Throw.,19,52
17:31,233,Foul on Trey Burch-Manning.,19,52
17:31,-1,Benny Larry Jr. made Free Throw.,20,52
17:31,-1,Benny Larry Jr. made Free Throw.,21,52
17:07,233,Nick Fuller missed Three Point Jumper.,21,52
17:07,-1,Brandon Galland Defensive Rebound.,21,52
16:43,-1,Benny Larry Jr. missed Three Point Jumper.,21,52
16:43,233,Triston Simpson Defensive Rebound.,21,52
16:22,233,Nick Fuller made Layup. Assisted by Trey Burch-Manning.,21,54
15:53,-1,Harrison Lucas Turnover.,21,54
15:53,233,Official TV Timeout,21,54
15:40,233,Matt Mooney made Jumper. Assisted by Triston Simpson.,21,56
15:14,-1,Nathan Nicholls missed Three Point Jumper.,21,56
15:14,233,Trey Burch-Manning Defensive Rebound.,21,56
15:06,233,Trey Burch-Manning made Layup.,21,58
15:06,-1,Foul on Nathan Nicholls.,21,58
15:06,233,Trey Burch-Manning missed Free Throw.,21,58
15:06,-1,Matt Zorn Defensive Rebound.,21,58
14:38,233,Foul on Nick Fuller.,21,58
14:38,-1,Benny Larry Jr. missed Free Throw.,21,58
14:38,-1,Northland Deadball Team Rebound.,21,58
14:38,-1,Benny Larry Jr. missed Free Throw.,21,58
14:38,233,Dan Jech Defensive Rebound.,21,58
14:19,233,Tyler Peterson made Layup. Assisted by Brandon Armstrong.,21,60
13:56,-1,Ben Arqueros Jr made Three Point Jumper. Assisted by Nathan Nicholls.,24,60
13:38,-1,Foul on Ben Arqueros Jr.,24,60
13:32,233,Brandon Armstrong made Three Point Jumper.,24,63
13:24,-1,Benny Larry Jr. missed Three Point Jumper.,24,63
13:24,233,Dan Jech Defensive Rebound.,24,63
13:14,233,Dan Jech Turnover.,24,63
12:58,-1,Ben Arqueros Jr missed Layup.,24,63
12:58,-1,Northland Offensive Rebound.,24,63
12:55,-1,Kyle Szilagyi Turnover.,24,63
12:35,233,Logan Power Turnover.,24,63
12:16,-1,Tyler Van Vlack missed Three Point Jumper.,24,63
12:16,233,Joshua Doss Defensive Rebound.,24,63
12:02,-1,Foul on Tyler Van Vlack.,24,63
12:02,233,Dan Jech made Free Throw.,24,64
12:02,233,Dan Jech made Free Throw.,24,65
11:37,-1,Kyler Hagen made Three Point Jumper.,27,65
11:27,233,Dan Jech missed Dunk.,27,65
11:27,-1,Kyle Szilagyi Defensive Rebound.,27,65
11:12,-1,Kyle Szilagyi missed Jumper.,27,65
11:12,233,Joshua Doss Defensive Rebound.,27,65
10:59,233,Logan Power made Three Point Jumper. Assisted by Dan Jech.,27,68
10:38,-1,Danon Briggs Turnover.,27,68
10:37,233,Joshua Doss Steal.,27,68
10:35,-1,Foul on Ben Arqueros Jr.,27,68
10:35,233,Official TV Timeout,27,68
10:25,-1,Foul on Danon Briggs.,27,68
10:25,233,Stanley Umude missed Free Throw.,27,68
10:25,233,South Dakota Deadball Team Rebound.,27,68
10:25,233,Stanley Umude made Free Throw.,27,69
10:00,-1,Kyler Hagen missed Three Point Jumper.,27,69
10:00,233,Joshua Doss Defensive Rebound.,27,69
9:46,233,Jack Stensgard made Three Point Jumper. Assisted by Stanley Umude.,27,72
9:12,-1,Kyler Hagen made Jumper.,29,72
8:58,233,Stanley Umude missed Three Point Jumper.,29,72
8:58,-1,Kyle Szilagyi Defensive Rebound.,29,72
8:49,-1,Ben Arqueros Jr missed Three Point Jumper.,29,72
8:49,233,Austin Sparks Defensive Rebound.,29,72
8:40,233,Logan Power made Three Point Jumper. Assisted by Jack Stensgard.,29,75
8:22,-1,Tyler Van Vlack missed Three Point Jumper.,29,75
8:22,-1,Ben Arqueros Jr Offensive Rebound.,29,75
8:16,-1,Danon Briggs missed Three Point Jumper.,29,75
8:16,233,Joshua Doss Defensive Rebound.,29,75
8:09,233,Stanley Umude Turnover.,29,75
8:09,-1,Danon Briggs Steal.,29,75
7:48,-1,Gus Farrell missed Layup.,29,75
7:48,-1,Tyler Van Vlack Offensive Rebound.,29,75
7:39,-1,Tyler Van Vlack missed Jumper.,29,75
7:39,233,Austin Sparks Block.,29,75
7:39,-1,Gus Farrell Offensive Rebound.,29,75
7:39,233,Foul on Stanley Umude.,29,75
7:39,233,Official TV Timeout,29,75
7:39,-1,Gus Farrell missed Free Throw.,29,75
7:39,-1,Northland Deadball Team Rebound.,29,75
7:39,-1,Gus Farrell made Free Throw.,30,75
7:27,233,Austin Sparks Turnover.,30,75
7:25,-1,Ben Arqueros Jr Steal.,30,75
7:08,-1,Tyler Van Vlack missed Three Point Jumper.,30,75
7:08,233,Stanley Umude Block.,30,75
7:05,-1,Kyler Hagen Offensive Rebound.,30,75
7:02,-1,Tyler Van Vlack made Three Point Jumper. Assisted by Kyler Hagen.,33,75
6:50,233,Logan Power Turnover.,33,75
6:33,-1,Gus Farrell missed Jumper.,33,75
6:33,233,Stanley Umude Defensive Rebound.,33,75
6:25,233,Stanley Umude missed Jumper.,33,75
6:25,-1,Matt Zorn Defensive Rebound.,33,75
5:53,-1,Gus Farrell missed Layup.,33,75
5:53,233,Austin Sparks Defensive Rebound.,33,75
5:46,-1,Foul on Ben Arqueros Jr.,33,75
5:46,233,Joshua Doss made Free Throw.,33,76
5:46,233,Joshua Doss made Free Throw.,33,77
5:21,-1,Harrison Lucas missed Jumper.,33,77
5:21,-1,Matt Zorn Offensive Rebound.,33,77
5:03,-1,Harrison Lucas made Jumper.,35,77
4:50,-1,Foul on Matt Zorn.,35,77
4:50,233,Austin Sparks made Free Throw.,35,78
4:50,233,Austin Sparks made Free Throw.,35,79
4:32,-1,Nathan Nicholls made Jumper.,37,79
4:16,233,Josh Williams made Three Point Jumper. Assisted by Jack Stensgard.,37,82
3:58,-1,Brandon Galland missed Three Point Jumper.,37,82
3:58,233,Austin Sparks Defensive Rebound.,37,82
3:41,233,Josh Williams made Layup.,37,84
3:21,233,Foul on Austin Sparks.,37,84
3:21,233,Official TV Timeout,37,84
3:21,-1,Nathan Nicholls made Free Throw.,38,84
3:21,-1,Nathan Nicholls made Free Throw.,39,84
2:59,233,Austin Sparks made Layup.,39,86
2:37,-1,Nathan Nicholls missed Three Point Jumper.,39,86
2:37,233,Logan Power Defensive Rebound.,39,86
2:22,233,Josh Williams missed Three Point Jumper.,39,86
2:22,233,Logan Power Offensive Rebound.,39,86
2:15,233,Stanley Umude Turnover.,39,86
2:14,-1,Brandon Galland Steal.,39,86
2:09,-1,Harrison Lucas missed Layup.,39,86
2:09,233,Stanley Umude Block.,39,86
2:07,233,South Dakota Defensive Rebound.,39,86
1:41,233,Stanley Umude Turnover.,39,86
1:40,-1,Brandon Galland Steal.,39,86
1:37,-1,Benny Larry Jr. missed Layup.,39,86
1:37,233,Logan Power Defensive Rebound.,39,86
1:34,-1,Foul on Brandon Galland.,39,86
1:34,233,Logan Power missed Free Throw.,39,86
1:34,233,South Dakota Deadball Team Rebound.,39,86
1:34,233,Logan Power made Free Throw.,39,87
1:17,-1,Brandon Galland made Three Point Jumper.,42,87
1:03,-1,Foul on Brandon Galland.,42,87
1:03,233,Stanley Umude made Free Throw.,42,88
1:03,233,Stanley Umude missed Free Throw.,42,88
1:03,-1,Harrison Lucas Defensive Rebound.,42,88
0:57,-1,Brandon Galland missed Three Point Jumper.,42,88
0:57,-1,Harrison Lucas Offensive Rebound.,42,88
0:48,-1,Benny Larry Jr. missed Three Point Jumper.,42,88
0:48,233,Logan Power Defensive Rebound.,42,88
0:31,233,Austin Sparks missed Layup.,42,88
0:31,-1,Nathan Nicholls Defensive Rebound.,42,88
