Oral Roberts,135,Minnesota,198
17:16,135,Jordan Murphy missed Layup.,40,41
17:15,135,Jordan Murphy Offensive Rebound.,40,41
17:15,135,Jordan Murphy missed Jumper.,40,41
17:14,135,Jordan Murphy Offensive Rebound.,40,41
17:11,135,Jordan Murphy made Layup.,40,43
16:57,198,Chris Miller Turnover.,40,43
16:57,135,Bakary Konate Steal.,40,43
16:49,135,Isaiah Washington missed Jumper.,40,43
16:45,198,Oral Roberts Defensive Rebound.,40,43
16:22,198,Emmanuel Nzekwesi Turnover.,40,43
16:22,135,Jordan Murphy Steal.,40,43
16:17,135,Amir Coffey missed Layup.,40,43
16:13,198,Chris Miller Defensive Rebound.,40,43
16:09,198,Emmanuel Nzekwesi missed Layup.,40,43
16:09,135,Jordan Murphy Block.,40,43
16:05,198,Javan White Offensive Rebound.,40,43
16:04,198,Javan White missed Layup.,40,43
16:01,135,Jordan Murphy Defensive Rebound.,40,43
16:01,135,Amir Coffey made Layup. Assisted by Isaiah Washington.,40,45
16:01,198,Foul on Sam Kearns.,40,45
16:01,135,Amir Coffey made Free Throw.,40,46
15:46,198,Albert Owens Turnover.,40,46
15:46,135,Amir Coffey Steal.,40,46
15:43,135,Amir Coffey made Dunk.,40,48
15:14,198,R.J. Fuqua Turnover.,40,48
15:14,135,Official TV Timeout,40,48
15:10,135,Jordan Murphy made Jumper. Assisted by Amir Coffey.,40,50
14:41,135,Foul on Bakary Konate.,40,50
14:41,198,Oral Roberts Deadball Team Rebound.,40,50
14:41,198,Albert Owens missed Free Throw.,40,50
14:41,198,Albert Owens missed Free Throw.,40,50
14:41,198,Emmanuel Nzekwesi Offensive Rebound.,40,50
14:31,198,Albert Owens Turnover.,40,50
14:20,135,Jordan Murphy made Jumper. Assisted by Amir Coffey.,40,52
14:02,198,Albert Owens missed Jumper.,40,52
13:57,135,Jordan Murphy Defensive Rebound.,40,52
13:55,135,Isaiah Washington missed Three Point Jumper.,40,52
13:52,198,Emmanuel Nzekwesi Defensive Rebound.,40,52
13:52,135,Foul on Bakary Konate.,40,52
13:30,198,Albert Owens missed Jumper.,40,52
13:26,135,Amir Coffey Defensive Rebound.,40,52
13:11,135,Jordan Murphy Turnover.,40,52
13:11,198,Albert Owens Steal.,40,52
12:51,198,Albert Owens missed Layup.,40,52
12:51,135,Reggie Lynch Block.,40,52
12:46,135,Nate Mason Defensive Rebound.,40,52
12:43,135,Nate Mason missed Jumper.,40,52
12:38,198,Emmanuel Nzekwesi Defensive Rebound.,40,52
12:38,135,Foul on Reggie Lynch.,40,52
12:38,198,Jontray Harris made Free Throw.,41,52
12:38,198,Jontray Harris made Free Throw.,42,52
12:21,198,Foul on Chris Miller.,42,52
12:21,135,Michael Hurt made Free Throw.,42,53
12:21,135,Michael Hurt made Free Throw.,42,54
12:06,198,Chris Miller made Jumper. Assisted by Sam Kearns.,44,54
11:54,135,Isaiah Washington made Jumper.,44,56
11:52,135,Minnesota  Timeout,44,56
11:33,198,Emmanuel Nzekwesi missed Jumper.,44,56
11:31,135,Nate Mason Defensive Rebound.,44,56
11:20,135,Nate Mason made Three Point Jumper. Assisted by Isaiah Washington.,44,59
11:04,135,Foul on Michael Hurt.,44,59
11:04,135,Official TV Timeout,44,59
10:48,198,Javan White Turnover.,44,59
10:48,135,Michael Hurt Steal.,44,59
10:38,135,Bakary Konate Turnover.,44,59
10:21,198,Chris Miller missed Layup.,44,59
10:18,198,Oral Roberts Offensive Rebound.,44,59
10:11,198,Sam Kearns Turnover.,44,59
9:47,135,Bakary Konate missed Dunk.,44,59
9:43,135,Bakary Konate Offensive Rebound.,44,59
9:43,135,Bakary Konate missed Layup.,44,59
9:43,198,Chris Miller Block.,44,59
9:43,135,Bakary Konate Offensive Rebound.,44,59
9:43,135,Bakary Konate Turnover.,44,59
9:15,198,Sam Kearns missed Jumper.,44,59
9:15,135,Amir Coffey Block.,44,59
9:09,135,Jordan Murphy Defensive Rebound.,44,59
9:09,135,Michael Hurt made Dunk. Assisted by Isaiah Washington.,44,61
9:00,198,Chris Miller missed Layup.,44,61
9:00,135,Bakary Konate Block.,44,61
9:00,135,Bakary Konate Defensive Rebound.,44,61
8:48,135,Reggie Lynch missed Jumper.,44,61
8:42,198,Javan White Defensive Rebound.,44,61
8:27,135,Foul on Isaiah Washington.,44,61
8:27,198,Emmanuel Nzekwesi missed Free Throw.,44,61
8:27,135,Reggie Lynch Defensive Rebound.,44,61
8:13,135,Nate Mason made Three Point Jumper. Assisted by Amir Coffey.,44,64
7:59,198,R.J. Fuqua made Layup.,46,64
7:32,135,Nate Mason missed Jumper.,46,64
7:29,198,Emmanuel Nzekwesi Defensive Rebound.,46,64
7:25,198,Sam Kearns made Three Point Jumper. Assisted by R.J. Fuqua.,49,64
7:00,135,Amir Coffey missed Jumper.,49,64
6:58,135,Minnesota Offensive Rebound.,49,64
6:58,135,Official TV Timeout,49,64
6:52,135,Michael Hurt made Three Point Jumper. Assisted by Amir Coffey.,49,67
6:20,198,Emmanuel Nzekwesi missed Three Point Jumper.,49,67
6:16,198,Javan White Offensive Rebound.,49,67
6:15,198,Javan White missed Layup.,49,67
6:12,135,Davonte Fitzgerald Defensive Rebound.,49,67
6:07,198,Foul on Chris Miller.,49,67
6:07,135,Amir Coffey made Free Throw.,49,68
6:07,135,Amir Coffey missed Free Throw.,49,68
6:07,135,Minnesota Offensive Rebound.,49,68
6:00,135,Nate Mason made Three Point Jumper. Assisted by Amir Coffey.,49,71
5:45,198,Javan White made Dunk. Assisted by Sam Kearns.,51,71
5:29,135,Jordan Murphy missed Jumper.,51,71
5:26,198,Emmanuel Nzekwesi Defensive Rebound.,51,71
5:13,198,Javan White made Dunk. Assisted by Sam Kearns.,53,71
4:50,135,Davonte Fitzgerald made Jumper. Assisted by Amir Coffey.,53,73
4:50,198,Foul on Javan White.,53,73
4:50,135,Davonte Fitzgerald missed Free Throw.,53,73
4:50,198,Javan White Defensive Rebound.,53,73
4:39,198,Sam Kearns missed Three Point Jumper.,53,73
4:36,135,Jordan Murphy Defensive Rebound.,53,73
4:27,135,Davonte Fitzgerald missed Three Point Jumper.,53,73
4:21,135,Minnesota Offensive Rebound.,53,73
4:07,135,Jamir Harris missed Three Point Jumper.,53,73
4:04,198,Sam Kearns Defensive Rebound.,53,73
3:50,198,Emmanuel Nzekwesi made Layup. Assisted by Sam Kearns.,55,73
3:50,135,Foul on Bakary Konate.,55,73
3:50,198,Emmanuel Nzekwesi missed Free Throw.,55,73
3:50,198,Javan White Offensive Rebound.,55,73
3:44,198,R.J. Fuqua missed Jumper.,55,73
3:39,198,Emmanuel Nzekwesi Offensive Rebound.,55,73
3:38,198,R.J. Fuqua made Free Throw.,56,73
3:38,198,R.J. Fuqua made Free Throw.,57,73
3:38,135,Foul on Jamir Harris.,55,73
3:38,198,R.J. Fuqua made Free Throw.,56,73
3:38,198,R.J. Fuqua made Free Throw.,57,73
3:17,135,Michael Hurt missed Layup.,57,73
3:17,198,Albert Owens Block.,57,73
3:12,198,Emmanuel Nzekwesi Defensive Rebound.,57,73
3:05,198,Sam Kearns missed Jumper.,57,73
3:01,135,Michael Hurt Defensive Rebound.,57,73
2:58,135,Isaiah Washington made Free Throw.,57,74
2:58,135,Isaiah Washington made Free Throw.,57,75
2:58,198,Foul on Sam Kearns.,57,73
2:58,135,Isaiah Washington made Free Throw.,57,74
2:58,135,Isaiah Washington made Free Throw.,57,75
2:36,198,Sam Kearns missed Three Point Jumper.,57,75
2:36,135,Davonte Fitzgerald Defensive Rebound.,57,75
2:36,135,Jamir Harris Turnover.,57,75
2:36,198,R.J. Fuqua Steal.,57,75
2:27,198,Emmanuel Nzekwesi missed Jumper.,57,75
2:23,198,Albert Owens Offensive Rebound.,57,75
2:23,198,Albert Owens made Layup.,59,75
2:11,135,Reggie Lynch missed Layup.,59,75
2:07,198,Javan White Defensive Rebound.,59,75
1:59,198,R.J. Fuqua made Free Throw.,60,75
1:59,198,R.J. Fuqua made Free Throw.,61,75
1:59,135,Foul on Jamir Harris.,59,75
1:59,198,R.J. Fuqua made Free Throw.,60,75
1:59,198,R.J. Fuqua made Free Throw.,61,75
1:44,135,Davonte Fitzgerald missed Jumper.,61,75
1:40,198,Oral Roberts Defensive Rebound.,61,75
1:27,198,Albert Owens made Jumper. Assisted by Javan White.,63,75
1:17,135,Minnesota  Timeout,63,75
1:00,135,Michael Hurt missed Jumper.,63,75
1:00,198,Emmanuel Nzekwesi Block.,63,75
0:54,198,Javan White Defensive Rebound.,63,75
0:50,198,Javan White missed Three Point Jumper.,63,75
0:47,135,Davonte Fitzgerald Defensive Rebound.,63,75
0:41,135,Michael Hurt made Layup. Assisted by Isaiah Washington.,63,77
0:19,198,R.J. Fuqua missed Three Point Jumper.,63,77
0:16,135,Michael Hurt Defensive Rebound.,63,77
0:00,135,End of Game,63,77
