Buffalo,245,Texas A&amp;M,2084
6:22,2084,Jeremy Harris missed Three Point Jumper.,20,26
6:22,245,Jay Jay Chandler Defensive Rebound.,20,26
6:04,245,Foul on Duane Wilson.,20,26
6:04,245,Duane Wilson Turnover.,20,26
5:42,245,Foul on Jay Jay Chandler.,20,26
5:42,2084,Ikenna Smart missed Free Throw.,20,26
5:42,2084,Buffalo Deadball Team Rebound.,20,26
5:42,2084,Ikenna Smart missed Free Throw.,20,26
5:42,245,Robert Williams Defensive Rebound.,20,26
5:27,245,Tyler Davis missed Jumper.,20,26
5:27,2084,CJ Massinburg Defensive Rebound.,20,26
5:19,2084,Wes Clark missed Three Point Jumper.,20,26
5:19,2084,Buffalo Offensive Rebound.,20,26
5:04,2084,CJ Massinburg made Three Point Jumper. Assisted by Wes Clark.,23,26
4:33,245,Tyler Davis made Jumper.,23,28
4:12,2084,Wes Clark missed Jumper.,23,28
4:12,245,Tonny Trocha-Morelos Defensive Rebound.,23,28
3:48,245,Robert Williams missed Layup.,23,28
3:48,245,Savion Flagg Offensive Rebound.,23,28
3:48,245,Tonny Trocha-Morelos made Two Point Tip Shot.,23,30
3:31,2084,CJ Massinburg missed Three Point Jumper.,23,30
3:31,2084,Montell McRae Offensive Rebound.,23,30
3:27,2084,Montell McRae missed Layup.,23,30
3:27,245,Tonny Trocha-Morelos Block.,23,30
3:27,245,Robert Williams Defensive Rebound.,23,30
3:25,245,Tyler Davis Turnover.,23,30
3:24,245,Official TV Timeout,23,30
3:09,2084,Montell McRae made Three Point Jumper. Assisted by Jeremy Harris.,26,30
2:46,245,Savion Flagg missed Jumper.,26,30
2:46,2084,Jeremy Harris Defensive Rebound.,26,30
2:35,2084,Montell McRae made Three Point Jumper. Assisted by Wes Clark.,29,30
2:24,245,Texas A&M  Timeout,29,30
2:18,245,Tyler Davis made Layup. Assisted by Duane Wilson.,29,32
1:50,2084,Nick Perkins Turnover.,29,32
1:33,245,Chris Collins made Layup. Assisted by Tyler Davis.,29,34
1:22,2084,Nick Perkins missed Three Point Jumper.,29,34
1:22,2084,CJ Massinburg Offensive Rebound.,29,34
1:16,2084,CJ Massinburg missed Layup.,29,34
1:16,245,Tonny Trocha-Morelos Block.,29,34
1:16,245,Chris Collins Defensive Rebound.,29,34
1:10,245,Tyler Davis Turnover.,29,34
1:02,2084,Nick Perkins missed Jumper.,29,34
1:02,245,Tyler Davis Defensive Rebound.,29,34
0:46,245,Robert Williams Turnover.,29,34
0:46,2084,Montell McRae Steal.,29,34
0:41,2084,Wes Clark made Jumper.,31,34
0:10,245,Robert Williams missed Jumper.,31,34
0:10,245,Savion Flagg Offensive Rebound.,31,34
0:04,245,Texas A&M  Turnover.,31,34
0:04,2084,Buffalo  Timeout,31,34
0:03,245,Foul on Chris Collins.,31,34
0:02,245,Foul on Chris Collins.,31,34
0:00,245,End of 1st half,31,34
20:00,245,Jump Ball won by Texas A&M,31,34
19:53,245,Tyler Davis missed Layup.,31,34
19:53,2084,Nick Perkins Defensive Rebound.,31,34
19:31,2084,CJ Massinburg missed Layup.,31,34
19:31,2084,Nick Perkins Offensive Rebound.,31,34
19:22,2084,Davonta Jordan missed Layup.,31,34
19:22,245,Tonny Trocha-Morelos Block.,31,34
19:22,245,Tyler Davis Defensive Rebound.,31,34
19:16,2084,Foul on Wes Clark.,31,34
19:16,245,Jay Jay Chandler missed Free Throw.,31,34
19:16,245,Texas A&M Deadball Team Rebound.,31,34
19:16,245,Jay Jay Chandler made Free Throw.,31,35
19:07,2084,Wes Clark missed Jumper.,31,35
19:07,245,Savion Flagg Defensive Rebound.,31,35
18:55,245,Tonny Trocha-Morelos Turnover.,31,35
18:48,2084,Nick Perkins missed Layup.,31,35
18:48,245,Savion Flagg Defensive Rebound.,31,35
18:41,2084,Foul on Nick Perkins.,31,35
18:34,2084,Foul on Davonta Jordan.,31,35
18:20,245,Foul on Jay Jay Chandler.,31,35
18:20,245,Jay Jay Chandler Turnover.,31,35
18:08,2084,Wes Clark made Jumper.,33,35
17:45,245,Tonny Trocha-Morelos made Layup. Assisted by Duane Wilson.,33,37
17:34,2084,Davonta Jordan missed Three Point Jumper.,33,37
17:34,2084,Buffalo Offensive Rebound.,33,37
17:27,2084,Wes Clark missed Three Point Jumper.,33,37
17:27,245,Savion Flagg Defensive Rebound.,33,37
17:16,2084,Foul on CJ Massinburg.,33,37
17:16,245,Duane Wilson made Free Throw.,33,38
17:16,245,Duane Wilson made Free Throw.,33,39
17:06,2084,Nick Perkins made Three Point Jumper.,36,39
16:47,245,Tyler Davis missed Jumper.,36,39
16:47,2084,Buffalo Defensive Rebound.,36,39
16:42,2084,Nick Perkins missed Three Point Jumper.,36,39
16:42,245,Chris Collins Defensive Rebound.,36,39
16:32,245,Duane Wilson made Layup.,36,41
16:32,2084,Foul on Davonta Jordan.,36,41
16:32,245,Duane Wilson made Free Throw.,36,42
16:10,2084,Nick Perkins missed Jumper.,36,42
16:10,245,Duane Wilson Defensive Rebound.,36,42
16:02,245,Duane Wilson missed Layup.,36,42
16:02,2084,Jayvon Graves Defensive Rebound.,36,42
15:54,2084,Jayvon Graves missed Layup.,36,42
15:54,245,Tonny Trocha-Morelos Block.,36,42
15:54,2084,Buffalo Offensive Rebound.,36,42
15:53,245,Official TV Timeout,36,42
15:51,2084,Wes Clark made Jumper.,38,42
15:22,245,Tonny Trocha-Morelos made Three Point Jumper. Assisted by Duane Wilson.,38,45
14:59,2084,CJ Massinburg missed Three Point Jumper.,38,45
14:59,2084,Nick Perkins Offensive Rebound.,38,45
14:54,245,Foul on Tonny Trocha-Morelos.,38,45
14:51,2084,Wes Clark missed Jumper.,38,45
14:51,2084,Jayvon Graves Offensive Rebound.,38,45
14:51,2084,Jayvon Graves missed Layup.,38,45
14:51,245,Tonny Trocha-Morelos Block.,38,45
14:51,2084,Nick Perkins Offensive Rebound.,38,45
14:45,2084,Nick Perkins made Layup.,40,45
14:37,245,Tonny Trocha-Morelos made Layup. Assisted by Duane Wilson.,40,47
14:26,2084,Nick Perkins Turnover.,40,47
14:20,245,Chris Collins missed Three Point Jumper.,40,47
14:20,2084,CJ Massinburg Defensive Rebound.,40,47
14:03,2084,CJ Massinburg made Three Point Jumper. Assisted by Nick Perkins.,43,47
13:47,245,Duane Wilson made Layup.,43,49
13:27,2084,Wes Clark Turnover.,43,49
13:27,245,Duane Wilson Steal.,43,49
13:27,245,Tonny Trocha-Morelos Turnover.,43,49
13:27,2084,Nick Perkins Steal.,43,49
13:26,2084,Foul on Montell McRae.,43,49
13:26,2084,Montell McRae Turnover.,43,49
13:02,2084,Foul on Ikenna Smart.,43,49
13:02,245,Tyler Davis made Free Throw.,43,50
13:02,245,Tyler Davis made Free Throw.,43,51
12:57,2084,Jeremy Harris Turnover.,43,51
12:57,245,Robert Williams Steal.,43,51
12:52,245,Robert Williams made Dunk.,43,53
12:21,2084,Jayvon Graves missed Three Point Jumper.,43,53
12:21,2084,CJ Massinburg Offensive Rebound.,43,53
12:13,2084,Jeremy Harris made Three Point Jumper. Assisted by CJ Massinburg.,46,53
11:53,245,Robert Williams missed Layup.,46,53
11:53,2084,Ikenna Smart Defensive Rebound.,46,53
11:44,245,Foul on Chris Collins.,46,53
11:44,245,Official TV Timeout,46,53
11:44,2084,Jayvon Graves missed Free Throw.,46,53
11:44,2084,Buffalo Deadball Team Rebound.,46,53
11:44,2084,Jayvon Graves missed Free Throw.,46,53
11:44,245,Robert Williams Defensive Rebound.,46,53
11:28,2084,Foul on James Reese.,46,53
11:28,245,Jay Jay Chandler made Free Throw.,46,54
11:28,245,Jay Jay Chandler missed Free Throw.,46,54
11:28,2084,Nick Perkins Defensive Rebound.,46,54
11:18,2084,Jeremy Harris missed Three Point Jumper.,46,54
11:18,245,Jay Jay Chandler Defensive Rebound.,46,54
11:07,245,Jay Jay Chandler missed Jumper.,46,54
11:07,2084,CJ Massinburg Block.,46,54
11:07,245,Tyler Davis Offensive Rebound.,46,54
10:49,245,Duane Wilson missed Layup.,46,54
10:49,2084,Wes Clark Block.,46,54
10:49,2084,Nick Perkins Defensive Rebound.,46,54
10:38,245,Foul on Savion Flagg.,46,54
10:38,2084,Nick Perkins made Free Throw.,47,54
10:38,2084,Nick Perkins missed Free Throw.,47,54
10:38,245,Robert Williams Defensive Rebound.,47,54
10:29,245,Savion Flagg made Dunk. Assisted by Duane Wilson.,47,56
10:18,2084,Nick Perkins made Layup.,49,56
9:48,2084,Foul on Jeremy Harris.,49,56
9:48,245,Savion Flagg missed Free Throw.,49,56
9:48,245,Texas A&M Deadball Team Rebound.,49,56
9:48,245,Savion Flagg missed Free Throw.,49,56
9:48,2084,Buffalo Defensive Rebound.,49,56
9:36,2084,CJ Massinburg missed Three Point Jumper.,49,56
9:36,245,Robert Williams Defensive Rebound.,49,56
9:25,245,Duane Wilson made Layup.,49,58
9:14,2084,Wes Clark missed Layup.,49,58
9:14,2084,Wes Clark Offensive Rebound.,49,58
9:08,2084,Buffalo  Timeout,49,58
9:03,2084,Jeremy Harris made Three Point Jumper. Assisted by Wes Clark.,52,58
8:35,245,Savion Flagg Turnover.,52,58
8:26,2084,Nick Perkins missed Jumper.,52,58
8:26,245,Tyler Davis Defensive Rebound.,52,58
8:14,245,Duane Wilson missed Jumper.,52,58
8:14,2084,Montell McRae Defensive Rebound.,52,58
8:08,2084,CJ Massinburg made Three Point Jumper. Assisted by Wes Clark.,55,58
8:08,245,Foul on Jay Jay Chandler.,55,58
8:08,2084,CJ Massinburg missed Free Throw.,55,58
8:08,245,Tonny Trocha-Morelos Defensive Rebound.,55,58
7:47,245,Robert Williams Turnover.,55,58
7:45,245,Official TV Timeout,55,58
7:35,2084,Wes Clark missed Jumper.,55,58
7:35,245,Texas A&M Defensive Rebound.,55,58
7:11,245,Duane Wilson made Layup.,55,60
7:04,2084,CJ Massinburg made Three Point Jumper. Assisted by Wes Clark.,58,60
6:44,245,Duane Wilson made Layup. Assisted by Tyler Davis.,58,62
6:28,2084,Wes Clark missed Layup.,58,62
6:28,245,Robert Williams Block.,58,62
6:28,245,Chris Collins Defensive Rebound.,58,62
6:15,245,Tonny Trocha-Morelos made Dunk. Assisted by Duane Wilson.,58,64
6:15,2084,Foul on Nick Perkins.,58,64
6:15,245,Tonny Trocha-Morelos made Free Throw.,58,65
5:59,2084,Nick Perkins made Jumper. Assisted by CJ Massinburg.,60,65
5:42,245,Robert Williams missed Jumper.,60,65
5:42,245,Savion Flagg Offensive Rebound.,60,65
5:17,245,Chris Collins Turnover.,60,65
5:02,2084,CJ Massinburg missed Three Point Jumper.,60,65
5:02,245,Chris Collins Defensive Rebound.,60,65
4:55,2084,Foul on Montell McRae.,60,65
4:55,245,Chris Collins made Free Throw.,60,66
4:55,245,Chris Collins missed Free Throw.,60,66
4:55,2084,Jayvon Graves Defensive Rebound.,60,66
4:51,2084,Jayvon Graves missed Layup.,60,66
4:51,245,Tyler Davis Defensive Rebound.,60,66
4:44,245,Robert Williams missed Dunk.,60,66
4:44,245,Chris Collins Offensive Rebound.,60,66
4:35,245,Savion Flagg made Three Point Jumper. Assisted by Tyler Davis.,60,69
4:15,2084,Nick Perkins made Layup. Assisted by Wes Clark.,62,69
3:55,245,Duane Wilson missed Layup.,62,69
3:55,2084,Jeremy Harris Defensive Rebound.,62,69
3:47,2084,CJ Massinburg made Three Point Jumper. Assisted by Wes Clark.,65,69
3:07,2084,Foul on Nick Perkins.,65,69
3:07,245,Official TV Timeout,65,69
3:07,245,Tyler Davis made Free Throw.,65,70
3:07,245,Tyler Davis made Free Throw.,65,71
3:01,2084,Wes Clark Turnover.,65,71
3:01,245,Tyler Davis Steal.,65,71
2:41,245,Duane Wilson made Layup.,65,73
2:25,2084,Jeremy Harris Turnover.,65,73
2:13,2084,Foul on Nick Perkins.,65,73
2:13,245,Tyler Davis made Free Throw.,65,74
2:13,245,Tyler Davis made Free Throw.,65,75
2:07,245,Foul on Tyler Davis.,65,75
2:07,2084,Davonta Jordan missed Free Throw.,65,75
2:07,2084,Buffalo Deadball Team Rebound.,65,75
2:07,2084,Davonta Jordan made Free Throw.,66,75
1:59,245,Texas A&M  Timeout,66,75
1:44,245,Duane Wilson Turnover.,66,75
1:42,2084,Wes Clark missed Three Point Jumper.,66,75
1:42,245,Tonny Trocha-Morelos Defensive Rebound.,66,75
1:32,245,Jay Jay Chandler made Dunk. Assisted by Tonny Trocha-Morelos.,66,77
1:21,245,Foul on Duane Wilson.,66,77
1:21,2084,CJ Massinburg made Free Throw.,67,77
1:21,2084,CJ Massinburg made Free Throw.,68,77
1:20,2084,Foul on Wes Clark.,68,77
1:20,245,Chris Collins made Free Throw.,68,78
1:20,245,Chris Collins made Free Throw.,68,79
1:15,2084,Wes Clark missed Jumper.,68,79
1:15,245,Savion Flagg Defensive Rebound.,68,79
1:09,2084,Foul on CJ Massinburg.,68,79
1:09,245,Duane Wilson made Free Throw.,68,80
1:09,2084,Buffalo  Timeout,68,80
1:09,245,Duane Wilson made Free Throw.,68,81
1:03,2084,Davonta Jordan Turnover.,68,81
1:03,245,Savion Flagg Steal.,68,81
0:58,2084,Foul on Davonta Jordan.,68,81
0:58,245,Savion Flagg made Free Throw.,68,82
0:58,245,Savion Flagg made Free Throw.,68,83
0:53,2084,Wes Clark made Three Point Jumper. Assisted by CJ Massinburg.,71,83
0:49,2084,Foul on CJ Massinburg.,71,83
0:49,245,Duane Wilson made Free Throw.,71,84
0:49,245,Duane Wilson made Free Throw.,71,85
0:47,2084,Wes Clark missed Three Point Jumper.,71,85
0:47,2084,CJ Massinburg Offensive Rebound.,71,85
0:39,2084,CJ Massinburg missed Layup.,71,85
0:39,245,Tonny Trocha-Morelos Block.,71,85
0:39,245,Duane Wilson Defensive Rebound.,71,85
0:30,245,Jay Jay Chandler made Dunk. Assisted by Duane Wilson.,71,87
0:30,2084,Jeremy Harris missed Three Point Jumper.,71,87
0:30,2084,CJ Massinburg Offensive Rebound.,71,87
0:26,2084,Nick Perkins made Layup.,73,87
0:26,245,Savion Flagg made Free Throw.,73,89
0:26,2084,Foul on Jeremy Harris.,73,87
0:26,245,Savion Flagg made Free Throw.,73,88
0:14,2084,Wes Clark missed Three Point Jumper.,73,89
0:14,245,Tyler Davis Defensive Rebound.,73,89
0:00,245,End of Game,73,89
