Johnson &amp; Wales (NC),Error,Charleston Southern,2127
9:30,-1,Alcyone Moore Defensive Rebound.,10,24
8:59,-1,Johnson & Wales (NC)  Turnover.,10,24
8:51,2127,Christian Keeling missed Three Point Jumper.,10,24
8:51,-1,Malik Bullock Defensive Rebound.,10,24
8:47,2127,Foul on Travis McConico.,10,24
8:24,-1,Robert Hobson missed Three Point Jumper.,10,24
8:24,2127,Jamaal David Defensive Rebound.,10,24
8:16,2127,Jordan Jones Turnover.,10,24
7:53,-1,Christian Creswell Turnover.,10,24
7:53,2127,Official TV Timeout,10,24
7:30,2127,Christian Keeling missed Jumper.,10,24
7:30,-1,Majerle Poole Defensive Rebound.,10,24
7:23,-1,Majerle Poole missed Jumper.,10,24
7:23,2127,Jamaal David Block.,10,24
7:22,2127,Christian Keeling Defensive Rebound.,10,24
7:14,2127,Jamaal David made Dunk.,10,26
7:09,-1,Malik Bullock Turnover.,10,26
7:08,2127,Ty Jones Steal.,10,26
7:07,2127,Ty Jones made Dunk.,10,28
6:36,-1,Malik Bullock missed Three Point Jumper.,10,28
6:36,2127,Christian Keeling Defensive Rebound.,10,28
6:18,2127,Ty Jones made Jumper.,10,30
6:00,2127,Foul on Jamaal David.,10,30
6:00,-1,Caleb Coleman made Free Throw.,11,30
6:00,-1,Caleb Coleman made Free Throw.,12,30
5:43,2127,Travis McConico made Three Point Jumper. Assisted by Deontaye Buskey.,12,33
5:34,-1,Robert Hobson Turnover.,12,33
5:27,2127,Deontaye Buskey made Jumper.,12,35
5:00,2127,Foul on Cortez Mitchell.,12,35
5:00,-1,Kajuan Madden-McAfee made Free Throw.,13,35
5:00,-1,Kajuan Madden-McAfee made Free Throw.,14,35
4:49,2127,Christian Keeling made Layup.,14,37
4:37,2127,Jordan Jones made Layup. Assisted by Jamaal David.,14,39
4:30,-1,Tyler Rainford Turnover.,14,39
4:19,2127,Travis McConico missed Three Point Jumper.,14,39
4:19,-1,Johnson & Wales (NC) Defensive Rebound.,14,39
4:07,2127,Foul on Christian Keeling.,14,39
4:00,-1,Robert Hobson made Three Point Jumper. Assisted by Alcyone Moore.,17,39
3:33,2127,Travis McConico made Three Point Jumper. Assisted by Cortez Mitchell.,17,42
3:14,-1,Robert Hobson missed Three Point Jumper.,17,42
3:14,2127,Cortez Mitchell Defensive Rebound.,17,42
3:05,2127,Cortez Mitchell made Jumper.,17,44
2:54,-1,Alcyone Moore made Three Point Jumper. Assisted by Tyler Rainford.,20,44
2:27,2127,Jamaal David made Layup.,20,46
2:14,-1,Christian Creswell made Three Point Jumper. Assisted by Tyler Rainford.,23,46
1:47,2127,Jordan Jones made Layup. Assisted by Cortez Mitchell.,23,48
1:39,-1,Christian Creswell missed Three Point Jumper.,23,48
1:39,2127,Travis McConico Defensive Rebound.,23,48
1:12,2127,Cortez Mitchell made Layup.,23,50
1:10,2127,Charleston Southern  Timeout,23,50
1:10,2127,Official TV Timeout,23,50
1:10,2127,Foul on Ty Jones.,23,50
1:10,-1,Kajuan Madden-McAfee made Free Throw.,24,50
1:10,-1,Kajuan Madden-McAfee made Free Throw.,25,50
0:56,2127,Ty Jones made Jumper.,25,52
0:56,-1,Foul on Caleb Coleman.,25,52
0:56,2127,Ty Jones made Free Throw.,25,53
0:47,-1,Kajuan Madden-McAfee missed Jumper.,25,53
0:47,2127,Jamar Martin Block.,25,53
0:46,2127,Javis Howard Defensive Rebound.,25,53
0:38,-1,Foul on James Veal.,25,53
0:38,2127,Ty Jones made Free Throw.,25,54
0:38,2127,Ty Jones made Free Throw.,25,55
0:15,-1,James Veal missed Jumper.,25,55
0:15,2127,Ty Jones Defensive Rebound.,25,55
0:01,2127,Christian Keeling made Jumper.,25,57
0:00,2127,End of 1st half,25,57
19:57,-1,Kajuan Madden-McAfee missed Jumper.,25,57
19:57,2127,Christian Keeling Defensive Rebound.,25,57
19:44,2127,Ty Jones missed Layup.,25,57
19:44,2127,Jamar Martin Offensive Rebound.,25,57
19:32,2127,Jamaal David Turnover.,25,57
19:04,-1,Alcyone Moore made Three Point Jumper. Assisted by Kajuan Madden-McAfee.,28,57
18:47,2127,Foul on Jamaal David.,28,57
18:47,2127,Jamaal David Turnover.,28,57
18:17,-1,Christian Creswell missed Jumper.,28,57
18:17,2127,Jordan Jones Defensive Rebound.,28,57
18:08,2127,Christian Keeling made Layup.,28,59
17:59,-1,Alcyone Moore missed Layup.,28,59
17:59,-1,Alcyone Moore Offensive Rebound.,28,59
17:55,-1,Alcyone Moore missed Layup.,28,59
17:55,2127,Jordan Jones Block.,28,59
17:55,-1,Johnson & Wales (NC) Offensive Rebound.,28,59
17:45,-1,Robert Hobson missed Three Point Jumper.,28,59
17:45,2127,Christian Keeling Defensive Rebound.,28,59
17:22,2127,Christian Keeling made Layup.,28,61
17:12,-1,Kajuan Madden-McAfee Turnover.,28,61
16:55,2127,Jamaal David Turnover.,28,61
16:35,-1,Alcyone Moore made Three Point Jumper. Assisted by Malik Bullock.,31,61
16:29,2127,Charleston Southern  Timeout,31,61
16:29,2127,Official TV Timeout,31,61
16:13,2127,Jamaal David Turnover.,31,61
15:58,-1,Kajuan Madden-McAfee made Jumper.,33,61
15:43,2127,Christian Keeling made Layup.,33,63
15:34,2127,Official TV Timeout,33,63
15:01,2127,Javis Howard made Dunk. Assisted by Jamar Martin.,33,65
14:42,-1,Alcyone Moore missed Jumper.,33,65
14:42,2127,Javis Howard Defensive Rebound.,33,65
14:29,2127,Jamar Martin made Jumper. Assisted by Travis McConico.,33,67
14:19,-1,James Veal missed Jumper.,33,67
14:19,-1,Malik Bullock Offensive Rebound.,33,67
14:14,-1,Malik Bullock made Layup.,35,67
13:51,2127,Travis McConico missed Three Point Jumper.,35,67
13:51,2127,Deontaye Buskey Offensive Rebound.,35,67
13:36,-1,Foul on Kajuan Madden-McAfee.,35,67
13:30,2127,Travis McConico made Three Point Jumper. Assisted by Deontaye Buskey.,35,70
12:55,-1,Kajuan Madden-McAfee missed Jumper.,35,70
12:55,-1,Malik Bullock Offensive Rebound.,35,70
12:52,-1,Malik Bullock missed Layup.,35,70
12:52,2127,Travis McConico Defensive Rebound.,35,70
12:26,2127,Christian Keeling missed Three Point Jumper.,35,70
12:26,-1,Kajuan Madden-McAfee Defensive Rebound.,35,70
12:04,-1,Robert Hobson missed Jumper.,35,70
12:04,2127,Cortez Mitchell Defensive Rebound.,35,70
11:56,-1,Foul on James Veal.,35,70
11:56,2127,Official TV Timeout,35,70
11:56,2127,Christian Keeling made Free Throw.,35,71
11:56,2127,Christian Keeling made Free Throw.,35,72
11:48,-1,Kajuan Madden-McAfee made Three Point Jumper.,38,72
11:24,2127,Jamaal David made Three Point Jumper. Assisted by Travis McConico.,38,75
10:53,-1,Alcyone Moore made Three Point Jumper. Assisted by Malik Bullock.,41,75
10:28,2127,Jamaal David Turnover.,41,75
10:27,-1,James Veal Steal.,41,75
10:24,-1,Kajuan Madden-McAfee made Three Point Jumper. Assisted by Robert Hobson.,44,75
9:55,2127,Travis McConico missed Three Point Jumper.,44,75
9:55,-1,James Veal Defensive Rebound.,44,75
9:37,-1,Kajuan Madden-McAfee missed Jumper.,44,75
9:37,2127,Christian Keeling Defensive Rebound.,44,75
9:21,2127,Jamaal David made Three Point Jumper. Assisted by Christian Keeling.,44,78
9:09,-1,Alcyone Moore missed Three Point Jumper.,44,78
9:09,2127,Cortez Mitchell Defensive Rebound.,44,78
8:59,2127,Christian Keeling missed Three Point Jumper.,44,78
8:59,2127,Javis Howard Offensive Rebound.,44,78
8:55,-1,Foul on Kajuan Madden-McAfee.,44,78
8:55,-1,Johnson & Wales (NC)  Timeout,44,78
8:46,2127,Jordan Jones made Layup. Assisted by Jamaal David.,44,80
8:26,-1,Malik Bullock made Layup. Assisted by Kajuan Madden-McAfee.,46,80
8:09,2127,Christian Keeling made Three Point Jumper. Assisted by Jamaal David.,46,83
8:02,2127,Foul on Christian Keeling.,46,83
7:55,-1,Kajuan Madden-McAfee Turnover.,46,83
7:55,2127,Official TV Timeout,46,83
7:40,2127,Christian Keeling made Three Point Jumper. Assisted by Jamal Thomas.,46,86
7:23,2127,Foul on Abdul Sarki.,46,86
7:17,-1,Robert Hobson missed Three Point Jumper.,46,86
7:17,2127,Jamal Thomas Defensive Rebound.,46,86
7:08,2127,Ty Jones Turnover.,46,86
6:38,-1,Alcyone Moore made Three Point Jumper. Assisted by Robert Hobson.,49,86
6:26,2127,Cortez Mitchell made Layup. Assisted by Jamal Thomas.,49,88
6:26,-1,Foul on Chris Greer.,49,88
6:26,2127,Ty Jones missed Free Throw.,49,88
6:26,2127,Abdul Sarki Offensive Rebound.,49,88
6:26,2127,Abdul Sarki missed Layup.,49,88
6:26,-1,Alcyone Moore Block.,49,88
6:26,2127,Abdul Sarki Offensive Rebound.,49,88
6:26,2127,Jamaal David missed Three Point Jumper.,49,88
6:26,2127,Abdul Sarki Offensive Rebound.,49,88
5:57,2127,Ty Jones Turnover.,49,88
5:55,-1,Kajuan Madden-McAfee Steal.,49,88
5:53,-1,Kajuan Madden-McAfee missed Jumper.,49,88
5:53,2127,Cortez Mitchell Defensive Rebound.,49,88
5:37,2127,Cortez Mitchell missed Layup.,49,88
5:37,2127,Abdul Sarki Offensive Rebound.,49,88
5:20,2127,Ty Jones missed Layup.,49,88
5:20,2127,Abdul Sarki Offensive Rebound.,49,88
5:18,2127,Abdul Sarki made Two Point Tip Shot.,49,90
5:09,-1,Robert Hobson missed Jumper.,49,90
5:09,2127,Charleston Southern Defensive Rebound.,49,90
4:51,2127,Abdul Sarki missed Jumper.,49,90
4:51,-1,James Veal Defensive Rebound.,49,90
4:20,-1,Kajuan Madden-McAfee missed Three Point Jumper.,49,90
4:20,2127,Jamaal David Defensive Rebound.,49,90
4:09,-1,Foul on Caleb Coleman.,49,90
4:09,2127,Abdul Sarki made Free Throw.,49,91
4:09,2127,Abdul Sarki made Free Throw.,49,92
3:59,-1,Kevin Cummings missed Jumper.,49,92
3:59,2127,Ty Jones Defensive Rebound.,49,92
3:54,2127,Ty Jones Turnover.,49,92
3:54,-1,Chris Greer Steal.,49,92
3:54,-1,Johnson & Wales (NC)  Timeout,49,92
3:54,2127,Official TV Timeout,49,92
3:42,-1,Alcyone Moore missed Three Point Jumper.,49,92
3:42,2127,Jamal Thomas Defensive Rebound.,49,92
3:34,2127,Jamal Thomas Turnover.,49,92
3:34,-1,Tyler Rainford Steal.,49,92
3:31,-1,Alcyone Moore made Dunk. Assisted by Tyler Rainford.,51,92
3:15,2127,Jamal Thomas made Three Point Jumper. Assisted by Sean Price.,51,95
2:51,-1,Tyler Rainford made Jumper.,53,95
2:31,2127,Jamal Thomas made Three Point Jumper.,53,98
2:16,2127,Foul on Jamal Thomas.,53,98
2:09,-1,Chris Greer missed Three Point Jumper.,53,98
2:09,2127,Jamal Thomas Defensive Rebound.,53,98
1:57,-1,Foul on Tyler Rainford.,53,98
1:57,2127,Ty Jones made Free Throw.,53,99
1:57,2127,Ty Jones made Free Throw.,53,100
1:46,-1,Malik Bullock made Jumper.,55,100
1:46,2127,Foul on Sean Price.,55,100
1:46,-1,Malik Bullock made Free Throw.,56,100
1:37,2127,JC Cavin made Layup.,56,102
1:23,-1,Chris Greer missed Jumper.,56,102
1:23,-1,Colby Cashaw Offensive Rebound.,56,102
1:19,-1,Colby Cashaw missed Jumper.,56,102
1:19,-1,Caleb Coleman Offensive Rebound.,56,102
1:10,-1,Tyler Rainford made Jumper.,58,102
0:52,2127,Foul on Abdul Sarki.,58,102
0:52,2127,Abdul Sarki Turnover.,58,102
0:42,-1,Caleb Coleman missed Layup.,58,102
0:42,2127,Nathan Payne Defensive Rebound.,58,102
0:25,2127,Foul on Jamar Martin.,58,102
0:25,2127,Jamar Martin Turnover.,58,102
0:17,-1,Tyler Rainford missed Jumper.,58,102
0:17,2127,Jamal Thomas Defensive Rebound.,58,102
0:00,2127,End of Game,58,102
