Southeastern,Error,UNC Greensboro,2430
14:31,2430,Malik Massey made Jumper.,12,6
14:16,-1,Ryan Atkins missed Three Point Jumper.,12,6
14:16,-1,Isaac Barsh Offensive Rebound.,12,6
14:09,2430,Foul on Kyrin Galloway.,12,6
14:09,-1,Grant Bryant missed Free Throw.,12,6
14:09,-1,Grant Bryant missed Free Throw.,12,6
14:09,2430,Isaiah Miller Defensive Rebound.,12,6
14:02,2430,Kylia Sykes missed Three Point Jumper.,12,6
14:02,-1,Grant Bryant Defensive Rebound.,12,6
13:34,-1,Grant Bryant missed Jumper.,12,6
13:34,2430,Kylia Sykes Defensive Rebound.,12,6
13:07,2430,Kylia Sykes made Layup.,12,8
13:07,-1,Foul on Grant Bryant.,12,8
13:07,2430,Kylia Sykes made Free Throw.,12,9
12:58,-1,Southeastern  Timeout,12,9
12:42,-1,Josiah Barsh missed Jumper.,12,9
12:42,2430,UNC Greensboro Defensive Rebound.,12,9
12:31,2430,Isaiah Miller missed Jumper.,12,9
12:31,2430,Isaiah Miller Offensive Rebound.,12,9
12:28,2430,Isaiah Miller missed Layup.,12,9
12:28,-1,Wesley Johnson Block.,12,9
12:25,-1,Josiah Barsh Defensive Rebound.,12,9
12:22,-1,Josiah Barsh made Layup.,14,9
12:22,2430,Foul on Garrett Collins.,14,9
12:22,-1,Josiah Barsh missed Free Throw.,14,9
12:22,2430,Garrett Collins Defensive Rebound.,14,9
12:00,2430,Malik Massey Turnover.,14,9
12:00,2430,Official TV Timeout,14,9
11:43,-1,Ismael Celestin missed Layup.,14,9
11:43,2430,Jordy Kuiper Defensive Rebound.,14,9
11:28,2430,Malik Massey missed Three Point Jumper.,14,9
11:28,-1,Deion Fields Defensive Rebound.,14,9
11:18,2430,Foul on Francis Alonso.,14,9
11:18,-1,C.J. Reese made Free Throw.,15,9
11:18,-1,C.J. Reese made Free Throw.,16,9
11:00,2430,Isaiah Miller Turnover.,16,9
10:57,-1,Ismael Celestin Steal.,16,9
10:48,-1,Isaac Barsh missed Jumper.,16,9
10:48,2430,Jordy Kuiper Defensive Rebound.,16,9
10:28,-1,Foul on Isaac Barsh.,16,9
10:23,2430,Foul on Jordy Kuiper.,16,9
10:23,2430,Jordy Kuiper Turnover.,16,9
10:08,-1,Ismael Celestin missed Jumper.,16,9
10:08,2430,Marvin Smith Block.,16,9
10:06,2430,Malik Massey Defensive Rebound.,16,9
10:03,-1,Foul on Ismael Celestin.,16,9
9:48,2430,Jordy Kuiper missed Layup.,16,9
9:48,2430,Isaiah Miller Offensive Rebound.,16,9
9:45,2430,Isaiah Miller made Layup.,16,11
9:22,-1,Ryan Atkins missed Layup.,16,11
9:22,2430,Jordy Kuiper Defensive Rebound.,16,11
9:09,2430,Malik Massey made Layup.,16,13
9:05,-1,Southeastern  Timeout,16,13
9:05,-1,Southeastern  Timeout,16,13
8:57,-1,Isaac Barsh made Layup. Assisted by Ryan Atkins.,18,13
8:42,2430,Marvin Smith made Three Point Jumper. Assisted by Isaiah Miller.,18,16
8:27,-1,Ryan Atkins missed Jumper.,18,16
8:27,2430,Isaiah Miller Defensive Rebound.,18,16
8:17,2430,Marvin Smith missed Three Point Jumper.,18,16
8:17,2430,Jordy Kuiper Offensive Rebound.,18,16
7:53,2430,Isaiah Miller missed Jumper.,18,16
7:53,2430,Isaiah Miller Offensive Rebound.,18,16
7:48,2430,Marvin Smith made Layup. Assisted by Isaiah Miller.,18,18
7:29,-1,Isaac Barsh Turnover.,18,18
7:29,2430,Official TV Timeout,18,18
7:15,2430,Francis Alonso made Three Point Jumper.,18,21
6:51,-1,Ryan Atkins made Jumper. Assisted by C.J. Reese.,20,21
6:34,2430,Marvin Smith missed Three Point Jumper.,20,21
6:34,-1,Isaac Barsh Defensive Rebound.,20,21
6:23,-1,Josiah Barsh missed Three Point Jumper.,20,21
6:23,-1,Isaac Barsh Offensive Rebound.,20,21
6:18,-1,Isaac Barsh Turnover.,20,21
6:18,2430,Demetrius Troy Steal.,20,21
6:18,-1,Foul on Isaac Barsh.,20,21
6:18,2430,Francis Alonso made Free Throw.,20,22
6:18,2430,Francis Alonso made Free Throw.,20,23
6:02,2430,Foul on Marvin Smith.,20,23
6:02,-1,Wesley Johnson made Free Throw.,21,23
6:02,-1,Wesley Johnson missed Free Throw.,21,23
6:02,2430,Marvin Smith Defensive Rebound.,21,23
5:47,2430,Foul on Lloyd Burgess.,21,23
5:47,2430,Lloyd Burgess Turnover.,21,23
5:33,-1,Foul on C.J. Reese.,21,23
5:33,-1,C.J. Reese Turnover.,21,23
5:15,2430,Kylia Sykes made Three Point Jumper. Assisted by Demetrius Troy.,21,26
4:54,-1,Foul on Grant Bryant.,21,26
4:54,-1,Grant Bryant Turnover.,21,26
4:28,2430,Francis Alonso missed Three Point Jumper.,21,26
4:28,2430,Lloyd Burgess Offensive Rebound.,21,26
4:16,2430,Demetrius Troy made Jumper.,21,28
4:16,-1,Ryan Atkins Turnover.,21,28
3:50,2430,Kylia Sykes made Three Point Jumper. Assisted by Malik Massey.,21,31
3:44,-1,Josiah Barsh Turnover.,21,31
3:42,2430,Garrett Collins Steal.,21,31
3:35,2430,Isaiah Miller Turnover.,21,31
3:24,2430,Official TV Timeout,21,31
2:59,-1,C.J. Reese Turnover.,21,31
2:57,2430,Kylia Sykes Steal.,21,31
2:54,2430,Kylia Sykes made Layup.,21,33
2:43,-1,Ryan Atkins made Three Point Jumper. Assisted by C.J. Reese.,24,33
2:40,2430,UNC Greensboro  Timeout,24,33
2:27,2430,Isaiah Miller made Layup.,24,35
2:27,-1,Foul on Ismael Celestin.,24,35
2:27,2430,Isaiah Miller missed Free Throw.,24,35
2:27,-1,Southeastern Defensive Rebound.,24,35
2:13,-1,Ryan Atkins made Jumper.,26,35
1:47,2430,Isaiah Miller Turnover.,26,35
1:26,-1,Quennell Francis Turnover.,26,35
1:23,2430,Isaiah Miller made Dunk. Assisted by Garrett Collins.,26,37
1:23,2430,Foul on Malik Massey.,26,37
1:23,-1,C.J. Reese made Free Throw.,27,37
1:23,-1,C.J. Reese made Free Throw.,28,37
0:59,-1,Foul on Josiah Barsh.,28,37
0:59,2430,Malik Massey missed Free Throw.,28,37
0:59,2430,UNC Greensboro Deadball Team Rebound.,28,37
0:59,2430,Malik Massey missed Free Throw.,28,37
0:59,-1,C.J. Reese Defensive Rebound.,28,37
0:54,2430,Foul on Malik Massey.,28,37
0:54,-1,C.J. Reese made Free Throw.,29,37
0:54,-1,C.J. Reese made Free Throw.,30,37
0:44,2430,Francis Alonso missed Jumper.,30,37
0:44,-1,Quennell Francis Defensive Rebound.,30,37
0:37,2430,Foul on Isaiah Miller.,30,37
0:37,-1,Josiah Barsh made Free Throw.,31,37
0:37,-1,Josiah Barsh missed Free Throw.,31,37
0:37,2430,Jordy Kuiper Defensive Rebound.,31,37
0:11,-1,Foul on Ismael Celestin.,31,37
0:11,2430,Francis Alonso made Free Throw.,31,38
0:11,2430,Francis Alonso made Free Throw.,31,39
0:03,-1,Isaac Barsh missed Jumper.,31,39
0:03,2430,Justin Jordan Defensive Rebound.,31,39
0:00,2430,End of 1st half,31,39
19:35,2430,Jordy Kuiper missed Three Point Jumper.,31,39
19:35,-1,Josiah Barsh Defensive Rebound.,31,39
19:23,-1,Ryan Atkins missed Jumper.,31,39
19:23,2430,Demetrius Troy Defensive Rebound.,31,39
19:20,-1,Foul on Isaac Barsh.,31,39
19:06,2430,Jordy Kuiper made Jumper.,31,41
18:52,-1,Wesley Johnson missed Layup.,31,41
18:52,2430,Marvin Smith Defensive Rebound.,31,41
18:40,-1,Foul on Josiah Barsh.,31,41
18:30,2430,Francis Alonso made Jumper.,31,43
18:23,2430,Foul on Francis Alonso.,31,43
18:23,-1,Ryan Atkins missed Three Point Jumper.,31,43
18:23,2430,Francis Alonso Defensive Rebound.,31,43
18:21,2430,Francis Alonso made Layup.,31,45
17:43,-1,C.J. Reese missed Layup.,31,45
17:43,2430,Marvin Smith Defensive Rebound.,31,45
17:28,-1,Foul on Grant Bryant.,31,45
17:28,2430,Kyrin Galloway made Free Throw.,31,46
17:28,2430,Kyrin Galloway made Free Throw.,31,47
17:19,-1,Deion Fields made Dunk. Assisted by C.J. Reese.,33,47
17:04,2430,Kyrin Galloway Turnover.,33,47
16:49,2430,Foul on Kyrin Galloway.,33,47
16:49,-1,Josiah Barsh made Free Throw.,34,47
16:49,-1,Josiah Barsh made Free Throw.,35,47
16:38,2430,Francis Alonso missed Three Point Jumper.,35,47
16:38,-1,Isaac Barsh Defensive Rebound.,35,47
16:32,2430,Foul on Francis Alonso.,35,47
16:17,-1,Ryan Atkins Turnover.,35,47
16:16,2430,Isaiah Miller Steal.,35,47
16:13,2430,Marvin Smith made Dunk. Assisted by Isaiah Miller.,35,49
16:01,-1,C.J. Reese Turnover.,35,49
16:00,2430,Marvin Smith Steal.,35,49
15:55,2430,Marvin Smith made Layup. Assisted by Demetrius Troy.,35,51
15:39,-1,Ryan Atkins made Jumper.,37,51
15:24,2430,Demetrius Troy missed Layup.,37,51
15:24,-1,Ryan Atkins Defensive Rebound.,37,51
15:21,-1,Ryan Atkins Turnover.,37,51
15:20,2430,Isaiah Miller Steal.,37,51
15:17,2430,Kyrin Galloway made Layup. Assisted by Jordy Kuiper.,37,53
14:58,-1,Josiah Barsh missed Layup.,37,53
14:58,2430,Jordy Kuiper Defensive Rebound.,37,53
14:40,2430,Isaiah Miller missed Jumper.,37,53
14:40,2430,Kyrin Galloway Offensive Rebound.,37,53
14:12,2430,Demetrius Troy made Three Point Jumper. Assisted by Jordy Kuiper.,37,56
13:46,-1,Deion Fields Turnover.,37,56
13:45,2430,Marvin Smith Steal.,37,56
13:44,-1,Foul on Josiah Barsh.,37,56
13:44,2430,Official TV Timeout,37,56
13:24,2430,Malik Massey missed Three Point Jumper.,37,56
13:24,-1,Ryan Atkins Defensive Rebound.,37,56
13:13,-1,C.J. Reese made Layup.,39,56
13:04,2430,Isaiah Miller missed Jumper.,39,56
13:04,-1,Southeastern Deadball Team Rebound.,39,56
13:02,2430,Foul on Lloyd Burgess.,39,56
12:47,-1,Quennell Francis missed Three Point Jumper.,39,56
12:47,2430,Malik Massey Defensive Rebound.,39,56
12:33,-1,Foul on Grant Bryant.,39,56
12:26,2430,Isaiah Miller Turnover.,39,56
12:24,-1,Ryan Atkins Steal.,39,56
12:21,-1,Ryan Atkins made Layup.,41,56
11:54,2430,Malik Massey made Layup.,41,58
11:46,2430,Foul on Kyrin Galloway.,41,58
11:46,2430,Official TV Timeout,41,58
11:46,-1,Ryan Atkins made Free Throw.,42,58
11:46,-1,Ryan Atkins made Free Throw.,43,58
11:26,2430,Jordy Kuiper Turnover.,43,58
11:06,-1,C.J. Reese missed Layup.,43,58
11:06,2430,Jordy Kuiper Defensive Rebound.,43,58
10:59,2430,Marvin Smith Turnover.,43,58
10:58,-1,Quennell Francis Steal.,43,58
10:53,-1,Quennell Francis missed Jumper.,43,58
10:53,2430,UNC Greensboro Deadball Team Rebound.,43,58
10:37,2430,Francis Alonso made Three Point Jumper. Assisted by Demetrius Troy.,43,61
10:17,2430,Foul on Francis Alonso.,43,61
10:17,-1,Ryan Atkins made Free Throw.,44,61
10:17,-1,Ryan Atkins made Free Throw.,45,61
10:02,2430,Jordy Kuiper made Jumper.,45,63
9:48,-1,Ismael Celestin Turnover.,45,63
9:30,2430,Justin Jordan Turnover.,45,63
9:17,-1,Ryan Atkins missed Jumper.,45,63
9:17,2430,Jordy Kuiper Defensive Rebound.,45,63
9:08,2430,Demetrius Troy Turnover.,45,63
9:07,-1,Quennell Francis Steal.,45,63
9:02,-1,Quennell Francis made Jumper.,47,63
8:41,-1,Foul on Wesley Johnson.,47,63
8:37,2430,Kylia Sykes Turnover.,47,63
8:35,-1,Harrison Hebert Steal.,47,63
8:32,-1,Quennell Francis made Layup. Assisted by Harrison Hebert.,49,63
8:29,2430,UNC Greensboro  Timeout,49,63
8:06,-1,Foul on Ismael Celestin.,49,63
8:06,2430,Kyrin Galloway made Free Throw.,49,64
8:06,2430,Kyrin Galloway missed Free Throw.,49,64
8:06,-1,Quennell Francis Defensive Rebound.,49,64
7:39,2430,Foul on Kyrin Galloway.,49,64
7:39,2430,Official TV Timeout,49,64
7:39,2430,Technical Foul on Marvin Smith.,49,64
7:39,2430,Foul on Marvin Smith.,49,64
7:39,-1,Ryan Atkins made Free Throw.,50,64
7:39,-1,Ryan Atkins made Free Throw.,51,64
7:39,-1,C.J. Reese missed Free Throw.,51,64
7:39,2430,Marvin Smith Defensive Rebound.,51,64
7:19,2430,Demetrius Troy made Three Point Jumper. Assisted by Kylia Sykes.,51,67
6:58,-1,Harrison Hebert missed Three Point Jumper.,51,67
6:58,-1,Isaac Barsh Offensive Rebound.,51,67
6:53,-1,Isaac Barsh missed Jumper.,51,67
6:53,2430,Marvin Smith Defensive Rebound.,51,67
6:31,-1,Foul on Harrison Hebert.,51,67
6:31,2430,Marvin Smith made Free Throw.,51,68
6:31,2430,Marvin Smith made Free Throw.,51,69
6:18,-1,Ryan Atkins missed Three Point Jumper.,51,69
6:18,2430,Isaiah Miller Defensive Rebound.,51,69
6:02,2430,Jordy Kuiper missed Jumper.,51,69
6:02,-1,Harrison Hebert Defensive Rebound.,51,69
5:29,-1,Foul on Quennell Francis.,51,69
5:29,2430,Malik Massey made Free Throw.,51,70
5:29,2430,Malik Massey made Free Throw.,51,71
5:18,-1,Grant Bryant made Jumper.,53,71
5:12,2430,Garrett Collins Turnover.,53,71
5:10,-1,Harrison Hebert missed Three Point Jumper.,53,71
5:10,2430,Francis Alonso Offensive Rebound.,53,71
4:50,-1,Foul on Harrison Hebert.,53,71
4:50,2430,Jordy Kuiper made Free Throw.,53,72
4:50,2430,Jordy Kuiper made Free Throw.,53,73
4:34,-1,Josiah Barsh made Layup. Assisted by C.J. Reese.,55,73
4:15,2430,Isaiah Miller Turnover.,55,73
4:05,-1,Ryan Atkins made Layup.,57,73
3:51,2430,Garrett Collins missed Three Point Jumper.,57,73
3:51,-1,Ryan Atkins Defensive Rebound.,57,73
3:44,-1,Grant Bryant made Dunk. Assisted by C.J. Reese.,59,73
3:20,2430,Garrett Collins missed Three Point Jumper.,59,73
3:20,2430,Jordy Kuiper Offensive Rebound.,59,73
3:16,2430,Jordy Kuiper missed Layup.,59,73
3:16,-1,Southeastern Defensive Rebound.,59,73
3:13,2430,Official TV Timeout,59,73
2:57,-1,C.J. Reese made Layup.,61,73
2:38,2430,Francis Alonso made Three Point Jumper. Assisted by Malik Massey.,61,76
2:17,2430,Foul on Isaiah Miller.,61,76
2:17,-1,Ryan Atkins made Free Throw.,62,76
2:17,-1,Ryan Atkins made Free Throw.,63,76
2:08,2430,Francis Alonso made Three Point Jumper. Assisted by Kylia Sykes.,63,79
1:55,-1,Southeastern  Timeout,63,79
1:50,-1,Ryan Atkins missed Three Point Jumper.,63,79
1:50,2430,Malik Massey Defensive Rebound.,63,79
1:37,2430,Francis Alonso missed Three Point Jumper.,63,79
1:37,-1,C.J. Reese Defensive Rebound.,63,79
1:29,-1,Ryan Atkins made Jumper. Assisted by C.J. Reese.,65,79
1:15,2430,Isaiah Miller made Layup.,65,81
1:03,-1,C.J. Reese missed Three Point Jumper.,65,81
1:03,2430,Isaiah Miller Defensive Rebound.,65,81
0:35,-1,Foul on Josiah Barsh.,65,81
0:35,2430,Isaiah Miller made Free Throw.,65,82
0:35,2430,Isaiah Miller made Free Throw.,65,83
0:18,-1,Ismael Celestin made Layup.,67,83
0:15,2430,Malik Massey Turnover.,67,83
0:11,-1,Quennell Francis Turnover.,67,83
0:10,2430,Isaiah Miller Steal.,67,83
0:08,2430,Isaiah Miller made Dunk.,67,85
0:00,-1,Ismael Celestin missed Three Point Jumper.,67,85
0:00,2430,Jordy Kuiper Defensive Rebound.,67,85
0:00,2430,End of Game,67,85
