Western Illinois,2086,Butler,2710
12:42,2710,Isaac Johnson Turnover.,6,16
12:28,2086,Henry Baddley made Layup. Assisted by Kelan Martin.,6,18
12:07,2710,Isaac Johnson missed Layup.,6,18
12:07,2086,Sean McDermott Defensive Rebound.,6,18
11:59,2086,Sean McDermott made Three Point Jumper. Assisted by Kamar Baldwin.,6,21
11:37,2710,Brandon Gilbeck made Jumper.,8,21
11:18,2086,Kelan Martin made Three Point Jumper.,8,24
11:09,2710,Western Illinois  Timeout,8,24
11:09,2086,Official TV Timeout,8,24
11:05,2710,C.J. Duff missed Three Point Jumper.,8,24
11:05,2710,Brandon Gilbeck Offensive Rebound.,8,24
11:00,2710,Brandon Gilbeck missed Layup.,8,24
11:00,2086,Nate Fowler Defensive Rebound.,8,24
10:54,2086,Kelan Martin missed Three Point Jumper.,8,24
10:54,2710,Dalan Ancrum Defensive Rebound.,8,24
10:43,2710,C.J. Duff made Layup.,10,24
10:27,2710,Foul on C.J. Duff.,10,24
10:25,2086,Henry Baddley made Jumper. Assisted by Aaron Thompson.,10,26
10:14,2710,Kobe Webster made Jumper.,12,26
10:03,2086,Sean McDermott missed Layup.,12,26
10:03,2086,Nate Fowler Offensive Rebound.,12,26
9:59,2086,Kamar Baldwin missed Three Point Jumper.,12,26
9:59,2710,Brandon Gilbeck Defensive Rebound.,12,26
9:31,2710,C.J. Duff missed Three Point Jumper.,12,26
9:31,2086,Nate Fowler Defensive Rebound.,12,26
9:21,2710,Foul on Brandon Gilbeck.,12,26
9:21,2086,Aaron Thompson made Free Throw.,12,27
9:21,2086,Aaron Thompson made Free Throw.,12,28
9:07,2710,Kobe Webster missed Jumper.,12,28
9:07,2710,Western Illinois Offensive Rebound.,12,28
9:01,2710,C.J. Duff made Jumper.,14,28
8:36,2086,Nate Fowler made Layup. Assisted by Christian David.,14,30
8:17,2710,Isaac Johnson Turnover.,14,30
7:59,2086,Nate Fowler missed Layup.,14,30
7:59,2710,Charles Gavin Defensive Rebound.,14,30
7:50,2086,Foul on Aaron Thompson.,14,30
7:50,2086,Official TV Timeout,14,30
7:33,2710,Delo Bruster missed Jumper.,14,30
7:33,2086,Joey Brunk Defensive Rebound.,14,30
7:13,2086,Joey Brunk missed Layup.,14,30
7:13,2086,Joey Brunk Offensive Rebound.,14,30
7:09,2086,Joey Brunk missed Layup.,14,30
7:09,2710,Charles Gavin Block.,14,30
7:09,2086,Butler Offensive Rebound.,14,30
7:03,2086,Paul Jorgensen made Three Point Jumper.,14,33
6:35,2710,Kobe Webster Turnover.,14,33
6:35,2086,Aaron Thompson Steal.,14,33
6:35,2086,Butler  Timeout,14,33
6:22,2086,Paul Jorgensen missed Three Point Jumper.,14,33
6:22,2710,Isaac Johnson Defensive Rebound.,14,33
6:08,2710,Dalan Ancrum missed Jumper.,14,33
6:08,2086,Sean McDermott Defensive Rebound.,14,33
5:59,2086,Kelan Martin made Jumper.,14,35
5:59,2710,Foul on Charles Gavin.,14,35
5:59,2086,Kelan Martin made Free Throw.,14,36
5:35,2710,Kobe Webster missed Three Point Jumper.,14,36
5:35,2086,Sean McDermott Defensive Rebound.,14,36
5:26,2086,Kelan Martin Turnover.,14,36
5:24,2710,Charles Gavin Steal.,14,36
5:19,2710,Delo Bruster made Jumper.,16,36
5:02,2086,Kelan Martin missed Layup.,16,36
5:02,2086,Joey Brunk Offensive Rebound.,16,36
4:59,2710,Foul on Charles Gavin.,16,36
4:59,2086,Joey Brunk made Free Throw.,16,37
4:59,2086,Joey Brunk made Free Throw.,16,38
4:44,2086,Foul on Joey Brunk.,16,38
4:36,2710,Kobe Webster missed Jumper.,16,38
4:36,2086,Joey Brunk Defensive Rebound.,16,38
4:17,2086,Joey Brunk Turnover.,16,38
4:01,2710,Isaac Johnson missed Jumper.,16,38
4:01,2086,Nate Fowler Defensive Rebound.,16,38
3:49,2086,Kelan Martin missed Jumper.,16,38
3:49,2086,Nate Fowler Offensive Rebound.,16,38
3:33,2086,Sean McDermott made Three Point Jumper. Assisted by Kelan Martin.,16,41
3:10,2710,Charles Gavin made Jumper.,18,41
2:50,2086,Kamar Baldwin made Jumper.,18,43
2:32,2710,Isaac Johnson missed Three Point Jumper.,18,43
2:32,2086,Kamar Baldwin Defensive Rebound.,18,43
2:24,2086,Kelan Martin made Layup. Assisted by Kamar Baldwin.,18,45
2:24,2710,Foul on Isaac Johnson.,18,45
2:24,2086,Official TV Timeout,18,45
2:24,2086,Kelan Martin made Free Throw.,18,46
1:55,2710,Delo Bruster missed Three Point Jumper.,18,46
1:55,2710,Western Illinois Offensive Rebound.,18,46
1:37,2710,Charles Gavin missed Layup.,18,46
1:37,2086,Kamar Baldwin Defensive Rebound.,18,46
1:21,2086,Kelan Martin made Three Point Jumper. Assisted by Aaron Thompson.,18,49
0:50,2710,Charles Gavin made Layup. Assisted by Delo Bruster.,20,49
0:40,2086,Kelan Martin missed Three Point Jumper.,20,49
0:40,2710,Western Illinois Deadball Team Rebound.,20,49
0:38,2086,Foul on Henry Baddley.,20,49
0:24,2710,Kobe Webster made Layup.,22,49
0:04,2086,Kelan Martin missed Three Point Jumper.,22,49
0:04,2710,Dalan Ancrum Defensive Rebound.,22,49
0:00,2086,End of 1st half,22,49
19:51,2710,Dalan Ancrum missed Three Point Jumper.,22,49
19:51,2086,Butler Defensive Rebound.,22,49
19:38,2086,Nate Fowler made Layup. Assisted by Kelan Martin.,22,51
19:11,2710,Kobe Webster Turnover.,22,51
19:10,2086,Nate Fowler Steal.,22,51
19:10,2710,Foul on Brandon Gilbeck.,22,51
18:56,2086,Kamar Baldwin missed Three Point Jumper.,22,51
18:56,2710,Brandon Gilbeck Defensive Rebound.,22,51
18:45,2710,Brandon Gilbeck made Layup. Assisted by Kobe Webster.,24,51
18:25,2086,Nate Fowler made Layup. Assisted by Kelan Martin.,24,53
17:59,2710,Dalan Ancrum Turnover.,24,53
17:36,2086,Nate Fowler made Three Point Jumper. Assisted by Kelan Martin.,24,56
17:13,2710,Brandon Gilbeck missed Layup.,24,56
17:13,2086,Kamar Baldwin Block.,24,56
17:11,2710,Brandon Gilbeck Offensive Rebound.,24,56
17:07,2710,C.J. Duff missed Jumper.,24,56
17:07,2710,Charles Gavin Offensive Rebound.,24,56
17:03,2710,Charles Gavin missed Layup.,24,56
17:03,2086,Nate Fowler Block.,24,56
17:01,2710,Charles Gavin Offensive Rebound.,24,56
16:59,2710,Charles Gavin missed Layup.,24,56
16:59,2086,Nate Fowler Block.,24,56
16:56,2086,Nate Fowler Defensive Rebound.,24,56
16:56,2086,Paul Jorgensen made Layup.,24,58
16:56,2710,Foul on Kobe Webster.,24,58
16:56,2086,Paul Jorgensen made Free Throw.,24,59
16:47,2086,Foul on Aaron Thompson.,24,59
16:46,2710,C.J. Duff Turnover.,24,59
16:44,2086,Paul Jorgensen Steal.,24,59
16:40,2086,Paul Jorgensen made Dunk.,24,61
16:23,2710,C.J. Duff missed Jumper.,24,61
16:23,2086,Paul Jorgensen Defensive Rebound.,24,61
16:11,2086,Nate Fowler missed Three Point Jumper.,24,61
16:11,2710,Charles Gavin Defensive Rebound.,24,61
16:02,2710,C.J. Duff missed Three Point Jumper.,24,61
16:02,2086,Nate Fowler Defensive Rebound.,24,61
15:52,2086,Aaron Thompson missed Jumper.,24,61
15:52,2710,Brandon Gilbeck Defensive Rebound.,24,61
15:36,2710,Charles Gavin Turnover.,24,61
15:34,2086,Kelan Martin Steal.,24,61
15:31,2086,Kelan Martin missed Layup.,24,61
15:31,2710,Brandon Gilbeck Defensive Rebound.,24,61
15:16,2710,Charles Gavin missed Layup.,24,61
15:16,2086,Nate Fowler Block.,24,61
15:13,2710,Charles Gavin Offensive Rebound.,24,61
15:12,2710,Charles Gavin missed Layup.,24,61
15:12,2086,Nate Fowler Block.,24,61
15:10,2086,Paul Jorgensen Defensive Rebound.,24,61
15:07,2086,Kelan Martin missed Three Point Jumper.,24,61
15:07,2710,Brandon Gilbeck Defensive Rebound.,24,61
14:42,2710,Dalan Ancrum Turnover.,24,61
14:40,2086,Nate Fowler Steal.,24,61
14:37,2086,Kelan Martin made Dunk. Assisted by Kamar Baldwin.,24,63
14:18,2710,Kobe Webster missed Three Point Jumper.,24,63
14:18,2710,Charles Gavin Offensive Rebound.,24,63
14:13,2710,Charles Gavin missed Layup.,24,63
14:13,2710,Dalan Ancrum Offensive Rebound.,24,63
14:12,2710,Dalan Ancrum made Layup.,26,63
14:12,2086,Official TV Timeout,26,63
13:57,2086,Joey Brunk missed Layup.,26,63
13:57,2710,Jalen Morgan Block.,26,63
13:54,2710,Kobe Webster Defensive Rebound.,26,63
13:46,2086,Foul on Sean McDermott.,26,63
13:46,2710,Jalen Morgan made Free Throw.,27,63
13:46,2710,Jalen Morgan made Free Throw.,28,63
13:28,2086,Christian David missed Three Point Jumper.,28,63
13:28,2710,Kobe Webster Defensive Rebound.,28,63
13:19,2710,Kobe Webster Turnover.,28,63
13:17,2086,Kamar Baldwin Steal.,28,63
13:14,2086,Sean McDermott made Layup.,28,65
12:58,2710,C.J. Duff Turnover.,28,65
12:50,2086,Kamar Baldwin missed Layup.,28,65
12:50,2086,Joey Brunk Offensive Rebound.,28,65
12:45,2086,Joey Brunk missed Layup.,28,65
12:45,2710,Jalen Morgan Block.,28,65
12:43,2710,Jalen Morgan Defensive Rebound.,28,65
12:35,2710,Brandon Gilbeck missed Jumper.,28,65
12:35,2086,Sean McDermott Defensive Rebound.,28,65
12:25,2086,Sean McDermott missed Three Point Jumper.,28,65
12:25,2086,Butler Deadball Team Rebound.,28,65
12:23,2086,Foul on Joey Brunk.,28,65
12:23,2710,Foul on Brandon Gilbeck.,28,65
12:21,2710,Foul on Isaac Johnson.,28,65
12:21,2086,Sean McDermott missed Free Throw.,28,65
12:21,2086,Butler Deadball Team Rebound.,28,65
12:21,2086,Sean McDermott missed Free Throw.,28,65
12:21,2086,Butler Deadball Team Rebound.,28,65
12:21,2086,Sean McDermott made Free Throw.,28,66
11:53,2086,Foul on Sean McDermott.,28,66
11:53,2086,Official TV Timeout,28,66
11:51,2710,Delo Bruster Turnover.,28,66
11:34,2086,Joey Brunk made Jumper.,28,68
11:03,2710,Delo Bruster made Jumper.,30,68
10:38,2086,Kelan Martin missed Layup.,30,68
10:38,2710,C.J. Duff Defensive Rebound.,30,68
10:24,2710,Delo Bruster missed Layup.,30,68
10:24,2086,Joey Brunk Defensive Rebound.,30,68
10:18,2086,Jerald Gillens-Butler Turnover.,30,68
10:00,2710,Charles Gavin missed Layup.,30,68
10:00,2086,Aaron Thompson Block.,30,68
9:57,2710,Charles Gavin Offensive Rebound.,30,68
9:55,2710,Charles Gavin missed Layup.,30,68
9:52,2086,Joey Brunk Defensive Rebound.,30,68
9:51,2710,Foul on Jalen Morgan.,30,68
9:51,2086,Aaron Thompson missed Free Throw.,30,68
9:51,2086,Butler Deadball Team Rebound.,30,68
9:51,2086,Aaron Thompson made Free Throw.,30,69
9:40,2710,Kobe Webster Turnover.,30,69
9:38,2086,Paul Jorgensen Steal.,30,69
9:35,2086,Paul Jorgensen made Layup.,30,71
9:19,2710,Jalen Morgan made Jumper. Assisted by C.J. Duff.,32,71
8:57,2086,Jerald Gillens-Butler made Three Point Jumper. Assisted by Kelan Martin.,32,74
8:23,2710,Kobe Webster Turnover.,32,74
8:21,2086,Aaron Thompson Steal.,32,74
8:17,2086,Paul Jorgensen made Three Point Jumper. Assisted by Aaron Thompson.,32,77
7:53,2710,Delo Bruster made Layup.,34,77
7:24,2086,Aaron Thompson Turnover.,34,77
7:22,2710,C.J. Duff Steal.,34,77
7:19,2710,C.J. Duff made Three Point Jumper. Assisted by Kobe Webster.,37,77
7:05,2086,Jerald Gillens-Butler made Three Point Jumper. Assisted by Paul Jorgensen.,37,80
7:00,2086,Technical Foul on Paul Jorgensen.,37,80
7:00,2086,Foul on Paul Jorgensen.,37,80
7:00,2086,Official TV Timeout,37,80
7:00,2710,Kobe Webster made Free Throw.,38,80
7:00,2710,Kobe Webster made Free Throw.,39,80
6:40,2710,Kobe Webster missed Three Point Jumper.,39,80
6:40,2086,Nate Fowler Defensive Rebound.,39,80
6:23,2086,Henry Baddley made Layup. Assisted by Sean McDermott.,39,82
6:14,2710,Kobe Webster missed Jumper.,39,82
6:14,2086,Kamar Baldwin Defensive Rebound.,39,82
6:06,2710,Foul on Jalen Morgan.,39,82
6:06,2086,Kamar Baldwin made Free Throw.,39,83
6:06,2086,Kamar Baldwin made Free Throw.,39,84
5:53,2710,C.J. Duff made Jumper.,41,84
5:30,2086,Henry Baddley made Three Point Jumper. Assisted by Christian David.,41,87
5:08,2710,Delo Bruster Turnover.,41,87
5:07,2086,Christian David Steal.,41,87
5:04,2086,Henry Baddley made Three Point Jumper. Assisted by Kamar Baldwin.,41,90
4:47,2710,C.J. Duff missed Three Point Jumper.,41,90
4:47,2086,Kamar Baldwin Defensive Rebound.,41,90
4:39,2086,Kamar Baldwin made Jumper.,41,92
4:16,2710,Jalen Morgan made Layup.,43,92
4:03,2086,Kamar Baldwin missed Three Point Jumper.,43,92
4:03,2710,Delo Bruster Defensive Rebound.,43,92
3:50,2710,Dalan Ancrum missed Three Point Jumper.,43,92
3:50,2086,Nate Fowler Defensive Rebound.,43,92
3:28,2086,Sean McDermott made Three Point Jumper. Assisted by Christian David.,43,95
3:07,2710,C.J. Duff Turnover.,43,95
3:07,2086,Henry Baddley Steal.,43,95
3:07,2710,Foul on C.J. Duff.,43,95
3:07,2086,Official TV Timeout,43,95
3:07,2086,Henry Baddley made Free Throw.,43,96
3:07,2086,Henry Baddley made Free Throw.,43,97
2:51,2086,Foul on Joey Brunk.,43,97
2:47,2710,Jalen Morgan missed Layup.,43,97
2:47,2710,Brandon Gilbeck Offensive Rebound.,43,97
2:42,2710,Brandon Gilbeck Turnover.,43,97
2:40,2086,Campbell Donovan Steal.,43,97
2:26,2710,Foul on Dalan Ancrum.,43,97
2:26,2086,Campbell Donovan made Free Throw.,43,98
2:26,2086,Campbell Donovan made Free Throw.,43,99
2:11,2710,Lynrick Moxey Turnover.,43,99
2:09,2086,Christian David Steal.,43,99
2:05,2086,Henry Baddley missed Layup.,43,99
2:05,2710,Lynrick Moxey Block.,43,99
2:02,2086,Jerald Gillens-Butler Offensive Rebound.,43,99
1:59,2086,Henry Baddley made Three Point Jumper. Assisted by Christian David.,43,102
1:26,2710,Jordan Hughes made Layup. Assisted by Dalan Ancrum.,45,102
1:04,2086,Joey Brunk made Layup.,45,104
0:45,2710,Delo Bruster missed Three Point Jumper.,45,104
0:45,2086,Henry Baddley Defensive Rebound.,45,104
0:34,2086,Henry Baddley made Three Point Jumper.,45,107
0:14,2086,Foul on Christian David.,45,107
0:14,2710,Jalen Morgan made Free Throw.,46,107
0:14,2710,Jalen Morgan missed Free Throw.,46,107
0:14,2086,Henry Baddley Defensive Rebound.,46,107
0:00,2086,End of Game,46,107
