St. Francis (ILL),Error,Eastern Illinois,2197
7:38,2197,Aboubacar Diallo Offensive Rebound.,18,20
7:34,2197,Montell Goodwin missed Jumper.,18,20
7:34,2197,Aboubacar Diallo Offensive Rebound.,18,20
7:17,2197,Ray Crossland made Three Point Jumper. Assisted by Jajuan Starks.,18,23
7:03,-1,Hayden Witt Turnover.,18,23
7:00,2197,Aboubacar Diallo Steal.,18,23
6:58,-1,Foul on Jorden Thornton.,18,23
6:58,2197,Official TV Timeout,18,23
6:47,2197,Muusa Dama made Dunk. Assisted by Lucas Jones.,18,25
6:22,-1,Garrett Jackson missed Jumper.,18,25
6:22,2197,Muusa Dama Defensive Rebound.,18,25
6:13,-1,Foul on Pietro Badalassi.,18,25
6:13,2197,Lucas Jones made Free Throw.,18,26
6:13,2197,Lucas Jones made Free Throw.,18,27
5:56,-1,Ryan Peter Turnover.,18,27
5:42,2197,Ray Crossland made Layup. Assisted by Muusa Dama.,18,29
5:31,-1,Garrett Jackson Turnover.,18,29
5:29,2197,Jajuan Starks Steal.,18,29
5:24,2197,Jajuan Starks missed Three Point Jumper.,18,29
5:24,2197,Muusa Dama Offensive Rebound.,18,29
5:20,2197,Muusa Dama made Dunk.,18,31
4:51,-1,Pietro Badalassi made Layup. Assisted by Jorden Thornton.,20,31
4:33,2197,Jajuan Starks made Jumper.,20,33
4:22,-1,Garrett Jackson Turnover.,20,33
4:20,2197,D'Angelo Jackson Steal.,20,33
4:19,2197,D'Angelo Jackson Turnover.,20,33
4:17,-1,Garrett Jackson Steal.,20,33
4:17,-1,Garrett Jackson missed Jumper.,20,33
4:17,2197,Muusa Dama Block.,20,33
4:17,2197,Muusa Dama Defensive Rebound.,20,33
4:17,2197,Muusa Dama Turnover.,20,33
4:10,2197,Foul on Muusa Dama.,20,33
4:05,-1,Pietro Badalassi Turnover.,20,33
4:04,2197,Montell Goodwin Steal.,20,33
3:50,2197,Ray Crossland made Jumper. Assisted by D'Angelo Jackson.,20,35
3:36,-1,Iain Morison made Layup. Assisted by Pietro Badalassi.,22,35
3:30,2197,Eastern Illinois  Timeout,22,35
3:13,2197,D'Angelo Jackson Turnover.,22,35
3:01,-1,Iain Morison missed Jumper.,22,35
3:01,2197,Montell Goodwin Defensive Rebound.,22,35
2:59,-1,Foul on Iain Morison.,22,35
2:47,2197,Justice Green missed Jumper.,22,35
2:47,-1,Iain Morison Block.,22,35
2:47,-1,Iain Morison Defensive Rebound.,22,35
2:18,-1,St. Francis (IL)  Turnover.,22,35
2:09,-1,Foul on Gabe Harris.,22,35
2:09,2197,D'Angelo Jackson missed Free Throw.,22,35
2:09,2197,Eastern Illinois Deadball Team Rebound.,22,35
2:09,2197,D'Angelo Jackson made Free Throw.,22,36
1:50,-1,Ryan Peter missed Jumper.,22,36
1:50,2197,D'Angelo Jackson Defensive Rebound.,22,36
1:43,2197,Jajuan Starks missed Layup.,22,36
1:43,-1,Hayden Witt Defensive Rebound.,22,36
1:16,-1,Antonio Hughes missed Layup.,22,36
1:16,2197,Jajuan Starks Block.,22,36
1:16,-1,St. Francis (IL) Offensive Rebound.,22,36
1:14,-1,Ryan Peter missed Jumper.,22,36
1:14,2197,D'Angelo Jackson Defensive Rebound.,22,36
1:05,2197,Logan Koch missed Three Point Jumper.,22,36
1:05,-1,Hayden Witt Defensive Rebound.,22,36
0:49,-1,Antonio Hughes made Three Point Jumper.,25,36
0:21,2197,Ray Crossland Turnover.,25,36
0:00,-1,Jorden Thornton missed Jumper.,25,36
0:00,2197,Justice Green Defensive Rebound.,25,36
0:00,2197,End of 1st half,25,36
19:40,2197,Jajuan Starks Turnover.,25,36
19:39,-1,Jorden Thornton Steal.,25,36
19:19,-1,Pietro Badalassi missed Jumper.,25,36
19:19,2197,Montell Goodwin Block.,25,36
19:18,-1,St. Francis (IL) Offensive Rebound.,25,36
19:17,-1,Pietro Badalassi missed Jumper.,25,36
19:17,2197,Jajuan Starks Defensive Rebound.,25,36
19:06,2197,Muusa Dama made Layup. Assisted by D'Angelo Jackson.,25,38
18:50,2197,Foul on D'Angelo Jackson.,25,38
18:41,2197,Foul on Montell Goodwin.,25,38
18:41,-1,Iain Morison missed Free Throw.,25,38
18:41,-1,St. Francis (IL) Deadball Team Rebound.,25,38
18:41,-1,Iain Morison made Free Throw.,26,38
18:27,2197,Jajuan Starks missed Jumper.,26,38
18:27,-1,Iain Morison Block.,26,38
18:25,-1,Jorden Thornton Defensive Rebound.,26,38
18:14,-1,Iain Morison missed Layup.,26,38
18:14,-1,Iain Morison Offensive Rebound.,26,38
18:09,-1,Iain Morison made Layup.,28,38
17:54,2197,Jajuan Starks missed Layup.,28,38
17:54,2197,Jajuan Starks Offensive Rebound.,28,38
17:51,-1,Foul on Iain Morison.,28,38
17:51,2197,Jajuan Starks missed Free Throw.,28,38
17:51,2197,Eastern Illinois Deadball Team Rebound.,28,38
17:51,2197,Jajuan Starks made Free Throw.,28,39
17:34,-1,Jorden Thornton missed Three Point Jumper.,28,39
17:34,2197,Michael Chavers Defensive Rebound.,28,39
17:26,2197,Montell Goodwin made Three Point Jumper. Assisted by Michael Chavers.,28,42
17:11,-1,Antonio Hughes missed Three Point Jumper.,28,42
17:11,2197,D'Angelo Jackson Defensive Rebound.,28,42
16:50,2197,Muusa Dama made Layup. Assisted by Montell Goodwin.,28,44
16:39,2197,Foul on Ray Crossland.,28,44
16:27,-1,Antonio Hughes missed Jumper.,28,44
16:27,2197,Michael Chavers Block.,28,44
16:24,-1,Pietro Badalassi Offensive Rebound.,28,44
16:13,-1,Ryan Peter missed Jumper.,28,44
16:13,2197,Montell Goodwin Defensive Rebound.,28,44
15:58,2197,Michael Chavers missed Jumper.,28,44
15:58,-1,Pietro Badalassi Block.,28,44
15:55,-1,Pietro Badalassi Defensive Rebound.,28,44
15:53,2197,Michael Chavers missed Layup.,28,44
15:53,2197,Muusa Dama Defensive Rebound.,28,44
15:49,-1,Antonio Hughes Steal.,28,44
15:39,-1,Pietro Badalassi missed Jumper.,28,44
15:39,2197,Muusa Dama Defensive Rebound.,28,44
15:11,2197,D'Angelo Jackson made Layup. Assisted by Muusa Dama.,28,46
14:40,-1,Garrett Jackson made Layup. Assisted by Pietro Badalassi.,30,46
14:39,2197,Foul on Muusa Dama.,30,46
14:39,-1,Garrett Jackson missed Free Throw.,30,46
14:39,2197,Muusa Dama Defensive Rebound.,30,46
14:26,2197,D'Angelo Jackson made Layup. Assisted by Muusa Dama.,30,48
14:02,-1,Jorden Thornton missed Jumper.,30,48
14:02,-1,Garrett Jackson Offensive Rebound.,30,48
13:51,2197,Foul on Ray Crossland.,30,48
13:43,-1,Jorden Thornton missed Three Point Jumper.,30,48
13:43,2197,D'Angelo Jackson Defensive Rebound.,30,48
13:35,2197,Ray Crossland Turnover.,30,48
13:33,-1,Brett Risley Steal.,30,48
13:30,-1,Brett Risley missed Jumper.,30,48
13:30,2197,Logan Koch Defensive Rebound.,30,48
13:27,-1,Foul on Garrett Jackson.,30,48
13:16,2197,Michael Chavers made Three Point Jumper. Assisted by Jajuan Starks.,30,51
12:57,-1,Jorden Thornton Turnover.,30,51
12:55,2197,Montell Goodwin Steal.,30,51
12:53,2197,Muusa Dama made Dunk. Assisted by Montell Goodwin.,30,53
12:50,-1,St. Francis (IL)  Timeout,30,53
12:24,2197,Foul on Jajuan Starks.,30,53
12:23,-1,Hayden Witt missed Jumper.,30,53
12:23,-1,Iain Morison Offensive Rebound.,30,53
12:18,-1,Antonio Hughes missed Three Point Jumper.,30,53
12:18,2197,Jajuan Starks Defensive Rebound.,30,53
12:01,2197,Jajuan Starks Turnover.,30,53
12:00,-1,Iain Morison Steal.,30,53
11:49,-1,Antonio Hughes missed Layup.,30,53
11:49,2197,Muusa Dama Block.,30,53
11:47,2197,Muusa Dama Defensive Rebound.,30,53
11:46,2197,Official TV Timeout,30,53
11:32,-1,Foul on Gabe Harris.,30,53
11:31,2197,Montell Goodwin made Three Point Jumper. Assisted by Logan Koch.,30,56
11:21,2197,Foul on Justice Green.,30,56
11:21,-1,Antonio Hughes made Free Throw.,31,56
11:21,-1,Antonio Hughes made Free Throw.,32,56
11:07,2197,Jajuan Starks made Jumper.,32,58
10:49,-1,Hayden Witt missed Jumper.,32,58
10:49,2197,Justice Green Defensive Rebound.,32,58
10:40,2197,Montell Goodwin missed Three Point Jumper.,32,58
10:40,-1,Hayden Witt Defensive Rebound.,32,58
10:19,2197,Foul on Logan Koch.,32,58
10:19,-1,Antonio Hughes missed Free Throw.,32,58
10:19,-1,St. Francis (IL) Deadball Team Rebound.,32,58
10:19,-1,Antonio Hughes made Free Throw.,33,58
10:03,2197,Logan Koch made Three Point Jumper. Assisted by Montell Goodwin.,33,61
9:46,-1,Gabe Harris Turnover.,33,61
9:45,2197,Lucas Jones Steal.,33,61
9:40,2197,Ray Crossland Turnover.,33,61
9:39,-1,Antonio Hughes Steal.,33,61
9:34,-1,Foul on Ryan Peter.,33,61
9:34,-1,Ryan Peter Turnover.,33,61
9:18,-1,Foul on Iain Morison.,33,61
9:18,2197,D'Angelo Jackson made Free Throw.,33,62
9:18,2197,D'Angelo Jackson made Free Throw.,33,63
9:02,-1,Ryan Peter Turnover.,33,63
9:00,2197,Justice Green Steal.,33,63
8:56,2197,Logan Koch missed Three Point Jumper.,33,63
8:56,-1,Ryan Peter Defensive Rebound.,33,63
8:40,-1,Iain Morison missed Jumper.,33,63
8:40,2197,Ray Crossland Block.,33,63
8:40,-1,St. Francis (IL) Offensive Rebound.,33,63
8:39,2197,Foul on Ray Crossland.,33,63
8:39,-1,Iain Morison missed Free Throw.,33,63
8:39,2197,Logan Koch Defensive Rebound.,33,63
8:32,2197,D'Angelo Jackson Turnover.,33,63
8:30,-1,Gabe Harris Steal.,33,63
8:17,-1,Foul on Iain Morison.,33,63
8:17,-1,Iain Morison Turnover.,33,63
7:52,2197,Logan Koch missed Three Point Jumper.,33,63
7:52,-1,Pietro Badalassi Defensive Rebound.,33,63
7:44,-1,Jorden Thornton missed Three Point Jumper.,33,63
7:44,2197,D'Angelo Jackson Defensive Rebound.,33,63
7:36,2197,Eastern Illinois  Timeout,33,63
7:22,2197,DeVantae' Price made Jumper. Assisted by D'Angelo Jackson.,33,65
7:10,-1,Jorden Thornton Turnover.,33,65
6:59,2197,Foul on DeVantae' Price.,33,65
6:59,2197,DeVantae' Price Turnover.,33,65
6:38,-1,Antonio Hughes missed Layup.,33,65
6:38,2197,DeVantae' Price Defensive Rebound.,33,65
6:22,2197,Shawn Wilson Turnover.,33,65
6:21,-1,Pietro Badalassi Steal.,33,65
6:17,-1,Jorden Thornton Turnover.,33,65
6:14,2197,DeVantae' Price Steal.,33,65
6:11,2197,Michael Chavers made Layup. Assisted by DeVantae' Price.,33,67
6:09,-1,St. Francis (IL)  Timeout,33,67
5:39,-1,Antonio Hughes made Layup.,35,67
5:39,2197,Foul on Shawn Wilson.,35,67
5:39,-1,Antonio Hughes made Free Throw.,36,67
5:20,2197,DeVantae' Price missed Layup.,36,67
5:20,-1,Pietro Badalassi Defensive Rebound.,36,67
5:06,-1,Pietro Badalassi Turnover.,36,67
5:04,2197,Michael Chavers Steal.,36,67
4:32,2197,Eastern Illinois  Turnover.,36,67
4:22,-1,Jorden Thornton missed Jumper.,36,67
4:22,-1,Pietro Badalassi Offensive Rebound.,36,67
4:03,-1,Pietro Badalassi missed Jumper.,36,67
4:03,2197,Lucas Jones Defensive Rebound.,36,67
3:36,2197,Logan Koch missed Three Point Jumper.,36,67
3:36,-1,Ryan Peter Defensive Rebound.,36,67
3:26,-1,Jorden Thornton missed Layup.,36,67
3:26,2197,Michael Chavers Defensive Rebound.,36,67
2:54,2197,Shawn Wilson missed Layup.,36,67
2:54,2197,Shawn Wilson Offensive Rebound.,36,67
2:45,2197,Official TV Timeout,36,67
2:45,2197,Official TV Timeout,36,67
2:23,2197,Michael Chavers made Layup.,36,69
2:07,-1,Gabe Harris made Layup.,38,69
1:40,2197,DeVantae' Price made Layup.,38,71
1:40,-1,Foul on Thomas Parrotta.,38,71
1:40,2197,DeVantae' Price made Free Throw.,38,72
1:10,-1,Jailen Jones Turnover.,38,72
0:50,2197,Shawn Wilson made Layup. Assisted by Logan Koch.,38,74
0:31,-1,Isaiah Williams missed Jumper.,38,74
0:31,2197,Michael Chavers Defensive Rebound.,38,74
0:00,2197,End of Game,38,74
