Longwood,2253,Grand Canyon,2344
6:42,2253,Shaq Carr Steal.,9,39
6:40,2253,Gerard Martin missed Three Point Jumper.,9,39
6:40,2344,Damarion Geter Defensive Rebound.,9,39
6:21,2344,Jordan Cintron Turnover.,9,39
6:20,2253,Oscar Frayer Steal.,9,39
6:16,2253,Oscar Frayer missed Jumper.,9,39
6:16,2344,B.K. Ashe Defensive Rebound.,9,39
6:00,2344,Spencer Franklin Turnover.,9,39
5:49,2253,Shaq Carr Turnover.,9,39
5:48,2344,Kamil Chapman Steal.,9,39
5:46,2344,Kamil Chapman made Layup.,11,39
5:31,2253,Gerard Martin missed Three Point Jumper.,11,39
5:31,2253,Shaq Carr Offensive Rebound.,11,39
5:12,2253,Alessandro Lever missed Jumper.,11,39
5:12,2344,Damarion Geter Defensive Rebound.,11,39
5:06,2344,Longwood  Timeout,11,39
4:41,2344,B.K. Ashe made Layup.,13,39
4:24,2253,Oscar Frayer Turnover.,13,39
4:22,2344,Kamil Chapman Steal.,13,39
4:13,2344,B.K. Ashe made Layup.,15,39
4:11,2253,Grand Canyon  Timeout,15,39
3:55,2344,Foul on Kamil Chapman.,15,39
3:42,2344,Foul on JaShaun Smith.,15,39
3:40,2253,Joshua Braun missed Three Point Jumper.,15,39
3:40,2344,Spencer Franklin Defensive Rebound.,15,39
3:16,2344,Foul on Kamil Chapman.,15,39
3:16,2344,Kamil Chapman Turnover.,15,39
3:03,2253,Joshua Braun missed Three Point Jumper.,15,39
3:03,2344,Longwood Defensive Rebound.,15,39
2:49,2253,Foul on Oscar Frayer.,15,39
2:49,2344,Kamil Chapman made Free Throw.,16,39
2:49,2344,Kamil Chapman made Free Throw.,17,39
2:49,2344,Kamil Chapman made Free Throw.,18,39
2:25,2344,Foul on B.K. Ashe.,18,39
2:25,2253,Alessandro Lever missed Free Throw.,18,39
2:25,2344,B.K. Ashe Defensive Rebound.,18,39
2:09,2344,Spencer Franklin missed Jumper.,18,39
2:09,2253,Casey Benson Defensive Rebound.,18,39
1:59,2253,Casey Benson missed Three Point Jumper.,18,39
1:59,2253,Alessandro Lever Offensive Rebound.,18,39
1:51,2253,Casey Benson missed Layup.,18,39
1:51,2344,Damarion Geter Block.,18,39
1:51,2344,JaShaun Smith Defensive Rebound.,18,39
1:35,2344,B.K. Ashe made Layup.,20,39
1:19,2253,Matt Jackson made Three Point Jumper. Assisted by Fiifi Aidoo.,20,42
0:55,2344,JaShaun Smith missed Jumper.,20,42
0:55,2253,Grand Canyon Defensive Rebound.,20,42
0:33,2253,Fiifi Aidoo missed Three Point Jumper.,20,42
0:33,2253,Oscar Frayer Offensive Rebound.,20,42
0:06,2344,Foul on Spencer Franklin.,20,42
0:06,2253,Casey Benson made Free Throw.,20,43
0:06,2253,Casey Benson made Free Throw.,20,44
0:00,2253,End of 1st half,20,44
19:43,2344,B.K. Ashe missed Three Point Jumper.,20,44
19:43,2253,Casey Benson Defensive Rebound.,20,44
19:30,2344,Foul on Kamil Chapman.,20,44
19:25,2344,Foul on Chris Shields.,20,44
19:10,2253,Casey Benson made Three Point Jumper. Assisted by Alessandro Lever.,20,47
18:50,2344,JaShaun Smith missed Three Point Jumper.,20,47
18:50,2253,Alessandro Lever Defensive Rebound.,20,47
18:43,2253,Oscar Frayer made Three Point Jumper. Assisted by Casey Benson.,20,50
18:18,2253,Foul on Alessandro Lever.,20,50
18:16,2344,Kamil Chapman Turnover.,20,50
18:06,2253,Joshua Braun made Three Point Jumper. Assisted by Keonta Vernon.,20,53
17:53,2344,Chris Shields missed Jumper.,20,53
17:53,2253,Oscar Frayer Defensive Rebound.,20,53
17:43,2344,Foul on B.K. Ashe.,20,53
17:43,2344,Foul on Jordan Cintron.,20,53
17:35,2253,Joshua Braun missed Layup.,20,53
17:35,2253,Keonta Vernon Offensive Rebound.,20,53
17:31,2253,Casey Benson missed Three Point Jumper.,20,53
17:31,2253,Joshua Braun Offensive Rebound.,20,53
17:27,2253,Joshua Braun missed Three Point Jumper.,20,53
17:27,2344,B.K. Ashe Defensive Rebound.,20,53
17:17,2253,Foul on Oscar Frayer.,20,53
17:17,2344,JaShaun Smith made Free Throw.,21,53
17:17,2344,JaShaun Smith made Free Throw.,22,53
17:06,2253,Joshua Braun Turnover.,22,53
16:50,2344,Jordan Cintron made Layup.,24,53
16:22,2253,Keonta Vernon missed Layup.,24,53
16:22,2253,Oscar Frayer Offensive Rebound.,24,53
16:17,2253,Oscar Frayer made Dunk.,24,55
15:57,2344,Jordan Cintron missed Three Point Jumper.,24,55
15:57,2344,Jordan Cintron Offensive Rebound.,24,55
15:52,2344,Chris Shields made Jumper.,26,55
15:30,2344,Foul on JaShaun Smith.,26,55
15:30,2253,Official TV Timeout,26,55
15:18,2253,Casey Benson made Jumper.,26,57
15:08,2344,JaShaun Smith missed Layup.,26,57
15:08,2253,Casey Benson Defensive Rebound.,26,57
14:51,2344,Foul on Jordan Cintron.,26,57
14:51,2253,Alessandro Lever made Free Throw.,26,58
14:51,2253,Alessandro Lever made Free Throw.,26,59
14:38,2253,Foul on Alessandro Lever.,26,59
14:38,2344,Chris Shields missed Free Throw.,26,59
14:38,2344,Longwood Deadball Team Rebound.,26,59
14:38,2344,Chris Shields made Free Throw.,27,59
14:21,2253,Casey Benson missed Three Point Jumper.,27,59
14:21,2253,Oscar Frayer Offensive Rebound.,27,59
14:17,2253,Oscar Frayer missed Two Point Tip Shot.,27,59
14:17,2253,Alessandro Lever Offensive Rebound.,27,59
14:17,2344,Foul on Spencer Franklin.,27,59
14:17,2253,Alessandro Lever missed Free Throw.,27,59
14:17,2344,Damarion Geter Defensive Rebound.,27,59
13:57,2344,Chris Shields Turnover.,27,59
13:43,2253,Oscar Frayer made Three Point Jumper. Assisted by Casey Benson.,27,62
13:26,2344,B.K. Ashe made Layup.,29,62
13:23,2344,Longwood  Timeout,29,62
13:23,2253,Official TV Timeout,29,62
13:21,2253,Casey Benson Turnover.,29,62
13:19,2344,Kamil Chapman Steal.,29,62
13:01,2344,B.K. Ashe made Layup.,31,62
12:37,2344,Foul on Damarion Geter.,31,62
12:37,2253,Roberts Blumbergs missed Free Throw.,31,62
12:37,2253,Grand Canyon Deadball Team Rebound.,31,62
12:37,2253,Roberts Blumbergs made Free Throw.,31,63
12:31,2344,B.K. Ashe Turnover.,31,63
12:29,2253,Gerard Martin Steal.,31,63
12:25,2253,Fiifi Aidoo missed Three Point Jumper.,31,63
12:25,2253,Roberts Blumbergs Offensive Rebound.,31,63
12:07,2253,Roberts Blumbergs missed Layup.,31,63
12:07,2253,Gerard Martin Offensive Rebound.,31,63
11:49,2344,Foul on Kamil Chapman.,31,63
11:49,2253,Official TV Timeout,31,63
11:49,2253,Gerard Martin made Free Throw.,31,64
11:49,2253,Gerard Martin missed Free Throw.,31,64
11:49,2344,Chris Shields Defensive Rebound.,31,64
11:30,2344,B.K. Ashe made Layup.,33,64
11:13,2253,Roberts Blumbergs missed Three Point Jumper.,33,64
11:13,2253,Fiifi Aidoo Offensive Rebound.,33,64
10:59,2253,Matt Jackson Turnover.,33,64
10:47,2344,JaShaun Smith missed Three Point Jumper.,33,64
10:47,2253,Fiifi Aidoo Defensive Rebound.,33,64
10:40,2253,Shaq Carr Turnover.,33,64
10:37,2344,Spencer Franklin Steal.,33,64
10:28,2344,B.K. Ashe Turnover.,33,64
10:17,2253,Roberts Blumbergs made Jumper. Assisted by Fiifi Aidoo.,33,66
9:56,2253,Foul on Fiifi Aidoo.,33,66
9:46,2344,Spencer Franklin made Layup.,35,66
9:23,2253,Gerard Martin missed Three Point Jumper.,35,66
9:23,2253,Matt Jackson Offensive Rebound.,35,66
9:06,2253,Matt Jackson missed Jumper.,35,66
9:06,2344,Spencer Franklin Defensive Rebound.,35,66
8:55,2344,B.K. Ashe Turnover.,35,66
8:53,2253,Shaq Carr Steal.,35,66
8:51,2253,Fiifi Aidoo made Dunk. Assisted by Shaq Carr.,35,68
8:18,2344,JaShaun Smith made Layup.,37,68
8:00,2253,Matt Jackson made Layup. Assisted by Shaq Carr.,37,70
7:46,2253,Foul on Roberts Blumbergs.,37,70
7:46,2253,Official TV Timeout,37,70
7:43,2344,Damarion Geter missed Layup.,37,70
7:43,2253,Roberts Blumbergs Defensive Rebound.,37,70
7:22,2344,Foul on Spencer Franklin.,37,70
7:22,2253,Roberts Blumbergs missed Free Throw.,37,70
7:22,2253,Grand Canyon Deadball Team Rebound.,37,70
7:22,2253,Roberts Blumbergs made Free Throw.,37,71
7:06,2253,Foul on Shaq Carr.,37,71
7:01,2253,Foul on Alessandro Lever.,37,71
7:01,2344,Damarion Geter missed Free Throw.,37,71
7:01,2253,Alessandro Lever Defensive Rebound.,37,71
6:46,2253,Alessandro Lever missed Three Point Jumper.,37,71
6:46,2344,Damarion Geter Defensive Rebound.,37,71
6:31,2344,Kamil Chapman made Three Point Jumper. Assisted by Jordan Cintron.,40,71
6:17,2253,Roberts Blumbergs missed Layup.,40,71
6:17,2344,B.K. Ashe Defensive Rebound.,40,71
5:56,2344,Damarion Geter made Layup. Assisted by B.K. Ashe.,42,71
5:56,2253,Foul on Alessandro Lever.,42,71
5:56,2344,Damarion Geter made Free Throw.,43,71
5:36,2253,Alessandro Lever made Layup.,43,73
5:17,2344,B.K. Ashe missed Three Point Jumper.,43,73
5:17,2253,Roberts Blumbergs Defensive Rebound.,43,73
5:08,2253,Fiifi Aidoo made Layup.,43,75
4:47,2344,Kamil Chapman made Three Point Jumper.,46,75
4:35,2253,Damari Milstead Turnover.,46,75
4:20,2344,Damarion Geter missed Three Point Jumper.,46,75
4:20,2253,Roberts Blumbergs Defensive Rebound.,46,75
4:12,2253,Roberts Blumbergs missed Three Point Jumper.,46,75
4:12,2344,B.K. Ashe Defensive Rebound.,46,75
3:56,2344,JaShaun Smith missed Three Point Jumper.,46,75
3:56,2253,Alessandro Lever Defensive Rebound.,46,75
3:36,2253,Roberts Blumbergs Turnover.,46,75
3:35,2344,Damarion Geter Steal.,46,75
3:29,2344,B.K. Ashe missed Layup.,46,75
3:29,2344,Spencer Franklin Offensive Rebound.,46,75
3:26,2344,Spencer Franklin missed Layup.,46,75
3:26,2253,Kerwin Smith Block.,46,75
3:26,2253,Shaq Carr Defensive Rebound.,46,75
3:20,2253,Damari Milstead made Three Point Jumper. Assisted by Shaq Carr.,46,78
3:01,2344,JaShaun Smith made Layup.,48,78
2:40,2253,Kerwin Smith made Layup.,48,80
2:24,2344,Kamil Chapman missed Layup.,48,80
2:24,2253,Shaq Carr Block.,48,80
2:24,2253,Alessandro Lever Defensive Rebound.,48,80
2:14,2253,Alessandro Lever missed Three Point Jumper.,48,80
2:14,2344,Damarion Geter Defensive Rebound.,48,80
2:09,2253,Foul on Shaq Carr.,48,80
2:09,2253,Official TV Timeout,48,80
2:09,2344,B.K. Ashe made Free Throw.,49,80
2:09,2344,B.K. Ashe missed Free Throw.,49,80
2:09,2253,Ibrahima Sankare Defensive Rebound.,49,80
1:52,2253,Damari Milstead Turnover.,49,80
1:40,2344,Kamil Chapman missed Three Point Jumper.,49,80
1:40,2344,Chris Shields Offensive Rebound.,49,80
1:34,2344,Chris Shields made Layup.,51,80
1:26,2253,Nehemiah Allen missed Three Point Jumper.,51,80
1:26,2253,Kerwin Smith Offensive Rebound.,51,80
1:22,2253,Kerwin Smith made Dunk.,51,82
1:06,2253,Foul on Cheick Sy-Savane.,51,82
1:06,2344,Kamil Chapman made Free Throw.,52,82
1:06,2344,Kamil Chapman made Free Throw.,53,82
0:58,2344,Foul on Dominic Ezeani.,53,82
0:58,2253,Damari Milstead made Free Throw.,53,83
0:58,2253,Damari Milstead made Free Throw.,53,84
0:45,2344,Spencer Franklin missed Layup.,53,84
0:45,2253,Kerwin Smith Block.,53,84
0:45,2344,Spencer Franklin Offensive Rebound.,53,84
0:41,2344,Spencer Franklin missed Layup.,53,84
0:41,2344,Spencer Franklin Offensive Rebound.,53,84
0:38,2253,Foul on Nehemiah Allen.,53,84
0:38,2344,Spencer Franklin missed Free Throw.,53,84
0:38,2344,Longwood Deadball Team Rebound.,53,84
0:38,2344,Spencer Franklin made Free Throw.,54,84
0:19,2253,Nehemiah Allen made Layup. Assisted by Kerwin Smith.,54,86
0:04,2344,Dominic Ezeani made Layup. Assisted by Kamil Chapman.,56,86
0:00,2253,End of 2nd half,56,86
