Piedmont,Error,Presbyterian,2506
6:26,2506,Reggie Dillard missed Jumper.,19,27
6:26,-1,Elijah Alston Defensive Rebound.,19,27
5:54,-1,Michael Joseph made Jumper.,21,27
5:32,-1,Foul on Michael Joseph.,21,27
5:30,2506,Reggie Dillard made Three Point Jumper. Assisted by Francois Lewis.,21,30
5:18,-1,Foul on Michael Joseph.,21,30
5:18,-1,Michael Joseph Turnover.,21,30
5:08,-1,Foul on Michael Joseph.,21,30
5:08,2506,Francois Lewis made Free Throw.,21,31
5:08,2506,Francois Lewis made Free Throw.,21,32
4:49,-1,Elijah Alston made Layup. Assisted by Landry Assinesi.,23,32
4:31,2506,Armel TeTe Turnover.,23,32
4:29,-1,Jordan Foote Steal.,23,32
4:24,-1,Justin Vallejo missed Three Point Jumper.,23,32
4:24,-1,Elijah Alston Offensive Rebound.,23,32
4:18,-1,Jordan Foote missed Jumper.,23,32
4:18,2506,Reggie Dillard Defensive Rebound.,23,32
4:08,2506,Reggie Dillard missed Jumper.,23,32
4:08,-1,Elijah Alston Defensive Rebound.,23,32
3:46,-1,Jordan Foote Turnover.,23,32
3:46,2506,Official TV Timeout,23,32
3:31,2506,Armel TeTe made Layup. Assisted by Reggie Dillard.,23,34
3:15,-1,Taylor Mills missed Layup.,23,34
3:15,2506,Armel TeTe Defensive Rebound.,23,34
2:54,2506,JC Younger made Three Point Jumper. Assisted by Davon Bell.,23,37
2:38,-1,Elijah Alston made Three Point Jumper. Assisted by Justin Vallejo.,26,37
2:36,-1,Piedmont (GA)  Timeout,26,37
2:20,2506,JC Younger made Three Point Jumper. Assisted by Davon Bell.,26,40
1:52,-1,Elijah Alston missed Three Point Jumper.,26,40
1:52,2506,Davon Bell Defensive Rebound.,26,40
1:32,2506,Armel TeTe made Layup. Assisted by Davon Bell.,26,42
1:13,-1,Justin Vallejo missed Layup.,26,42
1:13,-1,Justin Vallejo Offensive Rebound.,26,42
1:11,2506,Foul on Armel TeTe.,26,42
1:11,-1,Justin Vallejo made Free Throw.,27,42
1:11,-1,Justin Vallejo made Free Throw.,28,42
0:56,2506,Reggie Dillard missed Jumper.,28,42
0:56,2506,JC Younger Offensive Rebound.,28,42
0:54,2506,JC Younger missed Layup.,28,42
0:54,-1,Justin Vallejo Block.,28,42
0:51,-1,Taylor Mills Defensive Rebound.,28,42
0:47,-1,Landry Assinesi made Jumper.,30,42
0:17,2506,Reggie Dillard missed Layup.,30,42
0:17,2506,Presbyterian Offensive Rebound.,30,42
0:16,2506,Reggie Dillard made Three Point Jumper. Assisted by Francois Lewis.,30,45
0:05,-1,Elijah Alston made Three Point Jumper. Assisted by Landry Assinesi.,33,45
0:00,2506,End of 1st half,33,45
19:43,2506,Foul on JC Younger.,33,45
19:43,-1,Taylor Mills made Free Throw.,34,45
19:43,-1,Taylor Mills made Free Throw.,35,45
19:31,2506,Davon Bell missed Three Point Jumper.,35,45
19:31,-1,Taylor Mills Defensive Rebound.,35,45
19:13,-1,Elijah Alston missed Jumper.,35,45
19:13,-1,Elijah Alston Offensive Rebound.,35,45
19:08,-1,Elijah Alston Turnover.,35,45
19:07,2506,Francois Lewis Steal.,35,45
19:02,2506,Davon Bell made Layup.,35,47
18:47,-1,Marquise Lanier missed Three Point Jumper.,35,47
18:47,2506,JC Younger Defensive Rebound.,35,47
18:34,2506,Francois Lewis missed Jumper.,35,47
18:34,-1,Justin Vallejo Defensive Rebound.,35,47
18:19,-1,Taylor Mills made Jumper. Assisted by Marquise Lanier.,37,47
17:54,-1,Foul on Marquise Lanier.,37,47
17:54,2506,Reggie Dillard made Free Throw.,37,48
17:54,2506,Reggie Dillard missed Free Throw.,37,48
17:54,-1,Piedmont (GA) Defensive Rebound.,37,48
17:42,-1,Elijah Alston made Jumper.,39,48
17:42,2506,Foul on Francois Lewis.,39,48
17:42,-1,Elijah Alston made Free Throw.,40,48
17:29,2506,JC Younger missed Layup.,40,48
17:29,-1,Elijah Alston Block.,40,48
17:29,-1,Piedmont (GA) Defensive Rebound.,40,48
17:22,-1,Justin Vallejo missed Jumper.,40,48
17:22,-1,Elijah Alston Offensive Rebound.,40,48
17:17,-1,Elijah Alston missed Layup.,40,48
17:17,-1,Marquise Lanier Offensive Rebound.,40,48
17:12,-1,Justin Vallejo missed Three Point Jumper.,40,48
17:12,2506,Reggie Dillard Defensive Rebound.,40,48
17:02,2506,Davon Bell Turnover.,40,48
17:00,-1,Taylor Mills Steal.,40,48
16:58,2506,Foul on Reggie Dillard.,40,48
16:56,-1,Taylor Mills made Layup. Assisted by Landry Assinesi.,42,48
16:51,2506,Presbyterian  Timeout,42,48
16:28,2506,JC Younger missed Jumper.,42,48
16:28,-1,Elijah Alston Defensive Rebound.,42,48
16:18,-1,Taylor Mills missed Layup.,42,48
16:18,2506,Ethan Kay Defensive Rebound.,42,48
16:13,2506,Ethan Kay missed Three Point Jumper.,42,48
16:13,2506,JC Younger Offensive Rebound.,42,48
16:09,2506,JC Younger missed Three Point Jumper.,42,48
16:09,-1,Landry Assinesi Defensive Rebound.,42,48
15:55,-1,Elijah Alston missed Jumper.,42,48
15:55,2506,Armel TeTe Defensive Rebound.,42,48
15:46,2506,Davon Bell made Layup.,42,50
15:22,-1,Justin Vallejo missed Layup.,42,50
15:22,-1,Elijah Alston Offensive Rebound.,42,50
15:22,-1,Foul on Elijah Alston.,42,50
15:22,-1,Elijah Alston Turnover.,42,50
15:22,2506,Official TV Timeout,42,50
15:08,2506,Reggie Dillard missed Three Point Jumper.,42,50
15:08,-1,Justin Vallejo Defensive Rebound.,42,50
14:43,2506,Foul on Davon Bell.,42,50
14:33,-1,Elijah Alston made Jumper.,44,50
14:12,2506,Foul on Jaron Withers.,44,50
14:12,2506,Jaron Withers Turnover.,44,50
13:48,-1,Marquise Lanier missed Jumper.,44,50
13:48,2506,Reggie Dillard Defensive Rebound.,44,50
13:38,-1,Foul on Justin Vallejo.,44,50
13:36,2506,Jaron Withers Turnover.,44,50
13:24,2506,Foul on Davon Bell.,44,50
13:22,-1,Marquise Lanier made Three Point Jumper. Assisted by Landry Assinesi.,47,50
12:56,2506,Reggie Dillard made Layup.,47,52
12:56,-1,Foul on Justin Vallejo.,47,52
12:56,2506,Reggie Dillard made Free Throw.,47,53
12:46,-1,Elijah Alston made Jumper.,49,53
12:45,-1,Piedmont (GA)  Timeout,49,53
12:36,2506,Reggie Dillard made Layup. Assisted by Romeo Crouch.,49,55
12:20,-1,Justin Vallejo Turnover.,49,55
12:08,2506,Reggie Dillard Turnover.,49,55
12:07,-1,Elijah Alston Steal.,49,55
11:47,-1,Landry Assinesi made Jumper.,51,55
11:29,2506,Francois Lewis made Jumper. Assisted by Reggie Dillard.,51,57
11:29,-1,Foul on Justin Vallejo.,51,57
11:29,2506,Official TV Timeout,51,57
11:29,2506,Francois Lewis missed Free Throw.,51,57
11:29,2506,Reggie Dillard Offensive Rebound.,51,57
11:29,2506,Francois Lewis made Layup. Assisted by Reggie Dillard.,51,59
11:29,-1,Elijah Alston Turnover.,51,59
11:29,2506,Francois Lewis Steal.,51,59
11:25,-1,Foul on Marquise Lanier.,51,59
11:01,2506,Reggie Dillard made Jumper. Assisted by Francois Lewis.,51,61
10:46,-1,Marquise Lanier missed Jumper.,51,61
10:46,-1,Elijah Alston Offensive Rebound.,51,61
10:45,2506,Foul on Reggie Dillard.,51,61
10:45,-1,Elijah Alston missed Free Throw.,51,61
10:45,2506,Presbyterian Defensive Rebound.,51,61
10:31,2506,Francois Lewis made Layup. Assisted by Reggie Dillard.,51,63
10:02,-1,Justin Vallejo missed Three Point Jumper.,51,63
10:02,2506,Jaron Withers Defensive Rebound.,51,63
9:53,2506,Ethan Kay missed Three Point Jumper.,51,63
9:53,-1,Jordan Foote Defensive Rebound.,51,63
9:45,-1,Elijah Alston made Three Point Jumper. Assisted by Landry Assinesi.,54,63
9:21,2506,Reggie Dillard made Three Point Jumper. Assisted by Jaron Withers.,54,66
9:06,-1,Elijah Alston missed Three Point Jumper.,54,66
9:06,2506,Jaron Withers Defensive Rebound.,54,66
8:44,2506,Ethan Kay made Three Point Jumper. Assisted by Francois Lewis.,54,69
8:27,-1,Justin Vallejo Turnover.,54,69
8:26,2506,Ethan Kay Steal.,54,69
8:01,2506,Ethan Kay missed Three Point Jumper.,54,69
8:01,2506,Romeo Crouch Offensive Rebound.,54,69
7:37,2506,Romeo Crouch missed Jumper.,54,69
7:37,-1,Elijah Alston Defensive Rebound.,54,69
7:26,-1,Jordan Foote missed Layup.,54,69
7:26,2506,Jaron Withers Defensive Rebound.,54,69
7:19,2506,JC Younger missed Three Point Jumper.,54,69
7:19,-1,Miles Riley Defensive Rebound.,54,69
7:09,-1,Justin Vallejo missed Layup.,54,69
7:09,2506,Armel TeTe Block.,54,69
7:07,2506,Jaron Withers Defensive Rebound.,54,69
7:03,2506,Romeo Crouch missed Layup.,54,69
7:03,-1,Justin Vallejo Defensive Rebound.,54,69
6:54,-1,Piedmont (GA)  Timeout,54,69
6:48,-1,Miles Riley missed Layup.,54,69
6:48,2506,Armel TeTe Defensive Rebound.,54,69
6:43,2506,Reggie Dillard missed Three Point Jumper.,54,69
6:43,-1,Nick Ryan Defensive Rebound.,54,69
6:26,-1,Miles Riley missed Jumper.,54,69
6:26,-1,Nick Ryan Offensive Rebound.,54,69
6:22,-1,Jordan Foote missed Three Point Jumper.,54,69
6:22,-1,Miles Riley Offensive Rebound.,54,69
6:17,2506,Foul on Davon Bell.,54,69
6:17,-1,Miles Riley made Free Throw.,55,69
6:17,-1,Miles Riley made Free Throw.,56,69
5:56,-1,Foul on Taylor Mills.,56,69
5:56,2506,Reggie Dillard made Free Throw.,56,70
5:56,2506,Reggie Dillard made Free Throw.,56,71
5:52,-1,Taylor Mills missed Jumper.,56,71
5:52,2506,Romeo Crouch Defensive Rebound.,56,71
5:46,-1,Foul on Miles Riley.,56,71
5:39,2506,Romeo Crouch made Free Throw.,56,72
5:39,2506,Romeo Crouch missed Free Throw.,56,72
5:39,2506,Reggie Dillard Offensive Rebound.,56,72
5:24,2506,Ethan Kay missed Jumper.,56,72
5:24,-1,Taylor Mills Defensive Rebound.,56,72
5:16,-1,Foul on Nick Ryan.,56,72
5:03,2506,JC Younger made Jumper.,56,74
4:49,-1,Nick Ryan missed Jumper.,56,74
4:49,2506,Reggie Dillard Defensive Rebound.,56,74
4:35,2506,Ethan Kay missed Three Point Jumper.,56,74
4:35,-1,Nick Ryan Defensive Rebound.,56,74
4:15,-1,Landry Assinesi missed Three Point Jumper.,56,74
4:15,2506,Presbyterian Defensive Rebound.,56,74
4:01,2506,JC Younger missed Layup.,56,74
4:01,-1,Josh Randolph Defensive Rebound.,56,74
3:54,-1,Landry Assinesi made Layup.,58,74
3:21,2506,Reggie Dillard missed Three Point Jumper.,58,74
3:21,2506,JC Younger Offensive Rebound.,58,74
3:00,2506,Ethan Kay missed Jumper.,58,74
3:00,-1,Landry Assinesi Defensive Rebound.,58,74
2:48,-1,Landry Assinesi made Jumper.,60,74
2:37,2506,Romeo Crouch Turnover.,60,74
2:37,2506,Official TV Timeout,60,74
2:33,-1,Miles Riley Turnover.,60,74
2:32,2506,Romeo Crouch Steal.,60,74
2:15,2506,Ethan Kay Turnover.,60,74
2:14,-1,Nick Ryan Steal.,60,74
2:08,-1,Landry Assinesi missed Jumper.,60,74
2:08,-1,Josh Randolph Offensive Rebound.,60,74
2:04,-1,Josh Randolph missed Jumper.,60,74
2:04,-1,Miles Riley Offensive Rebound.,60,74
1:56,-1,Miles Riley missed Jumper.,60,74
1:56,2506,Francois Lewis Defensive Rebound.,60,74
1:27,2506,Francois Lewis made Jumper. Assisted by Ethan Kay.,60,76
1:10,-1,Landry Assinesi Turnover.,60,76
1:09,2506,Davon Bell Steal.,60,76
1:05,-1,Foul on Miles Riley.,60,76
1:05,2506,Davon Bell missed Free Throw.,60,76
1:05,2506,Presbyterian Deadball Team Rebound.,60,76
1:05,2506,Davon Bell made Free Throw.,60,77
1:05,2506,Presbyterian  Timeout,60,77
0:57,-1,Marquise Lanier missed Three Point Jumper.,60,77
0:57,2506,JC Younger Defensive Rebound.,60,77
0:20,2506,Romeo Crouch missed Jumper.,60,77
0:20,2506,JC Younger Offensive Rebound.,60,77
0:17,2506,JC Younger missed Layup.,60,77
0:17,-1,Marquise Lanier Defensive Rebound.,60,77
0:05,-1,Marquise Lanier missed Layup.,60,77
0:05,2506,Jaron Withers Defensive Rebound.,60,77
0:00,2506,End of Game,60,77
