Arlington Baptist,Error,Stephen F. Austin,2617
15:17,-1,Kennedy Jones made Layup. Assisted by Kel Wallace.,6,14
15:06,2617,Ivan Canete missed Three Point Jumper.,6,14
15:06,-1,Quinton Moore Defensive Rebound.,6,14
14:58,-1,Kennedy Jones made Layup. Assisted by Quinton Moore.,8,14
14:43,2617,TJ Holyfield made Layup. Assisted by Shannon Bogues.,8,16
14:22,-1,Kel Wallace made Layup. Assisted by Kennedy Jones.,10,16
14:10,2617,Shannon Bogues missed Jumper.,10,16
14:10,-1,Kennedy Jones Defensive Rebound.,10,16
13:48,-1,Kel Wallace missed Jumper.,10,16
13:48,2617,Leon Gilmore III Defensive Rebound.,10,16
13:39,2617,TJ Holyfield made Layup. Assisted by Ivan Canete.,10,18
13:20,-1,Quinton Moore missed Three Point Jumper.,10,18
13:20,2617,Ivan Canete Defensive Rebound.,10,18
13:12,2617,John Comeaux made Layup. Assisted by Ivan Canete.,10,20
13:01,2617,Foul on John Comeaux.,10,20
13:01,2617,Official TV Timeout,10,20
12:43,-1,Eric Wood made Jumper.,12,20
12:31,2617,Shannon Bogues made Dunk.,12,22
12:11,2617,Foul on Jovan Grujic.,12,22
12:00,-1,Quinton Moore missed Three Point Jumper.,12,22
12:00,2617,Shannon Bogues Defensive Rebound.,12,22
11:49,2617,Foul on Jovan Grujic.,12,22
11:49,2617,Jovan Grujic Turnover.,12,22
11:49,2617,Official TV Timeout,12,22
11:36,-1,Markel Semien Turnover.,12,22
11:20,2617,Stefon Fisher missed Layup.,12,22
11:20,-1,Eric Wood Defensive Rebound.,12,22
11:13,-1,Eric Wood missed Layup.,12,22
11:13,-1,Arlington Baptist Offensive Rebound.,12,22
11:07,-1,Eric Wood missed Three Point Jumper.,12,22
11:07,2617,Ty Charles Defensive Rebound.,12,22
10:48,2617,Stefon Fisher missed Jumper.,12,22
10:48,-1,Markel Semien Defensive Rebound.,12,22
10:40,-1,Markel Semien made Three Point Jumper.,15,22
10:26,2617,Shannon Bogues missed Three Point Jumper.,15,22
10:26,-1,Kel Wallace Defensive Rebound.,15,22
10:09,-1,Quinton Moore made Layup.,17,22
10:07,2617,Stephen F. Austin  Timeout,17,22
9:55,2617,Aaron Augustin made Three Point Jumper. Assisted by TJ Holyfield.,17,25
9:36,-1,Markel Semien made Three Point Jumper. Assisted by Quinton Moore.,20,25
9:10,2617,TJ Holyfield missed Layup.,20,25
9:10,2617,TJ Holyfield Offensive Rebound.,20,25
9:06,2617,TJ Holyfield missed Layup.,20,25
9:06,2617,TJ Holyfield Offensive Rebound.,20,25
9:04,2617,TJ Holyfield missed Layup.,20,25
9:04,2617,TJ Holyfield Offensive Rebound.,20,25
9:01,2617,TJ Holyfield made Layup.,20,27
8:47,-1,Quinton Moore missed Layup.,20,27
8:47,2617,TJ Holyfield Block.,20,27
8:44,2617,TJ Holyfield Defensive Rebound.,20,27
8:38,2617,Shannon Bogues made Jumper. Assisted by Aaron Augustin.,20,29
8:18,-1,Kennedy Jones missed Jumper.,20,29
8:18,2617,Leon Gilmore III Defensive Rebound.,20,29
7:59,2617,Leon Gilmore III Turnover.,20,29
7:57,-1,Jashun Petite Steal.,20,29
7:51,-1,Markel Semien missed Jumper.,20,29
7:51,2617,Leon Gilmore III Defensive Rebound.,20,29
7:42,-1,Foul on Quinton Moore.,20,29
7:42,2617,Official TV Timeout,20,29
7:42,2617,TJ Holyfield missed Free Throw.,20,29
7:42,2617,Stephen F. Austin Deadball Team Rebound.,20,29
7:42,2617,TJ Holyfield made Free Throw.,20,30
7:28,-1,Jashun Petite made Layup.,22,30
7:28,2617,Foul on Nathan Bain.,22,30
7:28,-1,Jashun Petite made Free Throw.,23,30
7:10,2617,Kevon Harris missed Three Point Jumper.,23,30
7:10,2617,TJ Holyfield Offensive Rebound.,23,30
7:01,2617,Kevon Harris made Layup.,23,32
7:01,-1,Foul on Jashun Petite.,23,32
7:01,2617,Kevon Harris made Free Throw.,23,33
6:42,-1,Kennedy Jones missed Jumper.,23,33
6:42,2617,Leon Gilmore III Defensive Rebound.,23,33
6:26,2617,TJ Holyfield made Layup. Assisted by Leon Gilmore III.,23,35
6:11,-1,Quinton Moore made Jumper.,25,35
5:41,2617,Kevon Harris made Three Point Jumper. Assisted by TJ Holyfield.,25,38
5:20,-1,Quinton Moore Turnover.,25,38
5:20,2617,Nathan Bain Steal.,25,38
5:20,-1,Foul on Quinton Moore.,25,38
4:54,2617,Kevon Harris missed Layup.,25,38
4:54,2617,Kevon Harris Offensive Rebound.,25,38
4:51,2617,Kevon Harris made Dunk.,25,40
4:30,-1,Jashun Petite missed Layup.,25,40
4:30,2617,Leon Gilmore III Defensive Rebound.,25,40
4:14,2617,Ivan Canete made Three Point Jumper. Assisted by Kevon Harris.,25,43
4:00,2617,Foul on Leon Gilmore III.,25,43
4:00,2617,Official TV Timeout,25,43
3:58,-1,Eric Wood missed Jumper.,25,43
3:58,2617,TJ Holyfield Defensive Rebound.,25,43
3:48,2617,Samuli Nieminen made Layup. Assisted by Ivan Canete.,25,45
3:29,-1,Markel Semien missed Layup.,25,45
3:29,2617,TJ Holyfield Block.,25,45
3:28,2617,John Comeaux Defensive Rebound.,25,45
3:24,2617,John Comeaux made Layup.,25,47
3:02,-1,Eric Wood Turnover.,25,47
2:56,2617,John Comeaux Turnover.,25,47
2:43,-1,Jashun Petite Turnover.,25,47
2:42,2617,Kevon Harris Steal.,25,47
2:41,2617,Kevon Harris made Layup.,25,49
2:26,-1,Jashun Petite Turnover.,25,49
2:13,2617,Kevon Harris made Three Point Jumper. Assisted by Shannon Bogues.,25,52
1:52,2617,Foul on Kevon Harris.,25,52
1:52,-1,Kel Wallace made Free Throw.,26,52
1:52,-1,Kel Wallace made Free Throw.,27,52
1:46,2617,John Comeaux made Layup.,27,54
1:34,-1,Markel Semien Turnover.,27,54
1:25,-1,Foul on Kel Wallace.,27,54
1:20,2617,Shannon Bogues missed Jumper.,27,54
1:20,-1,Markel Semien Defensive Rebound.,27,54
1:09,-1,Kennedy Jones made Layup. Assisted by Markel Semien.,29,54
0:59,2617,Aaron Augustin missed Three Point Jumper.,29,54
0:59,2617,Kevon Harris Offensive Rebound.,29,54
0:55,2617,Kevon Harris made Three Point Jumper.,29,57
0:44,-1,Kennedy Jones made Jumper. Assisted by Markel Semien.,31,57
0:33,2617,TJ Holyfield missed Jumper.,31,57
0:33,-1,Kennedy Jones Defensive Rebound.,31,57
0:32,2617,Foul on TJ Holyfield.,31,57
0:31,-1,Kennedy Jones missed Free Throw.,31,57
0:31,-1,Kel Wallace Offensive Rebound.,31,57
0:24,-1,Eric Wood missed Jumper.,31,57
0:24,2617,Aaron Augustin Defensive Rebound.,31,57
0:00,2617,Ty Charles made Three Point Jumper. Assisted by Kevon Harris.,31,60
0:00,2617,End of 1st half,31,60
19:45,-1,Eric Wood Turnover.,31,60
19:29,2617,Leon Gilmore III made Layup. Assisted by Aaron Augustin.,31,62
19:15,-1,Markel Semien Turnover.,31,62
19:14,2617,Kevon Harris Steal.,31,62
19:11,2617,Leon Gilmore III made Layup. Assisted by Kevon Harris.,31,64
18:56,-1,Eric Wood Turnover.,31,64
18:54,2617,Leon Gilmore III Steal.,31,64
18:51,2617,Kevon Harris made Dunk. Assisted by Ivan Canete.,31,66
18:47,-1,Arlington Baptist  Timeout,31,66
18:47,-1,Arlington Baptist  Turnover.,31,66
18:45,2617,Ivan Canete missed Three Point Jumper.,31,66
18:45,2617,TJ Holyfield Offensive Rebound.,31,66
18:28,2617,TJ Holyfield Turnover.,31,66
18:26,-1,Quinton Moore Steal.,31,66
18:23,-1,Kel Wallace missed Layup.,31,66
18:23,2617,TJ Holyfield Defensive Rebound.,31,66
18:17,2617,Kevon Harris made Dunk. Assisted by Leon Gilmore III.,31,68
17:57,-1,Quinton Moore made Jumper.,33,68
17:44,2617,Aaron Augustin Turnover.,33,68
17:43,-1,Kel Wallace Steal.,33,68
17:40,-1,Kel Wallace made Layup.,35,68
17:24,2617,Kevon Harris made Three Point Jumper.,35,71
17:15,-1,Quinton Moore Turnover.,35,71
17:14,2617,Ivan Canete Steal.,35,71
17:10,2617,Kevon Harris missed Three Point Jumper.,35,71
17:10,-1,Arlington Baptist Defensive Rebound.,35,71
17:06,2617,Foul on TJ Holyfield.,35,71
16:54,-1,Quinton Moore missed Jumper.,35,71
16:54,2617,Kevon Harris Defensive Rebound.,35,71
16:37,2617,Foul on Kevon Harris.,35,71
16:37,2617,Kevon Harris Turnover.,35,71
16:26,-1,Eric Wood missed Three Point Jumper.,35,71
16:26,2617,Leon Gilmore III Defensive Rebound.,35,71
16:18,2617,Kevon Harris made Dunk. Assisted by Ivan Canete.,35,73
16:12,-1,Quinton Moore Turnover.,35,73
16:10,2617,Aaron Augustin Steal.,35,73
16:01,2617,TJ Holyfield made Dunk.,35,75
15:47,-1,Jashun Petite Turnover.,35,75
15:46,2617,Official TV Timeout,35,75
15:23,2617,Samuli Nieminen Turnover.,35,75
15:21,-1,Quinton Moore Steal.,35,75
15:16,-1,Quinton Moore Turnover.,35,75
15:14,2617,Ty Charles Steal.,35,75
15:11,-1,Foul on Markel Semien.,35,75
15:11,2617,Kevon Harris missed Free Throw.,35,75
15:11,2617,Stephen F. Austin Deadball Team Rebound.,35,75
15:11,2617,Kevon Harris made Free Throw.,35,76
15:00,2617,Foul on John Comeaux.,35,76
14:53,-1,Kel Wallace missed Jumper.,35,76
14:53,2617,Nathan Bain Defensive Rebound.,35,76
14:43,2617,Shannon Bogues made Jumper.,35,78
14:29,2617,Foul on John Comeaux.,35,78
14:18,-1,Quinton Moore made Three Point Jumper. Assisted by Markel Semien.,38,78
14:10,2617,John Comeaux made Layup.,38,80
13:59,-1,Markel Semien missed Jumper.,38,80
13:59,2617,Ty Charles Block.,38,80
13:57,2617,Nathan Bain Defensive Rebound.,38,80
13:54,-1,Foul on Quinton Moore.,38,80
13:54,2617,Ty Charles made Free Throw.,38,81
13:54,2617,Ty Charles made Free Throw.,38,82
13:42,-1,Eric Wood missed Three Point Jumper.,38,82
13:42,-1,Kennedy Jones Offensive Rebound.,38,82
13:35,-1,Kennedy Jones missed Jumper.,38,82
13:35,2617,Ty Charles Defensive Rebound.,38,82
13:27,2617,Samuli Nieminen Turnover.,38,82
13:25,-1,Quinton Moore Steal.,38,82
13:23,2617,Foul on Aaron Augustin.,38,82
13:23,-1,Markel Semien made Free Throw.,39,82
13:23,-1,Markel Semien made Free Throw.,40,82
13:11,2617,Ty Charles made Jumper.,40,84
12:46,-1,Kennedy Jones made Layup. Assisted by Markel Semien.,42,84
12:34,2617,Samuli Nieminen made Layup. Assisted by Aaron Augustin.,42,86
12:16,-1,Markel Semien missed Three Point Jumper.,42,86
12:16,2617,Aaron Augustin Defensive Rebound.,42,86
11:59,2617,Shannon Bogues made Layup.,42,88
11:42,-1,Jashun Petite missed Layup.,42,88
11:42,2617,Nathan Bain Block.,42,88
11:42,-1,Arlington Baptist Offensive Rebound.,42,88
11:41,2617,Official TV Timeout,42,88
11:38,-1,Quinton Moore missed Three Point Jumper.,42,88
11:38,-1,Jashun Petite Offensive Rebound.,42,88
11:32,-1,Jashun Petite made Dunk.,44,88
11:18,2617,Jovan Grujic missed Jumper.,44,88
11:18,-1,Arlington Baptist Defensive Rebound.,44,88
11:03,-1,Eric Wood missed Jumper.,44,88
11:03,2617,Shannon Bogues Defensive Rebound.,44,88
10:51,2617,Nathan Bain made Layup. Assisted by Aaron Augustin.,44,90
10:37,-1,Quinton Moore made Layup.,46,90
10:05,2617,Aaron Augustin missed Layup.,46,90
10:05,-1,Kel Wallace Defensive Rebound.,46,90
9:57,-1,Eric Wood made Jumper.,48,90
9:40,2617,Ty Charles made Jumper.,48,92
9:26,-1,Jashun Petite Turnover.,48,92
9:07,2617,Ty Charles made Three Point Jumper. Assisted by Ivan Canete.,48,95
8:48,2617,Foul on Ivan Canete.,48,95
8:44,2617,Foul on Ivan Canete.,48,95
8:44,-1,Quinton Moore missed Free Throw.,48,95
8:44,2617,Ty Charles Defensive Rebound.,48,95
8:32,2617,Nathan Bain made Jumper.,48,97
8:19,2617,Foul on Ivan Canete.,48,97
8:19,-1,Quinton Moore made Free Throw.,49,97
8:19,-1,Quinton Moore made Free Throw.,50,97
8:09,2617,Foul on Nathan Bain.,50,97
8:08,2617,Nathan Bain Turnover.,50,97
7:58,-1,Quinton Moore made Jumper.,52,97
7:39,2617,Shannon Bogues missed Three Point Jumper.,52,97
7:39,2617,Stefon Fisher Offensive Rebound.,52,97
7:35,2617,Stefon Fisher made Layup.,52,99
7:27,-1,Eric Wood missed Three Point Jumper.,52,99
7:27,-1,Kel Wallace Offensive Rebound.,52,99
7:22,-1,Kennedy Jones made Jumper. Assisted by Kel Wallace.,54,99
7:01,2617,Shannon Bogues missed Jumper.,54,99
7:01,-1,Kel Wallace Block.,54,99
7:01,2617,Stephen F. Austin Offensive Rebound.,54,99
7:01,2617,Official TV Timeout,54,99
6:59,2617,Shannon Bogues missed Jumper.,54,99
6:59,-1,Kel Wallace Defensive Rebound.,54,99
6:44,-1,Kennedy Jones missed Jumper.,54,99
6:44,2617,Stefon Fisher Block.,54,99
6:42,2617,Ivan Canete Defensive Rebound.,54,99
6:38,2617,Shannon Bogues made Dunk. Assisted by Ivan Canete.,54,101
6:15,-1,Kel Wallace missed Layup.,54,101
6:15,-1,Kel Wallace Offensive Rebound.,54,101
6:12,-1,Kel Wallace missed Layup.,54,101
6:12,2617,Stefon Fisher Defensive Rebound.,54,101
6:07,2617,Nathan Bain made Dunk. Assisted by Ivan Canete.,54,103
5:50,-1,Quinton Moore Turnover.,54,103
5:49,2617,Ty Charles Steal.,54,103
5:43,2617,Ivan Canete made Jumper. Assisted by Ty Charles.,54,105
5:24,-1,Quinton Moore Turnover.,54,105
5:23,2617,Stefon Fisher Steal.,54,105
5:18,2617,Shannon Bogues made Jumper. Assisted by Ivan Canete.,54,107
5:18,-1,Foul on Kel Wallace.,54,107
5:18,2617,Shannon Bogues made Free Throw.,54,108
4:53,-1,Marvin Hall made Three Point Jumper.,57,108
4:29,2617,Ty Charles missed Three Point Jumper.,57,108
4:29,-1,Marvin Hall Defensive Rebound.,57,108
4:10,-1,Kel Wallace made Layup.,59,108
4:10,2617,Foul on Ivan Canete.,59,108
4:10,-1,Kel Wallace made Free Throw.,60,108
3:51,2617,Stefon Fisher made Jumper.,60,110
3:30,-1,Jashun Petite Turnover.,60,110
3:29,2617,Official TV Timeout,60,110
3:12,2617,Stefon Fisher missed Layup.,60,110
3:12,2617,Ty Charles Offensive Rebound.,60,110
3:08,2617,Ty Charles missed Layup.,60,110
3:08,-1,Kennedy Jones Defensive Rebound.,60,110
3:08,2617,Foul on Stefon Fisher.,60,110
3:08,-1,Kennedy Jones made Free Throw.,61,110
3:08,-1,Kennedy Jones made Free Throw.,62,110
2:55,2617,Shannon Bogues missed Layup.,62,110
2:55,2617,Stefon Fisher Offensive Rebound.,62,110
2:52,2617,Stefon Fisher made Layup.,62,112
2:34,-1,Markel Semien missed Layup.,62,112
2:34,2617,John Comeaux Block.,62,112
2:32,2617,John Comeaux Defensive Rebound.,62,112
2:25,2617,Ty Charles made Layup. Assisted by Kevon Harris.,62,114
2:08,-1,Kennedy Jones made Layup. Assisted by Donnell Johnson.,64,114
1:55,2617,Ty Charles missed Three Point Jumper.,64,114
1:55,2617,Kevon Harris Offensive Rebound.,64,114
1:43,2617,Ivan Canete Turnover.,64,114
1:41,-1,Andre Roman Steal.,64,114
1:37,-1,Kennedy Jones made Layup. Assisted by Andre Roman.,66,114
1:24,2617,Ivan Canete Turnover.,66,114
1:22,-1,Joey Gisbon Steal.,66,114
1:12,-1,Kennedy Jones missed Jumper.,66,114
1:12,2617,Ty Charles Defensive Rebound.,66,114
1:01,2617,Kevon Harris made Layup. Assisted by Ivan Canete.,66,116
0:42,-1,Joey Gisbon missed Three Point Jumper.,66,116
0:42,2617,Ty Charles Defensive Rebound.,66,116
0:18,2617,Kevon Harris missed Three Point Jumper.,66,116
0:18,-1,Arlington Baptist Defensive Rebound.,66,116
0:10,-1,Donnell Johnson missed Three Point Jumper.,66,116
0:10,2617,Kevon Harris Defensive Rebound.,66,116
0:00,2617,End of Game,66,116
