Delaware State,305,DePaul,2169
6:57,2169,Johquin Wiley missed Three Point Jumper.,9,26
6:57,305,Tre'Darius McCallum Defensive Rebound.,9,26
6:47,305,Marin Maric missed Layup.,9,26
6:47,2169,Kobe Gantz Defensive Rebound.,9,26
6:41,305,Foul on Tre'Darius McCallum.,9,26
6:41,2169,Kobe Gantz made Free Throw.,10,26
6:41,2169,Kobe Gantz made Free Throw.,11,26
6:29,305,Justin Roberts made Three Point Jumper. Assisted by Marin Maric.,11,29
5:57,2169,Artem Tavakalyan missed Three Point Jumper.,11,29
5:57,305,Eli Cain Defensive Rebound.,11,29
5:52,2169,Foul on Artem Tavakalyan.,11,29
5:52,305,Marin Maric made Free Throw.,11,30
5:52,305,Marin Maric made Free Throw.,11,31
5:42,2169,Kobe Gantz made Jumper.,13,31
5:18,305,Marin Maric Turnover.,13,31
4:38,305,Foul on Paul Reed.,13,31
4:38,2169,Daivon Gamble made Free Throw.,14,31
4:38,2169,Daivon Gamble missed Free Throw.,14,31
4:38,305,Paul Reed Defensive Rebound.,14,31
4:21,305,Jaylen Butz missed Layup.,14,31
4:21,2169,Daivon Gamble Block.,14,31
4:21,305,DePaul Offensive Rebound.,14,31
4:15,305,Justin Roberts missed Three Point Jumper.,14,31
4:15,2169,Daivon Gamble Defensive Rebound.,14,31
4:12,305,Foul on Paul Reed.,14,31
4:01,2169,Johquin Wiley made Jumper.,16,31
3:52,305,Eli Cain missed Jumper.,16,31
3:52,2169,Delaware State Defensive Rebound.,16,31
3:51,305,Official TV Timeout,16,31
3:37,2169,Saleik Edwards missed Layup.,16,31
3:37,305,Jaylen Butz Defensive Rebound.,16,31
3:32,305,Justin Roberts missed Jumper.,16,31
3:32,305,Jaylen Butz Offensive Rebound.,16,31
3:23,305,Paul Reed missed Jumper.,16,31
3:23,2169,Delaware State Defensive Rebound.,16,31
3:02,2169,Jonathan Mitchell missed Jumper.,16,31
3:02,2169,Kobe Gantz Offensive Rebound.,16,31
2:53,305,Foul on Jaylen Butz.,16,31
2:53,2169,Kobe Gantz missed Free Throw.,16,31
2:53,2169,Delaware State Deadball Team Rebound.,16,31
2:53,2169,Kobe Gantz made Free Throw.,17,31
2:47,305,Devin Gage missed Jumper.,17,31
2:47,2169,Kobe Gantz Defensive Rebound.,17,31
2:24,2169,Kobe Gantz Turnover.,17,31
2:08,305,Tre'Darius McCallum Turnover.,17,31
2:07,2169,Kobe Gantz Steal.,17,31
2:07,2169,Kobe Gantz Steal.,17,31
2:06,2169,Johquin Wiley made Layup.,19,31
1:47,305,Jaylen Butz missed Layup.,19,31
1:47,2169,Demola Onifade Block.,19,31
1:47,305,Jaylen Butz Offensive Rebound.,19,31
1:42,305,Jaylen Butz missed Layup.,19,31
1:42,2169,Demola Onifade Block.,19,31
1:42,305,DePaul Offensive Rebound.,19,31
1:40,305,Justin Roberts Turnover.,19,31
1:32,305,Foul on Brandon Cyrus.,19,31
1:32,2169,Kobe Gantz made Free Throw.,20,31
1:32,2169,Kobe Gantz made Free Throw.,21,31
1:21,305,Eli Cain made Jumper.,21,33
1:06,2169,Demola Onifade missed Jumper.,21,33
1:06,305,Max Strus Defensive Rebound.,21,33
0:58,305,Eli Cain missed Three Point Jumper.,21,33
0:58,305,DePaul Offensive Rebound.,21,33
0:51,305,Eli Cain missed Jumper.,21,33
0:51,2169,Delaware State Defensive Rebound.,21,33
0:36,2169,Foul on Johquin Wiley.,21,33
0:36,2169,Johquin Wiley Turnover.,21,33
0:36,305,DePaul  Timeout,21,33
0:18,2169,Foul on Johquin Wiley.,21,33
0:18,305,Devin Gage made Free Throw.,21,34
0:18,305,Devin Gage made Free Throw.,21,35
0:01,2169,Kobe Gantz missed Three Point Jumper.,21,35
0:01,2169,Jonathan Mitchell Offensive Rebound.,21,35
0:00,305,End of 1st half,21,35
19:38,305,Eli Cain missed Layup.,21,35
19:38,305,Max Strus Offensive Rebound.,21,35
19:35,2169,Foul on Simon Okolue.,21,35
19:29,2169,Foul on Simon Okolue.,21,35
19:29,305,Eli Cain made Free Throw.,21,36
19:29,305,Eli Cain made Free Throw.,21,37
19:16,2169,Artem Tavakalyan missed Jumper.,21,37
19:16,305,Max Strus Defensive Rebound.,21,37
19:05,305,Max Strus made Layup.,21,39
18:41,305,Foul on Eli Cain.,21,39
18:41,2169,Jonathan Mitchell missed Free Throw.,21,39
18:41,2169,Delaware State Deadball Team Rebound.,21,39
18:41,2169,Jonathan Mitchell missed Free Throw.,21,39
18:41,305,Tre'Darius McCallum Defensive Rebound.,21,39
18:37,305,Devin Gage made Layup.,21,41
18:25,2169,Delaware State  Timeout,21,41
18:13,305,Foul on Marin Maric.,21,41
18:13,2169,Artem Tavakalyan made Free Throw.,22,41
18:13,2169,Artem Tavakalyan made Free Throw.,23,41
18:02,305,Tre'Darius McCallum missed Three Point Jumper.,23,41
18:02,2169,Delaware State Defensive Rebound.,23,41
17:45,2169,Saleik Edwards missed Three Point Jumper.,23,41
17:45,2169,Simon Okolue Offensive Rebound.,23,41
17:39,2169,Saleik Edwards missed Jumper.,23,41
17:39,305,Devin Gage Defensive Rebound.,23,41
17:32,305,Eli Cain missed Layup.,23,41
17:32,2169,Jonathan Mitchell Defensive Rebound.,23,41
17:18,2169,Simon Okolue made Dunk. Assisted by Jonathan Mitchell.,25,41
17:06,305,Max Strus Turnover.,25,41
17:06,2169,Jonathan Mitchell Steal.,25,41
17:06,305,Foul on Max Strus.,25,41
16:52,305,Foul on Devin Gage.,25,41
16:52,305,DePaul  Timeout,25,41
16:43,2169,Kobe Gantz made Jumper.,27,41
16:25,305,Max Strus made Dunk.,27,43
15:55,2169,Foul on Saleik Edwards.,27,43
15:55,305,Official TV Timeout,27,43
15:45,305,Tre'Darius McCallum Turnover.,27,43
15:43,2169,Kobe Gantz Steal.,27,43
15:19,2169,Simon Okolue made Jumper. Assisted by Artem Tavakalyan.,29,43
15:09,2169,Foul on Kobe Gantz.,29,43
15:09,305,Brandon Cyrus missed Jumper.,29,43
15:09,305,Marin Maric Offensive Rebound.,29,43
15:09,305,Marin Maric missed Layup.,29,43
15:09,305,Marin Maric Offensive Rebound.,29,43
15:09,305,Marin Maric made Layup.,29,45
15:09,2169,Kobe Gantz made Three Point Jumper. Assisted by Jonathan Mitchell.,32,45
15:09,305,Brandon Cyrus made Layup.,32,47
15:04,305,Foul on Max Strus.,32,47
13:54,2169,Simon Okolue made Layup.,34,47
13:54,2169,Simon Okolue made Free Throw.,35,47
13:44,305,Eli Cain made Layup.,35,49
13:23,2169,Johquin Wiley missed Three Point Jumper.,35,49
13:23,305,Eli Cain Defensive Rebound.,35,49
13:03,2169,Foul on Simon Okolue.,35,49
13:03,305,Brandon Cyrus made Free Throw.,35,50
13:03,305,Brandon Cyrus made Free Throw.,35,51
12:52,305,Foul on Tre'Darius McCallum.,35,51
12:52,2169,Kobe Gantz made Free Throw.,36,51
12:52,2169,Kobe Gantz made Free Throw.,37,51
12:33,305,Tre'Darius McCallum missed Jumper.,37,51
12:33,2169,Demola Onifade Defensive Rebound.,37,51
12:14,2169,Jonathan Mitchell missed Jumper.,37,51
12:14,305,Jaylen Butz Defensive Rebound.,37,51
12:11,2169,Foul on Jonathan Mitchell.,37,51
11:57,305,Justin Roberts missed Jumper.,37,51
11:57,2169,Demola Onifade Defensive Rebound.,37,51
11:54,305,Official TV Timeout,37,51
11:43,2169,Demola Onifade Turnover.,37,51
11:21,305,Eli Cain missed Layup.,37,51
11:21,305,Jaylen Butz Offensive Rebound.,37,51
11:18,305,Jaylen Butz made Layup.,37,53
11:01,305,Foul on Jaylen Butz.,37,53
11:01,2169,Demola Onifade made Free Throw.,38,53
11:01,2169,Demola Onifade missed Free Throw.,38,53
11:01,2169,Artem Tavakalyan Offensive Rebound.,38,53
10:57,305,Foul on Max Strus.,38,53
10:57,2169,Artem Tavakalyan made Free Throw.,39,53
10:57,2169,Artem Tavakalyan made Free Throw.,40,53
10:47,305,Eli Cain missed Layup.,40,53
10:47,2169,Kobe Gantz Defensive Rebound.,40,53
10:42,305,Foul on Max Strus.,40,53
10:40,2169,Kobe Gantz made Free Throw.,41,53
10:40,2169,Kobe Gantz missed Free Throw.,41,53
10:40,305,Jaylen Butz Defensive Rebound.,41,53
10:23,305,Brandon Cyrus missed Layup.,41,53
10:23,2169,Jonathan Mitchell Block.,41,53
10:23,305,DePaul Offensive Rebound.,41,53
10:08,305,Devin Gage missed Jumper.,41,53
10:08,305,Tre'Darius McCallum Offensive Rebound.,41,53
10:03,305,Tre'Darius McCallum missed Jumper.,41,53
10:03,305,DePaul Offensive Rebound.,41,53
9:46,305,Eli Cain made Layup. Assisted by Devin Gage.,41,55
9:15,2169,Artem Tavakalyan Turnover.,41,55
9:14,305,Devin Gage Steal.,41,55
9:12,305,Devin Gage made Layup.,41,57
8:58,2169,Jonathan Mitchell missed Jumper.,41,57
8:58,305,Jaylen Butz Defensive Rebound.,41,57
8:45,305,Eli Cain made Layup.,41,59
8:23,2169,Artem Tavakalyan missed Three Point Jumper.,41,59
8:23,305,Jaylen Butz Defensive Rebound.,41,59
8:16,305,Tre'Darius McCallum made Three Point Jumper. Assisted by Devin Gage.,41,62
7:57,2169,Johquin Wiley made Jumper.,43,62
7:57,305,Foul on Jaylen Butz.,43,62
7:57,305,Official TV Timeout,43,62
7:57,2169,Johquin Wiley missed Free Throw.,43,62
7:57,305,Brandon Cyrus Defensive Rebound.,43,62
7:31,305,Tre'Darius McCallum missed Jumper.,43,62
7:31,2169,Kobe Gantz Defensive Rebound.,43,62
7:21,2169,Kobe Gantz Turnover.,43,62
7:01,305,Marin Maric made Layup. Assisted by Devin Gage.,43,64
6:51,305,Foul on Marin Maric.,43,64
6:51,2169,Jonathan Mitchell missed Free Throw.,43,64
6:51,2169,Delaware State Deadball Team Rebound.,43,64
6:51,2169,Jonathan Mitchell missed Free Throw.,43,64
6:51,305,Marin Maric Defensive Rebound.,43,64
6:51,305,Austin Grandstaff missed Three Point Jumper.,43,64
6:51,2169,Kobe Gantz Defensive Rebound.,43,64
6:50,2169,Daivon Gamble missed Jumper.,43,64
6:50,2169,Simon Okolue Offensive Rebound.,43,64
6:46,2169,Simon Okolue made Layup.,45,64
6:46,2169,Simon Okolue made Layup.,45,64
6:43,305,Foul on Marin Maric.,45,64
6:43,2169,Simon Okolue made Free Throw.,46,64
6:29,305,Tre'Darius McCallum made Three Point Jumper. Assisted by Devin Gage.,46,67
6:04,305,Foul on Jaylen Butz.,46,67
6:04,2169,Jonathan Mitchell made Free Throw.,47,67
6:04,2169,Jonathan Mitchell made Free Throw.,48,67
5:27,305,Devin Gage Turnover.,48,67
5:26,2169,Daivon Gamble Steal.,48,67
5:24,2169,Daivon Gamble made Layup. Assisted by Kobe Gantz.,50,67
5:04,305,Devin Gage made Jumper.,50,69
4:39,2169,Johquin Wiley Turnover.,50,69
4:34,305,Max Strus missed Three Point Jumper.,50,69
4:34,305,Tre'Darius McCallum Offensive Rebound.,50,69
4:28,305,Justin Roberts missed Three Point Jumper.,50,69
4:28,305,Max Strus Offensive Rebound.,50,69
4:23,305,Tre'Darius McCallum missed Three Point Jumper.,50,69
4:23,2169,Jonathan Mitchell Defensive Rebound.,50,69
4:14,305,Foul on Justin Roberts.,50,69
4:14,2169,Jonathan Mitchell made Free Throw.,51,69
4:14,2169,Jonathan Mitchell made Free Throw.,52,69
4:02,305,Eli Cain missed Jumper.,52,69
4:02,305,Tre'Darius McCallum Offensive Rebound.,52,69
3:58,305,Tre'Darius McCallum made Layup.,52,71
3:44,2169,Johquin Wiley missed Three Point Jumper.,52,71
3:44,305,Eli Cain Defensive Rebound.,52,71
3:36,305,Tre'Darius McCallum made Dunk. Assisted by Eli Cain.,52,73
3:31,2169,Jonathan Mitchell missed Layup.,52,73
3:31,305,Max Strus Block.,52,73
3:31,2169,Simon Okolue Offensive Rebound.,52,73
3:22,2169,Simon Okolue made Layup.,54,73
3:01,305,Justin Roberts Turnover.,54,73
2:42,2169,Jonathan Mitchell missed Three Point Jumper.,54,73
2:42,305,Eli Cain Defensive Rebound.,54,73
2:35,2169,Foul on Daivon Gamble.,54,73
2:35,305,Max Strus made Free Throw.,54,74
2:35,305,Max Strus made Free Throw.,54,75
2:29,2169,Kobe Gantz Turnover.,54,75
2:28,305,Eli Cain Steal.,54,75
2:24,305,Max Strus made Dunk. Assisted by Justin Roberts.,54,77
2:15,2169,Simon Okolue missed Jumper.,54,77
2:15,305,Eli Cain Defensive Rebound.,54,77
2:10,305,Eli Cain missed Layup.,54,77
2:10,2169,Kobe Gantz Defensive Rebound.,54,77
2:03,2169,Johquin Wiley missed Jumper.,54,77
2:03,305,Peter Ryckbosch Defensive Rebound.,54,77
1:55,305,Justin Roberts missed Layup.,54,77
1:55,2169,Kobe Gantz Defensive Rebound.,54,77
1:53,305,Foul on Max Strus.,54,77
1:53,2169,Kobe Gantz missed Free Throw.,54,77
1:53,2169,Delaware State Deadball Team Rebound.,54,77
1:53,2169,Kobe Gantz missed Free Throw.,54,77
1:53,305,Paul Reed Defensive Rebound.,54,77
1:33,305,Brandon Cyrus made Jumper. Assisted by Austin Grandstaff.,54,79
1:12,305,Foul on Austin Grandstaff.,54,79
1:12,2169,Jonathan Mitchell made Free Throw.,55,79
1:12,2169,Jonathan Mitchell missed Free Throw.,55,79
1:12,2169,Jonathan Mitchell Offensive Rebound.,55,79
1:09,2169,Jonathan Mitchell missed Layup.,55,79
1:09,305,Peter Ryckbosch Block.,55,79
1:09,305,Austin Grandstaff Defensive Rebound.,55,79
0:53,305,Austin Grandstaff missed Three Point Jumper.,55,79
0:53,305,Peter Ryckbosch Offensive Rebound.,55,79
0:53,305,Peter Ryckbosch Offensive Rebound.,55,79
0:47,2169,Foul on Artem Tavakalyan.,55,79
0:47,305,Peter Ryckbosch missed Free Throw.,55,79
0:47,305,Paul Reed Offensive Rebound.,55,79
0:16,305,Paul Reed missed Layup.,55,79
0:16,305,Peter Ryckbosch Offensive Rebound.,55,79
0:14,305,Peter Ryckbosch made Layup.,55,81
0:12,305,Foul on Brandon Cyrus.,55,81
0:12,2169,Artem Tavakalyan made Free Throw.,56,81
0:12,2169,Artem Tavakalyan made Free Throw.,57,81
0:00,305,End of 2nd half,57,81
0:00,305,End of Game,57,81
