Abilene Christian,2032,Arkansas State,2000
13:19,2032,Foul on Deven Simms.,6,12
13:10,2032,Foul on Jake Scoggins.,6,12
13:09,2000,Jaylen Franklin Turnover.,6,12
13:08,2032,Marquis Eaton Steal.,6,12
13:06,2032,Deven Simms made Layup. Assisted by Marquis Eaton.,6,14
12:36,2000,Isaiah Tripp missed Three Point Jumper.,6,14
12:36,2032,Tamas Bruce Defensive Rebound.,6,14
12:15,2032,Deven Simms made Layup.,6,16
11:59,2000,Jaren Lewis made Three Point Jumper. Assisted by Tevin Foster.,9,16
11:33,2032,Tristin Walley made Jumper.,9,18
11:23,2032,Foul on Marquis Eaton.,9,18
11:23,2032,Official TV Timeout,9,18
11:00,2000,Jaylen Franklin missed Layup.,9,18
11:00,2032,Tamas Bruce Defensive Rebound.,9,18
10:52,2032,Tristin Walley missed Three Point Jumper.,9,18
10:52,2032,Tamas Bruce Offensive Rebound.,9,18
10:43,2000,Foul on Jalone Friday.,9,18
10:24,2000,Foul on Hayden Howell.,9,18
10:24,2032,Ty Cockfield made Free Throw.,9,19
10:24,2032,Ty Cockfield made Free Throw.,9,20
9:55,2000,Drake Green missed Three Point Jumper.,9,20
9:55,2032,Deven Simms Defensive Rebound.,9,20
9:39,2000,Foul on Hayden Howell.,9,20
9:39,2032,Tamas Bruce made Free Throw.,9,21
9:39,2032,Tamas Bruce made Free Throw.,9,22
9:24,2000,Tevin Foster Turnover.,9,22
9:22,2032,Rashad Lindsey Steal.,9,22
9:21,2032,Grantham Gillard made Layup.,9,24
9:21,2000,Abilene Christian  Timeout,9,24
9:10,2000,Jaylen Franklin missed Dunk.,9,24
9:10,2000,Drake Green Offensive Rebound.,9,24
9:03,2000,Jaren Lewis missed Jumper.,9,24
9:03,2000,Jaren Lewis Offensive Rebound.,9,24
9:01,2032,Foul on Grantham Gillard.,9,24
9:01,2000,Jaren Lewis made Free Throw.,10,24
9:01,2000,Jaren Lewis made Free Throw.,11,24
8:52,2032,Ty Cockfield missed Layup.,11,24
8:52,2000,Jaren Lewis Block.,11,24
8:52,2032,Arkansas State Offensive Rebound.,11,24
8:46,2032,Ty Cockfield missed Three Point Jumper.,11,24
8:46,2032,Tamas Bruce Offensive Rebound.,11,24
8:41,2032,Rashad Lindsey missed Three Point Jumper.,11,24
8:41,2000,Jaylen Franklin Defensive Rebound.,11,24
8:34,2000,Tevin Foster missed Layup.,11,24
8:34,2032,Rashad Lindsey Block.,11,24
8:32,2032,Connor Kern Defensive Rebound.,11,24
8:31,2032,Connor Kern Turnover.,11,24
8:21,2000,Hayden Farquhar missed Three Point Jumper.,11,24
8:21,2032,Arkansas State Defensive Rebound.,11,24
7:58,2032,Deven Simms made Layup.,11,26
7:58,2000,Foul on Hayden Farquhar.,11,26
7:57,2032,Official TV Timeout,11,26
7:57,2032,Deven Simms made Free Throw.,11,27
7:45,2032,Foul on Tamas Bruce.,11,27
7:45,2000,Jaylen Franklin made Free Throw.,12,27
7:45,2000,Jaylen Franklin made Free Throw.,13,27
7:29,2032,Tristin Walley Turnover.,13,27
7:13,2000,Jaren Lewis made Layup. Assisted by Tevin Foster.,15,27
7:01,2032,Ty Cockfield made Jumper.,15,29
6:51,2000,Isaiah Tripp missed Three Point Jumper.,15,29
6:51,2032,Deven Simms Defensive Rebound.,15,29
6:22,2000,Foul on Jaren Lewis.,15,29
6:22,2032,C.J. Foster made Free Throw.,15,30
6:22,2032,C.J. Foster missed Free Throw.,15,30
6:22,2000,Tevin Foster Defensive Rebound.,15,30
6:14,2000,Jaylen Franklin Turnover.,15,30
5:55,2032,Deven Simms made Layup. Assisted by C.J. Foster.,15,32
5:40,2032,Foul on Connor Kern.,15,32
5:40,2000,Tevin Foster missed Free Throw.,15,32
5:40,2000,Abilene Christian Deadball Team Rebound.,15,32
5:40,2000,Tevin Foster missed Free Throw.,15,32
5:40,2032,Shaquillo Fritz Defensive Rebound.,15,32
5:31,2032,Shaquillo Fritz Turnover.,15,32
5:31,2032,Foul on Shaquillo Fritz.,15,32
5:07,2000,Jalone Friday made Three Point Jumper. Assisted by Jaylen Franklin.,18,32
4:52,2032,Connor Kern Turnover.,18,32
4:51,2000,Tevin Foster Steal.,18,32
4:49,2000,Tevin Foster made Layup.,20,32
4:46,2032,Arkansas State  Timeout,20,32
4:19,2032,Rashad Lindsey Turnover.,20,32
4:17,2000,Tevin Foster Steal.,20,32
4:04,2000,Tevin Foster missed Three Point Jumper.,20,32
4:04,2032,Connor Kern Defensive Rebound.,20,32
3:37,2032,Rashad Lindsey missed Layup.,20,32
3:37,2000,Hayden Howell Defensive Rebound.,20,32
3:26,2000,Jaylen Franklin made Layup.,22,32
3:12,2000,Foul on Trey Lenox.,22,32
3:12,2032,Official TV Timeout,22,32
3:12,2032,Deven Simms made Free Throw.,22,33
3:12,2032,Deven Simms missed Free Throw.,22,33
3:12,2000,Trey Lenox Defensive Rebound.,22,33
2:56,2000,Trey Lenox Turnover.,22,33
2:27,2032,Tristin Walley missed Three Point Jumper.,22,33
2:27,2000,Jaylen Franklin Defensive Rebound.,22,33
2:14,2000,Jaylen Franklin made Layup.,24,33
2:00,2032,Deven Simms made Jumper.,24,35
1:26,2000,Trey Lenox missed Three Point Jumper.,24,35
1:26,2032,Tristin Walley Defensive Rebound.,24,35
1:12,2032,Tristin Walley missed Jumper.,24,35
1:12,2000,Tevin Foster Defensive Rebound.,24,35
0:56,2000,Jalone Friday Turnover.,24,35
0:56,2000,Foul on Jalone Friday.,24,35
0:39,2032,Rashad Lindsey missed Three Point Jumper.,24,35
0:39,2032,Ty Cockfield Offensive Rebound.,24,35
0:34,2032,Ty Cockfield made Jumper.,24,37
0:27,2032,Foul on Rashad Lindsey.,24,37
0:27,2000,Tevin Foster made Free Throw.,25,37
0:27,2000,Tevin Foster missed Free Throw.,25,37
0:27,2032,Deven Simms Defensive Rebound.,25,37
0:01,2032,Deven Simms made Three Point Jumper.,25,40
0:00,2032,End of 1st half,25,40
19:45,2000,Jaylen Franklin made Layup.,27,40
19:28,2032,Arkansas State  Turnover.,27,40
18:58,2000,Jalone Friday made Jumper.,29,40
18:39,2000,Foul on Jaren Lewis.,29,40
18:19,2000,Foul on Jaren Lewis.,29,40
18:19,2032,Grantham Gillard made Free Throw.,29,41
18:19,2032,Grantham Gillard made Free Throw.,29,42
18:19,2032,Grantham Gillard made Free Throw.,29,43
18:07,2032,Foul on Tamas Bruce.,29,43
18:07,2000,Jaylen Franklin made Free Throw.,30,43
18:07,2000,Jaylen Franklin made Free Throw.,31,43
17:50,2032,Ty Cockfield made Layup.,31,45
17:42,2000,Jaren Lewis made Jumper.,33,45
17:21,2032,Ty Cockfield made Layup.,33,47
16:54,2032,Foul on Jake Scoggins.,33,47
16:54,2000,Jalone Friday made Free Throw.,34,47
16:54,2000,Jalone Friday made Free Throw.,35,47
16:40,2032,Grantham Gillard Turnover.,35,47
16:27,2000,Jaren Lewis made Dunk. Assisted by Hayden Howell.,37,47
16:11,2032,Jake Scoggins Turnover.,37,47
16:11,2032,Foul on Jake Scoggins.,37,47
16:07,2000,Jaylen Franklin Turnover.,37,47
16:07,2000,Foul on Jaylen Franklin.,37,47
15:40,2032,Rashad Lindsey missed Jumper.,37,47
15:40,2032,Arkansas State Offensive Rebound.,37,47
15:39,2000,Foul on Jaren Lewis.,37,47
15:39,2032,Official TV Timeout,37,47
15:15,2032,C.J. Foster Turnover.,37,47
15:01,2000,Jaylen Franklin made Jumper.,39,47
14:44,2032,Ty Cockfield made Layup.,39,49
14:35,2032,Foul on C.J. Foster.,39,49
14:24,2000,Jaylen Franklin missed Jumper.,39,49
14:24,2032,Tristin Walley Defensive Rebound.,39,49
14:18,2032,Connor Kern missed Three Point Jumper.,39,49
14:18,2000,Tevin Foster Defensive Rebound.,39,49
13:52,2000,Trey Lenox made Layup. Assisted by Hayden Howell.,41,49
13:31,2032,Ty Cockfield missed Layup.,41,49
13:31,2000,Abilene Christian Defensive Rebound.,41,49
13:11,2000,Jaylen Franklin missed Layup.,41,49
13:11,2000,Hayden Howell Offensive Rebound.,41,49
13:10,2000,Hayden Howell made Two Point Tip Shot.,43,49
13:10,2032,Foul on Ty Cockfield.,43,49
13:10,2000,Hayden Howell made Free Throw.,44,49
12:54,2000,Foul on Trey Lenox.,44,49
12:37,2032,C.J. Foster made Three Point Jumper. Assisted by Ty Cockfield.,44,52
12:27,2000,Tevin Foster made Layup.,46,52
12:20,2000,Foul on Drake Green.,46,52
12:07,2032,Deven Simms made Three Point Jumper. Assisted by Ty Cockfield.,46,55
11:44,2000,Jaylen Franklin Turnover.,46,55
11:44,2000,Foul on Jaylen Franklin.,46,55
11:43,2032,Official TV Timeout,46,55
11:26,2032,Deven Simms Turnover.,46,55
10:57,2000,Isaiah Tripp Turnover.,46,55
10:35,2032,Rashad Lindsey missed Jumper.,46,55
10:35,2000,Trey Lenox Defensive Rebound.,46,55
10:26,2000,Jaylen Franklin missed Layup.,46,55
10:26,2032,Deven Simms Defensive Rebound.,46,55
10:18,2032,Deven Simms made Layup.,46,57
10:02,2000,Jalone Friday missed Three Point Jumper.,46,57
10:02,2032,Connor Kern Defensive Rebound.,46,57
9:53,2032,Deven Simms missed Layup.,46,57
9:53,2032,Tamas Bruce Offensive Rebound.,46,57
9:50,2032,Tamas Bruce made Two Point Tip Shot.,46,59
9:49,2000,Abilene Christian  Timeout,46,59
9:49,2032,Official TV Timeout,46,59
9:19,2000,Jaylen Franklin missed Three Point Jumper.,46,59
9:19,2032,Deven Simms Defensive Rebound.,46,59
9:01,2000,Foul on Jalone Friday.,46,59
9:01,2032,Tamas Bruce made Free Throw.,46,60
9:01,2032,Tamas Bruce made Free Throw.,46,61
8:52,2000,Tevin Foster Turnover.,46,61
8:52,2032,Ty Cockfield Steal.,46,61
8:30,2032,Deven Simms missed Three Point Jumper.,46,61
8:30,2000,Jaylen Franklin Defensive Rebound.,46,61
8:22,2032,Foul on Rashad Lindsey.,46,61
8:22,2000,Tevin Foster made Free Throw.,47,61
8:22,2000,Tevin Foster made Free Throw.,48,61
8:06,2032,Ty Cockfield missed Jumper.,48,61
8:06,2032,Tamas Bruce Offensive Rebound.,48,61
8:04,2032,Tamas Bruce missed Two Point Tip Shot.,48,61
8:04,2000,Jaren Lewis Defensive Rebound.,48,61
8:00,2000,Isaiah Tripp made Layup.,50,61
8:00,2032,Foul on Rashad Lindsey.,50,61
8:00,2000,Isaiah Tripp missed Free Throw.,50,61
8:00,2032,Tamas Bruce Defensive Rebound.,50,61
7:39,2032,Grantham Gillard made Layup.,50,63
7:16,2000,Isaiah Tripp missed Three Point Jumper.,50,63
7:16,2000,Jaren Lewis Offensive Rebound.,50,63
7:14,2032,Foul on Grantham Gillard.,50,63
7:14,2032,Official TV Timeout,50,63
7:14,2000,Jaren Lewis made Free Throw.,51,63
7:14,2000,Jaren Lewis made Free Throw.,52,63
6:55,2032,Rashad Lindsey made Jumper.,52,65
6:42,2000,Tevin Foster made Three Point Jumper. Assisted by Jaylen Franklin.,55,65
6:23,2000,Foul on Isaiah Tripp.,55,65
6:23,2032,Tamas Bruce made Free Throw.,55,66
6:23,2032,Tamas Bruce made Free Throw.,55,67
6:15,2000,Jalone Friday Turnover.,55,67
5:58,2032,Tamas Bruce made Layup.,55,69
5:36,2000,Jalone Friday missed Three Point Jumper.,55,69
5:36,2000,Tevin Foster Offensive Rebound.,55,69
5:29,2000,Jalone Friday made Dunk. Assisted by Jaylen Franklin.,57,69
5:27,2000,Abilene Christian  Timeout,57,69
4:58,2032,Tamas Bruce made Layup. Assisted by Deven Simms.,57,71
4:40,2000,Hayden Howell missed Layup.,57,71
4:40,2032,Deven Simms Defensive Rebound.,57,71
4:33,2032,Ty Cockfield missed Layup.,57,71
4:33,2032,Grantham Gillard Offensive Rebound.,57,71
4:29,2032,Grantham Gillard missed Layup.,57,71
4:29,2032,Deven Simms Offensive Rebound.,57,71
4:10,2032,Arkansas State  Timeout,57,71
4:10,2032,Official TV Timeout,57,71
4:07,2032,Deven Simms made Layup.,57,73
3:45,2000,Tevin Foster Turnover.,57,73
3:44,2032,Deven Simms Steal.,57,73
3:42,2032,Rashad Lindsey made Three Point Jumper. Assisted by Deven Simms.,57,76
3:19,2000,Jaren Lewis made Layup.,59,76
3:01,2032,Ty Cockfield made Three Point Jumper. Assisted by Jake Scoggins.,59,79
2:42,2000,Tevin Foster made Layup.,61,79
2:24,2000,Foul on Drake Green.,61,79
2:24,2032,Rashad Lindsey made Free Throw.,61,80
2:24,2032,Rashad Lindsey made Free Throw.,61,81
2:15,2000,Hayden Howell made Dunk. Assisted by Isaiah Tripp.,63,81
1:51,2032,Ty Cockfield missed Jumper.,63,81
1:51,2032,Ty Cockfield Offensive Rebound.,63,81
1:28,2000,Foul on Jaylen Franklin.,63,81
1:28,2032,Ty Cockfield missed Free Throw.,63,81
1:28,2032,Arkansas State Deadball Team Rebound.,63,81
1:28,2032,Ty Cockfield missed Free Throw.,63,81
1:28,2000,Jaren Lewis Defensive Rebound.,63,81
1:21,2000,Hayden Howell made Dunk. Assisted by Jaren Lewis.,65,81
0:58,2000,Foul on Hayden Howell.,65,81
0:58,2032,Grantham Gillard made Free Throw.,65,82
0:58,2032,Grantham Gillard missed Free Throw.,65,82
0:58,2000,Jaren Lewis Defensive Rebound.,65,82
0:46,2000,Hayden Howell made Layup. Assisted by Jaylen Franklin.,67,82
0:27,2000,Foul on Hayden Howell.,67,82
0:27,2032,Tamas Bruce made Free Throw.,67,83
0:27,2032,Tamas Bruce missed Free Throw.,67,83
0:27,2000,Hayden Howell Defensive Rebound.,67,83
0:14,2000,Jaylen Franklin made Layup.,69,83
0:00,2032,End of Game,69,83
