Chattanooga,5,UAB,236
2:40,5,Zack Bryant Defensive Rebound.,15,35
2:37,236,Foul on Rodney Chatman.,15,35
2:37,5,Zack Bryant made Free Throw.,15,36
2:37,5,Zack Bryant made Free Throw.,15,37
2:22,5,Foul on Nate Darling.,15,37
2:22,236,James Lewis Jr. missed Free Throw.,15,37
2:22,236,Chattanooga Deadball Team Rebound.,15,37
2:22,236,James Lewis Jr. made Free Throw.,16,37
2:04,5,Chris Cokley made Jumper. Assisted by Jalen Perry.,16,39
1:30,236,David Jean-Baptiste made Three Point Jumper.,19,39
1:11,5,William Lee made Jumper.,19,41
0:46,236,Nat Dixon Turnover.,19,41
0:45,5,Jalen Perry Steal.,19,41
0:42,5,Jalen Perry missed Layup.,19,41
0:42,236,David Jean-Baptiste Defensive Rebound.,19,41
0:37,236,David Jean-Baptiste made Layup.,21,41
0:32,5,UAB  Timeout,21,41
0:07,5,Chris Cokley made Layup. Assisted by Nate Darling.,21,43
0:00,236,David Jean-Baptiste missed Three Point Jumper.,21,43
0:00,5,Nate Darling Defensive Rebound.,21,43
0:00,5,End of 1st half,21,43
19:35,236,Rodney Chatman made Layup.,23,43
19:21,5,William Lee missed Three Point Jumper.,23,43
19:21,236,David Jean-Baptiste Defensive Rebound.,23,43
19:14,5,Chris Cokley missed Jumper.,23,43
19:14,5,Chris Cokley Offensive Rebound.,23,43
19:11,5,Zack Bryant made Layup.,23,45
18:38,5,Nate Darling made Jumper.,23,47
18:22,236,Makinde London missed Jumper.,23,47
18:22,5,UAB Defensive Rebound.,23,47
18:18,236,Foul on James Lewis Jr..,23,47
17:55,5,William Lee missed Layup.,23,47
17:55,236,Nat Dixon Defensive Rebound.,23,47
17:46,5,Foul on Chris Cokley.,23,47
17:43,236,Makinde London missed Jumper.,23,47
17:43,5,William Lee Defensive Rebound.,23,47
17:30,5,William Lee missed Three Point Jumper.,23,47
17:30,236,Chattanooga Defensive Rebound.,23,47
17:13,236,Rodney Chatman Turnover.,23,47
17:13,236,Foul on Rodney Chatman.,23,47
17:00,236,Foul on A.J. Bowers.,23,47
16:58,5,Nate Darling made Jumper. Assisted by Nick Norton.,23,49
16:46,5,Foul on Zack Bryant.,23,49
16:38,236,Makinde London missed Layup.,23,49
16:38,5,Nick Norton Defensive Rebound.,23,49
16:27,236,Foul on Nat Dixon.,23,49
16:27,5,Nate Darling made Free Throw.,23,50
16:27,5,Nate Darling made Free Throw.,23,51
16:13,236,David Jean-Baptiste made Layup.,25,51
15:56,5,William Lee missed Jumper.,25,51
15:56,236,Nat Dixon Defensive Rebound.,25,51
15:37,236,David Jean-Baptiste missed Layup.,25,51
15:37,5,Chris Cokley Defensive Rebound.,25,51
15:29,5,Jalen Perry made Three Point Jumper. Assisted by Chris Cokley.,25,54
15:12,236,Makale Foreman Turnover.,25,54
15:09,5,Jalen Perry Steal.,25,54
15:07,5,Jalen Perry Turnover.,25,54
15:05,236,Nat Dixon Steal.,25,54
14:49,236,James Lewis Jr. Turnover.,25,54
14:49,5,Chris Cokley Steal.,25,54
14:49,5,Official TV Timeout,25,54
14:32,5,Jalen Perry made Layup. Assisted by Nick Norton.,25,56
14:05,5,Foul on Makhtar Gueye.,25,56
14:05,236,Duane Moss missed Free Throw.,25,56
14:05,236,Chattanooga Deadball Team Rebound.,25,56
14:05,236,Duane Moss made Free Throw.,26,56
13:52,5,Lewis Sullivan missed Layup.,26,56
13:52,5,Makhtar Gueye Offensive Rebound.,26,56
13:48,5,Makhtar Gueye Turnover.,26,56
13:29,236,Jonathan Bryant II missed Layup.,26,56
13:29,5,Lewis Sullivan Defensive Rebound.,26,56
13:20,5,Lewis Sullivan Turnover.,26,56
13:09,236,David Jean-Baptiste made Three Point Jumper. Assisted by Jonathan Bryant II.,29,56
12:53,5,Zack Bryant missed Jumper.,29,56
12:53,236,Duane Moss Defensive Rebound.,29,56
12:23,236,Makale Foreman missed Three Point Jumper.,29,56
12:23,5,Lewis Sullivan Defensive Rebound.,29,56
12:12,5,Makhtar Gueye made Layup. Assisted by Zack Bryant.,29,58
11:44,236,James Lewis Jr. made Layup. Assisted by Makale Foreman.,31,58
11:20,5,Deion Lavender made Layup. Assisted by Jalen Perry.,31,60
11:07,5,Foul on Makhtar Gueye.,31,60
11:07,5,Official TV Timeout,31,60
10:56,236,Nat Dixon Turnover.,31,60
10:55,5,Deion Lavender Steal.,31,60
10:52,5,Zack Bryant made Layup. Assisted by Lewis Sullivan.,31,62
10:48,5,Zack Bryant made Free Throw.,31,63
10:34,236,Rodney Chatman Turnover.,31,63
10:32,5,Chris Cokley Steal.,31,63
10:28,5,Jalen Perry made Layup. Assisted by Deion Lavender.,31,65
10:28,236,Foul on Makale Foreman.,31,65
10:28,5,Jalen Perry made Free Throw.,31,66
10:20,236,Makinde London missed Layup.,31,66
10:20,5,Chris Cokley Defensive Rebound.,31,66
10:12,5,Jalen Perry Turnover.,31,66
10:03,236,Makinde London made Three Point Jumper. Assisted by David Jean-Baptiste.,34,66
9:44,5,Chris Cokley missed Layup.,34,66
9:44,236,Makinde London Defensive Rebound.,34,66
9:23,236,Nat Dixon made Three Point Jumper. Assisted by Rodney Chatman.,37,66
9:05,5,Jalen Perry made Layup.,37,68
8:50,236,Makinde London made Jumper. Assisted by Nat Dixon.,39,68
8:34,5,Nick Norton made Layup.,39,70
8:16,236,Foul on Jonathan Bryant II.,39,70
8:16,236,Makale Foreman missed Jumper.,39,70
8:16,5,Chris Cokley Defensive Rebound.,39,70
8:16,5,Chris Cokley made Dunk. Assisted by Deion Lavender.,39,72
7:46,5,Official TV Timeout,39,72
7:44,236,James Lewis Jr. missed Layup.,39,72
7:44,236,James Lewis Jr. Offensive Rebound.,39,72
7:41,236,James Lewis Jr. made Layup.,41,72
7:22,5,Deion Lavender made Jumper. Assisted by Nick Norton.,41,74
7:00,236,Nat Dixon missed Three Point Jumper.,41,74
7:00,5,Nate Darling Defensive Rebound.,41,74
6:54,5,Nick Norton Turnover.,41,74
6:44,236,Rodney Chatman made Layup.,43,74
6:22,5,Nate Darling made Layup.,43,76
6:06,5,Foul on Makhtar Gueye.,43,76
6:04,236,Makale Foreman missed Layup.,43,76
6:04,5,Deion Lavender Defensive Rebound.,43,76
5:58,5,Nate Darling missed Three Point Jumper.,43,76
5:58,236,Rodney Chatman Defensive Rebound.,43,76
5:30,236,Rodney Chatman missed Three Point Jumper.,43,76
5:30,5,Deion Lavender Defensive Rebound.,43,76
5:25,5,Jalen Perry made Three Point Jumper. Assisted by Deion Lavender.,43,79
5:20,5,UAB  Timeout,43,79
5:12,236,James Lewis Jr. Turnover.,43,79
5:12,236,Foul on James Lewis Jr..,43,79
4:59,5,Jalen Perry Turnover.,43,79
4:34,236,David Jean-Baptiste made Jumper.,45,79
4:21,5,Thomas Smallwood missed Jumper.,45,79
4:21,236,Makale Foreman Defensive Rebound.,45,79
4:21,236,James Lewis Jr. missed Layup.,45,79
4:21,5,Lewis Sullivan Defensive Rebound.,45,79
4:16,5,Jalen Perry missed Three Point Jumper.,45,79
4:16,5,Thomas Smallwood Offensive Rebound.,45,79
3:43,236,Foul on Duane Moss.,45,79
3:43,5,Official TV Timeout,45,79
3:43,5,Deion Lavender made Free Throw.,45,80
3:43,5,Deion Lavender missed Free Throw.,45,80
3:43,236,David Jean-Baptiste Defensive Rebound.,45,80
3:26,236,Jonathan Bryant II missed Three Point Jumper.,45,80
3:26,5,Zack Bryant Defensive Rebound.,45,80
3:19,236,Foul on David Jean-Baptiste.,45,80
3:19,5,Zack Bryant made Free Throw.,45,81
3:19,5,Zack Bryant made Free Throw.,45,82
3:00,236,David Jean-Baptiste Turnover.,45,82
2:58,5,Jalen Perry Steal.,45,82
2:45,5,Jalen Perry missed Layup.,45,82
2:45,236,A.J. Bowers Block.,45,82
2:45,236,Chattanooga Defensive Rebound.,45,82
2:23,236,Duane Moss missed Jumper.,45,82
2:23,5,UAB Defensive Rebound.,45,82
2:06,5,Thomas Smallwood missed Three Point Jumper.,45,82
2:06,5,Lewis Sullivan Offensive Rebound.,45,82
2:03,236,Foul on A.J. Bowers.,45,82
2:03,5,Lewis Sullivan made Free Throw.,45,83
2:03,5,Lewis Sullivan made Free Throw.,45,84
1:39,236,Jonathan Bryant II Turnover.,45,84
1:29,5,Lewis Sullivan missed Three Point Jumper.,45,84
1:29,5,Thomas Smallwood Offensive Rebound.,45,84
1:24,5,Deion Lavender missed Layup.,45,84
1:24,236,Duane Moss Defensive Rebound.,45,84
1:16,236,David Jean-Baptiste missed Three Point Jumper.,45,84
1:16,5,Lewis Sullivan Defensive Rebound.,45,84
1:06,5,Deion Lavender missed Jumper.,45,84
1:06,236,Duane Moss Block.,45,84
1:04,5,Deion Lavender Offensive Rebound.,45,84
0:51,5,Hunter Reynolds made Three Point Jumper. Assisted by Deion Lavender.,45,87
0:38,236,Jonathan Bryant II missed Layup.,45,87
0:38,5,Hunter Reynolds Defensive Rebound.,45,87
0:31,236,Foul on Duane Moss.,45,87
0:31,5,Jalen Perry made Free Throw.,45,88
0:31,5,Jalen Perry made Free Throw.,45,89
0:09,236,Duane Moss missed Three Point Jumper.,45,89
0:09,236,James Lewis Jr. Offensive Rebound.,45,89
0:04,236,Jonathan Bryant II made Jumper.,47,89
0:00,5,End of Game,45,89
