New Mexico State,2608,Saint Mary's,166
19:30,166,Foul on A.J. Harris.,44,47
19:30,2608,Jock Landale missed Free Throw.,44,47
19:30,2608,Saint Mary's Deadball Team Rebound.,44,47
19:30,2608,Jock Landale made Free Throw.,44,48
19:13,166,Zach Lofton missed Three Point Jumper.,44,48
19:13,166,Jemerrio Jones Offensive Rebound.,44,48
19:08,166,Jemerrio Jones made Layup.,46,48
18:40,2608,Jock Landale missed Layup.,46,48
18:40,166,Sidy N'Dir Defensive Rebound.,46,48
18:35,2608,Foul on Evan Fitzner.,46,48
18:31,166,Eli Chuha made Layup. Assisted by A.J. Harris.,48,48
18:09,2608,Jock Landale missed Layup.,48,48
18:09,166,Eli Chuha Defensive Rebound.,48,48
18:08,166,Eli Chuha Turnover.,48,48
18:05,166,Foul on Eli Chuha.,48,48
18:04,2608,Emmett Naar made Three Point Jumper. Assisted by Jock Landale.,48,51
17:42,166,Eli Chuha missed Three Point Jumper.,48,51
17:42,166,Jemerrio Jones Offensive Rebound.,48,51
17:37,166,Jemerrio Jones Turnover.,48,51
17:35,2608,Jordan Ford Steal.,48,51
17:27,2608,Jock Landale made Layup. Assisted by Jordan Ford.,48,53
17:27,166,Foul on Eli Chuha.,48,53
17:27,2608,Jock Landale missed Free Throw.,48,53
17:27,166,Jemerrio Jones Defensive Rebound.,48,53
17:01,166,Zach Lofton missed Jumper.,48,53
17:01,166,Jemerrio Jones Offensive Rebound.,48,53
16:56,166,Sidy N'Dir made Layup.,50,53
16:32,2608,Calvin Hermanson made Jumper. Assisted by Jock Landale.,50,55
16:10,166,Johnathon Wilkins missed Jumper.,50,55
16:10,2608,Tanner Krebs Defensive Rebound.,50,55
16:00,2608,Official TV Timeout,50,55
15:48,2608,Emmett Naar made Layup.,50,57
15:17,166,Johnathon Wilkins Turnover.,50,57
15:16,2608,Jordan Ford Steal.,50,57
15:11,166,Foul on Johnathon Wilkins.,50,57
15:02,2608,Jock Landale made Jumper.,50,59
14:40,166,Jemerrio Jones Turnover.,50,59
14:23,2608,Jock Landale Turnover.,50,59
14:18,2608,Foul on Calvin Hermanson.,50,59
14:18,166,Zach Lofton made Free Throw.,51,59
14:18,166,Zach Lofton made Free Throw.,52,59
13:59,2608,Jordan Ford made Three Point Jumper. Assisted by Jock Landale.,52,62
13:44,166,Zach Lofton missed Jumper.,52,62
13:44,166,Jemerrio Jones Offensive Rebound.,52,62
13:40,166,Jemerrio Jones made Layup.,54,62
13:23,2608,Emmett Naar missed Layup.,54,62
13:23,2608,Jock Landale Offensive Rebound.,54,62
13:22,166,Foul on Johnathon Wilkins.,54,62
13:22,2608,Jock Landale made Free Throw.,54,63
13:22,2608,Jock Landale missed Free Throw.,54,63
13:22,166,Sidy N'Dir Defensive Rebound.,54,63
13:00,166,Eli Chuha made Three Point Jumper. Assisted by Sidy N'Dir.,57,63
12:29,2608,Emmett Naar missed Layup.,57,63
12:29,2608,Emmett Naar Offensive Rebound.,57,63
12:25,2608,Calvin Hermanson made Layup. Assisted by Emmett Naar.,57,65
12:24,166,New Mexico State  Timeout,57,65
12:24,2608,Official TV Timeout,57,65
12:01,166,Sidy N'Dir missed Jumper.,57,65
12:01,166,Eli Chuha Offensive Rebound.,57,65
11:57,166,Eli Chuha made Layup.,59,65
11:35,2608,Jock Landale made Layup.,59,67
11:23,166,Shunn Buchanan Turnover.,59,67
11:23,2608,Official TV Timeout,59,67
10:58,2608,Emmett Naar missed Jumper.,59,67
10:58,2608,Jock Landale Offensive Rebound.,59,67
10:38,2608,Cullen Neal missed Three Point Jumper.,59,67
10:38,166,Jemerrio Jones Defensive Rebound.,59,67
10:30,166,Jemerrio Jones missed Layup.,59,67
10:30,2608,Tanner Krebs Block.,59,67
10:30,2608,Emmett Naar Defensive Rebound.,59,67
10:15,166,Foul on Sidy N'Dir.,59,67
10:15,2608,Calvin Hermanson missed Free Throw.,59,67
10:15,2608,Saint Mary's Deadball Team Rebound.,59,67
10:15,2608,Calvin Hermanson made Free Throw.,59,68
10:15,2608,Calvin Hermanson made Free Throw.,59,69
9:57,166,Jemerrio Jones missed Jumper.,59,69
9:57,2608,Jock Landale Defensive Rebound.,59,69
9:39,2608,Calvin Hermanson made Layup.,59,71
9:32,166,New Mexico State  Timeout,59,71
9:22,166,Sidy N'Dir missed Three Point Jumper.,59,71
9:22,2608,Jock Landale Defensive Rebound.,59,71
8:56,2608,Evan Fitzner made Three Point Jumper. Assisted by Emmett Naar.,59,74
8:44,166,Sidy N'Dir missed Three Point Jumper.,59,74
8:44,166,Jemerrio Jones Offensive Rebound.,59,74
8:41,2608,Foul on Emmett Naar.,59,74
8:22,166,Zach Lofton made Jumper.,61,74
8:22,2608,Foul on Calvin Hermanson.,61,74
8:22,166,Zach Lofton made Free Throw.,62,74
8:22,2608,Saint Mary's  Timeout,62,74
8:22,2608,Official TV Timeout,62,74
7:56,2608,Jock Landale missed Layup.,62,74
7:56,2608,Evan Fitzner Offensive Rebound.,62,74
7:45,2608,Evan Fitzner missed Layup.,62,74
7:45,166,New Mexico State Defensive Rebound.,62,74
7:27,166,Zach Lofton missed Three Point Jumper.,62,74
7:27,2608,Evan Fitzner Defensive Rebound.,62,74
7:15,2608,Emmett Naar made Jumper.,62,76
7:15,166,Foul on A.J. Harris.,62,76
7:15,2608,Emmett Naar missed Free Throw.,62,76
7:15,166,Jemerrio Jones Defensive Rebound.,62,76
7:03,2608,Foul on Jock Landale.,62,76
7:03,166,Eli Chuha made Free Throw.,63,76
7:03,166,Eli Chuha made Free Throw.,64,76
6:34,2608,Jock Landale made Layup. Assisted by Cullen Neal.,64,78
6:18,166,Zach Lofton made Layup.,66,78
5:56,2608,Cullen Neal missed Three Point Jumper.,66,78
5:56,2608,Cullen Neal Offensive Rebound.,66,78
5:52,2608,Cullen Neal made Layup.,66,80
5:52,166,Foul on Jemerrio Jones.,66,80
5:52,2608,Cullen Neal made Free Throw.,66,81
5:31,166,Eli Chuha missed Three Point Jumper.,66,81
5:31,2608,Jock Landale Defensive Rebound.,66,81
5:09,2608,Emmett Naar made Jumper.,66,83
4:58,166,Zach Lofton missed Layup.,66,83
4:58,2608,Calvin Hermanson Defensive Rebound.,66,83
4:49,2608,Jock Landale made Dunk. Assisted by Calvin Hermanson.,66,85
4:43,166,New Mexico State  Timeout,66,85
4:30,166,Jemerrio Jones made Layup. Assisted by Joe Garza.,68,85
4:01,166,Foul on Jemerrio Jones.,68,85
4:01,2608,Cullen Neal made Free Throw.,68,86
4:01,2608,Cullen Neal made Free Throw.,68,87
3:48,166,A.J. Harris made Jumper.,70,87
3:28,2608,Cullen Neal missed Three Point Jumper.,70,87
3:28,2608,Tanner Krebs Offensive Rebound.,70,87
3:11,2608,Cullen Neal Turnover.,70,87
3:06,166,A.J. Harris missed Three Point Jumper.,70,87
3:06,2608,Tanner Krebs Defensive Rebound.,70,87
2:41,2608,Tanner Krebs missed Three Point Jumper.,70,87
2:41,166,Eli Chuha Defensive Rebound.,70,87
2:38,2608,Foul on Elijah Thomas.,70,87
2:38,2608,Official TV Timeout,70,87
2:25,166,A.J. Harris made Jumper.,72,87
1:51,2608,Jordan Ford missed Jumper.,72,87
1:51,2608,Jordan Hunter Offensive Rebound.,72,87
1:48,2608,Jordan Hunter missed Layup.,72,87
1:48,166,Jemerrio Jones Defensive Rebound.,72,87
1:40,166,Jemerrio Jones Turnover.,72,87
1:17,2608,Cullen Neal made Three Point Jumper. Assisted by Jordan Hunter.,72,90
0:43,166,Kortrijk Miles missed Three Point Jumper.,72,90
0:43,2608,Jock Perry Defensive Rebound.,72,90
0:42,166,Foul on Leston Gordon.,72,90
0:42,2608,Jock Perry made Free Throw.,72,91
0:42,2608,Jock Perry made Free Throw.,72,92
0:25,166,Leston Gordon made Layup. Assisted by Gabe Hadley.,74,92
0:00,2608,End of 2nd half,74,92
0:00,2608,End of Game,74,92
