Charlotte,197,Oklahoma State,2429
13:46,197,Foul on Cameron McGriff.,6,11
13:32,2429,Hudson Price Turnover.,6,11
13:19,197,Mitchell Solomon missed Three Point Jumper.,6,11
13:19,197,Oklahoma State Offensive Rebound.,6,11
13:17,2429,Foul on Hudson Price.,6,11
13:10,2429,Foul on Luka Vasic.,6,11
13:10,197,Tavarius Shine made Free Throw.,6,12
13:10,197,Tavarius Shine made Free Throw.,6,13
13:10,197,Tavarius Shine made Free Throw.,6,14
13:01,2429,Luka Vasic missed Three Point Jumper.,6,14
13:01,197,Kendall Smith Defensive Rebound.,6,14
12:51,2429,Foul on Milos Supica.,6,14
12:51,197,Lindy Waters III made Free Throw.,6,15
12:51,197,Lindy Waters III made Free Throw.,6,16
12:36,2429,Najee Garvin missed Jumper.,6,16
12:36,197,Lindy Waters III Defensive Rebound.,6,16
12:06,197,Brandon Averette missed Jumper.,6,16
12:06,197,Oklahoma State Offensive Rebound.,6,16
11:55,2429,Foul on Milos Supica.,6,16
11:55,197,Official TV Timeout,6,16
11:55,197,Cameron McGriff made Free Throw.,6,17
11:55,197,Cameron McGriff made Free Throw.,6,18
11:36,2429,Jon Davis Turnover.,6,18
11:22,197,Thomas Dziagwa made Three Point Jumper. Assisted by Kendall Smith.,6,21
11:09,197,Foul on Mitchell Solomon.,6,21
10:53,2429,Jailan Haslem made Layup. Assisted by Najee Garvin.,8,21
10:40,2429,Foul on Jaylan McGill.,8,21
10:33,197,Kendall Smith missed Jumper.,8,21
10:33,197,Cameron McGriff Offensive Rebound.,8,21
10:28,2429,Foul on Austin Ajukwa.,8,21
10:28,197,Cameron McGriff made Free Throw.,8,22
10:28,197,Cameron McGriff made Free Throw.,8,23
10:28,2429,Austin Ajukwa missed Layup.,8,23
10:28,197,Tavarius Shine Defensive Rebound.,8,23
10:28,197,Thomas Dziagwa made Three Point Jumper. Assisted by Lindy Waters III.,8,26
10:16,2429,Foul on Austin Ajukwa.,8,26
10:15,197,Tavarius Shine made Free Throw.,8,27
10:15,197,Tavarius Shine made Free Throw.,8,28
9:57,2429,Jon Davis missed Three Point Jumper.,8,28
9:57,197,Kendall Smith Defensive Rebound.,8,28
9:35,197,Kendall Smith made Layup.,8,30
9:20,2429,Jailan Haslem missed Layup.,8,30
9:20,197,Lucas N'Guessan Defensive Rebound.,8,30
8:53,197,Kendall Smith missed Jumper.,8,30
8:53,2429,Najee Garvin Defensive Rebound.,8,30
8:42,197,Foul on Zack Dawson.,8,30
8:42,2429,Jon Davis made Free Throw.,9,30
8:42,2429,Jon Davis made Free Throw.,10,30
8:28,197,Brandon Averette missed Three Point Jumper.,10,30
8:28,197,Tavarius Shine Offensive Rebound.,10,30
8:24,197,Tavarius Shine made Layup.,10,32
8:15,197,Foul on Cameron McGriff.,10,32
8:15,2429,Jon Davis made Free Throw.,11,32
8:15,2429,Jon Davis made Free Throw.,12,32
8:03,197,Tavarius Shine missed Three Point Jumper.,12,32
8:03,2429,Andrien White Defensive Rebound.,12,32
7:57,197,Foul on Zack Dawson.,12,32
7:57,197,Official TV Timeout,12,32
7:57,2429,Andrien White missed Free Throw.,12,32
7:57,197,Lucas N'Guessan Defensive Rebound.,12,32
7:29,197,Brandon Averette Turnover.,12,32
7:17,2429,Jon Davis missed Jumper.,12,32
7:17,2429,Andrien White Offensive Rebound.,12,32
7:13,2429,Andrien White missed Layup.,12,32
7:13,197,Lucas N'Guessan Defensive Rebound.,12,32
7:06,197,Brandon Averette made Jumper. Assisted by Lucas N'Guessan.,12,34
6:45,197,Foul on Brandon Averette.,12,34
6:45,2429,Jon Davis missed Free Throw.,12,34
6:45,2429,Charlotte Deadball Team Rebound.,12,34
6:45,2429,Jon Davis made Free Throw.,13,34
6:25,197,Kendall Smith made Three Point Jumper. Assisted by Brandon Averette.,13,37
6:07,2429,Jailan Haslem missed Layup.,13,37
6:07,197,Kendall Smith Defensive Rebound.,13,37
5:51,197,Kendall Smith made Layup. Assisted by Tavarius Shine.,13,39
5:41,2429,Jon Davis missed Jumper.,13,39
5:41,197,Kendall Smith Defensive Rebound.,13,39
5:32,197,Brandon Averette missed Three Point Jumper.,13,39
5:32,2429,Charlotte Defensive Rebound.,13,39
5:30,197,Foul on Lucas N'Guessan.,13,39
5:30,2429,Najee Garvin made Free Throw.,14,39
5:30,2429,Najee Garvin made Free Throw.,15,39
5:18,197,Lindy Waters III missed Three Point Jumper.,15,39
5:18,2429,Jon Davis Defensive Rebound.,15,39
5:09,2429,Jon Davis made Dunk.,17,39
5:08,197,Oklahoma State  Timeout,17,39
4:51,197,Thomas Dziagwa missed Jumper.,17,39
4:51,2429,Najee Garvin Defensive Rebound.,17,39
4:33,2429,Jon Davis Turnover.,17,39
4:32,197,Lucas N'Guessan Steal.,17,39
4:26,197,Zack Dawson missed Jumper.,17,39
4:26,2429,Najee Garvin Defensive Rebound.,17,39
4:17,2429,Jon Davis missed Jumper.,17,39
4:17,2429,Jailan Haslem Offensive Rebound.,17,39
4:15,197,Foul on Lucas N'Guessan.,17,39
4:15,2429,Jailan Haslem made Free Throw.,18,39
4:15,2429,Jailan Haslem made Free Throw.,19,39
3:49,197,Zack Dawson Turnover.,19,39
3:48,2429,Austin Ajukwa Steal.,19,39
3:34,197,Foul on Thomas Dziagwa.,19,39
3:34,2429,Jon Davis made Free Throw.,20,39
3:34,2429,Jon Davis made Free Throw.,21,39
3:15,2429,Foul on Jon Davis.,21,39
3:15,197,Kendall Smith made Free Throw.,21,40
3:15,197,Kendall Smith made Free Throw.,21,41
3:08,2429,Jailan Haslem missed Layup.,21,41
3:08,197,Tavarius Shine Block.,21,41
3:06,197,Cameron McGriff Defensive Rebound.,21,41
2:59,197,Cameron McGriff missed Three Point Jumper.,21,41
2:59,2429,Luka Vasic Defensive Rebound.,21,41
2:45,2429,Austin Ajukwa missed Jumper.,21,41
2:45,197,Lindy Waters III Defensive Rebound.,21,41
2:38,197,Brandon Averette missed Jumper.,21,41
2:38,2429,Jailan Haslem Defensive Rebound.,21,41
2:29,2429,Austin Ajukwa Turnover.,21,41
2:28,197,Lindy Waters III Steal.,21,41
2:24,197,Foul on Lindy Waters III.,21,41
2:24,197,Lindy Waters III Turnover.,21,41
2:17,2429,Jon Davis Turnover.,21,41
2:15,197,Cameron McGriff Steal.,21,41
2:11,197,Brandon Averette made Jumper.,21,43
1:49,2429,Foul on Hudson Price.,21,43
1:49,2429,Hudson Price Turnover.,21,43
1:27,197,Brandon Averette missed Layup.,21,43
1:27,2429,Jon Davis Block.,21,43
1:27,2429,Jon Davis Defensive Rebound.,21,43
1:27,197,Foul on Tavarius Shine.,21,43
1:27,2429,Andrien White missed Free Throw.,21,43
1:27,2429,Charlotte Deadball Team Rebound.,21,43
1:27,2429,Andrien White made Free Throw.,22,43
1:20,197,Kendall Smith made Layup.,22,45
1:11,2429,Austin Ajukwa made Layup. Assisted by Jon Davis.,24,45
0:56,197,Tavarius Shine made Jumper.,24,47
0:46,2429,Foul on Jon Davis.,24,47
0:46,2429,Jon Davis Turnover.,24,47
0:30,197,Kendall Smith Turnover.,24,47
0:29,2429,Andrien White Steal.,24,47
0:25,2429,Andrien White made Layup.,26,47
0:04,197,Kendall Smith missed Three Point Jumper.,26,47
0:04,197,Lindy Waters III Offensive Rebound.,26,47
0:01,197,Lindy Waters III missed Three Point Jumper.,26,47
0:01,2429,Charlotte Defensive Rebound.,26,47
0:00,197,End of 1st half,26,47
19:39,197,Lucas N'Guessan missed Layup.,26,47
19:39,2429,Hudson Price Defensive Rebound.,26,47
19:29,2429,Austin Ajukwa missed Jumper.,26,47
19:29,197,Kendall Smith Defensive Rebound.,26,47
19:18,197,Mitchell Solomon missed Jumper.,26,47
19:18,2429,Jon Davis Defensive Rebound.,26,47
19:08,197,Foul on Kendall Smith.,26,47
19:08,2429,Jon Davis made Free Throw.,27,47
19:08,2429,Jon Davis made Free Throw.,28,47
18:52,197,Brandon Averette missed Three Point Jumper.,28,47
18:52,197,Mitchell Solomon Offensive Rebound.,28,47
18:45,197,Tavarius Shine made Three Point Jumper. Assisted by Lindy Waters III.,28,50
18:29,2429,Hudson Price Turnover.,28,50
17:58,197,Mitchell Solomon made Layup. Assisted by Brandon Averette.,28,52
17:48,2429,Jon Davis made Jumper.,30,52
17:27,197,Lucas N'Guessan missed Layup.,30,52
17:27,197,Oklahoma State Offensive Rebound.,30,52
17:22,197,Mitchell Solomon missed Three Point Jumper.,30,52
17:22,2429,Andrien White Defensive Rebound.,30,52
17:07,197,Foul on Mitchell Solomon.,30,52
17:07,2429,Andrien White made Free Throw.,31,52
17:07,2429,Andrien White made Free Throw.,32,52
16:55,197,Lindy Waters III Turnover.,32,52
16:54,2429,Hudson Price Steal.,32,52
16:47,2429,Jon Davis missed Layup.,32,52
16:47,197,Brandon Averette Defensive Rebound.,32,52
16:40,197,Brandon Averette missed Layup.,32,52
16:40,2429,Najee Garvin Defensive Rebound.,32,52
16:39,197,Foul on Mitchell Solomon.,32,52
16:28,2429,Hudson Price missed Three Point Jumper.,32,52
16:28,2429,Charlotte Offensive Rebound.,32,52
16:25,197,Foul on Thomas Dziagwa.,32,52
16:20,2429,Hudson Price made Layup. Assisted by Najee Garvin.,34,52
15:50,197,Brandon Averette made Dunk.,34,54
15:31,2429,Austin Ajukwa missed Three Point Jumper.,34,54
15:31,197,Brandon Averette Defensive Rebound.,34,54
15:00,197,Brandon Averette made Three Point Jumper. Assisted by Lindy Waters III.,34,57
14:47,2429,Charlotte  Timeout,34,57
14:34,2429,Milos Supica missed Layup.,34,57
14:34,197,Lindy Waters III Defensive Rebound.,34,57
14:04,197,Brandon Averette missed Jumper.,34,57
14:04,2429,Andrien White Defensive Rebound.,34,57
13:58,2429,Andrien White made Three Point Jumper.,37,57
13:34,197,Cameron McGriff made Layup. Assisted by Brandon Averette.,37,59
13:34,2429,Foul on Hudson Price.,37,59
13:33,197,Official TV Timeout,37,59
13:33,197,Cameron McGriff missed Free Throw.,37,59
13:33,2429,Hudson Price Defensive Rebound.,37,59
13:19,2429,Jon Davis missed Jumper.,37,59
13:19,2429,Charlotte Offensive Rebound.,37,59
13:19,197,Foul on Thomas Dziagwa.,37,59
13:10,2429,Jaylan McGill missed Three Point Jumper.,37,59
13:10,197,Lindy Waters III Defensive Rebound.,37,59
12:46,197,Cameron McGriff made Three Point Jumper. Assisted by Thomas Dziagwa.,37,62
12:26,2429,Andrien White missed Three Point Jumper.,37,62
12:26,197,Thomas Dziagwa Defensive Rebound.,37,62
12:17,197,Thomas Dziagwa Turnover.,37,62
12:15,2429,Andrien White Steal.,37,62
12:14,2429,Andrien White made Layup.,39,62
11:47,197,Thomas Dziagwa made Three Point Jumper. Assisted by Lindy Waters III.,39,65
11:29,197,Official TV Timeout,39,65
11:29,2429,Foul on Andrien White.,39,65
11:29,2429,Andrien White Turnover.,39,65
11:29,197,Official TV Timeout,39,65
11:17,197,Thomas Dziagwa made Three Point Jumper. Assisted by Zack Dawson.,39,68
10:52,2429,Jaylan McGill made Three Point Jumper. Assisted by Hudson Price.,42,68
10:38,197,Foul on Lucas N'Guessan.,42,68
10:38,197,Lucas N'Guessan Turnover.,42,68
10:22,2429,Najee Garvin missed Jumper.,42,68
10:22,2429,Hudson Price Offensive Rebound.,42,68
10:15,197,Foul on Cameron McGriff.,42,68
10:15,2429,Hudson Price missed Free Throw.,42,68
10:15,2429,Charlotte Deadball Team Rebound.,42,68
10:15,2429,Hudson Price missed Free Throw.,42,68
10:15,197,Cameron McGriff Defensive Rebound.,42,68
9:53,197,Kendall Smith missed Three Point Jumper.,42,68
9:53,2429,Jon Davis Defensive Rebound.,42,68
9:45,2429,Jon Davis missed Layup.,42,68
9:45,197,Cameron McGriff Defensive Rebound.,42,68
9:37,197,Zack Dawson made Layup. Assisted by Kendall Smith.,42,70
9:23,2429,Jon Davis missed Jumper.,42,70
9:23,197,Lucas N'Guessan Defensive Rebound.,42,70
9:13,197,Kendall Smith made Jumper.,42,72
8:57,197,Foul on Lucas N'Guessan.,42,72
8:57,2429,Andrien White made Free Throw.,43,72
8:57,2429,Andrien White made Free Throw.,44,72
8:51,197,Tavarius Shine missed Three Point Jumper.,44,72
8:51,2429,Bryant Thomas Defensive Rebound.,44,72
8:36,197,Foul on Tavarius Shine.,44,72
8:36,2429,Najee Garvin made Free Throw.,45,72
8:36,2429,Najee Garvin made Free Throw.,46,72
8:17,197,Kendall Smith Turnover.,46,72
8:08,2429,Najee Garvin missed Jumper.,46,72
8:08,2429,Andrien White Offensive Rebound.,46,72
8:05,2429,Andrien White made Layup.,48,72
7:39,197,Cameron McGriff made Jumper. Assisted by Kendall Smith.,48,74
7:18,2429,Najee Garvin Turnover.,48,74
7:18,197,Official TV Timeout,48,74
6:59,197,Thomas Dziagwa Turnover.,48,74
6:58,2429,Ryan Murphy Steal.,48,74
6:54,2429,Ryan Murphy missed Layup.,48,74
6:54,197,Cameron McGriff Block.,48,74
6:53,2429,Bryant Thomas Offensive Rebound.,48,74
6:49,2429,Bryant Thomas made Layup.,50,74
6:16,197,Oklahoma State  Turnover.,50,74
6:00,2429,Milos Supica made Layup. Assisted by Jon Davis.,52,74
5:31,2429,Foul on Milos Supica.,52,74
5:31,197,Brandon Averette missed Free Throw.,52,74
5:31,197,Oklahoma State Deadball Team Rebound.,52,74
5:31,197,Brandon Averette made Free Throw.,52,75
5:18,2429,Milos Supica made Layup. Assisted by Jon Davis.,54,75
5:18,197,Foul on Zack Dawson.,54,75
5:18,2429,Milos Supica made Free Throw.,55,75
5:05,197,Tavarius Shine made Layup.,55,77
4:50,2429,Andrien White made Jumper. Assisted by Milos Supica.,57,77
4:21,197,Cameron McGriff missed Three Point Jumper.,57,77
4:21,2429,Jon Davis Defensive Rebound.,57,77
4:04,2429,Andrien White missed Jumper.,57,77
4:04,197,Tavarius Shine Defensive Rebound.,57,77
3:59,197,Official TV Timeout,57,77
3:42,197,Zack Dawson missed Jumper.,57,77
3:42,2429,Jon Davis Defensive Rebound.,57,77
3:30,2429,Ryan Murphy made Three Point Jumper. Assisted by Jon Davis.,60,77
3:13,197,Tavarius Shine missed Jumper.,60,77
3:13,197,Mitchell Solomon Offensive Rebound.,60,77
2:54,197,Zack Dawson made Jumper.,60,79
2:35,2429,Jon Davis missed Jumper.,60,79
2:35,2429,Milos Supica Offensive Rebound.,60,79
2:31,2429,Milos Supica missed Layup.,60,79
2:31,197,Tavarius Shine Block.,60,79
2:29,197,Zack Dawson Defensive Rebound.,60,79
2:26,197,Zack Dawson Turnover.,60,79
2:18,2429,Jon Davis Turnover.,60,79
2:01,197,Trey Reeves missed Layup.,60,79
2:01,2429,Ryan Murphy Defensive Rebound.,60,79
1:52,197,Foul on Trey Reeves.,60,79
1:52,2429,Austin Ajukwa made Free Throw.,61,79
1:52,2429,Austin Ajukwa made Free Throw.,62,79
1:36,197,Cameron McGriff missed Jumper.,62,79
1:36,2429,Jailan Haslem Defensive Rebound.,62,79
1:18,2429,Ryan Murphy Turnover.,62,79
1:17,197,Cameron McGriff Steal.,62,79
1:14,197,Zack Dawson made Layup. Assisted by Brandon Averette.,62,81
0:56,2429,Milos Supica missed Layup.,62,81
0:56,197,Cameron McGriff Block.,62,81
0:55,197,Brandon Averette Defensive Rebound.,62,81
0:49,2429,Foul on Austin Ajukwa.,62,81
0:49,197,Brandon Averette made Free Throw.,62,82
0:49,197,Brandon Averette made Free Throw.,62,83
0:28,2429,Ryan Murphy made Three Point Jumper. Assisted by Milos Supica.,65,83
0:00,197,End of Game,65,83
