Saint Peter's,77,Northwestern,2612
1:29,77,Vic Law Offensive Rebound.,61,71
1:25,77,Vic Law made Layup.,61,73
1:15,2612,Nick Griffin made Three Point Jumper. Assisted by Davauhnte Turner.,64,73
1:13,2612,Saint Peter's  Timeout,64,73
0:48,77,Vic Law missed Three Point Jumper.,64,73
0:48,2612,Saint Peter's Defensive Rebound.,64,73
0:32,2612,Davauhnte Turner made Layup.,66,73
0:29,2612,Foul on Nick Griffin.,66,73
0:29,77,Scottie Lindsey made Free Throw.,66,74
0:29,77,Scottie Lindsey made Free Throw.,66,75
0:27,2612,Sam Idowu Turnover.,66,75
0:00,77,End of Game,66,75
