Lynchburg,Error,Norfolk State,2450
1:54,2450,Derrik Jamerson Jr. Offensive Rebound.,30,39
1:54,-1,Foul on Chance Greene.,30,39
1:54,2450,Derrik Jamerson Jr. missed Free Throw.,30,39
1:54,2450,Dan Robinson Offensive Rebound.,30,39
1:51,2450,Dan Robinson Turnover.,30,39
1:47,-1,Chance Greene made Three Point Jumper.,33,39
1:27,2450,Mastadi Pitt made Three Point Jumper. Assisted by Derrik Jamerson Jr..,33,42
1:27,-1,Foul on Jesse Case.,33,42
1:27,2450,Mastadi Pitt made Free Throw.,33,43
1:16,-1,Chance Greene missed Three Point Jumper.,33,43
1:16,2450,Steven Whitley Defensive Rebound.,33,43
1:09,2450,Steven Whitley made Layup.,33,45
1:09,-1,Foul on Jesse Case.,33,45
1:09,2450,Dan Robinson Turnover.,33,45
1:00,-1,Connor Schroeder made Layup. Assisted by Logan Seacrist.,35,45
0:51,2450,Preston Bungei made Layup.,35,47
0:35,-1,Aaric Marks missed Jumper.,35,47
0:35,-1,Connor Schroeder Offensive Rebound.,35,47
0:32,-1,Connor Schroeder made Layup.,37,47
0:04,2450,Preston Bungei missed Jumper.,37,47
0:04,2450,Steven Whitley Offensive Rebound.,37,47
0:00,2450,End of 1st half,37,47
19:35,-1,Logan Seacrist made Layup.,39,47
19:17,-1,Foul on Logan Seacrist.,39,47
19:17,2450,Alex Long missed Free Throw.,39,47
19:17,2450,Norfolk State Deadball Team Rebound.,39,47
19:17,2450,Preston Bungei Turnover.,39,47
19:09,2450,Foul on Preston Bungei.,39,47
19:09,-1,Connor Schroeder made Free Throw.,40,47
19:09,-1,Connor Schroeder made Free Throw.,41,47
18:53,2450,Steven Whitley Turnover.,41,47
18:41,-1,Austin Wrighten missed Jumper.,41,47
18:41,2450,Dan Robinson Block.,41,47
18:40,2450,Stavian Allen Defensive Rebound.,41,47
18:19,2450,Nic Thomas Turnover.,41,47
18:18,-1,Austin Wrighten Steal.,41,47
18:16,-1,Austin Wrighten made Layup.,43,47
18:07,2450,Dan Robinson made Dunk. Assisted by Nic Thomas.,43,49
17:58,-1,Connor Schroeder missed Three Point Jumper.,43,49
17:58,2450,Steven Whitley Defensive Rebound.,43,49
17:48,2450,Stavian Allen missed Three Point Jumper.,43,49
17:48,-1,Jesse Case Defensive Rebound.,43,49
17:38,-1,Austin Wrighten made Three Point Jumper. Assisted by Connor Schroeder.,46,49
17:14,2450,Stavian Allen made Jumper. Assisted by Mastadi Pitt.,46,51
17:05,-1,Devante' Young missed Jumper.,46,51
17:05,2450,Nic Thomas Defensive Rebound.,46,51
16:57,2450,Nic Thomas missed Layup.,46,51
16:57,-1,Jesse Case Defensive Rebound.,46,51
16:52,2450,Foul on Steven Whitley.,46,51
16:52,-1,Devante' Young made Free Throw.,47,51
16:52,-1,Devante' Young made Free Throw.,48,51
16:39,2450,Stavian Allen Turnover.,48,51
16:39,2450,Foul on Stavian Allen.,48,51
16:17,-1,Connor Schroeder missed Jumper.,48,51
16:17,2450,Kyle Williams Defensive Rebound.,48,51
16:10,2450,Mastadi Pitt Turnover.,48,51
16:10,2450,Foul on Mastadi Pitt.,48,51
16:02,-1,Austin Wrighten missed Jumper.,48,51
16:02,2450,Derrik Jamerson Jr. Defensive Rebound.,48,51
15:49,2450,Mastadi Pitt Turnover.,48,51
15:49,2450,Official TV Timeout,48,51
15:39,2450,Foul on Dan Robinson.,48,51
15:39,-1,Reggie Davis made Free Throw.,49,51
15:39,-1,Reggie Davis made Free Throw.,50,51
15:22,2450,Mastadi Pitt made Three Point Jumper. Assisted by Kyle Williams.,50,54
15:03,-1,Logan Seacrist made Jumper.,52,54
14:44,2450,Derrik Jamerson Jr. missed Jumper.,52,54
14:44,-1,Reggie Davis Defensive Rebound.,52,54
14:35,-1,Austin Wrighten Turnover.,52,54
14:22,2450,Mastadi Pitt made Layup. Assisted by Dan Robinson.,52,56
14:22,-1,Foul on Logan Seacrist.,52,56
14:22,2450,Mastadi Pitt missed Free Throw.,52,56
14:22,-1,Austin Wrighten Defensive Rebound.,52,56
14:13,-1,Chance Greene missed Three Point Jumper.,52,56
14:13,-1,Logan Seacrist Offensive Rebound.,52,56
14:06,-1,Logan Seacrist missed Layup.,52,56
14:06,2450,Alex Long Defensive Rebound.,52,56
13:59,2450,Mastadi Pitt missed Three Point Jumper.,52,56
13:59,-1,Jesse Case Defensive Rebound.,52,56
13:52,-1,Reggie Davis made Dunk. Assisted by Jesse Case.,54,56
13:23,2450,Alex Long Turnover.,54,56
13:10,-1,Reggie Davis missed Three Point Jumper.,54,56
13:10,2450,Kyle Williams Defensive Rebound.,54,56
12:58,2450,Alex Long missed Jumper.,54,56
12:58,2450,Preston Bungei Offensive Rebound.,54,56
12:55,2450,Preston Bungei missed Layup.,54,56
12:55,-1,Logan Seacrist Block.,54,56
12:53,-1,Logan Seacrist Defensive Rebound.,54,56
12:49,-1,Jesse Case made Layup.,56,56
12:31,-1,Foul on Chance Greene.,56,56
12:31,2450,Mastadi Pitt made Free Throw.,56,57
12:31,2450,Mastadi Pitt missed Free Throw.,56,57
12:31,-1,Logan Seacrist Defensive Rebound.,56,57
12:24,-1,Connor Schroeder missed Layup.,56,57
12:24,2450,Dan Robinson Block.,56,57
12:23,2450,Kyle Williams Defensive Rebound.,56,57
12:15,-1,Foul on Austin Wrighten.,56,57
12:15,2450,Kyle Williams made Free Throw.,56,58
12:15,2450,Kyle Williams made Free Throw.,56,59
12:15,2450,Kyle Williams made Free Throw.,56,60
12:04,-1,Logan Seacrist Turnover.,56,60
11:53,2450,Nic Thomas made Layup.,56,62
11:35,-1,Connor Schroeder made Layup. Assisted by Logan Seacrist.,58,62
11:19,2450,Nic Thomas made Three Point Jumper. Assisted by Preston Bungei.,58,65
11:02,-1,Logan Seacrist Turnover.,58,65
11:01,2450,Nic Thomas Steal.,58,65
10:58,2450,Mastadi Pitt Turnover.,58,65
10:57,-1,Chance Greene Steal.,58,65
10:53,-1,Logan Seacrist missed Three Point Jumper.,58,65
10:53,2450,Preston Bungei Defensive Rebound.,58,65
10:46,-1,Foul on Jesse Case.,58,65
10:46,2450,Official TV Timeout,58,65
10:46,2450,Preston Bungei made Free Throw.,58,66
10:46,2450,Preston Bungei made Free Throw.,58,67
10:35,-1,Connor Schroeder missed Layup.,58,67
10:35,2450,Preston Bungei Block.,58,67
10:33,-1,Logan Seacrist Offensive Rebound.,58,67
10:29,-1,Luke Romeo made Three Point Jumper. Assisted by Logan Seacrist.,61,67
10:18,2450,Mastadi Pitt missed Three Point Jumper.,61,67
10:18,-1,Logan Seacrist Defensive Rebound.,61,67
9:56,-1,Logan Seacrist missed Three Point Jumper.,61,67
9:56,2450,Mastadi Pitt Defensive Rebound.,61,67
9:45,2450,Nic Thomas missed Three Point Jumper.,61,67
9:45,-1,Logan Seacrist Defensive Rebound.,61,67
9:37,-1,Luke Romeo missed Three Point Jumper.,61,67
9:37,2450,Steven Whitley Defensive Rebound.,61,67
9:30,2450,Steven Whitley Turnover.,61,67
9:30,-1,Devante' Young Steal.,61,67
9:30,-1,Lynchburg  Timeout,61,67
9:30,2450,Official TV Timeout,61,67
9:22,-1,Reggie Davis missed Three Point Jumper.,61,67
9:22,2450,Preston Bungei Defensive Rebound.,61,67
9:10,2450,Nic Thomas missed Jumper.,61,67
9:10,-1,Jamil Pasha Defensive Rebound.,61,67
9:03,-1,Reggie Davis made Three Point Jumper. Assisted by Logan Seacrist.,64,67
8:32,2450,Dan Robinson missed Jumper.,64,67
8:32,2450,Steven Whitley Offensive Rebound.,64,67
8:25,2450,Norfolk State  Turnover.,64,67
8:12,-1,Reggie Davis missed Layup.,64,67
8:12,2450,Preston Bungei Block.,64,67
8:11,2450,Dan Robinson Defensive Rebound.,64,67
8:06,-1,Foul on Devante' Young.,64,67
8:06,2450,Steven Whitley missed Free Throw.,64,67
8:06,2450,Norfolk State Deadball Team Rebound.,64,67
8:06,2450,Steven Whitley made Free Throw.,64,68
8:01,2450,Foul on Steven Whitley.,64,68
7:51,-1,Jamil Pasha missed Three Point Jumper.,64,68
7:51,2450,Kyle Williams Defensive Rebound.,64,68
7:42,2450,Kyle Williams missed Three Point Jumper.,64,68
7:42,2450,Alex Long Offensive Rebound.,64,68
7:39,2450,Alex Long made Layup.,64,70
7:39,-1,Foul on Reggie Davis.,64,70
7:39,2450,Official TV Timeout,64,70
7:39,2450,Alex Long missed Free Throw.,64,70
7:39,-1,Lynchburg Deadball Team Rebound.,64,70
7:38,2450,Foul on Preston Bungei.,64,70
7:38,-1,Reggie Davis made Free Throw.,65,70
7:38,-1,Reggie Davis made Free Throw.,66,70
7:26,2450,Alex Long Turnover.,66,70
7:25,-1,Connor Schroeder Steal.,66,70
7:21,-1,Austin Wrighten missed Layup.,66,70
7:21,-1,Austin Wrighten Offensive Rebound.,66,70
7:17,-1,Austin Wrighten made Two Point Tip Shot.,68,70
6:59,2450,Preston Bungei missed Layup.,68,70
6:59,-1,Devante' Young Defensive Rebound.,68,70
6:53,-1,Devante' Young made Layup.,70,70
6:25,2450,Preston Bungei made Jumper.,70,72
6:14,-1,Connor Schroeder Turnover.,70,72
6:14,-1,Foul on Connor Schroeder.,70,72
6:00,2450,Preston Bungei Turnover.,70,72
5:54,-1,Jesse Case missed Three Point Jumper.,70,72
5:54,2450,Dan Robinson Defensive Rebound.,70,72
5:34,2450,Foul on Kyle Williams.,70,72
5:34,2450,Kyle Williams Turnover.,70,72
5:23,-1,Connor Schroeder made Three Point Jumper. Assisted by Chance Greene.,73,72
5:02,2450,Preston Bungei made Jumper.,73,74
5:01,2450,Norfolk State  Timeout,73,74
4:48,-1,Connor Schroeder missed Three Point Jumper.,73,74
4:48,2450,Kyle Williams Defensive Rebound.,73,74
4:36,2450,Foul on Preston Bungei.,73,74
4:36,2450,Preston Bungei Turnover.,73,74
4:22,-1,Chance Greene made Layup. Assisted by Connor Schroeder.,75,74
4:12,2450,Kyle Williams missed Three Point Jumper.,75,74
4:12,2450,Steven Whitley Offensive Rebound.,75,74
4:09,-1,Foul on Connor Schroeder.,75,74
4:09,2450,Steven Whitley made Free Throw.,75,75
4:09,2450,Steven Whitley made Free Throw.,75,76
3:56,-1,Connor Schroeder missed Layup.,75,76
3:56,2450,Stavian Allen Block.,75,76
3:54,-1,Jesse Case Offensive Rebound.,75,76
3:52,-1,Jesse Case missed Three Point Jumper.,75,76
3:52,2450,Stavian Allen Defensive Rebound.,75,76
3:43,2450,Stavian Allen missed Three Point Jumper.,75,76
3:43,-1,Logan Seacrist Defensive Rebound.,75,76
3:33,-1,Logan Seacrist missed Three Point Jumper.,75,76
3:33,2450,Preston Bungei Block.,75,76
3:31,2450,Steven Whitley Defensive Rebound.,75,76
3:28,2450,Stavian Allen Turnover.,75,76
3:28,2450,Official TV Timeout,75,76
3:11,-1,Connor Schroeder made Layup. Assisted by Austin Wrighten.,77,76
2:57,2450,Mastadi Pitt Turnover.,77,76
2:56,-1,Connor Schroeder Steal.,77,76
2:52,-1,Austin Wrighten made Layup. Assisted by Jesse Case.,79,76
2:38,-1,Foul on Austin Wrighten.,79,76
2:38,2450,Steven Whitley made Free Throw.,79,77
2:38,2450,Steven Whitley made Free Throw.,79,78
2:29,-1,Chance Greene Turnover.,79,78
2:28,2450,Preston Bungei Steal.,79,78
2:23,2450,Mastadi Pitt missed Three Point Jumper.,79,78
2:23,-1,Logan Seacrist Defensive Rebound.,79,78
2:06,-1,Chance Greene missed Three Point Jumper.,79,78
2:06,-1,Austin Wrighten Offensive Rebound.,79,78
2:01,-1,Austin Wrighten made Jumper.,81,78
1:40,-1,Foul on Chance Greene.,81,78
1:40,2450,Mastadi Pitt made Free Throw.,81,79
1:40,-1,Lynchburg  Timeout,81,79
1:40,2450,Mastadi Pitt made Free Throw.,81,80
1:27,-1,Connor Schroeder missed Three Point Jumper.,81,80
1:27,2450,Steven Whitley Defensive Rebound.,81,80
1:17,2450,Nic Thomas missed Layup.,81,80
1:17,-1,Logan Seacrist Block.,81,80
1:16,-1,Devante' Young Defensive Rebound.,81,80
0:58,-1,Jesse Case missed Three Point Jumper.,81,80
0:58,2450,Norfolk State Deadball Team Rebound.,81,80
0:56,-1,Foul on Logan Seacrist.,81,80
0:56,2450,Stavian Allen missed Free Throw.,81,80
0:56,2450,Norfolk State Deadball Team Rebound.,81,80
0:56,2450,Stavian Allen missed Free Throw.,81,80
0:56,2450,Norfolk State Offensive Rebound.,81,80
0:54,2450,Norfolk State  Timeout,81,80
0:48,2450,Nic Thomas missed Three Point Jumper.,81,80
0:48,-1,Austin Wrighten Defensive Rebound.,81,80
0:47,2450,Foul on Stavian Allen.,81,80
0:47,-1,Austin Wrighten missed Free Throw.,81,80
0:47,-1,Lynchburg Deadball Team Rebound.,81,80
0:47,-1,Austin Wrighten made Free Throw.,82,80
0:35,2450,Steven Whitley missed Layup.,82,80
0:35,-1,Logan Seacrist Defensive Rebound.,82,80
0:30,-1,Lynchburg  Timeout,82,80
0:24,2450,Foul on Preston Bungei.,82,80
0:24,-1,Austin Wrighten made Free Throw.,83,80
0:24,-1,Austin Wrighten missed Free Throw.,83,80
0:24,2450,Stavian Allen Defensive Rebound.,83,80
0:16,2450,Mastadi Pitt Turnover.,83,80
0:15,-1,Austin Wrighten Steal.,83,80
0:13,-1,Logan Seacrist Turnover.,83,80
0:04,2450,Steven Whitley missed Three Point Jumper.,83,80
0:04,2450,Kyle Williams Offensive Rebound.,83,80
