North Carolina Central,339,Evansville,2428
4:22,2428,North Carolina Central  Timeout,18,35
4:07,2428,Raasean Davis made Jumper. Assisted by Reginald Gardner Jr.,20,35
3:47,339,Ryan Taylor missed Three Point Jumper.,20,35
3:47,2428,Raasean Davis Defensive Rebound.,20,35
3:18,339,Foul on Blake Simmons.,20,35
3:18,2428,Zacarry Douglas made Free Throw.,21,35
3:18,2428,Zacarry Douglas made Free Throw.,22,35
3:03,339,Noah Frederking missed Three Point Jumper.,22,35
3:03,2428,North Carolina Central Defensive Rebound.,22,35
2:46,2428,Alex Mills missed Three Point Jumper.,22,35
2:46,2428,Larry McKnight Jr. Offensive Rebound.,22,35
2:29,2428,C.J. Wiggins Turnover.,22,35
2:14,339,Noah Frederking Turnover.,22,35
2:14,2428,Larry McKnight Jr. Steal.,22,35
1:58,2428,Raasean Davis missed Jumper.,22,35
1:58,339,Dainius Chatkevicius Defensive Rebound.,22,35
1:44,339,Blake Simmons missed Jumper.,22,35
1:44,2428,Zacarry Douglas Defensive Rebound.,22,35
1:34,2428,Larry McKnight Jr. missed Jumper.,22,35
1:34,339,Dainius Chatkevicius Block.,22,35
1:32,339,Dainius Chatkevicius Defensive Rebound.,22,35
1:24,2428,Foul on Raasean Davis.,22,35
1:24,339,Dru Smith missed Free Throw.,22,35
1:24,339,Evansville Deadball Team Rebound.,22,35
1:24,339,Dru Smith made Free Throw.,22,36
1:09,2428,Reginald Gardner Jr made Three Point Jumper. Assisted by C.J. Wiggins.,25,36
0:54,339,Ryan Taylor missed Three Point Jumper.,25,36
0:54,339,Duane Gibson Offensive Rebound.,25,36
0:35,339,Duane Gibson missed Jumper.,25,36
0:35,2428,North Carolina Central Defensive Rebound.,25,36
0:03,339,Foul on Blake Simmons.,25,36
0:03,2428,C.J. Wiggins made Free Throw.,26,36
0:03,2428,C.J. Wiggins missed Free Throw.,26,36
0:03,339,Duane Gibson Defensive Rebound.,26,36
0:00,339,End of 1st half,26,36
19:42,2428,Raasean Davis missed Jumper.,26,36
19:42,339,Dalen Traore Defensive Rebound.,26,36
19:25,339,Blake Simmons made Three Point Jumper. Assisted by Duane Gibson.,26,39
19:01,2428,Reginald Gardner Jr Turnover.,26,39
18:59,339,Dru Smith Steal.,26,39
18:51,339,Dalen Traore missed Layup.,26,39
18:51,2428,Pablo Rivas Block.,26,39
18:51,339,Evansville Offensive Rebound.,26,39
18:41,339,Duane Gibson made Layup. Assisted by Dru Smith.,26,41
18:20,2428,Pablo Rivas made Layup.,28,41
18:01,339,Ryan Taylor made Three Point Jumper. Assisted by Dru Smith.,28,44
17:45,2428,Foul on Pablo Rivas.,28,44
17:45,2428,Pablo Rivas Turnover.,28,44
17:30,339,Blake Simmons missed Three Point Jumper.,28,44
17:30,2428,Raasean Davis Defensive Rebound.,28,44
17:21,339,Foul on Duane Gibson.,28,44
17:14,2428,Reginald Gardner Jr made Jumper. Assisted by Pablo Rivas.,30,44
16:43,339,Ryan Taylor missed Jumper.,30,44
16:43,2428,Brandon Goldsmith Block.,30,44
16:40,2428,Brandon Goldsmith Defensive Rebound.,30,44
16:38,2428,Alston Jones Turnover.,30,44
16:23,339,Dalen Traore made Layup. Assisted by Ryan Taylor.,30,46
15:57,2428,Raasean Davis Turnover.,30,46
15:57,339,Evansville  Timeout,30,46
15:29,2428,Foul on Brandon Goldsmith.,30,46
15:29,339,Ryan Taylor made Free Throw.,30,47
15:29,339,Ryan Taylor made Free Throw.,30,48
15:17,2428,Raasean Davis made Layup. Assisted by Reginald Gardner Jr.,32,48
15:04,2428,Foul on Brandon Goldsmith.,32,48
15:04,339,Ryan Taylor missed Free Throw.,32,48
15:04,339,Evansville Deadball Team Rebound.,32,48
15:04,339,Ryan Taylor missed Free Throw.,32,48
15:04,2428,Raasean Davis Defensive Rebound.,32,48
14:47,339,Foul on Dainius Chatkevicius.,32,48
14:42,2428,Reginald Gardner Jr Turnover.,32,48
14:40,339,Duane Gibson Steal.,32,48
14:32,339,Ryan Taylor missed Layup.,32,48
14:32,2428,Brandon Goldsmith Defensive Rebound.,32,48
14:28,2428,Brandon Goldsmith Turnover.,32,48
14:04,339,Ryan Taylor missed Jumper.,32,48
14:04,2428,C.J. Wiggins Defensive Rebound.,32,48
14:00,339,Foul on Solomon Hainna.,32,48
13:43,2428,Raasean Davis missed Jumper.,32,48
13:43,339,Duane Gibson Block.,32,48
13:42,2428,North Carolina Central Offensive Rebound.,32,48
13:34,2428,Reginald Gardner Jr made Layup.,34,48
13:34,339,Foul on Dainius Chatkevicius.,34,48
13:34,2428,Reginald Gardner Jr made Free Throw.,35,48
13:22,339,Blake Simmons missed Layup.,35,48
13:22,2428,Raasean Davis Defensive Rebound.,35,48
13:17,2428,Larry McKnight Jr. made Layup.,37,48
13:06,339,Ryan Taylor missed Layup.,37,48
13:06,2428,Zacarry Douglas Defensive Rebound.,37,48
12:42,2428,Reginald Gardner Jr missed Jumper.,37,48
12:42,339,Dalen Traore Defensive Rebound.,37,48
12:25,339,Foul on Dru Smith.,37,48
12:25,339,Dru Smith Turnover.,37,48
12:03,2428,Larry McKnight Jr. missed Three Point Jumper.,37,48
12:03,339,Dru Smith Defensive Rebound.,37,48
11:52,339,Dru Smith missed Three Point Jumper.,37,48
11:52,339,Duane Gibson Offensive Rebound.,37,48
11:27,339,Duane Gibson made Layup. Assisted by Dru Smith.,37,50
10:54,2428,C.J. Wiggins made Three Point Jumper. Assisted by Reginald Gardner Jr.,40,50
10:20,339,Dalen Traore missed Layup.,40,50
10:20,2428,Raasean Davis Defensive Rebound.,40,50
10:09,2428,C.J. Wiggins missed Three Point Jumper.,40,50
10:09,2428,North Carolina Central Offensive Rebound.,40,50
10:01,2428,North Carolina Central  Timeout,40,50
10:00,2428,Foul on Zacarry Douglas.,40,50
10:00,2428,Zacarry Douglas Turnover.,40,50
9:45,339,K.J. Riley Turnover.,40,50
9:43,2428,Larry McKnight Jr. Steal.,40,50
9:40,2428,Foul on Larry McKnight Jr..,40,50
9:40,2428,Larry McKnight Jr. made Free Throw.,41,50
9:40,2428,Larry McKnight Jr. made Free Throw.,42,50
9:25,2428,Foul on Larry McKnight Jr..,42,50
9:25,339,Ryan Taylor made Free Throw.,42,51
9:25,339,Ryan Taylor missed Free Throw.,42,51
9:25,2428,Zacarry Douglas Defensive Rebound.,42,51
9:06,2428,Raasean Davis made Layup. Assisted by C.J. Wiggins.,44,51
9:06,339,Foul on K.J. Riley.,44,51
9:06,2428,Raasean Davis missed Free Throw.,44,51
9:06,339,Dalen Traore Defensive Rebound.,44,51
8:47,339,Blake Simmons missed Three Point Jumper.,44,51
8:47,2428,Zacarry Douglas Defensive Rebound.,44,51
8:28,2428,Foul on Larry McKnight Jr..,44,51
8:28,2428,Larry McKnight Jr. Turnover.,44,51
8:20,339,Ryan Taylor made Free Throw.,44,52
8:20,339,Ryan Taylor made Free Throw.,44,53
8:20,2428,Foul on Reginald Gardner Jr.,44,53
8:04,2428,Reginald Gardner Jr missed Three Point Jumper.,44,53
8:04,2428,Larry McKnight Jr. Offensive Rebound.,44,53
8:00,2428,Larry McKnight Jr. made Layup.,46,53
7:28,339,Duane Gibson Turnover.,46,53
7:27,2428,Reginald Gardner Jr Steal.,46,53
6:57,2428,Larry McKnight Jr. missed Three Point Jumper.,46,53
6:57,339,Dalen Traore Defensive Rebound.,46,53
6:41,339,Ryan Taylor made Jumper. Assisted by Dru Smith.,46,55
6:30,2428,North Carolina Central  Timeout,46,55
6:18,2428,Reginald Gardner Jr missed Jumper.,46,55
6:18,339,Evansville Defensive Rebound.,46,55
6:13,339,Evansville  Timeout,46,55
5:53,339,Duane Gibson missed Jumper.,46,55
5:53,339,Dalen Traore Offensive Rebound.,46,55
5:48,339,Evansville  Timeout,46,55
5:33,339,Dalen Traore made Jumper. Assisted by Ryan Taylor.,46,57
5:01,2428,Raasean Davis made Jumper.,48,57
4:35,339,Dalen Traore made Layup. Assisted by Dru Smith.,48,59
4:19,2428,Foul on Reginald Gardner Jr.,48,59
4:19,2428,Reginald Gardner Jr Turnover.,48,59
4:02,339,Dalen Traore Turnover.,48,59
3:39,2428,C.J. Wiggins missed Three Point Jumper.,48,59
3:39,339,Evansville Defensive Rebound.,48,59
3:36,339,Evansville  Timeout,48,59
3:27,339,Ryan Taylor made Layup.,48,61
3:06,2428,Larry McKnight Jr. Turnover.,48,61
2:51,339,Duane Gibson made Layup. Assisted by Blake Simmons.,48,63
2:24,2428,Reginald Gardner Jr missed Three Point Jumper.,48,63
2:24,339,Duane Gibson Defensive Rebound.,48,63
2:16,339,Foul on Duane Gibson.,48,63
2:16,339,Duane Gibson Turnover.,48,63
1:59,339,Foul on Dalen Traore.,48,63
1:59,2428,Raasean Davis made Free Throw.,49,63
1:59,2428,Raasean Davis missed Free Throw.,49,63
1:59,339,Dru Smith Defensive Rebound.,49,63
1:31,2428,Foul on Larry McKnight Jr..,49,63
1:31,339,Ryan Taylor made Free Throw.,49,64
1:31,339,Ryan Taylor made Free Throw.,49,65
1:23,2428,Zacarry Douglas made Layup.,51,65
1:23,339,Foul on Blake Simmons.,51,65
1:23,2428,Zacarry Douglas missed Free Throw.,51,65
1:23,2428,Zacarry Douglas Offensive Rebound.,51,65
1:20,2428,Zacarry Douglas missed Layup.,51,65
1:20,2428,Zacarry Douglas Offensive Rebound.,51,65
1:17,2428,Zacarry Douglas made Layup.,53,65
0:45,339,Blake Simmons made Three Point Jumper.,53,68
0:25,339,Foul on Dalen Traore.,53,68
0:25,2428,Raasean Davis missed Free Throw.,53,68
0:25,2428,North Carolina Central Deadball Team Rebound.,53,68
0:25,2428,Raasean Davis missed Free Throw.,53,68
0:25,2428,Zacarry Douglas Offensive Rebound.,53,68
0:22,2428,Zacarry Douglas missed Two Point Tip Shot.,53,68
0:22,2428,Zacarry Douglas Offensive Rebound.,53,68
0:21,2428,Zacarry Douglas made Layup.,55,68
0:21,339,Blake Simmons Turnover.,55,68
0:13,2428,Pablo Rivas missed Jumper.,55,68
0:13,339,Dru Smith Defensive Rebound.,55,68
0:00,339,End of Game,55,68
