CSU Northridge,278,Fresno State,2463
7:14,2463,Anthony Swan missed Jumper.,25,27
7:14,278,Deshon Taylor Defensive Rebound.,25,27
7:07,278,Jahmel Taylor made Three Point Jumper. Assisted by Deshon Taylor.,25,30
6:54,2463,Reggie Theus Jr. missed Layup.,25,30
6:54,278,Terrell Carter II Block.,25,30
6:52,278,Jaron Hopkins Defensive Rebound.,25,30
6:45,2463,Foul on Micheal Warren.,25,30
6:45,278,Official TV Timeout,25,30
6:45,278,Deshon Taylor made Free Throw.,25,31
6:45,278,Deshon Taylor made Free Throw.,25,32
6:37,2463,Anthony Swan missed Three Point Jumper.,25,32
6:37,278,Jahmel Taylor Defensive Rebound.,25,32
6:28,278,Deshon Taylor missed Layup.,25,32
6:28,2463,Anthony Swan Block.,25,32
6:28,278,Fresno State Offensive Rebound.,25,32
6:24,278,Bryson Williams made Layup.,25,34
6:07,2463,Micheal Warren Turnover.,25,34
6:06,278,Ray Bowles Jr. Steal.,25,34
6:04,278,Jaron Hopkins made Dunk. Assisted by Ray Bowles Jr..,25,36
6:04,2463,Foul on Zeno Lake.,25,36
6:04,278,Jaron Hopkins missed Free Throw.,25,36
6:04,2463,Micheal Warren Defensive Rebound.,25,36
5:42,2463,Terrell Gomez missed Three Point Jumper.,25,36
5:42,2463,CSU Northridge Offensive Rebound.,25,36
5:35,2463,Reggie Theus Jr. missed Jumper.,25,36
5:35,278,Deshon Taylor Defensive Rebound.,25,36
5:29,278,Deshon Taylor made Layup.,25,38
5:14,2463,Terrell Gomez Turnover.,25,38
5:13,278,Jaron Hopkins Steal.,25,38
5:01,2463,Foul on Lyrik Shreiner.,25,38
5:01,278,Deshon Taylor missed Free Throw.,25,38
5:01,278,Fresno State Deadball Team Rebound.,25,38
5:01,278,Deshon Taylor made Free Throw.,25,39
4:54,2463,Lyrik Shreiner missed Layup.,25,39
4:54,278,Terrell Carter II Defensive Rebound.,25,39
4:45,278,Ray Bowles Jr. missed Layup.,25,39
4:45,2463,Micheal Warren Defensive Rebound.,25,39
4:40,2463,Terrell Gomez made Layup. Assisted by Micheal Warren.,27,39
4:17,278,Deshon Taylor made Three Point Jumper. Assisted by Ray Bowles Jr..,27,42
3:51,2463,Lyrik Shreiner made Jumper.,29,42
3:33,278,Jaron Hopkins missed Jumper.,29,42
3:33,2463,Micheal Warren Defensive Rebound.,29,42
3:06,2463,Micheal Warren made Three Point Jumper. Assisted by Terrell Gomez.,32,42
3:06,278,Fresno State  Timeout,32,42
3:06,278,Official TV Timeout,32,42
2:50,278,Ray Bowles Jr. missed Three Point Jumper.,32,42
2:50,2463,Zeno Lake Defensive Rebound.,32,42
2:26,2463,Lyrik Shreiner missed Three Point Jumper.,32,42
2:26,278,Bryson Williams Defensive Rebound.,32,42
1:58,278,Deshon Taylor made Three Point Jumper.,32,45
1:30,2463,Lyrik Shreiner missed Layup.,32,45
1:30,278,Bryson Williams Defensive Rebound.,32,45
1:23,278,Deshon Taylor made Three Point Jumper. Assisted by Jahmel Taylor.,32,48
1:06,2463,CSU Northridge  Timeout,32,48
0:47,2463,Foul on Tavrion Dawson.,32,48
0:47,2463,Tavrion Dawson Turnover.,32,48
0:43,278,Deshon Taylor missed Jumper.,32,48
0:43,2463,Zeno Lake Defensive Rebound.,32,48
0:38,2463,Terrell Gomez made Layup. Assisted by Zeno Lake.,34,48
0:06,278,Deshon Taylor made Layup.,34,50
0:00,278,End of 1st half,34,50
19:52,278,Bryson Williams made Layup. Assisted by Ray Bowles Jr..,34,52
19:22,2463,Tavrion Dawson made Layup.,36,52
19:04,278,Ray Bowles Jr. missed Three Point Jumper.,36,52
19:04,278,Terrell Carter II Offensive Rebound.,36,52
18:56,278,Terrell Carter II missed Jumper.,36,52
18:56,2463,Tavrion Dawson Defensive Rebound.,36,52
18:42,2463,Tavrion Dawson missed Three Point Jumper.,36,52
18:42,278,Jaron Hopkins Defensive Rebound.,36,52
18:33,278,Jaron Hopkins missed Layup.,36,52
18:33,2463,Micheal Warren Defensive Rebound.,36,52
18:32,278,Foul on Bryson Williams.,36,52
18:14,2463,Tavrion Dawson made Layup.,38,52
17:43,278,Jaron Hopkins Turnover.,38,52
17:42,2463,Zeno Lake Steal.,38,52
17:36,2463,Lyrik Shreiner made Layup. Assisted by Terrell Gomez.,40,52
17:32,278,Fresno State  Timeout,40,52
17:17,278,Bryson Williams made Jumper.,40,54
17:17,2463,Foul on Tavrion Dawson.,40,54
17:17,278,Bryson Williams missed Free Throw.,40,54
17:17,2463,Zeno Lake Defensive Rebound.,40,54
17:17,278,Foul on Terrell Carter II.,40,54
16:54,2463,Micheal Warren missed Layup.,40,54
16:54,278,Bryson Williams Defensive Rebound.,40,54
16:32,278,Bryson Williams made Layup.,40,56
16:04,278,Foul on Terrell Carter II.,40,56
16:04,2463,Lyrik Shreiner missed Free Throw.,40,56
16:04,2463,CSU Northridge Deadball Team Rebound.,40,56
16:04,2463,Lyrik Shreiner made Free Throw.,41,56
15:44,278,Jaron Hopkins made Layup.,41,58
15:22,2463,Terrell Gomez missed Three Point Jumper.,41,58
15:22,278,Bryson Williams Defensive Rebound.,41,58
15:12,278,Nate Grimes missed Layup.,41,58
15:12,2463,Terrell Gomez Defensive Rebound.,41,58
14:50,278,Foul on Jahmel Taylor.,41,58
14:50,278,Official TV Timeout,41,58
14:50,2463,Micheal Warren made Free Throw.,42,58
14:50,2463,Micheal Warren made Free Throw.,43,58
14:30,278,Jaron Hopkins made Jumper.,43,60
13:59,2463,Lyrik Shreiner missed Layup.,43,60
13:59,278,Nate Grimes Block.,43,60
13:57,278,Jaron Hopkins Defensive Rebound.,43,60
13:54,278,Jaron Hopkins made Jumper.,43,62
13:54,2463,Foul on Reggie Theus Jr..,43,62
13:54,278,Jaron Hopkins missed Free Throw.,43,62
13:54,2463,Reggie Theus Jr. Defensive Rebound.,43,62
13:33,278,Foul on Jahmel Taylor.,43,62
13:33,2463,Terrell Gomez made Free Throw.,44,62
13:33,2463,Terrell Gomez made Free Throw.,45,62
13:21,278,Bryson Williams made Dunk. Assisted by Nate Grimes.,45,64
12:53,2463,Lyrik Shreiner missed Layup.,45,64
12:53,278,Nate Grimes Block.,45,64
12:53,2463,CSU Northridge Offensive Rebound.,45,64
12:51,2463,Micheal Warren missed Three Point Jumper.,45,64
12:51,278,Nate Grimes Defensive Rebound.,45,64
12:25,2463,Foul on Reggie Theus Jr..,45,64
12:25,278,Nate Grimes missed Free Throw.,45,64
12:25,278,Fresno State Deadball Team Rebound.,45,64
12:25,278,Nate Grimes made Free Throw.,45,65
12:02,2463,Reggie Theus Jr. made Layup. Assisted by Jonathan Guevara.,47,65
11:41,278,Nate Grimes made Layup. Assisted by Johnny McWilliams.,47,67
11:32,2463,Micheal Warren Turnover.,47,67
11:32,278,Johnny McWilliams Steal.,47,67
11:32,278,Official TV Timeout,47,67
11:13,2463,Foul on Micheal Warren.,47,67
10:57,278,Ray Bowles Jr. missed Jumper.,47,67
10:57,2463,Jonathan Guevara Defensive Rebound.,47,67
10:39,2463,Tavrion Dawson made Three Point Jumper. Assisted by Reggie Theus Jr..,50,67
10:16,278,Jaron Hopkins made Layup.,50,69
10:02,2463,Tavrion Dawson missed Layup.,50,69
10:02,2463,Reggie Theus Jr. Offensive Rebound.,50,69
9:57,2463,Reggie Theus Jr. made Layup.,52,69
9:40,278,Terrell Carter II made Layup.,52,71
9:23,2463,Tavrion Dawson missed Three Point Jumper.,52,71
9:23,278,Jaron Hopkins Defensive Rebound.,52,71
9:11,278,Jaron Hopkins Turnover.,52,71
9:11,2463,Jalon Pipkins Steal.,52,71
9:11,278,Foul on Terrell Carter II.,52,71
9:11,2463,Jalon Pipkins made Free Throw.,53,71
9:11,2463,Jalon Pipkins made Free Throw.,54,71
8:51,278,Jahmel Taylor made Three Point Jumper. Assisted by Ray Bowles Jr..,54,74
8:29,2463,Jalon Pipkins made Three Point Jumper. Assisted by Jonathan Guevara.,57,74
8:15,278,Foul on Nate Grimes.,57,74
8:15,278,Nate Grimes Turnover.,57,74
7:55,2463,Jonathan Guevara made Jumper.,59,74
7:33,278,Jahmel Taylor made Three Point Jumper. Assisted by Deshon Taylor.,59,77
7:09,2463,Tavrion Dawson missed Layup.,59,77
7:09,278,Nate Grimes Block.,59,77
7:07,278,Deshon Taylor Defensive Rebound.,59,77
7:00,278,Deshon Taylor missed Three Point Jumper.,59,77
7:00,2463,Tavrion Dawson Defensive Rebound.,59,77
6:37,2463,Jonathan Guevara missed Layup.,59,77
6:37,278,Nate Grimes Defensive Rebound.,59,77
6:16,278,Deshon Taylor missed Three Point Jumper.,59,77
6:16,2463,Tavrion Dawson Defensive Rebound.,59,77
6:12,278,Foul on Ray Bowles Jr..,59,77
6:12,278,Official TV Timeout,59,77
6:12,2463,Tavrion Dawson made Free Throw.,60,77
6:12,2463,Tavrion Dawson made Free Throw.,61,77
5:50,278,Sam Bittner made Three Point Jumper. Assisted by Jahmel Taylor.,61,80
5:36,278,Foul on Deshon Taylor.,61,80
5:36,2463,Jalon Pipkins made Free Throw.,62,80
5:36,2463,Jalon Pipkins made Free Throw.,63,80
5:23,278,Ray Bowles Jr. made Jumper.,63,82
4:54,2463,Terrell Gomez made Three Point Jumper.,66,82
4:32,278,Jaron Hopkins made Dunk.,66,84
4:18,278,Foul on Sam Bittner.,66,84
4:18,2463,Tavrion Dawson made Free Throw.,67,84
4:18,2463,Tavrion Dawson made Free Throw.,68,84
3:49,278,Jaron Hopkins made Dunk.,68,86
3:31,2463,Terrell Gomez missed Layup.,68,86
3:31,278,Jaron Hopkins Defensive Rebound.,68,86
3:14,278,Jahmel Taylor missed Jumper.,68,86
3:14,2463,Zeno Lake Defensive Rebound.,68,86
3:06,2463,Jalon Pipkins made Layup.,70,86
3:06,278,Foul on Jahmel Taylor.,70,86
3:06,278,Official TV Timeout,70,86
3:06,2463,Jalon Pipkins made Free Throw.,71,86
2:51,2463,Foul on Jalon Pipkins.,71,86
2:51,278,Jaron Hopkins made Free Throw.,71,87
2:51,278,Jaron Hopkins missed Free Throw.,71,87
2:51,2463,Micheal Warren Defensive Rebound.,71,87
2:35,2463,Micheal Warren Turnover.,71,87
2:34,278,Jahmel Taylor Steal.,71,87
2:32,2463,Foul on Terrell Gomez.,71,87
2:06,278,Deshon Taylor missed Layup.,71,87
2:06,278,Bryson Williams Offensive Rebound.,71,87
2:04,278,Bryson Williams made Layup.,71,89
2:00,2463,CSU Northridge  Timeout,71,89
1:44,2463,Terrell Gomez Turnover.,71,89
1:43,278,Jaron Hopkins Steal.,71,89
1:40,278,Ray Bowles Jr. Turnover.,71,89
1:37,2463,Micheal Warren Steal.,71,89
1:17,2463,Reggie Theus Jr. missed Jumper.,71,89
1:17,278,Bryson Williams Block.,71,89
1:15,278,Bryson Williams Defensive Rebound.,71,89
0:45,278,Jaron Hopkins missed Jumper.,71,89
0:45,2463,Micheal Warren Defensive Rebound.,71,89
0:40,2463,Lyrik Shreiner made Layup. Assisted by Terrell Gomez.,73,89
0:26,2463,Foul on Micheal Warren.,73,89
0:26,278,Jahmel Taylor missed Free Throw.,73,89
0:26,2463,Zeno Lake Defensive Rebound.,73,89
0:23,2463,CSU Northridge  Timeout,73,89
0:12,2463,Micheal Warren missed Jumper.,73,89
0:12,278,Jaron Hopkins Defensive Rebound.,73,89
0:00,278,End of Game,73,89
