Frostburg State,119,Towson,341
16:46,119,Justin Gorham made Free Throw.,6,6
16:32,-1,Lawrence Pettis Jr. missed Jumper.,6,6
16:32,119,Justin Gorham Defensive Rebound.,6,6
16:26,119,Justin Gorham Turnover.,6,6
15:58,-1,Daniel Alexander made Layup.,8,6
15:35,119,Jordan McNeil made Jumper.,8,8
15:34,119,Official TV Timeout,8,8
15:14,119,Foul on Justin Gorham.,8,8
15:11,-1,Dalton Gaus Turnover.,8,8
14:59,119,Mike Morsell missed Layup.,8,8
14:59,119,Mike Morsell Offensive Rebound.,8,8
14:56,119,Mike Morsell made Layup.,8,10
14:54,-1,Foul on Daniel Alexander.,8,10
14:54,119,Mike Morsell missed Free Throw.,8,10
14:54,-1,Tyler Michael Defensive Rebound.,8,10
14:40,-1,Tyler Michael made Layup.,10,10
14:06,119,Mike Morsell Turnover.,10,10
14:05,-1,Dalton Gaus Steal.,10,10
13:54,-1,Tyler Michael Turnover.,10,10
13:43,119,Zane Martin made Dunk.,10,12
13:34,-1,Jeffrey McMorris missed Layup.,10,12
13:34,119,Eddie Keith II Defensive Rebound.,10,12
13:26,119,Zane Martin missed Three Point Jumper.,10,12
13:26,119,Travis Ingram Offensive Rebound.,10,12
13:21,119,Travis Ingram missed Layup.,10,12
13:21,119,Travis Ingram Offensive Rebound.,10,12
13:14,119,Deshaun Morman made Layup.,10,14
13:02,-1,Tyler Michael made Layup. Assisted by Darren Campbell.,12,14
12:41,119,Deshaun Morman made Layup.,12,16
12:29,-1,Darren Campbell Turnover.,12,16
12:17,119,Justin Gorham missed Layup.,12,16
12:17,119,Justin Gorham Offensive Rebound.,12,16
12:13,-1,Foul on Darren Campbell.,12,16
12:08,119,Zane Martin made Jumper.,12,18
11:38,-1,Lawrence Pettis Jr. missed Three Point Jumper.,12,18
11:38,119,Justin Gorham Defensive Rebound.,12,18
11:23,119,Justin Gorham made Layup.,12,20
10:55,-1,Jordan Johnson missed Jumper.,12,20
10:55,119,Alex Thomas Defensive Rebound.,12,20
10:44,119,Zane Martin made Layup.,12,22
10:27,-1,Tyler Michael missed Three Point Jumper.,12,22
10:27,119,Zane Martin Defensive Rebound.,12,22
10:12,119,Justin Gorham missed Jumper.,12,22
10:12,-1,Darren Campbell Defensive Rebound.,12,22
9:54,-1,Tyler Michael missed Layup.,12,22
9:54,119,Justin Gorham Defensive Rebound.,12,22
9:43,119,Zane Martin missed Three Point Jumper.,12,22
9:43,-1,Tyler Michael Defensive Rebound.,12,22
9:34,119,Foul on Zane Martin.,12,22
9:34,119,Official TV Timeout,12,22
9:12,-1,Lawrence Pettis Jr. missed Three Point Jumper.,12,22
9:12,-1,Edwin Cole Offensive Rebound.,12,22
9:07,-1,Edwin Cole made Layup.,14,22
8:41,119,Jordan McNeil missed Three Point Jumper.,14,22
8:41,-1,Edwin Cole Defensive Rebound.,14,22
8:38,-1,Jordan Johnson Turnover.,14,22
8:35,119,Dennis Tunstall Steal.,14,22
8:27,119,Mike Morsell missed Layup.,14,22
8:27,-1,Edwin Cole Block.,14,22
8:22,119,Towson Offensive Rebound.,14,22
8:20,119,Mike Morsell missed Jumper.,14,22
8:20,119,Dennis Tunstall Offensive Rebound.,14,22
8:14,119,Dennis Tunstall made Layup.,14,24
8:05,-1,Lawrence Pettis Jr. Turnover.,14,24
8:03,119,Jordan McNeil Steal.,14,24
8:01,119,Jordan McNeil made Dunk.,14,26
7:50,-1,Jordan Johnson missed Layup.,14,26
7:50,119,Dennis Tunstall Defensive Rebound.,14,26
7:21,-1,Foul on Edwin Cole.,14,26
7:21,119,Official TV Timeout,14,26
7:21,119,Travis Ingram made Free Throw.,14,27
7:21,119,Travis Ingram missed Free Throw.,14,27
7:21,119,Mike Morsell Offensive Rebound.,14,27
7:04,-1,Foul on Jordan Johnson.,14,27
7:02,119,Dennis Tunstall made Layup. Assisted by Eddie Keith II.,14,29
6:50,-1,Dalton Gaus made Three Point Jumper. Assisted by Christopher Coston.,17,29
6:29,119,Deshaun Morman missed Three Point Jumper.,17,29
6:29,119,Dennis Tunstall Offensive Rebound.,17,29
6:13,119,Eddie Keith II made Layup.,17,31
6:01,-1,Jordan Johnson missed Three Point Jumper.,17,31
6:01,119,Deshaun Morman Block.,17,31
5:59,-1,Frostburg State Offensive Rebound.,17,31
5:41,-1,Gregory Gibbs Turnover.,17,31
5:40,119,Brian Starr Steal.,17,31
5:36,119,Brian Starr Turnover.,17,31
5:35,-1,Tyler Michael Steal.,17,31
5:31,-1,Tyler Michael missed Layup.,17,31
5:31,119,Mike Morsell Defensive Rebound.,17,31
5:24,-1,Foul on Marquis Wilkerson.,17,31
5:24,119,Mike Morsell made Free Throw.,17,32
5:24,119,Mike Morsell made Free Throw.,17,33
5:10,-1,Lawrence Pettis Jr. missed Layup.,17,33
5:10,119,Justin Gorham Defensive Rebound.,17,33
4:59,119,Deshaun Morman made Dunk.,17,35
4:52,-1,Frostburg State  Timeout,17,35
4:28,-1,Tyler Michael missed Jumper.,17,35
4:28,119,Eddie Keith II Defensive Rebound.,17,35
4:21,119,Mike Morsell missed Layup.,17,35
4:21,-1,Lawrence Pettis Jr. Defensive Rebound.,17,35
3:59,-1,Gregory Gibbs Turnover.,17,35
3:59,119,Official TV Timeout,17,35
3:30,119,Deshaun Morman missed Jumper.,17,35
3:30,-1,Marquis Wilkerson Defensive Rebound.,17,35
3:09,119,Foul on Brian Starr.,17,35
3:09,-1,Lawrence Pettis Jr. missed Free Throw.,17,35
3:09,-1,Frostburg State Deadball Team Rebound.,17,35
3:09,-1,Lawrence Pettis Jr. made Free Throw.,18,35
2:53,119,Brian Starr missed Three Point Jumper.,18,35
2:53,119,Alex Thomas Offensive Rebound.,18,35
2:48,119,Alex Thomas missed Layup.,18,35
2:48,-1,Gregory Gibbs Defensive Rebound.,18,35
2:39,-1,Lawrence Pettis Jr. made Layup.,20,35
2:36,119,Towson  Timeout,20,35
2:23,119,Deshaun Morman made Dunk. Assisted by Brian Starr.,20,37
2:15,-1,Marquis Wilkerson Turnover.,20,37
2:13,119,Jordan McNeil Steal.,20,37
2:10,119,Brian Starr made Three Point Jumper.,20,40
1:56,-1,Lawrence Pettis Jr. missed Layup.,20,40
1:56,119,Eddie Keith II Defensive Rebound.,20,40
1:49,119,Deshaun Morman made Layup. Assisted by Eddie Keith II.,20,42
1:36,119,Foul on Alex Thomas.,20,42
1:36,-1,Gregory Gibbs made Free Throw.,21,42
1:36,-1,Gregory Gibbs made Free Throw.,22,42
1:17,119,Eddie Keith II Turnover.,22,42
1:14,-1,Gregory Gibbs Steal.,22,42
1:13,119,Foul on Brian Starr.,22,42
1:13,-1,Gregory Gibbs made Free Throw.,23,42
1:13,-1,Gregory Gibbs made Free Throw.,24,42
0:46,119,Alex Thomas made Layup.,24,44
0:34,-1,Frostburg State  Timeout,24,44
0:22,-1,Gregory Gibbs missed Three Point Jumper.,24,44
0:22,119,Mike Morsell Defensive Rebound.,24,44
0:18,119,Mike Morsell Turnover.,24,44
0:17,-1,Tyler Michael Steal.,24,44
0:14,119,Foul on Alex Thomas.,24,44
0:14,-1,Lawrence Pettis Jr. missed Free Throw.,24,44
0:14,119,Jordan McNeil Defensive Rebound.,24,44
0:04,119,Travis Ingram made Three Point Jumper.,24,47
0:00,119,End of 1st half,24,47
19:39,-1,Daniel Alexander missed Layup.,24,47
19:39,-1,Frostburg State Offensive Rebound.,24,47
19:31,-1,Tyler Michael missed Layup.,24,47
19:31,119,Mike Morsell Block.,24,47
19:28,119,Mike Morsell Defensive Rebound.,24,47
19:15,119,Mike Morsell made Three Point Jumper.,24,50
19:04,119,Foul on Mike Morsell.,24,50
19:04,119,Foul on Mike Morsell.,24,50
19:04,-1,Dalton Gaus made Free Throw.,25,50
19:04,119,Technical Foul on Mike Morsell.,24,50
19:04,-1,Dalton Gaus made Free Throw.,26,50
18:57,-1,Edwin Cole missed Jumper.,26,50
18:57,119,Zane Martin Defensive Rebound.,26,50
18:47,-1,Foul on Dalton Gaus.,26,50
18:47,119,Eddie Keith II made Free Throw.,26,51
18:47,119,Eddie Keith II missed Free Throw.,26,51
18:47,-1,Tyler Michael Defensive Rebound.,26,51
18:39,-1,Dalton Gaus missed Three Point Jumper.,26,51
18:39,119,Eddie Keith II Defensive Rebound.,26,51
18:31,-1,Foul on Dalton Gaus.,26,51
18:31,119,Brian Starr made Free Throw.,26,52
18:31,119,Brian Starr made Free Throw.,26,53
18:25,119,Jeffrey Prophete Turnover.,26,53
18:19,119,Brian Starr made Jumper.,26,55
18:10,-1,Daniel Alexander missed Jumper.,26,55
18:10,119,Alex Thomas Defensive Rebound.,26,55
18:04,119,Zane Martin made Layup. Assisted by Eddie Keith II.,26,57
17:40,-1,Tyler Michael missed Layup.,26,57
17:40,-1,Edwin Cole Offensive Rebound.,26,57
17:34,119,Foul on Alex Thomas.,26,57
17:33,-1,Dalton Gaus missed Jumper.,26,57
17:33,-1,Dalton Gaus Offensive Rebound.,26,57
17:28,-1,Dalton Gaus made Jumper.,28,57
17:03,119,Justin Gorham Turnover.,28,57
17:01,-1,Edwin Cole Steal.,28,57
16:59,-1,Daniel Alexander made Layup. Assisted by Edwin Cole.,30,57
16:40,119,Dennis Tunstall Turnover.,30,57
16:38,-1,Daniel Alexander Steal.,30,57
16:34,-1,Edwin Cole missed Layup.,30,57
16:34,119,Dennis Tunstall Defensive Rebound.,30,57
16:24,-1,Dalton Gaus missed Three Point Jumper.,30,57
16:24,119,Eddie Keith II Defensive Rebound.,30,57
16:14,119,Foul on Justin Gorham.,30,57
16:11,-1,Darren Campbell missed Jumper.,30,57
16:11,119,Dennis Tunstall Defensive Rebound.,30,57
16:05,119,Travis Ingram missed Layup.,30,57
16:05,119,Dennis Tunstall Offensive Rebound.,30,57
16:03,-1,Foul on Tyler Michael.,30,57
16:03,119,Dennis Tunstall missed Free Throw.,30,57
16:03,119,Towson Deadball Team Rebound.,30,57
16:03,119,Dennis Tunstall made Free Throw.,30,58
15:55,-1,Foul on Darren Campbell.,30,58
15:55,-1,Darren Campbell Turnover.,30,58
15:55,119,Official TV Timeout,30,58
15:35,119,Eddie Keith II missed Layup.,30,58
15:35,119,Dennis Tunstall Offensive Rebound.,30,58
15:33,119,Dennis Tunstall missed Layup.,30,58
15:33,119,Towson Offensive Rebound.,30,58
15:31,119,Justin Gorham made Layup. Assisted by Jeffrey Prophete.,30,60
15:11,-1,Darren Campbell Turnover.,30,60
15:07,-1,Foul on Darren Campbell.,30,60
14:52,119,Jeffrey Prophete missed Layup.,30,60
14:52,119,Justin Gorham Offensive Rebound.,30,60
14:49,-1,Foul on Daniel Alexander.,30,60
14:49,119,Justin Gorham made Free Throw.,30,61
14:49,119,Justin Gorham made Free Throw.,30,62
14:43,-1,Lawrence Pettis Jr. Turnover.,30,62
14:40,119,Jeffrey Prophete Steal.,30,62
14:35,119,Justin Gorham made Jumper.,30,64
14:21,-1,Edwin Cole missed Layup.,30,64
14:21,-1,Darren Campbell Offensive Rebound.,30,64
14:16,-1,Darren Campbell missed Layup.,30,64
14:16,-1,Edwin Cole Offensive Rebound.,30,64
14:13,-1,Tyler Michael missed Three Point Jumper.,30,64
14:13,-1,Edwin Cole Offensive Rebound.,30,64
14:07,119,Foul on Eddie Keith II.,30,64
14:05,-1,Lawrence Pettis Jr. Turnover.,30,64
14:03,119,Deshaun Morman Steal.,30,64
14:03,119,Towson  Timeout,30,64
14:02,119,Jeffrey Prophete Turnover.,30,64
13:55,-1,Edwin Cole Steal.,30,64
13:54,-1,Dexter Pelap-Tchuenche missed Jumper.,30,64
13:54,119,Jeffrey Prophete Defensive Rebound.,30,64
13:40,119,Deshaun Morman Turnover.,30,64
13:39,-1,Daniel Alexander Steal.,30,64
13:35,-1,Daniel Alexander missed Layup.,30,64
13:35,-1,Edwin Cole Offensive Rebound.,30,64
13:33,-1,Lawrence Pettis Jr. missed Three Point Jumper.,30,64
13:33,119,Justin Gorham Defensive Rebound.,30,64
13:06,119,Jeffrey Prophete missed Three Point Jumper.,30,64
13:06,-1,Frostburg State Defensive Rebound.,30,64
12:48,-1,Jordan Johnson made Jumper.,32,64
12:19,119,Van Rolle missed Layup.,32,64
12:19,-1,Darren Campbell Defensive Rebound.,32,64
12:10,-1,Darren Campbell made Jumper.,34,64
11:53,119,Brian Starr missed Layup.,34,64
11:53,-1,Edwin Cole Block.,34,64
11:50,119,Brian Starr Offensive Rebound.,34,64
11:44,-1,Foul on Edwin Cole.,34,64
11:44,119,Official TV Timeout,34,64
11:44,119,Jordan McNeil missed Free Throw.,34,64
11:44,119,Towson Deadball Team Rebound.,34,64
11:44,119,Jordan McNeil made Free Throw.,34,65
11:37,-1,Darren Campbell Turnover.,34,65
11:18,119,Van Rolle missed Three Point Jumper.,34,65
11:18,-1,Dexter Pelap-Tchuenche Defensive Rebound.,34,65
11:09,-1,Daniel Alexander missed Jumper.,34,65
11:09,119,Alex Thomas Defensive Rebound.,34,65
10:48,119,Jordan McNeil missed Three Point Jumper.,34,65
10:48,119,Alex Thomas Offensive Rebound.,34,65
10:39,-1,Foul on Dexter Pelap-Tchuenche.,34,65
10:39,119,Brian Starr made Free Throw.,34,66
10:39,119,Brian Starr missed Free Throw.,34,66
10:39,119,Alex Thomas Offensive Rebound.,34,66
10:37,119,Alex Thomas missed Layup.,34,66
10:37,-1,Dalton Gaus Defensive Rebound.,34,66
10:16,119,Foul on Jordan McNeil.,34,66
10:16,-1,Jordan Johnson made Free Throw.,35,66
10:16,-1,Jordan Johnson made Free Throw.,36,66
9:55,119,Brian Starr missed Layup.,36,66
9:55,-1,Daniel Alexander Block.,36,66
9:51,119,Brian Starr Offensive Rebound.,36,66
9:48,119,Jordan McNeil made Three Point Jumper.,36,69
9:29,-1,Foul on Lawrence Pettis Jr..,36,69
9:29,-1,Lawrence Pettis Jr. Turnover.,36,69
9:22,-1,Foul on Dexter Pelap-Tchuenche.,36,69
9:22,119,Van Rolle missed Free Throw.,36,69
9:22,119,Towson Deadball Team Rebound.,36,69
9:19,119,Van Rolle missed Free Throw.,36,69
9:19,-1,Dalton Gaus Defensive Rebound.,36,69
9:01,-1,Dexter Pelap-Tchuenche missed Jumper.,36,69
9:01,119,Eddie Keith II Defensive Rebound.,36,69
8:45,119,Van Rolle missed Jumper.,36,69
8:45,-1,Jordan Johnson Defensive Rebound.,36,69
8:36,119,Foul on Travis Ingram.,36,69
8:36,-1,Dexter Pelap-Tchuenche missed Free Throw.,36,69
8:36,-1,Frostburg State Deadball Team Rebound.,36,69
8:36,-1,Dexter Pelap-Tchuenche made Free Throw.,37,69
8:13,119,Deshaun Morman made Layup. Assisted by Travis Ingram.,37,71
7:59,-1,Desmond Lighty made Jumper. Assisted by Dalton Gaus.,39,71
7:33,119,Justin Gorham missed Layup.,39,71
7:33,-1,Tyler Michael Defensive Rebound.,39,71
7:27,-1,Desmond Lighty missed Three Point Jumper.,39,71
7:27,119,Deshaun Morman Defensive Rebound.,39,71
7:21,-1,Foul on Dexter Pelap-Tchuenche.,39,71
7:21,119,Official TV Timeout,39,71
7:21,119,Deshaun Morman made Free Throw.,39,72
7:21,119,Deshaun Morman made Free Throw.,39,73
6:57,-1,Tyler Michael missed Layup.,39,73
6:57,119,Travis Ingram Defensive Rebound.,39,73
6:31,119,Deshaun Morman made Jumper.,39,75
6:18,-1,Tyler Michael made Jumper. Assisted by Dalton Gaus.,41,75
5:55,119,Jordan McNeil Turnover.,41,75
5:53,-1,Edwin Cole Steal.,41,75
5:50,-1,Jordan Johnson Turnover.,41,75
5:29,119,Jordan McNeil made Three Point Jumper. Assisted by Travis Ingram.,41,78
5:04,-1,Jordan Johnson missed Jumper.,41,78
5:04,-1,Lawrence Pettis Jr. Offensive Rebound.,41,78
4:57,-1,Edwin Cole made Jumper. Assisted by Lawrence Pettis Jr..,43,78
4:27,119,Deshaun Morman made Three Point Jumper. Assisted by Jeffrey Prophete.,43,81
4:06,-1,Dalton Gaus missed Three Point Jumper.,43,81
4:06,119,Jeffrey Prophete Defensive Rebound.,43,81
3:54,119,Jeffrey Prophete missed Jumper.,43,81
3:54,-1,Edwin Cole Defensive Rebound.,43,81
3:41,-1,Jordan Johnson missed Jumper.,43,81
3:41,119,Travis Ingram Defensive Rebound.,43,81
3:30,119,Alex Thomas made Jumper. Assisted by Travis Ingram.,43,83
3:11,-1,Tyler Michael made Jumper.,45,83
3:08,-1,Frostburg State  Timeout,45,83
2:44,119,Jordan McNeil made Three Point Jumper. Assisted by Jeffrey Prophete.,45,86
2:33,-1,Christopher Coston missed Three Point Jumper.,45,86
2:33,119,Travis Ingram Defensive Rebound.,45,86
2:18,119,Jordan McNeil missed Three Point Jumper.,45,86
2:18,-1,Desmond Lighty Defensive Rebound.,45,86
1:56,-1,Gregory Gibbs missed Layup.,45,86
1:56,119,Justin Gorham Defensive Rebound.,45,86
1:25,119,Jordan McNeil made Three Point Jumper. Assisted by Van Rolle.,45,89
1:02,-1,Marquis Wilkerson missed Layup.,45,89
1:02,119,Justin Gorham Defensive Rebound.,45,89
0:31,119,Travis Ingram missed Jumper.,45,89
0:31,119,Towson Offensive Rebound.,45,89
0:21,119,Van Rolle Turnover.,45,89
0:20,-1,Gregory Gibbs Steal.,45,89
0:19,119,Foul on Van Rolle.,45,89
0:19,-1,Desmond Lighty missed Free Throw.,45,89
0:19,119,Van Rolle Defensive Rebound.,45,89
0:00,119,End of Game,45,89
