Michigan-Dearborn,Error,Detroit Mercy,2174
15:27,2174,Jermaine Jackson Jr. made Free Throw.,7,14
15:14,2174,Jermaine Jackson Jr. missed Three Point Jumper.,7,14
15:14,2174,Corey Allen Offensive Rebound.,7,14
15:10,2174,Kameron Chatman made Three Point Jumper. Assisted by Corey Allen.,7,17
14:38,-1,Ashton Curd made Three Point Jumper.,10,17
14:19,2174,Jaleel Hogan made Jumper. Assisted by Corey Allen.,10,19
14:06,-1,Jason Gigliotti made Layup. Assisted by Cody Kegley.,12,19
13:59,2174,Corey Allen made Jumper.,12,21
13:45,-1,Xavier Crofford made Layup.,14,21
13:37,2174,Josh McFolley Turnover.,14,21
13:35,-1,Donovan Farrell Steal.,14,21
13:31,-1,Xavier Crofford made Layup.,16,21
13:31,2174,Foul on Kameron Chatman.,16,21
13:29,-1,Xavier Crofford missed Free Throw.,16,21
13:28,2174,Roschon Prince Defensive Rebound.,16,21
13:11,2174,Corey Allen missed Three Point Jumper.,16,21
13:11,-1,Jason Gigliotti Defensive Rebound.,16,21
12:55,-1,Cody Kegley made Jumper. Assisted by Ashton Curd.,18,21
12:42,-1,Foul on Cody Kegley.,18,21
12:33,2174,Corey Allen missed Layup.,18,21
12:33,-1,Jason Gigliotti Defensive Rebound.,18,21
12:18,-1,Jason Gigliotti made Jumper. Assisted by Xavier Crofford.,20,21
12:02,2174,Jaleel Hogan made Layup.,20,23
11:38,-1,Ashton Curd missed Three Point Jumper.,20,23
11:38,-1,Michigan-Dearborn Deadball Team Rebound.,20,23
11:37,2174,Foul on Jaleel Hogan.,20,23
11:35,2174,Foul on DeShawndre Black.,20,23
11:19,-1,Xavier Crofford missed Jumper.,20,23
11:19,2174,Cole Long Block.,20,23
11:16,-1,Jason Gigliotti Offensive Rebound.,20,23
11:10,-1,Xavier Crofford missed Three Point Jumper.,20,23
11:10,2174,Cole Long Defensive Rebound.,20,23
11:01,-1,Foul on Jason Gigliotti.,20,23
11:01,2174,Jaleel Hogan missed Free Throw.,20,23
11:01,-1,Mafiaion Joyner Defensive Rebound.,20,23
10:47,-1,Foul on Mafiaion Joyner.,20,23
10:47,-1,Mafiaion Joyner Turnover.,20,23
10:36,2174,Corey Allen missed Jumper.,20,23
10:36,-1,Jason Gigliotti Defensive Rebound.,20,23
10:13,-1,Ashton Curd missed Three Point Jumper.,20,23
10:13,2174,Corey Allen Defensive Rebound.,20,23
10:04,2174,DeShawndre Black made Three Point Jumper. Assisted by Corey Allen.,20,26
9:39,-1,Jason Gigliotti made Jumper. Assisted by Mafiaion Joyner.,22,26
9:30,2174,Roschon Prince made Jumper. Assisted by DeShawndre Black.,22,28
9:20,2174,Foul on Cole Long.,22,28
9:04,-1,Xavier Crofford missed Three Point Jumper.,22,28
9:04,2174,Corey Allen Defensive Rebound.,22,28
8:56,2174,Roschon Prince made Layup.,22,30
8:36,-1,Xavier Crofford missed Three Point Jumper.,22,30
8:36,-1,Michigan-Dearborn Offensive Rebound.,22,30
8:29,-1,Mafiaion Joyner missed Jumper.,22,30
8:29,2174,Roschon Prince Defensive Rebound.,22,30
8:25,-1,Foul on Cody Kegley.,22,30
8:25,2174,Corey Allen made Free Throw.,22,31
8:25,2174,Corey Allen made Free Throw.,22,32
8:14,-1,Xavier Crofford made Jumper. Assisted by Mafiaion Joyner.,24,32
8:04,2174,Jermaine Jackson Jr. missed Jumper.,24,32
8:04,-1,Cody Kegley Defensive Rebound.,24,32
7:44,-1,Donovan Farrell missed Three Point Jumper.,24,32
7:44,2174,Corey Allen Defensive Rebound.,24,32
7:38,2174,Kameron Chatman made Layup. Assisted by Jermaine Jackson Jr..,24,34
7:19,-1,Mafiaion Joyner made Layup.,26,34
7:11,2174,Kameron Chatman missed Three Point Jumper.,26,34
7:11,-1,Cody Kegley Defensive Rebound.,26,34
6:58,-1,Xavier Crofford missed Three Point Jumper.,26,34
6:58,-1,Mafiaion Joyner Offensive Rebound.,26,34
6:55,-1,Mafiaion Joyner made Jumper.,28,34
6:36,2174,Corey Allen made Three Point Jumper. Assisted by Tariiq Jones.,28,37
6:16,-1,Foul on Xavier Crofford.,28,37
6:16,-1,Xavier Crofford Turnover.,28,37
6:16,2174,Official TV Timeout,28,37
5:53,2174,Jermaine Jackson Jr. missed Three Point Jumper.,28,37
5:53,-1,Cody Kegley Defensive Rebound.,28,37
5:38,-1,Xavier Crofford made Jumper.,30,37
5:21,2174,Josh McFolley made Three Point Jumper. Assisted by Jermaine Jackson Jr..,30,40
4:57,-1,Gage Throgmorton missed Three Point Jumper.,30,40
4:57,2174,Josh McFolley Defensive Rebound.,30,40
4:48,2174,Josh McFolley missed Layup.,30,40
4:48,2174,Tariiq Jones Offensive Rebound.,30,40
4:44,2174,Tariiq Jones missed Layup.,30,40
4:44,2174,Tariiq Jones Offensive Rebound.,30,40
4:41,2174,Tariiq Jones made Two Point Tip Shot.,30,42
4:26,-1,Jason Penn missed Layup.,30,42
4:26,2174,Gerald Blackshear Jr. Defensive Rebound.,30,42
4:18,2174,Josh McFolley Turnover.,30,42
4:17,-1,Xavier Crofford Steal.,30,42
4:13,-1,Jason Penn made Layup. Assisted by Xavier Crofford.,32,42
3:51,2174,Josh McFolley missed Three Point Jumper.,32,42
3:51,-1,Jason Penn Defensive Rebound.,32,42
3:21,-1,Mafiaion Joyner missed Jumper.,32,42
3:21,2174,Gerald Blackshear Jr. Defensive Rebound.,32,42
3:06,2174,Josh McFolley made Three Point Jumper. Assisted by Jermaine Jackson Jr..,32,45
3:05,-1,Foul on Xavier Crofford.,32,45
3:05,2174,Official TV Timeout,32,45
3:05,2174,Josh McFolley missed Free Throw.,32,45
3:05,-1,Gage Throgmorton Defensive Rebound.,32,45
2:49,-1,Jason Penn missed Jumper.,32,45
2:49,2174,Tariiq Jones Block.,32,45
2:46,2174,Kameron Chatman Defensive Rebound.,32,45
2:42,2174,Kameron Chatman Turnover.,32,45
2:41,-1,Ashton Curd Steal.,32,45
2:38,-1,Ashton Curd missed Dunk.,32,45
2:38,2174,Kameron Chatman Block.,32,45
2:32,-1,Mafiaion Joyner Offensive Rebound.,32,45
2:27,-1,Jason Penn made Jumper.,34,45
2:03,2174,Josh McFolley missed Three Point Jumper.,34,45
2:03,2174,Kameron Chatman Offensive Rebound.,34,45
1:57,2174,Kameron Chatman Turnover.,34,45
1:53,-1,Ashton Curd Steal.,34,45
1:43,-1,Donovan Farrell made Layup.,36,45
1:24,2174,Jermaine Jackson Jr. missed Three Point Jumper.,36,45
1:24,2174,DeShawndre Black Offensive Rebound.,36,45
1:19,2174,Tariiq Jones missed Jumper.,36,45
1:19,-1,Jason Penn Block.,36,45
1:17,2174,Tariiq Jones Offensive Rebound.,36,45
1:11,2174,Tariiq Jones missed Jumper.,36,45
1:11,-1,Jason Penn Block.,36,45
1:10,2174,Kameron Chatman Offensive Rebound.,36,45
1:07,2174,Kameron Chatman made Jumper.,36,47
1:00,-1,Ashton Curd Turnover.,36,47
0:51,-1,Foul on Ashton Curd.,36,47
0:51,2174,Tariiq Jones made Free Throw.,36,48
0:51,2174,Tariiq Jones made Free Throw.,36,49
0:30,2174,Foul on Malik Eichler.,36,49
0:30,-1,Gage Throgmorton made Free Throw.,37,49
0:30,-1,Gage Throgmorton made Free Throw.,38,49
0:30,-1,Gage Throgmorton missed Free Throw.,38,49
0:30,2174,Kameron Chatman Defensive Rebound.,38,49
0:04,2174,DeShawndre Black missed Three Point Jumper.,38,49
0:04,-1,Gage Throgmorton Defensive Rebound.,38,49
0:01,-1,Mafiaion Joyner made Three Point Jumper. Assisted by Xavier Crofford.,41,49
0:00,2174,End of 1st half,41,49
19:46,2174,Jermaine Jackson Jr. made Three Point Jumper.,41,52
19:12,-1,Gage Throgmorton missed Three Point Jumper.,41,52
19:12,2174,Tariiq Jones Defensive Rebound.,41,52
19:02,2174,Josh McFolley missed Jumper.,41,52
19:02,-1,Ashton Curd Defensive Rebound.,41,52
18:38,-1,Gage Throgmorton made Layup. Assisted by Mafiaion Joyner.,43,52
18:24,2174,Gerald Blackshear Jr. made Jumper.,43,54
17:58,-1,Mafiaion Joyner made Jumper.,45,54
17:48,2174,Kameron Chatman made Layup.,45,56
17:48,-1,Foul on Gage Throgmorton.,45,56
17:48,2174,Kameron Chatman made Free Throw.,45,57
17:34,2174,Foul on Josh McFolley.,45,57
17:34,-1,Cody Kegley made Three Point Jumper. Assisted by Jason Penn.,48,57
17:34,2174,Tariiq Jones missed Three Point Jumper.,48,57
17:34,2174,Kameron Chatman Offensive Rebound.,48,57
17:34,2174,Kameron Chatman made Two Point Tip Shot.,48,59
17:34,-1,Mafiaion Joyner missed Three Point Jumper.,48,59
17:34,2174,Gerald Blackshear Jr. Defensive Rebound.,48,59
16:45,2174,Foul on Tariiq Jones.,48,59
16:45,2174,Tariiq Jones Turnover.,48,59
16:20,-1,Cody Kegley Turnover.,48,59
16:19,2174,Josh McFolley Steal.,48,59
16:15,2174,Josh McFolley made Layup. Assisted by Tariiq Jones.,48,61
16:02,-1,Cody Kegley missed Three Point Jumper.,48,61
16:02,-1,Jason Penn Offensive Rebound.,48,61
15:57,-1,Jason Penn made Layup.,50,61
15:52,2174,Tariiq Jones made Dunk. Assisted by Jermaine Jackson Jr..,50,63
15:51,2174,Foul on Jermaine Jackson Jr..,50,63
15:51,2174,Official TV Timeout,50,63
15:47,-1,Cody Kegley Turnover.,50,63
15:45,2174,Josh McFolley Steal.,50,63
15:44,2174,Jermaine Jackson Jr. made Three Point Jumper. Assisted by Josh McFolley.,50,66
15:38,2174,Foul on Josh McFolley.,50,66
15:22,-1,Jason Penn made Layup.,52,66
14:58,2174,Jaleel Hogan made Jumper. Assisted by Tariiq Jones.,52,68
14:58,-1,Foul on Ashton Curd.,52,68
14:58,2174,Jaleel Hogan made Free Throw.,52,69
14:46,-1,Ashton Curd Turnover.,52,69
14:45,2174,Corey Allen Steal.,52,69
14:38,2174,Jermaine Jackson Jr. missed Layup.,52,69
14:38,-1,Xavier Crofford Defensive Rebound.,52,69
14:26,-1,Xavier Crofford missed Layup.,52,69
14:26,2174,Roschon Prince Block.,52,69
14:25,-1,Michigan-Dearborn Offensive Rebound.,52,69
14:20,-1,Jason Penn missed Jumper.,52,69
14:20,2174,Detroit Mercy Defensive Rebound.,52,69
14:04,2174,Corey Allen made Three Point Jumper. Assisted by Josh McFolley.,52,72
13:45,-1,Ashton Curd made Three Point Jumper. Assisted by Xavier Crofford.,55,72
13:35,2174,Corey Allen missed Three Point Jumper.,55,72
13:35,2174,Jaleel Hogan Offensive Rebound.,55,72
13:31,2174,Jaleel Hogan made Two Point Tip Shot.,55,74
13:15,-1,Ashton Curd missed Jumper.,55,74
13:15,2174,Jaleel Hogan Defensive Rebound.,55,74
13:04,2174,DeShawndre Black missed Three Point Jumper.,55,74
13:04,-1,Xavier Crofford Defensive Rebound.,55,74
12:52,-1,Gage Throgmorton missed Three Point Jumper.,55,74
12:52,2174,Corey Allen Defensive Rebound.,55,74
12:47,2174,Roschon Prince made Layup. Assisted by Corey Allen.,55,76
12:47,-1,Foul on Xavier Crofford.,55,76
12:47,2174,Roschon Prince made Free Throw.,55,77
12:32,-1,Jason Penn missed Jumper.,55,77
12:32,2174,DeShawndre Black Defensive Rebound.,55,77
12:26,2174,Corey Allen missed Layup.,55,77
12:26,-1,Jason Gigliotti Block.,55,77
12:25,-1,Xavier Crofford missed Layup.,55,77
12:25,2174,Cole Long Defensive Rebound.,55,77
12:24,-1,Ashton Curd Defensive Rebound.,55,77
12:21,-1,Cody Kegley missed Three Point Jumper.,55,77
12:21,-1,Jason Gigliotti Offensive Rebound.,55,77
12:17,2174,Foul on Roschon Prince.,55,77
12:17,-1,Jason Gigliotti made Free Throw.,56,77
12:17,-1,Jason Gigliotti made Free Throw.,57,77
12:09,2174,Cole Long Turnover.,57,77
12:08,-1,Jason Gigliotti Steal.,57,77
11:56,-1,Jason Gigliotti missed Jumper.,57,77
11:56,2174,Corey Allen Defensive Rebound.,57,77
11:49,2174,Roschon Prince missed Three Point Jumper.,57,77
11:49,-1,Xavier Crofford Defensive Rebound.,57,77
11:48,2174,DeShawndre Black made Three Point Jumper. Assisted by Cole Long.,57,80
11:39,-1,Jason Penn missed Jumper.,57,80
11:39,2174,Jaleel Hogan Defensive Rebound.,57,80
11:31,-1,Jason Gigliotti missed Jumper.,57,80
11:31,2174,Roschon Prince Block.,57,80
11:29,-1,Jason Penn Offensive Rebound.,57,80
11:25,-1,Jason Penn made Jumper.,59,80
11:20,2174,Official TV Timeout,59,80
10:33,2174,Josh McFolley missed Three Point Jumper.,59,80
10:33,-1,Michigan-Dearborn Deadball Team Rebound.,59,80
10:33,2174,Foul on Jaleel Hogan.,59,80
10:33,2174,Official TV Timeout,59,80
10:06,2174,Corey Allen missed Jumper.,59,80
10:06,-1,Jason Penn Defensive Rebound.,59,80
9:57,-1,Ashton Curd made Jumper.,61,80
9:33,-1,Xavier Crofford missed Layup.,61,80
9:33,-1,Jason Penn Offensive Rebound.,61,80
9:30,2174,Foul on Roschon Prince.,61,80
9:15,2174,Cole Long made Three Point Jumper. Assisted by DeShawndre Black.,61,83
8:55,-1,Jason Penn made Free Throw.,62,83
8:55,-1,Jason Penn made Free Throw.,63,83
8:40,-1,Donovan Farrell made Free Throw.,64,85
8:40,2174,Foul on Gerald Blackshear Jr..,63,83
8:40,2174,Gerald Blackshear Jr. made Jumper. Assisted by Corey Allen.,63,85
8:40,-1,Foul on Jason Gigliotti.,63,85
8:40,2174,Gerald Blackshear Jr. missed Free Throw.,63,85
8:40,-1,Donovan Farrell Defensive Rebound.,63,85
8:40,-1,Donovan Farrell made Free Throw.,65,85
8:28,2174,Jermaine Jackson Jr. made Layup.,65,87
8:28,-1,Foul on Donovan Farrell.,65,87
8:28,2174,Jermaine Jackson Jr. made Free Throw.,65,88
8:19,-1,Jason Penn missed Jumper.,65,88
8:19,-1,Jason Penn Offensive Rebound.,65,88
8:16,-1,Jason Gigliotti Turnover.,65,88
8:07,-1,Foul on Jason Gigliotti.,65,88
8:06,2174,Cole Long missed Three Point Jumper.,65,88
8:06,2174,Gerald Blackshear Jr. Offensive Rebound.,65,88
7:57,2174,Jermaine Jackson Jr. missed Three Point Jumper.,65,88
7:57,-1,Mafiaion Joyner Defensive Rebound.,65,88
7:52,2174,Foul on Gerald Blackshear Jr..,65,88
7:52,2174,Official TV Timeout,65,88
7:52,-1,Donovan Farrell made Free Throw.,66,88
7:52,-1,Donovan Farrell made Free Throw.,67,88
7:52,2174,Official TV Timeout,67,88
7:32,2174,Tariiq Jones Turnover.,67,88
7:31,-1,Jason Penn Steal.,67,88
7:28,-1,Mafiaion Joyner missed Three Point Jumper.,67,88
7:28,-1,Jason Penn Offensive Rebound.,67,88
7:25,2174,Foul on Corey Allen.,67,88
7:25,-1,Jason Penn made Free Throw.,68,88
7:25,-1,Jason Penn made Free Throw.,69,88
7:08,2174,Gerald Blackshear Jr. made Layup. Assisted by Tariiq Jones.,69,90
7:03,-1,Donovan Farrell Turnover.,69,90
7:03,2174,Jermaine Jackson Jr. Steal.,69,90
7:03,-1,Foul on Donovan Farrell.,69,90
7:03,2174,Jermaine Jackson Jr. made Free Throw.,69,91
7:03,2174,Jermaine Jackson Jr. made Free Throw.,69,92
6:52,-1,Jason Penn missed Jumper.,69,92
6:52,2174,Kameron Chatman Defensive Rebound.,69,92
6:40,2174,Kameron Chatman missed Three Point Jumper.,69,92
6:40,-1,Mafiaion Joyner Defensive Rebound.,69,92
6:32,-1,Xavier Crofford missed Three Point Jumper.,69,92
6:32,-1,Jason Gigliotti Offensive Rebound.,69,92
6:19,-1,Jason Penn made Jumper. Assisted by Donovan Farrell.,71,92
5:59,2174,Tariiq Jones Turnover.,71,92
5:57,-1,Donovan Farrell Steal.,71,92
5:56,-1,Jason Penn made Dunk. Assisted by Donovan Farrell.,73,92
5:56,2174,Detroit Mercy  Timeout,73,92
5:56,2174,Official TV Timeout,73,92
5:39,-1,Foul on Jason Penn.,73,92
5:39,2174,Jaleel Hogan missed Free Throw.,73,92
5:39,2174,Detroit Mercy Deadball Team Rebound.,73,92
5:39,2174,Jaleel Hogan made Free Throw.,73,93
5:10,-1,Foul on Jason Penn.,73,93
5:10,-1,Jason Penn Turnover.,73,93
4:50,2174,Roschon Prince missed Jumper.,73,93
4:50,-1,Jason Gigliotti Block.,73,93
4:49,-1,Jason Gigliotti Defensive Rebound.,73,93
4:41,-1,Jason Gigliotti missed Layup.,73,93
4:41,2174,Kameron Chatman Defensive Rebound.,73,93
4:33,2174,Jermaine Jackson Jr. Turnover.,73,93
4:17,-1,Jason Gigliotti Turnover.,73,93
4:17,2174,Josh McFolley Steal.,73,93
4:14,2174,Josh McFolley made Layup.,73,95
4:07,-1,Jason Gigliotti Turnover.,73,95
4:03,2174,Roschon Prince Steal.,73,95
4:02,-1,Foul on Jason Gigliotti.,73,95
4:02,-1,Michigan-Dearborn  Timeout,73,95
4:02,2174,Official TV Timeout,73,95
4:02,2174,Jaleel Hogan missed Free Throw.,73,95
4:02,2174,Detroit Mercy Deadball Team Rebound.,73,95
4:02,2174,Jaleel Hogan missed Free Throw.,73,95
4:02,-1,Michigan-Dearborn Deadball Team Rebound.,73,95
3:42,-1,Jason Penn made Jumper.,75,95
3:22,2174,Malik Eichler missed Jumper.,75,95
3:22,-1,Jason Gigliotti Block.,75,95
3:22,2174,Detroit Mercy Offensive Rebound.,75,95
3:18,2174,Josh McFolley missed Three Point Jumper.,75,95
3:18,2174,Roschon Prince Offensive Rebound.,75,95
3:15,2174,Jaleel Hogan made Dunk. Assisted by Roschon Prince.,75,97
3:02,-1,Mafiaion Joyner made Three Point Jumper. Assisted by Xavier Crofford.,78,97
2:45,2174,Jaleel Hogan made Jumper.,78,99
2:28,-1,Jason Penn missed Layup.,78,99
2:28,-1,Jason Gigliotti Offensive Rebound.,78,99
2:24,-1,Jason Penn made Jumper.,80,99
2:24,2174,Foul on Malik Eichler.,80,99
2:24,-1,Jason Penn missed Free Throw.,80,99
2:24,2174,Gerald Blackshear Jr. Defensive Rebound.,80,99
2:00,-1,Foul on Mike Donatelli.,80,99
1:59,2174,Isaiah Jones missed Free Throw.,80,99
1:59,2174,Roschon Prince Offensive Rebound.,80,99
1:49,2174,Roschon Prince made Dunk.,80,101
1:24,2174,Foul on Isaiah Jones.,80,101
1:24,-1,Jared Jackson made Free Throw.,81,101
1:24,-1,Jared Jackson made Free Throw.,82,101
1:06,2174,Isaiah Jones missed Jumper.,82,101
1:06,2174,Roschon Prince Offensive Rebound.,82,101
1:03,2174,Roschon Prince made Two Point Tip Shot.,82,103
0:45,2174,Foul on DeShawndre Black.,82,103
0:45,-1,Jacob Wendel missed Free Throw.,82,103
0:45,-1,Michigan-Dearborn Deadball Team Rebound.,82,103
0:45,-1,Jacob Wendel missed Free Throw.,82,103
0:45,-1,Juwan Harper Offensive Rebound.,82,103
0:34,-1,Juwan Harper missed Layup.,82,103
0:34,2174,Isaiah Jones Block.,82,103
0:33,2174,Isaiah Jones Defensive Rebound.,82,103
0:26,2174,Roschon Prince Turnover.,82,103
0:25,-1,Mike Donatelli Steal.,82,103
0:19,-1,Mike Donatelli missed Three Point Jumper.,82,103
0:19,2174,Isaiah Jones Defensive Rebound.,82,103
0:04,2174,Bass Ollie made Jumper.,82,105
0:00,-1,Jacob Wendel missed Three Point Jumper.,82,105
0:00,2174,Detroit Mercy Deadball Team Rebound.,82,105
0:00,2174,End of Game,82,105
