LIU Brooklyn,2230,Fordham,2341
2:12,2341,Joel Hernandez missed Free Throw.,62,71
2:12,2341,LIU Brooklyn Deadball Team Rebound.,62,71
2:12,2341,Joel Hernandez made Free Throw.,63,71
2:06,2230,Ivan Raut missed Layup.,63,71
2:06,2341,Eral Penn Block.,63,71
2:02,2230,Prokop Slanina Offensive Rebound.,63,71
1:51,2230,Joseph Chartouny missed Layup.,63,71
1:50,2230,Joseph Chartouny Offensive Rebound.,63,71
1:49,2341,Foul on Joel Hernandez.,63,71
1:48,2230,Joseph Chartouny made Free Throw.,63,72
1:48,2230,Joseph Chartouny missed Free Throw.,63,72
1:48,2341,Joel Hernandez Defensive Rebound.,63,72
1:37,2230,Foul on Prokop Slanina.,63,72
1:37,2341,Raiquan Clark made Free Throw.,64,72
1:37,2341,Raiquan Clark made Free Throw.,65,72
1:31,2341,Foul on Jamall Robinson.,65,72
1:31,2230,Joseph Chartouny made Free Throw.,65,73
1:31,2230,Joseph Chartouny missed Free Throw.,65,73
1:31,2230,Joseph Chartouny Offensive Rebound.,65,73
1:29,2230,Joseph Chartouny made Layup.,65,75
1:22,2341,Foul on Jashaun Agosto.,65,75
1:22,2341,Jashaun Agosto Turnover.,65,75
1:17,2341,Foul on Jashaun Agosto.,65,75
1:17,2230,Will Tavares made Free Throw.,65,76
1:17,2230,Will Tavares missed Free Throw.,65,76
1:17,2341,LIU Brooklyn Deadball Team Rebound.,65,76
1:17,2341,Raiquan Clark missed Free Throw.,65,76
1:17,2341,LIU Brooklyn Deadball Team Rebound.,65,76
1:16,2341,Raiquan Clark missed Free Throw.,65,76
1:16,2230,Fordham Defensive Rebound.,65,76
1:13,2230,Will Tavares made Layup. Assisted by Ivan Raut.,65,78
1:01,2341,Ashtyn Bradley missed Three Point Jumper.,65,78
1:01,2230,Joseph Chartouny Block.,65,78
1:00,2230,Will Tavares Defensive Rebound.,65,78
0:52,2341,Foul on Raul Frias.,65,78
0:52,2230,Joseph Chartouny made Free Throw.,65,79
0:52,2230,Joseph Chartouny made Free Throw.,65,80
0:41,2341,LIU Brooklyn  Timeout,65,80
0:39,2341,Ashtyn Bradley made Three Point Jumper. Assisted by Raul Frias.,68,80
0:37,2341,Foul on Joel Hernandez.,68,80
0:37,2230,Perris Hicks missed Free Throw.,68,80
0:37,2230,Fordham Deadball Team Rebound.,68,80
0:37,2230,Perris Hicks made Free Throw.,68,81
0:25,2341,Raul Frias missed Three Point Jumper.,68,81
0:25,2341,Raiquan Clark Offensive Rebound.,68,81
0:19,2341,Raiquan Clark Turnover.,68,81
0:18,2230,Joseph Chartouny Steal.,68,81
0:00,2230,End of Game,68,81
