Albany,104,Boston University,399
0:36,399,Travis Charles made Layup.,38,38
0:03,104,Tyler Scanlon missed Three Point Jumper.,38,38
0:03,104,Walter Whyte Offensive Rebound.,38,38
0:01,104,Walter Whyte made Two Point Tip Shot.,38,40
0:00,104,End of 1st half,38,40
19:49,399,David Nichols missed Three Point Jumper.,38,40
19:49,399,Greig Stire Offensive Rebound.,38,40
19:46,399,Greig Stire made Layup.,40,40
19:46,104,Foul on Walter Whyte.,40,40
19:46,399,Greig Stire made Free Throw.,41,40
19:34,399,Foul on Greig Stire.,41,40
19:30,104,Tyler Scanlon made Three Point Jumper. Assisted by Cedric Hankerson.,41,43
19:13,399,Greig Stire missed Layup.,41,43
19:13,104,Cedric Hankerson Defensive Rebound.,41,43
19:06,104,Walter Whyte missed Three Point Jumper.,41,43
19:06,399,David Nichols Defensive Rebound.,41,43
18:30,104,Foul on Tyler Scanlon.,41,43
18:30,399,Travis Charles missed Free Throw.,41,43
18:30,399,Albany Deadball Team Rebound.,41,43
18:30,399,Travis Charles missed Free Throw.,41,43
18:30,399,Devonte Campbell Offensive Rebound.,41,43
18:26,104,Foul on Tyler Scanlon.,41,43
18:26,399,Travis Charles made Free Throw.,42,43
18:26,399,Travis Charles made Free Throw.,43,43
18:12,104,Nick Havener missed Jumper.,43,43
18:12,399,Joe Cremo Defensive Rebound.,43,43
17:57,399,Greig Stire made Layup. Assisted by David Nichols.,45,43
17:42,104,Nick Havener Turnover.,45,43
17:19,399,Greig Stire made Layup. Assisted by Devonte Campbell.,47,43
17:18,104,Boston University  Timeout,47,43
17:03,104,Nick Havener made Layup.,47,45
16:47,399,Joe Cremo made Three Point Jumper. Assisted by Devonte Campbell.,50,45
16:34,104,Javante McCoy made Jumper.,50,47
16:17,399,Foul on Joe Cremo.,50,47
16:17,399,Joe Cremo Turnover.,50,47
16:09,104,Tyler Scanlon missed Layup.,50,47
16:09,399,Alex Foster Defensive Rebound.,50,47
16:02,399,David Nichols made Layup.,52,47
15:47,399,Foul on Alex Foster.,52,47
15:47,104,Official TV Timeout,52,47
15:34,104,Walter Whyte missed Jumper.,52,47
15:34,399,Devonte Campbell Defensive Rebound.,52,47
15:22,399,Travis Charles made Jumper. Assisted by David Nichols.,54,47
14:54,104,Walter Whyte missed Jumper.,54,47
14:54,399,David Nichols Defensive Rebound.,54,47
14:47,399,David Nichols made Layup.,56,47
14:45,104,Boston University  Timeout,56,47
14:42,104,Cedric Hankerson made Three Point Jumper. Assisted by Kamali Chambers.,56,50
14:26,399,Joe Cremo missed Layup.,56,50
14:26,104,Nick Havener Block.,56,50
14:24,104,Nick Havener Defensive Rebound.,56,50
14:04,104,Destin Barnes missed Three Point Jumper.,56,50
14:04,399,Joe Cremo Defensive Rebound.,56,50
13:32,104,Foul on Cheddi Mosely.,56,50
13:32,399,Devonte Campbell made Free Throw.,57,50
13:32,399,Devonte Campbell made Free Throw.,58,50
13:18,104,Cedric Hankerson made Layup.,58,52
12:52,104,Foul on Sukhmail Mathon.,58,52
12:52,399,David Nichols made Free Throw.,59,52
12:52,399,David Nichols missed Free Throw.,59,52
12:52,104,Cedric Hankerson Defensive Rebound.,59,52
12:42,104,Destin Barnes missed Three Point Jumper.,59,52
12:42,399,Greig Stire Defensive Rebound.,59,52
12:34,399,David Nichols Turnover.,59,52
12:32,104,Cedric Hankerson Steal.,59,52
12:27,104,Cedric Hankerson missed Layup.,59,52
12:27,399,Ahmad Clark Defensive Rebound.,59,52
12:24,399,David Nichols made Layup. Assisted by Ahmad Clark.,61,52
12:02,104,Destin Barnes missed Layup.,61,52
12:02,399,Devonte Campbell Defensive Rebound.,61,52
11:54,399,Ahmad Clark missed Layup.,61,52
11:54,399,Alex Foster Offensive Rebound.,61,52
11:51,399,Alex Foster missed Layup.,61,52
11:51,104,Sukhmail Mathon Defensive Rebound.,61,52
11:28,399,Foul on Alex Foster.,61,52
11:28,104,Official TV Timeout,61,52
11:21,104,Nick Havener missed Layup.,61,52
11:21,399,Joe Cremo Defensive Rebound.,61,52
11:01,399,Greig Stire made Jumper.,63,52
10:40,104,Destin Barnes missed Three Point Jumper.,63,52
10:40,104,Will Goff Offensive Rebound.,63,52
10:21,104,Javante McCoy made Three Point Jumper. Assisted by Destin Barnes.,63,55
10:03,104,Foul on Nick Havener.,63,55
10:03,399,Ahmad Clark made Free Throw.,64,55
10:03,399,Ahmad Clark missed Free Throw.,64,55
10:03,399,Albany Offensive Rebound.,64,55
9:52,104,Foul on Nick Havener.,64,55
9:52,399,Greig Stire made Free Throw.,65,55
9:52,399,Greig Stire made Free Throw.,66,55
9:39,104,Nick Havener made Layup.,66,57
9:18,399,Greig Stire missed Layup.,66,57
9:18,104,Nick Havener Block.,66,57
9:17,104,Cheddi Mosely Defensive Rebound.,66,57
9:05,104,Cedric Hankerson made Three Point Jumper. Assisted by Nick Havener.,66,60
8:56,399,Albany  Timeout,66,60
8:41,399,David Nichols made Layup.,68,60
8:21,104,Cheddi Mosely missed Layup.,68,60
8:21,399,Albany Defensive Rebound.,68,60
8:04,399,Travis Charles made Layup.,70,60
7:55,104,Javante McCoy missed Three Point Jumper.,70,60
7:55,104,Nick Havener Offensive Rebound.,70,60
7:47,104,Cedric Hankerson missed Three Point Jumper.,70,60
7:47,399,Albany Defensive Rebound.,70,60
7:46,104,Official TV Timeout,70,60
7:32,104,Foul on Nick Havener.,70,60
7:32,399,Joe Cremo made Free Throw.,71,60
7:32,399,Joe Cremo made Free Throw.,72,60
7:14,104,Javante McCoy made Layup.,72,62
7:14,399,Foul on Devonte Campbell.,72,62
7:14,104,Javante McCoy made Free Throw.,72,63
6:55,399,Travis Charles Turnover.,72,63
6:55,399,Foul on Travis Charles.,72,63
6:38,104,Sukhmail Mathon missed Layup.,72,63
6:38,399,David Nichols Defensive Rebound.,72,63
6:29,399,Devonte Campbell missed Layup.,72,63
6:29,104,Sukhmail Mathon Block.,72,63
6:28,399,David Nichols Offensive Rebound.,72,63
6:17,399,David Nichols missed Layup.,72,63
6:17,104,Tyler Scanlon Defensive Rebound.,72,63
6:01,104,Will Goff missed Three Point Jumper.,72,63
6:01,399,David Nichols Defensive Rebound.,72,63
5:39,399,Travis Charles missed Jumper.,72,63
5:39,399,Greig Stire Offensive Rebound.,72,63
5:37,104,Foul on Cedric Hankerson.,72,63
5:37,399,Greig Stire missed Free Throw.,72,63
5:37,399,Albany Deadball Team Rebound.,72,63
5:37,399,Greig Stire made Free Throw.,73,63
5:11,104,Cedric Hankerson Turnover.,73,63
5:07,399,David Nichols Steal.,73,63
5:04,399,Joe Cremo made Layup. Assisted by David Nichols.,75,63
4:47,399,Foul on Devonte Campbell.,75,63
4:47,104,Javante McCoy missed Free Throw.,75,63
4:47,104,Boston University Deadball Team Rebound.,75,63
4:47,104,Javante McCoy made Free Throw.,75,64
4:24,399,Joe Cremo Turnover.,75,64
4:23,104,Javante McCoy Steal.,75,64
4:19,104,Javante McCoy made Layup.,75,66
4:00,399,David Nichols made Layup.,77,66
4:00,104,Foul on Nick Havener.,77,66
4:00,104,Official TV Timeout,77,66
4:00,399,David Nichols made Free Throw.,78,66
3:51,104,Javante McCoy missed Layup.,78,66
3:51,399,Greig Stire Defensive Rebound.,78,66
3:30,399,David Nichols Turnover.,78,66
3:28,104,Javante McCoy Steal.,78,66
3:25,104,Cedric Hankerson missed Three Point Jumper.,78,66
3:25,104,Destin Barnes Offensive Rebound.,78,66
3:15,104,Destin Barnes missed Layup.,78,66
3:15,104,Destin Barnes Offensive Rebound.,78,66
3:08,104,Destin Barnes missed Layup.,78,66
3:08,399,David Nichols Defensive Rebound.,78,66
2:46,399,Joe Cremo missed Layup.,78,66
2:46,104,Destin Barnes Defensive Rebound.,78,66
2:35,104,Tyler Scanlon missed Three Point Jumper.,78,66
2:35,399,Joe Cremo Defensive Rebound.,78,66
2:31,104,Foul on Tyler Scanlon.,78,66
2:31,399,Joe Cremo made Free Throw.,79,66
2:31,399,Joe Cremo made Free Throw.,80,66
2:14,104,Destin Barnes made Three Point Jumper. Assisted by Javante McCoy.,80,69
1:44,399,Devonte Campbell made Layup.,82,69
1:27,104,Foul on Will Goff.,82,69
1:27,399,David Nichols made Free Throw.,83,69
1:27,399,David Nichols made Free Throw.,84,69
1:05,399,Foul on Joe Cremo.,84,69
1:05,104,Walter Whyte missed Free Throw.,84,69
1:05,104,Boston University Deadball Team Rebound.,84,69
1:05,104,Walter Whyte made Free Throw.,84,70
0:50,399,Xavier Cochran made Layup.,86,70
0:33,104,Sukhmail Mathon missed Jumper.,86,70
0:33,399,Costa Anderson Defensive Rebound.,86,70
0:20,399,Costa Anderson made Layup.,88,70
0:16,104,Kamali Chambers made Layup.,88,72
