Alcorn State,2460,Northern Iowa,2016
13:28,2460,Isaiah Brown Defensive Rebound.,9,16
13:17,2460,Juwan McCloud made Three Point Jumper.,9,19
12:56,2460,Foul on Austin Phyfe.,9,19
12:37,2016,Devon Brewer missed Layup.,9,19
12:37,2460,Bennett Koch Defensive Rebound.,9,19
12:17,2016,Foul on Devon Brewer.,9,19
12:02,2460,Bennett Koch missed Layup.,9,19
12:02,2460,Ted Friedman Offensive Rebound.,9,19
11:58,2460,Bennett Koch made Layup.,9,21
11:58,2016,Foul on Yalen Reed.,9,21
11:58,2460,Official TV Timeout,9,21
11:58,2460,Bennett Koch made Free Throw.,9,22
11:49,2016,Maurice Howard Turnover.,9,22
11:49,2016,Foul on Maurice Howard.,9,22
11:30,2460,Spencer Haldeman Turnover.,9,22
11:28,2016,A.J. Mosby Steal.,9,22
11:00,2016,Alcorn State  Turnover.,9,22
10:37,2460,Tywhon Pickford made Three Point Jumper. Assisted by Adam McDermott.,9,25
10:05,2016,A.J. Mosby made Jumper.,11,25
9:39,2460,Spencer Haldeman Turnover.,11,25
9:38,2016,Tyler Carter Steal.,11,25
9:33,2016,Maurice Howard made Three Point Jumper. Assisted by Yalen Reed.,14,25
9:13,2460,Tywhon Pickford missed Jumper.,14,25
9:13,2016,Yalen Reed Block.,14,25
9:10,2016,A.J. Mosby Defensive Rebound.,14,25
9:07,2016,Maurice Howard missed Three Point Jumper.,14,25
9:07,2460,Tywhon Pickford Defensive Rebound.,14,25
8:48,2460,Spencer Haldeman Turnover.,14,25
8:48,2016,Tyler Carter Steal.,14,25
8:22,2016,Dante Sterling missed Three Point Jumper.,14,25
8:22,2460,Isaiah Brown Defensive Rebound.,14,25
8:04,2016,Foul on Yalen Reed.,14,25
7:50,2460,Bennett Koch missed Jumper.,14,25
7:50,2016,A.J. Mosby Defensive Rebound.,14,25
7:43,2016,Reginal Johnson missed Three Point Jumper.,14,25
7:43,2016,Tyler Carter Defensive Rebound.,14,25
7:40,2460,Foul on Klint Carlson.,14,25
7:40,2460,Official TV Timeout,14,25
7:34,2016,Reginal Johnson made Jumper.,16,25
7:17,2460,Klint Carlson missed Layup.,16,25
7:17,2460,Tywhon Pickford Offensive Rebound.,16,25
7:11,2460,Tywhon Pickford missed Layup.,16,25
7:11,2460,Klint Carlson Offensive Rebound.,16,25
7:07,2460,Isaiah Brown missed Three Point Jumper.,16,25
7:07,2016,Reginal Johnson Defensive Rebound.,16,25
6:55,2016,Reginal Johnson missed Three Point Jumper.,16,25
6:55,2460,Bennett Koch Defensive Rebound.,16,25
6:53,2016,Foul on Tyler Carter.,16,25
6:37,2460,Tywhon Pickford made Layup.,16,27
6:12,2016,Dante Sterling missed Three Point Jumper.,16,27
6:12,2460,Isaiah Brown Defensive Rebound.,16,27
5:47,2460,Klint Carlson missed Three Point Jumper.,16,27
5:47,2016,Tyler Carter Defensive Rebound.,16,27
5:28,2016,A.J. Mosby made Three Point Jumper. Assisted by Reginal Johnson.,19,27
5:06,2460,Bennett Koch made Dunk. Assisted by Isaiah Brown.,19,29
4:40,2016,A.J. Mosby Turnover.,19,29
4:39,2460,Isaiah Brown Steal.,19,29
4:36,2460,Isaiah Brown missed Layup.,19,29
4:36,2460,Tywhon Pickford Offensive Rebound.,19,29
4:32,2460,Tywhon Pickford made Dunk.,19,31
4:14,2016,Tyler Carter missed Three Point Jumper.,19,31
4:14,2460,Juwan McCloud Defensive Rebound.,19,31
3:55,2460,Tywhon Pickford missed Three Point Jumper.,19,31
3:55,2460,Bennett Koch Offensive Rebound.,19,31
3:50,2460,Bennett Koch Turnover.,19,31
3:48,2016,A.J. Mosby Steal.,19,31
3:46,2016,A.J. Mosby made Layup.,21,31
3:42,2460,Northern Iowa  Timeout,21,31
3:14,2460,Spencer Haldeman Turnover.,21,31
3:12,2016,Avery Patterson Steal.,21,31
3:10,2016,Avery Patterson made Layup.,23,31
2:45,2016,Foul on Avery Patterson.,23,31
2:45,2460,Klint Carlson missed Free Throw.,23,31
2:45,2460,Northern Iowa Deadball Team Rebound.,23,31
2:45,2460,Klint Carlson made Free Throw.,23,32
2:28,2016,Reginal Johnson made Layup.,25,32
2:05,2460,Spencer Haldeman made Three Point Jumper.,25,35
1:48,2016,Khari Jabriel Allen missed Jumper.,25,35
1:48,2460,Bennett Koch Defensive Rebound.,25,35
1:32,2460,Spencer Haldeman made Jumper.,25,37
1:12,2016,Maurice Howard missed Jumper.,25,37
1:12,2460,Isaiah Brown Defensive Rebound.,25,37
1:01,2460,Isaiah Brown missed Three Point Jumper.,25,37
1:01,2016,Tyler Carter Defensive Rebound.,25,37
0:58,2460,Foul on Bennett Koch.,25,37
0:43,2016,Alcorn State  Timeout,25,37
0:31,2460,Foul on Juwan McCloud.,25,37
0:31,2016,Maurice Howard made Free Throw.,26,37
0:31,2016,Maurice Howard made Free Throw.,27,37
0:00,2460,Klint Carlson missed Three Point Jumper.,27,37
0:00,2016,Alcorn State Defensive Rebound.,27,37
0:00,2460,End of 1st half,27,37
19:46,2460,Tywhon Pickford Turnover.,27,37
19:28,2016,Reginal Johnson missed Layup.,27,37
19:28,2460,Klint Carlson Defensive Rebound.,27,37
19:18,2460,Tywhon Pickford missed Three Point Jumper.,27,37
19:18,2016,Reginal Johnson Defensive Rebound.,27,37
18:55,2016,Avery Patterson missed Layup.,27,37
18:55,2460,Tywhon Pickford Defensive Rebound.,27,37
18:44,2016,Foul on Yalen Reed.,27,37
18:28,2460,Tywhon Pickford missed Layup.,27,37
18:28,2016,A.J. Mosby Defensive Rebound.,27,37
18:20,2460,Foul on Isaiah Brown.,27,37
18:20,2016,Dante Sterling made Free Throw.,28,37
18:20,2016,Dante Sterling missed Free Throw.,28,37
18:20,2460,Bennett Koch Defensive Rebound.,28,37
18:03,2460,Juwan McCloud missed Three Point Jumper.,28,37
18:03,2460,Tywhon Pickford Offensive Rebound.,28,37
17:58,2460,Tywhon Pickford missed Layup.,28,37
17:58,2016,Reginal Johnson Defensive Rebound.,28,37
17:52,2016,Reginal Johnson Turnover.,28,37
17:50,2460,Juwan McCloud Steal.,28,37
17:47,2460,Juwan McCloud missed Layup.,28,37
17:47,2460,Tywhon Pickford Offensive Rebound.,28,37
17:44,2460,Tywhon Pickford made Layup.,28,39
17:28,2460,Foul on Isaiah Brown.,28,39
17:15,2016,Dante Sterling missed Jumper.,28,39
17:15,2460,Bennett Koch Defensive Rebound.,28,39
17:12,2016,Foul on Devon Brewer.,28,39
16:58,2460,Bennett Koch Turnover.,28,39
16:58,2460,Foul on Bennett Koch.,28,39
16:45,2016,Avery Patterson missed Three Point Jumper.,28,39
16:45,2460,Klint Carlson Defensive Rebound.,28,39
16:35,2016,Foul on Devon Brewer.,28,39
16:22,2016,Foul on Dante Sterling.,28,39
16:10,2460,Bennett Koch missed Layup.,28,39
16:10,2460,Tywhon Pickford Offensive Rebound.,28,39
16:06,2460,Tywhon Pickford made Layup.,28,41
15:52,2016,A.J. Mosby made Jumper.,30,41
15:25,2016,Foul on Reginal Johnson.,30,41
15:25,2460,Official TV Timeout,30,41
15:17,2460,Isaiah Brown made Three Point Jumper. Assisted by Juwan McCloud.,30,44
14:45,2460,Foul on Bennett Koch.,30,44
14:45,2016,Tyler Carter made Free Throw.,31,44
14:45,2016,Tyler Carter made Free Throw.,32,44
14:26,2016,Foul on Maurice Howard.,32,44
14:26,2460,Tywhon Pickford made Free Throw.,32,45
14:26,2460,Tywhon Pickford made Free Throw.,32,46
14:10,2016,Maurice Howard missed Jumper.,32,46
14:10,2460,Klint Carlson Defensive Rebound.,32,46
13:55,2460,Klint Carlson missed Three Point Jumper.,32,46
13:55,2016,Alcorn State Defensive Rebound.,32,46
13:34,2016,Reginal Johnson missed Layup.,32,46
13:34,2460,Tywhon Pickford Defensive Rebound.,32,46
13:25,2016,Foul on Tyler Carter.,32,46
13:25,2460,Ted Friedman missed Free Throw.,32,46
13:25,2016,Reginal Johnson Defensive Rebound.,32,46
13:14,2016,Maurice Howard made Three Point Jumper. Assisted by A.J. Mosby.,35,46
12:44,2460,Spencer Haldeman made Three Point Jumper. Assisted by Klint Carlson.,35,49
12:05,2016,Khari Jabriel Allen missed Layup.,35,49
12:05,2460,Tywhon Pickford Defensive Rebound.,35,49
11:56,2460,Tywhon Pickford made Three Point Jumper. Assisted by Juwan McCloud.,35,52
11:38,2016,A.J. Mosby missed Three Point Jumper.,35,52
11:38,2460,Tywhon Pickford Defensive Rebound.,35,52
11:31,2460,Juwan McCloud Turnover.,35,52
11:29,2016,Reginal Johnson Steal.,35,52
11:26,2016,Khari Jabriel Allen Turnover.,35,52
11:26,2016,Foul on Khari Jabriel Allen.,35,52
11:26,2460,Official TV Timeout,35,52
11:04,2460,Juwan McCloud made Three Point Jumper. Assisted by Klint Carlson.,35,55
10:45,2460,Foul on Juwan McCloud.,35,55
10:39,2016,Maurice Howard missed Three Point Jumper.,35,55
10:39,2460,Klint Carlson Defensive Rebound.,35,55
10:27,2460,Tywhon Pickford missed Layup.,35,55
10:27,2016,TyQuaylon Smith Block.,35,55
10:24,2016,TyQuaylon Smith Defensive Rebound.,35,55
10:22,2016,Dante Sterling made Layup.,37,55
9:50,2460,Juwan McCloud missed Layup.,37,55
9:50,2016,Dante Sterling Block.,37,55
9:46,2016,TyQuaylon Smith Defensive Rebound.,37,55
9:39,2016,Dante Sterling missed Three Point Jumper.,37,55
9:39,2460,Bennett Koch Defensive Rebound.,37,55
9:27,2460,Juwan McCloud made Three Point Jumper. Assisted by Klint Carlson.,37,58
9:07,2016,Yalen Reed missed Jumper.,37,58
9:07,2460,Spencer Haldeman Defensive Rebound.,37,58
9:01,2460,Isaiah Brown missed Three Point Jumper.,37,58
9:01,2016,Alcorn State Defensive Rebound.,37,58
8:40,2016,Dante Sterling missed Jumper.,37,58
8:40,2460,Spencer Haldeman Defensive Rebound.,37,58
8:38,2016,Foul on Avery Patterson.,37,58
8:38,2460,Spencer Haldeman made Free Throw.,37,59
8:38,2460,Spencer Haldeman missed Free Throw.,37,59
8:38,2460,Northern Iowa Deadball Team Rebound.,37,59
8:38,2016,Technical Foul on Avery Patterson.,37,58
8:24,2460,Klint Carlson missed Jumper.,37,59
8:24,2016,TyQuaylon Smith Defensive Rebound.,37,59
8:08,2016,Troymain Crosby missed Three Point Jumper.,37,59
8:08,2460,Isaiah Brown Defensive Rebound.,37,59
7:57,2460,Isaiah Brown made Three Point Jumper. Assisted by Juwan McCloud.,37,62
7:54,2460,Foul on Ted Friedman.,37,62
7:54,2460,Official TV Timeout,37,62
7:39,2016,Reginal Johnson missed Layup.,37,62
7:39,2460,Klint Carlson Block.,37,62
7:37,2016,Reginal Johnson Offensive Rebound.,37,62
7:33,2016,A.J. Mosby missed Layup.,37,62
7:33,2460,Isaiah Brown Defensive Rebound.,37,62
7:16,2460,Juwan McCloud made Three Point Jumper. Assisted by Spencer Haldeman.,37,65
7:03,2460,Foul on Juwan McCloud.,37,65
7:03,2016,A.J. Mosby missed Free Throw.,37,65
7:03,2460,Ted Friedman Defensive Rebound.,37,65
6:47,2460,Klint Carlson missed Jumper.,37,65
6:47,2016,Reginal Johnson Defensive Rebound.,37,65
6:34,2460,Foul on Spencer Haldeman.,37,65
6:34,2016,Troymain Crosby missed Free Throw.,37,65
6:34,2460,Isaiah Brown Defensive Rebound.,37,65
6:07,2460,Juwan McCloud missed Three Point Jumper.,37,65
6:07,2016,A.J. Mosby Defensive Rebound.,37,65
6:00,2016,Khari Jabriel Allen made Layup. Assisted by A.J. Mosby.,39,65
6:00,2460,Foul on Isaiah Brown.,39,65
6:00,2016,Khari Jabriel Allen made Free Throw.,40,65
5:35,2460,Bennett Koch made Layup. Assisted by Tywhon Pickford.,40,67
5:20,2016,Khari Jabriel Allen missed Jumper.,40,67
5:20,2460,Bennett Koch Defensive Rebound.,40,67
5:03,2460,Bennett Koch Turnover.,40,67
5:00,2016,Yalen Reed Steal.,40,67
4:58,2016,A.J. Mosby missed Three Point Jumper.,40,67
4:58,2460,Bennett Koch Defensive Rebound.,40,67
4:40,2460,Juwan McCloud made Three Point Jumper. Assisted by Bennett Koch.,40,70
4:12,2016,Khari Jabriel Allen Turnover.,40,70
4:12,2460,Klint Carlson Steal.,40,70
4:12,2460,Northern Iowa  Timeout,40,70
3:53,2460,Ted Friedman missed Jumper.,40,70
3:53,2016,Yalen Reed Block.,40,70
3:51,2460,Ted Friedman Offensive Rebound.,40,70
3:41,2460,Northern Iowa  Turnover.,40,70
3:20,2016,Troymain Crosby Turnover.,40,70
3:00,2460,Spencer Haldeman Turnover.,40,70
3:00,2460,Foul on Spencer Haldeman.,40,70
2:49,2016,Troymain Crosby Turnover.,40,70
2:49,2016,Foul on Troymain Crosby.,40,70
2:28,2460,Miles Wentzien Turnover.,40,70
2:27,2016,Tyler Carter Steal.,40,70
2:23,2016,Dante Sterling made Three Point Jumper.,43,70
2:01,2460,Ted Friedman made Layup. Assisted by Luke McDonnell.,43,72
2:01,2016,Foul on Tyler Carter.,43,72
2:01,2460,Ted Friedman made Free Throw.,43,73
1:37,2016,Maurice Howard missed Jumper.,43,73
1:37,2460,Luke McDonnell Defensive Rebound.,43,73
1:25,2460,Adam McDermott missed Jumper.,43,73
1:25,2016,Alcorn State Defensive Rebound.,43,73
1:12,2016,Maurice Howard missed Three Point Jumper.,43,73
1:12,2016,Khari Jabriel Allen Offensive Rebound.,43,73
1:01,2016,Khari Jabriel Allen missed Jumper.,43,73
1:01,2460,Adam McDermott Defensive Rebound.,43,73
0:49,2460,Tanner Lohaus missed Three Point Jumper.,43,73
0:49,2016,Tyler Carter Defensive Rebound.,43,73
0:32,2016,Devon Brewer made Layup. Assisted by Maurice Howard.,45,73
0:32,2460,Foul on Luke McDonnell.,45,73
0:32,2016,Devon Brewer missed Free Throw.,45,73
0:32,2460,Adam McDermott Defensive Rebound.,45,73
0:02,2460,Miles Wentzien Turnover.,45,73
0:01,2016,Tyler Carter Steal.,45,73
0:00,2460,End of Game,45,73
