Texas A&amp;M-CC,239,Baylor,357
8:03,357,Foul on Myles Smith.,16,15
8:03,239,Manu Lecomte made Free Throw.,16,16
8:03,239,Manu Lecomte made Free Throw.,16,17
7:40,357,Perry Francois made Jumper. Assisted by Elijah Schmidt.,18,17
7:21,239,Official TV Timeout,18,17
7:10,239,King McClure missed Three Point Jumper.,18,17
7:10,239,Nuni Omot Offensive Rebound.,18,17
7:04,239,Nuni Omot missed Jumper.,18,17
7:04,239,Jo Lual-Acuil Jr. Offensive Rebound.,18,17
6:38,239,Nuni Omot missed Three Point Jumper.,18,17
6:38,357,Texas A&M-CC Deadball Team Rebound.,18,17
6:36,239,Foul on Jo Lual-Acuil Jr..,18,17
6:16,357,Sean Rhea Turnover.,18,17
6:04,239,Nuni Omot missed Three Point Jumper.,18,17
6:04,239,Manu Lecomte Offensive Rebound.,18,17
5:51,239,King McClure missed Three Point Jumper.,18,17
5:50,239,Terry Maston Offensive Rebound.,18,17
5:49,239,Terry Maston made Two Point Tip Shot.,18,19
5:32,357,Myles Smith Turnover.,18,19
5:32,357,Foul on Myles Smith.,18,19
5:09,239,Nuni Omot missed Jumper.,18,19
5:09,357,Elijah Schmidt Defensive Rebound.,18,19
4:40,357,Joseph Kilgore made Jumper.,20,19
4:20,239,King McClure missed Jumper.,20,19
4:20,357,Joseph Kilgore Defensive Rebound.,20,19
4:03,239,Foul on Nuni Omot.,20,19
4:03,357,Elijah Schmidt missed Free Throw.,20,19
4:03,239,Mark Vital Defensive Rebound.,20,19
3:53,239,Mark Vital Turnover.,20,19
3:53,239,Official TV Timeout,20,19
3:33,357,Sean Rhea missed Jumper.,20,19
3:33,357,Elijah Schmidt Offensive Rebound.,20,19
3:29,357,Elijah Schmidt missed Jumper.,20,19
3:29,239,Baylor Deadball Team Rebound.,20,19
3:29,357,Foul on Sean Rhea.,20,19
3:29,239,Terry Maston made Free Throw.,20,20
3:29,239,Terry Maston made Free Throw.,20,21
3:00,357,Joseph Kilgore missed Three Point Jumper.,20,21
3:00,239,Terry Maston Defensive Rebound.,20,21
2:54,239,Foul on Mark Vital.,20,21
2:54,239,Mark Vital Turnover.,20,21
2:32,357,Joseph Kilgore missed Jumper.,20,21
2:32,239,Manu Lecomte Defensive Rebound.,20,21
2:27,239,Manu Lecomte made Free Throw.,20,22
2:27,357,Foul on Perry Francois.,20,21
2:27,239,Manu Lecomte made Free Throw.,20,23
2:15,357,Foul on York Benjamin.,20,23
2:15,357,York Benjamin Turnover.,20,23
2:15,357,Texas A&M-CC  Timeout,20,23
2:05,239,Manu Lecomte made Three Point Jumper. Assisted by Nuni Omot.,20,26
1:39,357,York Benjamin Turnover.,20,26
1:39,357,Foul on York Benjamin.,20,26
1:29,239,Foul on Nuni Omot.,20,26
1:29,239,Nuni Omot Turnover.,20,26
1:05,357,Joseph Kilgore Turnover.,20,26
1:04,239,Mark Vital Steal.,20,26
0:50,239,Terry Maston made Jumper. Assisted by Jake Lindsey.,20,28
0:27,357,Elijah Schmidt made Jumper.,22,28
0:02,239,Terry Maston missed Jumper.,22,28
0:02,357,Joseph Kilgore Defensive Rebound.,22,28
0:00,239,End of 1st half,22,28
19:44,357,Kareem South missed Jumper.,22,28
19:44,239,Tristan Clark Block.,22,28
19:42,239,Tristan Clark Defensive Rebound.,22,28
19:37,239,Tristan Clark missed Jumper.,22,28
19:37,357,Joseph Kilgore Defensive Rebound.,22,28
19:26,357,Joseph Kilgore missed Jumper.,22,28
19:26,239,Baylor Deadball Team Rebound.,22,28
19:24,357,Foul on Sean Rhea.,22,28
19:04,239,Jo Lual-Acuil Jr. missed Jumper.,22,28
19:04,239,Jo Lual-Acuil Jr. Offensive Rebound.,22,28
19:01,239,Jo Lual-Acuil Jr. missed Jumper.,22,28
19:01,239,Tristan Clark Offensive Rebound.,22,28
18:59,239,Tristan Clark missed Jumper.,22,28
18:59,357,Joseph Kilgore Defensive Rebound.,22,28
18:45,357,Sean Rhea missed Jumper.,22,28
18:44,239,Jo Lual-Acuil Jr. Block.,22,28
18:44,239,Jo Lual-Acuil Jr. Defensive Rebound.,22,28
18:43,239,Jo Lual-Acuil Jr. Turnover.,22,28
18:29,357,Sean Rhea missed Jumper.,22,28
18:29,239,Manu Lecomte Defensive Rebound.,22,28
18:20,239,Manu Lecomte missed Jumper.,22,28
18:20,357,Joseph Kilgore Defensive Rebound.,22,28
18:16,357,Myles Smith made Jumper. Assisted by Joseph Kilgore.,24,28
17:50,239,Tristan Clark Turnover.,24,28
17:27,357,Myles Smith missed Jumper.,24,28
17:27,239,King McClure Defensive Rebound.,24,28
17:18,239,Tristan Clark missed Jumper.,24,28
17:18,357,Joseph Kilgore Block.,24,28
17:16,357,Kareem South Defensive Rebound.,24,28
17:12,357,Kareem South made Layup.,26,28
17:09,239,Baylor  Timeout,26,28
16:48,357,Foul on Elijah Schmidt.,26,28
16:48,239,Manu Lecomte made Free Throw.,26,29
16:48,239,Manu Lecomte made Free Throw.,26,30
16:25,357,Perry Francois made Jumper.,28,30
16:04,239,Manu Lecomte made Three Point Jumper.,28,33
15:38,357,Myles Smith missed Three Point Jumper.,28,33
15:38,239,Jake Lindsey Block.,28,33
15:34,239,Jo Lual-Acuil Jr. Defensive Rebound.,28,33
15:24,239,Mark Vital missed Three Point Jumper.,28,33
15:24,239,Terry Maston Offensive Rebound.,28,33
15:20,239,Terry Maston made Jumper.,28,35
15:03,357,Sean Rhea missed Jumper.,28,35
15:03,239,Jo Lual-Acuil Jr. Block.,28,35
15:02,239,Jo Lual-Acuil Jr. Defensive Rebound.,28,35
14:56,357,Foul on Perry Francois.,28,35
14:56,239,Official TV Timeout,28,35
14:56,239,Manu Lecomte made Free Throw.,28,36
14:56,239,Manu Lecomte made Free Throw.,28,37
14:38,357,Joseph Kilgore missed Jumper.,28,37
14:38,239,Terry Maston Defensive Rebound.,28,37
14:29,239,Nuni Omot made Three Point Jumper. Assisted by Manu Lecomte.,28,40
14:03,357,Elijah Schmidt missed Three Point Jumper.,28,40
14:03,357,Texas A&M-CC Offensive Rebound.,28,40
13:56,357,Joseph Kilgore made Three Point Jumper. Assisted by Sean Rhea.,31,40
13:33,239,Terry Maston missed Three Point Jumper.,31,40
13:33,357,Joseph Kilgore Defensive Rebound.,31,40
13:00,357,Joseph Kilgore Turnover.,31,40
12:59,239,Jake Lindsey Steal.,31,40
12:55,239,Nuni Omot made Layup. Assisted by Jake Lindsey.,31,42
12:25,357,Joseph Kilgore missed Three Point Jumper.,31,42
12:23,239,Baylor Defensive Rebound.,31,42
12:05,239,Jo Lual-Acuil Jr. missed Jumper.,31,42
12:05,357,Elijah Schmidt Block.,31,42
12:04,357,Joseph Kilgore Defensive Rebound.,31,42
11:56,357,Joseph Kilgore made Layup.,33,42
11:42,239,Manu Lecomte made Jumper.,33,44
11:42,239,Official TV Timeout,33,44
11:41,239,Official TV Timeout,33,44
11:19,357,Myles Smith missed Three Point Jumper.,33,44
11:19,239,Baylor Defensive Rebound.,33,44
11:00,239,King McClure made Layup.,33,46
10:42,357,Elijah Schmidt Turnover.,33,46
10:41,239,Terry Maston Steal.,33,46
10:29,239,Jake Lindsey made Three Point Jumper. Assisted by King McClure.,33,49
10:15,357,Texas A&M-CC  Timeout,33,49
10:04,357,Foul on Sean Rhea.,33,49
10:04,357,Sean Rhea Turnover.,33,49
9:48,239,Nuni Omot missed Three Point Jumper.,33,49
9:48,357,Joseph Kilgore Defensive Rebound.,33,49
9:38,357,Joseph Kilgore missed Three Point Jumper.,33,49
9:38,239,Terry Maston Defensive Rebound.,33,49
9:30,357,Foul on Joseph Kilgore.,33,49
9:30,239,King McClure missed Free Throw.,33,49
9:30,239,Baylor Deadball Team Rebound.,33,49
9:30,239,King McClure missed Free Throw.,33,49
9:29,357,Elijah Schmidt Defensive Rebound.,33,49
9:13,357,Perry Francois missed Jumper.,33,49
9:12,239,Terry Maston Defensive Rebound.,33,49
9:02,239,Manu Lecomte made Jumper.,33,51
8:34,357,Kareem South made Jumper.,35,51
8:11,239,Mark Vital made Jumper.,35,53
8:11,357,Foul on Perry Francois.,35,53
8:11,239,Mark Vital made Free Throw.,35,54
7:52,357,Tre Gray missed Three Point Jumper.,35,54
7:52,239,Jo Lual-Acuil Jr. Defensive Rebound.,35,54
7:32,239,Jo Lual-Acuil Jr. missed Jumper.,35,54
7:32,239,Jo Lual-Acuil Jr. Offensive Rebound.,35,54
7:17,357,Foul on Tre Gray.,35,54
7:17,239,Official TV Timeout,35,54
7:17,239,Manu Lecomte made Free Throw.,35,55
7:17,239,Manu Lecomte made Free Throw.,35,56
6:49,357,David Bloom made Jumper.,37,56
6:49,239,Foul on King McClure.,37,56
6:49,357,David Bloom made Free Throw.,38,56
6:22,239,Terry Maston made Jumper.,38,58
6:07,357,Sean Rhea made Jumper. Assisted by David Bloom.,40,58
5:51,239,Foul on Jo Lual-Acuil Jr..,40,58
5:51,239,Jo Lual-Acuil Jr. Turnover.,40,58
5:34,357,Elijah Schmidt missed Three Point Jumper.,40,58
5:34,357,Sean Rhea Offensive Rebound.,40,58
5:30,239,Foul on Jake Lindsey.,40,58
5:30,357,Sean Rhea missed Free Throw.,40,58
5:30,357,Texas A&M-CC Deadball Team Rebound.,40,58
5:30,357,Sean Rhea missed Free Throw.,40,58
5:30,239,Terry Maston Defensive Rebound.,40,58
5:02,239,Tristan Clark made Jumper. Assisted by Mark Vital.,40,60
4:35,357,Kareem South missed Jumper.,40,60
4:34,357,Elijah Schmidt Offensive Rebound.,40,60
4:33,357,Elijah Schmidt made Two Point Tip Shot.,42,60
4:17,239,Manu Lecomte made Three Point Jumper. Assisted by Jake Lindsey.,42,63
3:46,357,Joseph Kilgore Turnover.,42,63
3:46,239,Official TV Timeout,42,63
3:45,239,Official TV Timeout,42,63
3:33,239,Baylor  Timeout,42,63
3:25,239,Manu Lecomte missed Three Point Jumper.,42,63
3:25,357,Joseph Kilgore Defensive Rebound.,42,63
3:23,239,Foul on Tristan Clark.,42,63
2:54,357,Sean Rhea missed Jumper.,42,63
2:53,357,Elijah Schmidt Offensive Rebound.,42,63
2:52,357,Elijah Schmidt missed Two Point Tip Shot.,42,63
2:51,239,Tristan Clark Defensive Rebound.,42,63
2:32,239,Manu Lecomte missed Three Point Jumper.,42,63
2:32,357,Joseph Kilgore Defensive Rebound.,42,63
2:25,357,Myles Smith missed Three Point Jumper.,42,63
2:25,239,Nuni Omot Defensive Rebound.,42,63
2:20,239,Nuni Omot Turnover.,42,63
2:19,357,Kareem South Steal.,42,63
2:18,357,Kareem South Turnover.,42,63
2:17,239,Manu Lecomte Steal.,42,63
2:14,239,Nuni Omot made Dunk. Assisted by Manu Lecomte.,42,65
2:14,357,Foul on Elijah Schmidt.,42,65
2:14,239,Nuni Omot made Free Throw.,42,66
2:03,357,Myles Smith made Jumper.,44,66
1:38,239,Mark Vital made Dunk.,44,68
1:20,357,Kareem South missed Three Point Jumper.,44,68
1:20,239,Terry Maston Defensive Rebound.,44,68
1:02,239,Nuni Omot made Jumper.,44,70
0:41,357,Sean Rhea made Jumper. Assisted by Joseph Kilgore.,46,70
0:17,239,Jonathan Davis missed Three Point Jumper.,46,70
0:17,239,Terry Maston Offensive Rebound.,46,70
0:00,239,End of Game,46,70
