Brown,2514,Quinnipiac,225
12:17,225,Travis Fuller Offensive Rebound.,15,6
12:16,2514,Foul on Abdulai Bundu.,15,6
12:16,225,Travis Fuller missed Free Throw.,15,6
12:16,225,Brown Deadball Team Rebound.,15,6
12:16,225,Travis Fuller made Free Throw.,16,6
12:07,225,Foul on David Erebor.,16,6
12:02,2514,Alain Chigha made Layup. Assisted by Rich Kelly.,16,8
11:47,225,Brandon Anderson made Jumper.,18,8
11:34,2514,Rich Kelly Turnover.,18,8
11:23,225,Joshua Howard made Three Point Jumper. Assisted by Jason Massey.,21,8
11:04,225,Foul on David Erebor.,21,8
10:54,2514,Isaiah Washington made Three Point Jumper. Assisted by Alain Chigha.,21,11
10:27,225,Matt DeWolf missed Layup.,21,11
10:27,2514,Chaise Daniels Block.,21,11
10:25,2514,Isaiah Washington Defensive Rebound.,21,11
10:19,2514,Isaiah Washington Turnover.,21,11
10:19,225,Brandon Anderson Steal.,21,11
9:54,225,Brandon Anderson missed Jumper.,21,11
9:54,225,Jason Massey Offensive Rebound.,21,11
9:49,225,Jason Massey missed Layup.,21,11
9:49,2514,Chaise Daniels Block.,21,11
9:48,2514,Isaiah Washington Defensive Rebound.,21,11
9:42,225,Foul on Chris Sullivan.,21,11
9:39,2514,Chaise Daniels made Layup. Assisted by Rich Kelly.,21,13
9:22,225,Joshua Howard Turnover.,21,13
9:21,2514,Alain Chigha Steal.,21,13
9:12,2514,Cameron Young made Layup. Assisted by Rich Kelly.,21,15
9:09,225,Brown  Timeout,21,15
9:07,225,Desmond Cambridge made Layup. Assisted by Travis Fuller.,23,15
8:45,225,Foul on Desmond Cambridge.,23,15
8:45,2514,Chaise Daniels made Free Throw.,23,16
8:45,2514,Chaise Daniels missed Free Throw.,23,16
8:45,2514,Quinnipiac Offensive Rebound.,23,16
8:35,2514,Chaise Daniels missed Jumper.,23,16
8:35,225,Desmond Cambridge Defensive Rebound.,23,16
8:23,225,Desmond Cambridge made Three Point Jumper. Assisted by Joshua Howard.,26,16
8:07,2514,Isaiah Washington made Three Point Jumper. Assisted by Rich Kelly.,26,19
7:42,225,Joshua Howard missed Three Point Jumper.,26,19
7:42,225,Travis Fuller Offensive Rebound.,26,19
7:34,225,Joshua Howard made Layup. Assisted by Travis Fuller.,28,19
7:08,2514,Rich Kelly missed Three Point Jumper.,28,19
7:08,225,Travis Fuller Defensive Rebound.,28,19
6:51,225,Desmond Cambridge missed Three Point Jumper.,28,19
6:51,2514,Quinnipiac Defensive Rebound.,28,19
6:49,225,Foul on Travis Fuller.,28,19
6:49,2514,Chaise Daniels made Free Throw.,28,20
6:49,2514,Chaise Daniels made Free Throw.,28,21
6:31,225,Desmond Cambridge missed Layup.,28,21
6:31,2514,Abdulai Bundu Defensive Rebound.,28,21
6:19,2514,Rich Kelly made Jumper.,28,23
6:08,225,Travis Fuller Turnover.,28,23
5:51,2514,Isaiah Washington missed Layup.,28,23
5:51,225,Tamenang Choh Defensive Rebound.,28,23
5:44,2514,Foul on Cameron Young.,28,23
5:44,225,Tamenang Choh missed Free Throw.,28,23
5:44,225,Brown Deadball Team Rebound.,28,23
5:44,225,Tamenang Choh made Free Throw.,29,23
5:30,225,Foul on Jason Massey.,29,23
5:30,2514,Cameron Young missed Free Throw.,29,23
5:30,2514,Quinnipiac Offensive Rebound.,29,23
5:30,225,Foul on Tamenang Choh.,29,23
5:30,2514,Alain Chigha missed Free Throw.,29,23
5:30,2514,Quinnipiac Deadball Team Rebound.,29,23
5:30,2514,Alain Chigha missed Free Throw.,29,23
5:30,225,Joshua Howard Defensive Rebound.,29,23
5:15,2514,Foul on Alain Chigha.,29,23
5:15,225,Brandon Anderson made Free Throw.,30,23
5:15,225,Brandon Anderson missed Free Throw.,30,23
5:15,2514,Abdulai Bundu Defensive Rebound.,30,23
4:59,2514,Abdulai Bundu Turnover.,30,23
4:42,2514,Foul on Isaiah Washington.,30,23
4:42,225,Tamenang Choh missed Free Throw.,30,23
4:42,2514,Quinnipiac Defensive Rebound.,30,23
4:23,2514,Jacob Rigoni Turnover.,30,23
4:23,225,Jason Massey Steal.,30,23
4:19,225,Brandon Anderson made Layup. Assisted by Jason Massey.,32,23
4:04,225,Foul on Brandon Anderson.,32,23
4:04,2514,Abdulai Bundu made Free Throw.,32,24
4:04,2514,Abdulai Bundu made Free Throw.,32,25
3:56,225,Jason Massey missed Layup.,32,25
3:56,2514,Chaise Daniels Block.,32,25
3:55,2514,Andrew Robinson Defensive Rebound.,32,25
3:49,2514,Cameron Young Turnover.,32,25
3:38,225,Zach Hunsaker missed Three Point Jumper.,32,25
3:38,2514,Cameron Young Defensive Rebound.,32,25
3:10,2514,Jacob Rigoni made Jumper. Assisted by Rich Kelly.,32,27
2:49,225,Tamenang Choh missed Layup.,32,27
2:49,2514,Andrew Robinson Defensive Rebound.,32,27
2:42,2514,Rich Kelly Turnover.,32,27
2:41,225,Tamenang Choh Steal.,32,27
2:37,225,Zach Hunsaker missed Three Point Jumper.,32,27
2:37,225,Tamenang Choh Offensive Rebound.,32,27
2:27,2514,Foul on Cameron Young.,32,27
2:27,225,Tamenang Choh made Free Throw.,33,27
2:27,225,Tamenang Choh made Free Throw.,34,27
2:20,225,Foul on Travis Fuller.,34,27
2:20,2514,Cameron Young made Free Throw.,34,28
2:20,2514,Cameron Young missed Free Throw.,34,28
2:20,2514,Jacob Rigoni Offensive Rebound.,34,28
2:19,2514,Jacob Rigoni Turnover.,34,28
2:19,225,Chris Sullivan Steal.,34,28
2:19,2514,Foul on Jacob Rigoni.,34,28
2:19,225,Chris Sullivan made Free Throw.,35,28
2:19,225,Chris Sullivan made Free Throw.,36,28
2:03,2514,Jacob Rigoni missed Layup.,36,28
2:03,2514,Chaise Daniels Offensive Rebound.,36,28
2:00,2514,Chaise Daniels missed Layup.,36,28
2:00,2514,Cameron Young Offensive Rebound.,36,28
1:53,2514,Jacob Rigoni Turnover.,36,28
1:38,2514,Foul on Jacob Rigoni.,36,28
1:38,225,Joshua Howard missed Free Throw.,36,28
1:38,225,Brown Deadball Team Rebound.,36,28
1:38,225,Joshua Howard made Free Throw.,37,28
1:28,225,Foul on Tamenang Choh.,37,28
1:28,2514,Cameron Young made Free Throw.,37,29
1:28,2514,Cameron Young made Free Throw.,37,30
1:19,225,Brandon Anderson made Three Point Jumper. Assisted by Travis Fuller.,40,30
1:00,2514,Rich Kelly made Layup.,40,32
0:43,2514,Foul on Jacob Rigoni.,40,32
0:43,225,Brandon Anderson made Free Throw.,41,32
0:43,225,Brandon Anderson made Free Throw.,42,32
0:34,2514,Chaise Daniels made Layup.,42,34
0:00,225,Brandon Anderson missed Layup.,42,34
0:00,225,David Erebor Offensive Rebound.,42,34
0:00,225,David Erebor made Layup.,44,34
0:00,2514,End of 1st half,44,34
19:50,2514,Isaiah Washington missed Jumper.,44,34
19:50,225,Matt DeWolf Defensive Rebound.,44,34
19:28,225,Brandon Anderson made Jumper.,46,34
19:07,2514,Alain Chigha missed Jumper.,46,34
19:07,225,Joshua Howard Block.,46,34
19:06,225,Brandon Anderson Defensive Rebound.,46,34
18:57,225,Joshua Howard missed Layup.,46,34
18:57,225,Joshua Howard Offensive Rebound.,46,34
18:54,225,Joshua Howard missed Layup.,46,34
18:54,225,Joshua Howard Offensive Rebound.,46,34
18:42,225,Joshua Howard missed Layup.,46,34
18:42,2514,Chaise Daniels Defensive Rebound.,46,34
18:39,2514,Rich Kelly made Layup.,46,36
18:13,225,Matt DeWolf Turnover.,46,36
17:59,2514,Cameron Young missed Layup.,46,36
17:59,225,Desmond Cambridge Block.,46,36
17:58,225,Brandon Anderson Defensive Rebound.,46,36
17:54,225,Brandon Anderson missed Layup.,46,36
17:54,2514,Quinnipiac Defensive Rebound.,46,36
17:46,2514,Rich Kelly missed Three Point Jumper.,46,36
17:46,225,Joshua Howard Defensive Rebound.,46,36
17:34,225,Zach Hunsaker made Layup. Assisted by Brandon Anderson.,48,36
17:20,2514,Isaiah Washington missed Layup.,48,36
17:20,225,Matt DeWolf Defensive Rebound.,48,36
17:13,225,Joshua Howard made Layup. Assisted by Zach Hunsaker.,50,36
17:02,2514,Quinnipiac  Timeout,50,36
16:53,2514,Cameron Young made Layup.,50,38
16:53,225,Foul on Desmond Cambridge.,50,38
16:53,2514,Cameron Young made Free Throw.,50,39
16:40,225,Joshua Howard made Three Point Jumper. Assisted by Travis Fuller.,53,39
16:27,2514,Cameron Young missed Three Point Jumper.,53,39
16:27,225,Brandon Anderson Defensive Rebound.,53,39
16:20,225,Desmond Cambridge made Three Point Jumper. Assisted by Brandon Anderson.,56,39
15:46,2514,Rich Kelly missed Three Point Jumper.,56,39
15:46,225,Brown Defensive Rebound.,56,39
15:43,2514,Foul on Chaise Daniels.,56,39
15:34,225,Desmond Cambridge missed Three Point Jumper.,56,39
15:34,2514,Cameron Young Defensive Rebound.,56,39
15:21,2514,Isaiah Washington missed Three Point Jumper.,56,39
15:21,225,Brown Defensive Rebound.,56,39
15:04,225,Tamenang Choh made Layup. Assisted by Travis Fuller.,58,39
14:54,2514,Isaiah Washington missed Three Point Jumper.,58,39
14:54,225,Desmond Cambridge Defensive Rebound.,58,39
14:41,225,Tamenang Choh Turnover.,58,39
14:41,2514,Isaiah Washington Steal.,58,39
14:26,225,Foul on Desmond Cambridge.,58,39
14:18,225,Foul on Tamenang Choh.,58,39
14:06,2514,Cameron Young made Layup.,58,41
14:06,225,Foul on Chris Sullivan.,58,41
14:06,2514,Cameron Young missed Free Throw.,58,41
14:06,225,Brown Defensive Rebound.,58,41
13:51,225,Tamenang Choh missed Jumper.,58,41
13:51,225,Travis Fuller Offensive Rebound.,58,41
13:49,225,Travis Fuller missed Layup.,58,41
13:49,2514,Abdulai Bundu Defensive Rebound.,58,41
13:38,2514,Cameron Young Turnover.,58,41
13:38,225,Brandon Anderson Steal.,58,41
13:38,2514,Foul on Cameron Young.,58,41
13:30,225,Brandon Anderson Turnover.,58,41
13:29,2514,Alain Chigha Steal.,58,41
13:10,225,Foul on Travis Fuller.,58,41
13:10,2514,Cameron Young made Free Throw.,58,42
13:10,2514,Cameron Young missed Free Throw.,58,42
13:10,225,Chris Sullivan Defensive Rebound.,58,42
12:43,225,Travis Fuller missed Jumper.,58,42
12:43,2514,Cameron Young Defensive Rebound.,58,42
12:26,2514,Isaiah Washington missed Three Point Jumper.,58,42
12:26,225,Travis Fuller Defensive Rebound.,58,42
12:05,225,Chris Sullivan missed Three Point Jumper.,58,42
12:05,2514,Chaise Daniels Defensive Rebound.,58,42
11:51,2514,Rich Kelly Turnover.,58,42
11:36,225,Zach Hunsaker made Jumper.,60,42
11:17,2514,Rich Kelly made Three Point Jumper. Assisted by Chaise Daniels.,60,45
10:53,2514,Foul on Cameron Young.,60,45
10:53,225,Zach Hunsaker made Free Throw.,61,45
10:53,225,Zach Hunsaker made Free Throw.,62,45
10:41,2514,Alain Chigha made Layup. Assisted by Chaise Daniels.,62,47
10:24,225,Chris Sullivan made Three Point Jumper. Assisted by Jason Massey.,65,47
10:02,225,Foul on David Erebor.,65,47
9:52,225,Foul on Joshua Howard.,65,47
9:52,2514,Alain Chigha missed Free Throw.,65,47
9:52,225,Travis Fuller Defensive Rebound.,65,47
9:23,225,Foul on Travis Fuller.,65,47
9:23,225,Travis Fuller Turnover.,65,47
9:08,225,Foul on Zach Hunsaker.,65,47
9:08,2514,Isaiah Washington made Free Throw.,65,48
9:08,2514,Isaiah Washington made Free Throw.,65,49
8:55,225,Desmond Cambridge made Jumper. Assisted by Brandon Anderson.,67,49
8:36,2514,Andrew Robinson made Three Point Jumper. Assisted by Chaise Daniels.,67,52
8:13,225,Brandon Anderson missed Jumper.,67,52
8:13,2514,Andrew Robinson Defensive Rebound.,67,52
8:00,2514,Rich Kelly missed Layup.,67,52
8:00,225,Tamenang Choh Defensive Rebound.,67,52
7:58,2514,Foul on Chaise Daniels.,67,52
7:47,225,Brown  Turnover.,67,52
7:36,2514,Chaise Daniels made Layup. Assisted by Cameron Young.,67,54
7:09,225,Tamenang Choh made Layup.,69,54
6:45,2514,Andrew Robinson made Three Point Jumper. Assisted by Cameron Young.,69,57
6:30,225,Desmond Cambridge made Jumper. Assisted by Zach Hunsaker.,71,57
6:11,2514,Rich Kelly missed Layup.,71,57
6:11,225,Desmond Cambridge Defensive Rebound.,71,57
5:43,225,Zach Hunsaker missed Three Point Jumper.,71,57
5:43,225,Tamenang Choh Offensive Rebound.,71,57
5:35,225,Brown  Timeout,71,57
5:23,225,Zach Hunsaker missed Three Point Jumper.,71,57
5:23,225,Tamenang Choh Offensive Rebound.,71,57
5:11,2514,Foul on Isaiah Washington.,71,57
5:08,225,Brandon Anderson Turnover.,71,57
5:07,2514,Isaiah Washington Steal.,71,57
4:56,2514,Chaise Daniels made Layup. Assisted by Rich Kelly.,71,59
4:41,225,Desmond Cambridge missed Jumper.,71,59
4:41,225,Zach Hunsaker Offensive Rebound.,71,59
4:39,225,Zach Hunsaker Turnover.,71,59
4:39,2514,Cameron Young Steal.,71,59
4:26,225,Foul on Tamenang Choh.,71,59
4:26,2514,Chaise Daniels missed Free Throw.,71,59
4:26,2514,Quinnipiac Deadball Team Rebound.,71,59
4:26,2514,Chaise Daniels made Free Throw.,71,60
4:15,225,Joshua Howard made Three Point Jumper. Assisted by Brandon Anderson.,74,60
4:01,2514,Andrew Robinson made Three Point Jumper. Assisted by Rich Kelly.,74,63
3:24,225,Brown  Turnover.,74,63
3:05,2514,Rich Kelly made Three Point Jumper.,74,66
2:35,225,Brandon Anderson missed Layup.,74,66
2:35,2514,Rich Kelly Block.,74,66
2:34,225,Travis Fuller Offensive Rebound.,74,66
2:31,225,Travis Fuller missed Jumper.,74,66
2:31,2514,Chaise Daniels Block.,74,66
2:30,225,Desmond Cambridge Offensive Rebound.,74,66
2:27,225,Brandon Anderson missed Three Point Jumper.,74,66
2:27,2514,Quinnipiac Defensive Rebound.,74,66
2:16,2514,Rich Kelly made Layup.,74,68
2:00,225,Joshua Howard made Layup. Assisted by Tamenang Choh.,76,68
1:48,2514,Chaise Daniels made Layup. Assisted by Rich Kelly.,76,70
1:48,225,Foul on Joshua Howard.,76,70
1:48,2514,Chaise Daniels missed Free Throw.,76,70
1:48,225,Desmond Cambridge Defensive Rebound.,76,70
1:29,225,Travis Fuller missed Jumper.,76,70
1:29,225,Brown Offensive Rebound.,76,70
1:10,2514,Foul on Alain Chigha.,76,70
1:10,225,Brandon Anderson made Free Throw.,77,70
1:10,225,Brandon Anderson missed Free Throw.,77,70
1:10,2514,Chaise Daniels Defensive Rebound.,77,70
0:58,2514,Rich Kelly missed Three Point Jumper.,77,70
0:58,225,Chris Sullivan Defensive Rebound.,77,70
0:48,2514,Foul on Isaiah Washington.,77,70
0:48,225,Brandon Anderson made Free Throw.,78,70
0:48,225,Brandon Anderson made Free Throw.,79,70
0:37,2514,Chaise Daniels made Layup. Assisted by Cameron Young.,79,72
0:32,225,Joshua Howard Turnover.,79,72
0:31,2514,Rich Kelly Steal.,79,72
0:29,2514,Isaiah Washington missed Layup.,79,72
0:29,225,Joshua Howard Defensive Rebound.,79,72
0:28,2514,Foul on Isaiah Washington.,79,72
0:28,225,Joshua Howard missed Free Throw.,79,72
0:28,2514,Andrew Robinson Defensive Rebound.,79,72
0:15,2514,Chaise Daniels missed Layup.,79,72
0:15,2514,Cameron Young Offensive Rebound.,79,72
0:15,225,Foul on Zach Hunsaker.,79,72
0:15,225,Brown  Timeout,79,72
0:15,2514,Cameron Young missed Free Throw.,79,72
0:15,2514,Quinnipiac Deadball Team Rebound.,79,72
0:15,2514,Cameron Young missed Free Throw.,79,72
0:15,2514,Cameron Young Offensive Rebound.,79,72
0:11,2514,Quinnipiac  Timeout,79,72
0:10,2514,Andrew Robinson missed Three Point Jumper.,79,72
0:10,225,Brandon Anderson Defensive Rebound.,79,72
0:05,2514,Foul on Jacob Rigoni.,79,72
0:05,225,Brandon Anderson missed Free Throw.,79,72
0:05,2514,Cameron Young Defensive Rebound.,79,72
0:00,2514,Cameron Young missed Three Point Jumper.,79,72
0:00,2514,Quinnipiac Deadball Team Rebound.,79,72
0:00,2514,End of Game,79,72
