Old Dominion,256,James Madison,295
18:00,295,Randy Haynes missed Jumper.,32,27
18:00,295,Trey Porter Offensive Rebound.,32,27
17:53,295,Randy Haynes missed Three Point Jumper.,32,27
17:53,256,Ramone Snowden Defensive Rebound.,32,27
17:33,256,Cameron Smith missed Layup.,32,27
17:33,295,B.J. Stith Defensive Rebound.,32,27
17:26,295,Ahmad Caver made Three Point Jumper. Assisted by B.J. Stith.,35,27
16:57,256,Foul on Develle Phillips.,35,27
16:57,256,Develle Phillips Turnover.,35,27
16:39,295,Trey Porter missed Jumper.,35,27
16:39,256,Stuckey Mosley Defensive Rebound.,35,27
16:31,256,Stuckey Mosley missed Layup.,35,27
16:31,295,B.J. Stith Defensive Rebound.,35,27
16:24,295,Randy Haynes missed Three Point Jumper.,35,27
16:24,256,Stuckey Mosley Defensive Rebound.,35,27
15:58,256,Greg Jones missed Jumper.,35,27
15:58,295,Aaron Carver Defensive Rebound.,35,27
15:41,295,Foul on Brandan Stith.,35,27
15:41,295,Brandan Stith Turnover.,35,27
15:41,256,Official TV Timeout,35,27
15:24,256,Matt Lewis missed Three Point Jumper.,35,27
15:24,295,B.J. Stith Defensive Rebound.,35,27
14:59,256,Foul on Zach Jacobs.,35,27
14:56,295,B.J. Stith made Layup. Assisted by Ahmad Caver.,37,27
14:39,256,Zach Jacobs made Jumper. Assisted by Stuckey Mosley.,37,29
14:04,295,Brandan Stith Turnover.,37,29
14:02,256,Matt Lewis Steal.,37,29
14:00,295,Foul on Xavier Green.,37,29
14:00,256,Stuckey Mosley missed Free Throw.,37,29
14:00,256,James Madison Deadball Team Rebound.,37,29
14:00,256,Stuckey Mosley missed Free Throw.,37,29
14:00,295,Randy Haynes Defensive Rebound.,37,29
13:36,295,Aaron Carver missed Layup.,37,29
13:36,256,Stuckey Mosley Defensive Rebound.,37,29
13:28,256,Matt Lewis made Jumper. Assisted by Stuckey Mosley.,37,31
13:09,295,Randy Haynes missed Three Point Jumper.,37,31
13:09,295,Brandan Stith Offensive Rebound.,37,31
13:05,256,Foul on Darius Banks.,37,31
13:01,295,Randy Haynes missed Three Point Jumper.,37,31
13:01,256,Matt Lewis Defensive Rebound.,37,31
12:48,256,Matt Lewis missed Jumper.,37,31
12:48,295,Xavier Green Defensive Rebound.,37,31
12:35,295,Xavier Green missed Jumper.,37,31
12:35,256,Zach Jacobs Defensive Rebound.,37,31
12:25,256,Foul on Greg Jones.,37,31
12:25,256,Greg Jones Turnover.,37,31
12:10,256,Foul on Zach Jacobs.,37,31
12:10,295,Trey Porter made Free Throw.,38,31
12:10,295,Trey Porter made Free Throw.,39,31
11:55,256,Joey McLean missed Layup.,39,31
11:55,256,Develle Phillips Offensive Rebound.,39,31
11:55,295,Foul on Aaron Carver.,39,31
11:55,256,Official TV Timeout,39,31
11:36,256,Darius Banks missed Layup.,39,31
11:36,295,Aaron Carver Defensive Rebound.,39,31
11:13,295,Ahmad Caver missed Layup.,39,31
11:13,295,Trey Porter Offensive Rebound.,39,31
11:09,295,Trey Porter made Layup.,41,31
10:59,295,Foul on Aaron Carver.,41,31
10:52,256,Develle Phillips made Dunk. Assisted by Matt Lewis.,41,33
10:32,295,B.J. Stith made Jumper. Assisted by Randy Haynes.,43,33
10:10,256,Darius Banks missed Layup.,43,33
10:10,295,Aaron Carver Defensive Rebound.,43,33
9:56,295,B.J. Stith missed Jumper.,43,33
9:56,256,Greg Jones Defensive Rebound.,43,33
9:43,256,Joey McLean made Three Point Jumper.,43,36
9:22,295,Aaron Carver Turnover.,43,36
9:20,256,Matt Lewis Steal.,43,36
9:16,256,Greg Jones Turnover.,43,36
9:13,295,Ahmad Caver Steal.,43,36
9:10,295,Ahmad Caver made Jumper.,45,36
8:56,256,Foul on Joey McLean.,45,36
8:56,256,Joey McLean Turnover.,45,36
8:50,295,Keith Pinckney missed Three Point Jumper.,45,36
8:50,256,Dwight Wilson Defensive Rebound.,45,36
8:47,256,Develle Phillips Turnover.,45,36
8:44,295,Keith Pinckney Steal.,45,36
8:20,256,Foul on Develle Phillips.,45,36
8:20,295,Brandan Stith made Free Throw.,46,36
8:20,295,Brandan Stith missed Free Throw.,46,36
8:20,256,Ramone Snowden Defensive Rebound.,46,36
8:14,256,Stuckey Mosley missed Three Point Jumper.,46,36
8:14,295,Aaron Carver Defensive Rebound.,46,36
8:06,295,B.J. Stith Turnover.,46,36
8:03,256,Joey McLean Steal.,46,36
8:01,256,Joey McLean made Layup.,46,38
7:33,295,Randy Haynes made Jumper. Assisted by B.J. Stith.,48,38
7:15,295,Foul on Randy Haynes.,48,38
7:15,256,Official TV Timeout,48,38
7:14,256,Official TV Timeout,48,38
7:00,256,Joey McLean missed Three Point Jumper.,48,38
7:00,256,Zach Jacobs Offensive Rebound.,48,38
6:56,256,Zach Jacobs made Layup.,48,40
6:27,295,Ahmad Caver missed Layup.,48,40
6:27,295,Brandan Stith Offensive Rebound.,48,40
6:25,295,Brandan Stith missed Layup.,48,40
6:24,256,James Madison Defensive Rebound.,48,40
6:12,256,Stuckey Mosley missed Layup.,48,40
6:12,295,Brandan Stith Block.,48,40
6:04,256,Joey McLean Offensive Rebound.,48,40
6:02,256,Joey McLean Turnover.,48,40
6:01,295,Ahmad Caver Steal.,48,40
5:56,295,B.J. Stith made Three Point Jumper. Assisted by Ahmad Caver.,51,40
5:36,295,Foul on Randy Haynes.,51,40
5:36,256,Stuckey Mosley made Free Throw.,51,41
5:36,256,Stuckey Mosley made Free Throw.,51,42
5:29,295,Xavier Green Turnover.,51,42
5:22,256,Stuckey Mosley missed Three Point Jumper.,51,42
5:22,295,Brandan Stith Defensive Rebound.,51,42
5:18,256,Foul on Ramone Snowden.,51,42
5:18,295,B.J. Stith made Free Throw.,52,42
5:18,295,B.J. Stith made Free Throw.,53,42
5:06,295,Foul on Xavier Green.,53,42
5:06,256,Stuckey Mosley missed Free Throw.,53,42
5:06,295,Trey Porter Defensive Rebound.,53,42
4:43,295,B.J. Stith made Three Point Jumper. Assisted by Brandan Stith.,56,42
4:33,256,Ramone Snowden missed Three Point Jumper.,56,42
4:33,295,B.J. Stith Defensive Rebound.,56,42
4:12,256,Foul on Matt Lewis.,56,42
4:12,295,B.J. Stith made Free Throw.,57,42
4:12,295,B.J. Stith made Free Throw.,58,42
4:05,256,Joey McLean missed Layup.,58,42
4:05,295,Brandan Stith Block.,58,42
4:00,295,Ahmad Caver Defensive Rebound.,58,42
3:56,295,B.J. Stith made Three Point Jumper. Assisted by Ahmad Caver.,61,42
3:51,256,James Madison  Timeout,61,42
3:44,295,Foul on Trey Porter.,61,42
3:44,256,Official TV Timeout,61,42
3:44,256,Ramone Snowden made Free Throw.,61,43
3:44,256,Ramone Snowden made Free Throw.,61,44
3:32,295,Brandan Stith made Layup. Assisted by B.J. Stith.,63,44
3:14,256,Matt Lewis missed Three Point Jumper.,63,44
3:14,295,Old Dominion Defensive Rebound.,63,44
2:48,256,Foul on Develle Phillips.,63,44
2:48,295,Trey Porter missed Free Throw.,63,44
2:48,295,Old Dominion Deadball Team Rebound.,63,44
2:48,295,Trey Porter made Free Throw.,64,44
2:42,256,Ramone Snowden missed Layup.,64,44
2:42,295,Trey Porter Defensive Rebound.,64,44
2:39,295,Trey Porter Turnover.,64,44
2:39,295,Technical Foul on Ahmad Caver.,64,44
2:39,295,Foul on Ahmad Caver.,64,44
2:39,256,Joey McLean made Free Throw.,64,45
2:39,256,Joey McLean made Free Throw.,64,46
2:31,256,Ramone Snowden made Three Point Jumper. Assisted by Stuckey Mosley.,64,49
2:29,256,James Madison  Timeout,64,49
2:14,256,Foul on Zach Jacobs.,64,49
2:14,295,Randy Haynes missed Free Throw.,64,49
2:14,295,Old Dominion Deadball Team Rebound.,64,49
2:14,295,Randy Haynes made Free Throw.,65,49
2:12,295,Foul on Randy Haynes.,65,49
2:12,256,Stuckey Mosley made Free Throw.,65,50
2:12,256,Stuckey Mosley made Free Throw.,65,51
1:40,295,Trey Porter made Layup. Assisted by Ahmad Caver.,67,51
1:30,256,Ramone Snowden made Layup. Assisted by Matt Lewis.,67,53
0:58,295,B.J. Stith missed Jumper.,67,53
0:58,295,Old Dominion Offensive Rebound.,67,53
0:28,295,Trey Porter missed Layup.,67,53
0:28,295,Trey Porter Offensive Rebound.,67,53
0:22,295,Trey Porter made Dunk.,69,53
0:14,256,Stuckey Mosley missed Three Point Jumper.,69,53
0:14,295,Trey Porter Defensive Rebound.,69,53
0:00,256,End of Game,69,53
