Mississippi Valley State,254,Utah,2400
6:46,254,Tyler Rawson Steal.,16,31
6:31,2400,Jordan Evans Turnover.,16,31
6:28,254,Gabe Bealer Steal.,16,31
6:27,254,Gabe Bealer made Layup.,16,33
6:19,2400,Jamal Watson missed Jumper.,16,33
6:19,254,David Collette Defensive Rebound.,16,33
6:09,254,Parker Van Dyke missed Three Point Jumper.,16,33
6:09,2400,Jeffery Lewis Defensive Rebound.,16,33
5:55,2400,Jamal Watson missed Jumper.,16,33
5:55,254,David Collette Defensive Rebound.,16,33
5:29,254,Gabe Bealer missed Three Point Jumper.,16,33
5:29,2400,Nate Nahimy Defensive Rebound.,16,33
5:21,2400,Gemaal Davis missed Jumper.,16,33
5:21,254,Utah Defensive Rebound.,16,33
5:19,2400,Foul on Jamal Watson.,16,33
5:19,254,Tyler Rawson made Free Throw.,16,34
5:19,254,Tyler Rawson made Free Throw.,16,35
4:57,2400,Arinze Anakwenze missed Jumper.,16,35
4:57,254,Chris Seeley Defensive Rebound.,16,35
4:56,2400,Foul on Gemaal Davis.,16,35
4:56,254,Chris Seeley made Free Throw.,16,36
4:56,254,Chris Seeley made Free Throw.,16,37
4:50,254,Foul on Christian Popoola.,16,37
4:50,2400,Dante Scott missed Free Throw.,16,37
4:50,254,Christian Popoola Defensive Rebound.,16,37
4:33,254,Christian Popoola missed Jumper.,16,37
4:33,2400,Arinze Anakwenze Block.,16,37
4:31,254,David Collette Offensive Rebound.,16,37
4:30,254,David Collette missed Jumper.,16,37
4:30,2400,Dante Scott Defensive Rebound.,16,37
4:15,2400,Gemaal Davis missed Three Point Jumper.,16,37
4:15,254,Chris Seeley Defensive Rebound.,16,37
3:58,254,Chris Seeley missed Layup.,16,37
3:58,2400,Arinze Anakwenze Defensive Rebound.,16,37
3:34,2400,Arinze Anakwenze missed Jumper.,16,37
3:34,254,David Collette Block.,16,37
3:33,254,Justin Bibbins Defensive Rebound.,16,37
3:28,254,Parker Van Dyke made Layup. Assisted by Justin Bibbins.,16,39
3:01,2400,Jordan Evans made Three Point Jumper.,19,39
2:56,254,Foul on Justin Bibbins.,19,39
2:56,254,Justin Bibbins Turnover.,19,39
2:56,254,Official TV Timeout,19,39
2:39,2400,Jordan Evans missed Three Point Jumper.,19,39
2:39,254,Christian Popoola Defensive Rebound.,19,39
2:10,254,Foul on Parker Van Dyke.,19,39
2:10,254,Parker Van Dyke Turnover.,19,39
1:44,2400,Dante Scott made Jumper. Assisted by Henry Taylor.,21,39
1:31,254,Parker Van Dyke Turnover.,21,39
1:27,2400,Lorenzo Hunt Steal.,21,39
1:20,2400,Dante Scott missed Three Point Jumper.,21,39
1:20,254,Gabe Bealer Defensive Rebound.,21,39
1:07,2400,Foul on LaCurtis Allen.,21,39
1:07,254,Donnie Tillman made Free Throw.,21,40
1:07,254,Donnie Tillman made Free Throw.,21,41
0:46,2400,Dante Scott missed Jumper.,21,41
0:46,254,Jakub Jokl Defensive Rebound.,21,41
0:33,254,Donnie Tillman missed Three Point Jumper.,21,41
0:33,2400,Henry Taylor Defensive Rebound.,21,41
0:04,2400,Henry Taylor Turnover.,21,41
0:01,254,Justin Bibbins missed Layup.,21,41
0:01,2400,Dante Scott Block.,21,41
0:01,254,Utah Offensive Rebound.,21,41
0:00,254,End of 1st half,21,41
19:48,2400,Jordan Evans missed Jumper.,21,41
19:48,2400,Jordan Evans Offensive Rebound.,21,41
19:39,254,Foul on Tyler Rawson.,21,41
19:39,2400,Lorenzo Hunt made Free Throw.,22,41
19:39,2400,Lorenzo Hunt missed Free Throw.,22,41
19:39,254,Gabe Bealer Defensive Rebound.,22,41
19:29,254,Foul on Gabe Bealer.,22,41
19:29,254,Gabe Bealer Turnover.,22,41
19:13,2400,Tereke Eckwood made Three Point Jumper. Assisted by Jordan Evans.,25,41
19:03,254,David Collette made Dunk. Assisted by Justin Bibbins.,25,43
18:44,2400,Lorenzo Hunt missed Jumper.,25,43
18:44,254,Gabe Bealer Defensive Rebound.,25,43
18:33,254,Tyler Rawson Turnover.,25,43
18:32,2400,Tereke Eckwood Steal.,25,43
18:28,2400,Foul on Jordan Evans.,25,43
18:28,2400,Jordan Evans Turnover.,25,43
18:07,254,Gabe Bealer made Three Point Jumper. Assisted by Justin Bibbins.,25,46
17:37,2400,LaCurtis Allen missed Layup.,25,46
17:37,254,Justin Bibbins Defensive Rebound.,25,46
17:29,2400,Foul on Jordan Evans.,25,46
17:17,254,Justin Bibbins missed Three Point Jumper.,25,46
17:17,2400,Jamal Watson Defensive Rebound.,25,46
17:09,2400,Jeffery Lewis missed Three Point Jumper.,25,46
17:09,254,Tyler Rawson Defensive Rebound.,25,46
17:00,254,Kolbe Caldwell missed Three Point Jumper.,25,46
17:00,2400,Jamal Watson Defensive Rebound.,25,46
16:53,254,Foul on Justin Bibbins.,25,46
16:53,2400,Nate Nahimy made Free Throw.,26,46
16:53,2400,Nate Nahimy made Free Throw.,27,46
16:44,254,Gabe Bealer made Three Point Jumper. Assisted by Tyler Rawson.,27,49
16:18,2400,Jeffery Lewis missed Three Point Jumper.,27,49
16:18,254,Justin Bibbins Defensive Rebound.,27,49
15:56,254,Kolbe Caldwell missed Layup.,27,49
15:56,254,David Collette Offensive Rebound.,27,49
15:54,254,David Collette missed Dunk.,27,49
15:54,2400,Nate Nahimy Defensive Rebound.,27,49
15:40,2400,Jamal Watson missed Jumper.,27,49
15:40,254,David Collette Defensive Rebound.,27,49
15:21,254,Gabe Bealer made Three Point Jumper. Assisted by David Collette.,27,52
15:12,2400,Mississippi Valley State  Timeout,27,52
15:04,2400,Jeffery Lewis missed Three Point Jumper.,27,52
15:04,2400,Tereke Eckwood Offensive Rebound.,27,52
15:00,2400,Jeffery Lewis missed Three Point Jumper.,27,52
15:00,254,David Collette Defensive Rebound.,27,52
14:52,254,Gabe Bealer Turnover.,27,52
14:50,2400,Tereke Eckwood Steal.,27,52
14:46,2400,Gemaal Davis missed Jumper.,27,52
14:46,254,David Collette Block.,27,52
14:44,254,Tyler Rawson Defensive Rebound.,27,52
14:26,254,Justin Bibbins made Three Point Jumper. Assisted by Kolbe Caldwell.,27,55
14:09,254,Foul on David Collette.,27,55
14:09,254,Official TV Timeout,27,55
14:09,2400,Gemaal Davis missed Free Throw.,27,55
14:09,2400,Mississippi Valley State Deadball Team Rebound.,27,55
14:09,2400,Gemaal Davis made Free Throw.,28,55
14:01,254,Kolbe Caldwell made Dunk. Assisted by Tyler Rawson.,28,57
13:55,2400,Dante Scott Turnover.,28,57
13:45,254,Tyler Rawson made Dunk. Assisted by Kolbe Caldwell.,28,59
13:13,2400,Tereke Eckwood made Jumper.,30,59
12:50,254,Tyler Rawson made Layup. Assisted by Donnie Tillman.,30,61
12:50,2400,Foul on Arinze Anakwenze.,30,61
12:50,254,Tyler Rawson made Free Throw.,30,62
12:37,2400,Jamal Watson made Jumper. Assisted by Tereke Eckwood.,32,62
12:27,254,Donnie Tillman made Layup.,32,64
12:12,2400,Tereke Eckwood made Jumper.,34,64
11:51,254,Kolbe Caldwell missed Layup.,34,64
11:51,254,Chris Seeley Offensive Rebound.,34,64
11:50,254,Chris Seeley made Two Point Tip Shot.,34,66
11:38,2400,Dante Scott missed Three Point Jumper.,34,66
11:38,254,Chris Seeley Defensive Rebound.,34,66
11:28,254,Donnie Tillman made Three Point Jumper. Assisted by Chris Seeley.,34,69
11:08,254,Foul on David Collette.,34,69
11:08,254,Official TV Timeout,34,69
11:08,2400,Tereke Eckwood missed Free Throw.,34,69
11:08,2400,Mississippi Valley State Deadball Team Rebound.,34,69
11:08,2400,Tereke Eckwood missed Free Throw.,34,69
11:08,254,Chris Seeley Defensive Rebound.,34,69
10:44,2400,Foul on Jamal Watson.,34,69
10:32,254,Parker Van Dyke missed Three Point Jumper.,34,69
10:32,254,Utah Offensive Rebound.,34,69
10:30,2400,Foul on Jamal Watson.,34,69
10:13,254,Chris Seeley missed Jumper.,34,69
10:13,2400,Jamal Watson Defensive Rebound.,34,69
10:03,2400,Jordan Evans missed Jumper.,34,69
10:03,254,Chris Seeley Defensive Rebound.,34,69
9:41,254,Chris Seeley made Dunk. Assisted by Parker Van Dyke.,34,71
9:35,2400,Jordan Evans made Layup.,36,71
9:35,254,Foul on Christian Popoola.,36,71
9:35,2400,Jordan Evans made Free Throw.,37,71
9:15,254,Jake Connor made Three Point Jumper. Assisted by Chris Seeley.,37,74
8:56,2400,Tereke Eckwood missed Jumper.,37,74
8:56,254,Parker Van Dyke Defensive Rebound.,37,74
8:48,254,Chris Seeley made Dunk. Assisted by Parker Van Dyke.,37,76
8:20,2400,Lorenzo Hunt made Three Point Jumper. Assisted by Jordan Evans.,40,76
7:58,254,Official TV Timeout,40,76
7:48,254,Jake Connor missed Three Point Jumper.,40,76
7:48,254,Chris Seeley Offensive Rebound.,40,76
7:40,254,Donnie Tillman missed Layup.,40,76
7:40,254,Donnie Tillman Offensive Rebound.,40,76
7:37,254,Donnie Tillman made Layup.,40,78
7:17,2400,Tereke Eckwood missed Three Point Jumper.,40,78
7:17,254,Donnie Tillman Defensive Rebound.,40,78
7:07,254,Jake Connor missed Three Point Jumper.,40,78
7:07,254,Chris Seeley Offensive Rebound.,40,78
7:00,2400,Foul on LaCurtis Allen.,40,78
6:56,254,Chris Seeley Turnover.,40,78
6:55,2400,Gemaal Davis Steal.,40,78
6:52,2400,Jordan Evans Turnover.,40,78
6:27,254,Parker Van Dyke made Jumper.,40,80
6:18,2400,Gemaal Davis made Jumper.,42,80
6:18,254,Foul on Parker Van Dyke.,42,80
6:18,2400,Gemaal Davis made Free Throw.,43,80
6:02,254,Christian Popoola Turnover.,43,80
6:01,2400,Jordan Evans Steal.,43,80
5:59,2400,Henry Taylor Turnover.,43,80
5:55,254,Christian Popoola Turnover.,43,80
5:55,2400,Gemaal Davis Steal.,43,80
5:41,2400,Jordan Evans missed Jumper.,43,80
5:41,254,Chris Seeley Defensive Rebound.,43,80
5:26,254,Donnie Tillman Turnover.,43,80
5:24,2400,Gemaal Davis Steal.,43,80
5:10,2400,Gemaal Davis missed Three Point Jumper.,43,80
5:10,254,Chris Seeley Defensive Rebound.,43,80
5:00,2400,Foul on Gemaal Davis.,43,80
5:00,254,Donnie Tillman made Free Throw.,43,81
5:00,254,Donnie Tillman missed Free Throw.,43,81
5:00,2400,Henry Taylor Defensive Rebound.,43,81
4:35,254,Foul on Jakub Jokl.,43,81
4:35,2400,Jamal Watson made Free Throw.,44,81
4:35,2400,Jamal Watson made Free Throw.,45,81
4:22,254,Parker Van Dyke made Three Point Jumper. Assisted by Donnie Tillman.,45,84
4:13,2400,Nate Nahimy missed Layup.,45,84
4:13,254,Donnie Tillman Defensive Rebound.,45,84
4:06,254,Parker Van Dyke missed Layup.,45,84
4:06,254,Jake Connor Offensive Rebound.,45,84
3:48,254,Jake Connor made Three Point Jumper. Assisted by Donnie Tillman.,45,87
3:37,2400,Mississippi Valley State  Timeout,45,87
3:37,254,Official TV Timeout,45,87
3:25,2400,Foul on Emmanuel Ejeh.,45,87
3:25,2400,Emmanuel Ejeh Turnover.,45,87
3:10,254,Christian Popoola missed Jumper.,45,87
3:09,2400,Jamal Watson Block.,45,87
3:08,254,Jakub Jokl Offensive Rebound.,45,87
3:04,254,Jakub Jokl made Two Point Tip Shot.,45,89
2:58,2400,Nate Nahimy missed Jumper.,45,89
2:58,2400,Emmanuel Ejeh Offensive Rebound.,45,89
2:52,2400,Dante Scott missed Jumper.,45,89
2:52,254,Parker Van Dyke Defensive Rebound.,45,89
2:23,254,Parker Van Dyke missed Three Point Jumper.,45,89
2:23,2400,Emmanuel Ejeh Block.,45,89
2:22,2400,Dante Scott Defensive Rebound.,45,89
2:20,254,Foul on Jake Connor.,45,89
2:20,2400,Nate Nahimy missed Free Throw.,45,89
2:20,2400,Mississippi Valley State Deadball Team Rebound.,45,89
2:20,2400,Nate Nahimy missed Free Throw.,45,89
2:20,254,Chris Seeley Defensive Rebound.,45,89
1:57,254,Jake Connor missed Three Point Jumper.,45,89
1:57,254,Jake Connor Offensive Rebound.,45,89
1:51,254,Parker Van Dyke missed Three Point Jumper.,45,89
1:51,2400,Emmanuel Ejeh Defensive Rebound.,45,89
1:41,254,Foul on Jakub Jokl.,45,89
1:41,2400,Kaleb Allison missed Free Throw.,45,89
1:41,2400,Mississippi Valley State Deadball Team Rebound.,45,89
1:41,2400,Kaleb Allison made Free Throw.,46,89
1:27,254,Jakub Jokl made Layup. Assisted by Jake Connor.,46,91
1:22,2400,Jeffery Lewis made Jumper.,48,91
0:58,254,Jake Connor missed Jumper.,48,91
0:58,2400,Emmanuel Ejeh Block.,48,91
0:57,254,Parker Van Dyke Offensive Rebound.,48,91
0:52,254,Parker Van Dyke Turnover.,48,91
0:52,2400,Nate Nahimy Steal.,48,91
0:47,2400,Nate Nahimy missed Layup.,48,91
0:47,2400,Mississippi Valley State Offensive Rebound.,48,91
0:44,2400,Emmanuel Ejeh made Layup. Assisted by Nate Nahimy.,50,91
0:44,254,Foul on Jakub Jokl.,50,91
0:44,2400,Emmanuel Ejeh made Free Throw.,51,91
0:24,254,Chris Seeley missed Jumper.,51,91
0:24,2400,Nate Nahimy Defensive Rebound.,51,91
0:00,2400,Nate Nahimy missed Three Point Jumper.,51,91
0:00,254,Chris Seeley Defensive Rebound.,51,91
0:00,254,End of Game,51,91
