Robert Morris,2253,Grand Canyon,2523
14:07,2523,Malik Petteway Offensive Rebound.,11,9
14:04,2523,Malik Petteway missed Layup.,11,9
14:04,2253,Oscar Frayer Defensive Rebound.,11,9
13:58,2253,Casey Benson made Three Point Jumper.,11,12
13:22,2253,Foul on Oscar Frayer.,11,12
13:13,2523,Chris Coalmon made Three Point Jumper. Assisted by Dachon Burke.,14,12
12:58,2253,Alessandro Lever missed Three Point Jumper.,14,12
12:58,2523,Dachon Burke Defensive Rebound.,14,12
12:43,2523,Charles Bain Turnover.,14,12
12:42,2253,Oscar Frayer Steal.,14,12
12:40,2253,Oscar Frayer Turnover.,14,12
12:26,2523,Leondre Washington Turnover.,14,12
12:26,2523,Foul on Leondre Washington.,14,12
12:13,2253,Casey Benson missed Jumper.,14,12
12:13,2253,Joshua Braun Offensive Rebound.,14,12
12:09,2253,Joshua Braun made Layup.,14,14
11:55,2523,Chris Coalmon Turnover.,14,14
11:54,2253,Gerard Martin Steal.,14,14
11:52,2253,Gerard Martin made Dunk.,14,16
11:33,2523,Leondre Washington Turnover.,14,16
11:33,2253,Official TV Timeout,14,16
11:25,2253,Fiifi Aidoo made Layup. Assisted by Alessandro Lever.,14,18
11:04,2523,Jon Williams made Three Point Jumper.,17,18
10:53,2253,Casey Benson missed Three Point Jumper.,17,18
10:53,2523,Dachon Burke Defensive Rebound.,17,18
10:43,2523,Dachon Burke Turnover.,17,18
10:43,2523,Foul on Dachon Burke.,17,18
10:24,2253,Matt Jackson Turnover.,17,18
10:24,2253,Foul on Matt Jackson.,17,18
10:07,2253,Foul on Gerard Martin.,17,18
10:07,2523,Dachon Burke made Free Throw.,18,18
10:07,2523,Dachon Burke made Free Throw.,19,18
9:53,2253,Fiifi Aidoo made Layup.,19,20
9:53,2523,Foul on Dachon Burke.,19,20
9:53,2253,Fiifi Aidoo missed Free Throw.,19,20
9:53,2523,Robert Morris Defensive Rebound.,19,20
9:34,2523,Jon Williams missed Three Point Jumper.,19,20
9:34,2253,Gerard Martin Defensive Rebound.,19,20
9:31,2523,Foul on Koby Thomas.,19,20
9:31,2253,Shaq Carr made Free Throw.,19,21
9:31,2253,Shaq Carr made Free Throw.,19,22
9:18,2253,Foul on Matt Jackson.,19,22
9:17,2523,Jon Williams missed Free Throw.,19,22
9:17,2253,Grand Canyon Defensive Rebound.,19,22
9:17,2523,Foul on David Cole.,19,22
9:17,2253,Keonta Vernon made Free Throw.,19,23
9:17,2253,Keonta Vernon made Free Throw.,19,24
8:57,2523,Matty McConnell Turnover.,19,24
8:57,2523,Foul on Matty McConnell.,19,24
8:37,2253,Joshua Braun made Three Point Jumper. Assisted by Shaq Carr.,19,27
8:11,2253,Foul on Shaq Carr.,19,27
8:11,2523,David Cole made Free Throw.,20,27
8:11,2523,David Cole made Free Throw.,21,27
7:59,2253,Foul on Joshua Braun.,21,27
7:59,2253,Joshua Braun Turnover.,21,27
7:59,2253,Official TV Timeout,21,27
7:46,2523,Leondre Washington missed Jumper.,21,27
7:46,2253,Oscar Frayer Defensive Rebound.,21,27
7:25,2253,Roberts Blumbergs missed Three Point Jumper.,21,27
7:25,2523,Malik Petteway Defensive Rebound.,21,27
6:59,2523,Malik Petteway Turnover.,21,27
6:44,2253,Roberts Blumbergs missed Three Point Jumper.,21,27
6:44,2253,Joshua Braun Offensive Rebound.,21,27
6:39,2253,Joshua Braun made Layup.,21,29
6:24,2523,Chris Coalmon missed Jumper.,21,29
6:24,2253,Roberts Blumbergs Defensive Rebound.,21,29
6:14,2253,Joshua Braun missed Three Point Jumper.,21,29
6:14,2253,Oscar Frayer Offensive Rebound.,21,29
6:06,2253,Joshua Braun made Layup. Assisted by Oscar Frayer.,21,31
5:51,2523,Charles Bain missed Three Point Jumper.,21,31
5:51,2253,Casey Benson Defensive Rebound.,21,31
5:42,2523,Foul on Leondre Washington.,21,31
5:42,2253,Casey Benson made Free Throw.,21,32
5:42,2253,Casey Benson made Free Throw.,21,33
5:22,2523,David Cole Turnover.,21,33
5:11,2253,Joshua Braun missed Layup.,21,33
5:11,2523,Charles Bain Defensive Rebound.,21,33
4:52,2523,Dachon Burke missed Jumper.,21,33
4:52,2523,Charles Bain Offensive Rebound.,21,33
4:46,2523,Charles Bain made Three Point Jumper.,24,33
4:27,2253,Joshua Braun made Three Point Jumper. Assisted by Gerard Martin.,24,36
4:00,2523,Jon Williams Turnover.,24,36
3:58,2253,Oscar Frayer Steal.,24,36
3:56,2253,Casey Benson made Layup. Assisted by Oscar Frayer.,24,38
3:36,2523,Charles Bain missed Jumper.,24,38
3:36,2253,Grand Canyon Defensive Rebound.,24,38
3:33,2253,Official TV Timeout,24,38
3:25,2253,Alessandro Lever made Layup. Assisted by Gerard Martin.,24,40
3:08,2523,Leondre Washington missed Layup.,24,40
3:08,2253,Oscar Frayer Defensive Rebound.,24,40
2:58,2253,Gerard Martin Turnover.,24,40
2:56,2523,Dachon Burke Steal.,24,40
2:55,2523,Dachon Burke Turnover.,24,40
2:30,2253,Alessandro Lever Turnover.,24,40
2:30,2253,Foul on Alessandro Lever.,24,40
2:05,2523,Leondre Washington missed Layup.,24,40
2:05,2253,Alessandro Lever Defensive Rebound.,24,40
1:59,2523,Foul on Jon Williams.,24,40
1:59,2253,Casey Benson made Free Throw.,24,41
1:59,2253,Casey Benson missed Free Throw.,24,41
1:59,2523,Koby Thomas Defensive Rebound.,24,41
1:47,2523,Dachon Burke Turnover.,24,41
1:47,2253,Gerard Martin Steal.,24,41
1:34,2253,Joshua Braun made Three Point Jumper. Assisted by Casey Benson.,24,44
1:24,2523,Koby Thomas made Layup. Assisted by Jon Williams.,26,44
1:11,2523,Foul on David Cole.,26,44
1:11,2253,Alessandro Lever made Free Throw.,26,45
1:11,2253,Alessandro Lever made Free Throw.,26,46
1:11,2523,Robert Morris  Timeout,26,46
1:00,2523,Koby Thomas made Jumper.,28,46
0:40,2523,Foul on Malik Petteway.,28,46
0:40,2253,Alessandro Lever made Free Throw.,28,47
0:40,2253,Alessandro Lever made Free Throw.,28,48
0:31,2523,Koby Thomas missed Three Point Jumper.,28,48
0:31,2253,Oscar Frayer Defensive Rebound.,28,48
0:27,2253,Grand Canyon  Timeout,28,48
0:09,2253,Alessandro Lever missed Three Point Jumper.,28,48
0:00,2523,Malik Petteway Defensive Rebound.,28,48
0:00,2253,End of 1st half,28,51
19:51,2523,Dachon Burke made Layup.,30,48
19:37,2253,Joshua Braun made Three Point Jumper. Assisted by Roberts Blumbergs.,30,51
18:58,2523,Jon Williams missed Layup.,30,51
18:58,2253,Keonta Vernon Defensive Rebound.,30,51
18:48,2253,Casey Benson Turnover.,30,51
18:47,2523,Dachon Burke Steal.,30,51
18:44,2523,Dachon Burke made Layup.,32,51
18:19,2253,Keonta Vernon missed Jumper.,32,51
18:19,2523,Dachon Burke Defensive Rebound.,32,51
18:07,2523,Koby Thomas missed Layup.,32,51
18:07,2523,Koby Thomas Offensive Rebound.,32,51
18:05,2523,Koby Thomas missed Layup.,32,51
18:05,2253,Casey Benson Defensive Rebound.,32,51
18:04,2523,Foul on Koby Thomas.,32,51
18:03,2523,Foul on David Cole.,32,51
18:03,2253,Keonta Vernon missed Free Throw.,32,51
18:03,2253,Grand Canyon Deadball Team Rebound.,32,51
18:03,2253,Keonta Vernon made Free Throw.,32,52
17:51,2523,Dachon Burke missed Layup.,32,52
17:51,2253,Oscar Frayer Block.,32,52
17:51,2253,Keonta Vernon Defensive Rebound.,32,52
17:42,2523,Foul on David Cole.,32,52
17:32,2253,Joshua Braun Turnover.,32,52
17:24,2253,Foul on Joshua Braun.,32,52
17:13,2523,Malik Petteway made Layup.,34,52
16:58,2253,Keonta Vernon made Layup. Assisted by Oscar Frayer.,34,54
16:39,2523,Dachon Burke missed Layup.,34,54
16:39,2523,Koby Thomas Offensive Rebound.,34,54
16:37,2253,Foul on Roberts Blumbergs.,34,54
16:32,2523,Koby Thomas made Free Throw.,35,54
16:32,2523,Koby Thomas made Free Throw.,36,54
16:18,2253,Casey Benson missed Layup.,36,54
16:18,2523,Matty McConnell Defensive Rebound.,36,54
16:04,2523,Koby Thomas missed Jumper.,36,54
16:04,2253,Keonta Vernon Block.,36,54
16:04,2523,Dachon Burke Offensive Rebound.,36,54
15:53,2523,Dachon Burke missed Layup.,36,54
15:53,2253,Roberts Blumbergs Defensive Rebound.,36,54
15:44,2253,Oscar Frayer made Three Point Jumper. Assisted by Casey Benson.,36,57
15:23,2523,Malik Petteway made Layup. Assisted by Jon Williams.,38,57
15:15,2523,Foul on Dachon Burke.,38,57
15:15,2253,Official TV Timeout,38,57
15:15,2253,Casey Benson made Free Throw.,38,58
15:15,2253,Casey Benson missed Free Throw.,38,58
15:15,2523,Malik Petteway Defensive Rebound.,38,58
15:06,2523,Jon Williams missed Three Point Jumper.,38,58
15:06,2523,Robert Morris Offensive Rebound.,38,58
15:03,2253,Foul on Keonta Vernon.,38,58
14:50,2253,Foul on Keonta Vernon.,38,58
14:43,2523,Leondre Washington missed Three Point Jumper.,38,58
14:43,2523,Chris Coalmon Offensive Rebound.,38,58
14:40,2523,Chris Coalmon missed Layup.,38,58
14:40,2253,Keonta Vernon Block.,38,58
14:40,2253,Casey Benson Defensive Rebound.,38,58
14:36,2253,Oscar Frayer made Three Point Jumper. Assisted by Casey Benson.,38,61
14:17,2523,Malik Petteway missed Layup.,38,61
14:17,2523,Malik Petteway Offensive Rebound.,38,61
14:14,2523,Malik Petteway missed Layup.,38,61
14:14,2253,Casey Benson Defensive Rebound.,38,61
14:08,2253,Oscar Frayer made Jumper. Assisted by Casey Benson.,38,63
14:03,2523,Robert Morris  Timeout,38,63
13:53,2523,Matty McConnell Turnover.,38,63
13:51,2253,Keonta Vernon Steal.,38,63
13:35,2253,Oscar Frayer Turnover.,38,63
13:34,2523,Dachon Burke Steal.,38,63
13:30,2253,Foul on Keonta Vernon.,38,63
13:30,2523,Dachon Burke made Free Throw.,39,63
13:30,2523,Dachon Burke made Free Throw.,40,63
13:17,2253,Casey Benson Turnover.,40,63
13:16,2523,Dachon Burke Steal.,40,63
13:13,2253,Foul on Gerard Martin.,40,63
13:13,2523,Koby Thomas missed Free Throw.,40,63
13:13,2523,Robert Morris Deadball Team Rebound.,40,63
13:13,2523,Koby Thomas made Free Throw.,41,63
13:04,2523,Foul on David Cole.,41,63
13:04,2253,Joshua Braun missed Three Point Jumper.,41,63
13:04,2253,Oscar Frayer Offensive Rebound.,41,63
12:51,2253,Joshua Braun Turnover.,41,63
12:50,2523,Koby Thomas Steal.,41,63
12:46,2523,Matty McConnell missed Layup.,41,63
12:46,2523,Matty McConnell Offensive Rebound.,41,63
12:42,2523,Koby Thomas made Layup. Assisted by Matty McConnell.,43,63
12:26,2523,Foul on Koby Thomas.,43,63
12:20,2253,Alessandro Lever Turnover.,43,63
12:18,2523,Malik Petteway Steal.,43,63
12:12,2523,Leondre Washington missed Three Point Jumper.,43,63
12:12,2253,Gerard Martin Defensive Rebound.,43,63
11:53,2253,Casey Benson made Layup.,43,65
11:43,2523,Charles Bain missed Three Point Jumper.,43,65
11:43,2253,Casey Benson Defensive Rebound.,43,65
11:23,2523,Foul on Malik Petteway.,43,65
11:23,2253,Official TV Timeout,43,65
11:23,2253,Joshua Braun missed Free Throw.,43,65
11:23,2523,Charles Bain Defensive Rebound.,43,65
11:08,2523,Jon Williams missed Layup.,43,65
11:08,2253,Alessandro Lever Defensive Rebound.,43,65
10:52,2253,Gerard Martin missed Three Point Jumper.,43,65
10:52,2523,Malik Petteway Defensive Rebound.,43,65
10:25,2523,Dachon Burke missed Jumper.,43,65
10:25,2253,Oscar Frayer Defensive Rebound.,43,65
10:03,2253,Alessandro Lever Turnover.,43,65
10:01,2523,Charles Bain Steal.,43,65
9:57,2523,Leondre Washington missed Three Point Jumper.,43,65
9:57,2523,Charles Bain Offensive Rebound.,43,65
9:52,2523,Charles Bain made Layup.,45,65
9:31,2253,Oscar Frayer Turnover.,45,65
9:30,2523,Malik Petteway Steal.,45,65
9:26,2523,Dachon Burke made Layup. Assisted by Leondre Washington.,47,65
9:26,2253,Foul on Gerard Martin.,47,65
9:26,2523,Dachon Burke made Free Throw.,48,65
9:10,2523,Foul on Leondre Washington.,48,65
9:10,2253,Fiifi Aidoo missed Free Throw.,48,65
9:10,2523,Ronnie Gombe Defensive Rebound.,48,65
8:42,2523,Ronnie Gombe made Layup. Assisted by Jon Williams.,50,65
8:20,2253,Foul on Shaq Carr.,50,65
8:20,2253,Shaq Carr Turnover.,50,65
8:07,2523,Jon Williams Turnover.,50,65
8:07,2253,Official TV Timeout,50,65
7:36,2523,Foul on Ronnie Gombe.,50,65
7:36,2253,Joshua Braun missed Free Throw.,50,65
7:36,2523,Ronnie Gombe Defensive Rebound.,50,65
7:28,2523,Foul on Dachon Burke.,50,65
7:28,2523,Dachon Burke Turnover.,50,65
7:06,2253,Foul on Kerwin Smith.,50,65
7:06,2253,Kerwin Smith Turnover.,50,65
6:47,2523,Koby Thomas made Jumper.,52,65
6:25,2253,Casey Benson missed Layup.,52,65
6:25,2253,Casey Benson Offensive Rebound.,52,65
6:25,2523,Ronnie Gombe Block.,52,65
6:22,2523,Foul on Chris Coalmon.,52,65
6:22,2253,Casey Benson made Free Throw.,52,66
6:22,2253,Casey Benson made Free Throw.,52,67
6:04,2523,Chris Coalmon Turnover.,52,67
5:53,2523,Foul on Ronnie Gombe.,52,67
5:53,2253,Keonta Vernon made Free Throw.,52,68
5:53,2253,Keonta Vernon missed Free Throw.,52,68
5:53,2523,Koby Thomas Defensive Rebound.,52,68
5:34,2253,Foul on Casey Benson.,52,68
5:34,2523,Matty McConnell made Free Throw.,53,68
5:34,2523,Matty McConnell missed Free Throw.,53,68
5:34,2253,Keonta Vernon Defensive Rebound.,53,68
5:33,2523,Foul on Ronnie Gombe.,53,68
5:33,2253,Keonta Vernon made Free Throw.,53,69
5:33,2253,Keonta Vernon missed Free Throw.,53,69
5:33,2523,Jon Williams Defensive Rebound.,53,69
5:05,2523,Matty McConnell missed Three Point Jumper.,53,69
5:05,2253,Keonta Vernon Defensive Rebound.,53,69
4:47,2253,Joshua Braun missed Layup.,53,69
4:47,2253,Joshua Braun Offensive Rebound.,53,69
4:43,2253,Joshua Braun missed Jumper.,53,69
4:43,2523,Malik Petteway Defensive Rebound.,53,69
4:27,2523,Dachon Burke made Three Point Jumper. Assisted by Jon Williams.,56,69
3:59,2253,Casey Benson missed Layup.,56,69
3:59,2523,Malik Petteway Block.,56,69
3:59,2253,Grand Canyon Offensive Rebound.,56,69
3:58,2253,Official TV Timeout,56,69
3:53,2523,Foul on Leondre Washington.,56,69
3:53,2253,Casey Benson made Free Throw.,56,70
3:53,2253,Casey Benson made Free Throw.,56,71
3:42,2523,Dachon Burke missed Layup.,56,71
3:42,2253,Oscar Frayer Defensive Rebound.,56,71
3:40,2523,Foul on Malik Petteway.,56,71
3:40,2253,Oscar Frayer made Free Throw.,56,72
3:40,2253,Oscar Frayer made Free Throw.,56,73
3:23,2523,Matty McConnell missed Three Point Jumper.,56,73
3:23,2523,Dachon Burke Offensive Rebound.,56,73
3:19,2523,Dachon Burke missed Layup.,56,73
3:19,2253,Joshua Braun Block.,56,73
3:19,2253,Gerard Martin Defensive Rebound.,56,73
2:59,2253,Casey Benson missed Jumper.,56,73
2:59,2523,Malik Petteway Defensive Rebound.,56,73
2:50,2523,Leondre Washington missed Three Point Jumper.,56,73
2:50,2523,Charles Bain Offensive Rebound.,56,73
2:42,2523,Malik Petteway missed Layup.,56,73
2:42,2523,Robert Morris Offensive Rebound.,56,73
2:41,2253,Foul on Keonta Vernon.,56,73
2:41,2253,Technical Foul on Keonta Vernon.,56,73
2:41,2523,Matty McConnell missed Free Throw.,56,73
2:41,2523,Robert Morris Deadball Team Rebound.,56,73
2:41,2523,Matty McConnell made Free Throw.,57,73
2:41,2523,Malik Petteway missed Free Throw.,57,73
2:41,2523,Robert Morris Deadball Team Rebound.,57,73
2:41,2523,Malik Petteway missed Free Throw.,57,73
2:41,2253,Gerard Martin Defensive Rebound.,57,73
2:09,2253,Joshua Braun missed Three Point Jumper.,57,73
2:09,2523,Robert Morris Defensive Rebound.,57,73
1:56,2523,Koby Thomas Turnover.,57,73
1:30,2253,Alessandro Lever missed Layup.,57,73
1:30,2253,Gerard Martin Offensive Rebound.,57,73
1:24,2253,Gerard Martin made Two Point Tip Shot.,57,75
1:12,2523,Malik Petteway made Jumper.,59,75
0:42,2253,Joshua Braun Turnover.,59,75
0:41,2523,Malik Petteway Steal.,59,75
0:39,2523,Malik Petteway made Dunk.,61,75
0:39,2253,Casey Benson Turnover.,61,75
0:28,2523,Jon Williams Steal.,61,75
0:14,2523,Matty McConnell missed Three Point Jumper.,61,75
0:14,2253,Gerard Martin Defensive Rebound.,61,75
0:00,2253,End of 2nd half,61,75
