North Dakota State,30,USC,2449
4:28,30,Chimezie Metu made Jumper. Assisted by Shaqquan Aaron.,29,21
4:18,2449,Tyson Ward missed Three Point Jumper.,29,21
4:18,30,USC Defensive Rebound.,29,21
4:03,30,Jordan McLaughlin missed Jumper.,29,21
4:03,2449,Tyson Ward Defensive Rebound.,29,21
3:44,2449,North Dakota State  Timeout,29,21
3:44,30,Official TV Timeout,29,21
3:40,30,Official TV Timeout,29,21
3:35,2449,Chris Quayle missed Three Point Jumper.,29,21
3:35,30,Jordan McLaughlin Defensive Rebound.,29,21
3:23,30,Shaqquan Aaron Turnover.,29,21
3:10,2449,Spencer Eliason made Layup. Assisted by Paul Miller.,31,21
2:47,30,Bennie Boatwright made Three Point Jumper. Assisted by Shaqquan Aaron.,31,24
2:47,2449,Foul on A.J. Jacobson.,31,24
2:47,30,Bennie Boatwright made Free Throw.,31,25
2:25,2449,Paul Miller made Jumper.,33,25
2:07,30,Bennie Boatwright made Layup. Assisted by Chimezie Metu.,33,27
1:48,2449,Tyson Ward Turnover.,33,27
1:36,30,Jonah Mathews Turnover.,33,27
1:36,30,Foul on Jonah Mathews.,33,27
1:07,2449,Spencer Eliason Turnover.,33,27
1:04,30,Jordan McLaughlin made Layup.,33,29
0:45,2449,Paul Miller missed Layup.,33,29
0:45,30,Elijah Stewart Defensive Rebound.,33,29
0:32,30,Chimezie Metu missed Layup.,33,29
0:32,30,Bennie Boatwright Offensive Rebound.,33,29
0:32,30,Bennie Boatwright made Two Point Tip Shot.,33,31
0:10,2449,Paul Miller Turnover.,33,31
0:01,30,Jordan McLaughlin made Layup. Assisted by Elijah Stewart.,33,33
0:00,30,End of 1st half,33,33
20:00,2449,Jump Ball won by North Dakota State,33,33
19:40,2449,Paul Miller missed Jumper.,33,33
19:40,30,Jordan McLaughlin Defensive Rebound.,33,33
19:33,30,Elijah Stewart missed Three Point Jumper.,33,33
19:33,30,Bennie Boatwright Offensive Rebound.,33,33
19:26,30,Bennie Boatwright made Jumper.,33,35
18:58,2449,A.J. Jacobson made Layup.,35,35
18:35,30,Chimezie Metu made Dunk.,35,37
18:01,2449,Paul Miller missed Three Point Jumper.,35,37
18:01,2449,Tyson Ward Offensive Rebound.,35,37
18:01,2449,Tyson Ward made Two Point Tip Shot.,37,37
17:39,30,Elijah Stewart Turnover.,37,37
17:39,2449,Dylan Miller Steal.,37,37
17:07,2449,Dylan Miller Turnover.,37,37
17:07,30,Jonah Mathews Steal.,37,37
17:02,30,Chimezie Metu made Dunk. Assisted by Bennie Boatwright.,37,39
16:49,2449,Jared Samuelson made Three Point Jumper.,40,39
16:43,30,Bennie Boatwright Turnover.,40,39
16:43,2449,Jared Samuelson Steal.,40,39
16:33,2449,Jared Samuelson made Three Point Jumper. Assisted by Paul Miller.,43,39
16:20,30,Bennie Boatwright made Jumper.,43,41
16:02,2449,Deng Geu missed Dunk.,43,41
16:02,30,Jonah Mathews Defensive Rebound.,43,41
15:48,30,Official TV Timeout,43,41
15:41,2449,Foul on Paul Miller.,43,41
15:41,30,Jordan McLaughlin missed Free Throw.,43,41
15:41,30,USC Deadball Team Rebound.,43,41
15:41,30,Jordan McLaughlin made Free Throw.,43,42
15:21,2449,Tyson Ward missed Three Point Jumper.,43,42
15:21,30,Chimezie Metu Defensive Rebound.,43,42
15:10,30,Jonah Mathews missed Jumper.,43,42
15:10,30,USC Offensive Rebound.,43,42
15:08,2449,Foul on Spencer Eliason.,43,42
15:05,30,Bennie Boatwright made Layup.,43,44
15:05,2449,Foul on Deng Geu.,43,44
15:05,30,Bennie Boatwright missed Free Throw.,43,44
15:05,2449,Spencer Eliason Defensive Rebound.,43,44
14:39,2449,Tyson Ward missed Jumper.,43,44
14:39,30,Chimezie Metu Block.,43,44
14:39,30,Elijah Stewart Defensive Rebound.,43,44
14:33,2449,Foul on Cameron Hunter.,43,44
14:31,30,Bennie Boatwright made Jumper.,43,46
13:55,2449,A.J. Jacobson Turnover.,43,46
13:44,30,Elijah Stewart made Jumper.,43,48
13:31,2449,Paul Miller missed Three Point Jumper.,43,48
13:31,30,Bennie Boatwright Defensive Rebound.,43,48
13:20,30,Elijah Stewart missed Three Point Jumper.,43,48
13:20,2449,Paul Miller Defensive Rebound.,43,48
13:06,2449,Rocky Kreuser Turnover.,43,48
12:51,30,Derryck Thornton missed Layup.,43,48
12:51,2449,Rocky Kreuser Block.,43,48
12:51,2449,Chris Quayle Defensive Rebound.,43,48
12:48,2449,Cameron Hunter made Layup.,45,48
12:48,30,Foul on Jordan McLaughlin.,45,48
12:48,2449,Cameron Hunter made Free Throw.,46,48
12:26,30,Jordan McLaughlin missed Jumper.,46,48
12:26,30,USC Offensive Rebound.,46,48
12:26,30,Foul on Jordan Usher.,46,48
12:08,2449,Chris Quayle missed Jumper.,46,48
12:08,2449,Rocky Kreuser Offensive Rebound.,46,48
12:02,2449,Cameron Hunter made Three Point Jumper. Assisted by Rocky Kreuser.,49,48
11:52,2449,Foul on Jared Samuelson.,49,48
11:52,30,Official TV Timeout,49,48
11:51,30,Official TV Timeout,49,48
11:51,30,Official TV Timeout,49,48
11:51,30,Official TV Timeout,49,48
11:51,30,Official TV Timeout,49,48
11:51,30,Jonah Mathews missed Free Throw.,49,48
11:51,30,USC Deadball Team Rebound.,49,48
11:51,30,Official TV Timeout,49,48
11:51,30,Jonah Mathews missed Free Throw.,49,49
11:51,30,Jonah Mathews made Free Throw.,49,49
11:51,30,Official TV Timeout,49,49
11:51,2449,Tyson Ward Defensive Rebound.,49,49
11:34,2449,Cameron Hunter made Three Point Jumper. Assisted by Tyson Ward.,52,49
11:13,2449,Foul on A.J. Jacobson.,52,49
11:10,30,Chimezie Metu made Dunk. Assisted by Derryck Thornton.,52,51
10:36,2449,Jared Samuelson Turnover.,52,51
10:29,30,Bennie Boatwright missed Three Point Jumper.,52,51
10:29,2449,Tyson Ward Defensive Rebound.,52,51
10:10,2449,Tyson Ward missed Layup.,52,51
10:10,30,Bennie Boatwright Block.,52,51
10:10,2449,Deng Geu Offensive Rebound.,52,51
10:10,2449,Deng Geu made Dunk.,54,51
10:00,30,Chimezie Metu missed Three Point Jumper.,54,51
10:00,30,Jonah Mathews Offensive Rebound.,54,51
9:55,30,Elijah Stewart missed Layup.,54,51
9:27,2449,Deng Geu Defensive Rebound.,54,51
9:27,2449,Deng Geu made Dunk.,56,51
9:26,30,USC  Timeout,56,51
9:10,30,Bennie Boatwright missed Jumper.,56,51
9:10,2449,Deng Geu Block.,56,51
9:10,2449,Rocky Kreuser Defensive Rebound.,56,51
8:55,2449,Tyson Ward Turnover.,56,51
8:55,30,Chimezie Metu Steal.,56,51
8:49,30,Jonah Mathews made Three Point Jumper. Assisted by Jordan McLaughlin.,56,54
8:34,2449,Jared Samuelson missed Three Point Jumper.,56,54
8:34,30,Chimezie Metu Defensive Rebound.,56,54
8:24,30,Jonah Mathews made Jumper. Assisted by Jordan McLaughlin.,56,56
7:48,2449,Cameron Hunter missed Layup.,56,56
7:48,30,Chimezie Metu Defensive Rebound.,56,56
7:48,30,Official TV Timeout,56,56
7:31,30,Bennie Boatwright made Layup. Assisted by Jordan McLaughlin.,56,58
7:00,2449,A.J. Jacobson missed Three Point Jumper.,56,58
7:00,30,Jordan McLaughlin Defensive Rebound.,56,58
6:52,30,Jordan McLaughlin missed Jumper.,56,58
6:52,2449,A.J. Jacobson Defensive Rebound.,56,58
6:40,2449,North Dakota State  Timeout,56,58
6:37,2449,Rocky Kreuser made Dunk. Assisted by Tyson Ward.,58,58
6:18,2449,Foul on A.J. Jacobson.,58,58
6:18,30,Bennie Boatwright made Free Throw.,58,59
6:18,30,Bennie Boatwright made Free Throw.,58,60
5:50,2449,Spencer Eliason missed Dunk.,58,60
5:50,30,Bennie Boatwright Block.,58,60
5:50,30,Chimezie Metu Defensive Rebound.,58,60
5:48,30,Chimezie Metu Turnover.,58,60
5:48,2449,Paul Miller Steal.,58,60
5:35,2449,Tyson Ward missed Jumper.,58,60
5:35,30,Shaqquan Aaron Defensive Rebound.,58,60
5:25,30,Chimezie Metu missed Layup.,58,60
5:25,30,Shaqquan Aaron Offensive Rebound.,58,60
5:20,30,Jonah Mathews missed Three Point Jumper.,58,60
5:17,30,USC Offensive Rebound.,58,60
5:14,30,Bennie Boatwright made Free Throw.,58,62
5:14,2449,Foul on Deng Geu.,58,60
5:14,30,Bennie Boatwright made Free Throw.,58,61
4:57,30,Foul on Bennie Boatwright.,58,62
4:57,2449,Paul Miller made Free Throw.,59,62
4:57,2449,Paul Miller made Free Throw.,60,62
4:42,2449,Foul on Spencer Eliason.,60,62
4:42,30,Chimezie Metu missed Free Throw.,60,62
4:42,30,USC Deadball Team Rebound.,60,62
4:42,30,Chimezie Metu missed Free Throw.,60,62
4:42,2449,Paul Miller Defensive Rebound.,60,62
4:27,30,Foul on Jordan McLaughlin.,60,62
4:15,2449,Paul Miller missed Three Point Jumper.,60,62
4:15,30,Elijah Stewart Defensive Rebound.,60,62
4:08,30,Elijah Stewart missed Three Point Jumper.,60,62
4:08,2449,Spencer Eliason Defensive Rebound.,60,62
3:55,2449,Paul Miller Turnover.,60,62
3:55,30,Official TV Timeout,60,62
3:45,30,Chimezie Metu missed Layup.,60,62
3:45,30,Jordan McLaughlin Offensive Rebound.,60,62
3:45,30,Jordan McLaughlin made Two Point Tip Shot.,60,64
3:28,2449,Jared Samuelson missed Three Point Jumper.,60,64
3:28,30,Jordan McLaughlin Defensive Rebound.,60,64
3:12,30,Jordan McLaughlin made Jumper.,60,66
2:47,2449,Tyson Ward Turnover.,60,66
2:35,30,Chimezie Metu made Layup.,60,68
2:09,2449,Paul Miller missed Three Point Jumper.,60,68
2:09,30,Jordan McLaughlin Defensive Rebound.,60,68
2:06,30,Bennie Boatwright made Dunk. Assisted by Shaqquan Aaron.,60,70
2:06,2449,North Dakota State  Timeout,60,70
1:57,2449,Cameron Hunter made Layup. Assisted by Tyson Ward.,62,70
1:57,30,Foul on Chimezie Metu.,62,70
1:57,2449,Cameron Hunter missed Free Throw.,62,70
1:57,30,Chimezie Metu Defensive Rebound.,62,70
1:44,30,Bennie Boatwright Turnover.,62,70
1:44,2449,Rocky Kreuser Steal.,62,70
1:29,2449,Cameron Hunter made Three Point Jumper.,65,70
1:14,2449,Foul on Cameron Hunter.,65,70
1:14,30,Jordan McLaughlin missed Free Throw.,65,70
1:14,30,USC Deadball Team Rebound.,65,70
1:14,30,Jordan McLaughlin made Free Throw.,65,71
0:59,2449,Jared Samuelson missed Three Point Jumper.,65,71
0:59,30,Bennie Boatwright Defensive Rebound.,65,71
0:45,2449,Foul on Paul Miller.,65,71
0:45,30,Jordan McLaughlin made Free Throw.,65,72
0:45,30,Jordan McLaughlin made Free Throw.,65,73
0:35,2449,Cameron Hunter missed Layup.,65,73
0:35,30,Jordan McLaughlin Block.,65,73
0:35,30,Jordan McLaughlin Defensive Rebound.,65,73
0:25,30,Shaqquan Aaron made Dunk. Assisted by Jonah Mathews.,65,75
0:19,2449,Rocky Kreuser missed Three Point Jumper.,65,75
0:16,30,Chimezie Metu Block.,65,75
0:16,30,Jonah Mathews Defensive Rebound.,65,75
0:06,30,Jonah Mathews Turnover.,65,75
0:04,2449,Rocky Kreuser missed Layup.,65,75
0:04,30,Shaqquan Aaron Defensive Rebound.,65,75
0:00,30,End of Game,65,75
