Southeast Missouri State,2348,Louisiana Tech,2546
9:01,2546,Milos Vranes missed Three Point Jumper.,22,21
9:01,2348,Jalen Harris Defensive Rebound.,22,21
8:53,2348,Jalen Harris made Layup.,22,23
8:40,2546,Denzel Mahoney missed Three Point Jumper.,22,23
8:40,2546,Mark Laros Offensive Rebound.,22,23
8:34,2546,Daniel Simmons missed Jumper.,22,23
8:34,2348,Joniah White Defensive Rebound.,22,23
8:24,2348,Joniah White made Dunk. Assisted by Derric Jean.,22,25
8:19,2348,Official TV Timeout,22,25
8:19,2546,Southeast Missouri State  Timeout,22,25
8:07,2546,Ray Kowalski missed Three Point Jumper.,22,25
8:07,2348,DaQuan Bracey Defensive Rebound.,22,25
7:51,2348,Joniah White Turnover.,22,25
7:49,2546,Mark Laros Steal.,22,25
7:25,2546,Denzel Mahoney missed Jumper.,22,25
7:25,2546,Justin Carpenter Offensive Rebound.,22,25
7:21,2546,Justin Carpenter made Layup.,24,25
7:03,2348,Jacobi Boykins made Dunk. Assisted by Joniah White.,24,27
6:50,2546,Justin Carpenter missed Three Point Jumper.,24,27
6:50,2348,Jalen Harris Defensive Rebound.,24,27
6:42,2348,Jalen Harris missed Layup.,24,27
6:42,2546,Justin Carpenter Defensive Rebound.,24,27
6:35,2546,Ledarrius Brewer made Jumper. Assisted by Jonathan Dalton.,26,27
6:23,2348,Louisiana Tech  Timeout,26,27
5:58,2348,Jalen Harris missed Three Point Jumper.,26,27
5:58,2546,Ledarrius Brewer Defensive Rebound.,26,27
5:27,2546,Jonathan Dalton Turnover.,26,27
5:20,2348,DaQuan Bracey made Layup.,26,29
5:04,2546,Jonathan Dalton made Layup.,28,29
4:52,2348,DaQuan Bracey made Layup.,28,31
4:22,2546,Justin Carpenter made Layup. Assisted by Milos Vranes.,30,31
4:00,2546,Foul on Justin Carpenter.,30,31
4:00,2348,Official TV Timeout,30,31
4:00,2348,Oliver Powell made Free Throw.,30,32
4:00,2348,Oliver Powell made Free Throw.,30,33
3:46,2546,Daniel Simmons missed Layup.,30,33
3:46,2348,Jalen Harris Defensive Rebound.,30,33
3:22,2546,Foul on Donnie Lewis.,30,33
3:22,2348,Jalen Harris made Free Throw.,30,34
3:22,2348,Jalen Harris made Free Throw.,30,35
3:08,2546,Daniel Simmons missed Three Point Jumper.,30,35
3:08,2546,Daniel Simmons Offensive Rebound.,30,35
2:50,2546,Ledarrius Brewer missed Three Point Jumper.,30,35
2:50,2348,DaQuan Bracey Defensive Rebound.,30,35
2:46,2546,Foul on Donnie Lewis.,30,35
2:33,2348,Oliver Powell missed Layup.,30,35
2:33,2546,Justin Carpenter Block.,30,35
2:28,2546,Justin Carpenter Defensive Rebound.,30,35
2:20,2546,Justin Carpenter made Layup. Assisted by Denzel Mahoney.,32,35
1:59,2348,DaQuan Bracey made Layup.,32,37
1:44,2546,Denzel Mahoney made Layup.,34,37
1:20,2348,DaQuan Bracey made Layup.,34,39
1:09,2348,Foul on Oliver Powell.,34,39
1:09,2546,Ledarrius Brewer made Free Throw.,35,39
1:09,2546,Ledarrius Brewer made Free Throw.,36,39
0:50,2348,Exavian Christon missed Layup.,36,39
0:50,2546,Mark Laros Block.,36,39
0:47,2348,Exavian Christon Offensive Rebound.,36,39
0:44,2348,Foul on DaQuan Bracey.,36,39
0:44,2348,DaQuan Bracey Turnover.,36,39
0:17,2546,Ray Kowalski made Three Point Jumper. Assisted by Jonathan Dalton.,39,39
0:01,2348,DaQuan Bracey missed Jumper.,39,39
0:01,2546,Southeast Missouri State Defensive Rebound.,39,39
0:00,2348,End of 1st half,39,39
19:45,2546,Ray Kowalski missed Three Point Jumper.,39,39
19:45,2348,Jacobi Boykins Defensive Rebound.,39,39
19:24,2348,Jalen Harris made Layup. Assisted by Jy'lan Washington.,39,41
19:05,2546,Denzel Mahoney missed Three Point Jumper.,39,41
19:05,2348,Joniah White Defensive Rebound.,39,41
18:45,2348,Jy'lan Washington made Jumper.,39,43
18:26,2546,Daniel Simmons missed Jumper.,39,43
18:26,2348,Jalen Harris Defensive Rebound.,39,43
18:15,2546,Foul on Daniel Simmons.,39,43
18:01,2348,Jacobi Boykins missed Three Point Jumper.,39,43
18:01,2546,Ledarrius Brewer Defensive Rebound.,39,43
17:52,2546,Mark Laros Turnover.,39,43
17:30,2348,DaQuan Bracey Turnover.,39,43
17:28,2546,Denzel Mahoney Steal.,39,43
17:26,2546,Denzel Mahoney made Layup.,41,43
17:08,2348,DaQuan Bracey Turnover.,41,43
17:08,2546,Ledarrius Brewer Steal.,41,43
17:08,2348,Foul on DaQuan Bracey.,41,43
16:51,2546,Ledarrius Brewer made Three Point Jumper. Assisted by Daniel Simmons.,44,43
16:29,2348,Jacobi Boykins made Layup. Assisted by Jalen Harris.,44,45
16:02,2546,Daniel Simmons made Jumper. Assisted by Jonathan Dalton.,46,45
15:41,2348,Jalen Harris made Three Point Jumper. Assisted by DaQuan Bracey.,46,48
15:25,2546,Daniel Simmons missed Layup.,46,48
15:25,2348,Jy'lan Washington Defensive Rebound.,46,48
15:15,2546,Foul on Ledarrius Brewer.,46,48
15:15,2348,Official TV Timeout,46,48
15:15,2348,Jacobi Boykins made Free Throw.,46,49
15:15,2348,Jacobi Boykins made Free Throw.,46,50
15:06,2546,Ledarrius Brewer missed Layup.,46,50
15:06,2348,Oliver Powell Block.,46,50
15:02,2348,Jacobi Boykins Offensive Rebound.,46,50
14:43,2348,Jacobi Boykins missed Three Point Jumper.,46,50
14:43,2546,Denzel Mahoney Defensive Rebound.,46,50
14:32,2546,Denzel Mahoney missed Layup.,46,50
14:32,2348,Jacobi Boykins Defensive Rebound.,46,50
14:25,2348,Derric Jean missed Three Point Jumper.,46,50
14:25,2546,Daniel Simmons Defensive Rebound.,46,50
14:05,2546,Daniel Simmons missed Three Point Jumper.,46,50
14:05,2348,Oliver Powell Defensive Rebound.,46,50
14:02,2546,Foul on Justin Carpenter.,46,50
13:57,2348,Jy'lan Washington missed Three Point Jumper.,46,50
13:57,2546,Southeast Missouri State Defensive Rebound.,46,50
13:57,2348,Foul on Jacobi Boykins.,46,50
13:57,2546,Ray Kowalski made Layup.,48,50
13:57,2348,Foul on JaColby Pemberton.,48,50
13:57,2546,Ray Kowalski made Free Throw.,49,50
13:57,2546,Ray Kowalski missed Jumper.,49,50
13:57,2348,DaQuan Bracey Defensive Rebound.,49,50
13:57,2348,DaQuan Bracey missed Layup.,49,50
13:57,2546,Ledarrius Brewer Block.,49,50
13:57,2546,Ledarrius Brewer Offensive Rebound.,49,50
13:55,2546,Ray Kowalski missed Jumper.,49,50
13:55,2546,Ray Kowalski Offensive Rebound.,49,50
13:50,2546,Ray Kowalski missed Jumper.,49,50
13:50,2348,JaColby Pemberton Block.,49,50
13:47,2348,JaColby Pemberton Defensive Rebound.,49,50
13:25,2546,Technical Foul on Southeast Missouri State.,49,50
13:25,2348,Derric Jean made Free Throw.,49,51
13:25,2348,Derric Jean missed Free Throw.,49,51
13:25,2348,Louisiana Tech Deadball Team Rebound.,49,51
13:25,2546,Foul on Ledarrius Brewer.,49,50
13:22,2546,Foul on Milos Vranes.,49,51
13:12,2348,Derric Jean made Free Throw.,49,52
13:09,2348,Derric Jean missed Free Throw.,49,52
13:09,2546,Milos Vranes Defensive Rebound.,49,52
12:00,2348,Official TV Timeout,49,52
11:41,2546,Milos Vranes made Three Point Jumper. Assisted by Donnie Lewis.,52,52
11:21,2348,Jalen Harris missed Layup.,52,52
11:21,2348,Jalen Harris Offensive Rebound.,52,52
11:18,2348,Jalen Harris made Layup.,52,54
10:53,2546,Justin Carpenter made Layup.,54,54
10:39,2348,Jalen Harris missed Three Point Jumper.,54,54
10:39,2546,Milos Vranes Defensive Rebound.,54,54
10:28,2546,Ledarrius Brewer missed Three Point Jumper.,54,54
10:28,2348,Oliver Powell Defensive Rebound.,54,54
10:13,2348,Oliver Powell made Layup. Assisted by Jalen Harris.,54,56
9:52,2546,Ray Kowalski made Three Point Jumper. Assisted by Milos Vranes.,57,56
9:41,2348,Louisiana Tech  Timeout,57,56
9:34,2348,Jy'lan Washington made Three Point Jumper. Assisted by Joniah White.,57,59
9:18,2546,Mark Laros made Layup. Assisted by Ledarrius Brewer.,59,59
9:18,2348,Foul on Jacobi Boykins.,59,59
9:18,2546,Mark Laros made Free Throw.,60,59
8:57,2348,Jalen Harris missed Three Point Jumper.,60,59
8:57,2546,Denzel Mahoney Defensive Rebound.,60,59
8:49,2546,Daniel Simmons missed Layup.,60,59
8:49,2546,Mark Laros Offensive Rebound.,60,59
8:46,2546,Mark Laros missed Layup.,60,59
8:46,2348,Joniah White Block.,60,59
8:41,2546,Mark Laros Offensive Rebound.,60,59
8:33,2546,Ledarrius Brewer missed Three Point Jumper.,60,59
8:33,2348,Jy'lan Washington Defensive Rebound.,60,59
8:16,2348,Derric Jean made Three Point Jumper.,60,62
8:04,2546,Jonathan Dalton missed Layup.,60,62
8:04,2546,Mark Laros Offensive Rebound.,60,62
8:00,2546,Mark Laros made Layup.,62,62
7:55,2546,Foul on Mark Laros.,62,62
7:55,2348,Official TV Timeout,62,62
7:55,2348,Jalen Harris made Free Throw.,62,63
7:55,2348,Jalen Harris missed Free Throw.,62,63
7:55,2546,Denzel Mahoney Defensive Rebound.,62,63
7:50,2546,Ledarrius Brewer missed Layup.,62,63
7:50,2348,Joniah White Defensive Rebound.,62,63
7:38,2348,Jalen Harris Turnover.,62,63
7:24,2546,Daniel Simmons Turnover.,62,63
7:16,2348,Jy'lan Washington made Layup. Assisted by Jalen Harris.,62,65
6:39,2546,Denzel Mahoney missed Layup.,62,65
6:39,2348,Joniah White Block.,62,65
6:34,2546,Justin Carpenter Offensive Rebound.,62,65
6:20,2546,Justin Carpenter missed Layup.,62,65
6:20,2348,Joniah White Block.,62,65
6:20,2348,DaQuan Bracey Defensive Rebound.,62,65
6:20,2348,DaQuan Bracey missed Layup.,62,65
6:20,2546,Daniel Simmons Block.,62,65
6:20,2348,Louisiana Tech Offensive Rebound.,62,65
5:58,2348,Jy'lan Washington missed Layup.,62,65
5:58,2348,Joniah White Offensive Rebound.,62,65
5:56,2348,Joniah White missed Layup.,62,65
5:56,2546,Ray Kowalski Defensive Rebound.,62,65
5:56,2546,Denzel Mahoney made Layup.,64,65
5:46,2348,Foul on Jy'lan Washington.,64,65
5:46,2546,Denzel Mahoney made Free Throw.,65,65
5:45,2348,Derric Jean made Three Point Jumper. Assisted by Jalen Harris.,65,68
5:09,2348,Foul on Oliver Powell.,65,68
5:09,2546,Justin Carpenter made Free Throw.,66,68
5:09,2546,Justin Carpenter missed Free Throw.,66,68
5:09,2348,Oliver Powell Defensive Rebound.,66,68
4:55,2546,Foul on Denzel Mahoney.,66,68
4:55,2348,Oliver Powell made Free Throw.,66,69
4:55,2348,Oliver Powell made Free Throw.,66,70
4:37,2546,Daniel Simmons made Layup.,68,70
4:08,2348,Oliver Powell made Layup. Assisted by Jy'lan Washington.,68,72
3:51,2546,Denzel Mahoney made Jumper.,70,72
3:51,2348,Foul on Jalen Harris.,70,72
3:51,2348,Official TV Timeout,70,72
3:51,2546,Denzel Mahoney made Free Throw.,71,72
3:23,2348,Jacobi Boykins missed Three Point Jumper.,71,72
3:23,2546,Ledarrius Brewer Defensive Rebound.,71,72
3:05,2546,Ledarrius Brewer Turnover.,71,72
3:03,2546,Jonathan Dalton Defensive Rebound.,71,72
3:01,2546,Foul on Justin Carpenter.,71,72
3:01,2348,Jalen Harris made Free Throw.,71,73
3:01,2348,Jalen Harris made Free Throw.,71,74
2:37,2546,Denzel Mahoney made Jumper. Assisted by Jonathan Dalton.,73,74
2:18,2348,Jacobi Boykins made Three Point Jumper. Assisted by Derric Jean.,73,77
2:07,2546,Daniel Simmons made Jumper.,75,77
1:39,2348,DaQuan Bracey missed Three Point Jumper.,75,77
1:39,2348,Jacobi Boykins Offensive Rebound.,75,77
1:18,2348,Jalen Harris Turnover.,75,77
1:15,2546,Daniel Simmons Steal.,75,77
1:13,2546,Daniel Simmons missed Layup.,75,77
1:13,2348,Jalen Harris Block.,75,77
0:47,2546,Daniel Simmons missed Layup.,75,77
0:47,2546,Ledarrius Brewer Offensive Rebound.,75,77
0:47,2546,Ledarrius Brewer made Layup.,77,77
0:47,2348,Louisiana Tech  Timeout,77,77
0:46,2546,Foul on Jonathan Dalton.,77,77
0:46,2348,DaQuan Bracey made Free Throw.,77,78
0:46,2348,DaQuan Bracey made Free Throw.,77,79
0:30,2348,Foul on Derric Jean.,77,79
0:30,2546,Justin Carpenter made Free Throw.,78,79
0:30,2546,Justin Carpenter made Free Throw.,79,79
0:01,2348,Jacobi Boykins missed Three Point Jumper.,79,79
0:01,2546,Southeast Missouri State Defensive Rebound.,79,79
0:00,2348,End of 2nd half,79,79
4:38,2348,DaQuan Bracey made Jumper. Assisted by Derric Jean.,79,81
4:06,2546,Denzel Mahoney missed Three Point Jumper.,79,81
4:06,2348,Derric Jean Block.,79,81
4:03,2348,DaQuan Bracey Defensive Rebound.,79,81
4:03,2546,Foul on Denzel Mahoney.,79,81
4:03,2348,DaQuan Bracey missed Free Throw.,79,81
4:03,2348,Louisiana Tech Deadball Team Rebound.,79,81
4:03,2348,DaQuan Bracey made Free Throw.,79,82
3:47,2546,Denzel Mahoney missed Three Point Jumper.,79,82
3:47,2348,Jacobi Boykins Defensive Rebound.,79,82
3:38,2348,DaQuan Bracey made Layup.,79,84
3:28,2546,Jonathan Dalton Turnover.,79,84
3:26,2348,Jacobi Boykins Steal.,79,84
3:24,2348,Derric Jean made Layup. Assisted by DaQuan Bracey.,79,86
3:22,2546,Southeast Missouri State  Timeout,79,86
3:22,2348,Official TV Timeout,79,86
2:55,2546,Ledarrius Brewer made Three Point Jumper. Assisted by Jonathan Dalton.,82,86
2:33,2348,DaQuan Bracey made Layup.,82,88
2:17,2348,Foul on Derric Jean.,82,88
2:17,2546,Denzel Mahoney missed Free Throw.,82,88
2:17,2348,Jalen Harris Defensive Rebound.,82,88
1:56,2348,Joniah White Turnover.,82,88
1:43,2546,Justin Carpenter made Layup. Assisted by Denzel Mahoney.,84,88
1:18,2348,Jalen Harris made Dunk. Assisted by DaQuan Bracey.,84,90
1:03,2546,Ledarrius Brewer made Three Point Jumper. Assisted by Ray Kowalski.,87,90
1:01,2546,Southeast Missouri State  Timeout,87,90
0:44,2546,Foul on Ledarrius Brewer.,87,90
0:44,2348,Jalen Harris made Free Throw.,87,91
0:44,2348,Jalen Harris made Free Throw.,87,92
0:32,2546,Denzel Mahoney made Layup.,89,92
0:28,2546,Southeast Missouri State  Timeout,89,92
0:27,2546,Foul on Daniel Simmons.,89,92
0:27,2348,Jalen Harris missed Free Throw.,89,92
0:27,2348,Louisiana Tech Deadball Team Rebound.,89,92
0:27,2348,Jalen Harris made Free Throw.,89,93
0:19,2546,Denzel Mahoney made Layup. Assisted by Jonathan Dalton.,91,93
0:19,2546,Southeast Missouri State  Timeout,91,93
0:19,2546,Foul on Donnie Lewis.,91,93
0:19,2348,Jalen Harris missed Free Throw.,91,93
0:19,2348,Louisiana Tech Deadball Team Rebound.,91,93
0:19,2348,Jalen Harris made Free Throw.,91,94
0:11,2546,Daniel Simmons missed Three Point Jumper.,91,94
0:11,2546,Denzel Mahoney Offensive Rebound.,91,94
0:09,2348,Foul on Jalen Harris.,91,94
0:09,2546,Denzel Mahoney made Free Throw.,92,94
0:09,2546,Denzel Mahoney missed Free Throw.,92,94
0:09,2348,Jalen Harris Defensive Rebound.,92,94
0:08,2546,Foul on Daniel Simmons.,92,94
0:08,2348,Jalen Harris made Free Throw.,92,95
0:08,2348,Jalen Harris made Free Throw.,92,96
0:00,2546,Ray Kowalski made Three Point Jumper. Assisted by Jonathan Dalton.,95,96
0:00,2348,End of Game,95,96
