Austin Peay,258,Virginia,2046
7:48,258,Devon Hall made Free Throw.,7,29
7:24,2046,Zach Glotta missed Jumper.,7,29
7:24,258,Isaiah Wilkins Defensive Rebound.,7,29
7:06,2046,Foul on Terry Taylor.,7,29
7:06,258,Mamadi Diakite made Free Throw.,7,30
7:06,258,Mamadi Diakite missed Free Throw.,7,30
7:06,2046,Dayton Gumm Defensive Rebound.,7,30
6:51,258,Foul on Mamadi Diakite.,7,30
6:51,2046,Averyl Ugba made Free Throw.,8,30
6:51,2046,Averyl Ugba missed Free Throw.,8,30
6:51,258,Jay Huff Defensive Rebound.,8,30
6:23,258,Jay Huff made Layup.,8,32
6:03,2046,Zach Glotta made Three Point Jumper. Assisted by Averyl Ugba.,11,32
5:35,258,Isaiah Wilkins missed Layup.,11,32
5:35,258,Jay Huff Offensive Rebound.,11,32
5:32,258,Jay Huff made Two Point Tip Shot.,11,34
5:17,2046,Dayton Gumm made Layup.,13,34
5:04,258,Marco Anthony made Jumper.,13,36
4:45,2046,Steve Harris missed Jumper.,13,36
4:45,258,Isaiah Wilkins Defensive Rebound.,13,36
4:27,258,Jay Huff made Jumper. Assisted by Marco Anthony.,13,38
4:05,258,Foul on De'Andre Hunter.,13,38
4:05,258,Official TV Timeout,13,38
4:05,2046,Averyl Ugba missed Free Throw.,13,38
4:05,258,Jay Huff Defensive Rebound.,13,38
3:56,258,Nigel Johnson made Three Point Jumper. Assisted by Marco Anthony.,13,41
3:35,2046,Dayton Gumm missed Three Point Jumper.,13,41
3:35,258,Devon Hall Defensive Rebound.,13,41
3:20,258,De'Andre Hunter made Dunk.,13,43
3:00,2046,Ferran Bernacer missed Three Point Jumper.,13,43
3:00,258,Devon Hall Defensive Rebound.,13,43
2:41,258,Jay Huff made Jumper.,13,45
2:14,2046,Averyl Ugba made Three Point Jumper. Assisted by Ivan Cucak.,16,45
1:51,258,De'Andre Hunter made Jumper.,16,47
1:34,2046,Averyl Ugba missed Jumper.,16,47
1:34,258,De'Andre Hunter Defensive Rebound.,16,47
1:15,2046,Foul on Dayton Gumm.,16,47
1:15,258,Devon Hall made Free Throw.,16,48
1:15,258,Devon Hall made Free Throw.,16,49
0:55,2046,Dayton Gumm made Jumper.,18,49
0:41,258,Nigel Johnson Turnover.,18,49
0:40,2046,Dayton Gumm Steal.,18,49
0:37,2046,Dayton Gumm made Layup.,20,49
0:16,2046,Foul on Terry Taylor.,20,49
0:16,258,De'Andre Hunter made Free Throw.,20,50
0:16,258,De'Andre Hunter made Free Throw.,20,51
0:03,2046,Dayton Gumm missed Layup.,20,51
0:03,258,Jay Huff Block.,20,51
0:03,2046,Richard Henderson Offensive Rebound.,20,51
0:01,2046,Richard Henderson made Layup.,22,51
0:00,258,End of 1st half,22,51
19:50,258,Devon Hall made Layup. Assisted by Isaiah Wilkins.,22,53
19:29,2046,Tre' Ivory Turnover.,22,53
19:06,258,Ty Jerome made Three Point Jumper. Assisted by Kyle Guy.,22,56
18:43,258,Foul on Devon Hall.,22,56
18:28,2046,Tre' Ivory made Jumper.,24,56
18:12,258,Isaiah Wilkins Turnover.,24,56
18:12,258,Foul on Isaiah Wilkins.,24,56
17:52,2046,Tre' Ivory missed Three Point Jumper.,24,56
17:52,258,Devon Hall Defensive Rebound.,24,56
17:36,258,Devon Hall made Three Point Jumper. Assisted by Kyle Guy.,24,59
17:25,2046,Dayton Gumm made Layup.,26,59
17:25,258,Foul on Kyle Guy.,26,59
17:25,2046,Dayton Gumm missed Free Throw.,26,59
17:25,258,Isaiah Wilkins Defensive Rebound.,26,59
17:16,2046,Foul on Chris Porter-Bunton.,26,59
17:16,258,Devon Hall made Free Throw.,26,60
17:16,258,Devon Hall made Free Throw.,26,61
17:01,2046,Dayton Gumm Turnover.,26,61
17:00,258,Devon Hall Steal.,26,61
16:59,258,Devon Hall made Layup.,26,63
16:36,2046,Tre' Ivory made Jumper.,28,63
16:07,258,Jack Salt Turnover.,28,63
16:07,258,Foul on Jack Salt.,28,63
15:56,2046,Steve Harris missed Jumper.,28,63
15:56,258,Virginia Defensive Rebound.,28,63
15:53,258,Official TV Timeout,28,63
15:46,258,Ty Jerome missed Layup.,28,63
15:46,2046,Zach Glotta Defensive Rebound.,28,63
15:21,258,Foul on Isaiah Wilkins.,28,63
15:21,2046,Terry Taylor missed Free Throw.,28,63
15:21,2046,Austin Peay Deadball Team Rebound.,28,63
15:21,2046,Terry Taylor made Free Throw.,29,63
15:16,258,Kyle Guy missed Jumper.,29,63
15:16,258,Isaiah Wilkins Offensive Rebound.,29,63
15:11,258,Kyle Guy made Jumper. Assisted by Isaiah Wilkins.,29,65
14:41,2046,Dayton Gumm missed Three Point Jumper.,29,65
14:41,258,Devon Hall Defensive Rebound.,29,65
14:26,258,Kyle Guy made Layup.,29,67
14:18,2046,Dayton Gumm missed Jumper.,29,67
14:18,258,Isaiah Wilkins Defensive Rebound.,29,67
14:07,258,Kyle Guy missed Layup.,29,67
14:07,2046,Steve Harris Defensive Rebound.,29,67
13:44,2046,Zach Glotta missed Three Point Jumper.,29,67
13:44,258,Jack Salt Defensive Rebound.,29,67
13:34,2046,Foul on Terry Taylor.,29,67
13:31,258,Jack Salt made Dunk. Assisted by Devon Hall.,29,69
13:12,2046,Ivan Cucak Turnover.,29,69
13:12,2046,Foul on Ivan Cucak.,29,69
13:03,2046,Foul on Ferran Bernacer.,29,69
13:00,258,Jack Salt Turnover.,29,69
13:00,258,Foul on Jack Salt.,29,69
12:48,2046,Averyl Ugba made Layup.,31,69
12:30,258,Devon Hall made Layup.,31,71
12:14,2046,Averyl Ugba missed Layup.,31,71
12:14,258,Jay Huff Block.,31,71
12:13,2046,Averyl Ugba Offensive Rebound.,31,71
12:11,258,Foul on Jay Huff.,31,71
12:11,2046,Averyl Ugba made Free Throw.,32,71
12:11,2046,Averyl Ugba made Free Throw.,33,71
11:58,258,Official TV Timeout,33,71
11:42,258,Jay Huff missed Jumper.,33,71
11:42,258,Mamadi Diakite Offensive Rebound.,33,71
11:17,258,Mamadi Diakite Turnover.,33,71
11:16,2046,Ferran Bernacer Steal.,33,71
11:00,2046,Averyl Ugba made Layup. Assisted by Acoydan McCarthy.,35,71
10:47,258,De'Andre Hunter made Three Point Jumper. Assisted by Jay Huff.,35,74
10:20,2046,Acoydan McCarthy missed Jumper.,35,74
10:20,258,Marco Anthony Defensive Rebound.,35,74
9:58,258,Mamadi Diakite missed Jumper.,35,74
9:58,2046,Averyl Ugba Defensive Rebound.,35,74
9:31,2046,Ferran Bernacer Turnover.,35,74
9:15,258,Nigel Johnson missed Three Point Jumper.,35,74
9:15,2046,Tre' Ivory Defensive Rebound.,35,74
9:03,2046,Austin Peay  Timeout,35,74
8:53,2046,Averyl Ugba missed Layup.,35,74
8:53,258,Jay Huff Block.,35,74
8:53,2046,Austin Peay Offensive Rebound.,35,74
8:45,2046,Dayton Gumm missed Three Point Jumper.,35,74
8:45,2046,Chris Porter-Bunton Offensive Rebound.,35,74
8:38,2046,Chris Porter-Bunton missed Jumper.,35,74
8:38,258,Virginia Defensive Rebound.,35,74
8:27,2046,Foul on Chris Porter-Bunton.,35,74
8:18,2046,Foul on Terry Taylor.,35,74
8:18,258,De'Andre Hunter made Free Throw.,35,75
8:18,258,De'Andre Hunter made Free Throw.,35,76
8:03,258,Foul on Nigel Johnson.,35,76
8:03,2046,Tre' Ivory missed Free Throw.,35,76
8:03,2046,Austin Peay Deadball Team Rebound.,35,76
8:03,2046,Tre' Ivory made Free Throw.,36,76
7:56,258,Mamadi Diakite made Dunk. Assisted by Marco Anthony.,36,78
7:33,2046,Averyl Ugba missed Layup.,36,78
7:33,258,Jay Huff Block.,36,78
7:31,2046,Steve Harris Offensive Rebound.,36,78
7:28,2046,Richard Henderson made Layup. Assisted by Tre' Ivory.,38,78
7:07,258,Mamadi Diakite made Dunk. Assisted by Nigel Johnson.,38,80
6:36,2046,Tre' Ivory made Three Point Jumper. Assisted by Averyl Ugba.,41,80
6:08,258,Nigel Johnson made Jumper. Assisted by Marco Anthony.,41,82
5:51,2046,Dayton Gumm made Jumper.,43,82
5:33,2046,Foul on Steve Harris.,43,82
5:33,258,Official TV Timeout,43,82
5:33,258,Nigel Johnson made Free Throw.,43,83
5:33,258,Nigel Johnson made Free Throw.,43,84
5:23,2046,Dayton Gumm made Layup.,45,84
5:23,258,Foul on Marco Anthony.,45,84
5:23,2046,Dayton Gumm made Free Throw.,46,84
5:09,2046,Foul on Ivan Cucak.,46,84
5:09,258,De'Andre Hunter made Free Throw.,46,85
5:09,258,De'Andre Hunter made Free Throw.,46,86
4:51,2046,Richard Henderson Turnover.,46,86
4:38,258,Marco Anthony missed Three Point Jumper.,46,86
4:38,2046,Chris Porter-Bunton Defensive Rebound.,46,86
4:19,2046,Richard Henderson Turnover.,46,86
4:19,2046,Foul on Richard Henderson.,46,86
3:57,258,Nigel Johnson missed Three Point Jumper.,46,86
3:57,2046,Dayton Gumm Defensive Rebound.,46,86
3:48,2046,Dayton Gumm Turnover.,46,86
3:47,258,Nigel Johnson Steal.,46,86
3:45,2046,Foul on Dayton Gumm.,46,86
3:45,258,Official TV Timeout,46,86
3:45,258,Nigel Johnson missed Free Throw.,46,86
3:45,258,Virginia Deadball Team Rebound.,46,86
3:45,258,Nigel Johnson made Free Throw.,46,87
3:34,2046,Richard Henderson missed Layup.,46,87
3:34,258,Jay Huff Block.,46,87
3:33,258,Austin Katstra Defensive Rebound.,46,87
3:28,258,Austin Katstra missed Three Point Jumper.,46,87
3:28,258,Virginia Offensive Rebound.,46,87
3:04,258,Marco Anthony missed Jumper.,46,87
3:04,2046,Austin Peay Deadball Team Rebound.,46,87
2:46,2046,Chris Porter-Bunton missed Jumper.,46,87
2:46,258,Defensive Rebound.,46,87
2:31,258,Justice Bartley missed Three Point Jumper.,46,87
2:31,2046,Terry Taylor Defensive Rebound.,46,87
2:09,258,Foul on  .,46,87
2:09,2046,Tre' Ivory missed Free Throw.,46,87
2:09,2046,Austin Peay Deadball Team Rebound.,46,87
2:09,2046,Tre' Ivory missed Free Throw.,46,87
2:09,2046,Terry Taylor Offensive Rebound.,46,87
2:07,2046,Dayton Gumm missed Three Point Jumper.,46,87
2:07,2046,Richard Henderson Offensive Rebound.,46,87
2:04,258,Foul on Marco Anthony.,46,87
2:04,2046,Richard Henderson made Free Throw.,47,87
2:04,2046,Richard Henderson missed Free Throw.,47,87
2:04,258,Justice Bartley Defensive Rebound.,47,87
1:49,258,Austin Katstra made Three Point Jumper. Assisted by Jay Huff.,47,90
1:14,2046,Dayton Gumm Turnover.,47,90
1:13,258,Austin Katstra Steal.,47,90
1:10,2046,Foul on Acoydan McCarthy.,47,90
1:10,258,missed Free Throw.,47,90
1:10,258,Virginia Deadball Team Rebound.,47,90
1:10,258,missed Free Throw.,47,90
1:10,2046,Richard Henderson Defensive Rebound.,47,90
0:52,2046,Richard Henderson made Dunk. Assisted by Ferran Bernacer.,49,90
0:29,258,Jay Huff made Three Point Jumper.,49,93
0:00,258,End of Game,49,93
