Montana State,328,Utah State,147
12:04,147,Harald Frey made Three Point Jumper. Assisted by Tyler Hall.,13,14
11:39,147,Foul on Joe Mvuezolo Jr..,13,14
11:39,328,Official TV Timeout,13,14
11:39,328,Sam Merrill made Free Throw.,13,15
11:39,328,Sam Merrill missed Free Throw.,13,15
11:39,147,Sam Neumann Defensive Rebound.,13,15
11:17,147,Sam Neumann made Layup. Assisted by Harald Frey.,15,15
11:02,328,Dwayne Brown Jr. made Three Point Jumper. Assisted by Brock Miller.,15,18
10:45,147,Tyler Hall made Three Point Jumper. Assisted by Harald Frey.,18,18
10:26,328,Dwayne Brown Jr. Turnover.,18,18
10:25,147,Tyler Hall Steal.,18,18
10:21,147,Joe Mvuezolo Jr. made Dunk. Assisted by Tyler Hall.,20,18
10:05,328,Koby McEwen made Layup.,20,20
9:40,147,Harald Frey made Three Point Jumper. Assisted by Tyler Hall.,23,20
9:18,328,Koby McEwen made Three Point Jumper. Assisted by Dwayne Brown Jr..,23,23
8:52,147,Joe Mvuezolo Jr. Turnover.,23,23
8:51,328,Dwayne Brown Jr. Steal.,23,23
8:50,328,Brock Miller made Layup. Assisted by Dwayne Brown Jr..,23,25
8:47,147,Montana State  Timeout,23,25
8:27,147,Joe Mvuezolo Jr. missed Layup.,23,25
8:27,328,Klay Stall Block.,23,25
8:27,147,Montana State Offensive Rebound.,23,25
8:25,147,Joe Mvuezolo Jr. made Three Point Jumper. Assisted by Harald Frey.,26,25
8:14,328,Koby McEwen Turnover.,26,25
8:14,147,Joe Mvuezolo Jr. Steal.,26,25
7:57,147,Zach Green Turnover.,26,25
7:57,147,Foul on Zach Green.,26,25
7:57,328,Official TV Timeout,26,25
7:43,328,Dwayne Brown Jr. Turnover.,26,25
7:42,147,Devonte Klines Steal.,26,25
7:36,147,Isaac Bonton Turnover.,26,25
7:35,328,Koby McEwen Steal.,26,25
7:29,328,Klay Stall Turnover.,26,25
7:09,147,Devonte Klines made Layup.,28,25
6:55,328,Klay Stall made Dunk. Assisted by Koby McEwen.,28,27
6:38,147,Isaac Bonton missed Layup.,28,27
6:38,328,Klay Stall Block.,28,27
6:36,328,Koby McEwen Defensive Rebound.,28,27
6:33,328,DeAngelo Isby missed Dunk.,28,27
6:33,147,Devonte Klines Defensive Rebound.,28,27
6:22,147,Zach Green made Layup. Assisted by Joe Mvuezolo Jr..,30,27
6:04,328,Abel Porter missed Jumper.,30,27
6:04,328,Dwayne Brown Jr. Offensive Rebound.,30,27
6:01,328,Dwayne Brown Jr. Turnover.,30,27
5:50,147,Devonte Klines missed Three Point Jumper.,30,27
5:50,328,Sam Merrill Defensive Rebound.,30,27
5:39,328,Dwayne Brown Jr. made Layup. Assisted by Abel Porter.,30,29
5:30,328,Foul on Klay Stall.,30,29
5:12,147,Keljin Blevins missed Layup.,30,29
5:12,328,Dwayne Brown Jr. Block.,30,29
5:11,328,Dwayne Brown Jr. Defensive Rebound.,30,29
4:59,328,Quinn Taylor made Layup. Assisted by Sam Merrill.,30,31
4:38,328,Foul on Brock Miller.,30,31
4:26,147,Harald Frey made Layup.,32,31
4:05,328,Sam Merrill made Three Point Jumper. Assisted by Koby McEwen.,32,34
3:39,328,Foul on Brock Miller.,32,34
3:39,328,Official TV Timeout,32,34
3:39,147,Zach Green made Free Throw.,33,34
3:39,147,Zach Green missed Free Throw.,33,34
3:39,328,Daron Henson Defensive Rebound.,33,34
3:11,328,Quinn Taylor made Dunk. Assisted by Sam Merrill.,33,36
2:58,147,Harald Frey Turnover.,33,36
2:57,328,Sam Merrill Steal.,33,36
2:52,328,Koby McEwen made Layup.,33,38
2:23,147,Harald Frey made Jumper.,35,38
2:23,328,Foul on Koby McEwen.,35,38
2:23,147,Harald Frey made Free Throw.,36,38
1:58,328,Koby McEwen missed Three Point Jumper.,36,38
1:58,147,Tyler Hall Defensive Rebound.,36,38
1:55,328,Foul on Diogo Brito.,36,38
1:55,147,Tyler Hall made Free Throw.,37,38
1:55,147,Tyler Hall made Free Throw.,38,38
1:38,328,Sam Merrill missed Three Point Jumper.,38,38
1:38,147,Montana State Defensive Rebound.,38,38
1:23,147,Keljin Blevins Turnover.,38,38
1:23,147,Foul on Keljin Blevins.,38,38
1:03,328,Dwayne Brown Jr. made Layup.,38,40
0:40,147,Tyler Hall made Three Point Jumper. Assisted by Sam Neumann.,41,40
0:15,328,Sam Merrill missed Three Point Jumper.,41,40
0:15,147,Montana State Defensive Rebound.,41,40
0:10,328,Utah State  Timeout,41,40
0:01,147,Keljin Blevins missed Three Point Jumper.,41,40
0:01,147,Sam Neumann Offensive Rebound.,41,40
0:00,328,End of 1st half,41,40
19:34,328,DeAngelo Isby made Three Point Jumper. Assisted by Alex Dargenton.,41,43
19:07,147,Tyler Hall missed Three Point Jumper.,41,43
19:07,147,Tyler Hall Offensive Rebound.,41,43
19:03,147,Tyler Hall missed Jumper.,41,43
19:03,328,Sam Merrill Defensive Rebound.,41,43
18:54,328,Koby McEwen missed Layup.,41,43
18:54,328,Alex Dargenton Offensive Rebound.,41,43
18:34,328,DeAngelo Isby missed Jumper.,41,43
18:34,147,Harald Frey Defensive Rebound.,41,43
18:18,147,Zach Green missed Jumper.,41,43
18:18,328,Alex Dargenton Defensive Rebound.,41,43
18:03,147,Foul on Sam Neumann.,41,43
17:51,328,DeAngelo Isby made Three Point Jumper. Assisted by Sam Merrill.,41,46
17:23,147,Harald Frey missed Jumper.,41,46
17:23,328,Alex Dargenton Defensive Rebound.,41,46
17:11,328,Koby McEwen Turnover.,41,46
17:02,328,Foul on Alex Dargenton.,41,46
17:02,147,Keljin Blevins made Free Throw.,42,46
17:02,147,Keljin Blevins missed Free Throw.,42,46
17:02,328,Dwayne Brown Jr. Defensive Rebound.,42,46
17:02,147,Foul on Konner Frey.,42,46
16:45,328,Koby McEwen made Layup.,42,48
16:15,147,Harald Frey missed Three Point Jumper.,42,48
16:15,147,Keljin Blevins Offensive Rebound.,42,48
16:10,147,Keljin Blevins missed Layup.,42,48
16:10,328,Dwayne Brown Jr. Defensive Rebound.,42,48
16:02,328,Dwayne Brown Jr. missed Three Point Jumper.,42,48
16:02,147,Joe Mvuezolo Jr. Defensive Rebound.,42,48
15:59,328,Foul on DeAngelo Isby.,42,48
15:59,328,Official TV Timeout,42,48
15:48,328,Foul on DeAngelo Isby.,42,48
15:48,147,Konner Frey made Free Throw.,43,48
15:48,147,Konner Frey missed Free Throw.,43,48
15:48,328,Quinn Taylor Defensive Rebound.,43,48
15:41,328,Koby McEwen Turnover.,43,48
15:40,147,Zach Green Steal.,43,48
15:38,147,Zach Green made Dunk.,45,48
15:17,328,Koby McEwen made Three Point Jumper.,45,51
14:58,147,Harald Frey missed Layup.,45,51
14:58,328,Daron Henson Defensive Rebound.,45,51
14:50,328,DeAngelo Isby made Three Point Jumper. Assisted by Koby McEwen.,45,54
14:46,147,Montana State  Timeout,45,54
14:27,147,Joe Mvuezolo Jr. missed Three Point Jumper.,45,54
14:27,328,Koby McEwen Defensive Rebound.,45,54
14:18,328,Koby McEwen missed Layup.,45,54
14:18,147,Konner Frey Defensive Rebound.,45,54
14:09,328,Foul on Koby McEwen.,45,54
14:09,328,Foul on Abel Porter.,45,54
13:52,147,Harald Frey Turnover.,45,54
13:40,328,DeAngelo Isby made Layup.,45,56
13:17,147,Joe Mvuezolo Jr. made Layup. Assisted by Zach Green.,47,56
13:05,328,Daron Henson Turnover.,47,56
13:04,147,Harald Frey Steal.,47,56
13:02,147,Harald Frey made Layup.,49,56
12:44,328,Sam Merrill made Layup.,49,58
12:19,147,Zach Green missed Three Point Jumper.,49,58
12:19,328,Sam Merrill Defensive Rebound.,49,58
12:09,328,Quinn Taylor made Layup. Assisted by Abel Porter.,49,60
11:51,147,Tyler Hall missed Three Point Jumper.,49,60
11:51,328,Daron Henson Defensive Rebound.,49,60
11:50,147,Foul on Zach Green.,49,60
11:50,328,Official TV Timeout,49,60
11:38,328,Alex Dargenton missed Layup.,49,60
11:38,328,Alex Dargenton Offensive Rebound.,49,60
11:36,328,Alex Dargenton made Layup.,49,62
11:26,147,Devonte Klines Turnover.,49,62
11:26,147,Foul on Devonte Klines.,49,62
11:15,147,Foul on Keljin Blevins.,49,62
11:06,328,DeAngelo Isby Turnover.,49,62
11:05,147,Joe Mvuezolo Jr. Steal.,49,62
11:01,147,Joe Mvuezolo Jr. made Jumper.,51,62
10:48,147,Foul on Joe Mvuezolo Jr..,51,62
10:48,328,Alex Dargenton made Free Throw.,51,63
10:48,328,Alex Dargenton missed Free Throw.,51,63
10:48,328,Dwayne Brown Jr. Offensive Rebound.,51,63
10:43,328,Dwayne Brown Jr. Turnover.,51,63
10:42,147,Keljin Blevins Steal.,51,63
10:21,147,Joe Mvuezolo Jr. missed Three Point Jumper.,51,63
10:21,147,Sam Neumann Offensive Rebound.,51,63
10:18,147,Sam Neumann made Layup.,53,63
10:01,147,Foul on Isaac Bonton.,53,63
10:01,328,Dwayne Brown Jr. missed Free Throw.,53,63
10:01,147,Keljin Blevins Defensive Rebound.,53,63
9:54,147,Isaac Bonton made Jumper.,55,63
9:32,328,DeAngelo Isby made Three Point Jumper. Assisted by Abel Porter.,55,66
9:13,147,Joe Mvuezolo Jr. missed Jumper.,55,66
9:13,147,Devonte Klines Offensive Rebound.,55,66
9:03,147,Keljin Blevins Turnover.,55,66
9:02,328,Dwayne Brown Jr. Steal.,55,66
8:41,328,Sam Merrill missed Jumper.,55,66
8:41,328,DeAngelo Isby Offensive Rebound.,55,66
8:38,328,DeAngelo Isby missed Jumper.,55,66
8:38,147,Keljin Blevins Block.,55,66
8:37,328,Alex Dargenton Offensive Rebound.,55,66
8:34,328,Alex Dargenton made Layup.,55,68
8:34,147,Foul on Joe Mvuezolo Jr..,55,68
8:34,328,Alex Dargenton made Free Throw.,55,69
8:13,328,Foul on Brock Miller.,55,69
8:13,147,Zach Green made Free Throw.,56,69
8:13,147,Zach Green made Free Throw.,57,69
7:48,147,Foul on Konner Frey.,57,69
7:48,328,Official TV Timeout,57,69
7:48,328,Alex Dargenton made Free Throw.,57,70
7:48,328,Alex Dargenton made Free Throw.,57,71
7:36,147,Tyler Hall missed Jumper.,57,71
7:36,328,Alex Dargenton Defensive Rebound.,57,71
7:28,328,Brock Miller missed Three Point Jumper.,57,71
7:28,147,Konner Frey Block.,57,71
7:27,328,Brock Miller Offensive Rebound.,57,71
7:24,328,Brock Miller Turnover.,57,71
7:23,147,Isaac Bonton Steal.,57,71
7:19,147,Isaac Bonton missed Jumper.,57,71
7:19,328,Alex Dargenton Defensive Rebound.,57,71
7:08,328,Koby McEwen made Layup.,57,73
6:47,147,Konner Frey made Three Point Jumper. Assisted by Harald Frey.,60,73
6:23,328,Alex Dargenton missed Layup.,60,73
6:23,328,Quinn Taylor Offensive Rebound.,60,73
6:10,328,Koby McEwen missed Jumper.,60,73
6:10,147,Konner Frey Defensive Rebound.,60,73
5:58,147,Tyler Hall made Jumper.,62,73
5:40,328,Alex Dargenton missed Jumper.,62,73
5:40,147,Isaac Bonton Defensive Rebound.,62,73
5:32,147,Isaac Bonton made Jumper.,64,73
5:30,328,Utah State  Timeout,64,73
5:06,328,Utah State  Timeout,64,73
5:06,328,Koby McEwen Turnover.,64,73
5:05,147,Isaac Bonton Steal.,64,73
5:04,147,Isaac Bonton missed Layup.,64,73
5:04,328,Koby McEwen Defensive Rebound.,64,73
4:51,328,DeAngelo Isby Turnover.,64,73
4:51,328,Foul on DeAngelo Isby.,64,73
4:42,147,Tyler Hall missed Jumper.,64,73
4:42,328,Dwayne Brown Jr. Defensive Rebound.,64,73
4:19,147,Foul on Sam Neumann.,64,73
4:19,328,Alex Dargenton missed Free Throw.,64,73
4:19,328,Utah State Deadball Team Rebound.,64,73
4:19,328,Alex Dargenton made Free Throw.,64,74
3:58,147,Harald Frey missed Three Point Jumper.,64,74
3:58,328,Alex Dargenton Defensive Rebound.,64,74
3:40,328,Official TV Timeout,64,74
3:24,328,Koby McEwen missed Layup.,64,74
3:24,328,Alex Dargenton Offensive Rebound.,64,74
3:23,147,Foul on Tyler Hall.,64,74
3:23,328,Alex Dargenton missed Free Throw.,64,74
3:23,328,Utah State Deadball Team Rebound.,64,74
3:23,328,Alex Dargenton missed Free Throw.,64,74
3:23,147,Keljin Blevins Defensive Rebound.,64,74
3:09,147,Tyler Hall missed Three Point Jumper.,64,74
3:09,147,Sam Neumann Offensive Rebound.,64,74
3:03,147,Harald Frey made Layup.,66,74
2:49,328,Alex Dargenton Turnover.,66,74
2:37,147,Keljin Blevins missed Dunk.,66,74
2:37,328,Koby McEwen Defensive Rebound.,66,74
2:27,328,Koby McEwen missed Layup.,66,74
2:27,328,Alex Dargenton Offensive Rebound.,66,74
2:24,328,Alex Dargenton Turnover.,66,74
2:11,147,Tyler Hall Turnover.,66,74
2:09,328,Sam Merrill Steal.,66,74
1:42,328,Sam Merrill Turnover.,66,74
1:41,147,Joe Mvuezolo Jr. Steal.,66,74
1:35,147,Tyler Hall made Layup. Assisted by Joe Mvuezolo Jr..,68,74
1:18,147,Foul on Keljin Blevins.,68,74
1:18,328,DeAngelo Isby made Free Throw.,68,75
1:18,328,DeAngelo Isby made Free Throw.,68,76
1:07,147,Joe Mvuezolo Jr. missed Jumper.,68,76
1:07,328,DeAngelo Isby Defensive Rebound.,68,76
0:46,328,DeAngelo Isby Turnover.,68,76
0:45,147,Konner Frey Steal.,68,76
0:44,147,Konner Frey made Layup.,70,76
0:42,147,Montana State  Timeout,70,76
0:41,147,Foul on Harald Frey.,70,76
0:41,328,DeAngelo Isby made Free Throw.,70,77
0:41,328,DeAngelo Isby made Free Throw.,70,78
0:33,147,Tyler Hall made Three Point Jumper. Assisted by Konner Frey.,73,78
0:33,147,Montana State  Timeout,73,78
0:32,147,Foul on Joe Mvuezolo Jr..,73,78
0:32,328,Koby McEwen made Free Throw.,73,79
0:32,328,Koby McEwen missed Free Throw.,73,79
0:32,147,Konner Frey Defensive Rebound.,73,79
0:21,147,Tyler Hall missed Three Point Jumper.,73,79
0:21,328,Koby McEwen Defensive Rebound.,73,79
0:19,147,Foul on Keljin Blevins.,73,79
0:19,328,Koby McEwen made Free Throw.,73,80
0:19,328,Koby McEwen missed Free Throw.,73,80
0:19,328,Dwayne Brown Jr. Offensive Rebound.,73,80
0:18,328,Dwayne Brown Jr. Turnover.,73,80
0:10,147,Keljin Blevins missed Three Point Jumper.,73,80
0:10,328,Dwayne Brown Jr. Defensive Rebound.,73,80
0:05,147,Foul on Konner Frey.,73,80
0:05,328,Dwayne Brown Jr. made Free Throw.,73,81
0:05,328,Dwayne Brown Jr. missed Free Throw.,73,81
0:05,147,Sam Neumann Defensive Rebound.,73,81
0:01,147,Tyler Hall missed Three Point Jumper.,73,81
0:01,328,Utah State Defensive Rebound.,73,81
0:00,328,End of Game,73,81
