Mt. St. Mary's,87,Notre Dame,116
7:00,116,Greg Alexander made Three Point Jumper. Assisted by Donald Carey.,21,20
6:45,87,Matt Farrell missed Jumper.,21,20
6:45,87,Bonzie Colson Offensive Rebound.,21,20
6:39,87,Bonzie Colson missed Jumper.,21,20
6:39,116,Greg Alexander Defensive Rebound.,21,20
6:23,87,Foul on John Mooney.,21,20
6:23,116,Ryan Gomes made Free Throw.,22,20
6:23,116,Ryan Gomes made Free Throw.,23,20
6:10,87,John Mooney missed Three Point Jumper.,23,20
6:10,87,Matt Farrell Offensive Rebound.,23,20
6:05,87,Matt Farrell missed Three Point Jumper.,23,20
6:05,87,Bonzie Colson Offensive Rebound.,23,20
6:05,87,Bonzie Colson made Dunk.,23,22
5:42,116,Ryan Gomes missed Layup.,23,22
5:42,87,John Mooney Defensive Rebound.,23,22
5:32,87,Bonzie Colson made Jumper.,23,24
5:14,116,Junior Robinson Turnover.,23,24
5:14,87,Matt Farrell Steal.,23,24
5:02,87,Temple Gibbs made Jumper.,23,26
5:02,116,Foul on Junior Robinson.,23,26
5:02,87,Temple Gibbs made Free Throw.,23,27
4:36,116,Donald Carey Turnover.,23,27
4:36,87,Rex Pflueger Steal.,23,27
4:30,116,Foul on Greg Alexander.,23,27
4:30,87,Rex Pflueger made Free Throw.,23,28
4:30,87,Rex Pflueger made Free Throw.,23,29
4:20,116,Junior Robinson Turnover.,23,29
4:20,87,Rex Pflueger Steal.,23,29
4:14,87,Rex Pflueger made Layup. Assisted by Matt Farrell.,23,31
4:12,116,Mt. St. Mary's  Timeout,23,31
3:59,116,Bobby Planutis made Three Point Jumper. Assisted by Omar Habwe.,26,31
3:40,87,D.J. Harvey missed Layup.,26,31
3:40,116,Bobby Planutis Defensive Rebound.,26,31
3:17,116,Donald Carey made Three Point Jumper.,29,31
2:56,87,Temple Gibbs made Layup.,29,33
2:35,116,Omar Habwe missed Jumper.,29,33
2:35,87,D.J. Harvey Block.,29,33
2:35,87,D.J. Harvey Defensive Rebound.,29,33
2:26,87,Matt Farrell made Three Point Jumper. Assisted by D.J. Harvey.,29,36
2:06,116,Donald Carey missed Three Point Jumper.,29,36
2:06,87,Bonzie Colson Defensive Rebound.,29,36
1:59,87,Temple Gibbs made Layup. Assisted by Bonzie Colson.,29,38
1:34,116,Greg Alexander missed Three Point Jumper.,29,38
1:34,87,Rex Pflueger Defensive Rebound.,29,38
1:27,87,Matt Farrell missed Three Point Jumper.,29,38
1:27,116,Bobby Planutis Defensive Rebound.,29,38
0:55,116,Junior Robinson made Three Point Jumper. Assisted by Donald Carey.,32,38
0:31,87,Temple Gibbs missed Three Point Jumper.,32,38
0:31,87,Rex Pflueger Offensive Rebound.,32,38
0:06,87,Jump Ball won by Notre Dame,32,38
0:06,87,Notre Dame  Timeout,32,38
0:02,87,Bonzie Colson made Jumper.,32,40
0:00,87,End of 1st half,32,40
20:00,116,Jump Ball won by Mt. St. Mary's,32,40
19:50,116,Donald Carey Turnover.,32,40
19:50,87,Bonzie Colson Steal.,32,40
19:41,87,Martinas Geben made Layup. Assisted by Temple Gibbs.,32,42
19:41,116,Foul on Jonah Antonio.,32,42
19:41,87,Martinas Geben made Free Throw.,32,43
19:17,116,Bobby Planutis missed Jumper.,32,43
19:17,87,Bonzie Colson Block.,32,43
19:17,87,Bonzie Colson Defensive Rebound.,32,43
19:08,116,Foul on Donald Carey.,32,43
19:08,87,Temple Gibbs made Free Throw.,32,44
19:08,87,Temple Gibbs made Free Throw.,32,45
18:53,116,Greg Alexander missed Three Point Jumper.,32,45
18:53,87,Martinas Geben Defensive Rebound.,32,45
18:44,87,Matt Farrell made Jumper.,32,47
18:40,116,Mt. St. Mary's  Timeout,32,47
18:29,116,Junior Robinson missed Three Point Jumper.,32,47
18:29,87,Notre Dame Defensive Rebound.,32,47
18:20,87,Martinas Geben made Dunk. Assisted by Rex Pflueger.,32,49
18:00,116,Junior Robinson missed Jumper.,32,49
18:00,87,Bonzie Colson Defensive Rebound.,32,49
17:48,87,Matt Farrell missed Layup.,32,49
17:48,116,Ryan Gomes Defensive Rebound.,32,49
17:37,87,Foul on Matt Farrell.,32,49
17:21,116,Junior Robinson missed Jumper.,32,49
17:21,116,Greg Alexander Offensive Rebound.,32,49
17:13,116,Junior Robinson missed Three Point Jumper.,32,49
17:13,116,Ryan Gomes Offensive Rebound.,32,49
17:07,87,Foul on Temple Gibbs.,32,49
17:04,116,Jonah Antonio missed Three Point Jumper.,32,49
17:04,87,Bonzie Colson Defensive Rebound.,32,49
16:52,87,Rex Pflueger missed Layup.,32,49
16:52,87,Martinas Geben Offensive Rebound.,32,49
16:49,87,Martinas Geben Turnover.,32,49
16:49,116,Greg Alexander Steal.,32,49
16:40,116,Greg Alexander missed Three Point Jumper.,32,49
16:40,87,Matt Farrell Defensive Rebound.,32,49
16:34,87,Bonzie Colson made Layup. Assisted by Matt Farrell.,32,51
16:19,116,Junior Robinson missed Layup.,32,51
16:19,87,Rex Pflueger Defensive Rebound.,32,51
16:14,87,Matt Farrell made Three Point Jumper. Assisted by Rex Pflueger.,32,54
16:10,116,Mt. St. Mary's  Timeout,32,54
15:55,116,Bobby Planutis made Three Point Jumper. Assisted by Junior Robinson.,35,54
15:39,87,Foul on Elijah Burns.,35,54
15:39,87,Elijah Burns Turnover.,35,54
15:20,116,Ryan Gomes made Layup. Assisted by Junior Robinson.,37,54
14:56,87,Bonzie Colson made Jumper. Assisted by Rex Pflueger.,37,56
14:31,116,Jonah Antonio missed Three Point Jumper.,37,56
14:31,87,Temple Gibbs Defensive Rebound.,37,56
14:20,87,Rex Pflueger missed Jumper.,37,56
14:20,116,Bobby Planutis Defensive Rebound.,37,56
14:09,116,Junior Robinson missed Layup.,37,56
14:09,87,Bonzie Colson Block.,37,56
14:09,87,Elijah Burns Defensive Rebound.,37,56
13:57,87,Bonzie Colson missed Jumper.,37,56
13:57,116,Jonah Antonio Defensive Rebound.,37,56
13:27,116,Jonah Antonio made Three Point Jumper. Assisted by Bobby Planutis.,40,56
12:51,87,Elijah Burns missed Jumper.,40,56
12:51,87,Rex Pflueger Offensive Rebound.,40,56
12:51,87,Rex Pflueger made Two Point Tip Shot.,40,58
12:20,116,Jonah Antonio made Three Point Jumper. Assisted by Junior Robinson.,43,58
11:57,87,Matt Farrell made Layup.,43,60
11:56,87,Notre Dame  Timeout,43,60
11:50,116,Greg Alexander missed Three Point Jumper.,43,60
11:50,87,Elijah Burns Defensive Rebound.,43,60
11:31,87,Temple Gibbs missed Layup.,43,60
11:31,87,Elijah Burns Offensive Rebound.,43,60
11:31,87,Elijah Burns missed Two Point Tip Shot.,43,60
11:31,87,Elijah Burns Offensive Rebound.,43,60
11:07,116,Foul on Bobby Planutis.,43,60
11:07,87,Elijah Burns made Free Throw.,43,61
11:07,87,Elijah Burns made Free Throw.,43,62
10:59,116,Jonah Antonio missed Three Point Jumper.,43,62
10:59,87,Temple Gibbs Defensive Rebound.,43,62
10:50,87,Temple Gibbs Turnover.,43,62
10:50,116,Jonah Antonio Steal.,43,62
10:39,116,Greg Alexander made Jumper.,45,62
10:22,87,Matt Farrell missed Jumper.,45,62
10:22,116,Jonah Antonio Defensive Rebound.,45,62
9:52,116,Mt. St. Mary's  Turnover.,45,62
9:36,87,Bonzie Colson made Jumper.,45,64
9:19,116,Bobby Planutis made Three Point Jumper. Assisted by Greg Alexander.,48,64
8:55,87,Bonzie Colson missed Jumper.,48,64
8:55,116,Jonah Antonio Defensive Rebound.,48,64
8:42,116,Donald Carey Turnover.,48,64
8:42,87,John Mooney Steal.,48,64
8:36,87,Rex Pflueger made Layup.,48,66
8:15,116,Jonah Antonio missed Three Point Jumper.,48,66
8:15,87,Bonzie Colson Defensive Rebound.,48,66
8:05,87,Bonzie Colson made Layup. Assisted by Rex Pflueger.,48,68
7:39,116,Donald Carey made Jumper.,50,68
7:25,87,Rex Pflueger missed Jumper.,50,68
7:25,116,Greg Alexander Defensive Rebound.,50,68
7:13,87,Foul on Temple Gibbs.,50,68
7:13,87,Official TV Timeout,50,68
7:07,116,Omar Habwe missed Layup.,50,68
7:07,87,Martinas Geben Block.,50,68
7:07,116,Omar Habwe Offensive Rebound.,50,68
6:59,116,Omar Habwe made Layup.,52,68
6:54,87,Martinas Geben made Layup. Assisted by Matt Farrell.,52,70
6:39,116,Junior Robinson Turnover.,52,70
6:39,87,Martinas Geben Steal.,52,70
6:39,87,Notre Dame  Timeout,52,70
6:20,87,Martinas Geben missed Layup.,52,70
6:20,116,Omar Habwe Defensive Rebound.,52,70
6:00,116,Junior Robinson Turnover.,52,70
5:44,116,Foul on Donald Carey.,52,70
5:44,87,Rex Pflueger made Free Throw.,52,71
5:31,116,Omar Habwe missed Three Point Jumper.,52,71
5:31,87,Bonzie Colson Defensive Rebound.,52,71
5:05,87,D.J. Harvey made Layup.,52,73
4:42,116,Junior Robinson missed Layup.,52,73
4:42,87,Martinas Geben Block.,52,73
4:42,116,Mt. St. Mary's Offensive Rebound.,52,73
4:40,116,Foul on Omar Habwe.,52,73
4:40,116,Omar Habwe Turnover.,52,73
4:24,87,Matt Farrell made Layup. Assisted by Martinas Geben.,52,75
4:06,116,Junior Robinson made Layup.,54,75
3:49,87,Bonzie Colson made Three Point Jumper. Assisted by Matt Farrell.,54,78
3:18,116,Bobby Planutis missed Three Point Jumper.,54,78
3:18,87,Rex Pflueger Defensive Rebound.,54,78
3:10,116,Foul on Donald Carey.,54,78
3:10,87,Official TV Timeout,54,78
3:04,87,D.J. Harvey made Jumper. Assisted by Temple Gibbs.,54,80
2:43,87,Foul on John Mooney.,54,80
2:43,116,Omar Habwe missed Free Throw.,54,80
2:43,116,Mt. St. Mary's Deadball Team Rebound.,54,80
2:43,116,Omar Habwe made Free Throw.,55,80
2:27,87,Elijah Burns made Jumper.,55,82
2:14,116,Bobby Planutis missed Three Point Jumper.,55,82
2:14,87,D.J. Harvey Defensive Rebound.,55,82
2:00,87,John Mooney made Layup. Assisted by D.J. Harvey.,55,84
1:44,116,Donald Carey missed Three Point Jumper.,55,84
1:44,87,John Mooney Defensive Rebound.,55,84
1:32,87,Temple Gibbs missed Layup.,55,84
1:32,116,Omar Habwe Defensive Rebound.,55,84
1:22,116,Bobby Planutis made Layup.,57,84
1:05,87,John Mooney made Layup.,57,86
0:50,116,Omar Habwe made Three Point Jumper. Assisted by Donald Carey.,60,86
0:47,87,Notre Dame  Timeout,60,86
0:35,87,D.J. Harvey made Jumper.,60,88
0:22,87,Foul on Nikola Djogo.,60,88
0:20,116,Donald Carey made Jumper. Assisted by Omar Habwe.,62,88
0:00,87,End of Game,62,88
