Wagner,142,Missouri,2681
10:27,2681,AJ Sumbry missed Jumper.,6,27
10:27,2681,Wagner Offensive Rebound.,6,27
10:16,2681,AJ Sumbry made Jumper.,8,27
10:00,142,Jontay Porter missed Three Point Jumper.,8,27
10:00,2681,Tyler Plummer Defensive Rebound.,8,27
9:45,2681,AJ Sumbry missed Layup.,8,27
9:45,142,Reed Nikko Block.,8,27
9:45,2681,Wagner Offensive Rebound.,8,27
9:41,2681,JoJo Cooper made Jumper.,10,27
9:22,2681,Foul on Nick Madray.,10,27
9:22,142,Kevin Puryear missed Free Throw.,10,27
9:22,142,Missouri Deadball Team Rebound.,10,27
9:22,142,Kevin Puryear made Free Throw.,10,28
9:07,2681,JoJo Cooper missed Three Point Jumper.,10,28
9:07,142,Jontay Porter Defensive Rebound.,10,28
9:00,142,Jordan Barnett missed Three Point Jumper.,10,28
9:00,142,Jontay Porter Offensive Rebound.,10,28
8:57,142,Jontay Porter made Jumper.,10,30
8:31,2681,Blake Francis missed Jumper.,10,30
8:31,2681,AJ Sumbry Offensive Rebound.,10,30
8:31,2681,AJ Sumbry missed Two Point Tip Shot.,10,30
8:31,142,Kevin Puryear Defensive Rebound.,10,30
8:24,142,Kassius Robertson missed Three Point Jumper.,10,30
8:24,142,Jontay Porter Offensive Rebound.,10,30
8:20,142,Kassius Robertson made Three Point Jumper. Assisted by Jontay Porter.,10,33
8:01,2681,JoJo Cooper Turnover.,10,33
8:01,142,Kevin Puryear Steal.,10,33
7:49,2681,Foul on Jamar Brown.,10,33
7:49,142,Official TV Timeout,10,33
7:49,142,Kevin Puryear missed Free Throw.,10,33
7:49,2681,Elijah Davis Defensive Rebound.,10,33
7:21,2681,AJ Sumbry missed Jumper.,10,33
7:21,142,Reed Nikko Defensive Rebound.,10,33
6:53,142,Kevin Puryear Turnover.,10,33
6:53,2681,Blake Francis Steal.,10,33
6:30,2681,AJ Sumbry missed Layup.,10,33
6:30,142,Reed Nikko Block.,10,33
6:30,142,Reed Nikko Defensive Rebound.,10,33
6:23,142,Cullen VanLeer made Three Point Jumper. Assisted by Terrence Phillips.,10,36
6:04,142,Foul on Cullen VanLeer.,10,36
6:04,2681,Tyler Plummer missed Free Throw.,10,36
6:04,2681,Wagner Deadball Team Rebound.,10,36
6:04,2681,Tyler Plummer made Free Throw.,11,36
5:57,142,Blake Harris missed Layup.,11,36
5:57,142,Missouri Offensive Rebound.,11,36
5:50,2681,Foul on Nick Madray.,11,36
5:50,142,Reed Nikko made Free Throw.,11,37
5:50,142,Reed Nikko made Free Throw.,11,38
5:41,2681,JoJo Cooper Turnover.,11,38
5:41,142,Reed Nikko Steal.,11,38
5:34,142,Jordan Geist missed Three Point Jumper.,11,38
5:34,142,Reed Nikko Offensive Rebound.,11,38
5:30,2681,Foul on AJ Sumbry.,11,38
5:30,142,Reed Nikko made Free Throw.,11,39
5:30,142,Reed Nikko made Free Throw.,11,40
5:12,2681,Elijah Davis missed Three Point Jumper.,11,40
5:12,142,Kevin Puryear Defensive Rebound.,11,40
4:59,142,Terrence Phillips made Layup. Assisted by Jontay Porter.,11,42
4:37,2681,Blake Francis made Three Point Jumper. Assisted by JoJo Cooper.,14,42
4:27,142,Kevin Puryear made Jumper. Assisted by Jontay Porter.,14,44
3:55,2681,AJ Sumbry made Layup. Assisted by JoJo Cooper.,16,44
3:29,2681,Foul on Elijah Davis.,16,44
3:29,142,Official TV Timeout,16,44
3:29,142,Kassius Robertson made Free Throw.,16,45
3:29,142,Kassius Robertson made Free Throw.,16,46
3:08,2681,JoJo Cooper missed Jumper.,16,46
3:08,142,Jordan Barnett Defensive Rebound.,16,46
3:02,142,Jontay Porter Turnover.,16,46
3:02,2681,Devin Liggeons Steal.,16,46
2:54,2681,Nigel Jackson made Three Point Jumper. Assisted by Blake Francis.,19,46
2:21,142,Terrence Phillips made Three Point Jumper. Assisted by Kassius Robertson.,19,49
1:48,2681,Blake Francis Turnover.,19,49
1:42,142,Jordan Barnett Turnover.,19,49
1:24,2681,Foul on Jamar Brown.,19,49
1:24,2681,Jamar Brown Turnover.,19,49
1:09,142,Jordan Barnett missed Three Point Jumper.,19,49
1:09,142,Reed Nikko Offensive Rebound.,19,49
1:02,2681,Foul on Devin Liggeons.,19,49
1:02,142,Reed Nikko made Free Throw.,19,50
1:02,142,Reed Nikko missed Free Throw.,19,50
1:01,2681,AJ Sumbry Defensive Rebound.,19,50
1:01,142,Foul on Jontay Porter.,19,50
1:01,2681,AJ Sumbry made Free Throw.,20,50
1:01,2681,AJ Sumbry made Free Throw.,21,50
0:47,2681,Foul on Devin Liggeons.,21,50
0:47,142,Jordan Barnett made Free Throw.,21,51
0:47,142,Jordan Barnett missed Free Throw.,21,51
0:47,2681,Chase Freeman Defensive Rebound.,21,51
0:31,2681,Nigel Jackson missed Three Point Jumper.,21,51
0:31,2681,Devin Liggeons Offensive Rebound.,21,51
0:25,2681,Devin Liggeons missed Layup.,21,51
0:25,2681,Chase Freeman Offensive Rebound.,21,51
0:20,2681,Blake Francis missed Three Point Jumper.,21,51
0:20,142,Reed Nikko Defensive Rebound.,21,51
0:08,142,Kassius Robertson made Three Point Jumper. Assisted by Terrence Phillips.,21,54
0:00,142,End of 1st half,21,54
20:00,142,Jump Ball won by Missouri,21,54
19:51,142,Kevin Puryear made Layup.,21,56
19:28,2681,AJ Sumbry missed Jumper.,21,56
19:28,142,Missouri Defensive Rebound.,21,56
19:25,2681,Foul on Nigel Jackson.,21,56
19:03,142,Jeremiah Tilmon Turnover.,21,56
18:38,142,Foul on Jeremiah Tilmon.,21,56
18:38,2681,JoJo Cooper made Free Throw.,22,56
18:38,2681,JoJo Cooper made Free Throw.,23,56
18:31,142,Missouri  Timeout,23,56
18:16,2681,Foul on Nigel Jackson.,23,56
18:16,142,Kevin Puryear made Free Throw.,23,57
18:16,142,Kevin Puryear made Free Throw.,23,58
18:01,2681,JoJo Cooper missed Jumper.,23,58
18:01,142,Missouri Defensive Rebound.,23,58
17:39,2681,Foul on JoJo Cooper.,23,58
17:39,142,Kassius Robertson made Free Throw.,23,59
17:39,142,Kassius Robertson made Free Throw.,23,60
17:34,2681,Elijah Davis missed Three Point Jumper.,23,60
17:34,142,Cullen VanLeer Defensive Rebound.,23,60
17:22,142,Kassius Robertson made Three Point Jumper. Assisted by Jeremiah Tilmon.,23,63
17:00,2681,Devin Liggeons missed Three Point Jumper.,23,63
17:00,2681,AJ Sumbry Offensive Rebound.,23,63
17:00,2681,AJ Sumbry made Two Point Tip Shot.,25,63
16:42,142,Kassius Robertson missed Three Point Jumper.,25,63
16:42,2681,Blake Francis Defensive Rebound.,25,63
16:34,2681,Blake Francis made Three Point Jumper.,28,63
16:12,142,Jordan Barnett missed Jumper.,28,63
16:12,2681,Devin Liggeons Block.,28,63
16:12,2681,Elijah Davis Defensive Rebound.,28,63
16:06,2681,Blake Francis missed Jumper.,28,63
16:06,142,Jordan Barnett Defensive Rebound.,28,63
15:38,2681,Foul on AJ Sumbry.,28,63
15:38,142,Official TV Timeout,28,63
15:17,142,Missouri  Turnover.,28,63
15:01,142,Foul on Jordan Barnett.,28,63
15:01,2681,Elijah Davis made Free Throw.,29,63
15:01,2681,Elijah Davis made Free Throw.,30,63
14:47,142,Jeremiah Tilmon Turnover.,30,63
14:47,142,Foul on Jeremiah Tilmon.,30,63
14:36,2681,Elijah Davis Turnover.,30,63
14:36,142,Jontay Porter Steal.,30,63
14:26,2681,Foul on Blake Francis.,30,63
14:26,142,Jordan Barnett made Free Throw.,30,64
14:26,142,Jordan Barnett made Free Throw.,30,65
14:26,142,Jordan Barnett made Free Throw.,30,66
14:17,2681,Devin Liggeons Turnover.,30,66
14:17,142,Kassius Robertson Steal.,30,66
14:06,142,Jontay Porter Turnover.,30,66
14:06,2681,Devin Liggeons Steal.,30,66
13:54,2681,Nick Madray Turnover.,30,66
13:52,2681,Foul on Elijah Davis.,30,66
13:42,142,Terrence Phillips Turnover.,30,66
13:42,2681,Tyler Plummer Steal.,30,66
13:37,2681,Elijah Davis made Jumper.,32,66
13:15,142,Kevin Puryear made Three Point Jumper. Assisted by Terrence Phillips.,32,69
12:47,2681,Nick Madray Turnover.,32,69
12:47,142,Jontay Porter Steal.,32,69
12:44,142,Jontay Porter made Jumper.,32,71
12:16,2681,Tyler Plummer missed Layup.,32,71
12:16,142,Missouri Defensive Rebound.,32,71
12:10,142,Cullen VanLeer Turnover.,32,71
12:06,2681,Blake Francis missed Three Point Jumper.,32,71
12:06,142,Jeremiah Tilmon Defensive Rebound.,32,71
11:51,2681,Foul on AJ Sumbry.,32,71
11:51,142,Official TV Timeout,32,71
11:51,142,Terrence Phillips missed Free Throw.,32,71
11:51,2681,Nigel Jackson Defensive Rebound.,32,71
11:40,2681,Foul on Tyler Plummer.,32,71
11:40,2681,Tyler Plummer Turnover.,32,71
11:32,2681,Foul on Jamar Brown.,32,71
11:32,142,Jeremiah Tilmon made Free Throw.,32,72
11:32,142,Jeremiah Tilmon missed Free Throw.,32,72
11:32,2681,Nigel Jackson Defensive Rebound.,32,72
11:14,2681,Foul on Nigel Jackson.,32,72
11:14,2681,Nigel Jackson Turnover.,32,72
11:09,142,Foul on Jeremiah Tilmon.,32,72
11:09,142,Jeremiah Tilmon Turnover.,32,72
10:41,2681,JoJo Cooper made Jumper.,34,72
10:36,142,Terrence Phillips made Layup.,34,74
10:16,2681,Tyler Plummer Turnover.,34,74
10:16,142,Cullen VanLeer Steal.,34,74
10:07,142,Kassius Robertson made Three Point Jumper. Assisted by Cullen VanLeer.,34,77
9:46,2681,Foul on Jamar Brown.,34,77
9:46,2681,Jamar Brown Turnover.,34,77
9:43,142,Jordan Barnett made Layup.,34,79
9:21,2681,JoJo Cooper missed Jumper.,34,79
9:21,142,Jordan Barnett Defensive Rebound.,34,79
9:16,142,Kassius Robertson Turnover.,34,79
9:16,2681,JoJo Cooper Steal.,34,79
9:09,2681,Elijah Davis missed Layup.,34,79
9:09,2681,Elijah Davis Offensive Rebound.,34,79
9:05,2681,Elijah Davis Turnover.,34,79
9:05,142,Jordan Barnett Steal.,34,79
8:59,142,Jordan Barnett made Dunk. Assisted by Brett Rau.,34,81
8:54,2681,Wagner  Timeout,34,81
8:33,2681,AJ Sumbry missed Jumper.,34,81
8:33,2681,Devin Liggeons Offensive Rebound.,34,81
8:28,2681,Devin Liggeons made Layup.,36,81
8:13,142,Cullen VanLeer made Layup.,36,83
7:54,2681,Foul on Elijah Davis.,36,83
7:54,2681,Elijah Davis Turnover.,36,83
7:54,142,Official TV Timeout,36,83
7:45,142,Kassius Robertson made Jumper.,36,85
7:20,2681,JoJo Cooper missed Layup.,36,85
7:20,2681,Devin Liggeons Offensive Rebound.,36,85
7:15,2681,Devin Liggeons made Layup.,38,85
7:02,142,Jontay Porter missed Jumper.,38,85
7:02,2681,Elijah Davis Block.,38,85
7:02,2681,Devin Liggeons Defensive Rebound.,38,85
6:55,2681,Devin Liggeons made Layup.,40,85
6:55,142,Foul on Cullen VanLeer.,40,85
6:55,2681,Devin Liggeons missed Free Throw.,40,85
6:55,142,Jontay Porter Defensive Rebound.,40,85
6:34,142,Jontay Porter Turnover.,40,85
6:34,2681,Tyler Plummer Steal.,40,85
6:26,142,Foul on Terrence Phillips.,40,85
6:26,2681,Tyler Plummer made Free Throw.,41,85
6:26,2681,Tyler Plummer missed Free Throw.,41,85
6:26,142,Kevin Puryear Defensive Rebound.,41,85
6:13,2681,Foul on Tyler Plummer.,41,85
6:13,142,Cullen VanLeer missed Free Throw.,41,85
6:13,142,Missouri Deadball Team Rebound.,41,85
6:13,142,Cullen VanLeer missed Free Throw.,41,85
6:13,2681,JoJo Cooper Defensive Rebound.,41,85
6:04,142,Foul on Terrence Phillips.,41,85
6:04,2681,JoJo Cooper made Free Throw.,42,85
6:04,2681,JoJo Cooper made Free Throw.,43,85
5:52,142,Reed Nikko made Layup. Assisted by Cullen VanLeer.,43,87
5:52,2681,Foul on AJ Sumbry.,43,87
5:52,142,Reed Nikko made Free Throw.,43,88
5:32,2681,Nick Madray missed Layup.,43,88
5:32,142,Terrence Phillips Defensive Rebound.,43,88
5:21,2681,Foul on Devin Liggeons.,43,88
5:21,142,Terrence Phillips made Free Throw.,43,89
5:21,142,Terrence Phillips made Free Throw.,43,90
5:09,2681,JoJo Cooper missed Three Point Jumper.,43,90
5:09,142,Brett Rau Defensive Rebound.,43,90
5:00,142,Brett Rau Turnover.,43,90
5:00,2681,Jump Ball won by Wagner,43,90
4:43,2681,JoJo Cooper missed Jumper.,43,90
4:43,142,Reed Nikko Defensive Rebound.,43,90
4:32,2681,Foul on Nick Madray.,43,90
4:32,142,Terrence Phillips made Free Throw.,43,91
4:32,142,Terrence Phillips missed Free Throw.,43,91
4:32,2681,Devin Liggeons Defensive Rebound.,43,91
4:22,2681,Blake Francis made Jumper.,45,91
4:00,142,Brett Rau Turnover.,45,91
4:00,2681,Devin Liggeons Steal.,45,91
3:52,142,Foul on Cullen VanLeer.,45,91
3:52,142,Official TV Timeout,45,91
3:52,2681,JoJo Cooper missed Free Throw.,45,91
3:52,2681,Wagner Deadball Team Rebound.,45,91
3:52,2681,JoJo Cooper missed Free Throw.,45,91
3:52,142,Reed Nikko Defensive Rebound.,45,91
3:42,142,Cullen VanLeer missed Three Point Jumper.,45,91
3:42,2681,Devin Liggeons Defensive Rebound.,45,91
3:32,2681,Devin Liggeons made Layup.,47,91
3:00,142,Terrence Phillips missed Three Point Jumper.,47,91
3:00,2681,Devin Liggeons Defensive Rebound.,47,91
2:51,2681,Tyler Plummer missed Layup.,47,91
2:51,142,Reed Nikko Block.,47,91
2:51,2681,Wagner Offensive Rebound.,47,91
2:48,2681,Blake Francis made Three Point Jumper. Assisted by Chase Freeman.,50,91
2:22,2681,Foul on Blake Francis.,50,91
2:22,142,Brett Rau missed Free Throw.,50,91
2:22,142,Missouri Deadball Team Rebound.,50,91
2:22,142,Brett Rau missed Free Throw.,50,91
2:22,2681,Nick Madray Defensive Rebound.,50,91
1:55,2681,Tyler Plummer missed Three Point Jumper.,50,91
1:55,142,Cullen VanLeer Defensive Rebound.,50,91
1:33,142,Adam Wolf made Three Point Jumper. Assisted by Terrence Phillips.,50,94
1:08,2681,Blake Francis missed Three Point Jumper.,50,94
1:08,2681,Nick Madray Offensive Rebound.,50,94
1:04,2681,Blake Francis made Three Point Jumper. Assisted by Nick Madray.,53,94
0:50,2681,Foul on Blake Francis.,53,94
0:50,142,Terrence Phillips made Free Throw.,53,95
0:50,142,Terrence Phillips made Free Throw.,53,96
0:39,142,Foul on Reed Nikko.,53,96
0:39,2681,Chase Freeman made Free Throw.,54,96
0:39,2681,Chase Freeman made Free Throw.,55,96
0:13,142,Brett Rau made Three Point Jumper. Assisted by Terrence Phillips.,55,99
0:05,2681,JoJo Cooper missed Jumper.,55,99
0:05,142,Reed Nikko Defensive Rebound.,55,99
0:00,142,End of Game,55,99
