SE Louisiana,2655,Tulane,2545
6:07,2655,Foul on Samir Sehic.,58,78
6:07,2545,Moses Greenwood made Free Throw.,59,78
6:07,2545,Moses Greenwood missed Free Throw.,59,78
6:07,2655,Melvin Frazier Defensive Rebound.,59,78
5:58,2655,Melvin Frazier made Layup. Assisted by Colin Slater.,59,80
5:58,2545,Foul on Moses Greenwood.,59,80
5:58,2655,Melvin Frazier missed Free Throw.,59,80
5:58,2545,Keith Charleston Defensive Rebound.,59,80
5:47,2545,Marlain Veal made Layup.,61,80
5:27,2545,Foul on James Currington.,61,80
5:27,2655,Samir Sehic made Free Throw.,61,81
5:27,2655,Samir Sehic made Free Throw.,61,82
5:17,2545,Brandon Gonzalez missed Three Point Jumper.,61,82
5:17,2655,Samir Sehic Defensive Rebound.,61,82
5:06,2545,Foul on Brandon Gonzalez.,61,82
5:06,2655,Ray Ona Embo made Free Throw.,61,83
5:06,2655,Ray Ona Embo missed Free Throw.,61,83
5:06,2545,James Currington Defensive Rebound.,61,83
4:51,2545,Marlain Veal missed Layup.,61,83
4:51,2655,Samir Sehic Defensive Rebound.,61,83
4:36,2655,Caleb Daniels Turnover.,61,83
4:15,2545,Keith Charleston Turnover.,61,83
4:13,2655,Colin Slater Steal.,61,83
4:09,2655,Colin Slater made Layup.,61,85
3:59,2545,Marlain Veal missed Layup.,61,85
3:59,2545,James Currington Offensive Rebound.,61,85
3:56,2545,James Currington missed Three Point Jumper.,61,85
3:56,2545,Keith Charleston Offensive Rebound.,61,85
3:51,2545,Keith Charleston made Layup.,63,85
3:36,2655,Melvin Frazier Turnover.,63,85
3:36,2655,Official TV Timeout,63,85
3:26,2545,D'Angelo West missed Three Point Jumper.,63,85
3:26,2655,Buay Koka Defensive Rebound.,63,85
3:06,2655,Foul on Caleb Daniels.,63,85
3:06,2655,Caleb Daniels Turnover.,63,85
2:37,2545,Marlain Veal missed Three Point Jumper.,63,85
2:37,2545,SE Louisiana Offensive Rebound.,63,85
2:36,2655,Foul on Sammis Reyes.,63,85
2:36,2545,James Currington missed Free Throw.,63,85
2:36,2545,SE Louisiana Deadball Team Rebound.,63,85
2:36,2545,James Currington missed Free Throw.,63,85
2:36,2655,Buay Koka Defensive Rebound.,63,85
2:28,2545,Foul on D'Angelo West.,63,85
2:28,2655,Shakwon Barrett missed Free Throw.,63,85
2:28,2655,Tulane Deadball Team Rebound.,63,85
2:28,2655,Shakwon Barrett made Free Throw.,63,86
2:19,2655,Foul on Sammis Reyes.,63,86
2:19,2545,Keith Charleston missed Free Throw.,63,86
2:19,2545,SE Louisiana Deadball Team Rebound.,63,86
2:19,2545,Keith Charleston missed Free Throw.,63,86
2:19,2655,Buay Koka Defensive Rebound.,63,86
2:10,2655,Colin Slater missed Three Point Jumper.,63,86
2:10,2655,Buay Koka Offensive Rebound.,63,86
2:06,2655,Buay Koka Turnover.,63,86
2:05,2545,Marlain Veal Steal.,63,86
2:03,2545,Marlain Veal made Layup.,65,86
1:39,2655,Buay Koka made Layup.,65,88
1:28,2545,Keith Charleston Turnover.,65,88
1:21,2545,Foul on Quinton Thomas.,65,88
1:21,2655,Shakwon Barrett made Free Throw.,65,89
1:21,2655,Shakwon Barrett missed Free Throw.,65,89
1:21,2545,Marlain Veal Defensive Rebound.,65,89
1:09,2545,Keith Charleston missed Dunk.,65,89
1:09,2545,SE Louisiana Offensive Rebound.,65,89
1:04,2545,D'Angelo West missed Three Point Jumper.,65,89
1:04,2545,Marlain Veal Offensive Rebound.,65,89
0:52,2545,Brandon Gonzalez missed Layup.,65,89
0:52,2655,Buay Koka Defensive Rebound.,65,89
0:27,2655,Sammis Reyes Turnover.,65,89
0:27,2545,Marlain Veal Steal.,65,89
0:24,2545,Marlain Veal missed Layup.,65,89
0:24,2655,Sammis Reyes Defensive Rebound.,65,89
0:19,2655,Sammis Reyes Turnover.,65,89
0:18,2545,Brandon Gonzalez Steal.,65,89
0:09,2545,Marlain Veal missed Three Point Jumper.,65,89
0:09,2545,James Currington Offensive Rebound.,65,89
0:05,2655,Foul on Riley Conroy.,65,89
0:05,2545,James Currington missed Free Throw.,65,89
0:05,2545,SE Louisiana Deadball Team Rebound.,65,89
0:05,2545,James Currington made Free Throw.,66,89
0:00,2655,End of Game,66,89
