Columbia Internatl,Error,Campbell,2097
13:37,2097,Chris Clemons made Free Throw.,6,17
13:09,-1,Kameron Robinson missed Jumper.,6,17
13:09,2097,Chris Clemons Defensive Rebound.,6,17
13:01,2097,Damontez Oliver missed Three Point Jumper.,6,17
13:01,-1,Gabe Kirk Defensive Rebound.,6,17
12:46,-1,Foul on Kameron Robinson.,6,17
12:46,-1,Kameron Robinson Turnover.,6,17
12:46,2097,Jordan Whitfield made Free Throw.,6,18
12:46,2097,Jordan Whitfield made Free Throw.,6,19
12:26,2097,Foul on Mogga Lado.,6,19
12:26,-1,Druw Rollins made Free Throw.,7,19
12:26,-1,Druw Rollins made Free Throw.,8,19
12:20,2097,Cory Gensler made Three Point Jumper. Assisted by Jordan Whitfield.,8,22
11:59,-1,Druw Rollins Turnover.,8,22
11:58,2097,Mogga Lado Steal.,8,22
11:57,-1,Foul on Gabe Kirk.,8,22
11:57,2097,Official TV Timeout,8,22
11:57,2097,Mogga Lado made Free Throw.,8,23
11:57,2097,Mogga Lado missed Free Throw.,8,23
11:57,-1,Jacob Cook Defensive Rebound.,8,23
11:35,2097,Foul on Jordan Whitfield.,8,23
11:20,-1,Druw Rollins missed Three Point Jumper.,8,23
11:20,2097,Chris Clemons Defensive Rebound.,8,23
11:12,2097,Chris Clemons made Layup.,8,25
10:39,-1,Tyrone DANTZLER Jr. Turnover.,8,25
10:38,2097,Jordan Whitfield Steal.,8,25
10:36,2097,Chris Clemons made Dunk. Assisted by Jordan Whitfield.,8,27
10:15,-1,Tyrone DANTZLER Jr. made Layup.,10,27
9:47,2097,Chris Clemons made Three Point Jumper.,10,30
9:26,-1,Micah Banks made Jumper.,12,30
9:16,2097,Jordan Whitfield missed Three Point Jumper.,12,30
9:16,-1,Tyrone DANTZLER Jr. Defensive Rebound.,12,30
9:10,2097,Foul on Chris Clemons.,12,30
9:00,-1,Kameron Robinson Turnover.,12,30
8:40,2097,Ja'Cor Nelson missed Three Point Jumper.,12,30
8:40,-1,Gabe Kirk Defensive Rebound.,12,30
8:30,-1,Jordan Dillingham missed Layup.,12,30
8:30,2097,Jordan Whitfield Defensive Rebound.,12,30
8:21,2097,Ja'Cor Nelson made Layup. Assisted by Jordan Whitfield.,12,32
8:06,-1,Jordan Dillingham made Jumper.,14,32
7:42,2097,Mogga Lado made Dunk. Assisted by Chris Clemons.,14,34
7:14,-1,Gabe Kirk missed Layup.,14,34
7:14,2097,Ja'Cor Nelson Defensive Rebound.,14,34
7:08,2097,Chris Clemons missed Three Point Jumper.,14,34
7:08,-1,Jordan Dillingham Defensive Rebound.,14,34
6:58,-1,Jordan Dillingham missed Layup.,14,34
6:58,2097,Ja'Cor Nelson Defensive Rebound.,14,34
6:52,2097,Jordan Whitfield made Layup. Assisted by Ja'Cor Nelson.,14,36
6:50,-1,Columbia International  Timeout,14,36
6:50,2097,Official TV Timeout,14,36
6:37,-1,Jacob Cook made Jumper.,16,36
6:10,2097,Chris Clemons made Three Point Jumper. Assisted by Shane Whitfield.,16,39
5:34,-1,Micah Banks made Layup. Assisted by Tyrone DANTZLER Jr..,18,39
5:21,2097,Chris Clemons made Three Point Jumper.,18,42
4:51,2097,Foul on Mogga Lado.,18,42
4:51,-1,Jordan Dillingham Turnover.,18,42
4:40,2097,Shane Whitfield missed Three Point Jumper.,18,42
4:40,-1,Damian Hurta Defensive Rebound.,18,42
4:24,-1,Micah Banks missed Three Point Jumper.,18,42
4:24,2097,Marcus Burk Defensive Rebound.,18,42
4:14,-1,Foul on Micah Banks.,18,42
4:14,2097,Brooks Cluxton missed Free Throw.,18,42
4:14,2097,Campbell Deadball Team Rebound.,18,42
4:14,2097,Brooks Cluxton missed Free Throw.,18,42
4:14,2097,Andrew Eudy Offensive Rebound.,18,42
4:09,2097,Nick Parker missed Three Point Jumper.,18,42
4:09,2097,Andrew Eudy Offensive Rebound.,18,42
3:50,2097,Brooks Cluxton made Layup.,18,44
3:31,2097,Foul on Marcus Burk.,18,44
3:31,2097,Official TV Timeout,18,44
3:31,2097,Foul on Andrew Eudy.,18,44
3:21,-1,Jacob Cook missed Jumper.,18,44
3:21,2097,Andrew Eudy Defensive Rebound.,18,44
3:05,2097,Nick Parker made Three Point Jumper. Assisted by Shane Whitfield.,18,47
2:40,-1,Druw Rollins made Jumper. Assisted by Jordan Dillingham.,20,47
2:16,2097,Nick Parker missed Three Point Jumper.,20,47
2:16,-1,Columbia International Defensive Rebound.,20,47
1:52,-1,Micah Banks missed Jumper.,20,47
1:52,2097,Nick Parker Defensive Rebound.,20,47
1:45,2097,Shane Whitfield made Layup. Assisted by Nick Parker.,20,49
1:22,-1,Jordan Dillingham missed Jumper.,20,49
1:22,2097,Nick Parker Defensive Rebound.,20,49
1:15,2097,Marcus Burk missed Three Point Jumper.,20,49
1:15,2097,Brooks Cluxton Offensive Rebound.,20,49
1:09,2097,Marcus Burk Turnover.,20,49
0:55,-1,Tyrone DANTZLER Jr. missed Layup.,20,49
0:55,2097,Brooks Cluxton Defensive Rebound.,20,49
0:47,2097,Jordan Whitfield Turnover.,20,49
0:32,-1,Druw Rollins missed Layup.,20,49
0:32,2097,Brooks Cluxton Block.,20,49
0:31,2097,Brooks Cluxton Defensive Rebound.,20,49
0:14,2097,Jordan Whitfield Turnover.,20,49
0:07,-1,Micah Banks made Jumper.,22,49
0:00,2097,End of 1st half,22,49
19:46,-1,Micah Banks made Jumper.,24,49
19:33,2097,Andrew Eudy made Jumper.,24,51
19:13,-1,Jordan Dillingham missed Three Point Jumper.,24,51
19:13,2097,Andrew Eudy Defensive Rebound.,24,51
19:04,2097,Cory Gensler made Three Point Jumper. Assisted by Shane Whitfield.,24,54
18:43,-1,Gabe Kirk Turnover.,24,54
18:41,2097,Cory Gensler Steal.,24,54
18:38,2097,Marcus Burk missed Three Point Jumper.,24,54
18:38,2097,Andrew Eudy Offensive Rebound.,24,54
18:21,2097,Andrew Eudy made Dunk. Assisted by Chris Clemons.,24,56
18:10,-1,Columbia International  Timeout,24,56
18:10,2097,Official TV Timeout,24,56
17:53,-1,Damian Hurta missed Three Point Jumper.,24,56
17:53,2097,Cory Gensler Defensive Rebound.,24,56
17:42,2097,Shane Whitfield Turnover.,24,56
17:28,-1,Jordan Dillingham Turnover.,24,56
17:26,2097,Chris Clemons Steal.,24,56
17:25,2097,Chris Clemons made Dunk.,24,58
17:06,-1,Gabe Kirk Turnover.,24,58
17:04,2097,Marcus Burk Steal.,24,58
17:03,2097,Marcus Burk made Dunk.,24,60
16:41,-1,Damian Hurta missed Three Point Jumper.,24,60
16:41,2097,Cory Gensler Defensive Rebound.,24,60
16:19,-1,Foul on Gabe Kirk.,24,60
16:19,2097,Cory Gensler made Free Throw.,24,61
16:19,2097,Cory Gensler made Free Throw.,24,62
16:02,-1,Kameron Robinson Turnover.,24,62
16:01,2097,Andrew Eudy Steal.,24,62
15:59,2097,Andrew Eudy Turnover.,24,62
15:59,2097,Official TV Timeout,24,62
15:52,-1,Micah Banks Turnover.,24,62
15:36,2097,Chris Clemons missed Three Point Jumper.,24,62
15:36,-1,Tyrone DANTZLER Jr. Defensive Rebound.,24,62
15:28,2097,Foul on Andrew Eudy.,24,62
15:28,-1,Druw Rollins made Free Throw.,25,62
15:28,-1,Druw Rollins made Free Throw.,26,62
15:12,2097,Damontez Oliver missed Three Point Jumper.,26,62
15:12,2097,Cory Gensler Offensive Rebound.,26,62
15:01,2097,Mogga Lado made Layup. Assisted by Cory Gensler.,26,64
15:01,-1,Foul on Druw Rollins.,26,64
15:01,2097,Mogga Lado made Free Throw.,26,65
14:43,-1,Kameron Robinson Turnover.,26,65
14:30,2097,Chris Clemons made Layup.,26,67
14:22,-1,Kameron Robinson made Jumper.,28,67
14:08,2097,Chris Clemons made Layup.,28,69
14:08,-1,Foul on Druw Rollins.,28,69
14:08,2097,Chris Clemons made Free Throw.,28,70
13:48,2097,Brooks Cluxton missed Layup.,28,70
13:48,-1,Damian Hurta Defensive Rebound.,28,70
13:41,2097,Mogga Lado missed Layup.,28,70
13:41,2097,Brooks Cluxton Offensive Rebound.,28,70
13:38,2097,Brooks Cluxton missed Layup.,28,70
13:10,-1,Juraj Rovis Defensive Rebound.,28,70
13:10,2097,Foul on Jordan Whitfield.,28,70
13:10,2097,Foul on Brooks Cluxton.,28,70
12:52,-1,Christian Williams Turnover.,28,70
12:51,2097,Brooks Cluxton Steal.,28,70
12:48,-1,Foul on Tyrone DANTZLER Jr..,28,70
12:48,2097,Damontez Oliver missed Free Throw.,28,70
12:48,2097,Campbell Deadball Team Rebound.,28,70
12:48,2097,Damontez Oliver made Free Throw.,28,71
12:43,-1,Christian Williams Turnover.,28,71
12:35,2097,Jordan Whitfield Turnover.,28,71
12:15,-1,Juraj Rovis Turnover.,28,71
12:15,2097,Mogga Lado Steal.,28,71
12:12,2097,Mogga Lado made Layup.,28,73
11:45,-1,Tyrone DANTZLER Jr. missed Jumper.,28,73
11:45,-1,Juraj Rovis Offensive Rebound.,28,73
11:44,2097,Foul on Mogga Lado.,28,73
11:44,2097,Official TV Timeout,28,73
11:44,-1,Juraj Rovis missed Free Throw.,28,73
11:44,-1,Columbia International Deadball Team Rebound.,28,73
11:44,-1,Juraj Rovis made Free Throw.,29,73
11:27,-1,Foul on Jordan Dillingham.,29,73
11:27,2097,Ja'Cor Nelson made Free Throw.,29,74
11:27,2097,Ja'Cor Nelson missed Free Throw.,29,74
11:27,-1,Jordan Dillingham Defensive Rebound.,29,74
11:02,-1,Juraj Rovis Turnover.,29,74
11:01,2097,Ja'Cor Nelson Steal.,29,74
10:58,2097,Jordan Whitfield made Layup. Assisted by Ja'Cor Nelson.,29,76
10:30,-1,Juraj Rovis made Jumper.,31,76
10:16,2097,Jordan Whitfield made Jumper. Assisted by Andrew Eudy.,31,78
9:54,2097,Foul on Brooks Cluxton.,31,78
9:54,-1,Damian Hurta missed Free Throw.,31,78
9:54,-1,Columbia International Deadball Team Rebound.,31,78
9:54,-1,Damian Hurta missed Free Throw.,31,78
9:54,-1,Columbia International Deadball Team Rebound.,31,78
9:54,-1,Damian Hurta made Free Throw.,32,78
9:51,-1,Tyrone DANTZLER Jr. missed Jumper.,32,78
9:51,2097,Chris Clemons Defensive Rebound.,32,78
9:38,2097,Ja'Cor Nelson missed Three Point Jumper.,32,78
9:38,-1,Jacob Cook Defensive Rebound.,32,78
9:32,-1,Micah Banks made Layup. Assisted by Damian Hurta.,34,78
9:14,2097,Brooks Cluxton made Layup.,34,80
9:14,-1,Columbia International  Timeout,34,80
9:00,2097,Ja'Cor Nelson made Dunk.,34,82
8:33,-1,Tyrone DANTZLER Jr. missed Layup.,34,82
8:33,2097,Damontez Oliver Defensive Rebound.,34,82
8:27,2097,Brooks Cluxton missed Layup.,34,82
8:27,2097,Brooks Cluxton Offensive Rebound.,34,82
8:26,-1,Foul on Tyrone DANTZLER Jr..,34,82
8:16,-1,Foul on Jacob Cook.,34,82
8:16,2097,Brooks Cluxton missed Free Throw.,34,82
8:16,-1,Columbia International Defensive Rebound.,34,82
8:16,2097,Foul on Jon Ander Cuadra.,34,82
8:04,-1,Kameron Robinson missed Jumper.,34,82
8:04,-1,Kameron Robinson Offensive Rebound.,34,82
7:54,-1,Jacob Cook missed Layup.,34,82
7:54,-1,Jacob Cook Offensive Rebound.,34,82
7:50,-1,Jacob Cook made Jumper.,36,82
7:36,2097,Official TV Timeout,36,82
7:28,2097,Nick Parker made Layup. Assisted by Damontez Oliver.,36,84
7:07,-1,Jordan Dillingham missed Jumper.,36,84
7:07,2097,Brooks Cluxton Defensive Rebound.,36,84
7:01,2097,Damontez Oliver missed Three Point Jumper.,36,84
7:01,-1,Gabe Kirk Defensive Rebound.,36,84
6:57,-1,Foul on Jacob Cook.,36,84
6:57,2097,Jon Ander Cuadra missed Free Throw.,36,84
6:57,2097,Campbell Deadball Team Rebound.,36,84
6:57,2097,Jon Ander Cuadra made Free Throw.,36,85
6:56,-1,Foul on Jacob Cook.,36,85
6:56,2097,Brooks Cluxton missed Free Throw.,36,85
6:56,2097,Campbell Deadball Team Rebound.,36,85
6:56,2097,Brooks Cluxton made Free Throw.,36,86
6:47,-1,Druw Rollins missed Layup.,36,86
6:47,2097,Jon Ander Cuadra Block.,36,86
6:47,-1,Columbia International Offensive Rebound.,36,86
6:33,-1,Tyrone DANTZLER Jr. Turnover.,36,86
6:32,2097,Nick Greely Steal.,36,86
6:19,2097,Jon Ander Cuadra made Three Point Jumper. Assisted by Nick Greely.,36,89
5:48,-1,Jacob Cook missed Layup.,36,89
5:48,2097,Brooks Cluxton Defensive Rebound.,36,89
5:40,2097,Ja'Cor Nelson Turnover.,36,89
5:38,-1,Tyrone DANTZLER Jr. Steal.,36,89
5:31,-1,Druw Rollins made Layup.,38,89
5:12,2097,Jon Ander Cuadra made Three Point Jumper. Assisted by Ja'Cor Nelson.,38,92
4:51,-1,Druw Rollins missed Three Point Jumper.,38,92
4:51,2097,Nick Parker Defensive Rebound.,38,92
4:43,2097,Ja'Cor Nelson missed Three Point Jumper.,38,92
4:43,-1,Gabe Kirk Defensive Rebound.,38,92
4:21,-1,Gabe Kirk Turnover.,38,92
4:20,2097,Brooks Cluxton Steal.,38,92
4:12,2097,Nick Greely made Layup. Assisted by Jordan Whitfield.,38,94
4:12,-1,Foul on Andrew Barnes.,38,94
4:12,2097,Nick Greely missed Free Throw.,38,94
4:12,-1,Juraj Rovis Defensive Rebound.,38,94
3:58,-1,Juraj Rovis made Three Point Jumper. Assisted by Druw Rollins.,41,94
3:43,2097,Nick Greely made Jumper. Assisted by Nick Parker.,41,96
3:36,2097,Foul on Nick Greely.,41,96
3:36,2097,Official TV Timeout,41,96
3:36,-1,Juraj Rovis missed Free Throw.,41,96
3:36,2097,Brooks Cluxton Defensive Rebound.,41,96
3:10,2097,Wyatt Self missed Three Point Jumper.,41,96
3:10,-1,Damian Hurta Defensive Rebound.,41,96
2:56,2097,Foul on Nick Greely.,41,96
2:56,-1,Juraj Rovis missed Free Throw.,41,96
2:56,2097,Brooks Cluxton Defensive Rebound.,41,96
2:35,2097,Nick Greely Turnover.,41,96
2:35,2097,Foul on Nick Greely.,41,96
2:27,-1,Juraj Rovis Turnover.,41,96
2:27,-1,Foul on Juraj Rovis.,41,96
2:17,-1,Foul on Juraj Rovis.,41,96
2:17,2097,Nick Greely made Free Throw.,41,97
2:17,2097,Nick Greely made Free Throw.,41,98
1:59,-1,Christian Williams Turnover.,41,98
1:58,2097,Wyatt Self Steal.,41,98
1:56,-1,Foul on Gabe Kirk.,41,98
1:56,2097,Jon Ander Cuadra made Free Throw.,41,99
1:56,2097,Jon Ander Cuadra made Free Throw.,41,100
1:44,2097,Foul on Brooks Cluxton.,41,100
1:44,-1,Druw Rollins made Free Throw.,42,100
1:44,-1,Druw Rollins missed Free Throw.,42,100
1:44,2097,Brooks Cluxton Defensive Rebound.,42,100
1:31,2097,Wyatt Self made Three Point Jumper. Assisted by Nick Parker.,42,103
1:21,-1,Kameron Robinson missed Layup.,42,103
1:21,2097,Jon Ander Cuadra Defensive Rebound.,42,103
1:10,2097,Jon Ander Cuadra made Three Point Jumper. Assisted by Brooks Cluxton.,42,106
0:44,2097,Foul on Brooks Cluxton.,42,106
0:44,-1,Druw Rollins made Free Throw.,43,106
0:44,-1,Druw Rollins made Free Throw.,44,106
0:27,2097,Jon Ander Cuadra made Jumper.,44,108
0:02,-1,Druw Rollins Turnover.,44,108
0:00,2097,End of Game,44,108
