Mobile,Error,South Alabama,6
11:40,6,Foul on Kevin Morris.,5,10
11:35,-1,D.J. Hill missed Jumper.,5,10
11:35,-1,JaBarie Escoffery Offensive Rebound.,5,10
11:31,-1,JaBarie Escoffery made Jumper.,7,10
11:17,6,Nick Davis Turnover.,7,10
10:53,-1,Tony-Toni Wright missed Jumper.,7,10
10:53,6,Josh Ajayi Block.,7,10
10:51,6,Kevin Morris Defensive Rebound.,7,10
10:45,6,John Pettway made Jumper. Assisted by Trhae Mitchell.,7,12
10:20,-1,Tony-Toni Wright missed Jumper.,7,12
10:20,6,Trhae Mitchell Defensive Rebound.,7,12
10:03,6,Rodrick Sikes missed Three Point Jumper.,7,12
10:03,6,Josh Ajayi Offensive Rebound.,7,12
9:56,6,Kevin Morris Turnover.,7,12
9:44,-1,Tony-Toni Wright Turnover.,7,12
9:44,-1,Foul on Tony-Toni Wright.,7,12
9:34,6,Kevin Morris Turnover.,7,12
9:34,6,Foul on Kevin Morris.,7,12
9:10,6,Foul on John Pettway.,7,12
9:10,-1,Andre Elam made Free Throw.,8,12
9:10,-1,Andre Elam missed Free Throw.,8,12
9:10,6,Trhae Mitchell Defensive Rebound.,8,12
8:52,6,Rozelle Nix Turnover.,8,12
8:52,6,Foul on Rozelle Nix.,8,12
8:37,-1,Xavier Howard made Three Point Jumper. Assisted by Andre Elam.,11,12
8:18,-1,Foul on Andre Elam.,11,12
8:18,6,Josh Ajayi made Free Throw.,11,13
8:18,6,Josh Ajayi made Free Throw.,11,14
8:02,-1,Tyler Williams Turnover.,11,14
8:02,-1,Foul on Tyler Williams.,11,14
7:45,6,Trhae Mitchell made Three Point Jumper. Assisted by Rozelle Nix.,11,17
7:37,-1,Xavier Howard missed Three Point Jumper.,11,17
7:37,6,Trhae Mitchell Defensive Rebound.,11,17
7:19,6,Rozelle Nix Turnover.,11,17
7:19,6,Foul on Rozelle Nix.,11,17
7:06,-1,Xavier Howard missed Jumper.,11,17
7:06,6,Josh Ajayi Defensive Rebound.,11,17
6:57,6,Jordan Andrews made Three Point Jumper. Assisted by Trhae Mitchell.,11,20
6:38,-1,Andre Elam missed Jumper.,11,20
6:38,6,Herb McGee Defensive Rebound.,11,20
6:36,-1,Foul on Ricardo Greaves.,11,20
6:36,6,Herb McGee missed Free Throw.,11,20
6:36,6,South Alabama Deadball Team Rebound.,11,20
6:36,6,Herb McGee missed Free Throw.,11,20
6:36,6,Josh Ajayi Offensive Rebound.,11,20
6:33,-1,Foul on Andre Elam.,11,20
6:33,6,Josh Ajayi missed Free Throw.,11,20
6:33,6,South Alabama Deadball Team Rebound.,11,20
6:33,6,Josh Ajayi made Free Throw.,11,21
6:04,6,Foul on Joe Thompson.,11,21
6:04,-1,Andre Elam missed Free Throw.,11,21
6:04,-1,Mobile Deadball Team Rebound.,11,21
6:04,-1,Andre Elam made Free Throw.,12,21
5:49,6,Josh Ajayi missed Jumper.,12,21
5:49,-1,Ricardo Greaves Defensive Rebound.,12,21
5:25,-1,Xavier Howard missed Jumper.,12,21
5:25,6,Josh Ajayi Defensive Rebound.,12,21
5:17,6,Herb McGee Turnover.,12,21
4:52,-1,JaBarie Escoffery made Jumper.,14,21
4:26,6,Jordan Andrews Turnover.,14,21
4:25,-1,Andre Elam Steal.,14,21
4:21,-1,Tyler Williams made Jumper.,16,21
4:18,6,South Alabama  Timeout,16,21
4:04,6,Josh Ajayi Turnover.,16,21
3:48,-1,Andre Elam Turnover.,16,21
3:47,6,Nick Davis Steal.,16,21
3:37,6,Nick Davis Turnover.,16,21
3:35,-1,JaBarie Escoffery Steal.,16,21
3:11,-1,Andre Elam missed Layup.,16,21
3:11,6,Rodrick Sikes Block.,16,21
3:09,6,Josh Ajayi Defensive Rebound.,16,21
2:59,6,Josh Ajayi missed Layup.,16,21
2:59,-1,Andre Elam Defensive Rebound.,16,21
2:50,-1,JaBarie Escoffery made Jumper.,18,21
2:28,6,Rodrick Sikes made Layup.,18,23
2:28,-1,Foul on Tyler Williams.,18,23
2:28,6,Rodrick Sikes missed Free Throw.,18,23
2:28,-1,Cameron Tutt Defensive Rebound.,18,23
2:16,-1,JaBarie Escoffery made Layup.,20,23
1:58,-1,Foul on Ricardo Greaves.,20,23
1:58,6,Jordan Andrews made Free Throw.,20,24
1:58,6,Jordan Andrews made Free Throw.,20,25
1:39,-1,Tyler Williams made Three Point Jumper. Assisted by Cameron Tutt.,23,25
1:26,6,Nick Davis made Layup.,23,27
1:06,-1,Andre Elam missed Jumper.,23,27
1:06,-1,JaBarie Escoffery Offensive Rebound.,23,27
1:05,-1,JaBarie Escoffery made Layup.,25,27
0:39,6,Rodrick Sikes made Layup.,25,29
0:23,-1,Cameron Tutt Turnover.,25,29
0:00,6,Jordan Andrews missed Layup.,25,29
0:00,-1,Tyler Williams Defensive Rebound.,25,29
0:00,6,End of 1st half,25,29
19:42,6,Rozelle Nix made Layup. Assisted by Dederick Lee.,25,31
19:21,-1,D.J. Hill missed Three Point Jumper.,25,31
19:21,6,Trhae Mitchell Defensive Rebound.,25,31
19:03,6,Josh Ajayi made Three Point Jumper. Assisted by Trhae Mitchell.,25,34
18:52,-1,Mobile  Timeout,25,34
18:29,-1,Tony-Toni Wright missed Jumper.,25,34
18:29,6,Trhae Mitchell Block.,25,34
18:27,6,Josh Ajayi Defensive Rebound.,25,34
18:08,-1,Foul on Will Stanford.,25,34
18:08,6,Jordan Andrews made Free Throw.,25,35
18:08,6,Jordan Andrews made Free Throw.,25,36
17:47,-1,D.J. Hill made Layup.,27,36
17:43,6,Dederick Lee Turnover.,27,36
17:43,6,Foul on Dederick Lee.,27,36
17:22,-1,JaBarie Escoffery missed Layup.,27,36
17:22,6,Trhae Mitchell Block.,27,36
17:21,-1,Tony-Toni Wright Offensive Rebound.,27,36
17:16,-1,Tony-Toni Wright Turnover.,27,36
17:15,6,Jordan Andrews Steal.,27,36
17:10,6,Trhae Mitchell missed Layup.,27,36
17:10,6,Dederick Lee Offensive Rebound.,27,36
17:04,-1,Foul on D.J. Hill.,27,36
17:04,6,Jordan Andrews made Free Throw.,27,37
17:04,6,Jordan Andrews made Free Throw.,27,38
17:04,6,Jordan Andrews made Free Throw.,27,39
16:51,-1,Xavier Howard made Jumper.,29,39
16:35,6,Jordan Andrews made Jumper.,29,41
16:27,-1,D.J. Hill missed Layup.,29,41
16:27,6,Josh Ajayi Defensive Rebound.,29,41
16:18,6,Rozelle Nix made Layup. Assisted by Dederick Lee.,29,43
15:52,-1,Tony-Toni Wright missed Jumper.,29,43
15:52,6,Josh Ajayi Defensive Rebound.,29,43
15:41,6,Jordan Andrews made Three Point Jumper. Assisted by Trhae Mitchell.,29,46
15:07,-1,JaBarie Escoffery made Jumper.,31,46
14:41,-1,Foul on Andre Elam.,31,46
14:41,6,Official TV Timeout,31,46
14:25,6,Josh Ajayi Turnover.,31,46
14:17,-1,D.J. Hill missed Jumper.,31,46
14:17,6,Nick Davis Defensive Rebound.,31,46
14:11,6,Nick Davis made Layup. Assisted by Trhae Mitchell.,31,48
14:11,-1,Foul on JaBarie Escoffery.,31,48
14:11,6,Nick Davis made Free Throw.,31,49
13:58,-1,JaBarie Escoffery Turnover.,31,49
13:57,6,Rodrick Sikes Steal.,31,49
13:50,6,Nick Davis missed Three Point Jumper.,31,49
13:50,6,Trhae Mitchell Offensive Rebound.,31,49
13:45,-1,Foul on JaBarie Escoffery.,31,49
13:45,6,Trhae Mitchell missed Free Throw.,31,49
13:45,6,South Alabama Deadball Team Rebound.,31,49
13:45,6,Trhae Mitchell made Free Throw.,31,50
13:41,-1,Tony-Toni Wright made Layup. Assisted by D.J. Hill.,33,50
13:26,6,Nick Davis made Dunk. Assisted by Dederick Lee.,33,52
13:08,-1,Cameron Tutt missed Layup.,33,52
13:08,6,Nick Davis Block.,33,52
13:06,6,Kevin Morris Defensive Rebound.,33,52
12:40,6,Dederick Lee missed Three Point Jumper.,33,52
12:40,-1,Cameron Tutt Defensive Rebound.,33,52
12:32,-1,Xavier Howard missed Three Point Jumper.,33,52
12:32,6,Kevin Morris Defensive Rebound.,33,52
12:13,6,Nick Davis missed Three Point Jumper.,33,52
12:13,6,Kevin Morris Offensive Rebound.,33,52
12:02,6,Nick Davis Turnover.,33,52
12:02,6,Foul on Nick Davis.,33,52
11:44,-1,Andre Elam missed Layup.,33,52
11:44,-1,Cameron Tutt Offensive Rebound.,33,52
11:41,6,Foul on Herb McGee.,33,52
11:41,6,Official TV Timeout,33,52
11:41,-1,Cameron Tutt made Free Throw.,34,52
11:41,-1,Cameron Tutt made Free Throw.,35,52
11:29,6,Jordan Andrews missed Three Point Jumper.,35,52
11:29,-1,D.J. Hill Defensive Rebound.,35,52
11:06,-1,JaBarie Escoffery missed Three Point Jumper.,35,52
11:06,6,Jordan Andrews Defensive Rebound.,35,52
10:58,6,Rodrick Sikes made Three Point Jumper. Assisted by Jordan Andrews.,35,55
10:36,6,Foul on Kevin Morris.,35,55
10:36,-1,Xavier Howard missed Free Throw.,35,55
10:36,-1,Mobile Deadball Team Rebound.,35,55
10:36,-1,Xavier Howard missed Free Throw.,35,55
10:36,6,Kevin Morris Defensive Rebound.,35,55
10:25,-1,Foul on Andre Elam.,35,55
10:25,6,Rodrick Sikes made Free Throw.,35,56
10:25,6,Rodrick Sikes made Free Throw.,35,57
10:08,6,Foul on Kevin Morris.,35,57
10:08,-1,Tony-Toni Wright missed Free Throw.,35,57
10:08,-1,Mobile Deadball Team Rebound.,35,57
10:08,-1,Tony-Toni Wright made Free Throw.,36,57
9:56,6,Jordan Andrews Turnover.,36,57
9:55,-1,D.J. Hill Steal.,36,57
9:37,-1,Tyler Williams made Jumper.,38,57
9:18,6,Joe Thompson missed Jumper.,38,57
9:18,-1,Cameron Tutt Defensive Rebound.,38,57
9:08,-1,Tyler Williams made Three Point Jumper.,41,57
9:03,6,South Alabama  Timeout,41,57
8:42,6,Rozelle Nix Turnover.,41,57
8:42,6,Foul on Rozelle Nix.,41,57
8:20,-1,Tyler Williams Turnover.,41,57
8:20,-1,Foul on Tyler Williams.,41,57
8:02,-1,Foul on Tony-Toni Wright.,41,57
8:02,6,Rozelle Nix missed Free Throw.,41,57
8:02,-1,Tony-Toni Wright Defensive Rebound.,41,57
7:42,-1,Tyler Williams missed Layup.,41,57
7:42,6,Rozelle Nix Defensive Rebound.,41,57
7:32,6,Jordan Andrews missed Three Point Jumper.,41,57
7:32,-1,Tony-Toni Wright Defensive Rebound.,41,57
7:21,-1,D.J. Hill missed Layup.,41,57
7:21,6,Joe Thompson Defensive Rebound.,41,57
7:19,6,Rozelle Nix Turnover.,41,57
7:19,6,Official TV Timeout,41,57
7:13,-1,Tyler Williams missed Layup.,41,57
7:13,6,Josh Ajayi Block.,41,57
7:12,-1,Mobile Offensive Rebound.,41,57
7:08,6,Foul on Trhae Mitchell.,41,57
7:08,-1,Tyler Williams made Free Throw.,42,57
7:08,-1,Tyler Williams made Free Throw.,43,57
6:41,6,Josh Ajayi made Jumper. Assisted by Dederick Lee.,43,59
6:20,-1,Tyler Williams missed Three Point Jumper.,43,59
6:20,6,South Alabama Defensive Rebound.,43,59
5:58,6,Josh Ajayi Turnover.,43,59
5:30,-1,Cameron Tutt made Layup.,45,59
5:14,6,Joe Thompson missed Three Point Jumper.,45,59
5:14,-1,D.J. Hill Defensive Rebound.,45,59
5:06,6,Foul on Rodrick Sikes.,45,59
5:06,-1,D.J. Hill missed Free Throw.,45,59
5:06,-1,Mobile Deadball Team Rebound.,45,59
5:06,-1,D.J. Hill made Free Throw.,46,59
4:47,6,Nick Davis made Dunk. Assisted by Josh Ajayi.,46,61
4:28,-1,Tony-Toni Wright made Layup. Assisted by Cameron Tutt.,48,61
4:00,6,Nick Davis Turnover.,48,61
3:59,-1,Tyler Williams Steal.,48,61
3:54,-1,Cameron Tutt missed Layup.,48,61
3:54,6,Rodrick Sikes Defensive Rebound.,48,61
3:40,6,Trhae Mitchell made Jumper. Assisted by Rodrick Sikes.,48,63
3:20,-1,Cameron Tutt missed Layup.,48,63
3:20,6,Nick Davis Block.,48,63
3:18,-1,Tony-Toni Wright Offensive Rebound.,48,63
3:14,-1,Cameron Tutt missed Layup.,48,63
3:14,6,Trhae Mitchell Defensive Rebound.,48,63
3:09,6,Rodrick Sikes made Dunk.,48,65
2:50,6,Official TV Timeout,48,65
2:50,-1,Tony-Toni Wright missed Layup.,48,65
2:50,6,Rodrick Sikes Block.,48,65
2:50,-1,Tony-Toni Wright Offensive Rebound.,48,65
2:48,6,Foul on Josh Ajayi.,48,65
2:48,-1,Andre Elam missed Free Throw.,48,65
2:48,-1,Mobile Deadball Team Rebound.,48,65
2:48,-1,Andre Elam made Free Throw.,49,65
2:31,6,Nick Davis made Jumper.,49,67
2:06,-1,Tony-Toni Wright missed Layup.,49,67
2:06,6,Nick Davis Defensive Rebound.,49,67
1:50,-1,Foul on Andre Elam.,49,67
1:50,6,Nick Davis made Free Throw.,49,68
1:50,6,Nick Davis made Free Throw.,49,69
1:34,-1,Tony-Toni Wright missed Layup.,49,69
1:34,6,Nick Davis Block.,49,69
1:32,6,Kevin Morris Defensive Rebound.,49,69
1:28,6,Devin Epps Turnover.,49,69
1:28,-1,Darvin Jones Steal.,49,69
1:17,-1,Ricardo Greaves Turnover.,49,69
0:55,6,Nick Davis missed Three Point Jumper.,49,69
0:55,-1,JaBarie Escoffery Defensive Rebound.,49,69
0:48,-1,Trenton Short missed Three Point Jumper.,49,69
0:48,6,Nick Davis Defensive Rebound.,49,69
0:19,-1,Foul on Trenton Short.,49,69
0:19,6,A.J. Caldwell missed Free Throw.,49,69
0:19,6,South Alabama Deadball Team Rebound.,49,69
0:19,6,A.J. Caldwell made Free Throw.,49,70
0:19,6,A.J. Caldwell made Free Throw.,49,71
0:07,-1,Darvin Jones missed Layup.,49,71
0:07,-1,Cameron Tutt Offensive Rebound.,49,71
0:02,6,Foul on Kevin Morris.,49,71
0:02,-1,Cameron Tutt missed Free Throw.,49,71
0:02,-1,Mobile Deadball Team Rebound.,49,71
0:02,-1,Cameron Tutt missed Free Throw.,49,71
0:02,6,Nick Davis Defensive Rebound.,49,71
0:00,6,End of Game,49,71
