Reinhardt,Error,Tennessee State,2634
15:35,-1,Scott Hundt missed Three Point Jumper.,36,57
15:35,2634,Ken'Darrius Hamilton Defensive Rebound.,36,57
15:26,2634,Daniel Cummings missed Three Point Jumper.,36,57
15:26,-1,Dwight Sanders Defensive Rebound.,36,57
15:19,2634,Official TV Timeout,36,57
15:07,-1,Scott Hundt made Three Point Jumper. Assisted by James Jackson III.,39,57
14:44,2634,Kamar McKnight made Three Point Jumper. Assisted by Armani Chaney.,39,60
14:36,-1,Michael Mays missed Three Point Jumper.,39,60
14:36,-1,Jervon Walker Offensive Rebound.,39,60
14:31,-1,Jervon Walker missed Layup.,39,60
14:31,2634,Ken'Darrius Hamilton Block.,39,60
14:30,-1,Jervon Walker Offensive Rebound.,39,60
14:29,-1,Jervon Walker missed Layup.,39,60
14:29,2634,Ken'Darrius Hamilton Block.,39,60
14:29,-1,Reinhardt Offensive Rebound.,39,60
14:21,-1,Scott Hundt missed Three Point Jumper.,39,60
14:21,2634,Ken'Darrius Hamilton Defensive Rebound.,39,60
14:13,2634,A.C. Reid made Three Point Jumper. Assisted by Tripp Davis.,39,63
13:58,-1,Michael Mays missed Layup.,39,63
13:58,2634,Ken'Darrius Hamilton Block.,39,63
13:56,-1,James Jackson III Offensive Rebound.,39,63
13:53,-1,James Jackson III missed Three Point Jumper.,39,63
13:53,2634,Kamar McKnight Defensive Rebound.,39,63
13:38,2634,A.C. Reid Turnover.,39,63
13:18,-1,Scott Hundt made Three Point Jumper.,42,63
12:58,2634,Ken'Darrius Hamilton made Layup.,42,65
12:51,-1,Scott Hundt missed Three Point Jumper.,42,65
12:51,2634,Tripp Davis Defensive Rebound.,42,65
12:39,2634,Ken'Darrius Hamilton made Layup. Assisted by Kamar McKnight.,42,67
12:33,-1,James Jackson III Turnover.,42,67
12:32,2634,Tripp Davis Steal.,42,67
12:10,2634,Ken'Darrius Hamilton made Jumper. Assisted by Tripp Davis.,42,69
11:53,2634,Foul on A.C. Reid.,42,69
11:53,2634,Official TV Timeout,42,69
11:45,-1,Nick Staiti Turnover.,42,69
11:22,2634,Ken'Darrius Hamilton made Layup.,42,71
11:03,-1,Kody Eden missed Layup.,42,71
11:03,2634,Christian Mekowulu Block.,42,71
11:01,-1,Reinhardt Offensive Rebound.,42,71
10:49,-1,Kody Eden missed Three Point Jumper.,42,71
10:49,2634,Christian Mekowulu Block.,42,71
10:47,-1,Reinhardt Deadball Team Rebound.,42,71
10:47,-1,Reinhardt  Turnover.,42,71
10:26,-1,Foul on James Jackson III.,42,71
10:12,2634,Christian Mekowulu missed Three Point Jumper.,42,71
10:12,-1,Cody Carden Defensive Rebound.,42,71
10:04,-1,Cody Carden missed Three Point Jumper.,42,71
10:04,2634,Ken'Darrius Hamilton Defensive Rebound.,42,71
9:39,2634,Christian Mekowulu made Dunk. Assisted by Tripp Davis.,42,73
9:39,-1,Foul on James Jackson III.,42,73
9:39,2634,Christian Mekowulu made Free Throw.,42,74
9:21,-1,Kody Eden Turnover.,42,74
9:19,2634,Tripp Davis Steal.,42,74
9:07,2634,Ken'Darrius Hamilton made Three Point Jumper.,42,77
8:52,-1,Kody Eden made Layup. Assisted by Melvin Irvin.,44,77
8:24,2634,Christian Mekowulu Turnover.,44,77
8:17,2634,Foul on Tripp Davis.,44,77
8:10,-1,Kody Eden missed Three Point Jumper.,44,77
8:10,2634,Christian Mekowulu Defensive Rebound.,44,77
7:46,2634,Delano Spencer made Three Point Jumper. Assisted by Darreon Reddick.,44,80
7:33,-1,Dwight Sanders Turnover.,44,80
7:32,2634,Christian Mekowulu Steal.,44,80
7:06,2634,Delano Spencer made Jumper.,44,82
6:53,-1,Foul on Kody Eden.,44,82
6:53,-1,Kody Eden Turnover.,44,82
6:53,2634,Official TV Timeout,44,82
6:35,2634,Armani Chaney missed Three Point Jumper.,44,82
6:35,-1,Melvin Irvin Defensive Rebound.,44,82
6:22,2634,Foul on Stokley Chaffee Jr..,44,82
6:12,-1,Dwight Sanders made Three Point Jumper. Assisted by Melvin Irvin.,47,82
5:48,2634,Darreon Reddick missed Three Point Jumper.,47,82
5:48,-1,Reinhardt Defensive Rebound.,47,82
5:34,-1,Cody Carden missed Three Point Jumper.,47,82
5:34,2634,Delano Spencer Defensive Rebound.,47,82
5:22,2634,Delano Spencer missed Three Point Jumper.,47,82
5:22,-1,Cody Carden Defensive Rebound.,47,82
5:08,-1,Jervon Walker missed Three Point Jumper.,47,82
5:08,2634,Delano Spencer Defensive Rebound.,47,82
5:05,-1,Foul on Melvin Irvin.,47,82
4:49,-1,Foul on Dwight Sanders.,47,82
4:49,2634,Kamar McKnight made Free Throw.,47,83
4:49,2634,Kamar McKnight missed Free Throw.,47,83
4:49,-1,Cody Carden Defensive Rebound.,47,83
4:29,-1,Jervon Walker made Layup.,49,83
4:00,2634,Kamar McKnight made Three Point Jumper.,49,86
3:47,-1,Scott Hundt missed Three Point Jumper.,49,86
3:47,2634,Hampus Ahlin Defensive Rebound.,49,86
3:32,2634,Kamar McKnight missed Three Point Jumper.,49,86
3:32,-1,Jervon Walker Defensive Rebound.,49,86
3:19,-1,Scott Hundt Turnover.,49,86
3:19,2634,Official TV Timeout,49,86
2:51,2634,Hampus Ahlin missed Layup.,49,86
2:51,2634,Tripp Davis Offensive Rebound.,49,86
2:48,2634,Tripp Davis made Layup.,49,88
2:35,-1,Dwight Sanders missed Layup.,49,88
2:35,2634,Tripp Davis Defensive Rebound.,49,88
2:16,2634,Hampus Ahlin missed Three Point Jumper.,49,88
2:16,-1,Jervon Walker Defensive Rebound.,49,88
2:10,-1,Cody Carden missed Three Point Jumper.,49,88
2:10,-1,Scott Hundt Offensive Rebound.,49,88
2:05,-1,Scott Hundt made Layup.,51,88
1:43,2634,Hampus Ahlin made Layup.,51,90
1:26,-1,Cody Carden missed Three Point Jumper.,51,90
1:26,2634,Stokley Chaffee Jr. Defensive Rebound.,51,90
1:11,2634,Jalen Duke made Jumper.,51,92
1:01,-1,Tylik Sibblies-Simon missed Three Point Jumper.,51,92
1:01,2634,Daniel Cummings Defensive Rebound.,51,92
0:36,-1,Foul on Tylik Sibblies-Simon.,51,92
0:36,2634,Tripp Davis missed Free Throw.,51,92
0:36,-1,Earlmondo West Defensive Rebound.,51,92
0:22,-1,Earlmondo West missed Jumper.,51,92
0:22,-1,Tylik Sibblies-Simon Offensive Rebound.,51,92
0:20,2634,Foul on Hampus Ahlin.,51,92
0:20,-1,Tylik Sibblies-Simon made Free Throw.,52,92
0:20,-1,Tylik Sibblies-Simon made Free Throw.,53,92
0:00,2634,End of Game,53,92
