East Tennessee State,2542,Savannah State,2193
0:52,2193,Desonta Bradford made Layup. Assisted by Jalan McCloud.,36,29
0:36,2542,Jahir Cabeza missed Layup.,36,29
0:36,2542,Zach Sellers Offensive Rebound.,36,29
0:29,2542,Jahir Cabeza missed Layup.,36,29
0:29,2542,Jahir Cabeza Offensive Rebound.,36,29
0:27,2542,Jahir Cabeza made Layup.,36,31
0:04,2193,Jason Williams made Three Point Jumper. Assisted by Desonta Bradford.,39,31
0:00,2542,End of 1st half,39,31
19:44,2542,Dexter McClanahan Turnover.,39,31
19:43,2193,Desonta Bradford Steal.,39,31
19:41,2542,Foul on Dexter McClanahan.,39,31
19:27,2193,Devontavius Payne made Three Point Jumper. Assisted by David Burrell.,42,31
19:19,2542,Alante Fenner missed Three Point Jumper.,42,31
19:19,2193,Desonta Bradford Defensive Rebound.,42,31
19:13,2193,Devontavius Payne made Dunk. Assisted by Desonta Bradford.,44,31
18:55,2542,Alante Fenner Turnover.,44,31
18:53,2193,Jalan McCloud Steal.,44,31
18:50,2542,Foul on Ty'lik Evans.,44,31
18:50,2193,Jalan McCloud made Free Throw.,45,31
18:50,2542,Jahlin Smith missed Free Throw.,45,31
18:50,2193,Mladen Armus Defensive Rebound.,45,31
18:37,2542,Ty'lik Evans missed Layup.,45,31
18:37,2193,Mladen Armus Block.,45,31
18:34,2193,Desonta Bradford Defensive Rebound.,45,31
18:32,2193,Devontavius Payne made Layup. Assisted by Desonta Bradford.,47,31
18:21,2542,Javaris Jenkins missed Three Point Jumper.,47,31
18:21,2193,Jalan McCloud Defensive Rebound.,47,31
18:14,2193,Jalan McCloud Turnover.,47,31
18:01,2542,Zach Sellers missed Three Point Jumper.,47,31
18:01,2193,David Burrell Defensive Rebound.,47,31
17:43,2193,Devontavius Payne made Three Point Jumper. Assisted by Mladen Armus.,50,31
17:29,2542,Jahlin Smith Turnover.,50,31
17:29,2193,Devontavius Payne Steal.,50,31
17:21,2193,Jason Williams Turnover.,50,31
17:11,2193,Foul on Jason Williams.,50,31
17:11,2542,Javaris Jenkins missed Three Point Jumper.,50,31
17:11,2193,Mladen Armus Defensive Rebound.,50,31
17:11,2193,Devontavius Payne missed Three Point Jumper.,50,31
17:11,2193,East Tennessee State Offensive Rebound.,50,31
16:22,2193,Desonta Bradford missed Three Point Jumper.,50,31
16:22,2542,Austin Dasent Defensive Rebound.,50,31
16:09,2193,Foul on David Burrell.,50,31
15:59,2542,John Grant Jr. missed Three Point Jumper.,50,31
15:59,2542,Maricus Glenn Offensive Rebound.,50,31
15:57,2193,Foul on Devontavius Payne.,50,31
15:57,2542,Official TV Timeout,50,31
15:57,2542,Maricus Glenn made Free Throw.,50,32
15:57,2193,Foul on Devontavius Payne.,50,31
15:57,2542,Official TV Timeout,50,31
15:57,2542,Maricus Glenn made Free Throw.,50,33
15:39,2542,Foul on John Grant Jr..,50,33
15:28,2193,Jalan McCloud missed Jumper.,50,33
15:28,2542,Savannah State Defensive Rebound.,50,33
15:15,2542,Dexter McClanahan missed Three Point Jumper.,50,33
15:15,2542,Savannah State Offensive Rebound.,50,33
15:14,2193,Foul on Mladen Armus.,50,33
14:55,2193,Foul on David Burrell.,50,33
14:55,2542,Maricus Glenn missed Free Throw.,50,33
14:55,2542,Savannah State Deadball Team Rebound.,50,33
14:55,2542,Maricus Glenn missed Free Throw.,50,33
14:55,2193,David Burrell Defensive Rebound.,50,33
14:29,2193,Desonta Bradford made Layup.,52,33
14:23,2542,Alante Fenner Turnover.,52,33
14:22,2193,Jalan McCloud Steal.,52,33
14:08,2193,Jalan McCloud Turnover.,52,33
13:53,2542,Alante Fenner made Layup.,52,35
13:37,2193,Devontavius Payne made Three Point Jumper. Assisted by Desonta Bradford.,55,35
13:18,2542,Alante Fenner missed Three Point Jumper.,55,35
13:18,2542,Savannah State Offensive Rebound.,55,35
13:17,2193,Foul on Bo Hodges.,55,35
12:59,2542,Zach Sellers missed Layup.,55,35
12:59,2542,Jahir Cabeza Offensive Rebound.,55,35
12:55,2542,Jahir Cabeza made Dunk.,55,37
12:40,2193,Devontavius Payne missed Three Point Jumper.,55,37
12:40,2193,Bo Hodges Offensive Rebound.,55,37
12:36,2193,Bo Hodges Turnover.,55,37
12:27,2542,Alante Fenner missed Three Point Jumper.,55,37
12:27,2193,East Tennessee State Defensive Rebound.,55,37
12:26,2542,Foul on Ty'lik Evans.,55,37
11:59,2193,Desonta Bradford missed Dunk.,55,37
11:59,2542,Ty'lik Evans Defensive Rebound.,55,37
11:53,2542,Foul on Austin Dasent.,55,37
11:53,2542,Austin Dasent Turnover.,55,37
11:53,2542,Official TV Timeout,55,37
11:31,2193,David Burrell Turnover.,55,37
11:30,2542,Austin Dasent Steal.,55,37
11:25,2542,Austin Dasent missed Three Point Jumper.,55,37
11:25,2193,David Burrell Defensive Rebound.,55,37
11:15,2193,Jermaine Long made Layup. Assisted by Jalan McCloud.,57,37
11:02,2542,Jahir Cabeza made Three Point Jumper. Assisted by Austin Dasent.,57,40
11:01,2542,Savannah State  Timeout,57,40
10:36,2193,Devontavius Payne made Three Point Jumper. Assisted by Desonta Bradford.,60,40
10:24,2193,Foul on Desonta Bradford.,60,40
10:24,2542,Dexter McClanahan missed Free Throw.,60,40
10:24,2193,Desonta Bradford Defensive Rebound.,60,40
10:01,2193,Jermaine Long missed Three Point Jumper.,60,40
10:01,2193,David Burrell Offensive Rebound.,60,40
9:58,2193,David Burrell missed Layup.,60,40
9:58,2542,Dexter McClanahan Defensive Rebound.,60,40
9:56,2193,Foul on Jermaine Long.,60,40
9:56,2542,Dexter McClanahan made Free Throw.,60,41
9:56,2542,Dexter McClanahan made Free Throw.,60,42
9:31,2193,Devontavius Payne missed Three Point Jumper.,60,42
9:31,2542,Dexter McClanahan Defensive Rebound.,60,42
9:29,2193,Foul on David Burrell.,60,42
9:28,2542,Dexter McClanahan made Free Throw.,60,43
9:28,2542,Dexter McClanahan missed Free Throw.,60,43
9:28,2193,David Burrell Defensive Rebound.,60,43
9:11,2542,Foul on Maricus Glenn.,60,43
9:11,2193,Desonta Bradford missed Free Throw.,60,43
9:11,2193,East Tennessee State Deadball Team Rebound.,60,43
9:11,2193,Desonta Bradford missed Free Throw.,60,43
9:11,2542,Maricus Glenn Defensive Rebound.,60,43
9:02,2542,Austin Dasent made Layup.,60,45
8:38,2542,Foul on Maricus Glenn.,60,45
8:38,2193,David Burrell made Free Throw.,61,45
8:38,2193,David Burrell missed Free Throw.,61,45
8:38,2542,Maricus Glenn Defensive Rebound.,61,45
8:33,2542,Khalen Pinkett missed Layup.,61,45
8:33,2193,David Burrell Block.,61,45
8:31,2542,Savannah State Offensive Rebound.,61,45
8:24,2542,Dexter McClanahan Turnover.,61,45
8:13,2193,Jason Williams made Three Point Jumper. Assisted by Desonta Bradford.,64,45
7:53,2542,Jahir Cabeza missed Layup.,64,45
7:53,2542,Savannah State Offensive Rebound.,64,45
7:53,2193,Foul on Jermaine Long.,64,45
7:53,2542,Official TV Timeout,64,45
7:53,2542,Maricus Glenn missed Free Throw.,64,45
7:53,2542,Savannah State Deadball Team Rebound.,64,45
7:53,2542,Maricus Glenn made Free Throw.,64,46
7:26,2193,Desonta Bradford missed Three Point Jumper.,64,46
7:26,2193,Devontavius Payne Offensive Rebound.,64,46
7:02,2193,Jason Williams made Three Point Jumper. Assisted by Jalan McCloud.,67,46
6:46,2542,Jahir Cabeza made Layup. Assisted by Alante Fenner.,67,48
6:18,2193,Devontavius Payne missed Three Point Jumper.,67,48
6:18,2542,Alante Fenner Defensive Rebound.,67,48
6:09,2542,Alante Fenner made Three Point Jumper.,67,51
5:43,2193,Devontavius Payne missed Layup.,67,51
5:43,2542,Maricus Glenn Block.,67,51
5:42,2542,Maricus Glenn Defensive Rebound.,67,51
5:42,2542,Alante Fenner Turnover.,67,51
5:25,2193,Jalan McCloud missed Three Point Jumper.,67,51
5:25,2542,Zach Sellers Defensive Rebound.,67,51
5:16,2542,Alante Fenner missed Jumper.,67,51
5:16,2193,Desonta Bradford Defensive Rebound.,67,51
5:01,2193,Foul on Mladen Armus.,67,51
5:01,2193,Mladen Armus Turnover.,67,51
5:01,2193,Mladen Armus Turnover.,67,51
4:50,2542,Alante Fenner missed Three Point Jumper.,67,51
4:50,2193,David Burrell Defensive Rebound.,67,51
4:32,2193,Jalan McCloud missed Layup.,67,51
4:32,2542,Jahlin Smith Defensive Rebound.,67,51
4:19,2542,Zach Sellers missed Three Point Jumper.,67,51
4:19,2193,Desonta Bradford Defensive Rebound.,67,51
3:59,2193,Jason Williams made Three Point Jumper. Assisted by Jalan McCloud.,70,51
3:56,2542,Savannah State  Timeout,70,51
3:36,2542,Alante Fenner missed Layup.,70,51
3:36,2193,Devontavius Payne Defensive Rebound.,70,51
3:18,2193,Desonta Bradford missed Jumper.,70,51
3:18,2193,Jason Williams Offensive Rebound.,70,51
3:04,2193,Jalan McCloud missed Jumper.,70,51
3:04,2542,Maricus Glenn Defensive Rebound.,70,51
2:54,2542,Foul on Joshua Floyd.,70,51
2:54,2542,Official TV Timeout,70,51
2:54,2542,Austin Dasent made Free Throw.,70,52
2:54,2542,Austin Dasent made Free Throw.,70,53
2:31,2542,Foul on Jahir Cabeza.,70,53
2:31,2193,Devontavius Payne made Free Throw.,71,53
2:31,2193,Devontavius Payne made Free Throw.,72,53
2:21,2542,Jahir Cabeza missed Three Point Jumper.,72,53
2:21,2193,Jalan McCloud Defensive Rebound.,72,53
2:08,2542,Foul on Dexter McClanahan.,72,53
2:08,2193,Desonta Bradford made Free Throw.,73,53
2:08,2193,Desonta Bradford made Free Throw.,74,53
1:57,2542,Austin Dasent made Jumper.,74,55
1:32,2193,Desonta Bradford made Jumper.,76,55
1:21,2193,Foul on Desonta Bradford.,76,55
1:21,2542,Austin Dasent made Free Throw.,76,56
1:21,2542,Austin Dasent missed Free Throw.,76,56
1:21,2193,David Burrell Defensive Rebound.,76,56
1:11,2542,Zach Sellers made Free Throw.,76,57
1:11,2542,Zach Sellers made Free Throw.,76,58
1:10,2193,Jalan McCloud Turnover.,76,58
1:10,2542,Zach Sellers Steal.,76,58
1:10,2193,Foul on Jalan McCloud.,76,58
0:45,2193,Desonta Bradford missed Three Point Jumper.,76,58
0:45,2542,Jahir Cabeza Defensive Rebound.,76,58
0:32,2542,Zach Sellers made Three Point Jumper. Assisted by Austin Dasent.,76,61
0:01,2193,Desonta Bradford Turnover.,76,61
0:00,2542,End of Game,76,61
