Longwood,2617,Stephen F. Austin,2344
19:39,2617,Leon Gilmore III missed Jumper.,27,31
19:39,2344,Darrion Allen Defensive Rebound.,27,31
19:30,2344,Khris Lane made Layup. Assisted by Isaiah Walton.,29,31
19:18,2617,Ivan Canete made Three Point Jumper. Assisted by Aaron Augustin.,29,34
18:56,2344,Darrion Allen missed Layup.,29,34
18:56,2617,TJ Holyfield Block.,29,34
18:56,2344,Longwood Offensive Rebound.,29,34
18:41,2344,Kendrick Thompson made Three Point Jumper.,32,34
18:30,2617,Foul on Ivan Canete.,32,34
18:30,2617,Ivan Canete Turnover.,32,34
18:20,2344,Kendrick Thompson Turnover.,32,34
18:20,2617,Aaron Augustin Steal.,32,34
18:10,2617,Aaron Augustin made Layup.,32,36
18:10,2344,Foul on Kendrick Thompson.,32,36
18:10,2617,Aaron Augustin missed Free Throw.,32,36
18:10,2617,TJ Holyfield Offensive Rebound.,32,36
18:10,2344,Foul on Khris Lane.,32,36
17:54,2617,Dallas Cameron Turnover.,32,36
17:54,2344,Khris Lane Steal.,32,36
17:45,2344,Damarion Geter Turnover.,32,36
17:30,2617,Leon Gilmore III missed Three Point Jumper.,32,36
17:30,2617,TJ Holyfield Offensive Rebound.,32,36
17:20,2344,Foul on Damarion Geter.,32,36
17:00,2617,Aaron Augustin missed Layup.,32,36
17:00,2344,Damarion Geter Defensive Rebound.,32,36
16:43,2344,Damarion Geter missed Layup.,32,36
16:43,2344,Damarion Geter Offensive Rebound.,32,36
16:40,2617,Foul on Leon Gilmore III.,32,36
16:38,2344,Darrion Allen Turnover.,32,36
16:38,2617,Leon Gilmore III Steal.,32,36
16:31,2617,Aaron Augustin Turnover.,32,36
16:16,2344,Isaiah Walton Turnover.,32,36
15:55,2617,Isaiah Traylor made Three Point Jumper. Assisted by Leon Gilmore III.,32,39
15:36,2617,Foul on Leon Gilmore III.,32,39
15:36,2617,Official TV Timeout,32,39
15:23,2344,Khris Lane missed Three Point Jumper.,32,39
15:23,2617,Isaiah Traylor Defensive Rebound.,32,39
15:03,2617,Ivan Canete missed Three Point Jumper.,32,39
15:03,2344,Longwood Defensive Rebound.,32,39
14:45,2344,Bryan Gee Turnover.,32,39
14:27,2344,Foul on Isaiah Walton.,32,39
14:27,2617,Isaiah Traylor made Free Throw.,32,40
14:27,2617,Isaiah Traylor missed Free Throw.,32,40
14:27,2344,Isaiah Walton Defensive Rebound.,32,40
14:22,2344,Khris Lane made Layup. Assisted by Isaiah Walton.,34,40
14:04,2617,TJ Holyfield Turnover.,34,40
14:04,2344,Isaiah Walton Steal.,34,40
13:56,2344,Isaiah Walton missed Jumper.,34,40
13:56,2617,Ty Charles Defensive Rebound.,34,40
13:50,2617,Dallas Cameron made Three Point Jumper. Assisted by Isaiah Traylor.,34,43
13:32,2344,Isaiah Walton Turnover.,34,43
13:32,2617,Samuli Nieminen Steal.,34,43
13:15,2344,Foul on Khris Lane.,34,43
13:05,2617,Isaiah Traylor missed Three Point Jumper.,34,43
13:05,2344,Darrion Allen Defensive Rebound.,34,43
12:59,2617,Foul on Kevon Harris.,34,43
12:49,2344,Kendrick Thompson made Three Point Jumper. Assisted by Damarion Geter.,37,43
12:41,2617,Samuli Nieminen Turnover.,37,43
12:41,2344,Kendrick Thompson Steal.,37,43
12:35,2344,Chris Shields Turnover.,37,43
12:35,2617,Samuli Nieminen Steal.,37,43
12:30,2617,Samuli Nieminen missed Layup.,37,43
12:30,2344,Kendrick Thompson Defensive Rebound.,37,43
12:14,2344,Darrion Allen made Three Point Jumper. Assisted by Kendrick Thompson.,40,43
12:06,2617,Stephen F. Austin  Timeout,40,43
11:40,2617,TJ Holyfield missed Jumper.,40,43
11:40,2344,Kendrick Thompson Defensive Rebound.,40,43
11:16,2617,Official TV Timeout,40,43
11:08,2344,Chris Shields Turnover.,40,43
10:39,2617,Stephen F. Austin  Turnover.,40,43
10:21,2344,Darrion Allen made Three Point Jumper.,43,43
9:56,2344,Foul on Damarion Geter.,43,43
9:56,2617,Ivan Canete made Free Throw.,43,44
9:56,2617,Ivan Canete made Free Throw.,43,45
9:43,2344,Chris Shields made Jumper.,45,45
9:23,2344,Foul on Chris Shields.,45,45
9:23,2617,Leon Gilmore III missed Free Throw.,45,45
9:23,2344,Isaiah Walton Defensive Rebound.,45,45
9:10,2344,Kendrick Thompson made Jumper.,47,45
8:58,2617,Leon Gilmore III missed Jumper.,47,45
8:58,2344,Chris Shields Block.,47,45
8:58,2617,Stephen F. Austin Offensive Rebound.,47,45
8:55,2617,Leon Gilmore III made Dunk. Assisted by Dallas Cameron.,47,47
8:42,2344,Darrion Allen Turnover.,47,47
8:30,2617,Ivan Canete missed Three Point Jumper.,47,47
8:30,2617,Leon Gilmore III Offensive Rebound.,47,47
8:11,2617,Dallas Cameron missed Three Point Jumper.,47,47
8:11,2344,Longwood Defensive Rebound.,47,47
8:06,2617,Foul on Ivan Canete.,47,47
7:54,2617,Foul on Nathan Bain.,47,47
7:54,2617,Official TV Timeout,47,47
7:49,2344,Khris Lane Turnover.,47,47
7:49,2617,Leon Gilmore III Steal.,47,47
7:34,2617,Dallas Cameron Turnover.,47,47
7:34,2344,Khris Lane Steal.,47,47
7:28,2344,Isaiah Walton made Jumper. Assisted by Kendrick Thompson.,49,47
7:10,2617,TJ Holyfield made Three Point Jumper. Assisted by Dallas Cameron.,49,50
6:54,2344,Isaiah Walton made Layup. Assisted by Kendrick Thompson.,51,50
6:38,2617,Leon Gilmore III missed Layup.,51,50
6:38,2344,Khris Lane Defensive Rebound.,51,50
6:22,2344,Darrion Allen missed Jumper.,51,50
6:22,2617,Leon Gilmore III Defensive Rebound.,51,50
6:13,2617,Dallas Cameron made Layup.,51,52
5:59,2344,Longwood  Timeout,51,52
5:44,2344,Kendrick Thompson missed Layup.,51,52
5:44,2617,TJ Holyfield Block.,51,52
5:44,2617,Nathan Bain Defensive Rebound.,51,52
5:34,2344,Foul on Kendrick Thompson.,51,52
5:34,2617,Aaron Augustin made Free Throw.,51,53
5:34,2617,Aaron Augustin missed Free Throw.,51,53
5:34,2344,Khris Lane Defensive Rebound.,51,53
5:06,2344,Khris Lane made Jumper.,53,53
4:44,2617,Samuli Nieminen Turnover.,53,53
4:22,2344,Darrion Allen made Jumper.,55,53
4:03,2617,TJ Holyfield made Jumper. Assisted by Aaron Augustin.,55,55
3:42,2617,Foul on TJ Holyfield.,55,55
3:42,2617,Official TV Timeout,55,55
3:42,2344,Isaiah Walton made Free Throw.,56,55
3:42,2344,Isaiah Walton made Free Throw.,57,55
3:26,2617,TJ Holyfield Turnover.,57,55
3:06,2344,Darrion Allen missed Layup.,57,55
3:06,2617,Stephen F. Austin Defensive Rebound.,57,55
2:48,2617,TJ Holyfield missed Jumper.,57,55
2:48,2617,TJ Holyfield Offensive Rebound.,57,55
2:38,2617,Leon Gilmore III missed Dunk.,57,55
2:38,2344,Darrion Allen Defensive Rebound.,57,55
2:27,2344,Darrion Allen missed Three Point Jumper.,57,55
2:27,2617,Aaron Augustin Defensive Rebound.,57,55
2:07,2617,Leon Gilmore III missed Jumper.,57,55
2:07,2617,Nathan Bain Offensive Rebound.,57,55
2:05,2344,Foul on Darrion Allen.,57,55
2:05,2617,Nathan Bain made Free Throw.,57,56
2:05,2617,Nathan Bain made Free Throw.,57,57
2:03,2344,Longwood  Timeout,57,57
1:42,2344,Darrion Allen missed Three Point Jumper.,57,57
1:42,2617,Nathan Bain Defensive Rebound.,57,57
1:09,2617,Aaron Augustin missed Layup.,57,57
1:09,2617,Leon Gilmore III Offensive Rebound.,57,57
1:09,2617,Leon Gilmore III missed Two Point Tip Shot.,57,57
1:09,2617,Nathan Bain Offensive Rebound.,57,57
1:09,2617,Nathan Bain made Two Point Tip Shot.,57,59
0:50,2344,Kendrick Thompson missed Jumper.,57,59
0:50,2617,TJ Holyfield Defensive Rebound.,57,59
0:39,2344,Foul on Darrion Allen.,57,59
0:39,2617,Dallas Cameron made Free Throw.,57,60
0:39,2617,Dallas Cameron made Free Throw.,57,61
0:39,2617,Stephen F. Austin  Timeout,57,61
0:32,2344,Kendrick Thompson missed Three Point Jumper.,57,61
0:32,2617,Leon Gilmore III Defensive Rebound.,57,61
0:24,2344,Foul on Kendrick Thompson.,57,61
0:24,2617,Nathan Bain made Free Throw.,57,62
0:24,2617,Nathan Bain missed Free Throw.,57,62
0:24,2344,Darrion Allen Defensive Rebound.,57,62
0:19,2344,Darrion Allen missed Three Point Jumper.,57,62
0:19,2617,TJ Holyfield Defensive Rebound.,57,62
0:11,2344,Foul on Darrion Allen.,57,62
0:11,2617,Leon Gilmore III made Free Throw.,57,63
0:11,2617,Leon Gilmore III made Free Throw.,57,64
0:10,2344,Isaiah Walton made Three Point Jumper.,60,64
0:06,2344,Longwood  Timeout,60,64
0:05,2344,Foul on Isaac Belton.,60,64
0:05,2617,TJ Holyfield made Free Throw.,60,65
0:05,2617,TJ Holyfield made Free Throw.,60,66
0:02,2344,Isaiah Walton missed Three Point Jumper.,60,66
0:02,2617,TJ Holyfield Defensive Rebound.,60,66
0:00,2617,End of Game,60,66
