Maryland-Eastern Shore,103,Boston College,2379
11:27,2379,Tyler Jones missed Three Point Jumper.,11,22
11:27,103,Ky Bowman Defensive Rebound.,11,22
11:21,103,Ky Bowman Turnover.,11,22
11:21,103,Official TV Timeout,11,22
11:00,2379,Bakari Copeland made Jumper. Assisted by Ryan Andino.,13,22
10:44,103,A.J. Turner Turnover.,13,22
10:32,2379,Bakari Copeland made Jumper. Assisted by Logan McIntosh.,15,22
10:04,103,A.J. Turner missed Three Point Jumper.,15,22
10:04,2379,Dontae Caldwell Defensive Rebound.,15,22
9:49,2379,Bakari Copeland Turnover.,15,22
9:49,2379,Foul on Bakari Copeland.,15,22
9:36,103,Mo Jeffers made Layup. Assisted by Connar Tava.,15,24
9:23,2379,Bakari Copeland missed Jumper.,15,24
9:23,103,A.J. Turner Defensive Rebound.,15,24
9:14,103,Connar Tava Turnover.,15,24
9:14,103,Foul on Connar Tava.,15,24
9:05,103,Foul on Mo Jeffers.,15,24
9:05,2379,Dontae Caldwell made Free Throw.,16,24
9:05,2379,Dontae Caldwell missed Free Throw.,16,24
9:05,103,Connar Tava Defensive Rebound.,16,24
8:53,103,Ty Graves missed Three Point Jumper.,16,24
8:53,103,Mo Jeffers Offensive Rebound.,16,24
8:48,103,Mo Jeffers missed Layup.,16,24
8:48,2379,Dontae Caldwell Defensive Rebound.,16,24
8:34,2379,Ryan Andino made Three Point Jumper. Assisted by Logan McIntosh.,19,24
8:15,103,A.J. Turner made Jumper.,19,26
8:07,2379,Logan McIntosh missed Layup.,19,26
8:07,103,Mo Jeffers Defensive Rebound.,19,26
8:01,103,A.J. Turner Turnover.,19,26
7:41,2379,Ryan Andino missed Three Point Jumper.,19,26
7:41,103,Jerome Robinson Defensive Rebound.,19,26
7:30,103,Jerome Robinson missed Three Point Jumper.,19,26
7:30,2379,Derrico Peck Defensive Rebound.,19,26
7:06,2379,Thomas Rivera missed Layup.,19,26
7:06,103,Jordan Chatman Defensive Rebound.,19,26
7:00,103,Official TV Timeout,19,26
6:59,103,Jerome Robinson made Three Point Jumper. Assisted by Garland Owens.,19,29
6:45,2379,Tyler Jones missed Jumper.,19,29
6:45,103,Jerome Robinson Defensive Rebound.,19,29
6:10,103,Ty Graves Turnover.,19,29
6:09,2379,Derrico Peck Steal.,19,29
5:45,2379,Thomas Rivera made Three Point Jumper.,22,29
5:26,103,Jerome Robinson missed Three Point Jumper.,22,29
5:26,2379,Maryland-Eastern Shore Defensive Rebound.,22,29
5:12,2379,Derrico Peck missed Layup.,22,29
5:12,2379,Dontae Caldwell Offensive Rebound.,22,29
5:09,2379,Dontae Caldwell made Layup.,24,29
4:58,2379,Foul on Thomas Rivera.,24,29
4:46,103,Jordan Chatman missed Jumper.,24,29
4:46,2379,Derrico Peck Defensive Rebound.,24,29
4:39,2379,Thomas Rivera missed Three Point Jumper.,24,29
4:39,2379,Tyler Jones Offensive Rebound.,24,29
4:37,103,Foul on Garland Owens.,24,29
4:20,2379,Dontae Caldwell Turnover.,24,29
4:10,103,Jerome Robinson made Layup. Assisted by Connar Tava.,24,31
4:00,103,Foul on Ky Bowman.,24,31
3:54,2379,Ryan Andino missed Three Point Jumper.,24,31
3:54,2379,Derrico Peck Offensive Rebound.,24,31
3:50,2379,Derrico Peck made Layup.,26,31
3:28,103,Nik Popovic missed Layup.,26,31
3:28,103,Nik Popovic Offensive Rebound.,26,31
3:26,103,Nik Popovic missed Jumper.,26,31
3:26,103,Connar Tava Offensive Rebound.,26,31
3:23,103,Connar Tava made Layup.,26,33
3:12,103,Foul on A.J. Turner.,26,33
3:11,2379,Derrico Peck made Free Throw.,27,33
3:11,2379,Derrico Peck missed Free Throw.,27,33
3:11,103,Mo Jeffers Defensive Rebound.,27,33
2:57,103,Jerome Robinson Turnover.,27,33
2:55,2379,Derrico Peck Steal.,27,33
2:53,103,Foul on Mo Jeffers.,27,33
2:53,2379,Logan McIntosh missed Free Throw.,27,33
2:53,2379,Maryland-Eastern Shore Deadball Team Rebound.,27,33
2:53,2379,Logan McIntosh missed Free Throw.,27,33
2:53,103,Connar Tava Defensive Rebound.,27,33
2:39,103,Jerome Robinson made Jumper. Assisted by A.J. Turner.,27,35
2:18,2379,Tyler Jones missed Three Point Jumper.,27,35
2:18,103,Jerome Robinson Defensive Rebound.,27,35
2:00,103,Ky Bowman made Jumper.,27,37
1:44,103,Foul on Johncarlos Reyes.,27,37
1:44,2379,Bakari Copeland missed Free Throw.,27,37
1:44,2379,Maryland-Eastern Shore Deadball Team Rebound.,27,37
1:44,2379,Bakari Copeland missed Free Throw.,27,37
1:44,103,Johncarlos Reyes Defensive Rebound.,27,37
1:24,103,Ky Bowman made Layup.,27,39
1:08,2379,Deven Dorsett missed Three Point Jumper.,27,39
1:08,103,Jerome Robinson Defensive Rebound.,27,39
1:00,2379,Foul on Deven Dorsett.,27,39
1:00,103,Jerome Robinson missed Free Throw.,27,39
1:00,103,Boston College Deadball Team Rebound.,27,39
1:00,103,Jerome Robinson missed Free Throw.,27,39
1:00,2379,Bakari Copeland Defensive Rebound.,27,39
0:48,2379,Bakari Copeland made Jumper.,29,39
0:31,103,Jerome Robinson missed Jumper.,29,39
0:31,2379,Bakari Copeland Defensive Rebound.,29,39
0:07,103,Foul on Ky Bowman.,29,39
0:07,2379,Logan McIntosh made Free Throw.,30,39
0:07,2379,Logan McIntosh made Free Throw.,31,39
0:01,103,Johncarlos Reyes made Layup. Assisted by Ky Bowman.,31,41
0:00,103,End of 1st half,31,41
19:47,2379,Bakari Copeland Turnover.,31,41
19:47,2379,Foul on Bakari Copeland.,31,41
19:32,103,Ty Graves missed Three Point Jumper.,31,41
19:32,103,Mo Jeffers Offensive Rebound.,31,41
19:21,103,Connar Tava Turnover.,31,41
19:20,2379,Thomas Rivera Steal.,31,41
19:11,2379,Isaac Taylor Turnover.,31,41
19:09,103,Jerome Robinson Steal.,31,41
19:05,103,Jerome Robinson missed Three Point Jumper.,31,41
19:05,103,Connar Tava Offensive Rebound.,31,41
19:00,2379,Foul on Bakari Copeland.,31,41
18:43,103,Jerome Robinson missed Dunk.,31,41
18:43,2379,Bakari Copeland Block.,31,41
18:41,2379,Thomas Rivera Defensive Rebound.,31,41
18:36,103,Foul on Mo Jeffers.,31,41
18:36,2379,Bakari Copeland made Free Throw.,32,41
18:36,2379,Bakari Copeland made Free Throw.,33,41
18:05,103,Ty Graves missed Three Point Jumper.,33,41
18:05,103,Nik Popovic Offensive Rebound.,33,41
18:00,103,Nik Popovic made Jumper.,33,43
17:52,2379,Ryan Andino missed Three Point Jumper.,33,43
17:52,103,Boston College Defensive Rebound.,33,43
17:40,103,Johncarlos Reyes missed Layup.,33,43
17:40,103,Johncarlos Reyes Offensive Rebound.,33,43
17:35,103,Johncarlos Reyes Turnover.,33,43
17:34,2379,Derrico Peck Steal.,33,43
17:11,2379,Thomas Rivera missed Three Point Jumper.,33,43
17:11,2379,Maryland-Eastern Shore Offensive Rebound.,33,43
17:05,2379,Tyler Jones made Layup. Assisted by Derrico Peck.,35,43
16:40,103,Jerome Robinson missed Three Point Jumper.,35,43
16:40,2379,Dontae Caldwell Defensive Rebound.,35,43
16:31,2379,Thomas Rivera missed Layup.,35,43
16:31,103,Johncarlos Reyes Block.,35,43
16:28,103,Jerome Robinson Defensive Rebound.,35,43
16:26,2379,Foul on Dontae Caldwell.,35,43
16:26,103,Jordan Chatman made Free Throw.,35,44
16:26,103,Jordan Chatman missed Free Throw.,35,44
16:26,2379,Derrico Peck Defensive Rebound.,35,44
16:08,2379,Dontae Caldwell missed Three Point Jumper.,35,44
16:08,103,Connar Tava Defensive Rebound.,35,44
15:50,103,Jerome Robinson missed Jumper.,35,44
15:50,2379,Dontae Caldwell Defensive Rebound.,35,44
15:28,2379,Tyler Jones Turnover.,35,44
15:26,103,Connar Tava Steal.,35,44
15:19,103,Johncarlos Reyes made Jumper. Assisted by Jordan Chatman.,35,46
14:57,2379,Dontae Caldwell missed Layup.,35,46
14:57,2379,Derrico Peck Offensive Rebound.,35,46
14:54,2379,Derrico Peck missed Layup.,35,46
14:54,103,Jordan Chatman Defensive Rebound.,35,46
14:42,2379,Foul on Thomas Rivera.,35,46
14:42,103,Official TV Timeout,35,46
14:42,103,Jerome Robinson made Free Throw.,35,47
14:42,103,Jerome Robinson made Free Throw.,35,48
14:22,2379,Bakari Copeland missed Jumper.,35,48
14:22,103,Garland Owens Defensive Rebound.,35,48
14:16,103,Ky Bowman Turnover.,35,48
14:15,2379,Derrico Peck Steal.,35,48
14:07,2379,Bakari Copeland made Layup. Assisted by Logan McIntosh.,37,48
13:45,103,Jordan Chatman missed Three Point Jumper.,37,48
13:45,2379,Derrico Peck Defensive Rebound.,37,48
13:29,103,Foul on Garland Owens.,37,48
13:24,2379,Logan McIntosh made Three Point Jumper. Assisted by Michael Chambers.,40,48
13:10,103,Johncarlos Reyes Turnover.,40,48
13:09,2379,Derrico Peck Steal.,40,48
13:08,2379,Derrico Peck Turnover.,40,48
12:59,103,Ky Bowman Turnover.,40,48
12:47,2379,Bakari Copeland missed Layup.,40,48
12:47,103,Garland Owens Block.,40,48
12:44,103,Mo Jeffers Defensive Rebound.,40,48
12:37,2379,Foul on Derrico Peck.,40,48
12:37,103,Mo Jeffers missed Free Throw.,40,48
12:37,103,Boston College Deadball Team Rebound.,40,48
12:37,103,Mo Jeffers made Free Throw.,40,49
12:21,2379,Logan McIntosh missed Jumper.,40,49
12:21,2379,Derrico Peck Offensive Rebound.,40,49
12:19,2379,Derrico Peck made Layup.,42,49
12:08,103,Ky Bowman made Three Point Jumper. Assisted by A.J. Turner.,42,52
12:00,2379,Ryan Andino missed Three Point Jumper.,42,52
12:00,103,Mo Jeffers Defensive Rebound.,42,52
11:43,103,Ky Bowman missed Three Point Jumper.,42,52
11:43,103,Mo Jeffers Offensive Rebound.,42,52
11:40,103,Jordan Chatman made Jumper. Assisted by Mo Jeffers.,42,54
11:16,2379,Ryan Andino Turnover.,42,54
11:16,103,Official TV Timeout,42,54
10:54,103,A.J. Turner made Dunk. Assisted by Garland Owens.,42,56
10:34,2379,Dontae Caldwell missed Three Point Jumper.,42,56
10:34,103,Boston College Defensive Rebound.,42,56
10:11,103,Garland Owens missed Three Point Jumper.,42,56
10:11,2379,Bakari Copeland Defensive Rebound.,42,56
9:46,2379,Bakari Copeland missed Jumper.,42,56
9:46,2379,Dontae Caldwell Offensive Rebound.,42,56
9:43,103,Foul on Garland Owens.,42,56
9:27,2379,Bakari Copeland Turnover.,42,56
9:09,103,Jordan Chatman missed Jumper.,42,56
9:09,103,Mo Jeffers Offensive Rebound.,42,56
9:05,103,Mo Jeffers missed Jumper.,42,56
9:05,103,Boston College Offensive Rebound.,42,56
8:57,103,Ky Bowman missed Three Point Jumper.,42,56
8:57,2379,Dontae Caldwell Defensive Rebound.,42,56
8:52,2379,Ryan Andino missed Three Point Jumper.,42,56
8:52,103,Mo Jeffers Defensive Rebound.,42,56
8:32,103,Mo Jeffers missed Jumper.,42,56
8:32,2379,Derrico Peck Defensive Rebound.,42,56
8:15,2379,Logan McIntosh missed Jumper.,42,56
8:15,103,Mo Jeffers Defensive Rebound.,42,56
8:08,103,Garland Owens made Dunk. Assisted by Ky Bowman.,42,58
7:41,2379,Logan McIntosh made Layup.,44,58
7:40,2379,Maryland-Eastern Shore  Timeout,44,58
7:33,103,Nik Popovic Turnover.,44,58
7:04,2379,Isaac Taylor missed Jumper.,44,58
7:04,2379,Isaac Taylor Offensive Rebound.,44,58
7:02,2379,Isaac Taylor made Layup.,46,58
6:39,103,Jerome Robinson made Three Point Jumper. Assisted by A.J. Turner.,46,61
6:16,2379,Thomas Rivera made Three Point Jumper.,49,61
6:03,103,A.J. Turner made Three Point Jumper. Assisted by Jerome Robinson.,49,64
5:41,2379,Dontae Caldwell Turnover.,49,64
5:31,103,Nik Popovic missed Layup.,49,64
5:31,2379,Derrico Peck Block.,49,64
5:31,103,Boston College Offensive Rebound.,49,64
5:21,103,Ty Graves missed Three Point Jumper.,49,64
5:21,103,Connar Tava Offensive Rebound.,49,64
5:14,103,A.J. Turner missed Three Point Jumper.,49,64
5:14,2379,Thomas Rivera Defensive Rebound.,49,64
4:52,2379,Thomas Rivera made Jumper.,51,64
4:28,2379,Foul on Derrico Peck.,51,64
4:28,103,A.J. Turner missed Free Throw.,51,64
4:28,103,Boston College Deadball Team Rebound.,51,64
4:28,103,A.J. Turner made Free Throw.,51,65
4:18,2379,Bakari Copeland missed Jumper.,51,65
4:18,103,Jerome Robinson Defensive Rebound.,51,65
3:59,103,Ky Bowman made Jumper.,51,67
3:39,2379,Thomas Rivera missed Jumper.,51,67
3:39,103,Connar Tava Defensive Rebound.,51,67
3:20,103,Gordon Gehan Turnover.,51,67
3:20,103,Official TV Timeout,51,67
3:13,2379,Logan McIntosh made Jumper.,53,67
2:56,103,Jerome Robinson missed Jumper.,53,67
2:56,103,A.J. Turner Offensive Rebound.,53,67
2:33,103,Ky Bowman missed Jumper.,53,67
2:33,2379,Logan McIntosh Defensive Rebound.,53,67
2:27,2379,Bakari Copeland made Layup. Assisted by Logan McIntosh.,55,67
2:09,103,Connar Tava missed Layup.,55,67
2:09,2379,Bakari Copeland Block.,55,67
2:07,2379,Bakari Copeland Defensive Rebound.,55,67
1:49,2379,Bakari Copeland Turnover.,55,67
1:48,103,Mo Jeffers Steal.,55,67
1:37,103,Ky Bowman Turnover.,55,67
1:31,2379,Ryan Andino missed Three Point Jumper.,55,67
1:31,103,Mo Jeffers Defensive Rebound.,55,67
1:17,103,Mo Jeffers made Layup. Assisted by A.J. Turner.,55,69
1:04,103,Foul on Mo Jeffers.,55,69
1:03,2379,Bakari Copeland missed Three Point Jumper.,55,69
1:03,2379,Dontae Caldwell Offensive Rebound.,55,69
0:58,2379,Ryan Andino missed Three Point Jumper.,55,69
0:58,103,Jerome Robinson Block.,55,69
0:56,2379,Thomas Rivera Offensive Rebound.,55,69
0:52,2379,Dontae Caldwell missed Jumper.,55,69
0:52,103,Nik Popovic Defensive Rebound.,55,69
0:50,103,Nik Popovic Turnover.,55,69
0:50,2379,Dontae Caldwell Steal.,55,69
0:41,2379,Deven Dorsett Turnover.,55,69
0:40,103,Jerome Robinson Steal.,55,69
0:36,103,Mike Sagay made Layup. Assisted by Jerome Robinson.,55,71
0:24,2379,Deven Dorsett made Layup. Assisted by Thomas Rivera.,57,71
0:13,103,Johncarlos Reyes made Layup. Assisted by Ky Bowman.,57,73
0:06,2379,Tyler Jones missed Three Point Jumper.,57,73
0:06,103,Boston College Defensive Rebound.,57,73
0:02,103,Boston College Defensive Rebound.,57,73
0:00,103,End of Game,57,73
