Miami (OH),2750,Wright State,193
4:57,193,Zach McCormick made Three Point Jumper. Assisted by Dion Wade.,27,39
4:37,2750,Grant Benzinger made Jumper. Assisted by Mike La Tulip.,27,41
4:21,193,Foul on Darius Harper.,27,41
4:21,193,Darius Harper Turnover.,27,41
4:11,2750,Justin Mitchell made Layup.,27,43
3:48,193,Milos Jovic Turnover.,27,43
3:48,2750,Official TV Timeout,27,43
3:37,193,Foul on Marcus Weathers.,27,43
3:37,2750,Mark Alstork made Free Throw.,27,44
3:37,2750,Mark Alstork made Free Throw.,27,45
3:28,193,Jake Wright missed Three Point Jumper.,27,45
3:28,2750,Grant Benzinger Defensive Rebound.,27,45
3:08,2750,Mark Alstork Turnover.,27,45
2:54,193,Darius Harper missed Layup.,27,45
2:54,2750,Justin Mitchell Defensive Rebound.,27,45
2:47,2750,Justin Mitchell missed Layup.,27,45
2:47,2750,Steven Davis Offensive Rebound.,27,45
2:47,193,Foul on Darius Harper.,27,45
2:47,2750,Steven Davis missed Free Throw.,27,45
2:47,2750,Wright St Deadball Team Rebound.,27,45
2:47,2750,Steven Davis made Free Throw.,27,46
2:38,193,Jake Wright missed Jumper.,27,46
2:38,193,Marcus Weathers Offensive Rebound.,27,46
2:33,193,Marcus Weathers missed Layup.,27,46
2:33,2750,Mark Alstork Defensive Rebound.,27,46
2:00,2750,Mark Alstork missed Jumper.,27,46
2:00,2750,Mike La Tulip Offensive Rebound.,27,46
1:52,2750,Steven Davis made Jumper. Assisted by Mark Hughes.,27,48
1:27,193,Marcus Weathers missed Layup.,27,48
1:27,193,Dion Wade Offensive Rebound.,27,48
1:10,193,Jake Wright made Three Point Jumper.,30,48
0:46,2750,Steven Davis made Three Point Jumper.,30,51
0:33,193,Zach McCormick missed Jumper.,30,51
0:33,193,Logan McLane Offensive Rebound.,30,51
0:30,193,Logan McLane made Two Point Tip Shot.,32,51
0:03,193,Foul on Marcus Weathers.,32,51
0:03,2750,Mark Alstork made Free Throw.,32,52
0:03,2750,Mark Alstork made Free Throw.,32,53
0:00,2750,End of 1st half,32,53
19:47,193,Foul on Rod Mills Jr..,32,53
19:47,193,Rod Mills Jr. Turnover.,32,53
19:23,2750,Justin Mitchell missed Jumper.,32,53
19:23,193,Dion Wade Defensive Rebound.,32,53
19:11,2750,Foul on Steven Davis.,32,53
19:11,193,Rod Mills Jr. made Free Throw.,33,53
19:11,193,Rod Mills Jr. made Free Throw.,34,53
18:48,2750,Mark Alstork Turnover.,34,53
18:47,193,Rod Mills Jr. Steal.,34,53
18:43,193,Jake Wright made Three Point Jumper. Assisted by Abdoulaye Harouna.,37,53
18:27,2750,Grant Benzinger missed Three Point Jumper.,37,53
18:27,193,Abdoulaye Harouna Defensive Rebound.,37,53
18:16,193,Dion Wade made Three Point Jumper. Assisted by Michael Weathers.,40,53
18:04,2750,Steven Davis missed Three Point Jumper.,40,53
18:04,193,Michael Weathers Defensive Rebound.,40,53
17:55,193,Michael Weathers missed Layup.,40,53
17:55,2750,Grant Benzinger Defensive Rebound.,40,53
17:46,2750,Justin Mitchell Turnover.,40,53
17:45,193,Dion Wade Steal.,40,53
17:42,193,Michael Weathers missed Layup.,40,53
17:42,2750,Mark Alstork Block.,40,53
17:40,2750,Justin Mitchell Defensive Rebound.,40,53
17:32,2750,Steven Davis Turnover.,40,53
17:05,193,Michael Weathers missed Layup.,40,53
17:05,2750,Justin Mitchell Defensive Rebound.,40,53
16:57,2750,Mark Alstork missed Three Point Jumper.,40,53
16:57,193,Rod Mills Jr. Defensive Rebound.,40,53
16:46,193,Abdoulaye Harouna made Three Point Jumper. Assisted by Michael Weathers.,43,53
16:27,2750,Grant Benzinger missed Three Point Jumper.,43,53
16:27,193,Rod Mills Jr. Defensive Rebound.,43,53
15:58,2750,Foul on Steven Davis.,43,53
15:58,2750,Official TV Timeout,43,53
15:58,193,Rod Mills Jr. missed Free Throw.,43,53
15:58,193,Miami (OH) Deadball Team Rebound.,43,53
15:58,193,Rod Mills Jr. made Free Throw.,44,53
15:31,2750,Mike La Tulip missed Three Point Jumper.,44,53
15:31,193,Abdoulaye Harouna Defensive Rebound.,44,53
14:59,193,Abdoulaye Harouna missed Layup.,44,53
14:59,193,Dion Wade Offensive Rebound.,44,53
14:58,193,Dion Wade Turnover.,44,53
14:41,2750,Mark Hughes Turnover.,44,53
14:27,193,Darius Harper made Jumper.,46,53
14:17,193,Foul on Zach McCormick.,46,53
14:05,2750,Parker Ernsthausen missed Jumper.,46,53
14:05,193,Darius Harper Defensive Rebound.,46,53
13:51,193,Logan McLane Turnover.,46,53
13:48,2750,Steven Davis Steal.,46,53
13:47,2750,Mike La Tulip missed Three Point Jumper.,46,53
13:47,2750,Steven Davis Offensive Rebound.,46,53
13:42,2750,Steven Davis made Two Point Tip Shot.,46,55
13:28,193,Zach McCormick missed Layup.,46,55
13:28,2750,Mark Hughes Block.,46,55
13:27,193,Miami (OH) Offensive Rebound.,46,55
13:23,2750,Foul on Steven Davis.,46,55
13:22,193,Jake Wright missed Three Point Jumper.,46,55
13:22,2750,Mark Alstork Defensive Rebound.,46,55
13:15,2750,Mark Alstork Turnover.,46,55
13:15,193,Michael Weathers Steal.,46,55
13:14,193,Miami (OH)  Timeout,46,55
13:01,193,Zach McCormick made Layup.,48,55
12:52,2750,Foul on Mark Alstork.,48,55
12:52,2750,Mark Alstork Turnover.,48,55
12:29,193,Michael Weathers made Layup.,50,55
12:01,2750,Mark Alstork missed Three Point Jumper.,50,55
12:01,193,Dion Wade Defensive Rebound.,50,55
11:42,2750,Foul on Grant Benzinger.,50,55
11:42,2750,Official TV Timeout,50,55
11:42,193,Michael Weathers missed Free Throw.,50,55
11:42,193,Miami (OH) Deadball Team Rebound.,50,55
11:42,193,Michael Weathers made Free Throw.,51,55
11:34,193,Foul on Jake Wright.,51,55
11:26,193,Foul on Michael Weathers.,51,55
11:26,2750,Mark Alstork made Free Throw.,51,56
11:26,2750,Mark Alstork made Free Throw.,51,57
11:11,2750,Foul on Steven Davis.,51,57
11:11,193,Rod Mills Jr. made Free Throw.,52,57
11:11,193,Rod Mills Jr. missed Free Throw.,52,57
11:11,2750,Mark Alstork Defensive Rebound.,52,57
11:05,2750,Mark Alstork Turnover.,52,57
11:01,193,Michael Weathers missed Layup.,52,57
11:01,2750,Mark Alstork Block.,52,57
10:59,2750,Parker Ernsthausen Defensive Rebound.,52,57
10:52,2750,Mark Alstork missed Three Point Jumper.,52,57
10:52,193,Dion Wade Defensive Rebound.,52,57
10:49,2750,Foul on Grant Benzinger.,52,57
10:49,193,Dion Wade made Free Throw.,53,57
10:49,193,Dion Wade made Free Throw.,54,57
10:41,2750,Justin Mitchell missed Layup.,54,57
10:41,193,Darius Harper Defensive Rebound.,54,57
10:33,193,Michael Weathers missed Layup.,54,57
10:33,2750,Grant Benzinger Defensive Rebound.,54,57
10:26,193,Foul on Dion Wade.,54,57
10:20,2750,Mark Alstork missed Three Point Jumper.,54,57
10:20,193,Dion Wade Defensive Rebound.,54,57
10:10,193,Zach McCormick Turnover.,54,57
9:59,193,Foul on Abdoulaye Harouna.,54,57
9:43,193,Foul on Darius Harper.,54,57
9:43,2750,Parker Ernsthausen made Free Throw.,54,58
9:43,2750,Parker Ernsthausen made Free Throw.,54,59
9:31,193,Rod Mills Jr. made Three Point Jumper. Assisted by Zach McCormick.,57,59
9:09,2750,Grant Benzinger made Jumper.,57,61
9:08,193,Foul on Abdoulaye Harouna.,57,61
9:08,2750,Grant Benzinger made Free Throw.,57,62
9:01,193,Rod Mills Jr. made Jumper. Assisted by Michael Weathers.,59,62
8:37,2750,Grant Benzinger missed Jumper.,59,62
8:37,193,Michael Weathers Defensive Rebound.,59,62
8:32,193,Logan McLane made Layup. Assisted by Michael Weathers.,61,62
8:16,2750,Mark Hughes Turnover.,61,62
8:16,2750,Wright St  Timeout,61,62
7:58,193,Rod Mills Jr. made Jumper.,63,62
7:48,2750,Justin Mitchell made Jumper.,63,64
7:16,193,Logan McLane made Jumper.,65,64
7:03,2750,Grant Benzinger made Jumper. Assisted by Justin Mitchell.,65,66
6:33,193,Zach McCormick made Three Point Jumper. Assisted by Dion Wade.,68,66
6:14,193,Foul on Dion Wade.,68,66
6:14,2750,Mark Alstork made Free Throw.,68,67
6:14,2750,Mark Alstork missed Free Throw.,68,67
6:14,193,Michael Weathers Defensive Rebound.,68,67
6:07,193,Michael Weathers missed Jumper.,68,67
6:07,2750,Justin Mitchell Defensive Rebound.,68,67
6:01,2750,Mike La Tulip made Three Point Jumper. Assisted by Mark Alstork.,68,70
5:41,193,Jake Wright made Three Point Jumper. Assisted by Rod Mills Jr..,71,70
5:27,193,Foul on Dion Wade.,71,70
5:27,2750,Mark Alstork made Free Throw.,71,71
5:27,2750,Mark Alstork missed Free Throw.,71,71
5:27,193,Miami (OH) Deadball Team Rebound.,71,71
5:26,2750,Foul on Steven Davis.,71,71
5:26,193,Logan McLane missed Free Throw.,71,71
5:26,2750,Grant Benzinger Defensive Rebound.,71,71
5:16,2750,Mark Alstork made Three Point Jumper. Assisted by Grant Benzinger.,71,74
4:55,193,Jake Wright made Three Point Jumper.,74,74
4:37,2750,Justin Mitchell made Layup.,74,76
4:22,193,Michael Weathers made Layup.,76,76
4:08,2750,Grant Benzinger missed Three Point Jumper.,76,76
4:08,2750,Mark Alstork Offensive Rebound.,76,76
4:03,193,Foul on Abdoulaye Harouna.,76,76
4:03,2750,Mark Alstork made Free Throw.,76,77
4:03,2750,Mark Alstork made Free Throw.,76,78
3:43,193,Michael Weathers Turnover.,76,78
3:42,2750,Mark Hughes Steal.,76,78
3:27,2750,Mark Alstork missed Jumper.,76,78
3:27,193,Michael Weathers Block.,76,78
3:26,193,Dion Wade Defensive Rebound.,76,78
3:24,2750,Foul on Mark Hughes.,76,78
3:24,2750,Official TV Timeout,76,78
3:24,193,Dion Wade made Free Throw.,77,78
3:24,193,Dion Wade made Free Throw.,78,78
3:15,2750,Mark Alstork made Layup.,78,80
2:55,2750,Foul on Parker Ernsthausen.,78,80
2:55,193,Michael Weathers made Free Throw.,79,80
2:55,193,Michael Weathers made Free Throw.,80,80
2:41,2750,Mark Alstork missed Layup.,80,80
2:41,193,Darius Harper Defensive Rebound.,80,80
2:24,2750,Foul on Parker Ernsthausen.,80,80
2:24,193,Michael Weathers made Free Throw.,81,80
2:24,193,Michael Weathers made Free Throw.,82,80
2:15,193,Foul on Rod Mills Jr..,82,80
2:15,2750,Mark Alstork made Free Throw.,82,81
2:15,2750,Mark Alstork made Free Throw.,82,82
1:55,193,Darius Harper missed Jumper.,82,82
1:55,2750,Grant Benzinger Defensive Rebound.,82,82
1:44,2750,Mark Alstork made Jumper.,82,84
1:42,2750,Wright St  Timeout,82,84
1:31,193,Michael Weathers made Layup.,84,84
1:20,2750,Mark Alstork missed Three Point Jumper.,84,84
1:20,2750,Parker Ernsthausen Offensive Rebound.,84,84
1:00,193,Foul on Rod Mills Jr..,84,84
1:00,2750,Mark Alstork made Free Throw.,84,85
1:00,2750,Mark Alstork made Free Throw.,84,86
0:48,193,Rod Mills Jr. missed Three Point Jumper.,84,86
0:48,2750,Mark Alstork Defensive Rebound.,84,86
0:19,2750,Mark Alstork made Jumper.,84,88
0:10,193,Jake Wright made Three Point Jumper.,87,88
0:10,193,Miami (OH)  Timeout,87,88
0:10,193,Foul on Michael Weathers.,87,88
0:10,2750,Mark Alstork made Free Throw.,87,89
0:10,193,Miami (OH)  Timeout,87,89
0:10,2750,Mark Alstork missed Free Throw.,87,89
0:10,193,Dion Wade Defensive Rebound.,87,89
0:03,193,Michael Weathers missed Jumper.,87,89
0:03,2750,Mark Alstork Defensive Rebound.,87,89
0:02,193,Foul on Rod Mills Jr..,87,89
0:02,2750,Mark Alstork missed Free Throw.,87,89
0:02,2750,Wright St Deadball Team Rebound.,87,89
0:02,2750,Mark Alstork missed Free Throw.,87,89
0:02,193,Dion Wade Defensive Rebound.,87,89
0:00,2750,End of Game,87,89
