Allen,Error,Wofford,2747
11:16,2747,Official TV Timeout,10,30
11:09,-1,Demetrius Richardson missed Jumper.,10,30
11:09,-1,Loce Hill Offensive Rebound.,10,30
11:07,-1,Loce Hill missed Jumper.,10,30
11:07,2747,Dishon Lowery Defensive Rebound.,10,30
10:57,2747,Jaylen Allen made Three Point Jumper. Assisted by Derrick Brooks.,10,33
10:48,2747,Foul on Derrick Brooks.,10,33
10:48,-1,Demetrius Richardson made Free Throw.,11,33
10:48,-1,Demetrius Richardson made Free Throw.,12,33
10:35,2747,Jaylen Allen Turnover.,12,33
10:21,-1,Loce Hill missed Jumper.,12,33
10:21,2747,Dishon Lowery Block.,12,33
10:21,-1,Allen Offensive Rebound.,12,33
10:16,-1,Loce Hill missed Layup.,12,33
10:16,2747,Dishon Lowery Defensive Rebound.,12,33
10:01,2747,Donovan Theme-Love made Three Point Jumper. Assisted by Derrick Brooks.,12,36
9:41,-1,Dexter Walker missed Jumper.,12,36
9:41,2747,Dishon Lowery Block.,12,36
9:38,2747,Donovan Theme-Love Defensive Rebound.,12,36
9:35,2747,Derrick Brooks made Layup. Assisted by Donovan Theme-Love.,12,38
9:23,-1,Emaray Johnson made Three Point Jumper. Assisted by Demetrius Richardson.,15,38
9:19,2747,Wofford  Timeout,15,38
9:19,-1,Foul on Johnathan Grant.,15,38
9:02,2747,Jaylen Allen made Layup.,15,40
8:46,-1,Ivory Drummer missed Jumper.,15,40
8:46,2747,Ryan Sawvell Defensive Rebound.,15,40
8:37,2747,Jaylen Allen made Three Point Jumper. Assisted by Dishon Lowery.,15,43
8:09,-1,Avery Harris made Jumper.,17,43
7:56,2747,Dishon Lowery made Dunk. Assisted by Derrick Brooks.,17,45
7:42,-1,Ivory Drummer made Jumper. Assisted by Emaray Johnson.,19,45
7:35,-1,Technical Foul on Allen.,19,45
7:35,2747,Donovan Theme-Love made Free Throw.,19,46
7:35,-1,Foul on Johnathan Grant.,19,45
7:35,2747,Official TV Timeout,19,45
7:35,2747,Cameron Jackson missed Free Throw.,19,45
7:35,2747,Wofford Deadball Team Rebound.,19,45
7:35,2747,Donovan Theme-Love made Free Throw.,19,47
7:17,-1,Avery Harris made Layup.,21,47
7:17,2747,Foul on Trevor Stumpe.,21,47
7:17,-1,Avery Harris missed Free Throw.,21,47
7:17,2747,Ryan Sawvell Defensive Rebound.,21,47
7:06,2747,Kevon Tucker missed Three Point Jumper.,21,47
7:06,2747,Trevor Stumpe Offensive Rebound.,21,47
7:03,2747,Trevor Stumpe missed Layup.,21,47
7:03,2747,Trevor Stumpe Offensive Rebound.,21,47
6:59,2747,Eric Garcia made Three Point Jumper. Assisted by Trevor Stumpe.,21,50
6:44,-1,Arvel Atwater made Three Point Jumper. Assisted by Ramon Suero.,24,50
6:21,2747,Eric Garcia made Three Point Jumper.,24,53
5:59,-1,Ramon Suero Turnover.,24,53
5:38,2747,Cameron Jackson missed Jumper.,24,53
5:38,-1,Avery Harris Defensive Rebound.,24,53
5:29,-1,Ivory Drummer missed Three Point Jumper.,24,53
5:29,2747,Eric Garcia Defensive Rebound.,24,53
5:19,2747,Fletcher Magee made Three Point Jumper. Assisted by Nathan Hoover.,24,56
4:59,2747,Foul on Fletcher Magee.,24,56
4:59,-1,Technical Foul on Loce Hill.,24,56
4:59,-1,Foul on Loce Hill.,24,56
4:59,2747,Fletcher Magee made Free Throw.,24,57
4:59,2747,Fletcher Magee made Free Throw.,24,58
4:58,2747,Donovan Theme-Love Turnover.,24,58
4:45,-1,Avery Harris Turnover.,24,58
4:44,2747,Cameron Jackson Steal.,24,58
4:42,2747,Cameron Jackson made Dunk.,24,60
4:33,-1,Avery Harris made Layup.,26,60
4:17,2747,Fletcher Magee Turnover.,26,60
3:55,-1,Avery Harris made Jumper.,28,60
3:22,2747,Eric Garcia made Three Point Jumper.,28,63
3:06,-1,Loce Hill made Jumper.,30,63
2:43,-1,Foul on Loce Hill.,30,63
2:43,2747,Official TV Timeout,30,63
2:43,2747,Ryan Sawvell made Free Throw.,30,64
2:43,2747,Ryan Sawvell made Free Throw.,30,65
2:28,-1,Ramon Suero made Jumper.,32,65
1:59,-1,Foul on Johnathan Grant.,32,65
1:59,2747,Fletcher Magee made Free Throw.,32,66
1:59,2747,Fletcher Magee made Free Throw.,32,67
1:48,-1,Emaray Johnson missed Three Point Jumper.,32,67
1:48,-1,Arvel Atwater Offensive Rebound.,32,67
1:42,2747,Foul on Donovan Theme-Love.,32,67
1:42,-1,Arvel Atwater made Free Throw.,33,67
1:42,-1,Arvel Atwater made Free Throw.,34,67
1:32,2747,Fletcher Magee made Jumper. Assisted by Donovan Theme-Love.,34,69
1:22,-1,Arvel Atwater made Three Point Jumper. Assisted by Avery Harris.,37,69
1:06,2747,Donovan Theme-Love Turnover.,37,69
1:05,-1,Avery Harris Steal.,37,69
1:03,-1,Avery Harris missed Dunk.,37,69
1:03,2747,Wofford Defensive Rebound.,37,69
0:44,2747,Donovan Theme-Love Turnover.,37,69
0:27,-1,Ramon Suero made Layup. Assisted by Arvel Atwater.,39,69
0:09,2747,Eric Wagenlander missed Three Point Jumper.,39,69
0:09,2747,Eric Wagenlander Offensive Rebound.,39,69
0:05,2747,Nathan Hoover missed Three Point Jumper.,39,69
0:05,-1,Avery Harris Defensive Rebound.,39,69
0:00,2747,End of 1st half,39,69
20:00,2747,Jaylen Allen missed Jumper.,39,69
20:00,2747,Cameron Jackson Offensive Rebound.,39,69
20:00,2747,Cameron Jackson missed Layup.,39,69
20:00,2747,Cameron Jackson Offensive Rebound.,39,69
20:00,2747,Cameron Jackson made Layup.,39,71
19:59,2747,Foul on Cameron Jackson.,39,71
19:59,-1,Emaray Johnson made Free Throw.,40,71
19:31,2747,Eric Garcia made Layup.,40,73
19:23,-1,Avery Harris missed Layup.,40,73
19:23,2747,Ryan Sawvell Defensive Rebound.,40,73
19:03,2747,Cameron Jackson Turnover.,40,73
19:02,-1,Avery Harris Steal.,40,73
18:56,-1,Ramon Suero made Three Point Jumper. Assisted by Arvel Atwater.,43,73
18:35,2747,Ryan Sawvell made Layup. Assisted by Fletcher Magee.,43,75
18:29,-1,Ivory Drummer missed Three Point Jumper.,43,75
18:29,2747,Fletcher Magee Defensive Rebound.,43,75
18:16,-1,Foul on Ramon Suero.,43,75
18:02,2747,Matthew Pegram made Layup. Assisted by Eric Garcia.,43,77
17:42,2747,Foul on Matthew Pegram.,43,77
17:36,-1,Dexter Walker missed Jumper.,43,77
17:36,2747,Eric Garcia Defensive Rebound.,43,77
17:15,2747,Matthew Pegram Turnover.,43,77
17:14,-1,Dexter Walker Steal.,43,77
17:01,-1,Arvel Atwater missed Three Point Jumper.,43,77
17:01,2747,Ryan Sawvell Defensive Rebound.,43,77
16:53,2747,Ryan Sawvell missed Layup.,43,77
16:53,2747,Matthew Pegram Offensive Rebound.,43,77
16:50,2747,Matthew Pegram made Layup.,43,79
16:26,-1,Avery Harris missed Layup.,43,79
16:26,2747,Eric Garcia Defensive Rebound.,43,79
16:08,2747,Eric Garcia made Three Point Jumper.,43,82
15:51,-1,Ivory Drummer Turnover.,43,82
15:51,2747,Official TV Timeout,43,82
15:47,2747,Fletcher Magee missed Jumper.,43,82
15:47,-1,Ivory Drummer Defensive Rebound.,43,82
15:31,-1,Ramon Suero missed Jumper.,43,82
15:31,2747,Wofford Defensive Rebound.,43,82
15:15,2747,Jaylen Allen missed Jumper.,43,82
15:15,2747,Wofford Offensive Rebound.,43,82
15:08,2747,Fletcher Magee made Three Point Jumper. Assisted by Justin Tucker.,43,85
14:43,2747,Foul on Justin Tucker.,43,85
14:43,-1,Ramon Suero missed Free Throw.,43,85
14:43,-1,Allen Deadball Team Rebound.,43,85
14:43,-1,Ramon Suero made Free Throw.,44,85
14:33,2747,Nathan Hoover missed Three Point Jumper.,44,85
14:33,-1,Arvel Atwater Defensive Rebound.,44,85
14:18,-1,Arvel Atwater made Three Point Jumper. Assisted by Ivory Drummer.,47,85
14:01,2747,Justin Tucker Turnover.,47,85
14:01,-1,Avery Harris Steal.,47,85
13:49,-1,Arvel Atwater missed Three Point Jumper.,47,85
13:49,2747,Donovan Theme-Love Defensive Rebound.,47,85
13:45,2747,Donovan Theme-Love Turnover.,47,85
13:43,-1,Ivory Drummer Steal.,47,85
13:40,-1,Arvel Atwater made Layup. Assisted by Ivory Drummer.,49,85
13:18,2747,Justin Tucker made Layup. Assisted by Derrick Brooks.,49,87
13:02,-1,Emaray Johnson Turnover.,49,87
13:02,2747,Justin Tucker Steal.,49,87
13:00,-1,Foul on Demetrius Richardson.,49,87
13:00,-1,Allen  Timeout,49,87
13:00,2747,Justin Tucker missed Free Throw.,49,87
13:00,2747,Wofford Deadball Team Rebound.,49,87
13:00,2747,Justin Tucker made Free Throw.,49,88
12:43,-1,Demetrius Richardson missed Layup.,49,88
12:43,2747,Justin Tucker Defensive Rebound.,49,88
12:37,2747,Derrick Brooks made Three Point Jumper. Assisted by Donovan Theme-Love.,49,91
12:17,-1,Avery Harris missed Layup.,49,91
12:17,-1,Demetrius Richardson Offensive Rebound.,49,91
12:13,-1,Demetrius Richardson made Layup.,51,91
12:08,2747,Foul on Donovan Theme-Love.,51,91
12:04,-1,Demetrius Richardson made Free Throw.,52,91
11:41,2747,Donovan Theme-Love made Layup.,52,93
11:28,-1,Demetrius Richardson missed Layup.,52,93
11:28,-1,Demetrius Richardson Offensive Rebound.,52,93
11:26,-1,Demetrius Richardson made Layup.,54,93
11:06,2747,Derrick Brooks made Layup.,54,95
10:38,-1,Demetrius Richardson missed Layup.,54,95
10:38,-1,Ivory Drummer Offensive Rebound.,54,95
10:35,-1,Ivory Drummer made Layup.,56,95
10:30,2747,Foul on Donovan Theme-Love.,56,95
10:30,2747,Official TV Timeout,56,95
10:30,-1,Ivory Drummer made Free Throw.,57,95
10:22,2747,Justin Tucker made Layup. Assisted by Donovan Theme-Love.,57,97
10:02,-1,Emaray Johnson missed Three Point Jumper.,57,97
10:02,2747,Donovan Theme-Love Defensive Rebound.,57,97
9:54,2747,Kevon Tucker missed Three Point Jumper.,57,97
9:41,2747,Dishon Lowery Offensive Rebound.,57,97
9:41,2747,Dishon Lowery made Layup.,57,99
9:41,-1,Foul on Arvel Atwater.,57,99
9:41,2747,Dishon Lowery missed Free Throw.,57,99
9:41,-1,Arvel Atwater Defensive Rebound.,57,99
9:27,-1,Avery Harris made Jumper.,59,99
9:08,2747,Dishon Lowery Turnover.,59,99
8:53,-1,Demetrius Richardson made Layup. Assisted by Loce Hill.,61,99
8:40,2747,Donovan Theme-Love Turnover.,61,99
8:39,-1,Arvel Atwater Steal.,61,99
8:35,-1,Arvel Atwater missed Layup.,61,99
8:35,2747,Nathan Hoover Block.,61,99
8:33,2747,Nathan Hoover Defensive Rebound.,61,99
8:16,2747,Nathan Hoover missed Three Point Jumper.,61,99
8:16,-1,Allen Defensive Rebound.,61,99
8:09,-1,Emaray Johnson missed Three Point Jumper.,61,99
8:09,-1,Allen Offensive Rebound.,61,99
7:58,2747,Official TV Timeout,61,99
7:48,-1,Loce Hill missed Jumper.,61,99
7:48,2747,Dishon Lowery Block.,61,99
7:46,2747,Dishon Lowery Defensive Rebound.,61,99
7:40,2747,Nathan Hoover made Three Point Jumper. Assisted by Donovan Theme-Love.,61,102
7:23,2747,Foul on Trevor Stumpe.,61,102
7:23,-1,Loce Hill missed Free Throw.,61,102
7:23,-1,Allen Deadball Team Rebound.,61,102
7:23,-1,Loce Hill made Free Throw.,62,102
7:10,2747,Dishon Lowery Turnover.,62,102
7:09,-1,Arvel Atwater Steal.,62,102
7:06,-1,Emaray Johnson made Layup.,64,102
6:50,2747,Justin Tucker missed Jumper.,64,102
6:50,-1,Arvel Atwater Defensive Rebound.,64,102
6:41,2747,Foul on Kevon Tucker.,64,102
6:41,-1,Avery Harris made Free Throw.,65,102
6:41,-1,Avery Harris missed Free Throw.,65,102
6:41,2747,Dishon Lowery Defensive Rebound.,65,102
6:31,2747,Trevor Stumpe missed Layup.,65,102
6:31,-1,Arvel Atwater Block.,65,102
6:30,-1,Loce Hill Defensive Rebound.,65,102
6:24,-1,Loce Hill missed Layup.,65,102
6:24,2747,Wofford Offensive Rebound.,65,102
6:14,2747,Trevor Stumpe made Three Point Jumper. Assisted by Derrick Brooks.,65,105
6:02,-1,Arvel Atwater missed Three Point Jumper.,65,105
6:02,-1,Ivory Drummer Offensive Rebound.,65,105
5:58,-1,Ivory Drummer made Layup.,67,105
5:39,2747,Justin Tucker made Dunk. Assisted by Derrick Brooks.,67,107
5:18,-1,Johnathan Grant missed Three Point Jumper.,67,107
5:18,2747,Derrick Brooks Defensive Rebound.,67,107
5:09,2747,Derrick Brooks Turnover.,67,107
4:53,2747,Foul on Kevon Tucker.,67,107
4:53,-1,Demetrius Richardson made Free Throw.,68,107
4:53,-1,Demetrius Richardson made Free Throw.,69,107
4:41,2747,Justin Tucker missed Layup.,69,107
4:41,-1,Arvel Atwater Defensive Rebound.,69,107
4:34,-1,Arvel Atwater made Three Point Jumper. Assisted by Avery Harris.,72,107
4:12,2747,Matthew Pegram made Layup. Assisted by Trevor Stumpe.,72,109
3:49,-1,Ivory Drummer missed Three Point Jumper.,72,109
3:49,2747,Matthew Pegram Defensive Rebound.,72,109
3:21,2747,Matthew Pegram made Jumper. Assisted by Donovan Theme-Love.,72,111
3:10,-1,Avery Harris made Jumper.,74,111
3:10,2747,Foul on Matthew Pegram.,74,111
3:10,2747,Official TV Timeout,74,111
3:10,-1,Avery Harris missed Free Throw.,74,111
3:10,2747,Matthew Pegram Defensive Rebound.,74,111
3:08,2747,Eric Wagenlander missed Three Point Jumper.,74,111
3:08,-1,Demetrius Richardson Defensive Rebound.,74,111
3:00,2747,Foul on Eric Wagenlander.,74,111
3:00,-1,Demetrius Richardson made Free Throw.,75,111
3:00,-1,Demetrius Richardson missed Free Throw.,75,111
3:00,-1,Allen Offensive Rebound.,75,111
2:34,-1,Ramon Suero missed Jumper.,75,111
2:34,2747,Donovan Theme-Love Defensive Rebound.,75,111
2:24,-1,Foul on Ramon Suero.,75,111
2:24,2747,Justin Tucker missed Free Throw.,75,111
2:24,2747,Wofford Deadball Team Rebound.,75,111
2:24,2747,Justin Tucker made Free Throw.,75,112
2:09,-1,Demetrius Richardson missed Jumper.,75,112
2:09,2747,Dishon Lowery Defensive Rebound.,75,112
1:48,2747,Donovan Theme-Love Turnover.,75,112
1:47,-1,Demetrius Richardson Steal.,75,112
1:45,-1,Demetrius Richardson made Dunk.,77,112
1:21,2747,Justin Tucker made Layup. Assisted by Kevon Tucker.,77,114
1:15,-1,Foul on Ramon Suero.,77,114
1:15,2747,Justin Tucker made Free Throw.,77,115
1:00,-1,Dexter Walker missed Jumper.,77,115
1:00,2747,Kevon Tucker Defensive Rebound.,77,115
0:46,2747,Kevon Tucker made Layup.,77,117
0:23,-1,Avery Harris missed Jumper.,77,117
0:23,2747,Donovan Theme-Love Defensive Rebound.,77,117
0:00,2747,End of Game,77,117
