Truett-McConnell,Error,The Citadel,2643
13:58,2643,Preston Parks Steal.,5,19
13:55,-1,Foul on Christian Davis.,5,19
13:55,2643,Preston Parks made Free Throw.,5,20
13:55,-1,Truett-McConnell  Timeout,5,20
13:55,2643,Preston Parks made Free Throw.,5,21
13:54,-1,David Campbell Jr. Turnover.,5,21
13:53,2643,Warren Sledge missed Three Point Jumper.,5,21
13:53,2643,Matt Frierson Offensive Rebound.,5,21
13:46,2643,Matt Frierson missed Three Point Jumper.,5,21
13:46,-1,Truett-McConnell Defensive Rebound.,5,21
13:38,2643,Foul on Frankie Johnson.,5,21
13:27,-1,Sandale James missed Layup.,5,21
13:27,-1,Sandale James Offensive Rebound.,5,21
13:23,-1,Sandale James made Layup.,7,21
13:16,2643,Leandro Allende missed Three Point Jumper.,7,21
13:16,2643,Zane Najdawi Offensive Rebound.,7,21
13:07,2643,Matt Frierson missed Three Point Jumper.,7,21
13:07,2643,Leandro Allende Offensive Rebound.,7,21
13:03,-1,Foul on Sandale James.,7,21
13:03,2643,Leandro Allende made Free Throw.,7,22
13:03,2643,Leandro Allende made Free Throw.,7,23
12:58,-1,Kai Lambert missed Jumper.,7,23
12:58,-1,Sandale James Offensive Rebound.,7,23
12:55,-1,Sandale James made Layup.,9,23
12:54,2643,Foul on Zane Najdawi.,9,23
12:54,-1,Sandale James made Free Throw.,10,23
12:45,2643,Kaelon Harris Turnover.,10,23
12:45,-1,Truett-McConnell  Timeout,10,23
12:31,-1,Tylor Brown missed Layup.,10,23
12:31,2643,Kaelon Harris Defensive Rebound.,10,23
12:26,2643,Matt Frierson missed Three Point Jumper.,10,23
12:26,-1,Sandale James Defensive Rebound.,10,23
12:06,-1,Sandale James made Layup.,12,23
11:49,2643,Matt Frierson missed Three Point Jumper.,12,23
11:49,2643,Tom Koopman Offensive Rebound.,12,23
11:42,2643,Kaelon Harris missed Three Point Jumper.,12,23
11:42,-1,Truett-McConnell Defensive Rebound.,12,23
11:11,2643,Foul on Brian White.,12,23
11:11,-1,Tylor Brown missed Free Throw.,12,23
11:11,-1,Truett-McConnell Deadball Team Rebound.,12,23
11:11,-1,Tylor Brown made Free Throw.,13,23
10:58,2643,Preston Parks Turnover.,13,23
10:57,-1,Tylor Brown Steal.,13,23
10:54,-1,Tylor Brown made Layup.,15,23
10:45,2643,Warren Sledge missed Jumper.,15,23
10:45,-1,Kai Lambert Defensive Rebound.,15,23
10:34,-1,Tylor Brown Turnover.,15,23
10:24,2643,Preston Parks missed Three Point Jumper.,15,23
10:24,-1,Tylor Brown Defensive Rebound.,15,23
10:16,-1,Bj Burkett Turnover.,15,23
10:15,2643,Frankie Johnson Steal.,15,23
10:11,-1,Foul on Mario Westbrooks.,15,23
10:11,2643,Warren Sledge made Free Throw.,15,24
10:11,2643,Warren Sledge made Free Throw.,15,25
10:00,2643,Quayson Williams missed Three Point Jumper.,15,25
10:00,-1,Kai Lambert Defensive Rebound.,15,25
9:52,-1,Christian Davis missed Three Point Jumper.,15,25
9:52,-1,Tylor Brown Offensive Rebound.,15,25
9:47,-1,Foul on Darius McNear.,15,25
9:47,2643,Leandro Allende missed Free Throw.,15,25
9:47,2643,The Citadel Deadball Team Rebound.,15,25
9:47,2643,Leandro Allende made Free Throw.,15,26
9:44,2643,Foul on Preston Parks.,15,26
9:37,-1,Bj Burkett Turnover.,15,26
9:35,2643,Matt Frierson Steal.,15,26
9:30,2643,Leandro Allende Turnover.,15,26
9:28,-1,Bj Burkett Turnover.,15,26
9:26,2643,Zane Najdawi Steal.,15,26
9:24,2643,Quayson Williams made Three Point Jumper. Assisted by Matt Frierson.,15,29
9:13,-1,Bj Burkett made Layup. Assisted by Willie Stallworth.,17,29
9:03,-1,Foul on Darius McNear.,17,29
9:00,2643,Zane Najdawi Turnover.,17,29
9:00,-1,Darius McNear Steal.,17,29
8:53,-1,Bj Burkett made Layup.,19,29
8:45,-1,Foul on Darius McNear.,19,29
8:45,2643,Leandro Allende made Free Throw.,19,30
8:45,2643,Leandro Allende made Free Throw.,19,31
8:32,-1,Tylor Brown made Layup.,21,31
8:22,2643,Quayson Williams missed Three Point Jumper.,21,31
8:22,-1,Sandale James Defensive Rebound.,21,31
8:05,-1,Jacob Booke missed Three Point Jumper.,21,31
8:05,2643,Quayson Williams Defensive Rebound.,21,31
7:53,2643,Kaelon Harris made Layup. Assisted by Frankie Johnson.,21,33
7:53,-1,Foul on Sandale James.,21,33
7:53,2643,Official TV Timeout,21,33
7:53,2643,Kaelon Harris made Free Throw.,21,34
7:47,-1,Jacob Booke Turnover.,21,34
7:32,2643,Kaelon Harris missed Jumper.,21,34
7:32,2643,Zane Najdawi Offensive Rebound.,21,34
7:29,2643,Zane Najdawi missed Jumper.,21,34
7:29,-1,Truett-McConnell Defensive Rebound.,21,34
7:16,-1,David Campbell Jr. made Three Point Jumper. Assisted by Willie Stallworth.,24,34
7:09,2643,Warren Sledge missed Three Point Jumper.,24,34
7:09,2643,Frankie Johnson Offensive Rebound.,24,34
7:04,2643,Frankie Johnson made Jumper.,24,36
6:50,-1,David Campbell Jr. missed Three Point Jumper.,24,36
6:50,2643,Zane Najdawi Defensive Rebound.,24,36
6:40,2643,Kaelon Harris missed Three Point Jumper.,24,36
6:40,2643,Zane Najdawi Offensive Rebound.,24,36
6:37,2643,Zane Najdawi made Jumper.,24,38
6:10,-1,Willie Stallworth Turnover.,24,38
6:07,2643,Quayson Williams made Three Point Jumper. Assisted by Frankie Johnson.,24,41
5:50,2643,Foul on Zane Najdawi.,24,41
5:50,-1,Trey Bailey made Free Throw.,25,41
5:50,-1,Trey Bailey missed Free Throw.,25,41
5:50,2643,Zane Najdawi Defensive Rebound.,25,41
5:39,-1,Foul on Trey Bailey.,25,41
5:39,2643,Zane Najdawi made Free Throw.,25,42
5:39,2643,Zane Najdawi made Free Throw.,25,43
5:32,-1,Willie Stallworth missed Layup.,25,43
5:32,2643,Zane Najdawi Defensive Rebound.,25,43
5:27,-1,Foul on David Campbell Jr..,25,43
5:27,2643,Warren Sledge made Free Throw.,25,44
5:27,2643,Warren Sledge made Free Throw.,25,45
5:08,-1,David Campbell Jr. missed Layup.,25,45
5:08,2643,Zane Najdawi Block.,25,45
5:08,-1,Truett-McConnell Offensive Rebound.,25,45
5:06,-1,Jacob Booke missed Jumper.,25,45
5:06,-1,Willie Stallworth Offensive Rebound.,25,45
5:01,-1,Willie Stallworth made Jumper.,27,45
4:56,2643,Ezekiel Balogun Turnover.,27,45
4:43,-1,Trey Bailey missed Layup.,27,45
4:43,2643,Leandro Allende Defensive Rebound.,27,45
4:37,2643,Frankie Johnson Turnover.,27,45
4:35,-1,David Campbell Jr. Steal.,27,45
4:33,-1,David Campbell Jr. made Dunk.,29,45
4:27,2643,Frankie Johnson Turnover.,29,45
4:26,-1,Jacob Booke Steal.,29,45
4:11,2643,Foul on Frankie Johnson.,29,45
4:11,-1,David Campbell Jr. made Free Throw.,30,45
4:11,-1,David Campbell Jr. made Free Throw.,31,45
4:00,2643,Matt Frierson made Three Point Jumper. Assisted by Zane Najdawi.,31,48
3:47,-1,Tylor Brown missed Layup.,31,48
3:47,2643,Zane Najdawi Block.,31,48
3:44,2643,Preston Parks Defensive Rebound.,31,48
3:38,2643,Preston Parks Turnover.,31,48
3:36,-1,Jacob Booke Steal.,31,48
3:33,-1,David Campbell Jr. made Three Point Jumper. Assisted by Jacob Booke.,34,48
3:25,2643,Zane Najdawi made Dunk. Assisted by Preston Parks.,34,50
3:06,-1,David Campbell Jr. made Three Point Jumper. Assisted by Willie Stallworth.,37,50
3:05,2643,Foul on Preston Parks.,37,50
3:05,2643,Official TV Timeout,37,50
3:05,-1,David Campbell Jr. made Free Throw.,38,50
2:47,2643,Preston Parks missed Three Point Jumper.,38,50
2:47,-1,David Campbell Jr. Defensive Rebound.,38,50
2:31,-1,Tylor Brown made Layup. Assisted by Willie Stallworth.,40,50
2:22,2643,Matt Frierson missed Three Point Jumper.,40,50
2:22,-1,Willie Stallworth Defensive Rebound.,40,50
2:12,2643,Foul on Quayson Williams.,40,50
2:12,-1,Tylor Brown made Free Throw.,41,50
2:12,-1,Tylor Brown made Free Throw.,42,50
2:00,-1,Foul on Bj Burkett.,42,50
2:00,2643,Kaelon Harris missed Free Throw.,42,50
2:00,2643,The Citadel Deadball Team Rebound.,42,50
2:00,2643,Kaelon Harris missed Free Throw.,42,50
2:00,2643,Warren Sledge Offensive Rebound.,42,50
1:50,2643,Warren Sledge missed Three Point Jumper.,42,50
1:50,-1,Willie Stallworth Defensive Rebound.,42,50
1:39,-1,Willie Stallworth missed Jumper.,42,50
1:39,2643,Frankie Johnson Defensive Rebound.,42,50
1:33,2643,Preston Parks missed Three Point Jumper.,42,50
1:33,-1,Kai Lambert Defensive Rebound.,42,50
1:04,-1,Jacob Booke made Jumper. Assisted by Tylor Brown.,44,50
0:50,2643,Warren Sledge Turnover.,44,50
0:37,-1,Willie Stallworth missed Jumper.,44,50
0:37,-1,Bj Burkett Offensive Rebound.,44,50
0:34,2643,Foul on Leandro Allende.,44,50
0:34,-1,Bj Burkett missed Free Throw.,44,50
0:34,-1,Truett-McConnell Deadball Team Rebound.,44,50
0:34,-1,Bj Burkett made Free Throw.,45,50
0:11,2643,Frankie Johnson made Three Point Jumper. Assisted by Leandro Allende.,45,53
0:00,2643,End of 1st half,45,53
19:55,2643,Quayson Williams made Three Point Jumper. Assisted by Frankie Johnson.,45,56
19:55,-1,Jacob Booke Turnover.,45,56
19:55,2643,Leandro Allende Steal.,45,56
19:55,2643,Leandro Allende missed Layup.,45,56
19:55,2643,Frankie Johnson Offensive Rebound.,45,56
19:55,2643,Frankie Johnson made Layup. Assisted by Frankie Johnson.,45,58
19:11,-1,Willie Stallworth made Jumper. Assisted by Christian Davis.,47,58
19:07,-1,Foul on Mario Westbrooks.,47,58
19:02,2643,Warren Sledge Turnover.,47,58
18:59,-1,Jacob Booke Turnover.,47,58
18:59,2643,Quayson Williams Steal.,47,58
18:56,2643,Leandro Allende missed Three Point Jumper.,47,58
18:56,-1,Willie Stallworth Defensive Rebound.,47,58
18:35,-1,David Campbell Jr. missed Three Point Jumper.,47,58
18:35,-1,Sandale James Offensive Rebound.,47,58
18:31,-1,Sandale James made Layup.,49,58
18:23,2643,Frankie Johnson made Layup.,49,60
18:11,-1,Willie Stallworth made Layup.,51,60
18:02,2643,Frankie Johnson missed Three Point Jumper.,51,60
18:02,-1,Willie Stallworth Defensive Rebound.,51,60
17:50,-1,Willie Stallworth made Jumper.,53,60
17:44,2643,Frankie Johnson Turnover.,53,60
17:42,-1,Christian Davis Steal.,53,60
17:39,-1,Christian Davis missed Three Point Jumper.,53,60
17:39,-1,David Campbell Jr. Offensive Rebound.,53,60
17:36,-1,David Campbell Jr. made Jumper.,55,60
17:24,2643,Quayson Williams made Jumper.,55,62
17:12,2643,Foul on Brian White.,55,62
16:59,-1,Foul on Sandale James.,55,62
16:59,-1,Sandale James Turnover.,55,62
16:45,2643,Warren Sledge made Three Point Jumper. Assisted by Zane Najdawi.,55,65
16:32,-1,Willie Stallworth Turnover.,55,65
16:31,2643,Quayson Williams Steal.,55,65
16:23,2643,Warren Sledge missed Three Point Jumper.,55,65
16:23,-1,Christian Davis Defensive Rebound.,55,65
16:16,-1,David Campbell Jr. missed Jumper.,55,65
16:16,-1,David Campbell Jr. Offensive Rebound.,55,65
16:10,-1,Christian Davis missed Three Point Jumper.,55,65
16:10,2643,Preston Parks Defensive Rebound.,55,65
16:02,2643,Frankie Johnson Turnover.,55,65
16:02,-1,Bj Burkett Steal.,55,65
16:02,-1,Bj Burkett Turnover.,55,65
15:55,2643,Brian White missed Three Point Jumper.,55,65
15:55,-1,Sandale James Defensive Rebound.,55,65
15:40,-1,David Campbell Jr. missed Jumper.,55,65
15:40,-1,Bj Burkett Offensive Rebound.,55,65
15:35,-1,Bj Burkett made Layup.,57,65
15:29,-1,Foul on Willie Stallworth.,57,65
15:29,2643,Official TV Timeout,57,65
15:29,2643,Frankie Johnson made Free Throw.,57,66
15:29,2643,Frankie Johnson missed Free Throw.,57,66
15:29,-1,Bj Burkett Defensive Rebound.,57,66
15:22,-1,Christian Davis missed Three Point Jumper.,57,66
15:22,-1,Bj Burkett Offensive Rebound.,57,66
15:17,-1,Bj Burkett missed Layup.,57,66
15:17,2643,The Citadel Defensive Rebound.,57,66
15:01,-1,Foul on Sandale James.,57,66
14:58,-1,Foul on Trey Bailey.,57,66
14:58,2643,Zane Najdawi missed Free Throw.,57,66
14:58,2643,The Citadel Deadball Team Rebound.,57,66
14:58,2643,Zane Najdawi made Free Throw.,57,67
14:51,2643,Foul on Bobby Duncan.,57,67
14:45,-1,Tylor Brown missed Free Throw.,57,67
14:45,-1,Truett-McConnell Deadball Team Rebound.,57,67
14:40,2643,Foul on Matt Frierson.,57,67
14:39,-1,Bj Burkett missed Free Throw.,57,67
14:39,-1,Truett-McConnell Deadball Team Rebound.,57,67
14:37,-1,Bj Burkett made Free Throw.,58,67
14:36,2643,Matt Frierson made Three Point Jumper. Assisted by Warren Sledge.,58,70
14:27,-1,Bj Burkett Turnover.,58,70
14:23,2643,Zane Najdawi missed Layup.,58,70
14:23,-1,Trey Bailey Defensive Rebound.,58,70
14:09,-1,Willie Stallworth missed Jumper.,58,70
14:09,-1,Willie Stallworth Offensive Rebound.,58,70
14:06,-1,Willie Stallworth made Jumper.,60,70
14:01,2643,Foul on Zane Najdawi.,60,70
14:01,2643,Zane Najdawi Turnover.,60,70
13:58,-1,Christian Davis Turnover.,60,70
13:56,2643,Frankie Johnson Steal.,60,70
13:55,2643,Frankie Johnson made Layup.,60,72
13:45,-1,Willie Stallworth missed Jumper.,60,72
13:45,-1,Trey Bailey Offensive Rebound.,60,72
13:42,-1,Trey Bailey missed Layup.,60,72
13:42,2643,Brian White Defensive Rebound.,60,72
13:23,2643,Brian White made Layup. Assisted by Preston Parks.,60,74
13:02,-1,Christian Davis made Layup. Assisted by Kai Lambert.,62,74
12:55,2643,Preston Parks missed Three Point Jumper.,62,74
12:55,-1,Willie Stallworth Defensive Rebound.,62,74
12:34,-1,Willie Stallworth missed Jumper.,62,74
12:34,2643,Frankie Johnson Defensive Rebound.,62,74
12:24,2643,Brian White made Layup. Assisted by Preston Parks.,62,76
12:13,-1,Christian Davis made Three Point Jumper.,65,76
12:03,2643,Frankie Johnson missed Three Point Jumper.,65,76
12:03,2643,Frankie Johnson Offensive Rebound.,65,76
11:57,2643,Brian White made Layup. Assisted by Preston Parks.,65,78
11:54,2643,The Citadel  Timeout,65,78
11:52,-1,Kai Lambert made Layup. Assisted by Bj Burkett.,67,78
11:33,2643,Leandro Allende made Jumper.,67,80
11:25,2643,Official TV Timeout,67,80
11:17,-1,Willie Stallworth Turnover.,67,80
11:07,2643,Brian White Turnover.,67,80
11:06,-1,Tylor Brown Steal.,67,80
11:03,2643,Foul on Brian White.,67,80
11:03,-1,Tylor Brown made Free Throw.,68,80
11:03,-1,Tylor Brown made Free Throw.,69,80
10:56,-1,Foul on Darius McNear.,69,80
10:56,2643,Brian White made Free Throw.,69,81
10:56,2643,Brian White missed Free Throw.,69,81
10:56,-1,Tylor Brown Defensive Rebound.,69,81
10:36,-1,Tylor Brown missed Layup.,69,81
10:36,2643,Brian White Block.,69,81
10:34,2643,Brian White Defensive Rebound.,69,81
10:31,2643,Brian White Turnover.,69,81
10:30,-1,Christian Davis Steal.,69,81
10:29,-1,Christian Davis made Layup.,71,81
10:16,2643,Zane Najdawi missed Jumper.,71,81
10:16,-1,Kai Lambert Defensive Rebound.,71,81
10:05,-1,Christian Davis missed Three Point Jumper.,71,81
10:05,2643,Preston Parks Defensive Rebound.,71,81
9:57,2643,Preston Parks missed Layup.,71,81
9:57,-1,Trey Bailey Block.,71,81
9:53,-1,Trey Bailey Defensive Rebound.,71,81
9:51,-1,Christian Davis Turnover.,71,81
9:39,2643,Quayson Williams missed Three Point Jumper.,71,81
9:39,2643,Zane Najdawi Offensive Rebound.,71,81
9:36,-1,Foul on Tylor Brown.,71,81
9:36,2643,Zane Najdawi missed Free Throw.,71,81
9:36,-1,David Campbell Jr. Defensive Rebound.,71,81
9:13,-1,Christian Davis missed Layup.,71,81
9:13,2643,Zane Najdawi Defensive Rebound.,71,81
9:08,2643,Quayson Williams missed Three Point Jumper.,71,81
9:08,-1,Christian Davis Defensive Rebound.,71,81
8:52,-1,Trey Bailey made Layup. Assisted by Christian Davis.,73,81
8:27,2643,Warren Sledge made Layup.,73,83
8:07,-1,Willie Stallworth missed Jumper.,73,83
8:07,2643,The Citadel Defensive Rebound.,73,83
8:05,-1,Foul on Mario Westbrooks.,73,83
8:05,2643,Leandro Allende made Free Throw.,73,84
8:05,2643,Leandro Allende made Free Throw.,73,85
7:51,-1,Foul on Sandale James.,73,85
7:51,-1,Sandale James Turnover.,73,85
7:39,2643,Leandro Allende missed Three Point Jumper.,73,85
7:39,-1,Trey Bailey Defensive Rebound.,73,85
7:25,-1,Foul on Willie Stallworth.,73,85
7:25,-1,Willie Stallworth Turnover.,73,85
7:12,2643,Brian White made Layup.,73,87
6:59,2643,Foul on Frankie Johnson.,73,87
6:59,-1,Tylor Brown missed Free Throw.,73,87
6:59,-1,Truett-McConnell Deadball Team Rebound.,73,87
6:59,-1,Tylor Brown made Free Throw.,74,87
6:48,2643,Warren Sledge made Three Point Jumper. Assisted by Frankie Johnson.,74,90
6:32,-1,Truett-McConnell  Timeout,74,90
6:23,-1,Jacob Booke missed Three Point Jumper.,74,90
6:23,2643,Brian White Defensive Rebound.,74,90
6:11,2643,Quayson Williams made Three Point Jumper. Assisted by Brian White.,74,93
6:00,-1,Jacob Booke Turnover.,74,93
5:59,2643,Frankie Johnson Steal.,74,93
5:58,-1,Foul on Jacob Booke.,74,93
5:58,2643,Brian White made Free Throw.,74,94
5:58,2643,Brian White made Free Throw.,74,95
5:53,-1,Bj Burkett Turnover.,74,95
5:53,2643,Zane Najdawi Steal.,74,95
5:51,2643,Preston Parks missed Three Point Jumper.,74,95
5:51,2643,Zane Najdawi Offensive Rebound.,74,95
5:48,2643,Zane Najdawi missed Layup.,74,95
5:48,2643,Preston Parks Offensive Rebound.,74,95
5:44,2643,Quayson Williams made Three Point Jumper. Assisted by Preston Parks.,74,98
5:32,-1,Tylor Brown Turnover.,74,98
5:32,2643,Zane Najdawi Steal.,74,98
5:32,-1,Foul on Bj Burkett.,74,98
5:32,2643,Kaelon Harris missed Free Throw.,74,98
5:32,2643,The Citadel Deadball Team Rebound.,74,98
5:32,2643,Kaelon Harris made Free Throw.,74,99
5:13,-1,Willie Stallworth Turnover.,74,99
5:11,2643,Frankie Johnson Steal.,74,99
5:10,2643,Frankie Johnson made Layup.,74,101
5:06,-1,Foul on Willie Stallworth.,74,101
5:06,2643,Frankie Johnson missed Free Throw.,74,101
5:06,2643,Quayson Williams Offensive Rebound.,74,101
5:05,2643,Kaelon Harris Turnover.,74,101
5:04,-1,Bj Burkett Steal.,74,101
5:01,2643,Foul on Preston Parks.,74,101
5:01,-1,Tylor Brown made Free Throw.,75,101
5:01,-1,Tylor Brown made Free Throw.,76,101
4:55,-1,Foul on Bj Burkett.,76,101
4:55,2643,Brian White made Free Throw.,76,102
4:55,-1,Truett-McConnell  Timeout,76,102
4:55,2643,Brian White made Free Throw.,76,103
4:40,-1,Tylor Brown made Layup.,78,103
4:38,2643,Foul on Ezekiel Balogun.,78,103
4:38,-1,Tylor Brown made Free Throw.,79,103
4:30,2643,Zane Najdawi made Layup. Assisted by Matt Frierson.,79,105
4:18,2643,Foul on Zane Najdawi.,79,105
4:18,-1,Mario Westbrooks missed Free Throw.,79,105
4:18,-1,Truett-McConnell Deadball Team Rebound.,79,105
4:18,-1,Mario Westbrooks made Free Throw.,80,105
4:10,2643,Quayson Williams made Three Point Jumper. Assisted by Frankie Johnson.,80,108
3:57,-1,Mario Westbrooks made Layup. Assisted by Stephen Stuart.,82,108
3:45,-1,Foul on Mario Westbrooks.,82,108
3:45,2643,The Citadel Deadball Team Rebound.,82,108
3:45,2643,Official TV Timeout,82,108
3:45,2643,Frankie Johnson made Free Throw.,82,109
3:32,-1,Darius McNear made Jumper. Assisted by Christian Davis.,84,109
3:23,2643,Tom Koopman missed Jumper.,84,109
3:23,-1,Roderick Hughey Defensive Rebound.,84,109
3:11,-1,Darius Thrower missed Jumper.,84,109
3:11,2643,Quayson Williams Defensive Rebound.,84,109
3:04,2643,Quayson Williams missed Three Point Jumper.,84,109
3:04,2643,Ezekiel Balogun Offensive Rebound.,84,109
2:59,2643,Tom Koopman missed Layup.,84,109
2:59,-1,Stephen Stuart Defensive Rebound.,84,109
2:44,-1,Christian Davis missed Three Point Jumper.,84,109
2:44,-1,Darius Thrower Offensive Rebound.,84,109
2:32,2643,Foul on Tom Koopman.,84,109
2:32,-1,Darius McNear made Free Throw.,85,109
2:32,-1,Darius McNear made Free Throw.,86,109
2:23,2643,Aaron Washington missed Jumper.,86,109
2:22,-1,Truett-McConnell Offensive Rebound.,86,109
2:22,-1,Foul on Jackson Britton.,86,109
2:22,2643,Tom Koopman made Free Throw.,86,110
2:22,2643,Tom Koopman made Free Throw.,86,111
2:05,2643,Foul on Tom Koopman.,86,111
2:05,-1,Roderick Hughey missed Free Throw.,86,111
2:05,-1,Truett-McConnell Deadball Team Rebound.,86,111
2:05,-1,Roderick Hughey missed Free Throw.,86,111
2:05,2643,Bobby Duncan Defensive Rebound.,86,111
1:53,2643,Griffin Peevey made Layup. Assisted by Bobby Duncan.,86,113
1:42,-1,Roderick Hughey missed Layup.,86,113
1:42,2643,Matt Frierson Defensive Rebound.,86,113
1:30,2643,Griffin Peevey made Jumper.,86,115
1:26,-1,Stephen Stuart made Layup.,88,115
1:16,2643,Aaron Washington made Layup.,88,117
1:16,-1,Foul on Jackson Britton.,88,117
1:16,2643,Aaron Washington missed Free Throw.,88,117
1:16,-1,Spencer Smith Defensive Rebound.,88,117
0:58,-1,Spencer Smith made Jumper.,90,117
0:47,2643,Chris Ross missed Three Point Jumper.,90,117
0:47,2643,Griffin Peevey Offensive Rebound.,90,117
0:40,-1,Foul on Stephen Stuart.,90,117
0:40,2643,Griffin Peevey made Free Throw.,90,118
0:40,2643,Griffin Peevey made Free Throw.,90,119
0:29,-1,Jackson Britton missed Three Point Jumper.,90,119
0:29,2643,Aaron Washington Defensive Rebound.,90,119
0:00,2643,End of Game,90,119
